sku_id,product_name,seller_id,platform_id,category_id,category,brand,base_price,product_demand_weight,active_flag
SKU00036,Fashion SKU 00036,S0006,P01,C02,Fashion,Imported,43.52,3.26849305630957,1
SKU00037,Mother Baby SKU 00037,S0006,P01,C08,Mother Baby,Marketplace Choice,35.79,0.8076668733906309,1
SKU00038,Books SKU 00038,S0006,P01,C07,Books,Local Brand,6.16,0.9216060144609247,1
SKU00039,Electronics SKU 00039,S0006,P01,C01,Electronics,Official Brand,58.76,0.598964489255761,1
SKU00040,Books SKU 00040,S0007,P01,C07,Books,Official Brand,14.09,0.4369074619496429,1
SKU00041,Fashion SKU 00041,S0007,P01,C02,Fashion,Private Label,19.5,1.724680342486088,1
SKU00042,Home SKU 00042,S0007,P01,C04,Home,Official Brand,37.14,0.6401861051061531,1
SKU00043,Mother Baby SKU 00043,S0007,P01,C08,Mother Baby,Imported,52.43,0.9225303716111921,1
SKU00044,Home SKU 00044,S0007,P01,C04,Home,Local Brand,64.64,0.9045818989878527,1
SKU00045,Mother Baby SKU 00045,S0007,P01,C08,Mother Baby,Official Brand,43.33,1.2101719572272294,1
SKU00046,Beauty SKU 00046,S0007,P01,C03,Beauty,Imported,39.48,1.7691746106054196,1
SKU00047,FMCG SKU 00047,S0007,P01,C05,FMCG,Imported,8.24,0.42721499824717235,1
SKU00048,FMCG SKU 00048,S0008,P01,C05,FMCG,Imported,7.38,0.6664867575285788,1
SKU00049,Books SKU 00049,S0008,P01,C07,Books,Marketplace Choice,28.1,1.763399817201548,1
SKU00050,Mother Baby SKU 00050,S0008,P01,C08,Mother Baby,Private Label,24.4,1.1604782077983018,1
SKU00051,Fashion SKU 00051,S0008,P01,C02,Fashion,Imported,28.53,1.9487996652795352,1
SKU00052,Electronics SKU 00052,S0008,P01,C01,Electronics,Official Brand,88.55,1.4731470405356017,1
SKU00053,FMCG SKU 00053,S0009,P01,C05,FMCG,Imported,9.79,1.312586778700247,1
SKU00054,Mother Baby SKU 00054,S0009,P01,C08,Mother Baby,Local Brand,44.36,3.424889566444463,1
SKU00055,Books SKU 00055,S0009,P01,C07,Books,Local Brand,17.19,0.4889890465860067,1
SKU00056,Books SKU 00056,S0009,P01,C07,Books,Private Label,16.19,0.5631824312242008,1
SKU00057,Home SKU 00057,S0009,P01,C04,Home,Marketplace Choice,70.78,1.145969241833986,1
SKU00058,FMCG SKU 00058,S0009,P01,C05,FMCG,Official Brand,7.94,1.5362291774365282,1
SKU00059,Beauty SKU 00059,S0009,P01,C03,Beauty,Marketplace Choice,11.01,1.20610196891334,1
SKU00060,Electronics SKU 00060,S0009,P01,C01,Electronics,Imported,68.15,0.8389401865398379,1
SKU00061,Electronics SKU 00061,S0009,P01,C01,Electronics,Marketplace Choice,69.24,1.6721389808815295,1
SKU00062,Books SKU 00062,S0009,P01,C07,Books,Imported,10.53,1.302785779449209,1
SKU00063,Sports SKU 00063,S0009,P01,C06,Sports,Imported,33.79,0.7907622253653944,1
SKU00064,Mother Baby SKU 00064,S0009,P01,C08,Mother Baby,Private Label,56.14,4.883579898081655,0
SKU00065,Mother Baby SKU 00065,S0009,P01,C08,Mother Baby,Official Brand,34.72,1.0247795282974133,1
SKU00066,Electronics SKU 00066,S0009,P01,C01,Electronics,Official Brand,63.7,0.73473222172979,1
SKU00067,Mother Baby SKU 00067,S0009,P01,C08,Mother Baby,Marketplace Choice,25.1,2.0883485131942834,1
SKU00068,Books SKU 00068,S0009,P01,C07,Books,Private Label,14.69,1.621931277917706,1
SKU00069,Fashion SKU 00069,S0009,P01,C02,Fashion,Private Label,37.12,1.138051369944934,1
SKU00070,FMCG SKU 00070,S0009,P01,C05,FMCG,Official Brand,8.07,0.919992301354942,1
SKU00071,Mother Baby SKU 00071,S0010,P01,C08,Mother Baby,Imported,23.13,0.7958012428239968,1
SKU00072,Books SKU 00072,S0010,P01,C07,Books,Marketplace Choice,24.01,0.994182175942952,1
SKU00073,Fashion SKU 00073,S0010,P01,C02,Fashion,Imported,31.7,1.4270657832471016,1
SKU00074,Mother Baby SKU 00074,S0010,P01,C08,Mother Baby,Official Brand,25.69,1.3705534788910518,1
SKU00075,Sports SKU 00075,S0011,P01,C06,Sports,Imported,32.71,0.3881108271794974,1
SKU00076,Home SKU 00076,S0011,P01,C04,Home,Official Brand,32.12,0.6392102549560208,0
SKU00077,Fashion SKU 00077,S0011,P01,C02,Fashion,Marketplace Choice,44.7,2.540667086630324,1
SKU00078,Electronics SKU 00078,S0011,P01,C01,Electronics,Local Brand,61.47,1.0704911521678908,1
SKU00079,FMCG SKU 00079,S0011,P01,C05,FMCG,Private Label,11.7,0.6211732225573575,1
SKU00080,Electronics SKU 00080,S0011,P01,C01,Electronics,Imported,41.96,0.4544886066131987,1
SKU00081,Beauty SKU 00081,S0011,P01,C03,Beauty,Private Label,60.33,1.7407368122568356,1
SKU00082,Fashion SKU 00082,S0011,P01,C02,Fashion,Local Brand,28.43,3.79379202484709,1
SKU00083,Beauty SKU 00083,S0011,P01,C03,Beauty,Marketplace Choice,22.3,0.6516881508309977,1
SKU00084,Books SKU 00084,S0011,P01,C07,Books,Official Brand,18.93,0.8183367289380755,1
SKU00085,Electronics SKU 00085,S0011,P01,C01,Electronics,Local Brand,46.06,1.559594286323851,1
SKU00086,Sports SKU 00086,S0011,P01,C06,Sports,Official Brand,31.04,0.4933430734807035,1
SKU00087,Home SKU 00087,S0011,P01,C04,Home,Local Brand,40.33,1.102046686667774,1
SKU00088,Sports SKU 00088,S0011,P01,C06,Sports,Private Label,27.03,0.7406188744524277,1
SKU00089,Sports SKU 00089,S0011,P01,C06,Sports,Private Label,18.29,0.5126673918484894,1
SKU00090,Beauty SKU 00090,S0011,P01,C03,Beauty,Local Brand,12.44,1.310950299425275,1
SKU00091,FMCG SKU 00091,S0011,P01,C05,FMCG,Local Brand,18.57,2.152849476208044,1
SKU00092,Electronics SKU 00092,S0011,P01,C01,Electronics,Private Label,65.37,1.2815931208569107,1
SKU00093,Beauty SKU 00093,S0011,P01,C03,Beauty,Official Brand,10.97,0.45413487264178,1
SKU00094,Electronics SKU 00094,S0011,P01,C01,Electronics,Marketplace Choice,94.29,1.206315982814083,1
SKU00095,Fashion SKU 00095,S0011,P01,C02,Fashion,Marketplace Choice,16.47,2.4523121792589615,1
SKU00096,Electronics SKU 00096,S0012,P01,C01,Electronics,Official Brand,61.65,1.0360500711682308,1
SKU00097,Beauty SKU 00097,S0012,P01,C03,Beauty,Local Brand,13.14,0.9194139387152618,1
SKU00098,Beauty SKU 00098,S0012,P01,C03,Beauty,Private Label,19.01,1.5249447211345815,1
SKU00099,Home SKU 00099,S0012,P01,C04,Home,Imported,47.1,1.0461082106952675,1
SKU00100,Home SKU 00100,S0013,P01,C04,Home,Local Brand,62.78,2.0260508043956267,1
SKU00101,Mother Baby SKU 00101,S0013,P01,C08,Mother Baby,Imported,26.26,1.326666070947269,1
SKU00102,Electronics SKU 00102,S0013,P01,C01,Electronics,Private Label,78.02,1.1248266413567487,1
SKU00103,Home SKU 00103,S0013,P01,C04,Home,Private Label,36.05,2.1414821735944476,1
SKU00104,FMCG SKU 00104,S0013,P01,C05,FMCG,Local Brand,5.16,1.9906692645682569,1
SKU00105,Fashion SKU 00105,S0013,P01,C02,Fashion,Private Label,18.95,0.5498775327220163,1
SKU00106,FMCG SKU 00106,S0013,P01,C05,FMCG,Marketplace Choice,9.01,1.7852721137514482,1
SKU00107,FMCG SKU 00107,S0013,P01,C05,FMCG,Private Label,4.94,1.495809704052037,0
SKU00108,Electronics SKU 00108,S0013,P01,C01,Electronics,Imported,102.77,0.659172554309244,1
SKU00109,Books SKU 00109,S0013,P01,C07,Books,Private Label,15.44,0.5131550170440249,1
SKU00110,Home SKU 00110,S0013,P01,C04,Home,Private Label,55.99,1.0790792224113233,1
SKU00111,Sports SKU 00111,S0013,P01,C06,Sports,Private Label,27.0,0.8049439983583495,1
SKU00112,Electronics SKU 00112,S0013,P01,C01,Electronics,Local Brand,90.45,1.1947091242829615,1
SKU00113,Sports SKU 00113,S0014,P01,C06,Sports,Private Label,37.75,0.8436159808388792,1
SKU00114,Mother Baby SKU 00114,S0014,P01,C08,Mother Baby,Marketplace Choice,17.42,0.8729086293379972,1
SKU00115,Sports SKU 00115,S0014,P01,C06,Sports,Local Brand,52.76,0.8104320876144577,1
SKU00116,Sports SKU 00116,S0014,P01,C06,Sports,Official Brand,14.09,0.8666150293218126,1
SKU00117,Electronics SKU 00117,S0015,P01,C01,Electronics,Marketplace Choice,146.81,2.218493225965974,1
SKU00118,Books SKU 00118,S0015,P01,C07,Books,Imported,10.71,1.3065464144519494,1
SKU00119,Beauty SKU 00119,S0015,P01,C03,Beauty,Private Label,14.85,1.0718877709079266,1
SKU00120,Electronics SKU 00120,S0015,P01,C01,Electronics,Private Label,63.44,1.4549367784640572,1
SKU00121,Sports SKU 00121,S0015,P01,C06,Sports,Local Brand,30.87,1.1461111059341513,1
SKU00122,FMCG SKU 00122,S0015,P01,C05,FMCG,Local Brand,7.22,1.4813406013808001,1
SKU00123,Books SKU 00123,S0015,P01,C07,Books,Private Label,4.69,1.5365026801199164,1
SKU00124,Sports SKU 00124,S0015,P01,C06,Sports,Official Brand,55.0,0.6163641293813921,1
SKU00125,FMCG SKU 00125,S0016,P01,C05,FMCG,Private Label,6.06,2.120740667187482,1
SKU00126,Fashion SKU 00126,S0016,P01,C02,Fashion,Official Brand,23.47,0.6788370092333774,1
SKU00127,Home SKU 00127,S0016,P01,C04,Home,Official Brand,50.49,0.6606885223587029,1
SKU00128,Mother Baby SKU 00128,S0017,P01,C08,Mother Baby,Imported,23.12,1.9118938476991905,1
SKU00129,Mother Baby SKU 00129,S0017,P01,C08,Mother Baby,Marketplace Choice,33.56,2.4858485101802623,1
SKU00130,Fashion SKU 00130,S0017,P01,C02,Fashion,Local Brand,58.2,1.4037980859843178,1
SKU00131,Electronics SKU 00131,S0017,P01,C01,Electronics,Private Label,87.01,4.919726001726619,0
SKU00132,Books SKU 00132,S0017,P01,C07,Books,Imported,11.76,0.6385540265500578,1
SKU00133,Beauty SKU 00133,S0017,P01,C03,Beauty,Local Brand,37.93,1.1730822289297844,1
SKU00134,Beauty SKU 00134,S0017,P01,C03,Beauty,Local Brand,20.17,3.1116046747819173,1
SKU00135,Home SKU 00135,S0017,P01,C04,Home,Local Brand,29.77,1.8899623561593784,1
SKU00136,Beauty SKU 00136,S0017,P01,C03,Beauty,Imported,15.86,0.6081914825380006,1
SKU00137,Home SKU 00137,S0018,P01,C04,Home,Private Label,53.98,0.5720315231425576,0
SKU00138,Books SKU 00138,S0018,P01,C07,Books,Marketplace Choice,21.89,0.9973396746052482,1
SKU00139,Books SKU 00139,S0018,P01,C07,Books,Local Brand,8.62,0.6774613274761415,1
SKU00140,Mother Baby SKU 00140,S0018,P01,C08,Mother Baby,Official Brand,19.66,1.8891152704846732,1
SKU00141,Electronics SKU 00141,S0018,P01,C01,Electronics,Imported,59.29,1.3358430352509079,1
SKU00142,Fashion SKU 00142,S0018,P01,C02,Fashion,Private Label,22.69,0.7563656350363436,1
SKU00143,Sports SKU 00143,S0018,P01,C06,Sports,Imported,28.75,0.2709705465995519,0
SKU00144,Fashion SKU 00144,S0018,P01,C02,Fashion,Marketplace Choice,20.47,1.0548890380118856,1
SKU00145,Books SKU 00145,S0018,P01,C07,Books,Private Label,6.06,1.0464707983318529,1
SKU00146,Sports SKU 00146,S0018,P01,C06,Sports,Local Brand,24.18,2.7351673915931176,1
SKU00147,Beauty SKU 00147,S0018,P01,C03,Beauty,Private Label,16.7,0.3867709170532713,1
SKU00148,Mother Baby SKU 00148,S0018,P01,C08,Mother Baby,Private Label,30.18,1.9790589930605618,1
SKU00149,Beauty SKU 00149,S0018,P01,C03,Beauty,Private Label,12.37,1.2997408026266546,1
SKU00150,Electronics SKU 00150,S0019,P01,C01,Electronics,Marketplace Choice,92.62,1.3401844218390873,1
SKU00151,Electronics SKU 00151,S0019,P01,C01,Electronics,Imported,100.32,1.6703059269684186,1
SKU00152,Sports SKU 00152,S0019,P01,C06,Sports,Private Label,22.53,1.4597476535485387,1
SKU00153,Electronics SKU 00153,S0019,P01,C01,Electronics,Marketplace Choice,71.16,0.33879719864177976,1
SKU00154,FMCG SKU 00154,S0019,P01,C05,FMCG,Marketplace Choice,7.73,0.7523656911702382,1
SKU00155,Mother Baby SKU 00155,S0019,P01,C08,Mother Baby,Private Label,18.15,1.4132843582995436,1
SKU00156,Home SKU 00156,S0019,P01,C04,Home,Imported,32.14,0.769603679009997,1
SKU00157,Home SKU 00157,S0019,P01,C04,Home,Official Brand,34.52,1.2618799810798937,1
SKU00158,Electronics SKU 00158,S0019,P01,C01,Electronics,Marketplace Choice,32.93,0.5187733236263399,1
SKU00159,Sports SKU 00159,S0019,P01,C06,Sports,Official Brand,24.13,0.5399994059505144,1
SKU00160,Sports SKU 00160,S0019,P01,C06,Sports,Imported,24.81,1.3482184791749712,1
SKU00161,Books SKU 00161,S0019,P01,C07,Books,Imported,12.79,0.9133208034091831,1
SKU00162,Beauty SKU 00162,S0019,P01,C03,Beauty,Marketplace Choice,9.59,2.714706993132853,1
SKU00163,Home SKU 00163,S0019,P01,C04,Home,Imported,67.16,0.9269671856990113,1
SKU00164,Sports SKU 00164,S0019,P01,C06,Sports,Official Brand,53.05,0.7300257361696724,1
SKU00165,FMCG SKU 00165,S0019,P01,C05,FMCG,Marketplace Choice,5.9,2.293824299756543,1
SKU00166,FMCG SKU 00166,S0019,P01,C05,FMCG,Local Brand,15.4,3.952377148097401,1
SKU00167,Beauty SKU 00167,S0019,P01,C03,Beauty,Local Brand,13.09,1.8183945684583858,1
SKU00168,Sports SKU 00168,S0019,P01,C06,Sports,Imported,49.58,0.9181780377579781,1
SKU00169,FMCG SKU 00169,S0019,P01,C05,FMCG,Local Brand,10.92,0.5364761935470455,1
SKU00170,Mother Baby SKU 00170,S0019,P01,C08,Mother Baby,Imported,31.48,1.6875063625725464,1
SKU00171,Electronics SKU 00171,S0020,P01,C01,Electronics,Imported,95.94,0.8646084325873171,1
SKU00172,Home SKU 00172,S0020,P01,C04,Home,Marketplace Choice,77.01,1.9587376322262133,1
SKU00173,Mother Baby SKU 00173,S0020,P01,C08,Mother Baby,Official Brand,34.38,1.3131733113541308,1
SKU00174,FMCG SKU 00174,S0020,P01,C05,FMCG,Local Brand,3.61,2.5654210059420466,1
SKU00175,Mother Baby SKU 00175,S0020,P01,C08,Mother Baby,Official Brand,26.15,1.404168483878237,1
SKU00176,FMCG SKU 00176,S0020,P01,C05,FMCG,Marketplace Choice,17.31,3.1991452818825996,1
SKU00177,FMCG SKU 00177,S0020,P01,C05,FMCG,Official Brand,11.94,2.296808965806087,1
SKU00178,Beauty SKU 00178,S0020,P01,C03,Beauty,Imported,17.78,0.7830469854187192,1
SKU00179,FMCG SKU 00179,S0020,P01,C05,FMCG,Marketplace Choice,6.26,3.3002773570235377,1
SKU00180,Sports SKU 00180,S0020,P01,C06,Sports,Private Label,30.3,1.0479916899310604,1
SKU00181,FMCG SKU 00181,S0020,P01,C05,FMCG,Imported,10.07,1.8460888323399225,1
SKU00182,Mother Baby SKU 00182,S0020,P01,C08,Mother Baby,Local Brand,29.15,1.7189698602660424,1
SKU00183,FMCG SKU 00183,S0020,P01,C05,FMCG,Official Brand,11.37,3.3229306157770546,1
SKU00184,Mother Baby SKU 00184,S0020,P01,C08,Mother Baby,Official Brand,28.31,1.4234505849942525,1
SKU00185,Sports SKU 00185,S0020,P01,C06,Sports,Official Brand,22.94,1.0126347596866982,1
SKU00186,Sports SKU 00186,S0020,P01,C06,Sports,Marketplace Choice,14.7,1.5632635075860013,1
SKU00187,FMCG SKU 00187,S0020,P01,C05,FMCG,Official Brand,8.68,2.9159071086865267,1
SKU00188,Beauty SKU 00188,S0020,P01,C03,Beauty,Marketplace Choice,11.19,2.67433144889287,1
SKU00189,Electronics SKU 00189,S0020,P01,C01,Electronics,Marketplace Choice,67.46,1.0691289630298713,1
SKU00190,Fashion SKU 00190,S0020,P01,C02,Fashion,Marketplace Choice,13.51,0.8945608297849766,1
SKU00191,FMCG SKU 00191,S0020,P01,C05,FMCG,Imported,10.21,1.6706254547902157,1
SKU00192,Beauty SKU 00192,S0020,P01,C03,Beauty,Official Brand,32.12,1.2176452293477293,1
SKU00193,Sports SKU 00193,S0021,P01,C06,Sports,Private Label,62.82,1.7380918443189117,1
SKU00194,FMCG SKU 00194,S0021,P01,C05,FMCG,Marketplace Choice,7.52,2.861955125164792,1
SKU00195,FMCG SKU 00195,S0021,P01,C05,FMCG,Private Label,7.63,2.843237177006569,1
SKU00196,Mother Baby SKU 00196,S0021,P01,C08,Mother Baby,Private Label,25.05,0.9151514307910059,1
SKU00197,Beauty SKU 00197,S0021,P01,C03,Beauty,Local Brand,24.8,1.1064012547444966,1
SKU00198,Fashion SKU 00198,S0021,P01,C02,Fashion,Imported,41.54,0.7866928300120721,1
SKU00199,FMCG SKU 00199,S0021,P01,C05,FMCG,Local Brand,10.8,0.7672232430866729,1
SKU00200,Mother Baby SKU 00200,S0021,P01,C08,Mother Baby,Local Brand,25.33,0.5288529312810978,1
SKU00201,Beauty SKU 00201,S0021,P01,C03,Beauty,Imported,24.4,0.41503999075663134,1
SKU00202,Electronics SKU 00202,S0021,P01,C01,Electronics,Local Brand,46.51,1.4970649952479231,0
SKU00203,FMCG SKU 00203,S0021,P01,C05,FMCG,Private Label,8.09,2.420999216607098,1
SKU00204,Fashion SKU 00204,S0021,P01,C02,Fashion,Marketplace Choice,14.01,0.8558109198713925,1
SKU00205,Beauty SKU 00205,S0021,P01,C03,Beauty,Private Label,18.85,4.42066243873959,1
SKU00206,Sports SKU 00206,S0021,P01,C06,Sports,Imported,37.8,0.5900451624242528,1
SKU00207,FMCG SKU 00207,S0022,P01,C05,FMCG,Private Label,7.74,1.2888059238879936,1
SKU00208,Electronics SKU 00208,S0022,P01,C01,Electronics,Official Brand,107.54,1.7913587221503933,1
SKU00209,FMCG SKU 00209,S0022,P01,C05,FMCG,Marketplace Choice,7.13,2.2669341798529596,1
SKU00210,FMCG SKU 00210,S0022,P01,C05,FMCG,Imported,8.61,2.6466622642430537,1
SKU00211,Electronics SKU 00211,S0023,P01,C01,Electronics,Official Brand,75.95,1.1211829211049746,0
SKU00212,Home SKU 00212,S0023,P01,C04,Home,Imported,41.28,1.3463395351720169,1
SKU00213,FMCG SKU 00213,S0023,P01,C05,FMCG,Official Brand,9.59,1.030685120195633,1
SKU00214,Mother Baby SKU 00214,S0023,P01,C08,Mother Baby,Private Label,56.45,1.1511724896055442,1
SKU00215,FMCG SKU 00215,S0023,P01,C05,FMCG,Imported,9.49,1.0379755693439479,1
SKU00216,Fashion SKU 00216,S0023,P01,C02,Fashion,Local Brand,41.68,1.8222431547916171,1
SKU00217,Electronics SKU 00217,S0023,P01,C01,Electronics,Official Brand,53.51,1.0977873999667744,1
SKU00218,FMCG SKU 00218,S0023,P01,C05,FMCG,Private Label,22.36,2.6901674736492556,1
SKU00219,Beauty SKU 00219,S0023,P01,C03,Beauty,Local Brand,29.56,1.4037757535236852,1
SKU00220,Books SKU 00220,S0024,P01,C07,Books,Official Brand,15.3,0.7424120799075938,1
SKU00221,FMCG SKU 00221,S0024,P01,C05,FMCG,Marketplace Choice,9.76,1.486597927147996,1
SKU00222,Mother Baby SKU 00222,S0024,P01,C08,Mother Baby,Marketplace Choice,30.49,1.0747472333625483,1
SKU00223,Beauty SKU 00223,S0024,P01,C03,Beauty,Marketplace Choice,25.91,1.2826328427393254,1
SKU00224,Sports SKU 00224,S0024,P01,C06,Sports,Local Brand,62.14,1.5963187665988143,1
SKU00225,Fashion SKU 00225,S0024,P01,C02,Fashion,Imported,27.41,1.0908848222691676,1
SKU00226,FMCG SKU 00226,S0024,P01,C05,FMCG,Private Label,19.58,2.496677401570072,1
SKU00227,Mother Baby SKU 00227,S0024,P01,C08,Mother Baby,Imported,25.52,1.6100562951607669,1
SKU00228,Fashion SKU 00228,S0024,P01,C02,Fashion,Official Brand,17.57,0.4240805689431,1
SKU00229,Mother Baby SKU 00229,S0024,P01,C08,Mother Baby,Official Brand,29.95,0.9641216565144047,1
SKU00230,Books SKU 00230,S0024,P01,C07,Books,Private Label,28.32,0.19186304902009016,1
SKU00231,Electronics SKU 00231,S0024,P01,C01,Electronics,Official Brand,292.29,1.189468648116625,1
SKU00232,Mother Baby SKU 00232,S0024,P01,C08,Mother Baby,Official Brand,41.65,0.9530566338512121,1
SKU00233,Home SKU 00233,S0024,P01,C04,Home,Private Label,24.49,0.4594957844754699,1
SKU00234,FMCG SKU 00234,S0024,P01,C05,FMCG,Imported,19.62,0.816295618876304,1
SKU00235,Books SKU 00235,S0024,P01,C07,Books,Local Brand,9.02,0.3617758135393966,1
SKU00236,Fashion SKU 00236,S0024,P01,C02,Fashion,Local Brand,31.64,1.2032443757659101,1
SKU00237,Home SKU 00237,S0024,P01,C04,Home,Marketplace Choice,66.08,1.004465573682686,1
SKU00238,Sports SKU 00238,S0024,P01,C06,Sports,Local Brand,26.23,0.7658196051492643,1
SKU00239,Fashion SKU 00239,S0024,P01,C02,Fashion,Marketplace Choice,34.05,2.666420954806841,1
SKU00240,Home SKU 00240,S0024,P01,C04,Home,Official Brand,19.02,2.609675707480599,1
SKU00241,Books SKU 00241,S0025,P01,C07,Books,Marketplace Choice,11.78,0.5415983546753022,1
SKU00242,Books SKU 00242,S0025,P01,C07,Books,Local Brand,10.5,0.45556273210893755,1
SKU00243,Beauty SKU 00243,S0025,P01,C03,Beauty,Local Brand,19.4,1.6431526070173432,1
SKU00244,Mother Baby SKU 00244,S0025,P01,C08,Mother Baby,Imported,59.86,1.1854514523540476,1
SKU00245,Mother Baby SKU 00245,S0026,P01,C08,Mother Baby,Official Brand,38.51,1.03993731783312,1
SKU00246,Sports SKU 00246,S0026,P01,C06,Sports,Marketplace Choice,37.24,0.6082053915887623,0
SKU00247,FMCG SKU 00247,S0026,P01,C05,FMCG,Official Brand,8.03,1.319219934854402,1
SKU00248,Books SKU 00248,S0026,P01,C07,Books,Private Label,18.2,0.34115898177747944,1
SKU00249,Electronics SKU 00249,S0026,P01,C01,Electronics,Official Brand,65.77,1.1883013471800357,1
SKU00250,Fashion SKU 00250,S0026,P01,C02,Fashion,Marketplace Choice,30.0,1.2377073199181132,1
SKU00251,Fashion SKU 00251,S0027,P01,C02,Fashion,Private Label,19.74,1.1498480320508724,1
SKU00252,Fashion SKU 00252,S0027,P01,C02,Fashion,Marketplace Choice,23.74,1.2166903642818157,1
SKU00253,Beauty SKU 00253,S0027,P01,C03,Beauty,Official Brand,19.65,2.6342038864872097,1
SKU00254,Electronics SKU 00254,S0027,P01,C01,Electronics,Marketplace Choice,68.3,3.365923059599417,1
SKU00255,Electronics SKU 00255,S0027,P01,C01,Electronics,Local Brand,55.63,1.2787611413399032,1
SKU00256,Electronics SKU 00256,S0027,P01,C01,Electronics,Official Brand,78.78,0.3535849828992684,1
SKU00257,FMCG SKU 00257,S0027,P01,C05,FMCG,Imported,9.11,0.40022595584235243,1
SKU00258,FMCG SKU 00258,S0027,P01,C05,FMCG,Official Brand,8.39,0.8935331135702853,1
SKU00259,Sports SKU 00259,S0027,P01,C06,Sports,Private Label,27.8,2.2055231469610788,1
SKU00260,Fashion SKU 00260,S0027,P01,C02,Fashion,Official Brand,32.57,1.3088880316702045,1
SKU00261,Home SKU 00261,S0028,P01,C04,Home,Official Brand,47.88,0.43697763724395194,1
SKU00262,FMCG SKU 00262,S0028,P01,C05,FMCG,Marketplace Choice,5.64,2.137166024735772,1
SKU00263,FMCG SKU 00263,S0028,P01,C05,FMCG,Imported,8.41,1.6946735727959086,1
SKU00264,Mother Baby SKU 00264,S0028,P01,C08,Mother Baby,Marketplace Choice,14.0,1.1642760388166749,1
SKU00265,FMCG SKU 00265,S0028,P01,C05,FMCG,Private Label,7.95,2.388430644426121,1
SKU00266,Fashion SKU 00266,S0028,P01,C02,Fashion,Marketplace Choice,29.06,1.381671427208761,1
