review_id,order_item_id,review_date,platform_id,seller_id,sku_id,category_id,rating,verified_purchase_flag,review_weight
REV0000055,OI0000159,2026-04-25,P03,S0096,SKU01028,C02,4,1,1.0
REV0000056,OI0000161,2026-03-17,P01,S0039,SKU00372,C02,4,1,1.0
REV0000057,OI0000166,2026-02-05,P02,S0078,SKU00825,C06,3,1,1.0
REV0000058,OI0000169,2025-08-18,P01,S0035,SKU00343,C04,4,1,1.0
REV0000059,OI0000170,2025-02-10,P01,S0031,SKU00295,C01,3,1,1.0
REV0000060,OI0000171,2025-10-11,P01,S0049,SKU00494,C05,4,1,1.0
REV0000061,OI0000178,2026-04-07,P02,S0074,SKU00789,C02,5,1,1.0
REV0000062,OI0000179,2026-03-01,P03,S0096,SKU01029,C03,4,1,1.0
REV0000063,OI0000181,2025-12-15,P03,S0112,SKU01188,C02,4,1,1.0
REV0000064,OI0000183,2025-02-24,P01,S0022,SKU00209,C05,4,1,1.0
REV0000065,OI0000188,2025-11-28,P01,S0018,SKU00145,C07,4,1,1.0
REV0000066,OI0000189,2025-09-22,P01,S0050,SKU00525,C05,4,1,1.0
REV0000067,OI0000192,2025-08-12,P01,S0048,SKU00490,C05,4,1,1.0
REV0000068,OI0000194,2025-01-14,P01,S0020,SKU00178,C03,4,1,1.0
REV0000069,OI0000198,2025-05-07,P01,S0050,SKU00519,C02,4,1,1.0
REV0000070,OI0000206,2026-02-20,P03,S0096,SKU01013,C07,4,1,1.0
REV0000071,OI0000215,2025-12-16,P02,S0081,SKU00866,C01,3,1,1.0
REV0000072,OI0000218,2026-05-28,P02,S0081,SKU00865,C04,4,1,1.0
REV0000073,OI0000222,2026-02-16,P01,S0049,SKU00494,C05,4,1,1.0
REV0000074,OI0000225,2026-02-24,P03,S0118,SKU01248,C05,5,1,1.0
REV0000075,OI0000226,2026-06-03,P03,S0108,SKU01147,C01,4,1,1.0
REV0000076,OI0000230,2025-07-09,P03,S0096,SKU01029,C03,4,1,1.0
REV0000077,OI0000233,2025-05-18,P03,S0108,SKU01157,C05,4,1,0.35
REV0000078,OI0000236,2025-11-18,P03,S0096,SKU01011,C05,5,1,1.0
REV0000079,OI0000241,2025-02-09,P03,S0112,SKU01193,C03,4,1,1.0
REV0000080,OI0000243,2026-02-25,P01,S0049,SKU00497,C08,5,1,1.0
REV0000081,OI0000244,2025-02-12,P01,S0039,SKU00383,C01,4,1,1.0
REV0000082,OI0000247,2026-04-06,P03,S0112,SKU01190,C03,5,1,1.0
REV0000083,OI0000251,2025-01-19,P03,S0096,SKU01010,C05,4,1,1.0
REV0000084,OI0000257,2025-10-20,P01,S0009,SKU00053,C05,4,1,1.0
REV0000085,OI0000260,2026-04-14,P03,S0098,SKU01054,C07,5,1,1.0
REV0000086,OI0000261,2026-04-13,P03,S0113,SKU01202,C02,4,1,1.0
REV0000087,OI0000263,2025-11-11,P01,S0011,SKU00081,C03,4,1,1.0
REV0000088,OI0000264,2025-10-05,P01,S0031,SKU00306,C05,3,1,1.0
REV0000089,OI0000275,2025-12-20,P01,S0043,SKU00440,C02,4,1,1.0
REV0000090,OI0000284,2026-05-13,P01,S0011,SKU00091,C05,4,1,1.0
REV0000091,OI0000286,2026-05-16,P01,S0039,SKU00390,C06,4,1,1.0
REV0000092,OI0000288,2026-01-16,P01,S0028,SKU00263,C05,4,1,1.0
REV0000093,OI0000292,2026-03-01,P03,S0108,SKU01142,C01,4,1,1.0
REV0000094,OI0000295,2025-03-18,P02,S0081,SKU00864,C06,3,1,1.0
REV0000095,OI0000298,2025-02-28,P03,S0108,SKU01142,C01,4,1,1.0
REV0000096,OI0000301,2025-08-25,P03,S0096,SKU01011,C05,4,1,1.0
REV0000097,OI0000309,2026-05-12,P01,S0039,SKU00377,C03,4,1,1.0
REV0000098,OI0000310,2026-03-07,P02,S0078,SKU00832,C08,4,1,1.0
REV0000099,OI0000314,2025-08-24,P01,S0049,SKU00510,C02,4,1,1.0
REV0000100,OI0000325,2025-08-30,P03,S0096,SKU01003,C05,4,1,1.0
REV0000101,OI0000338,2026-05-16,P03,S0112,SKU01197,C03,5,1,1.0
REV0000102,OI0000340,2025-11-11,P02,S0055,SKU00606,C04,4,1,0.35
REV0000103,OI0000341,2026-01-04,P01,S0039,SKU00389,C02,4,1,1.0
REV0000104,OI0000342,2026-06-15,P01,S0024,SKU00236,C02,5,1,1.0
REV0000105,OI0000344,2025-12-07,P02,S0081,SKU00870,C02,4,1,1.0
REV0000106,OI0000349,2025-11-19,P01,S0019,SKU00152,C06,5,1,1.0
REV0000107,OI0000350,2025-04-01,P01,S0039,SKU00372,C02,4,1,1.0
REV0000108,OI0000352,2026-02-23,P01,S0036,SKU00355,C01,4,1,1.0
REV0000109,OI0000354,2025-09-13,P02,S0081,SKU00871,C05,4,1,1.0
REV0000110,OI0000356,2025-03-14,P01,S0049,SKU00505,C02,5,1,1.0
REV0000111,OI0000357,2025-11-30,P01,S0021,SKU00197,C03,4,0,1.0
REV0000112,OI0000367,2026-03-17,P02,S0075,SKU00805,C01,5,1,1.0
REV0000113,OI0000369,2025-07-19,P02,S0090,SKU00958,C06,4,1,1.0
REV0000114,OI0000373,2025-02-16,P03,S0108,SKU01146,C03,4,1,1.0
REV0000115,OI0000374,2025-12-31,P02,S0088,SKU00935,C05,5,0,1.0
REV0000116,OI0000375,2025-08-07,P03,S0096,SKU01033,C02,4,1,1.0
REV0000117,OI0000380,2025-11-02,P02,S0060,SKU00653,C02,4,1,1.0
REV0000118,OI0000381,2025-09-24,P02,S0075,SKU00790,C03,5,1,1.0
REV0000119,OI0000382,2025-10-15,P03,S0121,SKU01278,C03,5,1,1.0
REV0000120,OI0000385,2026-03-09,P02,S0084,SKU00908,C08,3,1,1.0
REV0000121,OI0000389,2026-05-18,P01,S0031,SKU00306,C05,4,1,1.0
REV0000122,OI0000390,2026-06-18,P01,S0039,SKU00384,C06,4,1,1.0
REV0000123,OI0000395,2025-05-28,P03,S0112,SKU01190,C03,4,0,1.0
REV0000124,OI0000409,2025-03-14,P02,S0078,SKU00830,C08,4,1,1.0
REV0000125,OI0000410,2025-05-25,P02,S0078,SKU00821,C04,4,1,1.0
REV0000126,OI0000412,2025-02-05,P02,S0078,SKU00840,C05,4,1,1.0
REV0000127,OI0000414,2025-05-14,P02,S0051,SKU00530,C05,5,0,1.0
REV0000128,OI0000419,2025-11-23,P01,S0049,SKU00514,C03,5,1,1.0
REV0000129,OI0000427,2025-02-01,P03,S0093,SKU00986,C03,4,1,1.0
REV0000130,OI0000429,2025-10-08,P03,S0108,SKU01152,C07,5,1,1.0
REV0000131,OI0000436,2025-08-15,P03,S0096,SKU01032,C08,4,1,1.0
REV0000132,OI0000438,2025-08-28,P03,S0096,SKU01004,C01,4,1,1.0
REV0000133,OI0000440,2026-04-19,P01,S0031,SKU00298,C03,3,1,1.0
REV0000134,OI0000442,2026-01-22,P02,S0078,SKU00841,C05,4,0,1.0
REV0000135,OI0000443,2025-07-14,P01,S0046,SKU00470,C06,4,1,1.0
REV0000136,OI0000444,2025-10-04,P03,S0096,SKU01031,C02,4,1,1.0
REV0000137,OI0000445,2025-08-14,P01,S0033,SKU00317,C07,4,1,1.0
REV0000138,OI0000447,2025-03-05,P01,S0049,SKU00507,C04,4,1,0.35
REV0000139,OI0000448,2025-04-26,P03,S0095,SKU01002,C01,3,1,1.0
REV0000140,OI0000453,2026-05-01,P02,S0089,SKU00944,C03,4,1,1.0
REV0000141,OI0000455,2026-01-31,P01,S0039,SKU00389,C02,4,1,1.0
REV0000142,OI0000460,2025-08-03,P03,S0098,SKU01052,C05,4,1,1.0
REV0000143,OI0000463,2025-07-24,P02,S0051,SKU00549,C03,4,1,1.0
REV0000144,OI0000471,2025-06-29,P02,S0051,SKU00537,C05,5,1,1.0
REV0000145,OI0000472,2025-05-12,P02,S0082,SKU00885,C03,4,1,1.0
REV0000146,OI0000473,2025-11-22,P03,S0102,SKU01079,C06,4,1,1.0
REV0000147,OI0000478,2025-10-19,P01,S0011,SKU00087,C04,4,1,1.0
REV0000148,OI0000479,2025-05-12,P01,S0039,SKU00377,C03,4,1,1.0
REV0000149,OI0000482,2025-08-29,P01,S0027,SKU00259,C06,3,1,1.0
REV0000150,OI0000483,2025-02-13,P02,S0078,SKU00842,C05,3,1,1.0
REV0000151,OI0000486,2026-01-18,P02,S0081,SKU00872,C02,4,1,1.0
REV0000152,OI0000487,2025-05-20,P03,S0096,SKU01028,C02,4,1,1.0
REV0000153,OI0000488,2025-10-10,P01,S0049,SKU00509,C07,4,1,1.0
REV0000154,OI0000489,2026-02-09,P02,S0090,SKU00956,C01,4,1,1.0
REV0000155,OI0000490,2025-06-12,P02,S0060,SKU00659,C08,5,1,1.0
REV0000156,OI0000493,2025-12-06,P02,S0078,SKU00821,C04,4,1,1.0
REV0000157,OI0000496,2026-03-11,P01,S0011,SKU00085,C01,4,1,1.0
REV0000158,OI0000498,2026-06-03,P03,S0098,SKU01043,C02,4,1,1.0
REV0000159,OI0000503,2025-07-07,P01,S0035,SKU00331,C03,4,1,0.35
REV0000160,OI0000506,2025-01-13,P01,S0049,SKU00514,C03,5,1,1.0
REV0000161,OI0000512,2025-12-12,P02,S0075,SKU00799,C04,5,1,1.0
REV0000162,OI0000519,2025-11-24,P03,S0108,SKU01145,C04,5,1,1.0
REV0000163,OI0000523,2026-04-30,P03,S0096,SKU01019,C07,3,1,1.0
REV0000164,OI0000524,2025-06-16,P02,S0053,SKU00579,C02,5,1,1.0
REV0000165,OI0000527,2025-07-31,P01,S0049,SKU00494,C05,5,1,1.0
REV0000166,OI0000529,2025-02-18,P03,S0118,SKU01242,C01,4,1,1.0
REV0000167,OI0000530,2026-01-12,P02,S0081,SKU00864,C06,4,1,1.0
REV0000168,OI0000531,2025-03-18,P01,S0033,SKU00318,C05,4,1,1.0
REV0000169,OI0000533,2025-04-13,P03,S0108,SKU01141,C05,4,1,1.0
REV0000170,OI0000535,2025-06-20,P01,S0039,SKU00388,C02,4,1,1.0
REV0000171,OI0000538,2025-05-23,P02,S0077,SKU00816,C08,5,1,1.0
REV0000172,OI0000539,2026-04-10,P03,S0108,SKU01148,C03,3,0,1.0
REV0000173,OI0000541,2025-04-21,P01,S0039,SKU00387,C03,4,1,1.0
REV0000174,OI0000546,2025-04-09,P03,S0098,SKU01060,C02,4,1,1.0
REV0000175,OI0000547,2025-09-04,P03,S0096,SKU01015,C05,4,1,1.0
REV0000176,OI0000552,2025-12-23,P02,S0055,SKU00599,C06,5,0,1.0
REV0000177,OI0000554,2026-03-31,P03,S0112,SKU01197,C03,4,1,1.0
REV0000178,OI0000555,2025-08-18,P01,S0049,SKU00514,C03,5,1,1.0
REV0000179,OI0000556,2025-12-24,P01,S0039,SKU00376,C08,4,1,0.35
REV0000180,OI0000558,2025-11-24,P01,S0048,SKU00491,C05,4,1,1.0
REV0000181,OI0000561,2025-04-11,P01,S0039,SKU00372,C02,4,1,1.0
REV0000182,OI0000562,2026-04-13,P03,S0108,SKU01142,C01,5,1,1.0
REV0000183,OI0000564,2025-06-30,P02,S0075,SKU00798,C04,4,1,1.0
REV0000184,OI0000568,2025-10-10,P01,S0049,SKU00503,C01,4,1,1.0
REV0000185,OI0000570,2025-11-15,P02,S0070,SKU00740,C03,4,1,1.0
REV0000186,OI0000574,2025-07-29,P01,S0039,SKU00375,C03,5,1,1.0
REV0000187,OI0000576,2025-03-07,P01,S0049,SKU00505,C02,5,1,1.0
REV0000188,OI0000577,2025-04-27,P02,S0078,SKU00824,C02,4,1,1.0
REV0000189,OI0000578,2026-05-04,P03,S0096,SKU01025,C01,4,1,1.0
REV0000190,OI0000583,2025-07-20,P02,S0082,SKU00876,C05,3,1,1.0
REV0000191,OI0000589,2026-01-05,P02,S0082,SKU00881,C05,3,1,1.0
REV0000192,OI0000591,2025-04-27,P01,S0049,SKU00498,C08,5,1,1.0
REV0000193,OI0000597,2025-09-21,P02,S0052,SKU00564,C05,4,1,0.35
REV0000194,OI0000598,2025-03-11,P03,S0108,SKU01142,C01,5,1,1.0
REV0000195,OI0000600,2025-06-24,P02,S0078,SKU00833,C04,4,1,1.0
REV0000196,OI0000602,2026-03-02,P03,S0096,SKU01028,C02,4,1,1.0
REV0000197,OI0000607,2025-09-12,P01,S0049,SKU00501,C04,4,1,1.0
REV0000198,OI0000609,2025-05-23,P01,S0031,SKU00294,C05,4,1,1.0
REV0000199,OI0000610,2026-04-23,P01,S0023,SKU00213,C05,4,1,1.0
REV0000200,OI0000613,2025-02-07,P01,S0011,SKU00089,C06,4,1,1.0
REV0000201,OI0000614,2025-10-25,P03,S0096,SKU01030,C05,5,1,1.0
REV0000202,OI0000616,2025-08-10,P01,S0026,SKU00245,C08,4,1,1.0
REV0000203,OI0000619,2025-04-08,P03,S0112,SKU01196,C05,4,1,1.0
REV0000204,OI0000621,2025-12-07,P01,S0044,SKU00450,C07,3,1,1.0
REV0000205,OI0000622,2025-08-08,P01,S0049,SKU00494,C05,4,1,1.0
REV0000206,OI0000624,2025-10-06,P01,S0048,SKU00483,C06,4,1,1.0
REV0000207,OI0000629,2025-08-23,P02,S0079,SKU00849,C01,4,1,1.0
REV0000208,OI0000633,2025-09-04,P03,S0108,SKU01152,C07,5,1,1.0
REV0000209,OI0000636,2025-10-14,P02,S0081,SKU00865,C04,4,1,1.0
REV0000210,OI0000637,2025-04-17,P03,S0098,SKU01045,C06,5,1,1.0
REV0000211,OI0000639,2025-03-18,P01,S0031,SKU00302,C04,4,1,1.0
REV0000212,OI0000645,2025-06-11,P01,S0031,SKU00302,C04,4,1,1.0
REV0000213,OI0000654,2026-05-15,P02,S0051,SKU00542,C03,4,1,1.0
REV0000214,OI0000659,2025-07-17,P02,S0084,SKU00903,C04,4,1,1.0
REV0000215,OI0000664,2025-06-15,P03,S0118,SKU01250,C01,5,1,1.0
REV0000216,OI0000668,2025-04-06,P03,S0121,SKU01284,C04,4,1,1.0
REV0000217,OI0000669,2025-06-19,P01,S0020,SKU00187,C05,3,1,1.0
REV0000218,OI0000670,2025-11-05,P01,S0019,SKU00156,C04,5,1,1.0
REV0000219,OI0000671,2025-02-05,P01,S0050,SKU00524,C06,4,1,1.0
REV0000220,OI0000673,2026-04-26,P02,S0052,SKU00560,C03,5,1,1.0
REV0000221,OI0000684,2026-06-01,P02,S0060,SKU00655,C05,4,1,1.0
REV0000222,OI0000686,2025-12-02,P03,S0112,SKU01187,C04,4,1,1.0
REV0000223,OI0000692,2025-11-06,P01,S0019,SKU00150,C01,5,1,1.0
REV0000224,OI0000694,2026-03-23,P03,S0096,SKU01013,C07,5,1,1.0
REV0000225,OI0000699,2026-02-02,P01,S0049,SKU00497,C08,4,1,1.0
REV0000226,OI0000701,2026-04-20,P01,S0006,SKU00036,C02,4,1,1.0
REV0000227,OI0000703,2025-10-25,P02,S0081,SKU00866,C01,3,1,1.0
REV0000228,OI0000707,2026-05-26,P02,S0068,SKU00725,C06,4,1,1.0
REV0000229,OI0000709,2025-11-21,P02,S0084,SKU00909,C05,5,1,1.0
REV0000230,OI0000712,2026-04-05,P02,S0082,SKU00877,C05,3,1,1.0
REV0000231,OI0000713,2025-07-08,P01,S0039,SKU00390,C06,4,1,0.35
REV0000232,OI0000718,2025-05-31,P01,S0027,SKU00251,C02,4,1,1.0
REV0000233,OI0000719,2026-06-12,P01,S0048,SKU00491,C05,4,1,1.0
REV0000234,OI0000722,2025-09-18,P01,S0033,SKU00322,C05,4,1,1.0
REV0000235,OI0000723,2025-12-29,P03,S0098,SKU01049,C03,4,1,1.0
REV0000236,OI0000724,2026-01-31,P01,S0035,SKU00342,C08,5,1,1.0
REV0000237,OI0000737,2026-01-27,P01,S0019,SKU00165,C05,5,1,1.0
REV0000238,OI0000738,2025-05-24,P01,S0049,SKU00498,C08,5,1,1.0
REV0000239,OI0000743,2025-09-05,P01,S0017,SKU00131,C01,5,1,1.0
REV0000240,OI0000751,2025-08-20,P03,S0108,SKU01160,C04,4,1,1.0
REV0000241,OI0000752,2025-10-10,P03,S0096,SKU01030,C05,4,1,1.0
REV0000242,OI0000753,2025-03-20,P01,S0050,SKU00522,C03,4,1,1.0
REV0000243,OI0000754,2026-04-24,P03,S0093,SKU00979,C02,5,1,1.0
REV0000244,OI0000755,2026-05-31,P03,S0096,SKU01011,C05,4,1,1.0
REV0000245,OI0000756,2025-09-20,P01,S0020,SKU00191,C05,3,1,1.0
REV0000246,OI0000758,2026-05-19,P02,S0051,SKU00546,C06,5,1,1.0
REV0000247,OI0000759,2025-02-10,P01,S0049,SKU00498,C08,4,1,1.0
REV0000248,OI0000767,2026-02-04,P03,S0096,SKU01010,C05,4,1,1.0
REV0000249,OI0000768,2026-04-08,P02,S0051,SKU00531,C05,4,1,1.0
REV0000250,OI0000770,2026-02-21,P01,S0048,SKU00489,C04,4,1,1.0
REV0000251,OI0000772,2025-03-26,P01,S0031,SKU00296,C01,4,1,1.0
REV0000252,OI0000773,2026-03-11,P03,S0098,SKU01046,C06,5,1,1.0
REV0000253,OI0000777,2025-09-11,P03,S0096,SKU01003,C05,4,1,1.0
REV0000254,OI0000781,2025-11-24,P03,S0102,SKU01094,C02,4,1,0.35
REV0000255,OI0000782,2025-01-28,P02,S0070,SKU00738,C01,3,1,1.0
REV0000256,OI0000787,2025-08-10,P01,S0019,SKU00159,C06,5,1,1.0
REV0000257,OI0000788,2026-01-13,P01,S0043,SKU00435,C05,3,1,1.0
REV0000258,OI0000792,2025-08-15,P02,S0052,SKU00561,C03,4,1,1.0
REV0000259,OI0000798,2026-05-24,P01,S0039,SKU00388,C02,4,1,1.0
REV0000260,OI0000801,2025-01-15,P01,S0031,SKU00295,C01,3,1,1.0
REV0000261,OI0000809,2026-02-12,P03,S0120,SKU01274,C02,4,1,1.0
REV0000262,OI0000810,2025-12-06,P03,S0102,SKU01082,C02,4,1,1.0
REV0000263,OI0000812,2026-06-12,P03,S0098,SKU01051,C04,4,1,1.0
REV0000264,OI0000817,2025-07-28,P01,S0031,SKU00305,C08,4,1,1.0
REV0000265,OI0000821,2025-11-21,P02,S0051,SKU00531,C05,5,1,1.0
REV0000266,OI0000822,2026-03-14,P01,S0031,SKU00303,C07,4,1,1.0
REV0000267,OI0000823,2025-03-22,P03,S0096,SKU01013,C07,5,1,1.0
REV0000268,OI0000830,2025-12-18,P01,S0039,SKU00383,C01,4,1,1.0
REV0000269,OI0000832,2025-03-17,P01,S0048,SKU00491,C05,4,1,1.0
REV0000270,OI0000833,2025-09-05,P02,S0078,SKU00824,C02,4,1,1.0
REV0000271,OI0000836,2026-01-05,P01,S0027,SKU00255,C01,3,1,1.0
REV0000272,OI0000837,2025-04-05,P02,S0081,SKU00863,C07,4,1,1.0
REV0000273,OI0000841,2025-05-27,P03,S0122,SKU01291,C07,5,1,1.0
REV0000274,OI0000848,2025-04-27,P01,S0027,SKU00253,C03,4,1,1.0
REV0000275,OI0000852,2025-06-18,P02,S0054,SKU00590,C04,4,1,1.0
REV0000276,OI0000854,2026-04-07,P02,S0067,SKU00708,C05,4,1,1.0
REV0000277,OI0000856,2025-12-10,P02,S0088,SKU00929,C03,5,0,1.0
REV0000278,OI0000867,2025-11-02,P02,S0078,SKU00824,C02,4,1,1.0
REV0000279,OI0000874,2025-02-09,P01,S0018,SKU00146,C06,4,1,1.0
REV0000280,OI0000878,2026-02-12,P03,S0096,SKU01033,C02,4,1,1.0
REV0000281,OI0000883,2026-01-28,P01,S0031,SKU00300,C02,4,1,1.0
REV0000282,OI0000884,2025-12-19,P03,S0098,SKU01043,C02,5,1,1.0
REV0000283,OI0000890,2025-04-07,P02,S0074,SKU00778,C07,4,0,1.0
REV0000284,OI0000892,2025-10-07,P01,S0049,SKU00501,C04,4,1,1.0
REV0000285,OI0000895,2026-03-14,P01,S0048,SKU00487,C06,4,1,1.0
REV0000286,OI0000905,2025-02-13,P01,S0024,SKU00229,C08,4,1,1.0
REV0000287,OI0000908,2025-12-06,P01,S0011,SKU00081,C03,4,0,0.35
REV0000288,OI0000912,2025-08-01,P01,S0039,SKU00391,C07,4,1,1.0
REV0000289,OI0000916,2025-07-29,P03,S0096,SKU01032,C08,4,1,1.0
REV0000290,OI0000920,2026-01-20,P01,S0039,SKU00395,C05,4,1,1.0
REV0000291,OI0000921,2025-10-30,P02,S0052,SKU00564,C05,4,1,1.0
REV0000292,OI0000928,2026-04-07,P02,S0056,SKU00616,C05,4,1,1.0
REV0000293,OI0000929,2025-07-06,P01,S0049,SKU00497,C08,4,1,1.0
REV0000294,OI0000932,2026-02-05,P01,S0035,SKU00346,C02,4,1,1.0
REV0000295,OI0000933,2025-08-03,P01,S0049,SKU00504,C08,4,1,1.0
REV0000296,OI0000937,2026-05-20,P03,S0108,SKU01146,C03,4,1,1.0
REV0000297,OI0000939,2025-07-29,P03,S0110,SKU01171,C04,4,1,1.0
REV0000298,OI0000945,2026-06-16,P02,S0075,SKU00806,C03,4,1,1.0
REV0000299,OI0000947,2026-03-14,P02,S0074,SKU00784,C02,4,1,1.0
REV0000300,OI0000950,2025-02-16,P01,S0035,SKU00351,C04,4,1,1.0
REV0000301,OI0000954,2025-09-26,P03,S0093,SKU00981,C05,4,1,1.0
REV0000302,OI0000960,2025-09-27,P01,S0050,SKU00522,C03,4,1,1.0
REV0000303,OI0000961,2025-07-25,P03,S0108,SKU01149,C03,4,1,1.0
REV0000304,OI0000966,2025-05-04,P01,S0011,SKU00087,C04,5,1,1.0
REV0000305,OI0000969,2025-08-23,P01,S0049,SKU00497,C08,4,0,1.0
REV0000306,OI0000977,2025-10-09,P02,S0075,SKU00808,C03,4,1,1.0
REV0000307,OI0000986,2025-10-23,P03,S0096,SKU01021,C01,5,1,1.0
REV0000308,OI0000988,2025-09-14,P02,S0081,SKU00862,C01,4,1,1.0
REV0000309,OI0000992,2025-05-06,P02,S0053,SKU00570,C03,4,1,1.0
REV0000310,OI0000993,2025-03-17,P01,S0033,SKU00325,C07,4,0,1.0
REV0000311,OI0000994,2025-02-06,P01,S0033,SKU00318,C05,4,1,1.0
REV0000312,OI0000997,2026-01-02,P02,S0090,SKU00947,C08,4,1,1.0
REV0000313,OI0001003,2026-02-19,P02,S0078,SKU00827,C07,5,1,1.0
REV0000314,OI0001006,2025-10-28,P02,S0073,SKU00771,C05,3,1,1.0
REV0000315,OI0001010,2025-07-22,P03,S0108,SKU01142,C01,4,1,1.0
REV0000316,OI0001013,2025-11-10,P03,S0096,SKU01034,C07,4,1,1.0
REV0000317,OI0001016,2025-11-13,P01,S0046,SKU00468,C01,5,1,1.0
REV0000318,OI0001018,2026-01-14,P01,S0020,SKU00189,C01,4,1,1.0
REV0000319,OI0001028,2026-03-23,P03,S0108,SKU01143,C05,5,1,1.0
REV0000320,OI0001029,2025-04-23,P02,S0089,SKU00944,C03,4,1,1.0
REV0000321,OI0001031,2026-02-12,P02,S0075,SKU00790,C03,4,1,1.0
REV0000322,OI0001036,2026-02-12,P03,S0096,SKU01008,C05,4,1,1.0
REV0000323,OI0001037,2025-02-03,P03,S0108,SKU01136,C03,4,1,1.0
