year_month,platform_id,seller_id,ads_spend,voucher_cost
2025-03,P02,S0065,3.6,2.39
2025-03,P02,S0066,5.43,1.42
2025-03,P02,S0067,19.37,7.12
2025-03,P02,S0068,24.42,11.16
2025-03,P02,S0069,5.91,2.44
2025-03,P02,S0070,20.09,45.03
2025-03,P02,S0071,47.93,22.5
2025-03,P02,S0072,47.76,16.19
2025-03,P02,S0073,12.09,4.12
2025-03,P02,S0074,41.67,14.9
2025-03,P02,S0075,63.4,61.9
2025-03,P02,S0076,3.37,1.62
2025-03,P02,S0077,48.02,12.92
2025-03,P02,S0078,290.08,60.46
2025-03,P02,S0079,52.78,18.55
2025-03,P02,S0080,2.69,0.63
2025-03,P02,S0081,226.27,207.93
2025-03,P02,S0082,13.76,27.31
2025-03,P02,S0083,27.0,40.34
2025-03,P02,S0084,57.99,45.47
2025-03,P02,S0085,17.92,40.06
2025-03,P02,S0086,5.92,15.21
2025-03,P02,S0087,5.58,3.69
2025-03,P02,S0088,42.15,35.22
2025-03,P02,S0089,1.85,4.45
2025-03,P02,S0090,44.28,80.95
2025-03,P02,S0091,1.53,1.37
2025-03,P02,S0092,3.31,3.62
2025-03,P03,S0093,84.4,131.19
2025-03,P03,S0094,8.0,3.94
2025-03,P03,S0095,33.3,57.66
2025-03,P03,S0096,1161.63,453.61
2025-03,P03,S0097,1.86,2.98
2025-03,P03,S0098,188.43,259.17
2025-03,P03,S0099,7.95,4.33
2025-03,P03,S0100,5.71,2.57
2025-03,P03,S0101,21.19,14.97
2025-03,P03,S0102,60.78,33.38
2025-03,P03,S0103,0.77,1.2
2025-03,P03,S0104,20.33,38.8
2025-03,P03,S0105,43.66,7.93
2025-03,P03,S0107,23.3,3.6
2025-03,P03,S0108,535.61,197.9
2025-03,P03,S0109,21.76,8.72
2025-03,P03,S0110,2.42,3.49
2025-03,P03,S0111,5.98,9.45
2025-03,P03,S0112,50.44,45.5
2025-03,P03,S0113,12.57,6.3
2025-03,P03,S0114,17.1,17.4
2025-03,P03,S0115,2.63,0.84
2025-03,P03,S0116,11.42,8.61
2025-03,P03,S0117,47.29,9.59
2025-03,P03,S0118,65.6,43.32
2025-03,P03,S0119,12.42,6.59
2025-03,P03,S0120,39.41,16.34
2025-03,P03,S0121,10.98,3.45
2025-03,P03,S0122,0.15,0.18
2025-04,P01,S0001,32.64,28.01
2025-04,P01,S0002,3.04,1.24
2025-04,P01,S0003,16.85,3.81
2025-04,P01,S0004,8.18,6.12
2025-04,P01,S0005,30.24,5.17
2025-04,P01,S0006,3.57,5.81
2025-04,P01,S0007,9.41,8.71
2025-04,P01,S0008,12.07,6.38
2025-04,P01,S0009,149.28,98.06
2025-04,P01,S0010,1.52,2.64
2025-04,P01,S0011,525.94,344.66
2025-04,P01,S0012,8.36,2.68
2025-04,P01,S0013,65.34,15.01
2025-04,P01,S0014,7.43,13.93
2025-04,P01,S0015,5.51,13.17
2025-04,P01,S0016,0.83,0.51
2025-04,P01,S0017,26.35,45.57
2025-04,P01,S0018,18.57,22.52
2025-04,P01,S0019,123.43,53.97
2025-04,P01,S0020,31.28,25.26
2025-04,P01,S0021,21.9,11.68
2025-04,P01,S0022,0.95,0.45
2025-04,P01,S0023,38.23,6.55
2025-04,P01,S0024,96.4,204.97
2025-04,P01,S0025,1.97,4.21
2025-04,P01,S0026,18.25,19.52
2025-04,P01,S0027,53.58,58.35
2025-04,P01,S0028,1.68,1.11
2025-04,P01,S0029,17.79,8.5
2025-04,P01,S0030,9.2,5.66
2025-04,P01,S0031,232.12,182.22
2025-04,P01,S0032,13.09,7.17
2025-04,P01,S0033,219.29,73.64
2025-04,P01,S0034,3.71,3.91
2025-04,P01,S0035,171.75,114.21
2025-04,P01,S0036,32.97,26.96
2025-04,P01,S0037,26.94,18.57
2025-04,P01,S0038,19.75,28.98
2025-04,P01,S0039,706.13,812.96
2025-04,P01,S0040,8.23,4.2
2025-04,P01,S0041,7.59,3.32
2025-04,P01,S0042,55.31,32.89
2025-04,P01,S0043,22.52,18.97
2025-04,P01,S0044,6.84,14.08
2025-04,P01,S0045,23.35,16.01
2025-04,P01,S0046,58.78,87.12
2025-04,P01,S0047,27.47,11.3
2025-04,P01,S0048,66.97,116.56
2025-04,P01,S0049,480.91,310.62
2025-04,P01,S0050,36.52,26.19
2025-04,P02,S0051,51.02,64.15
2025-04,P02,S0052,42.67,115.82
2025-04,P02,S0053,12.14,19.87
2025-04,P02,S0054,21.94,7.32
2025-04,P02,S0055,144.56,102.48
2025-04,P02,S0056,15.34,3.87
2025-04,P02,S0057,15.86,38.6
2025-04,P02,S0059,20.08,11.59
2025-04,P02,S0060,29.95,57.38
2025-04,P02,S0061,21.18,8.11
2025-04,P02,S0062,74.47,38.36
2025-04,P02,S0064,25.09,11.45
2025-04,P02,S0065,12.79,10.68
2025-04,P02,S0066,1.99,2.31
2025-04,P02,S0067,4.3,1.66
2025-04,P02,S0068,28.88,19.67
2025-04,P02,S0069,34.65,22.77
2025-04,P02,S0070,51.07,29.68
2025-04,P02,S0071,75.73,25.6
2025-04,P02,S0072,45.9,32.4
2025-04,P02,S0073,6.61,12.93
2025-04,P02,S0074,29.76,17.48
2025-04,P02,S0075,241.41,142.73
2025-04,P02,S0076,11.96,6.74
2025-04,P02,S0077,33.08,29.81
2025-04,P02,S0078,181.53,161.36
2025-04,P02,S0079,8.79,15.24
2025-04,P02,S0080,11.58,7.5
2025-04,P02,S0081,285.42,72.84
2025-04,P02,S0082,25.09,19.85
2025-04,P02,S0083,30.66,22.97
2025-04,P02,S0084,115.91,42.79
2025-04,P02,S0085,5.75,7.07
2025-04,P02,S0086,51.92,38.6
2025-04,P02,S0087,5.35,4.63
2025-04,P02,S0088,21.99,43.2
2025-04,P02,S0089,8.7,4.31
2025-04,P02,S0090,123.07,73.15
2025-04,P02,S0091,3.27,1.54
2025-04,P02,S0092,7.55,4.13
2025-04,P03,S0093,146.02,80.48
2025-04,P03,S0094,5.04,5.99
2025-04,P03,S0095,43.41,121.88
2025-04,P03,S0096,708.27,275.02
2025-04,P03,S0097,11.94,5.71
2025-04,P03,S0098,321.14,220.81
2025-04,P03,S0099,0.21,0.36
2025-04,P03,S0100,0.9,1.2
2025-04,P03,S0101,4.76,3.95
2025-04,P03,S0102,72.28,117.67
2025-04,P03,S0103,7.06,2.63
2025-04,P03,S0104,48.18,85.77
2025-04,P03,S0105,15.25,41.64
2025-04,P03,S0106,2.65,1.28
2025-04,P03,S0107,37.09,33.38
2025-04,P03,S0108,405.65,235.11
2025-04,P03,S0109,26.53,12.13
2025-04,P03,S0110,10.41,4.74
2025-04,P03,S0111,20.2,14.62
2025-04,P03,S0112,133.71,111.66
2025-04,P03,S0113,3.38,2.29
2025-04,P03,S0114,23.6,17.4
2025-04,P03,S0115,1.26,0.45
2025-04,P03,S0116,53.8,34.5
2025-04,P03,S0117,36.96,12.96
2025-04,P03,S0118,50.52,55.46
2025-04,P03,S0119,2.5,3.11
2025-04,P03,S0120,28.17,52.55
2025-04,P03,S0121,15.02,24.87
2025-04,P03,S0122,3.54,2.18
2025-05,P01,S0001,42.0,47.24
2025-05,P01,S0002,7.0,1.7
2025-05,P01,S0003,4.78,5.13
2025-05,P01,S0004,3.7,1.43
2025-05,P01,S0005,27.1,18.96
2025-05,P01,S0006,16.95,13.77
2025-05,P01,S0007,20.08,6.48
2025-05,P01,S0009,119.49,55.33
2025-05,P01,S0010,3.98,1.64
2025-05,P01,S0011,309.51,193.68
2025-05,P01,S0012,6.56,7.64
2025-05,P01,S0013,81.3,85.72
2025-05,P01,S0014,5.81,3.66
2025-05,P01,S0015,34.08,33.01
2025-05,P01,S0016,0.0,0.0
2025-05,P01,S0017,66.06,48.52
2025-05,P01,S0018,47.65,44.35
2025-05,P01,S0019,261.23,257.09
2025-05,P01,S0020,21.78,51.32
2025-05,P01,S0021,47.5,16.34
2025-05,P01,S0022,2.66,0.93
2025-05,P01,S0023,17.28,43.96
2025-05,P01,S0024,128.18,84.65
2025-05,P01,S0025,2.78,1.31
2025-05,P01,S0026,33.91,29.26
2025-05,P01,S0027,125.78,81.18
2025-05,P01,S0028,5.94,11.34
2025-05,P01,S0029,8.85,4.12
2025-05,P01,S0030,11.21,6.45
2025-05,P01,S0031,449.94,313.88
2025-05,P01,S0032,11.19,11.18
2025-05,P01,S0033,118.38,212.02
2025-05,P01,S0034,2.26,1.3
2025-05,P01,S0035,144.06,149.34
2025-05,P01,S0036,37.98,17.53
2025-05,P01,S0037,30.07,19.3
2025-05,P01,S0038,48.18,10.8
2025-05,P01,S0039,1286.24,738.88
2025-05,P01,S0040,28.17,27.71
2025-05,P01,S0041,21.32,8.52
2025-05,P01,S0042,73.19,39.64
2025-05,P01,S0043,14.84,6.29
2025-05,P01,S0044,8.38,7.38
2025-05,P01,S0045,24.39,16.4
2025-05,P01,S0046,50.67,39.81
2025-05,P01,S0047,23.05,9.15
2025-05,P01,S0048,206.39,135.93
2025-05,P01,S0049,632.23,257.29
2025-05,P01,S0050,34.33,21.92
2025-05,P02,S0051,37.87,83.85
2025-05,P02,S0052,52.27,57.34
2025-05,P02,S0053,25.09,31.06
2025-05,P02,S0054,22.17,14.53
2025-05,P02,S0055,35.46,26.39
2025-05,P02,S0056,35.12,13.99
2025-05,P02,S0057,18.28,39.9
2025-05,P02,S0058,3.58,3.47
2025-05,P02,S0059,29.02,7.81
2025-05,P02,S0060,42.36,70.99
2025-05,P02,S0061,17.69,8.89
2025-05,P02,S0062,51.04,13.82
2025-05,P02,S0063,0.96,0.47
2025-05,P02,S0064,18.49,3.05
2025-05,P02,S0065,3.72,1.29
2025-05,P02,S0066,3.0,2.02
2025-05,P02,S0067,2.1,1.18
2025-05,P02,S0068,35.59,43.09
2025-05,P02,S0069,5.01,1.61
2025-05,P02,S0070,14.8,35.96
2025-05,P02,S0071,22.75,22.87
2025-05,P02,S0072,46.49,27.91
2025-05,P02,S0073,4.7,5.7
2025-05,P02,S0074,25.71,12.17
2025-05,P02,S0075,97.43,58.0
2025-05,P02,S0076,6.05,4.4
2025-05,P02,S0077,18.32,7.98
2025-05,P02,S0078,221.44,230.42
2025-05,P02,S0079,61.1,23.39
2025-05,P02,S0080,6.79,4.74
2025-05,P02,S0081,265.08,146.8
2025-05,P02,S0082,31.87,12.11
2025-05,P02,S0083,79.34,30.38
2025-05,P02,S0084,78.03,66.15
2025-05,P02,S0085,21.54,18.64
2025-05,P02,S0086,25.89,21.15
2025-05,P02,S0087,3.4,0.84
2025-05,P02,S0088,81.56,39.98
2025-05,P02,S0089,11.36,8.91
2025-05,P02,S0090,54.7,31.03
2025-05,P02,S0091,13.25,2.22
2025-05,P02,S0092,0.19,0.29
2025-05,P03,S0093,175.51,77.46
2025-05,P03,S0094,4.48,2.43
2025-05,P03,S0095,152.87,62.77
2025-05,P03,S0096,624.89,593.41
2025-05,P03,S0097,14.74,9.72
2025-05,P03,S0098,121.05,129.66
2025-05,P03,S0099,3.01,1.8
2025-05,P03,S0101,6.92,2.12
2025-05,P03,S0102,131.81,66.32
2025-05,P03,S0104,40.78,67.97
2025-05,P03,S0105,33.49,13.15
2025-05,P03,S0106,5.93,5.71
2025-05,P03,S0107,22.49,6.84
2025-05,P03,S0108,463.25,99.79
2025-05,P03,S0109,6.8,8.45
2025-05,P03,S0110,7.22,4.37
2025-05,P03,S0111,7.79,9.74
2025-05,P03,S0112,239.93,179.03
2025-05,P03,S0113,6.93,1.99
2025-05,P03,S0114,34.24,12.74
2025-05,P03,S0115,6.5,1.54
2025-05,P03,S0116,37.19,40.86
2025-05,P03,S0117,36.35,21.04
2025-05,P03,S0118,32.69,43.43
2025-05,P03,S0119,1.24,1.58
2025-05,P03,S0120,30.51,44.97
2025-05,P03,S0121,7.75,13.74
2025-05,P03,S0122,4.42,3.08
2025-06,P01,S0001,38.2,23.49
2025-06,P01,S0002,3.74,2.73
2025-06,P01,S0003,2.5,0.91
2025-06,P01,S0004,8.04,10.1
2025-06,P01,S0005,1.3,4.21
2025-06,P01,S0006,11.22,11.92
2025-06,P01,S0007,23.71,7.64
2025-06,P01,S0008,33.3,15.92
2025-06,P01,S0009,84.18,89.07
2025-06,P01,S0010,2.87,4.81
2025-06,P01,S0011,151.67,145.24
2025-06,P01,S0013,92.34,55.66
2025-06,P01,S0014,9.41,7.5
2025-06,P01,S0015,11.43,26.69
2025-06,P01,S0017,78.29,85.76
2025-06,P01,S0018,24.68,44.53
2025-06,P01,S0019,354.23,69.31
2025-06,P01,S0020,47.21,50.49
2025-06,P01,S0021,12.47,10.45
2025-06,P01,S0022,20.72,5.92
2025-06,P01,S0023,27.21,31.35
2025-06,P01,S0024,194.2,47.05
2025-06,P01,S0025,0.34,0.58
2025-06,P01,S0026,15.36,27.55
2025-06,P01,S0027,78.4,69.71
2025-06,P01,S0028,4.63,3.36
2025-06,P01,S0029,25.83,14.38
2025-06,P01,S0030,6.52,5.18
2025-06,P01,S0031,211.28,375.9
2025-06,P01,S0032,3.25,2.3
2025-06,P01,S0033,218.44,145.38
2025-06,P01,S0034,3.21,2.03
2025-06,P01,S0035,396.0,143.51
2025-06,P01,S0036,12.81,21.09
2025-06,P01,S0037,31.71,33.52
2025-06,P01,S0038,27.68,9.84
2025-06,P01,S0039,936.42,357.12
2025-06,P01,S0040,17.47,6.84
2025-06,P01,S0041,18.22,7.95
2025-06,P01,S0042,47.94,8.09
2025-06,P01,S0043,5.31,12.93
2025-06,P01,S0044,10.43,4.33
2025-06,P01,S0045,12.57,3.42
2025-06,P01,S0046,74.38,80.92
2025-06,P01,S0047,10.87,13.38
2025-06,P01,S0048,122.24,49.73
2025-06,P01,S0049,292.68,324.26
2025-06,P01,S0050,31.02,29.25
2025-06,P02,S0051,108.27,123.14
2025-06,P02,S0052,67.14,56.19
2025-06,P02,S0053,44.08,23.75
2025-06,P02,S0054,10.87,12.51
2025-06,P02,S0055,30.39,70.72
2025-06,P02,S0056,32.53,6.37
2025-06,P02,S0057,16.18,40.53
2025-06,P02,S0058,2.76,2.73
2025-06,P02,S0059,85.38,63.81
2025-06,P02,S0060,45.28,50.87
2025-06,P02,S0061,28.08,6.03
2025-06,P02,S0062,67.47,18.2
2025-06,P02,S0063,1.71,2.08
2025-06,P02,S0064,9.26,7.72
2025-06,P02,S0065,39.73,22.88
2025-06,P02,S0066,10.21,8.82
2025-06,P02,S0067,17.96,8.1
2025-06,P02,S0068,31.45,16.19
2025-06,P02,S0069,8.77,11.88
2025-06,P02,S0070,46.61,17.6
2025-06,P02,S0071,58.54,80.5
2025-06,P02,S0072,23.81,14.62
2025-06,P02,S0073,3.55,4.38
2025-06,P02,S0074,35.12,12.39
2025-06,P02,S0075,169.12,68.91
2025-06,P02,S0076,22.91,8.22
2025-06,P02,S0077,49.1,21.07
2025-06,P02,S0078,331.97,176.02
2025-06,P02,S0079,55.36,14.5
2025-06,P02,S0080,5.49,7.45
2025-06,P02,S0081,172.51,167.87
2025-06,P02,S0082,56.4,31.64
2025-06,P02,S0083,87.97,62.56
2025-06,P02,S0084,42.36,47.11
2025-06,P02,S0085,43.47,8.9
2025-06,P02,S0086,36.83,17.82
2025-06,P02,S0088,46.68,55.2
2025-06,P02,S0089,6.39,1.01
2025-06,P02,S0090,101.4,42.17
2025-06,P02,S0091,0.95,0.83
2025-06,P02,S0092,11.22,6.66
2025-06,P03,S0093,68.9,100.89
2025-06,P03,S0094,2.7,3.57
2025-06,P03,S0095,46.26,88.13
2025-06,P03,S0096,997.44,634.4
2025-06,P03,S0097,4.39,3.33
2025-06,P03,S0098,437.9,180.67
2025-06,P03,S0099,2.12,2.77
