seller_id,seller_name,platform_id,region,seller_tier,lifecycle_status,account_manager,official_store_flag,active_flag,join_date,demand_weight,fulfillment_quality,cancel_propensity,rating_base,stock_discipline
S0067,Lazada Seller 067,P02,Hanoi,Long-tail,Stable,AM Growth,0,1,2023-08-04,0.8106015287666729,0.7732505141827066,0.07973451672501579,4.292216515420308,0.6278049439032335
S0068,Lazada Seller 068,P02,Hai Phong,Key,Stable,AM South,1,1,2023-10-15,3.2578200287840864,0.9713526854482836,0.12036350998555644,4.605717524104284,0.736613702592323
S0069,Lazada Seller 069,P02,Da Nang,Long-tail,Stable,AM Central,0,1,2023-04-22,0.6624160933420772,0.8078341952087381,0.08019073591048842,3.938445905634024,0.7859058535218395
S0070,Lazada Seller 070,P02,Nationwide,Mid,Growing,AM Key,0,1,2024-02-23,2.357228413931445,0.8710491711403668,0.08075835147954301,4.010109430668241,0.7807386971077097
S0071,Lazada Seller 071,P02,Hanoi,Mid,Stable,AM Central,0,1,2022-10-04,1.4983199714068285,0.8287210485400763,0.10719361293457223,4.371958592285477,0.8550298546998052
S0072,Lazada Seller 072,P02,Hai Phong,Mid,Stable,AM South,0,1,2022-11-04,0.9525149423101874,0.931244837900846,0.07167016919210802,4.041433312803419,0.8038095203056685
S0073,Lazada Seller 073,P02,Da Nang,Long-tail,Declining,AM Growth,0,0,2023-02-21,0.7489075989032522,0.8150172670794699,0.2221484287505363,3.564740739137772,0.7560031300495157
S0074,Lazada Seller 074,P02,Hai Phong,Mid,Churn Risk,AM Key,0,1,2024-02-07,1.4170074435381186,0.9609171217255882,0.04550389079934236,4.1957184249579225,0.7921525967399314
S0075,Lazada Seller 075,P02,Can Tho,Key,Declining,AM Central,1,1,2023-06-21,4.421348012681078,0.966551149891556,0.08828164322059391,4.359013911294775,0.9012869247036511
S0076,Lazada Seller 076,P02,Nationwide,Long-tail,Growing,AM South,0,1,2023-04-24,1.6173848437959841,0.8736728423439439,0.10752573073503396,4.426045990926728,0.8098391253498902
S0077,Lazada Seller 077,P02,Nationwide,Mid,Growing,AM North,0,1,2024-06-17,1.6276767849879723,0.9896068918470496,0.04283583037887633,4.780595716014564,0.9819382705861085
S0078,Lazada Seller 078,P02,Can Tho,Key,Declining,AM Key,1,1,2024-04-08,7.488782408634569,0.995,0.03300660183180782,3.956074063758585,0.7363127068595594
S0079,Lazada Seller 079,P02,Nationwide,Mid,Growing,AM Key,0,1,2022-12-15,2.6314235931017977,0.9407170349761994,0.032496105352519296,4.408050831776314,0.7063188001083059
S0080,Lazada Seller 080,P02,Hai Phong,New,New,AM North,0,1,2023-09-04,0.2731988577105012,0.718444452306165,0.0767066612066354,3.424095470318678,0.7066641310532209
S0081,Lazada Seller 081,P02,Hanoi,Key,Declining,AM Key,1,1,2024-01-18,9.524169284510945,0.9092307976516807,0.025467760440870044,3.807851962532838,0.9129236698020387
S0082,Lazada Seller 082,P02,Da Nang,Mid,Stable,AM Growth,0,1,2024-06-28,2.579070122316681,0.8060426262680795,0.03169119190112647,3.655863132708588,0.8162246409527036
S0083,Lazada Seller 083,P02,HCMC,Mid,Stable,AM Growth,0,1,2023-09-17,1.5961192963623292,0.8977851544544494,0.0458412507309034,4.2192638946723084,0.99
S0084,Lazada Seller 084,P02,Hai Phong,Mid,Declining,AM South,0,1,2023-03-21,2.853266585950394,0.8702840255437934,0.029244088194981446,4.128260493067645,0.7706517935741674
S0085,Lazada Seller 085,P02,Da Nang,Mid,Growing,AM Central,0,1,2022-09-01,1.6414856816570789,0.8945008930824077,0.03471685314624206,4.107138733517951,0.8586907405054044
S0086,Lazada Seller 086,P02,HCMC,Long-tail,Growing,AM South,0,1,2024-09-01,1.7399251243114193,0.7841191404829007,0.14636627934452273,4.018741835826892,0.7665196423320735
S0087,Lazada Seller 087,P02,Da Nang,New,Growing,AM North,0,1,2024-08-27,0.6432177727945264,0.8737058961474191,0.14882230942701183,4.156890392836724,0.5385374086995548
S0088,Lazada Seller 088,P02,Nationwide,Mid,Stable,AM Growth,0,1,2023-10-23,3.2063354958797383,0.9565846476760282,0.008890072025352998,4.398252067811833,0.7985813504437462
S0089,Lazada Seller 089,P02,Nationwide,Long-tail,Stable,AM Central,0,1,2022-10-19,0.7716986955268729,0.7843470515223588,0.08917642451104772,4.098202497613933,0.9030208879322216
S0090,Lazada Seller 090,P02,Can Tho,Key,Stable,AM North,1,1,2023-10-15,6.330114374729369,0.9845254341933921,0.05104025379795644,4.118336291643943,0.7453875968858241
S0091,Lazada Seller 091,P02,Can Tho,Long-tail,Stable,AM Central,0,1,2023-02-25,0.5116138269433085,0.8784747163639661,0.13069198754693245,3.895280501285192,0.5668029112152513
S0092,Lazada Seller 092,P02,Da Nang,Long-tail,Stable,AM South,0,1,2023-02-26,0.8850005771150985,0.7892179429082252,0.10424658551300421,4.016936844141729,0.8717705664010534
S0093,Tiki Seller 093,P03,Nationwide,Key,Stable,AM Key,1,1,2023-03-22,4.272667612209803,0.8869120949261916,0.05969467224957257,4.3762190648410275,0.8458730753334534
S0094,Tiki Seller 094,P03,Hai Phong,Long-tail,Growing,AM North,0,1,2024-10-31,0.6946815925173365,0.7786595116019215,0.14998409466162513,3.651918819993054,0.9602254489729665
S0095,Tiki Seller 095,P03,Da Nang,Mid,Stable,AM Key,0,1,2022-10-13,1.4359051438628028,0.9128801922853914,0.08541245630663702,4.052944383051484,0.7683655031996537
S0096,Tiki Seller 096,P03,Can Tho,Strategic,Stable,AM South,1,1,2022-08-27,13.07343981660244,0.995,0.11333809361718715,4.201169650402866,0.9363795461346813
S0097,Tiki Seller 097,P03,HCMC,Long-tail,New,AM North,0,1,2022-09-23,0.6601505674136832,0.8142511232780296,0.2300479005242312,3.7713625778922046,0.6879489316747052
S0098,Tiki Seller 098,P03,Nationwide,Key,Churn Risk,AM North,1,1,2024-09-01,6.744944384538121,0.9339780640921931,0.09058041513478529,4.483109216846871,0.8596002258255989
S0099,Tiki Seller 099,P03,Hanoi,Long-tail,Stable,AM Key,0,1,2024-10-02,0.9566892950281155,0.8664412930709603,0.07605157646967117,4.107396855106837,0.7413239630568292
S0100,Tiki Seller 100,P03,Da Nang,New,Growing,AM Central,0,1,2023-08-14,0.4556894823982275,0.7693531050997678,0.21528546366831697,3.996115987338895,0.642061253238697
S0101,Tiki Seller 101,P03,Hai Phong,Long-tail,Stable,AM Growth,0,1,2023-04-17,1.174590458200569,0.852353360875644,0.10726940440983693,4.098819184019609,0.8213108581710962
S0102,Tiki Seller 102,P03,Hai Phong,Key,Growing,AM Central,0,1,2023-08-09,2.0893802270444177,0.8840758831149316,0.02636814245477288,4.117566342277328,0.7289316435938231
S0103,Tiki Seller 103,P03,Nationwide,New,Declining,AM North,0,1,2023-07-26,0.31870944998224154,0.8395606804820319,0.08588289126067075,3.7872395585813763,0.7280209000052535
S0104,Tiki Seller 104,P03,Can Tho,Mid,Stable,AM Central,0,1,2024-09-09,1.424788975918488,0.9033620106737773,0.07904405452196829,3.965487340399497,0.7476727478648894
S0105,Tiki Seller 105,P03,Hai Phong,Mid,Stable,AM Key,0,1,2024-06-25,2.197268581785706,0.9557683637879197,0.13965636951192317,4.315263269047401,0.9831240217211616
S0106,Tiki Seller 106,P03,Da Nang,New,Declining,AM Growth,0,1,2023-06-15,0.4585773966485643,0.8528390458730027,0.14873640962247936,4.11887010241601,0.7129520298263148
S0107,Tiki Seller 107,P03,Da Nang,Long-tail,Stable,AM Central,0,1,2024-08-03,2.6229507311269527,0.8001328199545267,0.12229887112662624,3.989941065358407,0.8907218193711322
S0108,Tiki Seller 108,P03,HCMC,Strategic,Growing,AM North,1,1,2022-12-17,9.788912490392415,0.9489892658060058,0.024472258144264306,4.48987979690332,0.8814132943924331
S0109,Tiki Seller 109,P03,HCMC,Mid,Stable,AM North,0,1,2024-01-26,1.7302126724709284,0.8761900566333902,0.06964643187991187,4.197661744235792,0.8588892312716602
S0110,Tiki Seller 110,P03,HCMC,Long-tail,Declining,AM Key,0,1,2024-09-30,1.219641754026341,0.8771899712665264,0.16226290968673027,4.134199001745685,0.6914788844173559
S0111,Tiki Seller 111,P03,Hanoi,Long-tail,Growing,AM North,0,1,2024-06-25,0.9954157345987144,0.8649678938521466,0.07815929525127839,4.22152340716456,0.7154453697014124
S0112,Tiki Seller 112,P03,Hai Phong,Mid,New,AM Growth,0,1,2024-08-25,6.195327000871448,0.9065284637173806,0.13134911319922127,4.1715337830539685,0.9090994338958523
S0113,Tiki Seller 113,P03,Da Nang,Long-tail,New,AM South,0,0,2023-04-23,0.7667516827174605,0.8441391590726456,0.10279505970190164,3.7827245708491484,0.9105946265444753
S0114,Tiki Seller 114,P03,Hanoi,Long-tail,Stable,AM South,0,1,2022-11-25,0.6153739547608948,0.7167730552938563,0.1369368804253668,4.1502745327495205,0.7600437578018732
S0115,Tiki Seller 115,P03,Hanoi,Long-tail,Stable,AM Growth,0,1,2024-05-04,0.9565969297934003,0.7911528667833972,0.12865932349203407,4.149340558185204,0.7805145573163377
S0116,Tiki Seller 116,P03,Nationwide,Mid,Growing,AM Growth,0,1,2023-05-08,1.564546775805759,0.8785699491389514,0.04522866962957289,4.275096537512634,0.9834255255055445
S0117,Tiki Seller 117,P03,Hanoi,Long-tail,Stable,AM Growth,0,1,2024-07-12,0.9883561351860594,0.7767735167489234,0.0639013053516641,4.079653025054205,0.8815967249233755
S0118,Tiki Seller 118,P03,HCMC,Key,Declining,AM Central,0,0,2023-07-20,2.016319046332475,0.9666456686877029,0.07041797657913344,4.556583113059744,0.8248257545246084
S0119,Tiki Seller 119,P03,Da Nang,New,Churn Risk,AM Central,0,1,2024-01-15,0.3772771032323202,0.8698931587640517,0.06981719297237982,3.81071024717361,0.7104396430177089
S0120,Tiki Seller 120,P03,Hanoi,Key,Declining,AM South,1,1,2022-10-03,2.2860307588017963,0.9038736756551892,0.10292195160921276,4.28173973620401,0.9634808911769138
S0121,Tiki Seller 121,P03,HCMC,Mid,Stable,AM South,0,1,2022-08-21,1.0078543189398226,0.8044136147144972,0.07823945272084541,3.981955375053844,0.8070644734068113
S0122,Tiki Seller 122,P03,HCMC,Long-tail,Stable,AM Key,0,1,2022-11-01,1.3283560795353495,0.8477131627034364,0.19463815730325246,4.050073350288733,0.6231261458040182
