year_month,platform_id,seller_id,gross_gmv,seller_gmv_net,commission_revenue,order_items,orders,cancelled_items,returned_items,eligible_items,fulfilled_items,late_items,sku_day_count,in_stock_sku_days,low_stock_sku_days,rating_weighted_sum,rating_weight,rating_count,fulfillment_rate,cancellation_rate,stock_availability_rate,avg_rating
2025-01,P01,S0020,1645.1599999999999,1550.4099999999999,120.92,44,44,0,3,44,43,8,594,508,40,26.4,7.35,8.0,0.9772727272727273,0.0,0.8552188552188552,3.5918367346938775
2025-01,P01,S0021,820.47,707.85,55.21,27,27,4,0,23,23,6,252,221,33,20.0,5.0,5.0,1.0,0.14814814814814814,0.876984126984127,4.0
2025-01,P01,S0022,639.62,602.95,47.02,9,9,0,1,9,9,1,36,31,1,1.4,0.35,1.0,1.0,0.0,0.8611111111111112,4.0
2025-01,P01,S0023,1153.78,1034.55,80.7,26,26,2,0,24,24,7,162,153,11,12.0,3.0,3.0,1.0,0.07692307692307693,0.9444444444444444,4.0
2025-01,P01,S0024,4831.83,3571.85,278.58,77,77,17,3,60,59,12,630,564,100,32.0,7.0,7.0,0.9833333333333333,0.22077922077922077,0.8952380952380953,4.571428571428571
2025-01,P01,S0025,110.6,25.78,2.01,3,3,2,0,1,1,0,12,10,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.8333333333333334,
2025-01,P01,S0026,455.97,417.68,32.59,12,12,2,1,10,10,3,60,52,14,4.0,1.0,1.0,1.0,0.16666666666666666,0.8666666666666667,4.0
2025-01,P01,S0027,2000.78,1884.98,147.05,47,47,1,3,46,44,20,240,209,29,22.0,6.0,6.0,0.9565217391304348,0.02127659574468085,0.8708333333333333,3.6666666666666665
2025-01,P01,S0028,112.55,106.03,8.27,4,4,0,0,4,4,2,28,21,4,0.0,0.0,0.0,1.0,0.0,0.75,
2025-01,P01,S0029,296.54,237.80999999999997,18.55,7,7,2,0,5,5,2,60,53,6,1.75,0.35,1.0,1.0,0.2857142857142857,0.8833333333333333,5.0
2025-01,P01,S0030,283.05,197.36,15.39,10,10,2,1,8,8,0,54,46,15,0.0,0.0,0.0,1.0,0.2,0.8518518518518519,
2025-01,P01,S0031,6905.55,5859.17,457.03999999999996,199,199,19,11,180,177,22,651,583,114,114.25,30.4,33.0,0.9833333333333333,0.09547738693467336,0.8955453149001537,3.7582236842105265
2025-01,P01,S0032,196.9,144.7,11.290000000000001,4,4,1,0,3,3,1,20,18,2,0.0,0.0,0.0,1.0,0.25,0.9,
2025-01,P01,S0033,2757.25,2418.13,188.65,80,80,4,1,76,73,15,420,400,61,51.0,14.0,14.0,0.9605263157894737,0.05,0.9523809523809523,3.642857142857143
2025-01,P01,S0034,313.49,292.75,22.83,5,5,0,0,5,3,0,20,17,3,0.0,0.0,0.0,0.6,0.0,0.85,
2025-01,P01,S0035,7350.42,6567.0,512.25,111,111,5,7,106,105,23,616,586,76,62.8,15.7,17.0,0.9905660377358491,0.04504504504504504,0.9512987012987013,4.0
2025-01,P01,S0036,3156.29,2314.02,180.5,28,28,4,0,24,24,6,133,122,11,24.0,6.0,6.0,1.0,0.14285714285714285,0.9172932330827067,4.0
2025-01,P01,S0037,269.90999999999997,246.39000000000001,19.22,9,9,1,0,8,8,1,40,38,2,0.0,0.0,0.0,1.0,0.1111111111111111,0.95,
2025-01,P01,S0038,847.8299999999999,680.69,53.08,19,19,4,1,15,15,1,105,90,14,4.0,1.0,1.0,1.0,0.21052631578947367,0.8571428571428571,4.0
2025-01,P01,S0039,19452.89,18283.63,1426.07,312,312,2,9,310,304,30,744,688,80,263.55,61.05,63.0,0.9806451612903225,0.00641025641025641,0.9247311827956989,4.316953316953318
2025-01,P01,S0040,656.39,583.52,45.510000000000005,28,28,1,0,27,26,5,180,177,29,8.0,2.0,2.0,0.9629629629629629,0.03571428571428571,0.9833333333333333,4.0
2025-01,P01,S0041,602.34,416.65,32.49,15,15,3,1,12,12,6,130,114,20,0.0,0.0,0.0,1.0,0.2,0.8769230769230769,
2025-01,P01,S0042,597.51,573.53,44.73,29,29,0,1,29,28,7,320,316,46,15.0,4.0,4.0,0.9655172413793104,0.0,0.9875,3.75
2025-01,P01,S0043,605.05,554.85,43.28,25,25,1,1,24,21,5,180,169,16,16.0,4.0,4.0,0.875,0.04,0.9388888888888889,4.0
2025-01,P01,S0044,164.22,153.29,11.95,12,12,0,1,12,12,5,77,73,9,0.0,0.0,0.0,1.0,0.0,0.948051948051948,
2025-01,P01,S0045,487.35,438.6,34.230000000000004,13,13,1,0,12,12,2,70,62,1,0.0,0.0,0.0,1.0,0.07692307692307693,0.8857142857142857,
2025-01,P01,S0046,2105.34,1990.04,155.2,51,51,1,3,50,46,8,336,316,67,19.4,4.35,5.0,0.92,0.0196078431372549,0.9404761904761905,4.459770114942529
2025-01,P01,S0047,348.84000000000003,247.3,19.290000000000003,10,10,2,1,8,8,1,90,87,15,0.0,0.0,0.0,1.0,0.2,0.9666666666666667,
2025-01,P01,S0048,4250.69,3230.6800000000003,252.01,112,112,21,6,91,89,24,360,324,67,74.4,18.35,19.0,0.978021978021978,0.1875,0.9,4.05449591280654
2025-01,P01,S0049,10762.1,9187.88,716.61,263,263,23,12,240,233,20,651,634,86,246.8,57.7,59.0,0.9708333333333333,0.08745247148288973,0.9738863287250384,4.277296360485269
2025-01,P01,S0050,1150.51,1064.29,83.0,44,44,2,1,42,42,15,350,324,38,30.0,7.0,7.0,1.0,0.045454545454545456,0.9257142857142857,4.285714285714286
2025-01,P02,S0051,2704.71,2191.61,181.88,85,85,4,2,81,81,14,621,553,80,48.0,11.0,11.0,1.0,0.047058823529411764,0.8904991948470209,4.363636363636363
2025-01,P02,S0052,2116.9,1998.83,165.93,62,62,0,1,62,62,7,336,301,46,65.0,15.0,15.0,1.0,0.0,0.8958333333333334,4.333333333333333
2025-01,P02,S0053,817.05,586.83,48.7,19,19,2,0,17,17,3,225,189,44,11.0,3.0,3.0,1.0,0.10526315789473684,0.84,3.6666666666666665
2025-01,P02,S0054,181.26999999999998,157.8,13.100000000000001,6,6,1,0,5,5,0,60,53,11,0.0,0.0,0.0,1.0,0.16666666666666666,0.8833333333333333,
2025-01,P02,S0055,2497.42,1849.3899999999999,153.5,59,59,12,3,47,46,8,476,451,72,33.0,7.0,7.0,0.9787234042553191,0.2033898305084746,0.9474789915966386,4.714285714285714
2025-01,P02,S0056,665.88,591.03,49.07,21,21,1,1,20,19,8,256,232,30,8.0,2.0,2.0,0.95,0.047619047619047616,0.90625,4.0
2025-01,P02,S0057,757.2,713.15,59.19,11,11,0,0,11,11,3,56,52,6,0.0,0.0,0.0,1.0,0.0,0.9285714285714286,
2025-01,P02,S0058,77.15,0.0,0.0,1,1,1,0,0,0,0,7,7,5,0.0,0.0,0.0,,1.0,1.0,
2025-01,P02,S0059,829.15,774.5,64.3,15,15,0,2,15,15,5,130,108,18,7.0,2.0,2.0,1.0,0.0,0.8307692307692308,3.5
2025-01,P02,S0060,1313.31,1244.95,103.31,32,32,0,1,32,32,10,286,260,23,16.0,4.0,4.0,1.0,0.0,0.9090909090909091,4.0
2025-01,P02,S0061,310.86,293.15000000000003,24.330000000000002,12,12,0,0,12,11,1,81,75,10,1.4,0.35,1.0,0.9166666666666666,0.0,0.9259259259259259,4.0
2025-01,P02,S0062,896.95,559.36,46.42,29,29,7,0,22,21,5,136,118,24,8.0,2.0,2.0,0.9545454545454546,0.2413793103448276,0.8676470588235294,4.0
2025-01,P02,S0063,24.89,22.54,1.87,1,1,0,0,1,1,0,6,4,0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,
2025-01,P02,S0064,149.85000000000002,106.74,8.86,4,4,2,0,2,2,1,28,27,2,0.0,0.0,0.0,1.0,0.5,0.9642857142857143,
2025-01,P02,S0065,269.46000000000004,200.25,16.619999999999997,5,5,2,0,3,3,2,28,24,4,0.0,0.0,0.0,1.0,0.4,0.8571428571428571,
2025-01,P02,S0066,71.78,66.81,5.54,4,4,0,0,4,3,1,16,12,2,0.0,0.0,0.0,0.75,0.0,0.75,
2025-01,P02,S0067,734.77,632.63,52.51,15,15,2,0,13,12,2,120,98,19,4.0,1.0,1.0,0.9230769230769231,0.13333333333333333,0.8166666666666667,4.0
2025-01,P02,S0068,1675.4099999999999,1420.85,117.91,46,46,7,0,39,39,2,360,311,52,0.0,0.0,0.0,1.0,0.15217391304347827,0.8638888888888889,
2025-01,P02,S0069,79.42999999999999,15.71,1.3,2,2,1,0,1,1,1,16,14,2,0.0,0.0,0.0,1.0,0.5,0.875,
2025-01,P02,S0070,692.0699999999999,534.88,44.400000000000006,12,12,2,0,10,9,2,88,78,22,0.0,0.0,0.0,0.9,0.16666666666666666,0.8863636363636364,
2025-01,P02,S0071,707.1700000000001,630.28,52.31,18,18,1,1,17,17,6,192,177,27,0.0,0.0,0.0,1.0,0.05555555555555555,0.921875,
2025-01,P02,S0072,653.76,501.46000000000004,41.61,14,14,2,0,12,12,3,121,109,11,0.0,0.0,0.0,1.0,0.14285714285714285,0.9008264462809917,
2025-01,P02,S0073,262.53,131.25,10.89,3,3,1,0,2,2,0,18,16,1,0.0,0.0,0.0,1.0,0.3333333333333333,0.8888888888888888,
2025-01,P02,S0074,704.7,569.82,47.3,15,15,1,1,14,13,0,126,108,17,0.0,0.0,0.0,0.9285714285714286,0.06666666666666667,0.8571428571428571,
2025-01,P02,S0075,3946.69,3442.99,285.76,97,97,8,3,89,86,9,589,550,51,53.0,12.0,12.0,0.9662921348314607,0.08247422680412371,0.933786078098472,4.416666666666667
2025-01,P02,S0076,205.54,175.59,14.559999999999999,7,7,1,0,6,6,1,28,24,1,0.0,0.0,0.0,1.0,0.14285714285714285,0.8571428571428571,
2025-01,P02,S0077,375.9,356.99,29.630000000000003,8,8,0,0,8,8,0,56,55,12,15.0,3.0,3.0,1.0,0.0,0.9821428571428571,5.0
2025-01,P02,S0078,5979.67,5575.74,462.77,185,185,3,6,182,180,12,713,613,90,137.4,35.35,36.0,0.989010989010989,0.016216216216216217,0.8597475455820477,3.886845827439887
2025-01,P02,S0079,717.51,560.57,46.54,19,19,2,0,17,17,2,156,124,12,17.0,4.0,4.0,1.0,0.10526315789473684,0.7948717948717948,4.25
2025-01,P02,S0080,484.83,449.21999999999997,37.28,5,5,0,0,5,4,1,35,27,4,0.0,0.0,0.0,0.8,0.0,0.7714285714285715,
2025-01,P02,S0081,4501.2,4127.69,342.64,108,108,3,4,105,103,29,372,352,67,74.8,18.7,20.0,0.9809523809523809,0.027777777777777776,0.946236559139785,4.0
2025-01,P02,S0082,671.75,627.79,52.1,36,36,0,2,36,33,10,247,220,42,3.0,1.0,1.0,0.9166666666666666,0.0,0.8906882591093117,3.0
2025-01,P02,S0083,685.43,588.69,48.870000000000005,17,17,1,1,16,16,4,169,166,20,9.0,2.0,2.0,1.0,0.058823529411764705,0.9822485207100592,4.5
2025-01,P02,S0084,1704.09,1582.21,131.32,33,33,0,3,33,32,6,220,190,24,15.0,4.0,4.0,0.9696969696969697,0.0,0.8636363636363636,3.75
2025-01,P02,S0085,738.1899999999999,699.79,58.1,32,32,0,0,32,32,7,171,161,6,18.0,5.0,5.0,1.0,0.0,0.9415204678362573,3.6
2025-01,P02,S0086,768.9200000000001,678.5,56.33,15,15,2,0,13,13,7,60,54,4,0.0,0.0,0.0,1.0,0.13333333333333333,0.9,
2025-01,P02,S0087,45.81,41.94,3.48,1,1,0,0,1,1,0,4,3,1,0.0,0.0,0.0,1.0,0.0,0.75,
2025-01,P02,S0088,1252.6299999999999,1176.3,97.63,50,50,0,3,50,50,7,260,227,35,29.0,7.0,7.0,1.0,0.0,0.8730769230769231,4.142857142857143
2025-01,P02,S0089,156.69,100.38000000000001,8.33,4,4,1,1,3,3,0,32,31,2,0.0,0.0,0.0,1.0,0.25,0.96875,
2025-01,P02,S0090,2607.45,2208.63,183.34,77,77,6,2,71,70,8,336,283,43,64.0,16.0,16.0,0.9859154929577465,0.07792207792207792,0.8422619047619048,4.0
2025-01,P02,S0091,262.38,139.32999999999998,11.559999999999999,5,5,2,0,3,3,0,28,23,11,0.0,0.0,0.0,1.0,0.4,0.8214285714285714,
2025-01,P02,S0092,111.02,101.59,8.43,1,1,0,0,1,1,1,5,4,1,0.0,0.0,0.0,1.0,0.0,0.8,
2025-01,P03,S0093,2892.09,2682.92,182.39000000000001,87,87,3,4,84,83,13,468,423,63,54.0,13.0,13.0,0.9880952380952381,0.034482758620689655,0.9038461538461539,4.153846153846154
2025-01,P03,S0094,186.04000000000002,174.26,11.84,4,4,0,1,4,4,2,24,23,3,0.0,0.0,0.0,1.0,0.0,0.9583333333333334,
2025-01,P03,S0095,1379.27,1290.35,87.74,13,13,0,0,13,12,1,80,70,8,4.0,1.0,1.0,0.9230769230769231,0.0,0.875,4.0
2025-01,P03,S0096,21316.18,18087.51,1230.01,563,562,69,15,494,484,42,1054,1000,104,469.8,113.7,115.0,0.979757085020243,0.12255772646536411,0.9487666034155597,4.1319261213720315
2025-01,P03,S0097,660.8299999999999,477.78000000000003,32.5,9,9,2,1,7,7,3,40,34,6,0.0,0.0,0.0,1.0,0.2222222222222222,0.85,
2025-01,P03,S0098,5975.49,5175.35,351.86,174,174,18,3,156,153,25,589,545,65,142.75,32.35,33.0,0.9807692307692307,0.10344827586206896,0.9252971137521222,4.412673879443585
2025-01,P03,S0099,34.06,31.96,2.17,3,3,0,0,3,3,0,8,7,0,0.0,0.0,0.0,1.0,0.0,0.875,
2025-01,P03,S0100,31.94,29.0,1.97,1,1,0,0,1,1,0,4,3,0,0.0,0.0,0.0,1.0,0.0,0.75,
2025-01,P03,S0101,294.99,282.42,19.21,10,10,0,0,10,10,1,40,39,1,7.0,2.0,2.0,1.0,0.0,0.975,3.5
2025-01,P03,S0102,2588.83,2253.46,153.22,52,52,3,2,49,45,12,624,527,94,39.0,10.0,10.0,0.9183673469387755,0.057692307692307696,0.844551282051282,3.9
2025-01,P03,S0103,38.97,36.47,2.48,1,1,0,0,1,1,0,3,3,1,0.0,0.0,0.0,1.0,0.0,1.0,
2025-01,P03,S0104,1153.7,1085.79,73.83,19,19,0,1,19,18,5,117,108,16,7.0,2.0,2.0,0.9473684210526315,0.0,0.9230769230769231,3.5
2025-01,P03,S0105,1622.26,1212.32,82.44,38,38,7,1,31,29,5,264,261,13,17.0,4.0,4.0,0.9354838709677419,0.18421052631578946,0.9886363636363636,4.25
2025-01,P03,S0106,45.67,42.81,2.92,3,3,0,0,3,3,2,21,19,5,0.0,0.0,0.0,1.0,0.0,0.9047619047619048,
2025-01,P03,S0107,438.42,300.87,20.47,21,21,6,0,15,15,7,120,113,17,0.0,0.0,0.0,1.0,0.2857142857142857,0.9416666666666667,
2025-01,P03,S0108,12216.49,10934.5,743.5699999999999,332,332,11,9,321,313,44,775,719,108,224.15,49.7,51.0,0.9750778816199377,0.03313253012048193,0.927741935483871,4.510060362173038
2025-01,P03,S0109,346.78000000000003,328.67,22.36,12,12,0,0,12,12,3,81,73,8,8.0,2.0,2.0,1.0,0.0,0.9012345679012346,4.0
2025-01,P03,S0110,527.94,441.99,30.05,11,11,1,0,10,10,3,70,53,14,4.0,1.0,1.0,1.0,0.09090909090909091,0.7571428571428571,4.0
2025-01,P03,S0111,613.37,511.82,34.81,10,10,3,0,7,6,3,90,72,11,4.0,1.0,1.0,0.8571428571428571,0.3,0.8,4.0
2025-01,P03,S0112,3729.64,3029.78,206.0,126,126,19,5,107,104,22,434,409,31,113.4,27.35,28.0,0.9719626168224299,0.15079365079365079,0.9423963133640553,4.146252285191956
2025-01,P03,S0113,169.51,159.26,10.83,11,11,0,0,11,11,5,90,86,10,7.0,2.0,2.0,1.0,0.0,0.9555555555555556,3.5
2025-01,P03,S0114,241.2,208.71,14.19,8,8,1,0,7,7,2,80,68,6,4.0,1.0,1.0,1.0,0.125,0.85,4.0
2025-01,P03,S0115,170.65,105.19,7.15,6,6,1,0,5,4,3,25,21,0,0.0,0.0,0.0,0.8,0.16666666666666666,0.84,
2025-01,P03,S0116,920.05,863.14,58.71,18,18,1,1,17,17,4,120,116,26,9.0,2.0,2.0,1.0,0.05555555555555555,0.9666666666666667,4.5
2025-01,P03,S0117,525.4399999999999,502.02,34.129999999999995,15,15,0,0,15,15,5,99,91,19,6.0,2.0,2.0,1.0,0.0,0.9191919191919192,3.0
2025-01,P03,S0118,696.65,561.0799999999999,38.13,22,22,4,1,18,18,2,195,176,38,14.0,3.0,3.0,1.0,0.18181818181818182,0.9025641025641026,4.666666666666667
2025-01,P03,S0119,18.38,17.630000000000003,1.2,2,2,0,0,2,2,0,12,11,2,0.0,0.0,0.0,1.0,0.0,0.9166666666666666,
2025-01,P03,S0120,1423.45,1257.19,85.49,40,40,4,0,36,34,4,330,320,38,21.4,5.35,6.0,0.9444444444444444,0.1,0.9696969696969697,4.0
2025-01,P03,S0121,549.6700000000001,516.72,35.129999999999995,14,14,0,0,14,14,5,195,182,28,0.0,0.0,0.0,1.0,0.0,0.9333333333333333,
2025-01,P03,S0122,152.0,117.34,7.99,8,8,1,0,7,7,3,28,24,2,0.0,0.0,0.0,1.0,0.125,0.8571428571428571,
2025-02,P01,S0001,1387.76,1075.75,83.89,27,27,4,1,23,22,7,144,135,16,12.0,3.0,3.0,0.9565217391304348,0.14814814814814814,0.9375,4.0
2025-02,P01,S0002,282.34999999999997,266.63,20.8,7,7,0,0,7,7,2,42,40,10,4.0,1.0,1.0,1.0,0.0,0.9523809523809523,4.0
2025-02,P01,S0003,271.17,238.35999999999999,18.6,10,10,1,0,9,9,5,40,33,2,0.0,0.0,0.0,1.0,0.1,0.825,
2025-02,P01,S0004,65.0,63.0,4.92,2,2,0,0,2,2,0,12,12,3,0.0,0.0,0.0,1.0,0.0,1.0,
2025-02,P01,S0005,630.73,552.09,43.07,13,13,1,0,12,12,6,50,41,6,16.0,4.0,4.0,1.0,0.07692307692307693,0.82,4.0
2025-02,P01,S0006,467.99,396.74,30.950000000000003,10,10,1,0,9,9,1,72,63,10,0.0,0.0,0.0,1.0,0.1,0.875,
2025-02,P01,S0007,646.12,444.79,34.68,15,15,4,0,11,10,6,112,100,19,8.0,2.0,2.0,0.9090909090909091,0.26666666666666666,0.8928571428571429,4.0
2025-02,P01,S0008,184.74,170.36,13.29,4,4,1,0,3,3,1,20,19,1,0.0,0.0,0.0,1.0,0.25,0.95,
2025-02,P01,S0009,1829.13,1207.33,94.16,37,37,9,0,28,28,5,378,339,58,22.0,5.0,5.0,1.0,0.24324324324324326,0.8968253968253969,4.4
2025-02,P01,S0010,50.04,48.2,3.76,2,2,0,0,2,2,1,8,8,0,0.0,0.0,0.0,1.0,0.0,1.0,
2025-02,P01,S0011,7974.42,6607.37,515.29,168,168,17,3,151,147,16,588,572,107,175.8,44.7,46.0,0.9735099337748344,0.10119047619047619,0.9727891156462585,3.9328859060402683
2025-02,P01,S0012,271.96,252.75,19.71,6,6,0,0,6,6,3,24,22,4,0.0,0.0,0.0,1.0,0.0,0.9166666666666666,
2025-02,P01,S0013,1480.51,1399.95,109.19,32,32,1,1,31,30,10,260,252,19,49.0,12.0,12.0,0.967741935483871,0.03125,0.9692307692307692,4.083333333333333
2025-02,P01,S0014,57.36,53.42,4.17,2,2,0,0,2,2,2,8,8,1,0.0,0.0,0.0,1.0,0.0,1.0,
2025-02,P01,S0015,488.7,418.45,32.63,9,9,2,1,7,7,3,56,54,5,11.0,3.0,3.0,1.0,0.2222222222222222,0.9642857142857143,3.6666666666666665
2025-02,P01,S0017,1466.09,1093.33,85.28,25,25,4,0,21,21,6,135,117,14,33.0,7.0,7.0,1.0,0.16,0.8666666666666667,4.714285714285714
2025-02,P01,S0018,951.88,770.79,60.11,25,25,3,0,22,22,4,156,126,24,7.0,2.0,2.0,1.0,0.12,0.8076923076923077,3.5
2025-02,P01,S0019,6013.4800000000005,4840.11,377.54,134,134,24,1,110,108,17,588,567,95,136.0,32.0,32.0,0.9818181818181818,0.1791044776119403,0.9642857142857143,4.25
2025-02,P01,S0020,785.13,617.86,48.2,37,37,3,5,34,34,8,440,356,29,40.0,10.0,10.0,1.0,0.08108108108108109,0.8090909090909091,4.0
2025-02,P01,S0021,451.77,405.14,31.59,21,21,2,0,19,19,7,210,188,36,9.0,2.0,2.0,1.0,0.09523809523809523,0.8952380952380953,4.5
2025-02,P01,S0022,75.16,72.08,5.62,8,8,0,1,8,8,3,32,24,1,0.0,0.0,0.0,1.0,0.0,0.75,
2025-02,P01,S0023,585.85,548.61,42.79,15,15,0,0,15,14,3,99,89,5,4.0,1.0,1.0,0.9333333333333333,0.0,0.898989898989899,4.0
2025-02,P01,S0024,3727.5699999999997,2838.37,221.4,62,62,11,1,51,50,9,483,428,85,76.0,18.0,18.0,0.9803921568627451,0.1774193548387097,0.8861283643892339,4.222222222222222
2025-02,P01,S0025,66.42,62.269999999999996,4.86,2,2,0,0,2,2,0,8,7,0,0.0,0.0,0.0,1.0,0.0,0.875,
2025-02,P01,S0026,860.4200000000001,527.1899999999999,41.12,14,14,2,0,12,12,5,72,67,16,16.0,4.0,4.0,1.0,0.14285714285714285,0.9305555555555556,4.0
2025-02,P01,S0027,1091.1,1029.87,80.32000000000001,25,25,0,1,25,25,9,180,153,22,14.0,4.0,4.0,1.0,0.0,0.85,3.5
2025-02,P01,S0028,14.059999999999999,7.39,0.58,2,2,1,0,1,1,0,14,12,5,0.0,0.0,0.0,1.0,0.5,0.8571428571428571,
2025-02,P01,S0029,91.23,89.3,6.970000000000001,3,3,0,0,3,3,0,30,23,3,0.0,0.0,0.0,1.0,0.0,0.7666666666666667,
2025-02,P01,S0030,263.71,250.46999999999997,19.53,9,9,0,0,9,8,1,72,57,13,0.0,0.0,0.0,0.8888888888888888,0.0,0.7916666666666666,
2025-02,P01,S0031,7751.42,6526.76,509.04,214,214,23,3,191,189,24,588,541,88,198.4,51.35,52.0,0.9895287958115183,0.10747663551401869,0.9200680272108843,3.863680623174294
2025-02,P01,S0032,250.42000000000002,234.87,18.32,6,6,0,0,6,6,2,25,21,4,0.0,0.0,0.0,1.0,0.0,0.84,
2025-02,P01,S0033,3575.77,3330.18,259.79,79,79,3,2,76,75,6,364,347,57,137.2,34.05,36.0,0.9868421052631579,0.0379746835443038,0.9532967032967034,4.0293685756240825
2025-02,P01,S0034,40.03,37.78,2.95,1,1,0,0,1,1,0,4,3,0,0.0,0.0,0.0,1.0,0.0,0.75,
2025-02,P01,S0035,5367.3,4944.6,385.63,84,84,2,3,82,79,18,616,590,77,98.0,26.0,26.0,0.9634146341463414,0.023809523809523808,0.9577922077922078,3.769230769230769
2025-02,P01,S0036,1575.57,1482.8,115.69,16,16,0,0,16,16,2,77,69,12,0.0,0.0,0.0,1.0,0.0,0.8961038961038961,
2025-02,P01,S0037,247.73,221.54,17.28,8,8,1,0,7,7,1,30,27,3,5.0,1.0,1.0,1.0,0.125,0.9,5.0
2025-02,P01,S0038,1274.74,1152.83,89.93,20,20,1,0,19,18,6,126,116,30,12.0,3.0,3.0,0.9473684210526315,0.05,0.9206349206349206,4.0
2025-02,P01,S0039,18004.35,16701.09,1302.61,267,267,4,8,263,259,23,672,617,58,389.05,93.1,97.0,0.9847908745247148,0.0149812734082397,0.9181547619047619,4.178839957035446
2025-02,P01,S0040,767.28,661.8299999999999,51.63,28,28,3,0,25,25,2,170,167,31,8.0,2.0,2.0,1.0,0.10714285714285714,0.9823529411764705,4.0
2025-02,P01,S0041,563.24,517.03,40.32,13,13,1,0,12,12,6,120,101,12,8.0,2.0,2.0,1.0,0.07692307692307693,0.8416666666666667,4.0
2025-02,P01,S0042,1018.26,772.92,60.29,35,35,4,1,31,29,10,320,311,35,27.0,7.0,7.0,0.9354838709677419,0.11428571428571428,0.971875,3.857142857142857
2025-02,P01,S0043,453.66,380.28999999999996,29.67,26,26,1,0,25,24,5,216,197,16,35.0,9.0,9.0,0.96,0.038461538461538464,0.9120370370370371,3.888888888888889
2025-02,P01,S0044,164.57999999999998,77.23,6.03,6,6,2,0,4,4,2,35,32,5,0.0,0.0,0.0,1.0,0.3333333333333333,0.9142857142857143,
2025-02,P01,S0045,699.43,579.98,45.22,16,16,3,2,13,12,3,84,75,5,7.0,2.0,2.0,0.9230769230769231,0.1875,0.8928571428571429,3.5
2025-02,P01,S0046,2416.24,2253.85,175.79,42,42,1,0,41,40,4,280,261,46,63.0,15.0,15.0,0.975609756097561,0.023809523809523808,0.9321428571428572,4.2
2025-02,P01,S0047,319.33,253.39,19.77,8,8,1,0,7,7,1,70,67,11,0.0,0.0,0.0,1.0,0.125,0.9571428571428572,
