emission_record_id,date_key,business_unit_id,facility_id,supplier_id,activity_id,scope,ghg_category,activity_volume,activity_unit,emission_factor,emissions_tco2e,spend_usd,revenue_usd,data_quality_score
E000044,202402,BU01,F01,S016,A04,Scope 2,Electricity,2144.16,MWh,0.4185,1044.02,318091.12,7768637.67,0.84
E000045,202402,BU01,F01,S002,A06,Scope 3,Purchased goods and services,1387.53,USD thousand spend,0.5791,1300.79,507843.88,7768637.67,0.93
E000046,202402,BU01,F01,S003,A06,Scope 3,Purchased goods and services,2263.06,USD thousand spend,0.5097,1487.78,1205316.07,7768637.67,0.86
E000047,202402,BU01,F01,S001,A09,Scope 3,Waste,1562.72,tonnes waste,0.4914,990.55,672060.48,7768637.67,0.72
E000048,202402,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,836.75,kiloliters,2.7639,2399.21,57194.05,5586930.26,0.85
E000049,202402,BU02,F02,S014,A04,Scope 2,Electricity,1574.6,MWh,0.4931,903.27,198497.45,5586930.26,0.96
E000050,202402,BU02,F02,S017,A07,Scope 3,Transportation and distribution,1677.22,ton-km thousand,0.1486,403.57,393011.14,5586930.26,0.8
E000051,202402,BU02,F02,S016,A07,Scope 3,Transportation and distribution,661.89,ton-km thousand,0.1822,195.25,159452.9,5586930.26,0.77
E000052,202402,BU02,F02,S016,A09,Scope 3,Waste,1247.08,tonnes waste,0.4475,903.34,314466.42,5586930.26,0.81
E000053,202402,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,1175.93,kiloliters,3.1281,3816.01,184889.04,5201125.03,0.77
E000054,202402,BU02,F03,S004,A04,Scope 2,Electricity,1262.85,MWh,0.4724,444.67,216808.18,5201125.03,0.87
E000055,202402,BU02,F03,S023,A07,Scope 3,Transportation and distribution,797.43,ton-km thousand,0.1633,210.76,393566.26,5201125.03,0.91
E000056,202402,BU02,F03,S023,A07,Scope 3,Transportation and distribution,877.33,ton-km thousand,0.1604,227.78,451843.75,5201125.03,0.77
E000057,202402,BU02,F03,S016,A09,Scope 3,Waste,1192.38,tonnes waste,0.5728,1105.56,603493.76,5201125.03,0.74
E000058,202402,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,818.74,MWh thermal,0.2224,188.86,115054.44,6682739.68,0.97
E000059,202402,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,148.57,kg refrigerant,1.4303,220.45,14025.37,6682739.68,0.81
E000060,202402,BU01,F04,S014,A04,Scope 2,Electricity,1143.39,MWh,0.3872,515.03,128108.39,6682739.68,0.76
E000061,202402,BU01,F04,S006,A06,Scope 3,Purchased goods and services,3866.73,USD thousand spend,0.447,2229.72,1493807.31,6682739.68,0.85
E000062,202402,BU01,F04,S020,A06,Scope 3,Purchased goods and services,3012.01,USD thousand spend,0.6113,1909.3,1574058.74,6682739.68,0.74
E000063,202402,BU01,F04,S016,A09,Scope 3,Waste,1271.75,tonnes waste,0.4934,1015.64,368459.88,6682739.68,0.74
E000064,202402,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,860.9,kiloliters,2.2664,2024.1,125829.84,4959714.04,0.98
E000065,202402,BU02,F05,S016,A04,Scope 2,Electricity,854.13,MWh,0.4196,416.96,93591.99,4959714.04,0.8
E000066,202402,BU02,F05,S017,A07,Scope 3,Transportation and distribution,811.83,ton-km thousand,0.1706,224.25,189498.82,4959714.04,0.78
E000067,202402,BU02,F05,S001,A07,Scope 3,Transportation and distribution,648.7,ton-km thousand,0.1598,133.71,331027.71,4959714.04,0.87
E000068,202402,BU02,F05,S004,A09,Scope 3,Waste,1481.21,tonnes waste,0.5841,897.16,527242.15,4959714.04,0.92
E000069,202402,BU05,F06,S024,A04,Scope 2,Electricity,165.95,MWh,0.4339,53.67,24783.39,1807725.65,0.82
E000070,202402,BU05,F06,S019,A05,Scope 2,Purchased energy,530.05,MWh,0.1868,91.79,75329.98,1807725.65,0.94
E000071,202402,BU05,F06,S007,A08,Scope 3,Business travel,539.12,passenger-km thousand,0.1519,132.53,201643.44,1807725.65,0.92
E000072,202402,BU05,F06,S014,A09,Scope 3,Waste,270.23,tonnes waste,0.4659,203.79,69814.42,1807725.65,0.82
E000073,202402,BU04,F07,S011,A04,Scope 2,Electricity,1189.58,MWh,0.5555,612.71,194796.07,2759443.54,0.8
E000074,202402,BU04,F07,S019,A05,Scope 2,Purchased energy,446.0,MWh,0.2072,85.67,76257.34,2759443.54,0.72
E000075,202402,BU04,F07,S004,A06,Scope 3,Purchased goods and services,1774.38,USD thousand spend,0.5149,947.47,288138.89,2759443.54,0.74
E000076,202402,BU04,F07,S013,A06,Scope 3,Purchased goods and services,1442.96,USD thousand spend,0.5645,1050.71,621440.29,2759443.54,0.88
E000077,202402,BU04,F07,S021,A08,Scope 3,Business travel,220.06,passenger-km thousand,0.1463,41.52,71771.09,2759443.54,0.91
E000078,202402,BU04,F07,S001,A09,Scope 3,Waste,1215.14,tonnes waste,0.48,752.41,308568.27,2759443.54,0.83
E000079,202402,BU05,F08,S022,A04,Scope 2,Electricity,207.09,MWh,0.4805,92.25,18198.91,1984535.12,0.83
E000080,202402,BU05,F08,S012,A05,Scope 2,Purchased energy,296.53,MWh,0.2365,52.27,40683.59,1984535.12,0.8
E000081,202402,BU05,F08,S024,A08,Scope 3,Business travel,269.96,passenger-km thousand,0.1385,38.78,118986.63,1984535.12,0.82
E000082,202402,BU05,F08,S004,A09,Scope 3,Waste,284.09,tonnes waste,0.5852,172.39,198276.34,1984535.12,0.9
E000083,202403,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1655.93,MWh thermal,0.2172,370.88,254175.59,6451105.97,0.89
E000084,202403,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,212.89,kg refrigerant,1.2317,270.36,35979.04,6451105.97,0.94
E000085,202403,BU01,F01,S013,A04,Scope 2,Electricity,2101.02,MWh,0.5135,994.29,270211.58,6451105.97,0.96
E000086,202403,BU01,F01,S023,A06,Scope 3,Purchased goods and services,1851.79,USD thousand spend,0.5409,1611.6,1193471.36,6451105.97,0.86
E000087,202403,BU01,F01,S001,A06,Scope 3,Purchased goods and services,3350.47,USD thousand spend,0.53,2276.9,845277.8,6451105.97,0.86
E000088,202403,BU01,F01,S024,A09,Scope 3,Waste,605.81,tonnes waste,0.4531,282.93,225888.53,6451105.97,0.96
E000089,202403,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,996.88,kiloliters,2.8678,2947.75,158508.78,5606099.98,0.93
E000090,202403,BU02,F02,S009,A04,Scope 2,Electricity,1262.39,MWh,0.4358,506.92,225602.74,5606099.98,0.71
E000091,202403,BU02,F02,S003,A07,Scope 3,Transportation and distribution,1262.97,ton-km thousand,0.142,229.95,551951.74,5606099.98,0.74
E000092,202403,BU02,F02,S018,A07,Scope 3,Transportation and distribution,339.11,ton-km thousand,0.1581,68.72,137259.69,5606099.98,0.75
E000093,202403,BU02,F02,S011,A09,Scope 3,Waste,518.85,tonnes waste,0.436,290.01,130170.85,5606099.98,0.83
E000094,202403,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,1584.71,kiloliters,2.4237,3960.24,199319.83,5568703.57,0.77
E000095,202403,BU02,F03,S021,A04,Scope 2,Electricity,1602.73,MWh,0.4927,727.73,161785.07,5568703.57,0.72
E000096,202403,BU02,F03,S008,A07,Scope 3,Transportation and distribution,1624.45,ton-km thousand,0.1616,270.51,898465.88,5568703.57,0.92
E000097,202403,BU02,F03,S022,A07,Scope 3,Transportation and distribution,431.52,ton-km thousand,0.1879,103.95,126895.33,5568703.57,0.75
E000098,202403,BU02,F03,S003,A09,Scope 3,Waste,302.1,tonnes waste,0.4416,171.04,162182.75,5568703.57,0.97
E000099,202403,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,473.82,MWh thermal,0.2052,100.24,52236.37,7724544.04,0.8
E000100,202403,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,234.28,kg refrigerant,1.2824,309.77,32100.47,7724544.04,0.87
E000101,202403,BU01,F04,S022,A04,Scope 2,Electricity,1375.17,MWh,0.5383,682.15,176402.71,7724544.04,0.77
E000102,202403,BU01,F04,S019,A06,Scope 3,Purchased goods and services,2987.61,USD thousand spend,0.4748,1818.58,964552.92,7724544.04,0.91
E000103,202403,BU01,F04,S001,A06,Scope 3,Purchased goods and services,840.91,USD thousand spend,0.4847,522.56,310325.47,7724544.04,0.92
E000104,202403,BU01,F04,S008,A09,Scope 3,Waste,2102.02,tonnes waste,0.4338,939.76,950825.02,7724544.04,0.87
E000105,202403,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1165.59,kiloliters,2.3266,2796.17,92206.74,5878521.07,0.87
E000106,202403,BU02,F05,S007,A04,Scope 2,Electricity,1479.25,MWh,0.5138,878.84,241778.46,5878521.07,0.96
E000107,202403,BU02,F05,S023,A07,Scope 3,Transportation and distribution,1173.48,ton-km thousand,0.1458,275.3,240684.11,5878521.07,0.87
E000108,202403,BU02,F05,S006,A07,Scope 3,Transportation and distribution,539.82,ton-km thousand,0.1655,114.57,404499.49,5878521.07,0.8
E000109,202403,BU02,F05,S001,A09,Scope 3,Waste,672.07,tonnes waste,0.4668,402.18,267783.69,5878521.07,0.96
E000110,202403,BU05,F06,S019,A04,Scope 2,Electricity,468.72,MWh,0.378,163.26,44191.02,1915577.93,0.94
E000111,202403,BU05,F06,S009,A05,Scope 2,Purchased energy,373.54,MWh,0.2307,79.43,54201.99,1915577.93,0.74
E000112,202403,BU05,F06,S019,A08,Scope 3,Business travel,89.97,passenger-km thousand,0.1149,13.25,27107.91,1915577.93,0.78
E000113,202403,BU05,F06,S003,A09,Scope 3,Waste,133.09,tonnes waste,0.5307,90.55,39209.18,1915577.93,0.92
E000114,202403,BU04,F07,S005,A04,Scope 2,Electricity,854.16,MWh,0.4032,317.34,108832.7,3200417.04,0.74
E000115,202403,BU04,F07,S022,A05,Scope 2,Purchased energy,268.42,MWh,0.2273,56.23,40163.44,3200417.04,0.73
E000116,202403,BU04,F07,S009,A06,Scope 3,Purchased goods and services,1467.38,USD thousand spend,0.4409,829.4,996425.13,3200417.04,0.87
E000117,202403,BU04,F07,S008,A06,Scope 3,Purchased goods and services,1007.37,USD thousand spend,0.4714,489.48,435258.84,3200417.04,0.8
E000118,202403,BU04,F07,S010,A08,Scope 3,Business travel,353.04,passenger-km thousand,0.1313,74.58,145878.97,3200417.04,0.95
E000119,202403,BU04,F07,S003,A09,Scope 3,Waste,219.5,tonnes waste,0.5775,162.52,128093.51,3200417.04,0.89
E000120,202403,BU05,F08,S012,A04,Scope 2,Electricity,277.37,MWh,0.558,114.67,19772.13,1880952.5,0.75
E000121,202403,BU05,F08,S003,A05,Scope 2,Purchased energy,340.4,MWh,0.1727,54.18,63606.87,1880952.5,0.95
E000122,202403,BU05,F08,S006,A08,Scope 3,Business travel,395.94,passenger-km thousand,0.1531,77.73,129646.35,1880952.5,0.91
E000123,202403,BU05,F08,S010,A09,Scope 3,Waste,173.68,tonnes waste,0.4187,116.99,65531.59,1880952.5,0.81
E000124,202404,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1392.75,MWh thermal,0.2178,310.86,142110.73,7136961.41,0.97
E000125,202404,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,121.22,kg refrigerant,1.6208,201.35,19660.51,7136961.41,0.73
E000126,202404,BU01,F01,S011,A04,Scope 2,Electricity,1214.49,MWh,0.447,497.22,219461.51,7136961.41,0.77
E000127,202404,BU01,F01,S010,A06,Scope 3,Purchased goods and services,3737.52,USD thousand spend,0.5051,3018.71,1255002.02,7136961.41,0.9
E000128,202404,BU01,F01,S002,A06,Scope 3,Purchased goods and services,1748.22,USD thousand spend,0.4944,1382.18,1295008.41,7136961.41,0.81
E000129,202404,BU01,F01,S022,A09,Scope 3,Waste,1994.14,tonnes waste,0.4554,1157.1,752174.67,7136961.41,0.73
E000130,202404,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,650.72,kiloliters,2.8811,1921.29,81028.43,5788995.04,0.7
E000131,202404,BU02,F02,S009,A04,Scope 2,Electricity,867.36,MWh,0.5395,428.56,129602.52,5788995.04,0.71
E000132,202404,BU02,F02,S023,A07,Scope 3,Transportation and distribution,1700.04,ton-km thousand,0.178,483.78,294859.05,5788995.04,0.88
E000133,202404,BU02,F02,S006,A07,Scope 3,Transportation and distribution,721.31,ton-km thousand,0.1391,127.89,338973.56,5788995.04,0.8
E000134,202404,BU02,F02,S022,A09,Scope 3,Waste,788.58,tonnes waste,0.5479,550.59,413871.88,5788995.04,0.8
E000135,202404,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,764.98,kiloliters,2.6229,2056.21,106074.1,5407623.44,0.78
E000136,202404,BU02,F03,S009,A04,Scope 2,Electricity,675.08,MWh,0.4302,265.98,126831.8,5407623.44,0.86
E000137,202404,BU02,F03,S005,A07,Scope 3,Transportation and distribution,608.78,ton-km thousand,0.1643,127.49,182243.41,5407623.44,0.88
E000138,202404,BU02,F03,S023,A07,Scope 3,Transportation and distribution,1230.56,ton-km thousand,0.1586,312.14,648519.51,5407623.44,0.94
E000139,202404,BU02,F03,S005,A09,Scope 3,Waste,1508.04,tonnes waste,0.4358,837.36,467541.48,5407623.44,0.9
E000140,202404,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1364.38,MWh thermal,0.2209,308.88,112261.56,6662538.57,0.84
E000141,202404,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,173.62,kg refrigerant,1.2575,223.76,31972.78,6662538.57,0.76
E000142,202404,BU01,F04,S020,A04,Scope 2,Electricity,947.07,MWh,0.3981,277.62,144905.23,6662538.57,0.88
E000143,202404,BU01,F04,S022,A06,Scope 3,Purchased goods and services,3720.9,USD thousand spend,0.4823,2286.7,566153.41,6662538.57,0.73
E000144,202404,BU01,F04,S014,A06,Scope 3,Purchased goods and services,2092.05,USD thousand spend,0.5929,1983.35,873509.62,6662538.57,0.84
E000145,202404,BU01,F04,S018,A09,Scope 3,Waste,765.33,tonnes waste,0.5022,489.77,115231.12,6662538.57,0.86
E000146,202404,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,345.69,kiloliters,2.4593,871.24,52205.72,5072310.86,0.92
E000147,202404,BU02,F05,S016,A04,Scope 2,Electricity,1690.1,MWh,0.5281,1025.84,132889.74,5072310.86,0.83
E000148,202404,BU02,F05,S020,A07,Scope 3,Transportation and distribution,496.44,ton-km thousand,0.1761,89.58,234550.81,5072310.86,0.78
E000149,202404,BU02,F05,S002,A07,Scope 3,Transportation and distribution,1339.15,ton-km thousand,0.1845,395.0,208502.86,5072310.86,0.76
E000150,202404,BU02,F05,S018,A09,Scope 3,Waste,1260.1,tonnes waste,0.4771,766.05,288770.54,5072310.86,0.87
E000151,202404,BU05,F06,S001,A04,Scope 2,Electricity,349.28,MWh,0.4145,132.59,53937.01,1848527.91,0.85
E000152,202404,BU05,F06,S015,A05,Scope 2,Purchased energy,577.11,MWh,0.2259,119.43,45702.66,1848527.91,0.76
E000153,202404,BU05,F06,S002,A08,Scope 3,Business travel,543.18,passenger-km thousand,0.1367,118.72,133138.48,1848527.91,0.96
E000154,202404,BU05,F06,S023,A09,Scope 3,Waste,490.88,tonnes waste,0.4558,357.82,183859.95,1848527.91,0.92
E000155,202404,BU04,F07,S009,A04,Scope 2,Electricity,715.25,MWh,0.4325,283.33,69771.85,2846837.61,0.79
E000156,202404,BU04,F07,S021,A05,Scope 2,Purchased energy,513.75,MWh,0.2221,104.53,58161.17,2846837.61,0.91
E000157,202404,BU04,F07,S004,A06,Scope 3,Purchased goods and services,383.56,USD thousand spend,0.4296,168.81,93157.25,2846837.61,0.72
E000158,202404,BU04,F07,S006,A06,Scope 3,Purchased goods and services,1188.26,USD thousand spend,0.6327,957.94,305762.45,2846837.61,0.9
E000159,202404,BU04,F07,S021,A08,Scope 3,Business travel,813.55,passenger-km thousand,0.117,121.27,542747.43,2846837.61,0.94
E000160,202404,BU04,F07,S004,A09,Scope 3,Waste,875.35,tonnes waste,0.5756,516.12,142467.01,2846837.61,0.81
E000161,202404,BU05,F08,S017,A04,Scope 2,Electricity,475.29,MWh,0.559,305.36,68379.83,1886927.26,0.71
E000162,202404,BU05,F08,S018,A05,Scope 2,Purchased energy,244.34,MWh,0.2287,51.19,31773.97,1886927.26,0.82
E000163,202404,BU05,F08,S013,A08,Scope 3,Business travel,563.07,passenger-km thousand,0.1299,93.2,361762.28,1886927.26,0.97
E000164,202404,BU05,F08,S014,A09,Scope 3,Waste,546.54,tonnes waste,0.4544,397.15,220943.18,1886927.26,0.82
E000165,202405,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1074.3,MWh thermal,0.1982,216.91,181033.84,6619864.23,0.8
E000166,202405,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,105.44,kg refrigerant,1.3121,140.92,8957.91,6619864.23,0.93
E000167,202405,BU01,F01,S019,A04,Scope 2,Electricity,1492.22,MWh,0.5415,735.55,137639.79,6619864.23,0.92
E000168,202405,BU01,F01,S014,A06,Scope 3,Purchased goods and services,2201.03,USD thousand spend,0.48,1679.13,774703.86,6619864.23,0.79
E000169,202405,BU01,F01,S005,A06,Scope 3,Purchased goods and services,2101.32,USD thousand spend,0.5994,1595.05,799444.45,6619864.23,0.81
E000170,202405,BU01,F01,S020,A09,Scope 3,Waste,475.35,tonnes waste,0.4046,195.81,159669.61,6619864.23,0.93
E000171,202405,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,1002.29,kiloliters,2.3651,2414.41,76540.45,4960118.16,0.8
E000172,202405,BU02,F02,S022,A04,Scope 2,Electricity,347.85,MWh,0.4738,150.02,64064.19,4960118.16,0.86
E000173,202405,BU02,F02,S003,A07,Scope 3,Transportation and distribution,597.6,ton-km thousand,0.1506,114.0,251029.3,4960118.16,0.85
E000174,202405,BU02,F02,S015,A07,Scope 3,Transportation and distribution,1468.41,ton-km thousand,0.1677,311.87,663219.51,4960118.16,0.76
E000175,202405,BU02,F02,S016,A09,Scope 3,Waste,1226.04,tonnes waste,0.4129,804.56,198743.2,4960118.16,0.73
E000176,202405,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,873.56,kiloliters,2.2567,2007.83,154483.63,5994031.38,0.9
E000177,202405,BU02,F03,S018,A04,Scope 2,Electricity,1443.96,MWh,0.5197,683.13,254593.22,5994031.38,0.92
E000178,202405,BU02,F03,S023,A07,Scope 3,Transportation and distribution,1173.97,ton-km thousand,0.1648,307.43,845908.87,5994031.38,0.74
E000179,202405,BU02,F03,S001,A07,Scope 3,Transportation and distribution,579.86,ton-km thousand,0.1416,103.98,222000.52,5994031.38,0.83
E000180,202405,BU02,F03,S024,A09,Scope 3,Waste,1327.22,tonnes waste,0.445,601.33,312269.35,5994031.38,0.97
E000181,202405,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,707.19,MWh thermal,0.2195,158.1,78699.86,6340003.96,0.85
E000182,202405,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,185.74,kg refrigerant,1.4866,281.24,27739.67,6340003.96,0.77
E000183,202405,BU01,F04,S022,A04,Scope 2,Electricity,1488.87,MWh,0.5489,743.89,245424.85,6340003.96,0.93
E000184,202405,BU01,F04,S001,A06,Scope 3,Purchased goods and services,766.27,USD thousand spend,0.5789,561.77,166861.45,6340003.96,0.94
E000185,202405,BU01,F04,S004,A06,Scope 3,Purchased goods and services,3874.27,USD thousand spend,0.6272,2473.78,1300371.22,6340003.96,0.95
E000186,202405,BU01,F04,S019,A09,Scope 3,Waste,1540.59,tonnes waste,0.5822,1135.81,997968.39,6340003.96,0.97
E000187,202405,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1051.03,kiloliters,2.608,2791.76,160543.56,5816749.95,0.8
E000188,202405,BU02,F05,S011,A04,Scope 2,Electricity,1391.17,MWh,0.4533,574.01,101678.68,5816749.95,0.85
E000189,202405,BU02,F05,S016,A07,Scope 3,Transportation and distribution,1642.84,ton-km thousand,0.1481,386.76,451006.62,5816749.95,0.71
E000190,202405,BU02,F05,S018,A07,Scope 3,Transportation and distribution,1147.6,ton-km thousand,0.188,273.25,695537.7,5816749.95,0.86
E000191,202405,BU02,F05,S020,A09,Scope 3,Waste,1326.93,tonnes waste,0.5274,712.52,710197.69,5816749.95,0.73
E000192,202405,BU05,F06,S022,A04,Scope 2,Electricity,529.51,MWh,0.5571,268.5,35891.82,1855642.94,0.9
E000193,202405,BU05,F06,S012,A05,Scope 2,Purchased energy,162.52,MWh,0.1915,22.77,29520.83,1855642.94,0.98
E000194,202405,BU05,F06,S024,A08,Scope 3,Business travel,158.41,passenger-km thousand,0.1187,19.14,26115.93,1855642.94,0.96
E000195,202405,BU05,F06,S023,A09,Scope 3,Waste,174.69,tonnes waste,0.5501,152.72,72401.52,1855642.94,0.84
E000196,202405,BU04,F07,S018,A04,Scope 2,Electricity,380.0,MWh,0.4861,168.13,34455.6,3271393.66,0.88
E000197,202405,BU04,F07,S011,A05,Scope 2,Purchased energy,777.78,MWh,0.1984,140.43,63732.69,3271393.66,0.96
E000198,202405,BU04,F07,S002,A06,Scope 3,Purchased goods and services,2041.1,USD thousand spend,0.5328,1728.28,1306800.22,3271393.66,0.92
E000199,202405,BU04,F07,S022,A06,Scope 3,Purchased goods and services,915.14,USD thousand spend,0.5693,659.82,410328.83,3271393.66,0.79
E000200,202405,BU04,F07,S013,A08,Scope 3,Business travel,933.11,passenger-km thousand,0.1269,149.94,162622.95,3271393.66,0.7
E000201,202405,BU04,F07,S002,A09,Scope 3,Waste,423.47,tonnes waste,0.4336,291.78,171975.46,3271393.66,0.77
E000202,202405,BU05,F08,S016,A04,Scope 2,Electricity,463.36,MWh,0.5286,279.8,53989.02,1859736.38,0.85
