CustomerID,AccountName,PlanID,PlanName,Segment,ChannelID,ChannelName,Motion,RegionID,Region,Industry,AcquisitionMonth
C0073,Logistics Cloud 073,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Logistics,2024-11-01
C0074,Financial Cloud 074,business,Business,Mid-Market,expansion,Customer Success,Expansion,na,North America,Financial Services,2024-06-01
C0075,Education Cloud 075,business,Business,Mid-Market,expansion,Customer Success,Expansion,emea,EMEA,Education,2025-02-01
C0076,Retail Cloud 076,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Retail,2025-01-01
C0077,Logistics Cloud 077,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Logistics,2025-08-01
C0078,Healthcare Cloud 078,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Healthcare,2024-11-01
C0079,Software Cloud 079,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Software,2024-05-01
C0080,Healthcare Cloud 080,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2024-05-01
C0081,Software Cloud 081,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Software,2025-12-01
C0082,Retail Cloud 082,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Retail,2025-07-01
C0083,Healthcare Cloud 083,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Healthcare,2024-04-01
C0084,Healthcare Cloud 084,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2025-10-01
C0085,Retail Cloud 085,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,emea,EMEA,Retail,2024-07-01
C0086,Software Cloud 086,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,latam,LATAM,Software,2024-10-01
C0087,Education Cloud 087,growth,Growth,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Education,2025-08-01
C0088,Software Cloud 088,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Software,2024-09-01
C0089,Education Cloud 089,starter,Starter,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Education,2025-05-01
C0090,Education Cloud 090,starter,Starter,SMB,outbound,Outbound Sales,Outbound,na,North America,Education,2025-10-01
C0091,Financial Cloud 091,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Financial Services,2024-04-01
C0092,Manufacturing Cloud 092,growth,Growth,SMB,partner,Partner Ecosystem,Partner,na,North America,Manufacturing,2025-02-01
C0093,Manufacturing Cloud 093,scale,Scale,Mid-Market,plg,Product-Led,PLG,apac,APAC,Manufacturing,2025-03-01
C0094,Software Cloud 094,growth,Growth,SMB,partner,Partner Ecosystem,Partner,latam,LATAM,Software,2026-02-01
C0095,Manufacturing Cloud 095,business,Business,Mid-Market,expansion,Customer Success,Expansion,na,North America,Manufacturing,2025-08-01
C0096,Retail Cloud 096,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Retail,2025-08-01
C0097,Financial Cloud 097,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Financial Services,2024-10-01
C0098,Logistics Cloud 098,growth,Growth,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Logistics,2025-07-01
C0099,Education Cloud 099,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,emea,EMEA,Education,2024-06-01
C0100,Software Cloud 100,starter,Starter,SMB,expansion,Customer Success,Expansion,emea,EMEA,Software,2024-01-01
C0101,Healthcare Cloud 101,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Healthcare,2024-01-01
C0102,Retail Cloud 102,starter,Starter,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Retail,2026-02-01
C0103,Manufacturing Cloud 103,growth,Growth,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Manufacturing,2024-05-01
C0104,Logistics Cloud 104,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,na,North America,Logistics,2026-04-01
C0105,Software Cloud 105,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Software,2025-04-01
C0106,Healthcare Cloud 106,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Healthcare,2025-08-01
C0107,Healthcare Cloud 107,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Healthcare,2024-06-01
C0108,Healthcare Cloud 108,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Healthcare,2025-01-01
C0109,Software Cloud 109,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Software,2025-01-01
C0110,Retail Cloud 110,starter,Starter,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Retail,2024-08-01
C0111,Education Cloud 111,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Education,2024-01-01
C0112,Healthcare Cloud 112,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Healthcare,2024-10-01
C0113,Manufacturing Cloud 113,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Manufacturing,2025-04-01
C0114,Healthcare Cloud 114,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Healthcare,2025-04-01
C0115,Software Cloud 115,starter,Starter,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Software,2024-06-01
C0116,Education Cloud 116,scale,Scale,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Education,2026-01-01
C0117,Logistics Cloud 117,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Logistics,2025-06-01
C0118,Financial Cloud 118,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Financial Services,2024-07-01
C0119,Financial Cloud 119,starter,Starter,SMB,inbound,Inbound Demand,Inbound,latam,LATAM,Financial Services,2024-08-01
C0120,Retail Cloud 120,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,apac,APAC,Retail,2024-08-01
C0121,Manufacturing Cloud 121,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Manufacturing,2024-07-01
C0122,Education Cloud 122,business,Business,Mid-Market,plg,Product-Led,PLG,latam,LATAM,Education,2024-09-01
C0123,Manufacturing Cloud 123,growth,Growth,SMB,outbound,Outbound Sales,Outbound,latam,LATAM,Manufacturing,2024-06-01
C0124,Education Cloud 124,growth,Growth,SMB,expansion,Customer Success,Expansion,na,North America,Education,2024-12-01
C0125,Logistics Cloud 125,scale,Scale,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Logistics,2025-08-01
C0126,Education Cloud 126,growth,Growth,SMB,partner,Partner Ecosystem,Partner,na,North America,Education,2024-09-01
C0127,Software Cloud 127,business,Business,Mid-Market,plg,Product-Led,PLG,apac,APAC,Software,2026-04-01
C0128,Financial Cloud 128,starter,Starter,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Financial Services,2024-10-01
C0129,Manufacturing Cloud 129,starter,Starter,SMB,plg,Product-Led,PLG,emea,EMEA,Manufacturing,2024-03-01
C0130,Logistics Cloud 130,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Logistics,2024-01-01
C0131,Logistics Cloud 131,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,emea,EMEA,Logistics,2026-02-01
C0132,Manufacturing Cloud 132,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Manufacturing,2024-03-01
C0133,Education Cloud 133,scale,Scale,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Education,2025-10-01
C0134,Manufacturing Cloud 134,starter,Starter,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Manufacturing,2024-01-01
C0135,Education Cloud 135,starter,Starter,SMB,outbound,Outbound Sales,Outbound,na,North America,Education,2025-03-01
C0136,Education Cloud 136,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,emea,EMEA,Education,2026-01-01
C0137,Healthcare Cloud 137,business,Business,Mid-Market,expansion,Customer Success,Expansion,emea,EMEA,Healthcare,2025-11-01
C0138,Education Cloud 138,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Education,2024-02-01
C0139,Software Cloud 139,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Software,2025-04-01
C0140,Education Cloud 140,growth,Growth,SMB,partner,Partner Ecosystem,Partner,na,North America,Education,2024-11-01
C0141,Healthcare Cloud 141,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Healthcare,2026-01-01
C0142,Retail Cloud 142,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,emea,EMEA,Retail,2024-04-01
C0143,Education Cloud 143,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Education,2025-03-01
C0144,Education Cloud 144,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Education,2024-07-01
C0145,Healthcare Cloud 145,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2024-08-01
C0146,Manufacturing Cloud 146,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Manufacturing,2024-11-01
C0147,Retail Cloud 147,growth,Growth,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Retail,2025-01-01
C0148,Healthcare Cloud 148,business,Business,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Healthcare,2024-03-01
C0149,Financial Cloud 149,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Financial Services,2024-02-01
C0150,Financial Cloud 150,starter,Starter,SMB,plg,Product-Led,PLG,emea,EMEA,Financial Services,2025-03-01
C0151,Logistics Cloud 151,enterprise,Enterprise,Enterprise,outbound,Outbound Sales,Outbound,emea,EMEA,Logistics,2026-02-01
C0152,Healthcare Cloud 152,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2025-02-01
C0153,Manufacturing Cloud 153,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Manufacturing,2025-11-01
C0154,Software Cloud 154,growth,Growth,SMB,plg,Product-Led,PLG,apac,APAC,Software,2025-11-01
C0155,Healthcare Cloud 155,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2024-08-01
C0156,Logistics Cloud 156,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Logistics,2024-05-01
C0157,Retail Cloud 157,growth,Growth,SMB,partner,Partner Ecosystem,Partner,apac,APAC,Retail,2024-12-01
C0158,Software Cloud 158,enterprise,Enterprise,Enterprise,partner,Partner Ecosystem,Partner,na,North America,Software,2025-05-01
C0159,Financial Cloud 159,scale,Scale,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Financial Services,2025-04-01
C0160,Logistics Cloud 160,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,latam,LATAM,Logistics,2025-08-01
C0161,Financial Cloud 161,scale,Scale,Mid-Market,partner,Partner Ecosystem,Partner,apac,APAC,Financial Services,2026-03-01
C0162,Education Cloud 162,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Education,2024-02-01
C0163,Retail Cloud 163,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Retail,2024-06-01
C0164,Manufacturing Cloud 164,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Manufacturing,2025-09-01
C0165,Education Cloud 165,growth,Growth,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Education,2025-03-01
C0166,Software Cloud 166,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Software,2026-02-01
C0167,Manufacturing Cloud 167,growth,Growth,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Manufacturing,2024-02-01
C0168,Software Cloud 168,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Software,2025-02-01
C0169,Logistics Cloud 169,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Logistics,2026-05-01
C0170,Financial Cloud 170,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Financial Services,2024-09-01
C0171,Software Cloud 171,business,Business,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Software,2024-02-01
C0172,Manufacturing Cloud 172,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Manufacturing,2024-05-01
C0173,Healthcare Cloud 173,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Healthcare,2025-12-01
C0174,Financial Cloud 174,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Financial Services,2025-06-01
C0175,Education Cloud 175,enterprise,Enterprise,Enterprise,expansion,Customer Success,Expansion,latam,LATAM,Education,2026-04-01
C0176,Education Cloud 176,enterprise,Enterprise,Enterprise,outbound,Outbound Sales,Outbound,na,North America,Education,2025-11-01
C0177,Healthcare Cloud 177,growth,Growth,SMB,expansion,Customer Success,Expansion,na,North America,Healthcare,2024-12-01
C0178,Healthcare Cloud 178,growth,Growth,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Healthcare,2024-07-01
C0179,Financial Cloud 179,growth,Growth,SMB,plg,Product-Led,PLG,apac,APAC,Financial Services,2024-08-01
C0180,Education Cloud 180,business,Business,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Education,2025-12-01
C0181,Software Cloud 181,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Software,2025-02-01
C0182,Manufacturing Cloud 182,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,apac,APAC,Manufacturing,2026-04-01
C0183,Healthcare Cloud 183,starter,Starter,SMB,inbound,Inbound Demand,Inbound,latam,LATAM,Healthcare,2025-06-01
C0184,Logistics Cloud 184,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Logistics,2024-07-01
C0185,Manufacturing Cloud 185,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Manufacturing,2024-02-01
C0186,Education Cloud 186,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,na,North America,Education,2026-01-01
C0187,Retail Cloud 187,scale,Scale,Mid-Market,plg,Product-Led,PLG,latam,LATAM,Retail,2024-05-01
C0188,Logistics Cloud 188,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Logistics,2024-08-01
C0189,Education Cloud 189,scale,Scale,Mid-Market,plg,Product-Led,PLG,na,North America,Education,2025-05-01
C0190,Manufacturing Cloud 190,starter,Starter,SMB,plg,Product-Led,PLG,emea,EMEA,Manufacturing,2024-11-01
C0191,Healthcare Cloud 191,growth,Growth,SMB,partner,Partner Ecosystem,Partner,na,North America,Healthcare,2025-10-01
C0192,Software Cloud 192,starter,Starter,SMB,outbound,Outbound Sales,Outbound,na,North America,Software,2024-03-01
C0193,Manufacturing Cloud 193,growth,Growth,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Manufacturing,2024-07-01
C0194,Manufacturing Cloud 194,growth,Growth,SMB,outbound,Outbound Sales,Outbound,apac,APAC,Manufacturing,2024-11-01
C0195,Retail Cloud 195,starter,Starter,SMB,outbound,Outbound Sales,Outbound,na,North America,Retail,2024-05-01
C0196,Financial Cloud 196,growth,Growth,SMB,partner,Partner Ecosystem,Partner,emea,EMEA,Financial Services,2025-03-01
C0197,Financial Cloud 197,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,na,North America,Financial Services,2024-08-01
C0198,Education Cloud 198,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Education,2025-04-01
C0199,Logistics Cloud 199,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,apac,APAC,Logistics,2025-10-01
C0200,Retail Cloud 200,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Retail,2024-12-01
C0201,Logistics Cloud 201,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Logistics,2025-05-01
C0202,Software Cloud 202,growth,Growth,SMB,expansion,Customer Success,Expansion,na,North America,Software,2024-02-01
C0203,Software Cloud 203,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Software,2025-09-01
C0204,Education Cloud 204,growth,Growth,SMB,partner,Partner Ecosystem,Partner,latam,LATAM,Education,2024-03-01
C0205,Financial Cloud 205,growth,Growth,SMB,plg,Product-Led,PLG,emea,EMEA,Financial Services,2025-01-01
C0206,Logistics Cloud 206,business,Business,Mid-Market,plg,Product-Led,PLG,apac,APAC,Logistics,2024-04-01
C0207,Software Cloud 207,starter,Starter,SMB,plg,Product-Led,PLG,latam,LATAM,Software,2024-01-01
C0208,Financial Cloud 208,starter,Starter,SMB,outbound,Outbound Sales,Outbound,apac,APAC,Financial Services,2024-03-01
C0209,Healthcare Cloud 209,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Healthcare,2026-02-01
C0210,Software Cloud 210,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Software,2026-05-01
C0211,Healthcare Cloud 211,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Healthcare,2024-01-01
C0212,Retail Cloud 212,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Retail,2025-09-01
C0213,Manufacturing Cloud 213,business,Business,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Manufacturing,2025-01-01
C0214,Logistics Cloud 214,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Logistics,2025-01-01
C0215,Financial Cloud 215,enterprise,Enterprise,Enterprise,expansion,Customer Success,Expansion,na,North America,Financial Services,2024-11-01
C0216,Retail Cloud 216,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Retail,2025-02-01
C0217,Healthcare Cloud 217,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Healthcare,2024-03-01
C0218,Financial Cloud 218,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,emea,EMEA,Financial Services,2024-12-01
C0219,Logistics Cloud 219,scale,Scale,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Logistics,2025-02-01
C0220,Healthcare Cloud 220,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Healthcare,2024-11-01
C0221,Retail Cloud 221,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Retail,2024-09-01
C0222,Education Cloud 222,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Education,2025-01-01
C0223,Education Cloud 223,business,Business,Mid-Market,plg,Product-Led,PLG,apac,APAC,Education,2025-11-01
C0224,Education Cloud 224,growth,Growth,SMB,plg,Product-Led,PLG,emea,EMEA,Education,2024-02-01
C0225,Education Cloud 225,starter,Starter,SMB,plg,Product-Led,PLG,apac,APAC,Education,2024-08-01
C0226,Healthcare Cloud 226,growth,Growth,SMB,expansion,Customer Success,Expansion,apac,APAC,Healthcare,2026-03-01
C0227,Education Cloud 227,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,emea,EMEA,Education,2025-03-01
C0228,Manufacturing Cloud 228,growth,Growth,SMB,inbound,Inbound Demand,Inbound,latam,LATAM,Manufacturing,2025-01-01
C0229,Manufacturing Cloud 229,starter,Starter,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Manufacturing,2024-08-01
C0230,Manufacturing Cloud 230,enterprise,Enterprise,Enterprise,outbound,Outbound Sales,Outbound,na,North America,Manufacturing,2025-02-01
C0231,Financial Cloud 231,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Financial Services,2024-06-01
