AlertKey,TransactionKey,DateKey,AlertDateKey,CustomerKey,RuleKey,CorridorKey,ChannelKey,ProductKey,AlertAmountUSD,RiskScore,Severity,AlertStatus,IsFalsePositive,IsTruePositive,EscalatedToCase,CaseKey,ClosedDateKey,HoursToDisposition
AL000051,T0000306,20250323,20250324,C0065,R004,COR002,CH003,PR004,187629.42,81,High,Closed True Positive,N,Y,N,,20250325.0,28.0
AL000052,T0000309,20251011,20251012,C0030,R001,COR007,CH008,PR003,124000.0,87,High,Closed False Positive,Y,N,N,,20251021.0,230.0
AL000053,T0000310,20250421,20250422,C0132,R005,COR009,CH008,PR007,12788.61,83,High,SAR Filed,N,Y,Y,CA000053,20250502.0,244.0
AL000054,T0000315,20250908,20250910,C0119,R003,COR006,CH004,PR004,1265.78,91,Critical,SAR Filed,N,Y,Y,CA000054,20250913.0,73.0
AL000055,T0000323,20260509,20260511,C0100,R007,COR007,CH003,PR001,51928.95,76,High,Closed True Positive,N,Y,Y,CA000055,20260523.0,299.0
AL000056,T0000325,20250207,20250208,C0080,R002,COR002,CH003,PR008,10000.0,77,High,In Review,N,Y,N,,,
AL000057,T0000327,20250910,20250911,C0142,R002,COR006,CH004,PR007,24033.0,86,High,Closed True Positive,N,Y,N,,20250919.0,207.0
AL000058,T0000329,20260409,20260411,C0071,R001,COR006,CH005,PR003,34101.72,74,High,Closed False Positive,Y,N,N,,20260421.0,249.0
AL000059,T0000347,20260103,20260104,C0107,R003,COR003,CH004,PR007,9739.84,73,Medium,In Review,Y,N,N,,,
AL000060,T0000356,20260420,20260421,C0179,R004,COR006,CH006,PR003,4282.94,92,Critical,In Review,Y,N,Y,CA000060,,
AL000061,T0000359,20260422,20260422,C0141,R003,COR009,CH003,PR005,943.48,85,High,Closed True Positive,N,Y,N,,20260423.0,33.0
AL000062,T0000378,20260311,20260311,C0130,R010,COR006,CH004,PR006,2601.52,70,Medium,Closed True Positive,N,Y,Y,CA000062,20260318.0,176.0
AL000063,T0000385,20251010,20251011,C0026,R001,COR006,CH004,PR006,1766.11,86,High,Closed False Positive,Y,N,N,,20251023.0,299.0
AL000064,T0000388,20250530,20250531,C0078,R001,COR012,CH008,PR005,14301.14,93,Critical,SAR Filed,N,Y,Y,CA000064,20250612.0,289.0
AL000065,T0000394,20250810,20250810,C0141,R002,COR001,CH006,PR005,158811.96,88,Critical,Escalated,N,Y,Y,CA000065,,
AL000066,T0000399,20251227,20251228,C0138,R007,COR004,CH005,PR004,10785.81,82,High,Closed False Positive,Y,N,N,,20251231.0,81.0
AL000067,T0000401,20260204,20260205,C0120,R007,COR007,CH006,PR004,2961.68,81,High,Escalated,N,Y,Y,CA000067,,
AL000068,T0000416,20251104,20251104,C0018,R005,COR003,CH008,PR006,77416.22,86,High,SAR Filed,N,Y,Y,CA000068,20251111.0,175.0
AL000069,T0000419,20260406,20260408,C0055,R004,COR006,CH008,PR006,163000.0,93,Critical,SAR Filed,N,Y,Y,CA000069,20260411.0,75.0
AL000070,T0000424,20260522,20260523,C0022,R008,COR011,CH005,PR001,29091.07,99,Critical,Escalated,Y,N,Y,CA000070,,
AL000071,T0000433,20250827,20250827,C0033,R001,COR001,CH004,PR003,92711.64,69,Medium,Closed False Positive,Y,N,N,,20250901.0,128.0
AL000072,T0000439,20251223,20251224,C0056,R003,COR006,CH005,PR006,2355.25,76,High,In Review,N,Y,Y,CA000072,,
AL000073,T0000452,20250728,20250729,C0062,R008,COR006,CH005,PR002,31319.45,67,Medium,Closed True Positive,N,Y,Y,CA000073,20250810.0,297.0
AL000074,T0000461,20251228,20251230,C0001,R002,COR010,CH005,PR005,192000.0,99,Critical,Escalated,N,Y,Y,CA000074,,
AL000075,T0000462,20250406,20250406,C0049,R002,COR012,CH007,PR004,5714.62,79,High,Closed True Positive,N,Y,N,,20250411.0,134.0
AL000076,T0000469,20250824,20250826,C0100,R003,COR006,CH004,PR003,3644.92,85,High,SAR Filed,N,Y,Y,CA000076,20250909.0,341.0
AL000077,T0000476,20260329,20260331,C0032,R002,COR008,CH001,PR006,54000.0,90,Critical,SAR Filed,N,Y,Y,CA000077,20260401.0,30.0
AL000078,T0000482,20260328,20260330,C0029,R010,COR002,CH005,PR005,5585.95,73,Medium,Closed False Positive,Y,N,N,,20260406.0,170.0
AL000079,T0000489,20251025,20251027,C0026,R001,COR004,CH004,PR007,2678.05,92,Critical,Escalated,N,Y,Y,CA000079,,
AL000080,T0000494,20251106,20251107,C0009,R008,COR010,CH007,PR008,12144.66,71,Medium,In Review,Y,N,N,,,
AL000081,T0000499,20251121,20251122,C0064,R008,COR004,CH006,PR006,53878.55,99,Critical,Closed True Positive,Y,N,Y,CA000081,20251202.0,254.0
AL000082,T0000501,20250207,20250209,C0120,R003,COR011,CH008,PR005,171213.04,96,Critical,SAR Filed,N,Y,Y,CA000082,20250217.0,197.0
AL000083,T0000507,20250715,20250717,C0072,R006,COR002,CH006,PR007,120480.47,90,Critical,Escalated,N,Y,Y,CA000083,,
AL000084,T0000509,20260506,20260508,C0120,R002,COR005,CH003,PR007,20667.28,82,High,Closed False Positive,Y,N,N,,20260517.0,224.0
AL000085,T0000514,20251104,20251104,C0033,R001,COR002,CH005,PR004,13000.0,88,Critical,In Review,Y,N,Y,CA000085,,
AL000086,T0000523,20250825,20250827,C0078,R003,COR003,CH003,PR006,16053.55,85,High,In Review,N,Y,N,,,
AL000087,T0000536,20260526,20260527,C0156,R003,COR011,CH007,PR002,9076.28,72,Medium,In Review,N,Y,Y,CA000087,,
AL000088,T0000544,20250330,20250401,C0078,R001,COR008,CH002,PR006,4882.06,78,High,Closed False Positive,Y,N,N,,20250406.0,123.0
AL000089,T0000545,20250612,20250613,C0001,R009,COR012,CH008,PR001,71429.1,77,High,SAR Filed,N,Y,Y,CA000089,20250623.0,248.0
AL000090,T0000549,20250112,20250114,C0131,R004,COR004,CH006,PR003,216835.15,99,Critical,SAR Filed,N,Y,Y,CA000090,20250117.0,77.0
AL000091,T0000554,20260517,20260518,C0028,R010,COR004,CH002,PR003,89604.42,84,High,Closed True Positive,N,Y,N,,20260524.0,151.0
AL000092,T0000558,20251207,20251208,C0055,R002,COR010,CH008,PR008,454615.54,77,High,Escalated,N,Y,Y,CA000092,,
AL000093,T0000562,20251116,20251116,C0082,R006,COR007,CH002,PR001,13931.64,80,High,Closed False Positive,Y,N,N,,20251129.0,317.0
AL000094,T0000565,20250623,20250624,C0086,R004,COR002,CH001,PR004,10000.0,83,High,Closed False Positive,Y,N,N,,20250709.0,365.0
AL000095,T0000568,20250324,20250325,C0001,R002,COR002,CH008,PR003,43327.67,99,Critical,SAR Filed,N,Y,Y,CA000095,20250403.0,226.0
AL000096,T0000570,20260120,20260122,C0019,R004,COR012,CH003,PR008,87137.16,88,Critical,SAR Filed,N,Y,Y,CA000096,20260205.0,342.0
AL000097,T0000574,20260131,20260202,C0031,R010,COR008,CH008,PR008,54100.53,99,Critical,Escalated,N,Y,Y,CA000097,,
AL000098,T0000575,20260331,20260331,C0118,R003,COR009,CH001,PR004,742.87,75,High,Closed True Positive,N,Y,Y,CA000098,20260408.0,194.0
AL000099,T0000583,20260127,20260129,C0104,R003,COR011,CH005,PR006,79366.32,80,High,Escalated,N,Y,Y,CA000099,,
AL000100,T0000585,20260106,20260106,C0105,R001,COR010,CH008,PR005,47914.36,91,Critical,SAR Filed,N,Y,Y,CA000100,20260115.0,223.0
AL000101,T0000596,20260531,20260531,C0067,R001,COR008,CH006,PR003,76175.01,66,Medium,Closed False Positive,Y,N,N,,20260608.0,206.0
AL000102,T0000600,20250707,20250709,C0005,R007,COR011,CH004,PR008,14379.99,86,High,In Review,N,Y,N,,,
AL000103,T0000603,20260419,20260421,C0069,R003,COR008,CH004,PR005,13000.0,91,Critical,Escalated,Y,N,Y,CA000103,,
AL000104,T0000606,20250630,20250702,C0115,R003,COR011,CH004,PR007,1544.54,87,High,Closed True Positive,N,Y,N,,20250714.0,293.0
AL000105,T0000618,20250318,20250320,C0160,R002,COR003,CH003,PR001,8000.0,76,High,Closed False Positive,Y,N,N,,20250328.0,205.0
AL000106,T0000622,20251026,20251027,C0098,R003,COR007,CH003,PR002,1504.58,81,High,Closed False Positive,Y,N,N,,20251028.0,26.0
AL000107,T0000633,20250207,20250207,C0085,R005,COR002,CH005,PR005,8365.83,81,High,In Review,Y,N,N,,,
AL000108,T0000634,20251121,20251121,C0142,R006,COR008,CH001,PR001,16650.34,69,Medium,In Review,Y,N,N,,,
AL000109,T0000636,20260215,20260216,C0041,R001,COR004,CH004,PR006,9000.0,81,High,In Review,N,Y,N,,,
AL000110,T0000638,20250618,20250619,C0167,R003,COR007,CH004,PR005,31799.64,91,Critical,SAR Filed,N,Y,Y,CA000110,20250622.0,86.0
AL000111,T0000642,20260503,20260504,C0086,R003,COR004,CH003,PR008,50000.0,87,High,Escalated,N,Y,Y,CA000111,,
AL000112,T0000644,20251017,20251017,C0029,R003,COR011,CH006,PR002,35534.43,80,High,Closed True Positive,N,Y,N,,20251022.0,134.0
AL000113,T0000645,20260427,20260429,C0034,R001,COR010,CH003,PR001,16000.0,90,Critical,In Review,Y,N,Y,CA000113,,
AL000114,T0000656,20250110,20250111,C0147,R002,COR011,CH001,PR006,21294.49,80,High,SAR Filed,N,Y,Y,CA000114,20250115.0,103.0
AL000115,T0000658,20260524,20260526,C0164,R009,COR007,CH007,PR002,23024.11,85,High,Closed False Positive,Y,N,N,,20260529.0,78.0
AL000116,T0000663,20250727,20250728,C0135,R003,COR004,CH005,PR007,195394.55,94,Critical,Closed True Positive,Y,N,Y,CA000116,20250801.0,101.0
AL000117,T0000681,20250520,20250520,C0148,R007,COR005,CH005,PR007,1859.38,99,Critical,SAR Filed,N,Y,Y,CA000117,20250604.0,364.0
AL000118,T0000682,20250423,20250425,C0038,R003,COR006,CH001,PR002,21410.34,80,High,In Review,N,Y,N,,,
AL000119,T0000684,20251111,20251112,C0172,R005,COR003,CH005,PR006,20823.5,82,High,SAR Filed,N,Y,Y,CA000119,20251119.0,180.0
AL000120,T0000694,20251216,20251216,C0133,R001,COR012,CH006,PR006,110935.24,82,High,Closed False Positive,Y,N,N,,20251229.0,321.0
AL000121,T0000698,20251012,20251014,C0174,R001,COR008,CH002,PR003,46000.0,74,High,Closed False Positive,Y,N,N,,20251018.0,106.0
AL000122,T0000708,20260308,20260309,C0104,R002,COR007,CH003,PR006,300164.47,81,High,Closed False Positive,Y,N,N,,20260320.0,265.0
AL000123,T0000717,20251118,20251120,C0121,R001,COR003,CH004,PR005,101455.47,74,High,Closed True Positive,N,Y,Y,CA000123,20251121.0,32.0
AL000124,T0000733,20250525,20250527,C0150,R005,COR009,CH005,PR001,2613.07,66,Medium,Closed False Positive,Y,N,N,,20250605.0,230.0
AL000125,T0000737,20250805,20250807,C0128,R009,COR011,CH008,PR006,261029.23,99,Critical,SAR Filed,N,Y,Y,CA000125,20250810.0,75.0
AL000126,T0000738,20251119,20251120,C0111,R002,COR001,CH004,PR001,26357.34,76,High,New,Y,N,N,,,
AL000127,T0000744,20251212,20251212,C0099,R009,COR009,CH008,PR001,56314.23,81,High,Closed False Positive,Y,N,N,,20251217.0,123.0
AL000128,T0000752,20250929,20250929,C0140,R001,COR012,CH008,PR004,28025.26,91,Critical,SAR Filed,N,Y,Y,CA000128,20251003.0,107.0
AL000129,T0000753,20250927,20250928,C0115,R007,COR006,CH003,PR006,3330.65,84,High,Closed False Positive,Y,N,N,,20251009.0,269.0
AL000130,T0000761,20260112,20260113,C0082,R010,COR004,CH008,PR008,8699.42,79,High,Closed False Positive,Y,N,N,,20260128.0,365.0
AL000131,T0000767,20251229,20251229,C0156,R004,COR009,CH006,PR007,140959.61,74,High,Closed False Positive,Y,N,N,,20260108.0,246.0
AL000132,T0000768,20260409,20260409,C0119,R007,COR003,CH004,PR001,14701.46,81,High,In Review,N,Y,N,,,
AL000133,T0000779,20260305,20260306,C0092,R010,COR004,CH008,PR004,6467.84,75,High,In Review,Y,N,N,,,
AL000134,T0000786,20250528,20250529,C0006,R001,COR008,CH006,PR002,14032.34,71,Medium,New,Y,N,N,,,
AL000135,T0000787,20250508,20250509,C0007,R008,COR005,CH002,PR004,24993.95,90,Critical,Escalated,N,Y,Y,CA000135,,
AL000136,T0000790,20250506,20250508,C0136,R003,COR007,CH005,PR004,15729.84,76,High,In Review,N,Y,N,,,
AL000137,T0000797,20250604,20250606,C0153,R009,COR002,CH001,PR007,108728.3,68,Medium,Closed True Positive,N,Y,N,,20250609.0,81.0
AL000138,T0000799,20250922,20250924,C0029,R001,COR011,CH003,PR005,10802.24,74,High,Closed False Positive,Y,N,N,,20250926.0,52.0
AL000139,T0000804,20260317,20260318,C0071,R008,COR011,CH006,PR001,14548.26,86,High,SAR Filed,N,Y,Y,CA000139,20260324.0,153.0
AL000140,T0000806,20250913,20250913,C0108,R003,COR006,CH005,PR005,10075.15,91,Critical,SAR Filed,N,Y,Y,CA000140,20250918.0,123.0
AL000141,T0000807,20250928,20250929,C0146,R008,COR007,CH004,PR005,9784.8,95,Critical,Closed True Positive,Y,N,Y,CA000141,20251006.0,182.0
AL000142,T0000808,20260103,20260103,C0061,R008,COR012,CH004,PR007,71918.82,62,Medium,In Review,Y,N,N,,,
AL000143,T0000809,20251127,20251128,C0030,R002,COR011,CH008,PR005,2755.59,94,Critical,SAR Filed,N,Y,Y,CA000143,20251206.0,198.0
AL000144,T0000810,20250927,20250928,C0169,R001,COR004,CH003,PR007,272046.59,80,High,Escalated,N,Y,Y,CA000144,,
AL000145,T0000830,20250601,20250603,C0019,R005,COR011,CH004,PR005,4837.23,89,Critical,In Review,Y,N,Y,CA000145,,
AL000146,T0000832,20251120,20251120,C0122,R003,COR011,CH001,PR008,7152.49,76,High,SAR Filed,N,Y,Y,CA000146,20251123.0,76.0
AL000147,T0000837,20260201,20260202,C0116,R001,COR002,CH006,PR007,46804.88,81,High,Escalated,Y,N,Y,CA000147,,
AL000148,T0000840,20260503,20260505,C0163,R006,COR009,CH005,PR005,37000.0,69,Medium,Escalated,N,Y,Y,CA000148,,
AL000149,T0000855,20250828,20250830,C0157,R007,COR009,CH006,PR005,742000.0,99,Critical,SAR Filed,N,Y,Y,CA000149,20250912.0,313.0
AL000150,T0000859,20250914,20250915,C0006,R004,COR011,CH005,PR003,4998.05,92,Critical,SAR Filed,N,Y,Y,CA000150,20250929.0,350.0
AL000151,T0000863,20260302,20260304,C0178,R004,COR007,CH005,PR007,36000.0,99,Critical,SAR Filed,N,Y,Y,CA000151,20260312.0,206.0
AL000152,T0000865,20250731,20250801,C0022,R010,COR004,CH008,PR001,42000.0,82,High,In Review,N,Y,N,,,
AL000153,T0000870,20260222,20260222,C0011,R005,COR010,CH006,PR006,364675.66,76,High,Closed False Positive,Y,N,N,,20260308.0,347.0
AL000154,T0000880,20250915,20250915,C0147,R008,COR003,CH002,PR008,44125.82,92,Critical,SAR Filed,N,Y,Y,CA000154,20250926.0,278.0
AL000155,T0000883,20250608,20250609,C0079,R003,COR008,CH006,PR006,24082.09,74,High,Closed False Positive,Y,N,N,,20250623.0,342.0
AL000156,T0000886,20250323,20250323,C0074,R001,COR012,CH002,PR002,138379.49,76,High,Escalated,N,Y,Y,CA000156,,
AL000157,T0000888,20251208,20251210,C0157,R004,COR002,CH001,PR003,84530.31,78,High,Closed False Positive,Y,N,N,,20251225.0,369.0
AL000158,T0000898,20251231,20260102,C0137,R010,COR008,CH004,PR007,57000.0,87,High,SAR Filed,N,Y,Y,CA000158,20260106.0,105.0
AL000159,T0000902,20250808,20250809,C0032,R008,COR010,CH001,PR007,20020.08,91,Critical,SAR Filed,N,Y,Y,CA000159,20250821.0,298.0
AL000160,T0000903,20260305,20260305,C0172,R003,COR006,CH008,PR002,10751.32,87,High,SAR Filed,N,Y,Y,CA000160,20260311.0,158.0
AL000161,T0000905,20260418,20260418,C0061,R003,COR003,CH004,PR003,1344.2,73,Medium,Closed False Positive,Y,N,N,,20260502.0,346.0
AL000162,T0000907,20260103,20260105,C0087,R003,COR010,CH001,PR004,3509.93,70,Medium,Closed False Positive,Y,N,N,,20260108.0,74.0
AL000163,T0000909,20250424,20250426,C0076,R009,COR001,CH008,PR008,242214.19,92,Critical,SAR Filed,N,Y,Y,CA000163,20250502.0,149.0
AL000164,T0000911,20260224,20260226,C0011,R006,COR008,CH003,PR008,7603.05,67,Medium,Closed False Positive,Y,N,N,,20260311.0,327.0
AL000165,T0000916,20250831,20250831,C0116,R001,COR002,CH008,PR008,119000.0,97,Critical,Escalated,N,Y,Y,CA000165,,
AL000166,T0000923,20260303,20260305,C0131,R003,COR009,CH002,PR006,162699.32,85,High,Closed False Positive,Y,N,N,,20260318.0,320.0
AL000167,T0000924,20250629,20250630,C0102,R009,COR002,CH008,PR005,5172.06,81,High,SAR Filed,N,Y,Y,CA000167,20250701.0,26.0
AL000168,T0000928,20260507,20260508,C0092,R003,COR007,CH008,PR007,42846.87,84,High,Escalated,N,Y,Y,CA000168,,
AL000169,T0000935,20250928,20250929,C0117,R009,COR003,CH008,PR008,4333.05,80,High,In Review,Y,N,N,,,
AL000170,T0000938,20250112,20250113,C0032,R009,COR006,CH001,PR007,9457.61,83,High,In Review,N,Y,N,,,
AL000171,T0000941,20260122,20260122,C0134,R001,COR004,CH008,PR001,6967.63,76,High,Closed True Positive,N,Y,Y,CA000171,20260127.0,134.0
AL000172,T0000942,20260415,20260417,C0023,R005,COR002,CH005,PR003,10000.0,81,High,Escalated,N,Y,Y,CA000172,,
AL000173,T0000958,20250401,20250403,C0035,R005,COR005,CH008,PR002,34000.0,82,High,SAR Filed,N,Y,Y,CA000173,20250413.0,241.0
AL000174,T0000959,20260217,20260217,C0043,R001,COR008,CH004,PR003,4554.62,73,Medium,Closed True Positive,N,Y,N,,20260218.0,29.0
AL000175,T0000969,20250910,20250910,C0022,R005,COR003,CH005,PR001,1838.19,69,Medium,Closed False Positive,Y,N,N,,20250913.0,77.0
AL000176,T0000974,20250610,20250610,C0067,R003,COR007,CH003,PR008,18895.78,72,Medium,Closed False Positive,Y,N,N,,20250612.0,59.0
AL000177,T0000978,20250814,20250815,C0082,R002,COR009,CH003,PR002,6880.53,77,High,In Review,Y,N,N,,,
AL000178,T0000985,20250312,20250314,C0044,R008,COR004,CH007,PR001,35355.69,87,High,Closed False Positive,Y,N,N,,20250328.0,349.0
AL000179,T0000987,20260404,20260405,C0180,R002,COR011,CH007,PR002,14000.0,81,High,SAR Filed,N,Y,Y,CA000179,20260412.0,172.0
AL000180,T0000994,20260326,20260328,C0143,R001,COR010,CH002,PR004,7071.16,70,Medium,Escalated,N,Y,Y,CA000180,,
AL000181,T0000997,20250205,20250207,C0141,R008,COR005,CH003,PR003,12242.36,79,High,Closed False Positive,Y,N,N,,20250211.0,106.0
AL000182,T0000998,20250807,20250809,C0024,R003,COR007,CH007,PR004,15250.12,75,High,Closed False Positive,Y,N,N,,20250824.0,366.0
AL000183,T0000999,20260126,20260128,C0024,R004,COR003,CH006,PR004,142821.1,76,High,Escalated,N,Y,Y,CA000183,,
AL000184,T0001008,20250423,20250424,C0074,R001,COR002,CH008,PR007,5426.79,85,High,Closed True Positive,N,Y,N,,20250428.0,98.0
AL000185,T0001009,20260312,20260312,C0169,R007,COR003,CH008,PR006,108439.77,97,Critical,SAR Filed,N,Y,Y,CA000185,20260319.0,181.0
AL000186,T0001011,20260513,20260515,C0163,R008,COR003,CH005,PR008,65466.54,84,High,SAR Filed,N,Y,Y,CA000186,20260525.0,247.0
AL000187,T0001012,20250419,20250419,C0135,R010,COR012,CH005,PR006,66224.34,83,High,Closed False Positive,Y,N,N,,20250503.0,344.0
AL000188,T0001013,20250727,20250729,C0096,R001,COR008,CH003,PR003,15713.78,88,Critical,SAR Filed,N,Y,Y,CA000188,20250813.0,370.0
AL000189,T0001016,20260531,20260531,C0065,R002,COR004,CH007,PR004,10000.0,81,High,In Review,N,Y,N,,,
AL000190,T0001017,20250227,20250227,C0019,R004,COR009,CH001,PR003,34283.11,89,Critical,In Review,Y,N,Y,CA000190,,
AL000191,T0001019,20260120,20260121,C0171,R003,COR008,CH002,PR004,40602.19,78,High,In Review,Y,N,N,,,
AL000192,T0001022,20260303,20260304,C0083,R008,COR002,CH001,PR003,21110.52,69,Medium,New,Y,N,N,,,
