CaseKey,AlertKey,CreatedDateKey,ClosedDateKey,CustomerKey,RuleKey,CorridorKey,AnalystKey,CasePriority,CaseStatus,Outcome,SARFiled,SLAHours,AgeDays,HoursToClose,IsOverdue,CaseAmountUSD
CA000098,AL000098,20260331,20260407.0,C0118,R003,COR009,A001,P2,Closed,Confirmed Suspicious,N,48,8,178.0,Y,742.87
CA000099,AL000099,20260131,20260201.0,C0104,R003,COR011,A003,P2,SAR Filed,SAR Filed,Y,48,2,29.0,N,79366.32
CA000100,AL000100,20260108,20260110.0,C0105,R001,COR010,A002,P1,SAR Filed,SAR Filed,Y,24,3,58.0,Y,47914.36
CA000103,AL000103,20260422,,C0069,R003,COR008,A003,P1,Pending EDD,Pending,N,24,5,,Y,13000.0
CA000110,AL000110,20250619,20250619.0,C0167,R003,COR007,A008,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,31799.64
CA000111,AL000111,20260505,20260506.0,C0086,R003,COR004,A004,P2,SAR Filed,SAR Filed,Y,48,2,31.0,N,50000.0
CA000113,AL000113,20260501,20260501.0,C0034,R001,COR010,A003,P1,Closed,False Positive,N,24,1,8.0,N,16000.0
CA000114,AL000114,20250111,20250112.0,C0147,R002,COR011,A008,P2,SAR Filed,SAR Filed,Y,48,2,33.0,N,21294.49
CA000116,AL000116,20250729,20250729.0,C0135,R003,COR004,A003,P1,Closed,False Positive,N,24,1,14.0,N,195394.55
CA000117,AL000117,20250520,20250523.0,C0148,R007,COR005,A005,P1,SAR Filed,SAR Filed,Y,24,4,91.0,Y,1859.38
CA000119,AL000119,20251112,20251113.0,C0172,R005,COR003,A003,P2,SAR Filed,SAR Filed,Y,48,2,32.0,N,20823.5
CA000123,AL000123,20251121,,C0121,R001,COR003,A002,P2,Open,Pending,N,48,1,,N,101455.47
CA000125,AL000125,20250807,20250807.0,C0128,R009,COR011,A001,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,261029.23
CA000128,AL000128,20250930,20250930.0,C0140,R001,COR012,A003,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,28025.26
CA000135,AL000135,20250510,20250510.0,C0007,R008,COR005,A008,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,24993.95
CA000139,AL000139,20260319,20260327.0,C0071,R008,COR011,A005,P2,SAR Filed,SAR Filed,Y,48,8,192.0,Y,14548.26
CA000140,AL000140,20250913,20250914.0,C0108,R003,COR006,A008,P1,SAR Filed,SAR Filed,Y,24,2,32.0,Y,10075.15
CA000141,AL000141,20251001,20251004.0,C0146,R008,COR007,A004,P1,Closed,False Positive,N,24,4,88.0,Y,9784.8
CA000143,AL000143,20251130,20251130.0,C0030,R002,COR011,A003,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,2755.59
CA000144,AL000144,20250929,20250930.0,C0169,R001,COR004,A003,P2,SAR Filed,SAR Filed,Y,48,2,31.0,N,272046.59
CA000145,AL000145,20250604,,C0019,R005,COR011,A007,P1,Open,Pending,N,24,3,,Y,4837.23
CA000146,AL000146,20251122,20251122.0,C0122,R003,COR011,A003,P2,SAR Filed,SAR Filed,Y,48,1,12.0,N,7152.49
CA000147,AL000147,20260202,20260203.0,C0116,R001,COR002,A007,P2,Closed,False Positive,N,48,2,34.0,N,46804.88
CA000148,AL000148,20260505,20260516.0,C0163,R006,COR009,A003,P3,Closed,Confirmed Suspicious,N,96,12,271.0,Y,37000.0
CA000149,AL000149,20250831,20250903.0,C0157,R007,COR009,A008,P1,SAR Filed,SAR Filed,Y,24,4,93.0,Y,742000.0
CA000150,AL000150,20250917,20250917.0,C0006,R004,COR011,A002,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,4998.05
CA000151,AL000151,20260306,20260306.0,C0178,R004,COR007,A004,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,36000.0
CA000154,AL000154,20250916,20250918.0,C0147,R008,COR003,A003,P1,SAR Filed,SAR Filed,Y,24,3,62.0,Y,44125.82
CA000156,AL000156,20250325,,C0074,R001,COR012,A007,P2,Pending EDD,Pending,N,48,5,,Y,138379.49
CA000158,AL000158,20260103,20260103.0,C0137,R010,COR008,A008,P2,SAR Filed,SAR Filed,Y,48,1,11.0,N,57000.0
CA000159,AL000159,20250810,20250810.0,C0032,R008,COR010,A002,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,20020.08
CA000160,AL000160,20260306,20260307.0,C0172,R003,COR006,A002,P2,SAR Filed,SAR Filed,Y,48,2,30.0,N,10751.32
CA000163,AL000163,20250427,20250427.0,C0076,R009,COR001,A006,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,242214.19
CA000165,AL000165,20250901,20250901.0,C0116,R001,COR002,A002,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,119000.0
CA000167,AL000167,20250630,20250630.0,C0102,R009,COR002,A005,P2,SAR Filed,SAR Filed,Y,48,1,8.0,N,5172.06
CA000168,AL000168,20260509,20260510.0,C0092,R003,COR007,A004,P2,SAR Filed,SAR Filed,Y,48,2,43.0,N,42846.87
CA000171,AL000171,20260124,20260125.0,C0134,R001,COR004,A007,P2,Closed,Confirmed Suspicious,N,48,2,39.0,N,6967.63
CA000172,AL000172,20260418,20260419.0,C0023,R005,COR002,A005,P2,SAR Filed,SAR Filed,Y,48,2,41.0,N,10000.0
CA000173,AL000173,20250404,20250407.0,C0035,R005,COR005,A002,P2,SAR Filed,SAR Filed,Y,48,4,88.0,Y,34000.0
CA000179,AL000179,20260406,20260407.0,C0180,R002,COR011,A006,P2,SAR Filed,SAR Filed,Y,48,1,24.0,N,14000.0
CA000180,AL000180,20260328,20260330.0,C0143,R001,COR010,A003,P3,SAR Filed,SAR Filed,Y,96,3,66.0,N,7071.16
CA000183,AL000183,20260128,20260128.0,C0024,R004,COR003,A007,P2,Closed,Confirmed Suspicious,N,48,1,18.0,N,142821.1
CA000185,AL000185,20260312,20260312.0,C0169,R007,COR003,A001,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,108439.77
CA000186,AL000186,20260515,20260516.0,C0163,R008,COR003,A008,P2,SAR Filed,SAR Filed,Y,48,2,27.0,N,65466.54
CA000188,AL000188,20250729,20250801.0,C0096,R001,COR008,A007,P1,SAR Filed,SAR Filed,Y,24,4,82.0,Y,15713.78
CA000190,AL000190,20250301,,C0019,R004,COR009,A006,P1,In Review,Pending,N,24,5,,Y,34283.11
CA000193,AL000193,20251107,20251107.0,C0094,R010,COR003,A006,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,156166.2
CA000195,AL000195,20260422,20260422.0,C0126,R003,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,40731.9
CA000199,AL000199,20250920,20250920.0,C0128,R001,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,15442.96
CA000200,AL000200,20250521,20250522.0,C0089,R004,COR011,A005,P2,SAR Filed,SAR Filed,Y,48,2,37.0,N,14711.49
CA000201,AL000201,20260526,20260529.0,C0075,R009,COR011,A001,P1,SAR Filed,SAR Filed,Y,24,4,87.0,Y,25000.0
CA000203,AL000203,20260504,20260504.0,C0075,R007,COR007,A005,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,201457.98
CA000205,AL000205,20250825,,C0082,R007,COR003,A004,P2,Open,Pending,N,48,5,,Y,115949.05
CA000206,AL000206,20260317,20260319.0,C0140,R001,COR011,A001,P1,SAR Filed,SAR Filed,Y,24,3,65.0,Y,33000.0
CA000207,AL000207,20260109,20260109.0,C0016,R001,COR007,A007,P1,Closed,False Positive,N,24,1,7.0,N,13000.0
CA000208,AL000208,20260523,,C0105,R009,COR006,A007,P1,Pending EDD,Pending,N,24,5,,Y,35466.04
CA000209,AL000209,20251109,20251112.0,C0141,R003,COR006,A007,P1,SAR Filed,SAR Filed,Y,24,4,81.0,Y,5208.25
CA000211,AL000211,20251217,20251220.0,C0067,R003,COR007,A006,P2,SAR Filed,SAR Filed,Y,48,4,73.0,Y,13561.0
CA000213,AL000213,20260415,20260416.0,C0042,R005,COR006,A004,P2,Closed,Confirmed Suspicious,N,48,2,31.0,N,2662.99
CA000218,AL000218,20250421,20250421.0,C0178,R005,COR007,A008,P2,SAR Filed,SAR Filed,Y,48,1,22.0,N,9438.96
CA000219,AL000219,20260314,20260314.0,C0102,R003,COR006,A003,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,11000.0
CA000222,AL000222,20260210,20260216.0,C0065,R010,COR007,A007,P2,SAR Filed,SAR Filed,Y,48,7,162.0,Y,8288.99
CA000224,AL000224,20250418,20250419.0,C0172,R009,COR003,A005,P2,SAR Filed,SAR Filed,Y,48,2,31.0,N,132267.13
CA000225,AL000225,20260309,20260309.0,C0138,R001,COR002,A005,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,363067.77
CA000228,AL000228,20250225,20250225.0,C0156,R003,COR006,A004,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,28185.96
CA000230,AL000230,20250903,20250903.0,C0165,R006,COR007,A007,P1,Closed,False Positive,N,24,1,18.0,N,163220.38
CA000231,AL000231,20251106,20251106.0,C0146,R008,COR008,A003,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,144751.21
CA000232,AL000232,20250305,20250305.0,C0142,R005,COR010,A004,P1,SAR Filed,SAR Filed,Y,24,1,8.0,N,299991.64
CA000233,AL000233,20260418,20260418.0,C0118,R006,COR004,A005,P2,SAR Filed,SAR Filed,Y,48,1,19.0,N,38282.2
CA000235,AL000235,20250219,20250219.0,C0164,R008,COR005,A003,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,31000.0
CA000241,AL000241,20251005,20251008.0,C0022,R003,COR008,A006,P1,SAR Filed,SAR Filed,Y,24,4,73.0,Y,13590.94
CA000244,AL000244,20260117,20260117.0,C0167,R002,COR003,A001,P2,SAR Filed,SAR Filed,Y,48,1,20.0,N,19648.16
CA000245,AL000245,20260104,20260105.0,C0018,R006,COR011,A006,P2,SAR Filed,SAR Filed,Y,48,2,29.0,N,57026.75
CA000246,AL000246,20250630,20250705.0,C0152,R003,COR006,A007,P2,SAR Filed,SAR Filed,Y,48,6,132.0,Y,32751.58
CA000247,AL000247,20250415,20250415.0,C0131,R001,COR005,A003,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,85679.03
CA000251,AL000251,20251128,20251128.0,C0050,R001,COR006,A008,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,48453.7
CA000252,AL000252,20260228,20260302.0,C0167,R005,COR007,A008,P1,SAR Filed,SAR Filed,Y,24,3,49.0,Y,8586.28
CA000253,AL000253,20251128,,C0124,R003,COR011,A008,P1,Open,Pending,N,24,5,,Y,76901.0
CA000256,AL000256,20250630,20250701.0,C0048,R001,COR002,A008,P3,Closed,Confirmed Suspicious,N,96,2,37.0,N,53281.63
CA000257,AL000257,20250905,20250906.0,C0084,R003,COR001,A003,P2,SAR Filed,SAR Filed,Y,48,2,26.0,N,77512.05
CA000258,AL000258,20260128,20260128.0,C0053,R006,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,26184.58
CA000260,AL000260,20250521,20250521.0,C0079,R006,COR011,A006,P2,SAR Filed,SAR Filed,Y,48,1,23.0,N,35935.15
CA000261,AL000261,20250314,20250314.0,C0167,R006,COR011,A006,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,14533.64
CA000262,AL000262,20250720,20250723.0,C0087,R001,COR002,A001,P2,SAR Filed,SAR Filed,Y,48,4,87.0,Y,14459.44
CA000266,AL000266,20250506,,C0123,R007,COR007,A001,P2,In Review,Pending,N,48,8,,Y,6109.8
CA000269,AL000269,20251202,20251209.0,C0176,R001,COR010,A004,P2,SAR Filed,SAR Filed,Y,48,8,172.0,Y,76254.42
CA000271,AL000271,20250426,20250429.0,C0163,R010,COR003,A008,P2,SAR Filed,SAR Filed,Y,48,4,92.0,Y,46168.98
CA000272,AL000272,20260110,20260110.0,C0042,R004,COR012,A005,P2,SAR Filed,SAR Filed,Y,48,1,19.0,N,25315.29
CA000274,AL000274,20260328,20260329.0,C0167,R003,COR011,A003,P1,SAR Filed,SAR Filed,Y,24,2,40.0,Y,13000.0
CA000275,AL000275,20251104,20251106.0,C0168,R005,COR006,A005,P1,SAR Filed,SAR Filed,Y,24,3,71.0,Y,2269.31
CA000276,AL000276,20250826,20250829.0,C0104,R005,COR007,A005,P3,Closed,Confirmed Suspicious,N,96,4,86.0,N,3415.61
CA000277,AL000277,20251202,,C0121,R003,COR011,A003,P1,Open,Pending,N,24,2,,Y,144457.05
CA000278,AL000278,20250527,20250527.0,C0132,R008,COR009,A002,P2,SAR Filed,SAR Filed,Y,48,1,12.0,N,10964.18
CA000281,AL000281,20260121,20260122.0,C0074,R002,COR002,A007,P2,SAR Filed,SAR Filed,Y,48,2,38.0,N,43000.0
CA000284,AL000284,20250510,20250517.0,C0077,R005,COR005,A007,P3,SAR Filed,SAR Filed,Y,96,8,178.0,Y,143179.01
CA000285,AL000285,20251012,20251015.0,C0032,R008,COR002,A004,P1,SAR Filed,SAR Filed,Y,24,4,87.0,Y,212004.99
CA000291,AL000291,20260422,20260422.0,C0070,R002,COR002,A002,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,41000.0
CA000293,AL000293,20250727,20250727.0,C0020,R007,COR012,A001,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,178065.22
CA000294,AL000294,20250710,20250710.0,C0085,R002,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,52000.0
CA000295,AL000295,20250527,20250527.0,C0167,R009,COR002,A002,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,6837.6
CA000298,AL000298,20250808,20250808.0,C0068,R008,COR004,A004,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,22000.0
CA000299,AL000299,20250302,20250303.0,C0023,R004,COR003,A003,P2,SAR Filed,SAR Filed,Y,48,2,40.0,N,21024.01
CA000300,AL000300,20260414,20260414.0,C0081,R001,COR010,A001,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,2222.66
CA000301,AL000301,20260512,20260514.0,C0074,R001,COR008,A008,P3,Closed,Confirmed Suspicious,N,96,3,65.0,N,5683.96
CA000302,AL000302,20250411,,C0024,R008,COR008,A007,P2,In Review,Pending,N,48,5,,Y,76827.23
CA000305,AL000305,20251008,20251011.0,C0033,R002,COR011,A005,P1,SAR Filed,SAR Filed,Y,24,4,73.0,Y,11000.0
CA000307,AL000307,20250727,20250727.0,C0098,R001,COR011,A005,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,10947.0
CA000312,AL000312,20260128,20260131.0,C0083,R008,COR008,A002,P1,SAR Filed,SAR Filed,Y,24,4,92.0,Y,11607.39
CA000317,AL000317,20250523,20250523.0,C0057,R003,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,56000.0
CA000318,AL000318,20250215,20250215.0,C0053,R004,COR006,A007,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,55419.39
CA000320,AL000320,20260116,20260116.0,C0060,R002,COR008,A003,P2,SAR Filed,SAR Filed,Y,48,1,15.0,N,1473.59
CA000321,AL000321,20260119,20260119.0,C0177,R001,COR008,A001,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,33496.52
CA000323,AL000323,20260119,20260119.0,C0007,R007,COR005,A007,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,33253.75
CA000324,AL000324,20250723,20250724.0,C0102,R006,COR001,A001,P1,SAR Filed,SAR Filed,Y,24,2,42.0,Y,249476.15
CA000325,AL000325,20260301,20260301.0,C0011,R001,COR004,A007,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,93006.13
CA000327,AL000327,20251009,20251009.0,C0064,R007,COR010,A002,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,153000.0
CA000331,AL000331,20250724,20250724.0,C0001,R003,COR001,A001,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,59674.67
CA000333,AL000333,20260601,20260603.0,C0035,R010,COR009,A008,P2,SAR Filed,SAR Filed,Y,48,3,69.0,Y,16000.0
CA000340,AL000340,20250606,20250606.0,C0129,R005,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,8303.15
CA000341,AL000341,20250812,20250814.0,C0038,R007,COR005,A002,P3,SAR Filed,SAR Filed,Y,96,3,60.0,N,45047.66
CA000344,AL000344,20250730,20250730.0,C0097,R008,COR009,A001,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,179122.25
CA000345,AL000345,20250206,20250206.0,C0147,R009,COR005,A008,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,225224.15
CA000347,AL000347,20250823,20250823.0,C0032,R001,COR005,A008,P1,Closed,False Positive,N,24,1,10.0,N,22954.63
CA000348,AL000348,20251101,,C0051,R004,COR006,A006,P1,In Review,Pending,N,24,2,,Y,88041.33
CA000350,AL000350,20250805,,C0046,R005,COR012,A006,P3,In Review,Pending,N,96,1,,N,22980.68
CA000354,AL000354,20250303,,C0122,R009,COR012,A006,P3,Open,Pending,N,96,8,,Y,4907.97
CA000356,AL000356,20250221,20250223.0,C0173,R005,COR007,A003,P1,SAR Filed,SAR Filed,Y,24,3,54.0,Y,79458.33
CA000357,AL000357,20250716,20250716.0,C0139,R010,COR005,A008,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,3894.53
CA000358,AL000358,20250808,20250808.0,C0057,R003,COR006,A002,P2,SAR Filed,SAR Filed,Y,48,1,10.0,N,3392.03
CA000361,AL000361,20260422,,C0050,R005,COR005,A001,P2,In Review,Pending,N,48,5,,Y,13116.93
CA000362,AL000362,20260216,20260216.0,C0007,R008,COR001,A005,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,144674.14
CA000363,AL000363,20250306,20250306.0,C0026,R008,COR011,A004,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,12965.44
CA000366,AL000366,20260212,20260212.0,C0086,R003,COR006,A003,P1,SAR Filed,SAR Filed,Y,24,1,19.0,N,5489.21
CA000367,AL000367,20250625,20250628.0,C0053,R009,COR002,A004,P1,SAR Filed,SAR Filed,Y,24,4,95.0,Y,118000.0
CA000369,AL000369,20250513,20250514.0,C0018,R004,COR003,A003,P2,Closed,Confirmed Suspicious,N,48,2,27.0,N,7803.47
CA000370,AL000370,20250918,20250920.0,C0014,R007,COR003,A002,P1,SAR Filed,SAR Filed,Y,24,3,70.0,Y,82891.73
CA000371,AL000371,20251215,20251215.0,C0073,R009,COR003,A001,P3,SAR Filed,SAR Filed,Y,96,1,10.0,N,24199.66
CA000372,AL000372,20260225,20260225.0,C0072,R007,COR007,A003,P2,Closed,Confirmed Suspicious,N,48,1,21.0,N,1478.21
CA000374,AL000374,20260205,,C0012,R009,COR007,A002,P2,Open,Pending,N,48,8,,Y,2183.71
CA000376,AL000376,20250629,20250630.0,C0157,R001,COR005,A008,P1,SAR Filed,SAR Filed,Y,24,2,37.0,Y,249000.0
CA000377,AL000377,20251224,20251224.0,C0174,R007,COR005,A006,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,453586.62
CA000379,AL000379,20260316,20260317.0,C0088,R004,COR011,A004,P2,SAR Filed,SAR Filed,Y,48,2,40.0,N,48935.65
CA000381,AL000381,20250731,20250802.0,C0074,R001,COR011,A002,P3,Closed,Confirmed Suspicious,N,96,3,57.0,N,5432.61
CA000384,AL000384,20260407,20260408.0,C0114,R003,COR006,A004,P2,SAR Filed,SAR Filed,Y,48,2,30.0,N,2889.58
CA000385,AL000385,20250317,,C0067,R008,COR008,A005,P1,In Review,Pending,N,24,2,,Y,194770.79
CA000387,AL000387,20250817,20250819.0,C0147,R010,COR010,A002,P1,SAR Filed,SAR Filed,Y,24,2,48.0,Y,23201.94
CA000389,AL000389,20260118,20260118.0,C0172,R003,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,20337.51
CA000391,AL000391,20260315,20260315.0,C0161,R009,COR006,A006,P1,Closed,False Positive,N,24,1,17.0,N,12759.18
CA000395,AL000395,20250628,20250628.0,C0020,R008,COR003,A007,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,75308.92
CA000396,AL000396,20260219,20260220.0,C0049,R003,COR011,A004,P1,SAR Filed,SAR Filed,Y,24,2,42.0,Y,53654.44
