TransactionKey,DateKey,CustomerKey,CorridorKey,ChannelKey,ProductKey,AmountUSD,RiskScore,IsFlagged,PrimaryRuleKey,RoundDollarFlag,TransactionType
T0000180,20250726,C0076,COR007,CH002,PR006,379612.26,92,N,,N,Credit
T0000181,20250409,C0078,COR011,CH001,PR003,7607.22,72,N,,N,Credit
T0000182,20260528,C0121,COR002,CH007,PR006,48793.47,90,N,,N,Debit
T0000183,20250319,C0053,COR003,CH008,PR005,91657.18,94,N,,N,Withdrawal
T0000184,20250220,C0109,COR010,CH001,PR008,19557.22,75,N,,N,Transfer
T0000185,20250817,C0176,COR008,CH002,PR006,3040.13,63,N,,N,Transfer
T0000186,20260428,C0110,COR012,CH008,PR003,17753.66,89,N,,N,Transfer
T0000187,20250129,C0054,COR004,CH003,PR002,13390.78,74,N,,N,Credit
T0000188,20260211,C0026,COR012,CH008,PR007,31000.0,99,N,,Y,Debit
T0000189,20250215,C0151,COR007,CH001,PR004,41000.0,78,N,,Y,Transfer
T0000190,20251126,C0161,COR006,CH003,PR007,24385.97,76,N,,N,Debit
T0000191,20260514,C0162,COR005,CH004,PR006,36247.95,80,N,,N,Debit
T0000192,20251025,C0069,COR007,CH003,PR006,140381.93,90,N,,N,Transfer
T0000193,20260127,C0140,COR012,CH008,PR003,57988.8,87,Y,R006,N,Debit
T0000194,20250719,C0056,COR004,CH001,PR002,20006.48,68,N,,N,Transfer
T0000195,20260508,C0124,COR012,CH002,PR008,31000.0,72,N,,Y,Credit
T0000196,20250610,C0083,COR003,CH008,PR006,13278.72,97,N,,N,Debit
T0000197,20250304,C0144,COR006,CH005,PR006,8090.03,92,N,,N,Debit
T0000198,20250930,C0070,COR009,CH006,PR008,32861.19,82,N,,N,Debit
T0000199,20260404,C0110,COR011,CH007,PR008,446.59,69,N,,N,Debit
T0000200,20250117,C0128,COR003,CH001,PR005,6501.8,80,Y,R007,N,Debit
T0000201,20251023,C0119,COR003,CH007,PR008,11091.79,71,N,,N,Debit
T0000202,20260104,C0141,COR012,CH006,PR004,67097.39,84,N,,N,Withdrawal
T0000203,20250411,C0116,COR003,CH008,PR005,26819.04,88,N,,N,Debit
T0000204,20260209,C0114,COR004,CH006,PR005,43867.76,71,N,,N,Credit
T0000205,20250824,C0158,COR006,CH002,PR003,62000.0,86,Y,R005,Y,Credit
T0000206,20250709,C0178,COR005,CH007,PR006,68453.93,93,N,,N,Debit
T0000207,20260323,C0143,COR003,CH004,PR004,24499.11,74,N,,N,Credit
T0000208,20260504,C0054,COR001,CH008,PR008,47462.68,69,N,,N,Credit
T0000209,20251126,C0078,COR003,CH008,PR006,2897.32,88,N,,N,Transfer
T0000210,20250906,C0123,COR004,CH002,PR002,62476.06,78,N,,N,Debit
T0000211,20250426,C0133,COR011,CH004,PR001,50371.28,89,Y,R001,N,Transfer
T0000212,20250215,C0056,COR004,CH001,PR001,94000.0,73,N,,Y,Transfer
T0000213,20251128,C0151,COR011,CH005,PR005,56017.94,93,N,,N,Credit
T0000214,20251119,C0144,COR002,CH005,PR008,8000.0,92,Y,R005,Y,Credit
T0000215,20260109,C0170,COR006,CH004,PR002,68000.0,64,N,,Y,Debit
T0000216,20260306,C0075,COR001,CH006,PR004,5259.46,73,N,,N,Transfer
T0000217,20251104,C0131,COR002,CH006,PR001,185362.24,89,Y,R002,N,Debit
T0000218,20250208,C0151,COR009,CH008,PR005,26003.02,94,N,,N,Transfer
T0000219,20260421,C0064,COR004,CH005,PR001,5892.31,67,N,,N,Debit
T0000220,20250120,C0076,COR002,CH008,PR008,219114.32,82,N,,N,Credit
T0000221,20260303,C0011,COR012,CH005,PR006,10259.52,75,Y,R005,N,Withdrawal
T0000222,20250616,C0053,COR012,CH002,PR002,34322.12,91,N,,N,Debit
T0000223,20250204,C0098,COR002,CH006,PR007,8124.58,60,N,,N,Debit
T0000224,20260329,C0096,COR006,CH004,PR001,6175.7,85,Y,R004,N,Transfer
T0000225,20250808,C0018,COR005,CH006,PR006,34161.0,73,Y,R005,N,Transfer
T0000226,20250124,C0062,COR005,CH001,PR002,15000.28,68,N,,N,Debit
T0000227,20250704,C0028,COR007,CH001,PR008,70893.96,84,N,,N,Transfer
T0000228,20251126,C0032,COR004,CH002,PR001,41255.94,83,N,,N,Withdrawal
T0000229,20250126,C0139,COR001,CH001,PR008,7791.88,83,Y,R008,N,Debit
T0000230,20260101,C0045,COR003,CH003,PR006,34569.61,81,N,,N,Withdrawal
T0000231,20251121,C0168,COR011,CH002,PR007,86731.4,92,N,,N,Credit
T0000232,20250528,C0121,COR001,CH001,PR006,4236.31,67,Y,R001,N,Debit
T0000233,20251009,C0017,COR011,CH007,PR008,86000.0,93,N,,Y,Credit
T0000234,20250514,C0132,COR001,CH004,PR007,5277.18,82,N,,N,Debit
T0000235,20251201,C0072,COR005,CH007,PR003,19755.62,73,N,,N,Debit
T0000236,20250304,C0118,COR004,CH002,PR006,384661.95,97,N,,N,Withdrawal
T0000237,20250411,C0163,COR010,CH004,PR003,29126.43,87,N,,N,Credit
T0000238,20260307,C0008,COR008,CH004,PR008,14239.74,50,N,,N,Transfer
T0000239,20250508,C0090,COR012,CH005,PR002,16764.02,60,N,,N,Transfer
T0000240,20260220,C0090,COR003,CH006,PR007,17000.0,70,Y,R008,Y,Withdrawal
T0000241,20260206,C0114,COR006,CH007,PR006,6373.9,72,N,,N,Credit
T0000242,20260411,C0152,COR006,CH006,PR006,82457.41,78,N,,N,Transfer
T0000243,20250930,C0167,COR001,CH003,PR003,42794.27,68,N,,N,Transfer
T0000244,20260406,C0167,COR002,CH002,PR004,13395.51,97,N,,N,Transfer
T0000245,20260531,C0048,COR006,CH001,PR005,5549.89,60,N,,N,Debit
T0000246,20250907,C0026,COR011,CH008,PR004,54560.78,99,Y,R002,N,Debit
T0000247,20260218,C0060,COR001,CH008,PR008,25278.78,88,N,,N,Transfer
T0000248,20260211,C0093,COR003,CH007,PR002,22000.0,65,N,,Y,Debit
T0000249,20260205,C0055,COR005,CH001,PR003,15000.0,59,N,,Y,Transfer
T0000250,20250530,C0138,COR002,CH007,PR005,88359.28,79,N,,N,Debit
T0000251,20250325,C0055,COR002,CH005,PR003,45497.81,83,N,,N,Credit
T0000252,20260210,C0026,COR001,CH003,PR008,1678.19,79,N,,N,Debit
T0000253,20260102,C0128,COR001,CH004,PR003,106212.71,78,N,,N,Credit
T0000254,20251223,C0049,COR011,CH005,PR007,15559.46,81,N,,N,Transfer
T0000255,20260131,C0171,COR004,CH008,PR007,14000.0,79,N,,Y,Transfer
T0000256,20260327,C0148,COR012,CH005,PR002,7214.62,73,N,,N,Transfer
T0000257,20250508,C0080,COR003,CH006,PR006,181643.66,92,N,,N,Transfer
T0000258,20260324,C0134,COR006,CH004,PR001,1913.54,86,N,,N,Debit
T0000259,20250730,C0053,COR011,CH002,PR008,11002.68,85,N,,N,Transfer
T0000260,20250122,C0066,COR008,CH006,PR002,91472.94,76,N,,N,Transfer
T0000261,20260412,C0168,COR002,CH002,PR001,154995.38,70,N,,N,Transfer
T0000262,20250914,C0143,COR009,CH002,PR005,87000.0,78,N,,Y,Credit
T0000263,20251217,C0014,COR004,CH001,PR001,14536.83,79,N,,N,Credit
T0000264,20250904,C0178,COR006,CH002,PR008,13679.96,85,Y,R003,N,Debit
T0000265,20250109,C0134,COR001,CH003,PR006,100000.0,74,Y,R008,Y,Transfer
T0000266,20250204,C0156,COR004,CH003,PR005,36147.13,69,N,,N,Debit
T0000267,20250330,C0100,COR008,CH001,PR003,28327.49,72,N,,N,Credit
T0000268,20260205,C0119,COR012,CH004,PR001,5146.41,82,N,,N,Credit
T0000269,20250909,C0001,COR008,CH005,PR004,2548.54,76,N,,N,Credit
T0000270,20250206,C0084,COR004,CH006,PR006,9999.11,78,N,,N,Transfer
T0000271,20250630,C0176,COR008,CH005,PR005,38000.0,80,Y,R005,Y,Transfer
T0000272,20260211,C0142,COR010,CH001,PR005,1043.76,60,N,,N,Credit
T0000273,20251022,C0107,COR003,CH003,PR003,7726.25,66,N,,N,Debit
T0000274,20250821,C0060,COR004,CH008,PR003,167797.3,88,N,,N,Transfer
T0000275,20250523,C0056,COR011,CH007,PR002,222478.03,87,N,,N,Withdrawal
T0000276,20250516,C0118,COR006,CH003,PR005,49000.0,78,N,,Y,Withdrawal
T0000277,20250322,C0063,COR007,CH007,PR001,1856.01,63,N,,N,Transfer
T0000278,20250821,C0159,COR008,CH007,PR004,57842.12,61,N,,N,Transfer
T0000279,20250801,C0002,COR012,CH008,PR005,39874.2,65,N,,N,Transfer
T0000280,20260226,C0094,COR011,CH007,PR006,123000.0,91,N,,Y,Withdrawal
T0000281,20260525,C0062,COR010,CH003,PR004,9458.91,75,N,,N,Transfer
T0000282,20251102,C0105,COR002,CH001,PR004,148024.93,80,N,,N,Withdrawal
T0000283,20250728,C0156,COR007,CH004,PR008,31109.32,99,N,,N,Debit
T0000284,20250816,C0126,COR003,CH008,PR004,7751.8,65,N,,N,Credit
T0000285,20250917,C0165,COR009,CH004,PR006,9000.0,93,N,,Y,Transfer
T0000286,20260327,C0145,COR008,CH004,PR006,55291.17,87,N,,N,Transfer
T0000287,20250116,C0141,COR012,CH004,PR002,3135.03,77,N,,N,Debit
T0000288,20260206,C0042,COR006,CH008,PR007,104000.0,99,N,,Y,Debit
T0000289,20250201,C0044,COR008,CH008,PR004,60084.56,83,N,,N,Debit
T0000290,20250110,C0006,COR001,CH001,PR001,31000.0,75,N,,Y,Transfer
T0000291,20251022,C0112,COR001,CH008,PR004,195721.39,97,Y,R005,N,Debit
T0000292,20250104,C0162,COR002,CH008,PR006,125338.11,99,N,,N,Debit
T0000293,20251207,C0161,COR008,CH001,PR001,3474.13,59,N,,N,Credit
T0000294,20260204,C0100,COR011,CH007,PR005,121975.83,84,N,,N,Debit
T0000295,20250224,C0071,COR007,CH002,PR006,21325.55,90,N,,N,Transfer
T0000296,20260218,C0119,COR008,CH006,PR003,9701.29,86,N,,N,Debit
T0000297,20250917,C0153,COR009,CH006,PR007,63110.17,67,N,,N,Transfer
T0000298,20250623,C0004,COR006,CH007,PR008,2890.02,86,N,,N,Transfer
T0000299,20250714,C0035,COR010,CH004,PR005,12937.78,92,N,,N,Transfer
T0000300,20250211,C0106,COR010,CH006,PR002,78114.6,79,Y,R008,N,Credit
T0000301,20260412,C0160,COR001,CH004,PR006,7339.61,71,N,,N,Debit
T0000302,20251024,C0119,COR004,CH002,PR001,11224.47,70,N,,N,Transfer
T0000303,20251205,C0124,COR003,CH008,PR002,429746.61,86,N,,N,Transfer
T0000304,20250527,C0076,COR004,CH004,PR006,33630.7,74,N,,N,Debit
T0000305,20260403,C0049,COR001,CH007,PR007,16000.0,72,Y,R006,Y,Transfer
T0000306,20250323,C0065,COR002,CH003,PR004,187629.42,81,Y,R004,N,Transfer
T0000307,20250520,C0037,COR007,CH001,PR006,2742.67,69,N,,N,Transfer
T0000308,20260414,C0164,COR007,CH006,PR008,16995.48,78,N,,N,Debit
T0000309,20251011,C0030,COR007,CH008,PR003,124000.0,87,Y,R001,Y,Debit
T0000310,20250421,C0132,COR009,CH008,PR007,12788.61,83,Y,R005,N,Credit
T0000311,20250928,C0151,COR003,CH001,PR001,50108.64,63,N,,N,Credit
T0000312,20250917,C0118,COR011,CH001,PR001,196000.0,80,N,,Y,Credit
T0000313,20260227,C0121,COR006,CH007,PR002,15000.0,58,N,,Y,Withdrawal
T0000314,20260222,C0102,COR010,CH006,PR003,27648.63,88,N,,N,Transfer
T0000315,20250908,C0119,COR006,CH004,PR004,1265.78,91,Y,R003,N,Debit
T0000316,20250120,C0021,COR001,CH006,PR004,58604.3,86,N,,N,Transfer
T0000317,20250323,C0088,COR003,CH005,PR006,1605.39,86,N,,N,Credit
T0000318,20250208,C0115,COR002,CH003,PR002,4206.91,61,N,,N,Debit
T0000319,20260325,C0076,COR002,CH004,PR008,3984.48,66,N,,N,Debit
T0000320,20260329,C0003,COR008,CH001,PR005,16840.11,82,N,,N,Credit
T0000321,20251125,C0149,COR004,CH001,PR004,2809.49,71,N,,N,Transfer
T0000322,20251207,C0122,COR008,CH007,PR008,4604.39,70,N,,N,Transfer
T0000323,20260509,C0100,COR007,CH003,PR001,51928.95,76,Y,R007,N,Credit
T0000324,20251101,C0073,COR007,CH004,PR001,6046.5,76,N,,N,Debit
T0000325,20250207,C0080,COR002,CH003,PR008,10000.0,77,Y,R002,Y,Transfer
T0000326,20250926,C0128,COR005,CH003,PR003,140844.33,89,N,,N,Transfer
T0000327,20250910,C0142,COR006,CH004,PR007,24033.0,86,Y,R002,N,Credit
