FactCashKey,DateKey,ScenarioKey,BusinessUnitKey,RegionKey,CashBalance,ARBalance,DSO,Capex
CSH0000079,20250501,S001,B004,R003,7163952.73,44799259.13,42.8,661070.12
CSH0000080,20250501,S001,B004,R004,11409086.5,69520431.52,42.3,651978.98
CSH0000081,20250601,S001,B001,R001,3809942.72,16487816.26,42.2,233165.68
CSH0000082,20250601,S001,B001,R002,6356398.92,25361653.74,43.8,396668.41
CSH0000083,20250601,S001,B001,R003,3782924.26,20681943.41,42.8,224191.33
CSH0000084,20250601,S001,B001,R004,8783440.2,32309889.9,43.0,324995.0
CSH0000085,20250601,S001,B002,R001,2283023.96,8923133.44,42.1,99823.77
CSH0000086,20250601,S001,B002,R002,3408438.55,13187218.12,42.0,149797.55
CSH0000087,20250601,S001,B002,R003,2645865.67,11610330.54,43.8,160472.81
CSH0000088,20250601,S001,B002,R004,4523841.65,17954927.78,43.2,247866.74
CSH0000089,20250601,S001,B003,R001,2754004.95,15059847.48,39.8,185894.18
CSH0000090,20250601,S001,B003,R002,4274051.61,24645768.83,43.2,332604.65
CSH0000091,20250601,S001,B003,R003,1515858.75,19983975.05,42.0,322220.37
CSH0000092,20250601,S001,B003,R004,5593685.6,29185009.41,39.8,540005.68
CSH0000093,20250601,S001,B004,R001,5654382.04,35992241.75,41.8,355230.91
CSH0000094,20250601,S001,B004,R002,10214849.21,52271412.56,40.9,979702.27
CSH0000095,20250601,S001,B004,R003,7373376.45,42507454.54,40.0,692578.68
CSH0000096,20250601,S001,B004,R004,11738644.71,71388740.23,43.2,599235.59
CSH0000097,20250701,S001,B001,R001,3944408.61,15698077.62,38.6,280310.55
CSH0000098,20250701,S001,B001,R002,6552910.81,23023580.49,38.5,272000.48
CSH0000099,20250701,S001,B001,R003,3948442.03,21043808.36,41.9,330687.37
CSH0000100,20250701,S001,B001,R004,9041554.18,31553891.33,40.5,547886.61
CSH0000101,20250701,S001,B002,R001,2411713.26,8742656.93,39.4,163522.21
CSH0000102,20250701,S001,B002,R002,3600067.87,12505603.18,37.7,138008.87
CSH0000103,20250701,S001,B002,R003,2803639.4,11248377.97,41.1,99028.11
CSH0000104,20250701,S001,B002,R004,4772462.72,15904062.42,37.1,326469.67
CSH0000105,20250701,S001,B003,R001,2800150.73,14737446.1,37.2,181792.39
CSH0000106,20250701,S001,B003,R002,4346020.07,23876639.57,40.5,236451.2
CSH0000107,20250701,S001,B003,R003,1576059.8,20510275.57,41.7,191676.94
CSH0000108,20250701,S001,B003,R004,5688700.22,29554169.19,38.2,327479.95
CSH0000109,20250701,S001,B004,R001,5830112.76,36077282.91,40.4,685347.94
CSH0000110,20250701,S001,B004,R002,10470273.88,53474840.84,40.9,556885.49
CSH0000111,20250701,S001,B004,R003,7592850.85,43638088.75,39.6,467960.6
CSH0000112,20250701,S001,B004,R004,12084390.41,68342478.24,39.8,1033367.67
CSH0000113,20250801,S001,B001,R001,4075802.38,14440723.43,36.2,190166.25
CSH0000114,20250801,S001,B001,R002,6749762.24,21920220.2,36.8,293969.79
CSH0000115,20250801,S001,B001,R003,4114504.09,17644065.33,35.4,383581.21
CSH0000116,20250801,S001,B001,R004,9296636.61,29086354.11,37.5,451124.67
CSH0000117,20250801,S001,B002,R001,2540393.03,8689742.35,39.1,88787.12
CSH0000118,20250801,S001,B002,R002,3792064.19,13188645.54,39.7,168140.37
CSH0000119,20250801,S001,B002,R003,2961484.85,10418536.7,37.9,209782.07
CSH0000120,20250801,S001,B002,R004,5018585.58,16568728.14,38.7,256854.73
CSH0000121,20250801,S001,B003,R001,2847319.25,13960243.6,35.3,171780.81
CSH0000122,20250801,S001,B003,R002,4419421.77,21354079.28,35.8,445678.62
CSH0000123,20250801,S001,B003,R003,1636296.64,18071318.34,36.6,237302.71
CSH0000124,20250801,S001,B003,R004,5779831.5,29903245.24,39.0,583835.46
CSH0000125,20250801,S001,B004,R001,6005208.46,32687636.25,37.0,651117.85
CSH0000126,20250801,S001,B004,R002,10737381.04,49588662.91,37.6,505246.29
CSH0000127,20250801,S001,B004,R003,7813214.91,39494579.41,35.7,635985.09
CSH0000128,20250801,S001,B004,R004,12428448.01,61901116.43,36.0,758410.28
CSH0000129,20250901,S001,B001,R001,4212917.59,16291398.92,38.6,167143.79
CSH0000130,20250901,S001,B001,R002,6954618.16,22944212.91,36.4,427256.15
CSH0000131,20250901,S001,B001,R003,4286052.46,20012589.61,38.0,283073.74
CSH0000132,20250901,S001,B001,R004,9565932.34,29678589.6,36.5,437270.33
CSH0000133,20250901,S001,B002,R001,2674336.86,9065068.39,39.0,127493.25
CSH0000134,20250901,S001,B002,R002,3990060.09,13195357.09,38.5,240181.74
CSH0000135,20250901,S001,B002,R003,3126333.03,11344856.26,39.4,145270.37
CSH0000136,20250901,S001,B002,R004,5273155.14,15907506.62,35.7,330739.34
CSH0000137,20250901,S001,B003,R001,2895548.95,14382056.85,34.9,271333.95
CSH0000138,20250901,S001,B003,R002,4492579.49,21871595.42,35.5,225854.91
CSH0000139,20250901,S001,B003,R003,1696498.73,19882163.4,38.7,217902.63
CSH0000140,20250901,S001,B003,R004,5876615.72,29743343.63,37.3,309926.89
CSH0000141,20250901,S001,B004,R001,6189988.88,35538105.63,38.1,384328.52
CSH0000142,20250901,S001,B004,R002,11011406.14,50193352.59,36.3,790314.57
CSH0000143,20250901,S001,B004,R003,8043499.24,45026382.12,38.9,428997.21
CSH0000144,20250901,S001,B004,R004,12788412.57,68064324.1,38.0,1073622.14
CSH0000145,20251001,S001,B001,R001,4357825.4,16072712.35,35.8,339691.66
CSH0000146,20251001,S001,B001,R002,7177607.55,26558700.6,39.4,474336.58
CSH0000147,20251001,S001,B001,R003,4466895.86,20467276.9,36.5,353063.66
CSH0000148,20251001,S001,B001,R004,9847339.87,33715312.28,39.5,559498.99
CSH0000149,20251001,S001,B002,R001,2816713.94,8944436.18,35.9,148699.55
CSH0000150,20251001,S001,B002,R002,4199686.18,13411200.37,36.8,241436.84
CSH0000151,20251001,S001,B002,R003,3299938.38,11918496.5,39.1,158137.39
CSH0000152,20251001,S001,B002,R004,5549008.88,17314582.99,36.1,275566.07
CSH0000153,20251001,S001,B003,R001,2949589.64,17700110.4,40.1,320954.8
CSH0000154,20251001,S001,B003,R002,4568691.33,23726167.74,37.0,469074.88
CSH0000155,20251001,S001,B003,R003,1759391.86,20738097.82,38.2,394214.42
CSH0000156,20251001,S001,B003,R004,5972496.68,31517097.28,37.3,326473.02
CSH0000157,20251001,S001,B004,R001,6388631.74,38507604.5,38.9,499966.67
CSH0000158,20251001,S001,B004,R002,11303227.58,53193978.99,36.3,790334.26
CSH0000159,20251001,S001,B004,R003,8285345.73,45241208.68,36.8,568714.85
CSH0000160,20251001,S001,B004,R004,13169631.65,73095761.38,38.3,1282155.85
CSH0000161,20251101,S001,B001,R001,4511773.98,17483621.8,37.3,315602.14
CSH0000162,20251101,S001,B001,R002,7406426.12,29031012.8,41.7,337591.97
CSH0000163,20251101,S001,B001,R003,4658619.38,21790985.12,37.4,209980.62
CSH0000164,20251101,S001,B001,R004,10148320.19,35477833.16,39.4,532364.91
CSH0000165,20251101,S001,B002,R001,2964353.82,10609250.6,41.5,175023.94
CSH0000166,20251101,S001,B002,R002,4425158.16,15441499.3,39.6,146225.98
CSH0000167,20251101,S001,B002,R003,3480958.05,12952070.79,40.8,243121.32
CSH0000168,20251101,S001,B002,R004,5832502.01,20595638.71,41.4,195815.96
CSH0000169,20251101,S001,B003,R001,3004506.0,18646869.19,40.5,328374.5
CSH0000170,20251101,S001,B003,R002,4648710.11,27694065.24,41.2,322835.44
CSH0000171,20251101,S001,B003,R003,1831189.77,22072833.88,38.6,221386.5
CSH0000172,20251101,S001,B003,R004,6082567.29,33818032.23,37.8,485872.34
CSH0000173,20251101,S001,B004,R001,6593809.83,39216558.85,37.9,385786.68
CSH0000174,20251101,S001,B004,R002,11615500.51,62726210.89,40.6,1076885.03
CSH0000175,20251101,S001,B004,R003,8537923.75,53319718.11,41.8,929694.19
CSH0000176,20251101,S001,B004,R004,13563591.64,75254986.34,37.9,924418.15
CSH0000177,20251201,S001,B001,R001,4671113.51,19838015.84,40.9,256154.36
CSH0000178,20251201,S001,B001,R002,7641819.4,31432536.73,43.7,271222.13
CSH0000179,20251201,S001,B001,R003,4857576.84,25523022.6,42.3,394402.68
CSH0000180,20251201,S001,B001,R004,10457668.74,38716992.93,41.3,414508.43
CSH0000181,20251201,S001,B002,R001,3117093.9,10927976.87,41.0,149264.98
CSH0000182,20251201,S001,B002,R002,4653242.39,16978185.66,42.5,212944.3
CSH0000183,20251201,S001,B002,R003,3672946.09,13260148.01,39.8,232106.38
CSH0000184,20251201,S001,B002,R004,6130000.9,21756450.33,42.1,269104.93
CSH0000185,20251201,S001,B003,R001,3064188.96,20398212.02,42.7,302196.95
CSH0000186,20251201,S001,B003,R002,4731982.57,30856143.88,43.8,427304.21
CSH0000187,20251201,S001,B003,R003,1900980.83,26280246.83,44.3,378502.64
CSH0000188,20251201,S001,B003,R004,6195509.36,37184028.77,40.2,406241.1
CSH0000189,20251201,S001,B004,R001,6806501.7,42677884.73,39.6,834973.1
CSH0000190,20251201,S001,B004,R002,11936869.29,65300682.95,41.0,757546.91
CSH0000191,20251201,S001,B004,R003,8803100.78,54302214.39,40.8,884654.69
CSH0000192,20251201,S001,B004,R004,13976745.45,91790199.36,44.2,1402197.09
CSH0000193,20260101,S001,B001,R001,4794295.25,16640455.41,44.7,202319.35
CSH0000194,20260101,S001,B001,R002,7821917.16,23827418.78,43.4,358282.19
CSH0000195,20260101,S001,B001,R003,5010644.15,21543697.58,46.6,176518.43
CSH0000196,20260101,S001,B001,R004,10696174.66,33331177.49,46.5,448608.37
CSH0000197,20260101,S001,B002,R001,3235561.76,9453846.49,45.9,74783.57
CSH0000198,20260101,S001,B002,R002,4827282.7,13245218.75,43.5,198750.13
CSH0000199,20260101,S001,B002,R003,3816705.16,10671387.0,42.8,166757.71
CSH0000200,20260101,S001,B002,R004,6354658.74,18236940.64,46.6,208541.81
CSH0000201,20260101,S001,B003,R001,3106964.49,16415904.6,45.1,246749.57
CSH0000202,20260101,S001,B003,R002,4797816.06,23321290.47,43.2,236769.18
CSH0000203,20260101,S001,B003,R003,1954373.88,19148949.31,42.2,307438.7
CSH0000204,20260101,S001,B003,R004,6279067.53,30883906.04,44.2,277153.07
CSH0000205,20260101,S001,B004,R001,6972061.49,37464633.72,45.7,523716.45
CSH0000206,20260101,S001,B004,R002,12182855.69,53583796.84,44.0,939652.82
CSH0000207,20260101,S001,B004,R003,9009950.41,45568576.48,44.6,528687.03
CSH0000208,20260101,S001,B004,R004,14289064.25,69079734.32,43.7,765712.6
CSH0000209,20260201,S001,B001,R001,4906662.56,15545612.56,46.2,214341.4
CSH0000210,20260201,S001,B001,R002,7990354.7,22493512.25,43.9,282351.74
CSH0000211,20260201,S001,B001,R003,5150002.25,19425296.02,45.8,245686.27
CSH0000212,20260201,S001,B001,R004,10915288.79,31798071.69,48.0,293353.06
CSH0000213,20260201,S001,B002,R001,3344107.05,8739115.39,46.2,122994.36
CSH0000214,20260201,S001,B002,R002,4987770.88,13451281.78,48.2,147313.13
CSH0000215,20260201,S001,B002,R003,3951484.3,10864772.0,46.3,127761.38
CSH0000216,20260201,S001,B002,R004,6562358.7,16670637.79,46.1,248536.6
CSH0000217,20260201,S001,B003,R001,3147115.04,15513575.26,46.0,227987.74
CSH0000218,20260201,S001,B003,R002,4858141.43,23068906.89,45.9,328169.57
CSH0000219,20260201,S001,B003,R003,2007586.4,19895212.07,47.5,228631.12
CSH0000220,20260201,S001,B003,R004,6356941.0,29094579.42,44.8,482943.15
CSH0000221,20260201,S001,B004,R001,7119907.1,34294597.4,45.6,360293.12
CSH0000222,20260201,S001,B004,R002,12400126.21,53395245.99,47.6,597332.61
CSH0000223,20260201,S001,B004,R003,9200566.75,43826027.9,46.4,736702.72
CSH0000224,20260201,S001,B004,R004,14585639.06,66461576.84,45.1,751396.8
CSH0000225,20260301,S001,B001,R001,5033236.3,18521694.22,44.9,152222.62
CSH0000226,20260301,S001,B001,R002,8178241.08,28868064.6,47.0,225115.8
CSH0000227,20260301,S001,B001,R003,5311053.32,24745572.15,48.0,222368.99
CSH0000228,20260301,S001,B001,R004,11158913.57,35299748.0,45.1,369913.44
CSH0000229,20260301,S001,B002,R001,3466951.84,10192288.12,45.5,90163.06
CSH0000230,20260301,S001,B002,R002,5170613.85,16031489.12,48.5,205459.43
CSH0000231,20260301,S001,B002,R003,4106887.21,12668772.06,45.3,109242.67
CSH0000232,20260301,S001,B002,R004,6799027.87,19940168.16,46.0,229639.75
CSH0000233,20260301,S001,B003,R001,3186484.84,18644327.85,46.4,205475.2
CSH0000234,20260301,S001,B003,R002,4918969.22,27352611.27,46.2,461642.65
CSH0000235,20260301,S001,B003,R003,2054083.63,23715028.17,47.8,277322.69
CSH0000236,20260301,S001,B003,R004,6434509.47,35451909.11,45.3,538242.66
CSH0000237,20260301,S001,B004,R001,7279440.38,42916081.83,48.0,627744.0
CSH0000238,20260301,S001,B004,R002,12642630.45,62184693.43,46.4,587640.42
CSH0000239,20260301,S001,B004,R003,9398162.99,52579819.3,47.2,515536.64
CSH0000240,20260301,S001,B004,R004,14883808.96,81313629.66,47.1,739592.5
CSH0000241,20260401,S001,B001,R001,5149352.35,19375343.79,48.3,282949.73
CSH0000242,20260401,S001,B001,R002,8345644.44,27672263.71,46.3,383936.38
CSH0000243,20260401,S001,B001,R003,5455232.25,24157014.86,48.2,206522.01
CSH0000244,20260401,S001,B001,R004,11385597.58,35065189.92,45.2,427503.29
CSH0000245,20260401,S001,B002,R001,3583425.96,9980095.84,45.7,148978.15
CSH0000246,20260401,S001,B002,R002,5344624.1,15676915.67,47.9,190624.09
CSH0000247,20260401,S001,B002,R003,4255478.22,13043239.29,47.0,203398.67
CSH0000248,20260401,S001,B002,R004,7024699.48,20054452.61,47.1,263770.24
CSH0000249,20260401,S001,B003,R001,3217196.9,17653139.17,45.1,204674.47
CSH0000250,20260401,S001,B003,R002,4966060.28,27902134.28,47.7,350920.79
CSH0000251,20260401,S001,B003,R003,2091506.25,22915703.28,47.0,280385.79
CSH0000252,20260401,S001,B003,R004,6496569.72,36904088.85,47.7,484752.77
CSH0000253,20260401,S001,B004,R001,7422753.0,43122001.44,48.3,426959.61
CSH0000254,20260401,S001,B004,R002,12854441.04,61995227.78,46.7,945191.83
CSH0000255,20260401,S001,B004,R003,9568170.61,50020742.76,45.1,531650.13
CSH0000256,20260401,S001,B004,R004,15155654.77,79184549.32,45.5,1020153.15
CSH0000257,20260501,S001,B001,R001,5261956.19,16769866.24,43.0,188359.75
CSH0000258,20260501,S001,B001,R002,8510062.49,26628898.25,46.7,229337.74
CSH0000259,20260501,S001,B001,R003,5591562.21,22227305.85,46.5,314064.25
CSH0000260,20260501,S001,B001,R004,11599901.4,32926002.86,43.5,346634.72
CSH0000261,20260501,S001,B002,R001,3707944.94,10834918.84,46.5,133798.65
CSH0000262,20260501,S001,B002,R002,5524888.32,14957979.4,44.1,231825.08
CSH0000263,20260501,S001,B002,R003,4408027.44,12907324.18,45.2,204446.64
CSH0000264,20260501,S001,B002,R004,7263422.0,20479106.45,46.0,315998.2
CSH0000265,20260501,S001,B003,R001,3250938.8,18641305.61,44.6,177798.55
CSH0000266,20260501,S001,B003,R002,5012349.49,27256641.84,44.3,244663.54
CSH0000267,20260501,S001,B003,R003,2129856.97,21733990.54,42.8,299118.82
CSH0000268,20260501,S001,B003,R004,6560785.25,35304361.64,44.1,304160.88
CSH0000269,20260501,S001,B004,R001,7564087.79,42829799.52,46.6,538825.52
CSH0000270,20260501,S001,B004,R002,13068854.03,61649796.51,45.0,598042.04
CSH0000271,20260501,S001,B004,R003,9747029.62,51481974.15,44.8,816145.0
CSH0000272,20260501,S001,B004,R004,15442737.29,84076161.2,46.0,716593.15
CSH0000273,20260101,S002,B001,R001,3291149.64,17876389.62,45.8,214828.99
CSH0000274,20260101,S002,B001,R002,5604120.65,24399489.14,42.4,409607.69
CSH0000275,20260101,S002,B001,R003,3110457.79,20551863.75,42.4,228598.41
CSH0000276,20260101,S002,B001,R004,7811243.7,33051693.38,43.8,427054.13
CSH0000277,20260101,S002,B002,R001,1738167.05,9662205.94,44.6,78715.0
CSH0000278,20260101,S002,B002,R002,2605368.52,14285389.6,44.6,211381.64
CSH0000279,20260101,S002,B002,R003,1964928.25,12519154.59,46.8,146097.81
CSH0000280,20260101,S002,B002,R004,3468943.94,18201903.53,43.5,309491.92
CSH0000281,20260101,S002,B003,R001,2617752.93,17254506.26,44.7,206624.61
CSH0000282,20260101,S002,B003,R002,4080398.07,25749375.46,44.7,425108.71
CSH0000283,20260101,S002,B003,R003,1287550.03,20568605.78,44.0,239190.1
CSH0000284,20260101,S002,B003,R004,5333556.75,33363586.99,45.2,404933.9
CSH0000285,20260101,S002,B004,R001,4981872.21,36284196.01,42.3,586481.57
CSH0000286,20260101,S002,B004,R002,9273232.27,57524402.67,44.8,564927.96
CSH0000287,20260101,S002,B004,R003,6563806.05,50516852.16,46.9,500613.5
CSH0000288,20260101,S002,B004,R004,10468774.36,71675088.37,43.0,859389.55
CSH0000289,20260201,S002,B001,R001,3375038.6,17377509.36,47.6,195337.1
CSH0000290,20260201,S002,B001,R002,5723562.86,24333597.77,45.5,200331.33
CSH0000291,20260201,S002,B001,R003,3211022.59,21536703.75,48.4,225363.9
CSH0000292,20260201,S002,B001,R004,7967866.12,31299775.98,45.1,305226.51
CSH0000293,20260201,S002,B002,R001,1811901.28,9209385.35,46.9,142938.85
CSH0000294,20260201,S002,B002,R002,2711738.74,13167757.02,45.3,196226.81
CSH0000295,20260201,S002,B002,R003,2058942.76,11918015.38,48.2,95452.48
CSH0000296,20260201,S002,B002,R004,3613988.68,17165616.89,44.8,255890.99
CSH0000297,20260201,S002,B003,R001,2650462.65,15867018.14,45.2,129692.58
CSH0000298,20260201,S002,B003,R002,4135205.4,25176002.13,47.6,326793.64
CSH0000299,20260201,S002,B003,R003,1330990.52,19886971.93,45.9,221300.36
CSH0000300,20260201,S002,B003,R004,5405630.05,33010426.14,48.3,469845.41
CSH0000301,20260201,S002,B004,R001,5101978.68,36868928.21,46.3,326827.02
CSH0000302,20260201,S002,B004,R002,9449531.89,56990483.2,48.1,646057.78
CSH0000303,20260201,S002,B004,R003,6709460.63,46979569.49,47.5,420684.46
CSH0000304,20260201,S002,B004,R004,10687697.14,67340290.63,44.2,793937.84
CSH0000305,20260301,S002,B001,R001,3505588.65,20145252.12,46.0,179017.94
CSH0000306,20260301,S002,B001,R002,5908192.11,29271962.46,46.5,361905.92
CSH0000307,20260301,S002,B001,R003,3365999.99,23809885.36,44.7,299197.67
CSH0000308,20260301,S002,B001,R004,8203899.7,40670377.01,48.9,465741.66
CSH0000309,20260301,S002,B002,R001,1934316.16,10603889.35,44.6,183436.26
CSH0000310,20260301,S002,B002,R002,2894607.94,16683952.47,47.4,179449.62
CSH0000311,20260301,S002,B002,R003,2209130.89,14366728.84,48.7,212042.98
CSH0000312,20260301,S002,B002,R004,3849598.03,20842831.24,45.2,260341.33
CSH0000313,20260301,S002,B003,R001,2698191.06,19634963.34,45.8,249939.23
CSH0000314,20260301,S002,B003,R002,4195308.9,31004696.44,49.2,330248.57
CSH0000315,20260301,S002,B003,R003,1387271.7,25016883.19,47.9,222742.15
CSH0000316,20260301,S002,B003,R004,5492819.45,37973723.86,46.4,629737.77
CSH0000317,20260301,S002,B004,R001,5275877.32,43941652.27,45.8,688618.86
CSH0000318,20260301,S002,B004,R002,9692802.78,66020460.06,47.0,594603.72
CSH0000319,20260301,S002,B004,R003,6920981.02,53673827.43,45.4,759527.32
CSH0000320,20260301,S002,B004,R004,11018843.36,90607191.7,49.1,791979.52
CSH0000321,20260401,S002,B001,R001,3571233.82,19069162.15,45.0,230550.96
CSH0000322,20260401,S002,B001,R002,6023013.12,28478383.18,45.1,328052.39
CSH0000323,20260401,S002,B001,R003,3470966.09,23769394.53,44.2,357383.02
CSH0000324,20260401,S002,B001,R004,8349089.24,36691895.34,44.6,469115.84
CSH0000325,20260401,S002,B002,R001,2013629.99,11064166.25,47.1,137089.66
CSH0000326,20260401,S002,B002,R002,3011402.29,16121005.12,46.5,263658.06
CSH0000327,20260401,S002,B002,R003,2307528.29,13956851.04,47.9,187388.94
CSH0000328,20260401,S002,B002,R004,3993380.1,20221617.7,45.2,300560.58
CSH0000329,20260401,S002,B003,R001,2714849.59,18277975.94,44.2,221574.8
CSH0000330,20260401,S002,B003,R002,4222477.41,26918629.1,44.2,425946.95
CSH0000331,20260401,S002,B003,R003,1407522.51,24485625.41,47.2,374661.91
CSH0000332,20260401,S002,B003,R004,5517986.46,35550976.19,44.5,371968.23
CSH0000333,20260401,S002,B004,R001,5342481.56,42669241.65,45.3,411106.48
CSH0000334,20260401,S002,B004,R002,9811772.4,66472290.33,47.7,990114.04
CSH0000335,20260401,S002,B004,R003,7017354.59,51973952.24,44.7,522215.29
CSH0000336,20260401,S002,B004,R004,11179715.26,84102782.95,46.4,1054164.02
CSH0000337,20260501,S002,B001,R001,3693590.78,20230850.23,45.3,188825.38
CSH0000338,20260501,S002,B001,R002,6186650.83,28405693.41,43.3,393531.04
