FactOpexKey,DateKey,ScenarioKey,BusinessUnitKey,RegionKey,DepartmentKey,Opex,FTE
OPX0000141,20250201,S001,B003,R002,D004,619242.98,14.0
OPX0000142,20250201,S001,B003,R002,D002,1224790.94,27.5
OPX0000143,20250201,S001,B003,R002,D001,336476.86,7.6
OPX0000144,20250201,S001,B003,R002,D003,400329.04,9.4
OPX0000145,20250201,S001,B003,R002,D005,281698.93,6.8
OPX0000146,20250201,S001,B003,R001,D004,436635.11,10.6
OPX0000147,20250201,S001,B003,R001,D002,784034.04,17.9
OPX0000148,20250201,S001,B003,R001,D001,229755.85,5.8
OPX0000149,20250201,S001,B003,R001,D003,267413.85,6.7
OPX0000150,20250201,S001,B003,R001,D005,193410.71,4.3
OPX0000151,20250201,S001,B003,R004,D004,798755.27,20.4
OPX0000152,20250201,S001,B003,R004,D002,1545148.76,36.2
OPX0000153,20250201,S001,B003,R004,D001,433551.34,10.3
OPX0000154,20250201,S001,B003,R004,D003,509732.66,11.7
OPX0000155,20250201,S001,B003,R004,D005,366451.46,9.1
OPX0000156,20250201,S001,B003,R003,D004,521579.68,13.2
OPX0000157,20250201,S001,B003,R003,D002,977514.94,23.7
OPX0000158,20250201,S001,B003,R003,D001,278223.77,6.4
OPX0000159,20250201,S001,B003,R003,D003,318666.94,7.3
OPX0000160,20250201,S001,B003,R003,D005,233519.8,5.6
OPX0000161,20250301,S001,B004,R002,D004,1152458.2,29.0
OPX0000162,20250301,S001,B004,R002,D002,2115752.11,54.1
OPX0000163,20250301,S001,B004,R002,D001,623682.28,14.0
OPX0000164,20250301,S001,B004,R002,D003,704718.35,17.7
OPX0000165,20250301,S001,B004,R002,D005,506067.0,12.8
OPX0000166,20250301,S001,B004,R001,D004,742470.73,17.7
OPX0000167,20250301,S001,B004,R001,D002,1402903.95,31.7
OPX0000168,20250301,S001,B004,R001,D001,398977.13,9.0
OPX0000169,20250301,S001,B004,R001,D003,469588.26,12.0
OPX0000170,20250301,S001,B004,R001,D005,346674.0,8.5
OPX0000171,20250301,S001,B004,R004,D004,1398654.39,33.1
OPX0000172,20250301,S001,B004,R004,D002,2795452.95,66.6
OPX0000173,20250301,S001,B004,R004,D001,791048.55,19.3
OPX0000174,20250301,S001,B004,R004,D003,942548.65,22.7
OPX0000175,20250301,S001,B004,R004,D005,666418.21,16.2
OPX0000176,20250301,S001,B004,R003,D004,899855.49,22.2
OPX0000177,20250301,S001,B004,R003,D002,1728799.44,42.7
OPX0000178,20250301,S001,B004,R003,D001,497118.84,12.4
OPX0000179,20250301,S001,B004,R003,D003,598176.19,14.4
OPX0000180,20250301,S001,B004,R003,D005,429883.12,9.9
OPX0000181,20250301,S001,B001,R002,D004,721125.97,18.4
OPX0000182,20250301,S001,B001,R002,D002,1290834.21,29.8
OPX0000183,20250301,S001,B001,R002,D001,371754.08,8.6
OPX0000184,20250301,S001,B001,R002,D003,452284.88,10.1
OPX0000185,20250301,S001,B001,R002,D005,316423.5,7.5
OPX0000186,20250301,S001,B001,R001,D004,493559.02,11.4
OPX0000187,20250301,S001,B001,R001,D002,919186.87,22.4
OPX0000188,20250301,S001,B001,R001,D001,260018.56,6.4
OPX0000189,20250301,S001,B001,R001,D003,299135.19,6.9
OPX0000190,20250301,S001,B001,R001,D005,217173.57,5.3
OPX0000191,20250301,S001,B001,R004,D004,886793.45,21.4
OPX0000192,20250301,S001,B001,R004,D002,1793969.36,45.7
OPX0000193,20250301,S001,B001,R004,D001,494256.51,11.5
OPX0000194,20250301,S001,B001,R004,D003,601216.38,14.7
OPX0000195,20250301,S001,B001,R004,D005,403669.42,10.0
OPX0000196,20250301,S001,B001,R003,D004,586185.22,13.5
OPX0000197,20250301,S001,B001,R003,D002,1088458.41,24.6
OPX0000198,20250301,S001,B001,R003,D001,332896.35,8.4
OPX0000199,20250301,S001,B001,R003,D003,369788.52,9.4
OPX0000200,20250301,S001,B001,R003,D005,271409.46,6.7
OPX0000201,20250301,S001,B002,R002,D004,352919.84,8.3
OPX0000202,20250301,S001,B002,R002,D002,651355.25,14.8
OPX0000203,20250301,S001,B002,R002,D001,186233.79,4.2
OPX0000204,20250301,S001,B002,R002,D003,227439.83,5.4
OPX0000205,20250301,S001,B002,R002,D005,160174.32,4.1
OPX0000206,20250301,S001,B002,R001,D004,240471.1,6.0
OPX0000207,20250301,S001,B002,R001,D002,436012.31,10.9
OPX0000208,20250301,S001,B002,R001,D001,123676.41,3.1
OPX0000209,20250301,S001,B002,R001,D003,146021.83,3.3
OPX0000210,20250301,S001,B002,R001,D005,104109.95,2.5
OPX0000211,20250301,S001,B002,R004,D004,468037.65,11.3
OPX0000212,20250301,S001,B002,R004,D002,877961.53,22.5
OPX0000213,20250301,S001,B002,R004,D001,245592.07,5.9
OPX0000214,20250301,S001,B002,R004,D003,299715.71,7.2
OPX0000215,20250301,S001,B002,R004,D005,201308.94,4.6
OPX0000216,20250301,S001,B002,R003,D004,289201.85,6.6
OPX0000217,20250301,S001,B002,R003,D002,561208.28,12.9
OPX0000218,20250301,S001,B002,R003,D001,162721.65,4.0
OPX0000219,20250301,S001,B002,R003,D003,180839.08,4.2
OPX0000220,20250301,S001,B002,R003,D005,132541.54,3.2
OPX0000221,20250301,S001,B003,R002,D004,751799.87,17.1
OPX0000222,20250301,S001,B003,R002,D002,1385518.92,33.8
OPX0000223,20250301,S001,B003,R002,D001,410533.87,10.2
OPX0000224,20250301,S001,B003,R002,D003,472598.41,10.8
OPX0000225,20250301,S001,B003,R002,D005,349795.19,8.8
OPX0000226,20250301,S001,B003,R001,D004,499623.31,12.2
OPX0000227,20250301,S001,B003,R001,D002,929691.81,21.4
OPX0000228,20250301,S001,B003,R001,D001,262863.11,5.9
OPX0000229,20250301,S001,B003,R001,D003,322365.72,7.9
OPX0000230,20250301,S001,B003,R001,D005,222566.01,5.4
OPX0000231,20250301,S001,B003,R004,D004,945114.4,21.4
OPX0000232,20250301,S001,B003,R004,D002,1895421.02,47.5
OPX0000233,20250301,S001,B003,R004,D001,540035.66,13.1
OPX0000234,20250301,S001,B003,R004,D003,626074.73,14.1
OPX0000235,20250301,S001,B003,R004,D005,442454.49,10.7
OPX0000236,20250301,S001,B003,R003,D004,625829.54,14.9
OPX0000237,20250301,S001,B003,R003,D002,1235751.67,28.2
OPX0000238,20250301,S001,B003,R003,D001,343021.13,7.9
OPX0000239,20250301,S001,B003,R003,D003,403105.29,9.7
OPX0000240,20250301,S001,B003,R003,D005,280239.38,6.8
OPX0000241,20250401,S001,B004,R002,D004,1141437.31,26.4
OPX0000242,20250401,S001,B004,R002,D002,2063482.98,46.4
OPX0000243,20250401,S001,B004,R002,D001,590625.34,15.1
OPX0000244,20250401,S001,B004,R002,D003,705237.72,16.8
OPX0000245,20250401,S001,B004,R002,D005,519297.34,11.7
OPX0000246,20250401,S001,B004,R001,D004,734966.9,17.3
OPX0000247,20250401,S001,B004,R001,D002,1413631.54,32.6
OPX0000248,20250401,S001,B004,R001,D001,406234.32,10.2
OPX0000249,20250401,S001,B004,R001,D003,480955.57,11.9
OPX0000250,20250401,S001,B004,R001,D005,340084.94,8.2
OPX0000251,20250401,S001,B004,R004,D004,1455351.77,32.6
OPX0000252,20250401,S001,B004,R004,D002,2771553.7,65.8
OPX0000253,20250401,S001,B004,R004,D001,764667.16,19.1
OPX0000254,20250401,S001,B004,R004,D003,913750.9,21.4
OPX0000255,20250401,S001,B004,R004,D005,655623.17,16.0
OPX0000256,20250401,S001,B004,R003,D004,937268.28,22.4
OPX0000257,20250401,S001,B004,R003,D002,1808926.39,45.3
OPX0000258,20250401,S001,B004,R003,D001,511882.34,12.0
OPX0000259,20250401,S001,B004,R003,D003,607864.44,13.8
OPX0000260,20250401,S001,B004,R003,D005,430593.55,9.8
OPX0000261,20250401,S001,B001,R002,D004,680246.72,16.0
OPX0000262,20250401,S001,B001,R002,D002,1368587.01,32.8
OPX0000263,20250401,S001,B001,R002,D001,376631.22,8.8
OPX0000264,20250401,S001,B001,R002,D003,449650.22,11.0
OPX0000265,20250401,S001,B001,R002,D005,317115.49,7.7
OPX0000266,20250401,S001,B001,R001,D004,474695.83,10.6
OPX0000267,20250401,S001,B001,R001,D002,882750.72,20.1
OPX0000268,20250401,S001,B001,R001,D001,264594.92,6.1
OPX0000269,20250401,S001,B001,R001,D003,290395.09,6.7
OPX0000270,20250401,S001,B001,R001,D005,209836.67,4.7
OPX0000271,20250401,S001,B001,R004,D004,934872.83,22.1
OPX0000272,20250401,S001,B001,R004,D002,1792928.42,43.9
OPX0000273,20250401,S001,B001,R004,D001,486178.44,11.7
OPX0000274,20250401,S001,B001,R004,D003,594384.21,14.1
OPX0000275,20250401,S001,B001,R004,D005,402711.8,9.3
OPX0000276,20250401,S001,B001,R003,D004,579638.91,14.5
OPX0000277,20250401,S001,B001,R003,D002,1079593.5,26.9
OPX0000278,20250401,S001,B001,R003,D001,314571.04,7.9
OPX0000279,20250401,S001,B001,R003,D003,382195.23,9.1
OPX0000280,20250401,S001,B001,R003,D005,272253.07,6.3
OPX0000281,20250401,S001,B002,R002,D004,351848.24,9.0
OPX0000282,20250401,S001,B002,R002,D002,640324.53,15.5
OPX0000283,20250401,S001,B002,R002,D001,191128.67,4.9
OPX0000284,20250401,S001,B002,R002,D003,224693.0,5.2
OPX0000285,20250401,S001,B002,R002,D005,159927.0,4.0
OPX0000286,20250401,S001,B002,R001,D004,228036.83,5.8
OPX0000287,20250401,S001,B002,R001,D002,446397.94,11.0
OPX0000288,20250401,S001,B002,R001,D001,129578.95,2.9
OPX0000289,20250401,S001,B002,R001,D003,150127.64,3.6
OPX0000290,20250401,S001,B002,R001,D005,103981.1,2.4
OPX0000291,20250401,S001,B002,R004,D004,454743.57,10.6
OPX0000292,20250401,S001,B002,R004,D002,853697.53,19.9
OPX0000293,20250401,S001,B002,R004,D001,251088.06,5.8
OPX0000294,20250401,S001,B002,R004,D003,288035.16,6.9
OPX0000295,20250401,S001,B002,R004,D005,207994.77,4.8
OPX0000296,20250401,S001,B002,R003,D004,286574.31,7.0
OPX0000297,20250401,S001,B002,R003,D002,544062.84,13.4
OPX0000298,20250401,S001,B002,R003,D001,156271.77,4.0
OPX0000299,20250401,S001,B002,R003,D003,185443.42,4.4
OPX0000300,20250401,S001,B002,R003,D005,127243.08,3.1
OPX0000301,20250401,S001,B003,R002,D004,736537.32,17.8
OPX0000302,20250401,S001,B003,R002,D002,1413315.18,36.0
OPX0000303,20250401,S001,B003,R002,D001,414626.64,9.8
OPX0000304,20250401,S001,B003,R002,D003,477568.11,12.2
OPX0000305,20250401,S001,B003,R002,D005,344686.95,8.3
OPX0000306,20250401,S001,B003,R001,D004,501879.62,12.8
OPX0000307,20250401,S001,B003,R001,D002,954837.04,23.0
OPX0000308,20250401,S001,B003,R001,D001,265797.68,6.8
OPX0000309,20250401,S001,B003,R001,D003,321140.67,7.7
OPX0000310,20250401,S001,B003,R001,D005,221359.23,5.6
OPX0000311,20250401,S001,B003,R004,D004,975740.58,22.9
OPX0000312,20250401,S001,B003,R004,D002,1899312.92,48.1
OPX0000313,20250401,S001,B003,R004,D001,536209.7,13.8
OPX0000314,20250401,S001,B003,R004,D003,636576.56,15.5
OPX0000315,20250401,S001,B003,R004,D005,429088.53,10.3
OPX0000316,20250401,S001,B003,R003,D004,638757.32,15.0
OPX0000317,20250401,S001,B003,R003,D002,1207029.22,29.7
OPX0000318,20250401,S001,B003,R003,D001,348277.21,7.9
OPX0000319,20250401,S001,B003,R003,D003,389360.82,8.8
OPX0000320,20250401,S001,B003,R003,D005,274311.63,7.0
OPX0000321,20250501,S001,B004,R002,D004,1136479.42,28.5
OPX0000322,20250501,S001,B004,R002,D002,2159160.61,48.8
OPX0000323,20250501,S001,B004,R002,D001,643103.28,16.0
OPX0000324,20250501,S001,B004,R002,D003,704491.28,17.0
OPX0000325,20250501,S001,B004,R002,D005,523066.01,12.2
OPX0000326,20250501,S001,B004,R001,D004,746362.18,17.6
OPX0000327,20250501,S001,B004,R001,D002,1461955.13,37.0
OPX0000328,20250501,S001,B004,R001,D001,424828.67,10.2
OPX0000329,20250501,S001,B004,R001,D003,481999.08,10.8
OPX0000330,20250501,S001,B004,R001,D005,355036.16,8.3
OPX0000331,20250501,S001,B004,R004,D004,1458289.2,34.2
OPX0000332,20250501,S001,B004,R004,D002,2796555.4,68.4
OPX0000333,20250501,S001,B004,R004,D001,795060.58,19.1
OPX0000334,20250501,S001,B004,R004,D003,953939.45,22.7
OPX0000335,20250501,S001,B004,R004,D005,704494.9,16.4
OPX0000336,20250501,S001,B004,R003,D004,972432.22,24.4
OPX0000337,20250501,S001,B004,R003,D002,1827419.85,46.7
OPX0000338,20250501,S001,B004,R003,D001,523875.34,12.2
OPX0000339,20250501,S001,B004,R003,D003,619122.97,15.3
OPX0000340,20250501,S001,B004,R003,D005,430430.89,10.4
OPX0000341,20250501,S001,B001,R002,D004,732644.02,18.7
OPX0000342,20250501,S001,B001,R002,D002,1363927.13,34.4
OPX0000343,20250501,S001,B001,R002,D001,408300.94,10.4
OPX0000344,20250501,S001,B001,R002,D003,477999.82,10.7
OPX0000345,20250501,S001,B001,R002,D005,335992.77,7.6
OPX0000346,20250501,S001,B001,R001,D004,500675.65,12.0
OPX0000347,20250501,S001,B001,R001,D002,935024.91,22.1
OPX0000348,20250501,S001,B001,R001,D001,256664.8,6.0
OPX0000349,20250501,S001,B001,R001,D003,314191.85,8.0
OPX0000350,20250501,S001,B001,R001,D005,214657.81,5.1
OPX0000351,20250501,S001,B001,R004,D004,942571.69,21.8
OPX0000352,20250501,S001,B001,R004,D002,1769037.11,40.6
OPX0000353,20250501,S001,B001,R004,D001,532683.84,12.5
OPX0000354,20250501,S001,B001,R004,D003,584972.36,13.5
OPX0000355,20250501,S001,B001,R004,D005,434258.66,10.3
OPX0000356,20250501,S001,B001,R003,D004,579691.93,14.3
OPX0000357,20250501,S001,B001,R003,D002,1135939.58,27.6
OPX0000358,20250501,S001,B001,R003,D001,326608.72,8.4
OPX0000359,20250501,S001,B001,R003,D003,373431.17,9.5
OPX0000360,20250501,S001,B001,R003,D005,278034.52,6.5
OPX0000361,20250501,S001,B002,R002,D004,365267.88,9.1
OPX0000362,20250501,S001,B002,R002,D002,679568.81,16.9
OPX0000363,20250501,S001,B002,R002,D001,188864.69,4.6
OPX0000364,20250501,S001,B002,R002,D003,225467.75,5.8
OPX0000365,20250501,S001,B002,R002,D005,167328.5,4.0
OPX0000366,20250501,S001,B002,R001,D004,242532.62,6.0
OPX0000367,20250501,S001,B002,R001,D002,474329.99,11.8
OPX0000368,20250501,S001,B002,R001,D001,131247.3,3.0
OPX0000369,20250501,S001,B002,R001,D003,154480.58,3.8
OPX0000370,20250501,S001,B002,R001,D005,112865.45,2.7
OPX0000371,20250501,S001,B002,R004,D004,468253.59,11.7
OPX0000372,20250501,S001,B002,R004,D002,919914.74,20.9
OPX0000373,20250501,S001,B002,R004,D001,260473.5,6.3
OPX0000374,20250501,S001,B002,R004,D003,306310.18,7.4
OPX0000375,20250501,S001,B002,R004,D005,216816.5,5.4
OPX0000376,20250501,S001,B002,R003,D004,300522.18,7.4
OPX0000377,20250501,S001,B002,R003,D002,567154.05,12.7
OPX0000378,20250501,S001,B002,R003,D001,158169.82,3.9
OPX0000379,20250501,S001,B002,R003,D003,191928.71,4.7
OPX0000380,20250501,S001,B002,R003,D005,140659.15,3.4
OPX0000381,20250501,S001,B003,R002,D004,758316.27,18.3
OPX0000382,20250501,S001,B003,R002,D002,1449481.78,35.9
OPX0000383,20250501,S001,B003,R002,D001,414405.25,10.5
OPX0000384,20250501,S001,B003,R002,D003,507834.1,12.6
OPX0000385,20250501,S001,B003,R002,D005,340124.73,8.6
OPX0000386,20250501,S001,B003,R001,D004,536884.64,13.6
OPX0000387,20250501,S001,B003,R001,D002,972387.98,23.7
OPX0000388,20250501,S001,B003,R001,D001,292979.61,6.6
OPX0000389,20250501,S001,B003,R001,D003,334979.33,7.8
OPX0000390,20250501,S001,B003,R001,D005,228104.19,5.2
OPX0000391,20250501,S001,B003,R004,D004,992894.18,23.1
OPX0000392,20250501,S001,B003,R004,D002,1882842.16,47.8
OPX0000393,20250501,S001,B003,R004,D001,533828.15,12.1
OPX0000394,20250501,S001,B003,R004,D003,622965.08,15.4
OPX0000395,20250501,S001,B003,R004,D005,455742.85,10.3
OPX0000396,20250501,S001,B003,R003,D004,627067.18,15.8
OPX0000397,20250501,S001,B003,R003,D002,1219351.55,28.9
OPX0000398,20250501,S001,B003,R003,D001,344221.03,8.7
OPX0000399,20250501,S001,B003,R003,D003,401184.79,9.3
OPX0000400,20250501,S001,B003,R003,D005,283992.2,7.1
OPX0000401,20250601,S001,B004,R002,D004,1168751.59,28.2
OPX0000402,20250601,S001,B004,R002,D002,2197085.58,54.6
OPX0000403,20250601,S001,B004,R002,D001,660594.88,14.8
OPX0000404,20250601,S001,B004,R002,D003,756273.73,17.6
OPX0000405,20250601,S001,B004,R002,D005,527773.13,13.1
OPX0000406,20250601,S001,B004,R001,D004,790022.63,18.9
OPX0000407,20250601,S001,B004,R001,D002,1535449.42,35.2
OPX0000408,20250601,S001,B004,R001,D001,444961.85,10.5
OPX0000409,20250601,S001,B004,R001,D003,498084.23,12.4
OPX0000410,20250601,S001,B004,R001,D005,365068.85,9.0
OPX0000411,20250601,S001,B004,R004,D004,1540634.58,35.6
OPX0000412,20250601,S001,B004,R004,D002,2996564.47,70.9
OPX0000413,20250601,S001,B004,R004,D001,847441.35,19.0
OPX0000414,20250601,S001,B004,R004,D003,946321.93,21.5
OPX0000415,20250601,S001,B004,R004,D005,682900.12,16.7
OPX0000416,20250601,S001,B004,R003,D004,977166.36,24.1
OPX0000417,20250601,S001,B004,R003,D002,1798888.07,45.5
OPX0000418,20250601,S001,B004,R003,D001,523811.2,12.8
OPX0000419,20250601,S001,B004,R003,D003,607629.72,15.0
OPX0000420,20250601,S001,B004,R003,D005,433564.33,10.0
OPX0000421,20250601,S001,B001,R002,D004,763326.35,19.0
OPX0000422,20250601,S001,B001,R002,D002,1439166.73,34.5
OPX0000423,20250601,S001,B001,R002,D001,392831.24,9.7
OPX0000424,20250601,S001,B001,R002,D003,463987.57,11.7
OPX0000425,20250601,S001,B001,R002,D005,339830.05,8.5
OPX0000426,20250601,S001,B001,R001,D004,512990.55,12.7
OPX0000427,20250601,S001,B001,R001,D002,925744.23,23.3
OPX0000428,20250601,S001,B001,R001,D001,275037.99,7.0
OPX0000429,20250601,S001,B001,R001,D003,318543.43,8.1
OPX0000430,20250601,S001,B001,R001,D005,227086.29,5.7
OPX0000431,20250601,S001,B001,R004,D004,991356.97,24.3
OPX0000432,20250601,S001,B001,R004,D002,1804780.1,44.0
