FactFinanceKey,DateKey,ScenarioKey,BusinessUnitKey,ProductKey,RegionKey,CustomerKey,Revenue,COGS,GrossMargin,AllocatedOpex,EBITDA,Orders,CashImpact
FIN0000020,20250101,S001,B004,P007,R001,C008,567878.3,434426.9,133451.4,80638.72,52812.68,26,40130.78
FIN0000021,20250101,S001,B004,P007,R001,C009,504772.18,386150.72,118621.46,71677.65,46943.81,26,30764.03
FIN0000022,20250101,S001,B004,P007,R001,C010,397082.78,303768.33,93314.45,56385.76,36928.7,22,25124.86
FIN0000023,20250101,S001,B004,P007,R001,C011,346944.0,265412.16,81531.84,49266.05,32265.79,15,23810.47
FIN0000024,20250101,S001,B004,P007,R001,C012,1024711.08,783903.97,240807.1,145508.97,95298.13,58,61697.47
FIN0000025,20250101,S001,B004,P007,R004,C001,1770278.73,1354263.23,416015.5,251379.58,164635.92,110,104413.48
FIN0000026,20250101,S001,B004,P007,R004,C002,1587598.54,1214512.88,373085.66,225438.99,147646.66,82,105476.88
FIN0000027,20250101,S001,B004,P007,R004,C003,1524236.77,1166041.13,358195.64,216441.62,141754.02,72,90100.36
FIN0000028,20250101,S001,B004,P007,R004,C004,1448308.83,1107956.26,340352.58,205659.85,134692.72,68,89073.7
FIN0000029,20250101,S001,B004,P007,R004,C005,1238990.29,947827.57,291162.72,175936.62,115226.1,58,81212.33
FIN0000030,20250101,S001,B004,P007,R004,C006,1235625.86,945253.79,290372.08,175458.87,114913.21,72,76014.56
FIN0000031,20250101,S001,B004,P007,R004,C007,1078173.46,824802.69,253370.76,153100.63,100270.13,55,66432.13
FIN0000032,20250101,S001,B004,P007,R004,C008,1023514.27,782988.41,240525.85,145339.03,95186.83,61,63884.98
FIN0000033,20250101,S001,B004,P007,R004,C009,954089.51,729878.48,224211.04,135480.71,88730.32,49,56408.52
FIN0000034,20250101,S001,B004,P007,R004,C010,800192.21,612147.04,188045.17,113627.29,74417.88,44,46053.29
FIN0000035,20250101,S001,B004,P007,R004,C011,718183.62,549410.47,168773.15,101982.07,66791.08,39,43946.03
FIN0000036,20250101,S001,B004,P007,R004,C012,1865059.91,1426770.83,438289.08,264838.51,173450.57,90,126107.21
FIN0000037,20250101,S001,B004,P007,R003,C001,1162070.73,888984.11,273086.62,165014.04,108072.58,69,73630.89
FIN0000038,20250101,S001,B004,P007,R003,C002,1125503.41,861010.11,264493.3,159821.48,104671.82,62,65018.8
FIN0000039,20250101,S001,B004,P007,R003,C003,958821.17,733498.19,225322.97,136152.61,89170.37,53,64209.64
FIN0000040,20250101,S001,B004,P007,R003,C004,867683.07,663777.55,203905.52,123211.0,80694.53,39,59766.18
FIN0000041,20250101,S001,B004,P007,R003,C005,787205.33,602212.07,184993.25,111783.16,73210.1,42,56757.55
FIN0000042,20250101,S001,B004,P007,R003,C006,773317.06,591587.55,181729.51,109811.02,71918.49,41,56108.1
FIN0000043,20250101,S001,B004,P007,R003,C007,705051.85,539364.66,165687.18,100117.36,65569.82,35,47120.37
FIN0000044,20250101,S001,B004,P007,R003,C008,702418.21,537349.93,165068.28,99743.39,65324.89,35,50370.43
FIN0000045,20250101,S001,B004,P007,R003,C009,616315.01,471480.98,144834.03,87516.73,57317.3,38,45047.31
FIN0000046,20250101,S001,B004,P007,R003,C010,493805.61,377761.29,116044.32,70120.4,45923.92,30,32429.24
FIN0000047,20250101,S001,B004,P007,R003,C011,436347.86,333806.12,102541.75,61961.4,40580.35,22,30539.94
FIN0000048,20250101,S001,B004,P007,R003,C012,1197244.61,915892.13,281352.48,170008.73,111343.75,66,85809.34
FIN0000049,20250101,S001,B004,P008,R002,C001,1764103.15,1278974.78,485128.37,225805.2,259323.16,78,203553.45
FIN0000050,20250101,S001,B004,P008,R002,C002,1578572.5,1144465.06,434107.44,202057.28,232050.16,84,178643.62
FIN0000051,20250101,S001,B004,P008,R002,C003,1376304.14,997820.5,378483.64,176166.93,202316.71,74,169210.61
FIN0000052,20250101,S001,B004,P008,R002,C004,1278593.45,926980.25,351613.2,163659.96,187953.24,72,144116.74
FIN0000053,20250101,S001,B004,P008,R002,C005,1188673.07,861787.97,326885.09,152150.15,174734.94,58,134664.99
FIN0000054,20250101,S001,B004,P008,R002,C006,1142276.12,828150.19,314125.93,146211.34,167914.59,57,136692.23
FIN0000055,20250101,S001,B004,P008,R002,C007,1038026.44,752569.17,285457.27,132867.38,152589.89,60,119309.08
FIN0000056,20250101,S001,B004,P008,R002,C008,1019794.36,739350.91,280443.45,130533.68,149909.77,54,127478.97
FIN0000057,20250101,S001,B004,P008,R002,C009,914534.83,663037.75,251497.08,117060.46,134436.62,47,106812.79
FIN0000058,20250101,S001,B004,P008,R002,C010,702850.25,509566.43,193283.82,89964.83,103318.99,36,87576.77
FIN0000059,20250101,S001,B004,P008,R002,C011,665578.08,482544.11,183033.97,85193.99,97839.98,39,75155.32
FIN0000060,20250101,S001,B004,P008,R002,C012,1788852.58,1296918.12,491934.46,228973.13,262961.33,95,211165.27
FIN0000061,20250101,S001,B004,P008,R001,C001,1081314.43,783952.96,297361.47,138408.25,158953.22,51,132201.97
FIN0000062,20250101,S001,B004,P008,R001,C002,1063190.9,770813.4,292377.5,136088.43,156289.06,51,136236.35
FIN0000063,20250101,S001,B004,P008,R001,C003,966540.06,700741.54,265798.52,123717.13,142081.39,56,121395.44
FIN0000064,20250101,S001,B004,P008,R001,C004,847245.96,614253.32,232992.64,108447.48,124545.16,49,105690.46
FIN0000065,20250101,S001,B004,P008,R001,C005,826432.02,599163.21,227268.81,105783.3,121485.51,45,98015.65
FIN0000066,20250101,S001,B004,P008,R001,C006,728671.65,528286.95,200384.7,93269.97,107114.73,36,84799.29
FIN0000067,20250101,S001,B004,P008,R001,C007,748344.1,542549.47,205794.63,95788.04,110006.58,35,94736.99
FIN0000068,20250101,S001,B004,P008,R001,C008,640166.8,464120.93,176045.87,81941.35,94104.52,39,80147.24
FIN0000069,20250101,S001,B004,P008,R001,C009,580261.4,420689.51,159571.88,74273.46,85298.43,29,71475.73
FIN0000070,20250101,S001,B004,P008,R001,C010,460567.57,333911.49,126656.08,58952.65,67703.43,26,58799.96
FIN0000071,20250101,S001,B004,P008,R001,C011,428123.3,310389.39,117733.91,54799.78,62934.13,24,51063.31
FIN0000072,20250101,S001,B004,P008,R001,C012,1196467.16,867438.69,329028.47,153147.8,175880.67,72,135074.66
FIN0000073,20250101,S001,B004,P008,R004,C001,2274103.61,1648725.12,625378.49,291085.26,334293.23,101,274704.71
FIN0000074,20250101,S001,B004,P008,R004,C002,1973087.6,1430488.51,542599.09,252555.21,290043.88,100,235014.07
FIN0000075,20250101,S001,B004,P008,R004,C003,1819872.47,1319407.54,500464.93,232943.68,267521.25,106,214591.58
FIN0000076,20250101,S001,B004,P008,R004,C004,1742925.14,1263620.73,479304.41,223094.42,256210.0,108,217573.08
FIN0000077,20250101,S001,B004,P008,R004,C005,1585181.76,1149256.78,435924.98,202903.27,233021.72,89,190599.67
FIN0000078,20250101,S001,B004,P008,R004,C006,1410960.29,1022946.21,388014.08,180602.92,207411.16,83,162487.9
FIN0000079,20250101,S001,B004,P008,R004,C007,1324115.66,959983.85,364131.81,169486.8,194645.0,61,154931.81
FIN0000080,20250101,S001,B004,P008,R004,C008,1319047.23,956309.24,362737.99,168838.05,193899.94,69,155827.53
FIN0000081,20250101,S001,B004,P008,R004,C009,1172566.39,850110.63,322455.76,150088.5,172367.26,71,135837.99
FIN0000082,20250101,S001,B004,P008,R004,C010,955506.03,692741.87,262764.16,122304.77,140459.39,54,122300.54
FIN0000083,20250101,S001,B004,P008,R004,C011,884749.35,641443.28,243306.07,113247.92,130058.15,53,105877.01
FIN0000084,20250101,S001,B004,P008,R004,C012,2404705.0,1743411.12,661293.87,307802.24,353491.63,121,290805.62
FIN0000085,20250101,S001,B004,P008,R003,C001,1381292.99,1001437.42,379855.57,176805.5,203050.07,75,176736.27
FIN0000086,20250101,S001,B004,P008,R003,C002,1255987.41,910590.87,345396.54,160766.39,184630.15,66,156894.81
FIN0000087,20250101,S001,B004,P008,R003,C003,1129168.32,818647.03,310521.29,144533.54,165987.74,60,135879.1
FIN0000088,20250101,S001,B004,P008,R003,C004,1098404.43,796343.21,302061.22,140595.77,161465.45,56,133550.43
FIN0000089,20250101,S001,B004,P008,R003,C005,1048962.17,760497.57,288464.6,134267.16,154197.44,60,121232.68
FIN0000090,20250101,S001,B004,P008,R003,C006,953535.66,691313.35,262222.31,122052.56,140169.74,52,115927.24
FIN0000091,20250101,S001,B004,P008,R003,C007,873258.96,633112.75,240146.22,111777.15,128369.07,40,103111.06
FIN0000092,20250101,S001,B004,P008,R003,C008,855602.62,620311.9,235290.72,109517.14,125773.59,38,99790.14
FIN0000093,20250101,S001,B004,P008,R003,C009,746844.31,541462.12,205382.19,95596.07,109786.11,40,88489.31
FIN0000094,20250101,S001,B004,P008,R003,C010,604493.07,438257.47,166235.59,77375.11,88860.48,27,73597.01
FIN0000095,20250101,S001,B004,P008,R003,C011,567681.38,411569.0,156112.38,72663.22,83449.16,32,68887.4
FIN0000096,20250101,S001,B004,P008,R003,C012,1559658.28,1130752.25,428906.03,199636.26,229269.77,80,185506.8
FIN0000097,20250101,S001,B004,P009,R002,C001,838296.82,662254.49,176042.33,130774.3,45268.03,43,18974.87
FIN0000098,20250101,S001,B004,P009,R002,C002,812604.62,641957.65,170646.97,126766.32,43880.65,50,24712.4
FIN0000099,20250101,S001,B004,P009,R002,C003,663021.96,523787.35,139234.61,103431.43,35803.19,31,19385.23
FIN0000100,20250101,S001,B004,P009,R002,C004,641056.57,506434.69,134621.88,100004.82,34617.05,39,19566.69
FIN0000101,20250101,S001,B004,P009,R002,C005,602905.49,476295.34,126610.15,94053.26,32556.9,34,12822.98
FIN0000102,20250101,S001,B004,P009,R002,C006,547068.39,432184.03,114884.36,85342.67,29541.69,28,19174.39
FIN0000103,20250101,S001,B004,P009,R002,C007,516141.04,407751.42,108389.62,80518.0,27871.62,25,13455.73
FIN0000104,20250101,S001,B004,P009,R002,C008,494246.33,390454.6,103791.73,77102.43,26689.3,25,14495.87
FIN0000105,20250101,S001,B004,P009,R002,C009,452536.0,357503.44,95032.56,70595.62,24436.94,26,8160.27
FIN0000106,20250101,S001,B004,P009,R002,C010,365009.31,288357.36,76651.96,56941.45,19710.5,18,8951.55
FIN0000107,20250101,S001,B004,P009,R002,C011,340752.82,269194.73,71558.09,53157.44,18400.65,20,6803.68
FIN0000108,20250101,S001,B004,P009,R002,C012,884265.49,698569.74,185695.75,137945.42,47750.34,53,31343.01
FIN0000109,20250101,S001,B004,P009,R001,C001,559599.65,442083.72,117515.93,87297.54,30218.38,28,13981.99
FIN0000110,20250101,S001,B004,P009,R001,C002,532301.98,420518.57,111783.42,83039.11,28744.31,31,13148.9
FIN0000111,20250101,S001,B004,P009,R001,C003,485358.3,383433.05,101925.24,75715.89,26209.35,25,13666.73
FIN0000112,20250101,S001,B004,P009,R001,C004,437143.4,345343.29,91800.11,68194.37,23605.74,26,8913.2
FIN0000113,20250101,S001,B004,P009,R001,C005,399547.89,315642.83,83905.06,62329.47,21575.59,23,9255.09
FIN0000114,20250101,S001,B004,P009,R001,C006,372478.53,294258.04,78220.49,58106.65,20113.84,17,11766.37
FIN0000115,20250101,S001,B004,P009,R001,C007,352431.43,278420.83,74010.6,54979.3,19031.3,19,8071.16
FIN0000116,20250101,S001,B004,P009,R001,C008,323911.69,255890.24,68021.46,50530.22,17491.23,18,6997.26
FIN0000117,20250101,S001,B004,P009,R001,C009,317453.99,250788.65,66665.34,49522.82,17142.52,18,8942.78
FIN0000118,20250101,S001,B004,P009,R001,C010,247655.61,195647.93,52007.68,38634.27,13373.4,12,8562.57
FIN0000119,20250101,S001,B004,P009,R001,C011,221940.31,175332.84,46607.47,34622.69,11984.78,10,6511.24
FIN0000120,20250101,S001,B004,P009,R001,C012,579376.62,457707.53,121669.09,90382.75,31286.34,28,20325.86
FIN0000121,20250101,S001,B004,P009,R004,C001,1045951.29,826301.52,219649.77,163168.4,56481.37,50,22021.32
FIN0000122,20250101,S001,B004,P009,R004,C002,988664.4,781044.88,207619.52,154231.65,53387.88,47,19202.87
FIN0000123,20250101,S001,B004,P009,R004,C003,847953.9,669883.58,178070.32,132280.81,45789.51,44,21478.99
FIN0000124,20250101,S001,B004,P009,R004,C004,883206.32,697732.99,185473.33,137780.19,47693.14,54,23483.36
FIN0000125,20250101,S001,B004,P009,R004,C005,778981.37,615395.28,163586.09,121521.09,42064.99,34,26358.92
FIN0000126,20250101,S001,B004,P009,R004,C006,743536.93,587394.18,156142.76,115991.76,40150.99,36,14986.1
FIN0000127,20250101,S001,B004,P009,R004,C007,686261.28,542146.41,144114.87,107056.76,37058.11,30,21168.12
FIN0000128,20250101,S001,B004,P009,R004,C008,650682.46,514039.15,136643.32,101506.46,35136.85,34,15462.16
FIN0000129,20250101,S001,B004,P009,R004,C009,611484.51,483072.76,128411.75,95391.58,33020.16,36,19090.47
FIN0000130,20250101,S001,B004,P009,R004,C010,444282.6,350983.26,93299.35,69308.09,23991.26,24,11164.86
FIN0000131,20250101,S001,B004,P009,R004,C011,421352.67,332868.61,88484.06,65731.02,22753.04,25,10744.16
FIN0000132,20250101,S001,B004,P009,R004,C012,1123969.77,887936.12,236033.65,175339.28,60694.37,51,23711.61
FIN0000133,20250101,S001,B004,P009,R003,C001,723474.01,571544.47,151929.54,112861.95,39067.6,37,15647.07
FIN0000134,20250101,S001,B004,P009,R003,C002,666929.93,526874.65,140055.29,104041.07,36014.22,33,16616.04
FIN0000135,20250101,S001,B004,P009,R003,C003,550070.39,434555.61,115514.78,85810.98,29703.8,25,16453.11
FIN0000136,20250101,S001,B004,P009,R003,C004,547430.83,432470.36,114960.48,85399.21,29561.27,28,17560.05
FIN0000137,20250101,S001,B004,P009,R003,C005,516419.68,407971.54,108448.13,80561.47,27886.66,31,11238.52
FIN0000138,20250101,S001,B004,P009,R003,C006,486017.67,383953.96,102063.71,75818.76,26244.95,25,13037.53
FIN0000139,20250101,S001,B004,P009,R003,C007,453592.24,358337.87,95254.37,70760.39,24493.98,22,13894.15
FIN0000140,20250101,S001,B004,P009,R003,C008,393671.35,311000.37,82670.98,61412.73,21258.25,19,11975.67
FIN0000141,20250101,S001,B004,P009,R003,C009,394078.85,311322.29,82756.56,61476.3,21280.26,17,7250.31
FIN0000142,20250101,S001,B004,P009,R003,C010,299137.48,236318.61,62818.87,46665.45,16153.42,18,7857.76
FIN0000143,20250101,S001,B004,P009,R003,C011,279818.85,221056.89,58761.96,43651.74,15110.22,16,8511.87
FIN0000144,20250101,S001,B004,P009,R003,C012,730986.63,577479.44,153507.19,114033.91,39473.28,39,17889.01
FIN0000145,20250101,S001,B001,P002,R002,C001,1143609.26,760500.16,383109.1,214998.54,168110.56,54,142767.9
FIN0000146,20250101,S001,B001,P002,R002,C002,1058949.72,704201.56,354748.16,199082.55,155665.61,60,131348.32
FIN0000147,20250101,S001,B001,P002,R002,C003,909728.59,604969.51,304759.08,171028.97,133730.1,42,104236.95
FIN0000148,20250101,S001,B001,P002,R002,C004,814727.11,541793.53,272933.58,153168.7,119764.89,49,95712.84
FIN0000149,20250101,S001,B001,P002,R002,C005,762285.8,506920.06,255365.74,143309.73,112056.01,47,89337.07
FIN0000150,20250101,S001,B001,P002,R002,C006,691933.2,460135.58,231797.62,130083.44,101714.18,34,83343.96
FIN0000151,20250101,S001,B001,P002,R002,C007,680869.43,452778.17,228091.26,128003.45,100087.81,36,79707.16
FIN0000152,20250101,S001,B001,P002,R002,C008,604868.67,402237.67,202631.01,113715.31,88915.7,35,72881.37
FIN0000153,20250101,S001,B001,P002,R002,C009,592529.69,394032.25,198497.45,111395.58,87101.87,28,70490.42
FIN0000154,20250101,S001,B001,P002,R002,C010,455185.93,302698.64,152487.29,85574.95,66912.33,24,55726.34
FIN0000155,20250101,S001,B001,P002,R002,C011,398930.29,265288.64,133641.65,74998.89,58642.75,20,50999.97
FIN0000156,20250101,S001,B001,P002,R002,C012,1152712.73,766553.97,386158.77,216709.99,169448.77,64,144518.66
FIN0000157,20250101,S001,B001,P002,R001,C001,776019.36,516052.87,259966.48,145891.64,114074.85,42,91941.76
FIN0000158,20250101,S001,B001,P002,R001,C002,648802.41,431453.6,217348.81,121974.85,95373.95,39,74408.2
FIN0000159,20250101,S001,B001,P002,R001,C003,630669.4,419395.15,211274.25,118565.85,92708.4,36,78073.56
FIN0000160,20250101,S001,B001,P002,R001,C004,545326.41,362642.06,182684.35,102521.37,80162.98,31,61704.91
FIN0000161,20250101,S001,B001,P002,R001,C005,528753.5,351621.08,177132.42,99405.66,77726.76,27,60640.67
FIN0000162,20250101,S001,B001,P002,R001,C006,495923.72,329789.27,166134.45,93233.66,72900.79,29,57673.75
FIN0000163,20250101,S001,B001,P002,R001,C007,456751.92,303740.02,153011.89,85869.36,67142.53,23,54019.73
FIN0000164,20250101,S001,B001,P002,R001,C008,434996.02,289272.36,145723.67,81779.25,63944.42,20,50611.61
FIN0000165,20250101,S001,B001,P002,R001,C009,397840.45,264563.9,133276.55,74794.0,58482.55,17,50597.75
FIN0000166,20250101,S001,B001,P002,R001,C010,296209.46,196979.29,99230.17,55687.38,43542.79,15,34406.6
FIN0000167,20250101,S001,B001,P002,R001,C011,278359.29,185108.93,93250.36,52331.55,40918.82,12,33774.67
FIN0000168,20250101,S001,B001,P002,R001,C012,801075.7,532715.34,268360.36,150602.23,117758.13,39,93154.05
FIN0000169,20250101,S001,B001,P002,R004,C001,1402212.75,932471.48,469741.27,263616.0,206125.27,79,158845.63
FIN0000170,20250101,S001,B001,P002,R004,C002,1298372.98,863418.03,434954.95,244094.12,190860.83,78,161094.83
FIN0000171,20250101,S001,B001,P002,R004,C003,1160490.23,771726.01,388764.23,218172.16,170592.06,64,143132.34
FIN0000172,20250101,S001,B001,P002,R004,C004,1131070.63,752161.97,378908.66,212641.28,166267.38,61,138198.54
FIN0000173,20250101,S001,B001,P002,R004,C005,1032730.32,686765.66,345964.66,194153.3,151811.36,56,127550.49
FIN0000174,20250101,S001,B001,P002,R004,C006,900783.8,599021.23,301762.57,169347.35,132415.22,52,104346.28
FIN0000175,20250101,S001,B001,P002,R004,C007,842174.11,560045.78,282128.33,158328.73,123799.59,40,94521.66
FIN0000176,20250101,S001,B001,P002,R004,C008,830345.46,552179.73,278165.73,156104.95,122060.78,45,93909.03
FIN0000177,20250101,S001,B001,P002,R004,C009,753552.12,501112.16,252439.96,141667.8,110772.16,37,86938.22
FIN0000178,20250101,S001,B001,P002,R004,C010,583328.62,387913.54,195415.09,109665.78,85749.31,28,65605.23
FIN0000179,20250101,S001,B001,P002,R004,C011,540118.53,359178.82,180939.71,101542.28,79397.42,32,63745.15
FIN0000180,20250101,S001,B001,P002,R004,C012,1542854.73,1025998.4,516856.33,290056.69,226799.65,76,193247.07
FIN0000181,20250101,S001,B001,P002,R003,C001,898415.66,597446.42,300969.25,168902.14,132067.1,48,103544.36
FIN0000182,20250101,S001,B001,P002,R003,C002,883542.68,587555.89,295986.8,166106.02,129880.77,54,102785.96
FIN0000183,20250101,S001,B001,P002,R003,C003,759386.7,504992.16,254394.55,142764.7,111629.85,46,94172.09
FIN0000184,20250101,S001,B001,P002,R003,C004,724340.77,481686.61,242654.16,136176.06,106478.09,32,80973.94
FIN0000185,20250101,S001,B001,P002,R003,C005,638200.23,424403.15,213797.08,119981.64,93815.43,33,73619.24
FIN0000186,20250101,S001,B001,P002,R003,C006,612621.5,407393.3,205228.2,115172.84,90055.36,30,68203.43
FIN0000187,20250101,S001,B001,P002,R003,C007,551736.04,366904.47,184831.58,103726.38,81105.2,28,61450.68
FIN0000188,20250101,S001,B001,P002,R003,C008,521769.79,346976.91,174792.88,98092.72,76700.16,31,65207.41
FIN0000189,20250101,S001,B001,P002,R003,C009,500860.02,333071.91,167788.11,94161.68,73626.42,27,59993.33
FIN0000190,20250101,S001,B001,P002,R003,C010,393811.56,261884.69,131926.87,74036.57,57890.3,18,49557.51
FIN0000191,20250101,S001,B001,P002,R003,C011,356669.84,237185.44,119484.4,67053.93,52430.47,21,41234.24
FIN0000192,20250101,S001,B001,P002,R003,C012,972370.85,646626.62,325744.24,182805.72,142938.52,54,108693.75
FIN0000193,20250101,S001,B001,P001,R002,C001,709588.35,436396.84,273191.52,143336.85,129854.67,40,110147.77
FIN0000194,20250101,S001,B001,P001,R002,C002,631573.29,388417.57,243155.72,127577.8,115577.91,31,95951.29
FIN0000195,20250101,S001,B001,P001,R002,C003,584411.84,359413.28,224998.56,118051.19,106947.37,29,94855.79
FIN0000196,20250101,S001,B001,P001,R002,C004,553147.44,340185.68,212961.76,111735.78,101225.98,32,83571.45
FIN0000197,20250101,S001,B001,P001,R002,C005,480761.34,295668.22,185093.12,97113.79,87979.33,28,77577.56
FIN0000198,20250101,S001,B001,P001,R002,C006,456185.55,280554.11,175631.44,92149.48,83481.96,24,69914.93
FIN0000199,20250101,S001,B001,P001,R002,C007,434855.88,267436.37,167419.51,87840.89,79578.63,23,66927.91
FIN0000200,20250101,S001,B001,P001,R002,C008,405386.27,249312.56,156073.72,81888.03,74185.69,24,64816.48
FIN0000201,20250101,S001,B001,P001,R002,C009,366395.84,225333.44,141062.4,74011.96,67050.44,18,57494.85
FIN0000202,20250101,S001,B001,P001,R002,C010,294851.03,181333.38,113517.65,59559.91,53957.74,17,47583.29
FIN0000203,20250101,S001,B001,P001,R002,C011,251466.26,154651.75,96814.51,50796.18,46018.33,11,40478.6
FIN0000204,20250101,S001,B001,P001,R002,C012,729418.58,448592.43,280826.15,147342.55,133483.6,35,118847.97
FIN0000205,20250101,S001,B001,P001,R001,C001,454158.69,279307.59,174851.09,91740.05,83111.04,23,67517.31
FIN0000206,20250101,S001,B001,P001,R001,C002,409764.91,252005.42,157759.49,82772.51,74986.98,21,62558.82
FIN0000207,20250101,S001,B001,P001,R001,C003,362833.96,223142.88,139691.07,73292.46,66398.61,19,55952.1
FIN0000208,20250101,S001,B001,P001,R001,C004,350539.46,215581.77,134957.69,70808.97,64148.72,16,55628.94
FIN0000209,20250101,S001,B001,P001,R001,C005,314852.43,193634.25,121218.19,63600.19,57618.0,15,48984.34
FIN0000210,20250101,S001,B001,P001,R001,C006,301066.47,185155.88,115910.59,60815.43,55095.16,13,48648.83
FIN0000211,20250101,S001,B001,P001,R001,C007,290373.48,178579.69,111793.79,58655.44,53138.35,15,45276.85
FIN0000212,20250101,S001,B001,P001,R001,C008,275095.63,169183.81,105911.82,55569.32,50342.5,17,40532.42
FIN0000213,20250101,S001,B001,P001,R001,C009,234008.22,143915.05,90093.16,47269.66,42823.5,12,35295.56
FIN0000214,20250101,S001,B001,P001,R001,C010,193053.29,118727.77,74325.52,38996.76,35328.75,11,31732.71
FIN0000215,20250101,S001,B001,P001,R001,C011,179886.94,110630.47,69256.47,36337.16,32919.31,8,27246.54
FIN0000216,20250101,S001,B001,P001,R001,C012,502995.74,309342.38,193653.36,101605.14,92048.22,22,78811.0
FIN0000217,20250101,S001,B001,P001,R004,C001,896658.6,551445.04,345213.56,181125.04,164088.52,53,145343.96
FIN0000218,20250101,S001,B001,P001,R004,C002,858596.16,528036.64,330559.52,173436.42,157123.1,45,137509.8
FIN0000219,20250101,S001,B001,P001,R004,C003,767986.14,472311.48,295674.67,155133.2,140541.46,39,114046.27
FIN0000220,20250101,S001,B001,P001,R004,C004,660267.0,406064.2,254202.79,133373.93,120828.86,36,102585.05
FIN0000221,20250101,S001,B001,P001,R004,C005,668502.01,411128.74,257373.27,135037.41,122335.87,35,107712.85
FIN0000222,20250101,S001,B001,P001,R004,C006,592532.87,364407.72,228125.16,119691.64,108433.52,27,95903.28
FIN0000223,20250101,S001,B001,P001,R004,C007,549099.13,337695.96,211403.16,110918.02,100485.14,29,84239.88
FIN0000224,20250101,S001,B001,P001,R004,C008,489403.71,300983.28,188420.43,98859.55,89560.88,28,73126.22
FIN0000225,20250101,S001,B001,P001,R004,C009,457906.94,281612.77,176294.17,92497.2,83796.97,26,72277.55
FIN0000226,20250101,S001,B001,P001,R004,C010,373183.41,229507.8,143675.61,75383.05,68292.56,22,58031.26
FIN0000227,20250101,S001,B001,P001,R004,C011,327731.65,201554.96,126176.68,66201.79,59974.89,20,52995.36
FIN0000228,20250101,S001,B001,P001,R004,C012,915164.77,562826.33,352338.44,184863.28,167475.15,44,137973.14
FIN0000229,20250101,S001,B001,P001,R003,C001,555587.28,341686.18,213901.1,112228.63,101672.47,29,88913.31
FIN0000230,20250101,S001,B001,P001,R003,C002,519125.59,319262.24,199863.35,104863.37,94999.98,32,81219.6
FIN0000231,20250101,S001,B001,P001,R003,C003,467058.22,287240.8,179817.41,94345.76,85471.65,24,76628.61
FIN0000232,20250101,S001,B001,P001,R003,C004,454447.98,279485.51,174962.47,91798.49,83163.98,21,72206.94
FIN0000233,20250101,S001,B001,P001,R003,C005,392859.23,241608.43,151250.8,79357.56,71893.24,21,58810.65
FIN0000234,20250101,S001,B001,P001,R003,C006,375226.19,230764.11,144462.08,75795.69,68666.39,17,58861.7
FIN0000235,20250101,S001,B001,P001,R003,C007,362439.28,222900.16,139539.12,73212.74,66326.39,20,58521.0
FIN0000236,20250101,S001,B001,P001,R003,C008,349531.92,214962.13,134569.79,70605.45,63964.34,19,51910.64
