order_key,order_id,order_date,customer_id,product_id,category,subcategory,region,channel,device,customer_segment,customer_home_region,status,quantity,unit_price,discount_amount,shipping_fee,tax_amount,gmv,net_revenue,refund_amount,contribution_margin,payment_method,is_first_order,order_month,completed_order_flag,refund_order_flag,cancel_order_flag
30,O00000030,2025-01-01,U45264,SKU_1030,Home,Decor,West,Organic Search,Mobile,Returning,West,Completed,1,90.66,16.18,0.0,0.0,90.66,74.48,0.0,31.81,Card,0,2025-01,1,0,0
31,O00000031,2025-01-01,U13983,SKU_1011,Beauty,Makeup,Midwest,Affiliate,Mobile,Returning,Midwest,Completed,1,35.96,0.26,0.0,0.0,35.96,35.7,0.0,11.1,Card,0,2025-01,1,0,0
32,O00000032,2025-01-01,U71035,SKU_1035,Sports,Outdoor,Northeast,Paid Search,Desktop,Returning,Northeast,Completed,1,83.01,10.78,0.0,0.0,83.01,72.23,0.0,28.39,Card,0,2025-01,1,0,0
33,O00000033,2025-01-01,U27515,SKU_1007,Apparel,Accessories,West,Email,Desktop,Returning,West,Completed,1,49.81,4.98,0.0,0.0,49.81,44.83,0.0,17.08,Card,0,2025-01,1,0,0
34,O00000034,2025-01-02,U99730,SKU_1023,Electronics,Accessories,South,Organic Search,Desktop,Returning,South,Completed,1,262.59,35.35,0.0,0.0,262.59,227.24,0.0,93.17,Card,0,2025-01,1,0,0
35,O00000035,2025-01-02,U64519,SKU_1010,Beauty,Skincare,West,Direct,Desktop,Returning,West,Completed,2,37.2,5.61,0.0,0.0,74.4,68.79,0.0,23.06,Card,0,2025-01,1,0,0
36,O00000036,2025-01-02,U95072,SKU_1009,Beauty,Skincare,International,Organic Search,Desktop,Returning,International,Completed,2,46.75,6.9,0.0,0.0,93.5,86.6,0.0,36.3,Card,0,2025-01,1,0,0
37,O00000037,2025-01-02,U14443,SKU_1033,Sports,Training,Northeast,Organic Search,Mobile,Returning,Northeast,Completed,1,78.25,2.63,0.0,0.0,78.25,75.62,0.0,26.2,Card,0,2025-01,1,0,0
38,O00000038,2025-01-02,U15548,SKU_1025,Home,Kitchen,Northeast,Email,Desktop,Returning,Northeast,Completed,1,87.29,9.86,0.0,0.0,87.29,77.43,0.0,34.34,Card,0,2025-01,1,0,0
39,O00000039,2025-01-02,U31247,SKU_1021,Electronics,Wearables,West,Organic Search,Mobile,Returning,West,Completed,1,231.2,24.25,0.0,0.0,231.2,206.95,0.0,79.69,Card,0,2025-01,1,0,0
40,O00000040,2025-01-02,U97315,SKU_1035,Sports,Outdoor,South,Paid Search,Desktop,Returning,South,Completed,1,83.01,5.65,0.0,0.0,83.01,77.36,0.0,30.4,Card,0,2025-01,1,0,0
41,O00000041,2025-01-02,U48217,SKU_1035,Sports,Outdoor,International,Organic Search,Desktop,Returning,International,Completed,1,83.01,8.66,0.0,0.0,83.01,74.35,0.0,29.22,Card,0,2025-01,1,0,0
42,O00000042,2025-01-02,U14198,SKU_1039,Sports,Team Sports,Northeast,Email,Mobile,Returning,Northeast,Completed,1,89.83,13.55,0.0,0.0,89.83,76.28,0.0,33.23,Card,0,2025-01,1,0,0
43,O00000043,2025-01-02,U79119,SKU_1013,Beauty,Fragrance,International,Paid Search,Mobile,Returning,International,Completed,1,50.45,9.25,0.0,0.0,50.45,41.2,0.0,11.22,Card,0,2025-01,1,0,0
44,O00000044,2025-01-02,U50054,SKU_1032,Home,Storage,West,Organic Search,Desktop,Returning,West,Completed,1,111.87,1.77,0.0,0.0,111.87,110.1,0.0,25.1,Card,0,2025-01,1,0,0
45,O00000045,2025-01-02,U72475,SKU_1005,Apparel,Basics,Midwest,Direct,Desktop,Returning,Midwest,Completed,2,59.14,12.46,0.0,0.0,118.28,105.82,0.0,45.27,Card,0,2025-01,1,0,0
46,O00000046,2025-01-02,U34517,SKU_1010,Beauty,Skincare,Midwest,Referral,Desktop,Returning,Midwest,Completed,1,37.2,3.44,0.0,0.0,37.2,33.76,0.0,11.32,Card,0,2025-01,1,0,0
47,O00000047,2025-01-02,U92155,SKU_1015,Beauty,Haircare,Northeast,Email,Mobile,Returning,Northeast,Completed,1,46.32,5.57,0.0,0.0,46.32,40.75,0.0,14.43,Card,0,2025-01,1,0,0
48,O00000048,2025-01-02,U93041,SKU_1020,Electronics,Smart Home,South,Email,Desktop,Returning,South,Completed,1,218.82,22.99,0.0,0.0,218.82,195.83,0.0,88.32,Card,0,2025-01,1,0,0
49,O00000049,2025-01-02,U66185,SKU_1029,Home,Decor,Midwest,Organic Search,Desktop,Returning,Midwest,Completed,1,98.15,15.64,0.0,0.0,98.15,82.51,0.0,30.48,Card,0,2025-01,1,0,0
50,O00000050,2025-01-02,U29523,SKU_1018,Electronics,Audio,West,Email,Desktop,Returning,West,Completed,1,258.83,15.81,0.0,0.0,258.83,243.02,0.0,110.42,Card,0,2025-01,1,0,0
51,O00000051,2025-01-02,U18130,SKU_1018,Electronics,Audio,South,Paid Search,Desktop,Returning,South,Completed,2,258.83,90.37,0.0,0.0,517.66,427.29,0.0,194.15,Card,0,2025-01,1,0,0
52,O00000052,2025-01-02,U34094,SKU_1023,Electronics,Accessories,International,Direct,Desktop,Returning,International,Completed,1,262.59,2.84,0.0,0.0,262.59,259.75,0.0,106.5,Card,0,2025-01,1,0,0
53,O00000053,2025-01-02,U23399,SKU_1025,Home,Kitchen,West,Organic Search,Mobile,Returning,West,Completed,1,87.29,11.32,0.0,0.0,87.29,75.97,0.0,33.69,Card,0,2025-01,1,0,0
54,O00000054,2025-01-02,U26001,SKU_1028,Home,Bedding,Northeast,Paid Search,Tablet,Returning,Northeast,Completed,1,83.76,3.7,0.0,0.0,83.76,80.06,0.0,22.04,Card,0,2025-01,1,0,0
55,O00000055,2025-01-02,U11290,SKU_1003,Apparel,Footwear,West,Affiliate,Desktop,Returning,West,Completed,2,71.09,17.93,0.0,0.0,142.18,124.25,0.0,54.8,Card,0,2025-01,1,0,0
56,O00000056,2025-01-02,U13257,SKU_1008,Apparel,Accessories,Northeast,Paid Search,Mobile,Returning,Northeast,Completed,1,59.11,4.24,0.0,0.0,59.11,54.87,0.0,18.11,Card,0,2025-01,1,0,0
57,O00000057,2025-01-02,U27705,SKU_1012,Beauty,Makeup,South,Organic Search,Desktop,Returning,South,Completed,1,30.42,2.0,0.0,0.0,30.42,28.42,0.0,9.77,Card,0,2025-01,1,0,0
58,O00000058,2025-01-02,U22681,SKU_1011,Beauty,Makeup,International,Paid Social,Desktop,Returning,International,Completed,1,35.96,2.41,0.0,0.0,35.96,33.55,0.0,10.43,Card,0,2025-01,1,0,0
59,O00000059,2025-01-02,U10633,SKU_1006,Apparel,Basics,South,Organic Search,Desktop,Returning,South,Completed,2,56.56,0.0,0.0,0.0,113.12,113.12,0.0,45.05,Card,0,2025-01,1,0,0
60,O00000060,2025-01-02,U65746,SKU_1042,Books,Business,West,Direct,Mobile,Returning,West,Completed,1,25.86,0.0,0.0,0.0,25.86,25.86,0.0,13.95,Card,0,2025-01,1,0,0
61,O00000061,2025-01-02,U81918,SKU_1006,Apparel,Basics,Northeast,Email,Mobile,Returning,Northeast,Completed,1,56.56,7.75,0.0,0.0,56.56,48.81,0.0,19.44,Card,0,2025-01,1,0,0
62,O00000062,2025-01-02,U84934,SKU_1015,Beauty,Haircare,Midwest,Organic Search,Mobile,Returning,Midwest,Completed,2,46.32,1.39,0.0,0.0,92.64,91.25,0.0,32.31,Card,0,2025-01,1,0,0
63,O00000063,2025-01-02,U32634,SKU_1005,Apparel,Basics,Northeast,Email,Tablet,Returning,Northeast,Completed,1,59.14,9.7,0.0,0.0,59.14,49.44,0.0,21.15,Card,0,2025-01,1,0,0
64,O00000064,2025-01-02,U37458,SKU_1030,Home,Decor,South,Organic Search,Desktop,Returning,South,Completed,1,90.66,6.41,0.0,0.0,90.66,84.25,0.0,35.99,Card,0,2025-01,1,0,0
65,O00000065,2025-01-02,U56345,SKU_1044,Books,Fiction,West,Organic Search,Desktop,Returning,West,Completed,1,26.55,2.68,0.0,0.0,26.55,23.87,0.0,13.09,Card,0,2025-01,1,0,0
66,O00000066,2025-01-02,U32325,SKU_1029,Home,Decor,West,Referral,Mobile,Returning,West,Completed,1,98.15,4.76,0.0,0.0,98.15,93.39,0.0,34.5,Card,0,2025-01,1,0,0
67,O00000067,2025-01-02,U94571,SKU_1036,Sports,Outdoor,South,Paid Search,Desktop,Returning,South,Completed,1,68.56,6.0,0.0,0.0,68.56,62.56,0.0,21.73,Card,0,2025-01,1,0,0
68,O00000068,2025-01-02,U85946,SKU_1007,Apparel,Accessories,Midwest,Email,Desktop,Returning,Midwest,Completed,1,49.81,7.52,0.0,0.0,49.81,42.29,0.0,16.12,Card,0,2025-01,1,0,0
69,O00000069,2025-01-02,U37157,SKU_1014,Beauty,Fragrance,South,Referral,Desktop,Returning,South,Completed,2,35.24,8.16,0.0,0.0,70.48,62.32,0.0,37.33,Card,0,2025-01,1,0,0
70,O00000070,2025-01-02,U14974,SKU_1023,Electronics,Accessories,Midwest,Organic Search,Mobile,Returning,Midwest,Completed,2,262.59,32.25,0.0,0.0,525.18,492.93,0.0,202.11,Card,0,2025-01,1,0,0
71,O00000071,2025-01-02,U50228,SKU_1005,Apparel,Basics,South,Organic Search,Tablet,Returning,South,Completed,1,59.14,1.66,0.0,0.0,59.14,57.48,0.0,24.59,Card,0,2025-01,1,0,0
72,O00000072,2025-01-02,U29565,SKU_1025,Home,Kitchen,South,Paid Search,Mobile,Returning,South,Completed,1,87.29,3.51,0.0,0.0,87.29,83.78,0.0,37.16,Card,0,2025-01,1,0,0
73,O00000073,2025-01-02,U98104,SKU_1034,Sports,Training,Northeast,Direct,Desktop,Returning,Northeast,Completed,1,82.03,8.27,0.0,0.0,82.03,73.76,0.0,36.79,Card,0,2025-01,1,0,0
74,O00000074,2025-01-02,U92135,SKU_1005,Apparel,Basics,South,Email,Mobile,Returning,South,Completed,1,59.14,7.88,0.0,0.0,59.14,51.26,0.0,21.93,Card,0,2025-01,1,0,0
75,O00000075,2025-01-02,U99859,SKU_1013,Beauty,Fragrance,International,Organic Search,Desktop,Returning,International,Completed,1,50.45,2.15,0.0,0.0,50.45,48.3,0.0,13.15,Card,0,2025-01,1,0,0
76,O00000076,2025-01-02,U39776,SKU_1001,Apparel,Outerwear,West,Affiliate,Mobile,Returning,West,Completed,1,55.32,4.13,0.0,0.0,55.32,51.19,0.0,17.8,Card,0,2025-01,1,0,0
77,O00000077,2025-01-02,U12631,SKU_1003,Apparel,Footwear,Northeast,Paid Search,Desktop,Returning,Northeast,Completed,1,71.09,0.43,0.0,0.0,71.09,70.66,0.0,31.16,Card,0,2025-01,1,0,0
78,O00000078,2025-01-03,U56862,SKU_1011,Beauty,Makeup,South,Direct,Desktop,Returning,South,Completed,1,35.96,3.59,0.0,0.0,35.96,32.37,0.0,10.06,Card,0,2025-01,1,0,0
79,O00000079,2025-01-03,U64728,SKU_1015,Beauty,Haircare,West,Paid Search,Desktop,Returning,West,Completed,1,46.32,6.84,0.0,0.0,46.32,39.48,0.0,13.98,Card,0,2025-01,1,0,0
80,O00000080,2025-01-03,U18330,SKU_1004,Apparel,Footwear,Northeast,Paid Social,Mobile,Returning,Northeast,Completed,1,58.25,6.69,0.0,0.0,58.25,51.56,0.0,22.81,Card,0,2025-01,1,0,0
81,O00000081,2025-01-03,U87352,SKU_1032,Home,Storage,International,Email,Mobile,Returning,International,Completed,1,111.87,14.43,0.0,0.0,111.87,97.44,0.0,22.22,Card,0,2025-01,1,0,0
82,O00000082,2025-01-03,U62562,SKU_1016,Beauty,Haircare,West,Paid Search,Mobile,Returning,West,Completed,2,27.61,0.33,0.0,0.0,55.22,54.89,0.0,26.57,Card,0,2025-01,1,0,0
83,O00000083,2025-01-03,U65207,SKU_1026,Home,Kitchen,Midwest,Direct,Desktop,Returning,Midwest,Completed,1,95.4,12.96,0.0,0.0,95.4,82.44,0.0,43.86,Card,0,2025-01,1,0,0
84,O00000084,2025-01-03,U20908,SKU_1039,Sports,Team Sports,International,Organic Search,Mobile,Returning,International,Completed,1,89.83,2.96,0.0,0.0,89.83,86.87,0.0,37.85,Card,0,2025-01,1,0,0
85,O00000085,2025-01-03,U77609,SKU_1029,Home,Decor,South,Email,Tablet,Returning,South,Completed,1,98.15,12.29,0.0,0.0,98.15,85.86,0.0,31.72,Card,0,2025-01,1,0,0
86,O00000086,2025-01-03,U26520,SKU_1046,Books,Children,South,Paid Search,Desktop,Returning,South,Completed,2,27.66,0.33,0.0,0.0,55.32,54.99,0.0,22.97,Card,0,2025-01,1,0,0
87,O00000087,2025-01-03,U29284,SKU_1007,Apparel,Accessories,West,Direct,Mobile,Returning,West,Completed,2,49.81,5.83,0.0,0.0,99.62,93.79,0.0,35.74,Card,0,2025-01,1,0,0
88,O00000088,2025-01-03,U26620,SKU_1026,Home,Kitchen,Midwest,Direct,Desktop,Returning,Midwest,Completed,2,95.4,1.94,0.0,0.0,190.8,188.86,0.0,100.47,Card,0,2025-01,1,0,0
89,O00000089,2025-01-03,U80541,SKU_1023,Electronics,Accessories,West,Direct,Desktop,Returning,West,Completed,1,262.59,17.44,0.0,0.0,262.59,245.15,0.0,100.52,Card,0,2025-01,1,0,0
90,O00000090,2025-01-03,U93063,SKU_1027,Home,Bedding,West,Email,Desktop,Returning,West,Completed,1,102.06,11.46,0.0,0.0,102.06,90.6,0.0,25.63,Card,0,2025-01,1,0,0
91,O00000091,2025-01-03,U86889,SKU_1009,Beauty,Skincare,West,Paid Search,Desktop,Returning,West,Completed,1,46.75,0.34,0.0,0.0,46.75,46.41,0.0,19.45,Card,0,2025-01,1,0,0
92,O00000092,2025-01-03,U18165,SKU_1001,Apparel,Outerwear,Northeast,Referral,Desktop,Returning,Northeast,Completed,1,55.32,0.0,0.0,0.0,55.32,55.32,0.0,19.24,Card,0,2025-01,1,0,0
93,O00000093,2025-01-03,U65765,SKU_1001,Apparel,Outerwear,Northeast,Direct,Desktop,Returning,Northeast,Completed,1,55.32,2.18,0.0,0.0,55.32,53.14,0.0,18.48,Card,0,2025-01,1,0,0
94,O00000094,2025-01-03,U25320,SKU_1005,Apparel,Basics,South,Organic Search,Mobile,Returning,South,Completed,2,59.14,7.4,0.0,0.0,118.28,110.88,0.0,47.44,Card,0,2025-01,1,0,0
95,O00000095,2025-01-03,U71505,SKU_1016,Beauty,Haircare,West,Direct,Desktop,Returning,West,Completed,1,27.61,2.62,0.0,0.0,27.61,24.99,0.0,12.1,Card,0,2025-01,1,0,0
96,O00000096,2025-01-03,U50057,SKU_1011,Beauty,Makeup,South,Paid Search,Desktop,Returning,South,Completed,1,35.96,3.44,0.0,0.0,35.96,32.52,0.0,10.11,Card,0,2025-01,1,0,0
97,O00000097,2025-01-03,U58002,SKU_1035,Sports,Outdoor,South,Referral,Desktop,Returning,South,Completed,1,83.01,3.28,0.0,0.0,83.01,79.73,0.0,31.33,Card,0,2025-01,1,0,0
98,O00000098,2025-01-03,U72608,SKU_1028,Home,Bedding,Midwest,Paid Social,Desktop,Returning,Midwest,Completed,1,83.76,5.75,0.0,0.0,83.76,78.01,0.0,21.48,Card,0,2025-01,1,0,0
99,O00000099,2025-01-04,U59771,SKU_1016,Beauty,Haircare,Northeast,Organic Search,Desktop,Returning,Northeast,Completed,1,27.61,0.44,0.0,0.0,27.61,27.17,0.0,13.15,Card,0,2025-01,1,0,0
100,O00000100,2025-01-04,U17973,SKU_1021,Electronics,Wearables,Midwest,Direct,Desktop,Returning,Midwest,Completed,1,231.2,23.29,0.0,0.0,231.2,207.91,0.0,80.06,Card,0,2025-01,1,0,0
101,O00000101,2025-01-04,U61758,SKU_1011,Beauty,Makeup,Northeast,Email,Desktop,Returning,Northeast,Completed,1,35.96,7.54,0.0,0.0,35.96,28.42,0.0,8.83,Card,0,2025-01,1,0,0
102,O00000102,2025-01-04,U88887,SKU_1011,Beauty,Makeup,Northeast,Organic Search,Desktop,Returning,Northeast,Completed,1,35.96,4.65,0.0,0.0,35.96,31.31,0.0,9.73,Card,0,2025-01,1,0,0
103,O00000103,2025-01-04,U83507,SKU_1001,Apparel,Outerwear,International,Email,Mobile,Returning,International,Refunded,1,55.32,11.35,0.0,0.0,55.32,0.0,43.97,0.0,Card,0,2025-01,0,1,0
104,O00000104,2025-01-04,U19278,SKU_1013,Beauty,Fragrance,Northeast,Organic Search,Mobile,Returning,Northeast,Completed,1,50.45,5.22,0.0,0.0,50.45,45.23,0.0,12.32,Card,0,2025-01,1,0,0
105,O00000105,2025-01-04,U52539,SKU_1031,Home,Storage,International,Email,Desktop,Returning,International,Completed,1,87.53,6.91,0.0,0.0,87.53,80.62,0.0,35.39,Card,0,2025-01,1,0,0
106,O00000106,2025-01-04,U55989,SKU_1026,Home,Kitchen,West,Organic Search,Mobile,Returning,West,Completed,1,95.4,10.57,0.0,0.0,95.4,84.83,0.0,45.13,Card,0,2025-01,1,0,0
107,O00000107,2025-01-04,U57643,SKU_1013,Beauty,Fragrance,West,Email,Desktop,Returning,West,Completed,1,50.45,8.59,0.0,0.0,50.45,41.86,0.0,11.4,Card,0,2025-01,1,0,0
108,O00000108,2025-01-04,U66401,SKU_1026,Home,Kitchen,South,Paid Search,Desktop,Returning,South,Completed,1,95.4,0.83,0.0,0.0,95.4,94.57,0.0,50.31,Card,0,2025-01,1,0,0
109,O00000109,2025-01-04,U90345,SKU_1026,Home,Kitchen,International,Referral,Desktop,Returning,International,Completed,1,95.4,12.47,0.0,0.0,95.4,82.93,0.0,44.12,Card,0,2025-01,1,0,0
110,O00000110,2025-01-04,U97458,SKU_1029,Home,Decor,Northeast,Email,Desktop,Returning,Northeast,Completed,1,98.15,10.26,0.0,0.0,98.15,87.89,0.0,32.47,Card,0,2025-01,1,0,0
111,O00000111,2025-01-04,U19824,SKU_1001,Apparel,Outerwear,Northeast,Email,Mobile,Returning,Northeast,Completed,3,55.32,29.34,0.0,0.0,165.96,136.62,0.0,47.51,Card,0,2025-01,1,0,0
112,O00000112,2025-01-04,U74425,SKU_1025,Home,Kitchen,Northeast,Organic Search,Mobile,Returning,Northeast,Completed,1,87.29,5.91,0.0,0.0,87.29,81.38,0.0,36.09,Card,0,2025-01,1,0,0
113,O00000113,2025-01-04,U50399,SKU_1030,Home,Decor,Midwest,Email,Desktop,Returning,Midwest,Completed,3,90.66,38.74,0.0,0.0,271.98,233.24,0.0,99.63,Card,0,2025-01,1,0,0
114,O00000114,2025-01-04,U52627,SKU_1021,Electronics,Wearables,Midwest,Direct,Desktop,Returning,Midwest,Completed,2,231.2,9.74,0.0,0.0,462.4,452.66,0.0,174.3,Card,0,2025-01,1,0,0
115,O00000115,2025-01-04,U97142,SKU_1002,Apparel,Outerwear,West,Organic Search,Desktop,Returning,West,Completed,1,68.86,3.13,0.0,0.0,68.86,65.73,0.0,20.89,Card,0,2025-01,1,0,0
116,O00000116,2025-01-04,U69543,SKU_1006,Apparel,Basics,West,Paid Search,Desktop,Returning,West,Completed,1,56.56,4.75,0.0,0.0,56.56,51.81,0.0,20.63,Card,0,2025-01,1,0,0
117,O00000117,2025-01-04,U34787,SKU_1010,Beauty,Skincare,West,Organic Search,Mobile,Returning,West,Completed,2,37.2,5.9,0.0,0.0,74.4,68.5,0.0,22.96,Card,0,2025-01,1,0,0
118,O00000118,2025-01-04,U57816,SKU_1002,Apparel,Outerwear,International,Paid Social,Mobile,Returning,International,Completed,1,68.86,15.26,0.0,0.0,68.86,53.6,0.0,17.03,Card,0,2025-01,1,0,0
119,O00000119,2025-01-04,U78907,SKU_1005,Apparel,Basics,South,Paid Social,Mobile,Returning,South,Completed,1,59.14,7.23,0.0,0.0,59.14,51.91,0.0,22.21,Card,0,2025-01,1,0,0
120,O00000120,2025-01-04,U91194,SKU_1012,Beauty,Makeup,International,Organic Search,Desktop,Returning,International,Completed,1,30.42,0.79,0.0,0.0,30.42,29.63,0.0,10.19,Card,0,2025-01,1,0,0
121,O00000121,2025-01-04,U51940,SKU_1004,Apparel,Footwear,West,Paid Social,Mobile,Returning,West,Completed,1,58.25,3.53,0.0,0.0,58.25,54.72,0.0,24.21,Card,0,2025-01,1,0,0
122,O00000122,2025-01-04,U92885,SKU_1015,Beauty,Haircare,South,Paid Search,Desktop,Returning,South,Completed,1,46.32,2.12,0.0,0.0,46.32,44.2,0.0,15.65,Card,0,2025-01,1,0,0
123,O00000123,2025-01-04,U49579,SKU_1018,Electronics,Audio,Northeast,Organic Search,Tablet,Returning,Northeast,Completed,1,258.83,22.83,0.0,0.0,258.83,236.0,0.0,107.23,Card,0,2025-01,1,0,0
124,O00000124,2025-01-04,U71440,SKU_1020,Electronics,Smart Home,International,Paid Search,Mobile,Returning,International,Completed,1,218.82,24.48,0.0,0.0,218.82,194.34,0.0,87.64,Card,0,2025-01,1,0,0
125,O00000125,2025-01-05,U52496,SKU_1011,Beauty,Makeup,Northeast,Referral,Desktop,Returning,Northeast,Completed,1,35.96,2.37,0.0,0.0,35.96,33.59,0.0,10.44,Card,0,2025-01,1,0,0
126,O00000126,2025-01-05,U62440,SKU_1014,Beauty,Fragrance,South,Paid Social,Desktop,Returning,South,Completed,1,35.24,4.74,0.0,0.0,35.24,30.5,0.0,18.27,Card,0,2025-01,1,0,0
