session_key,session_date,channel,device,region,session_month,sessions,visitors,add_to_cart,checkout_starts
72,2025-01-01,Paid Social,Tablet,South,2025-01,2,2,0,0
73,2025-01-01,Paid Social,Tablet,West,2025-01,1,1,0,0
74,2025-01-01,Referral,Desktop,International,2025-01,1,1,0,0
75,2025-01-01,Referral,Desktop,West,2025-01,2,2,1,1
76,2025-01-01,Referral,Mobile,International,2025-01,3,3,1,0
77,2025-01-01,Referral,Mobile,Midwest,2025-01,2,2,0,0
78,2025-01-01,Referral,Mobile,West,2025-01,4,4,2,1
79,2025-01-01,Referral,Tablet,Northeast,2025-01,1,1,0,0
80,2025-01-01,Referral,Tablet,West,2025-01,1,1,0,0
81,2025-01-02,Affiliate,Desktop,Northeast,2025-01,1,1,0,0
82,2025-01-02,Affiliate,Desktop,South,2025-01,1,1,0,0
83,2025-01-02,Affiliate,Desktop,West,2025-01,3,3,2,2
84,2025-01-02,Affiliate,Mobile,International,2025-01,1,1,1,0
85,2025-01-02,Affiliate,Mobile,Midwest,2025-01,4,4,1,0
86,2025-01-02,Affiliate,Mobile,Northeast,2025-01,4,4,0,0
87,2025-01-02,Affiliate,Mobile,South,2025-01,4,4,2,1
88,2025-01-02,Affiliate,Mobile,West,2025-01,7,7,1,1
89,2025-01-02,Affiliate,Tablet,International,2025-01,1,1,0,0
90,2025-01-02,Affiliate,Tablet,South,2025-01,2,2,0,0
91,2025-01-02,Affiliate,Tablet,West,2025-01,1,1,0,0
92,2025-01-02,Direct,Desktop,International,2025-01,2,2,1,1
93,2025-01-02,Direct,Desktop,Midwest,2025-01,5,5,3,2
94,2025-01-02,Direct,Desktop,Northeast,2025-01,3,3,1,1
95,2025-01-02,Direct,Desktop,South,2025-01,5,5,2,1
96,2025-01-02,Direct,Desktop,West,2025-01,4,4,1,1
97,2025-01-02,Direct,Mobile,International,2025-01,2,2,1,0
98,2025-01-02,Direct,Mobile,Midwest,2025-01,2,2,0,0
99,2025-01-02,Direct,Mobile,Northeast,2025-01,7,7,3,1
100,2025-01-02,Direct,Mobile,South,2025-01,1,1,0,0
101,2025-01-02,Direct,Mobile,West,2025-01,4,4,2,2
102,2025-01-02,Direct,Tablet,Midwest,2025-01,1,1,1,0
103,2025-01-02,Direct,Tablet,Northeast,2025-01,1,1,1,1
104,2025-01-02,Direct,Tablet,South,2025-01,1,1,0,0
105,2025-01-02,Direct,Tablet,West,2025-01,4,4,0,0
106,2025-01-02,Email,Desktop,International,2025-01,1,1,1,0
107,2025-01-02,Email,Desktop,Midwest,2025-01,4,4,3,3
108,2025-01-02,Email,Desktop,Northeast,2025-01,3,3,2,1
109,2025-01-02,Email,Desktop,South,2025-01,1,1,1,1
110,2025-01-02,Email,Desktop,West,2025-01,2,2,1,1
111,2025-01-02,Email,Mobile,Midwest,2025-01,4,4,1,1
112,2025-01-02,Email,Mobile,Northeast,2025-01,5,5,3,3
113,2025-01-02,Email,Mobile,South,2025-01,5,5,1,1
114,2025-01-02,Email,Mobile,West,2025-01,1,1,0,0
115,2025-01-02,Email,Tablet,Northeast,2025-01,2,2,1,1
116,2025-01-02,Organic Search,Desktop,International,2025-01,10,10,7,6
117,2025-01-02,Organic Search,Desktop,Midwest,2025-01,4,4,1,1
118,2025-01-02,Organic Search,Desktop,Northeast,2025-01,3,3,1,1
119,2025-01-02,Organic Search,Desktop,South,2025-01,10,10,7,5
120,2025-01-02,Organic Search,Desktop,West,2025-01,6,6,5,3
121,2025-01-02,Organic Search,Mobile,International,2025-01,4,4,2,1
122,2025-01-02,Organic Search,Mobile,Midwest,2025-01,7,7,3,3
123,2025-01-02,Organic Search,Mobile,Northeast,2025-01,6,6,3,2
124,2025-01-02,Organic Search,Mobile,South,2025-01,6,6,2,1
125,2025-01-02,Organic Search,Mobile,West,2025-01,7,7,4,3
126,2025-01-02,Organic Search,Tablet,International,2025-01,1,1,0,0
127,2025-01-02,Organic Search,Tablet,Midwest,2025-01,3,3,1,0
128,2025-01-02,Organic Search,Tablet,South,2025-01,3,3,2,1
129,2025-01-02,Organic Search,Tablet,West,2025-01,1,1,0,0
130,2025-01-02,Paid Search,Desktop,International,2025-01,6,6,5,2
131,2025-01-02,Paid Search,Desktop,Midwest,2025-01,1,1,0,0
132,2025-01-02,Paid Search,Desktop,Northeast,2025-01,3,3,1,1
133,2025-01-02,Paid Search,Desktop,South,2025-01,6,6,4,4
134,2025-01-02,Paid Search,Desktop,West,2025-01,7,7,2,2
135,2025-01-02,Paid Search,Mobile,International,2025-01,2,2,2,2
136,2025-01-02,Paid Search,Mobile,Midwest,2025-01,2,2,0,0
137,2025-01-02,Paid Search,Mobile,Northeast,2025-01,5,5,1,1
138,2025-01-02,Paid Search,Mobile,South,2025-01,4,4,4,2
139,2025-01-02,Paid Search,Mobile,West,2025-01,6,6,4,1
140,2025-01-02,Paid Search,Tablet,Midwest,2025-01,2,2,0,0
141,2025-01-02,Paid Search,Tablet,Northeast,2025-01,1,1,1,1
142,2025-01-02,Paid Search,Tablet,South,2025-01,2,2,0,0
143,2025-01-02,Paid Social,Desktop,International,2025-01,2,2,1,1
144,2025-01-02,Paid Social,Desktop,Midwest,2025-01,2,2,1,1
145,2025-01-02,Paid Social,Desktop,South,2025-01,1,1,1,1
146,2025-01-02,Paid Social,Desktop,West,2025-01,1,1,0,0
147,2025-01-02,Paid Social,Mobile,International,2025-01,7,7,1,0
148,2025-01-02,Paid Social,Mobile,Midwest,2025-01,3,3,0,0
149,2025-01-02,Paid Social,Mobile,Northeast,2025-01,5,5,2,1
150,2025-01-02,Paid Social,Mobile,South,2025-01,7,7,1,1
151,2025-01-02,Paid Social,Mobile,West,2025-01,5,5,2,0
152,2025-01-02,Paid Social,Tablet,International,2025-01,2,2,0,0
153,2025-01-02,Paid Social,Tablet,Midwest,2025-01,1,1,0,0
154,2025-01-02,Paid Social,Tablet,South,2025-01,1,1,0,0
155,2025-01-02,Paid Social,Tablet,West,2025-01,2,2,0,0
156,2025-01-02,Referral,Desktop,International,2025-01,1,1,0,0
157,2025-01-02,Referral,Desktop,Midwest,2025-01,2,2,1,1
158,2025-01-02,Referral,Desktop,Northeast,2025-01,1,1,0,0
159,2025-01-02,Referral,Desktop,South,2025-01,2,2,1,1
160,2025-01-02,Referral,Desktop,West,2025-01,1,1,0,0
161,2025-01-02,Referral,Mobile,Northeast,2025-01,2,2,0,0
162,2025-01-02,Referral,Mobile,West,2025-01,2,2,1,1
163,2025-01-03,Affiliate,Desktop,Northeast,2025-01,3,3,0,0
164,2025-01-03,Affiliate,Desktop,West,2025-01,1,1,0,0
165,2025-01-03,Affiliate,Mobile,International,2025-01,1,1,0,0
166,2025-01-03,Affiliate,Mobile,Midwest,2025-01,1,1,0,0
167,2025-01-03,Affiliate,Mobile,Northeast,2025-01,3,3,1,0
168,2025-01-03,Affiliate,Mobile,South,2025-01,3,3,1,0
169,2025-01-03,Affiliate,Mobile,West,2025-01,4,4,0,0
170,2025-01-03,Affiliate,Tablet,South,2025-01,1,1,0,0
171,2025-01-03,Affiliate,Tablet,West,2025-01,1,1,0,0
172,2025-01-03,Direct,Desktop,International,2025-01,3,3,1,0
173,2025-01-03,Direct,Desktop,Midwest,2025-01,4,4,3,2
174,2025-01-03,Direct,Desktop,Northeast,2025-01,3,3,2,2
175,2025-01-03,Direct,Desktop,South,2025-01,2,2,1,1
176,2025-01-03,Direct,Desktop,West,2025-01,5,5,3,3
177,2025-01-03,Direct,Mobile,Midwest,2025-01,1,1,0,0
178,2025-01-03,Direct,Mobile,Northeast,2025-01,4,4,4,0
179,2025-01-03,Direct,Mobile,South,2025-01,4,4,0,0
180,2025-01-03,Direct,Mobile,West,2025-01,4,4,1,1
181,2025-01-03,Direct,Tablet,International,2025-01,1,1,0,0
182,2025-01-03,Direct,Tablet,Midwest,2025-01,1,1,0,0
183,2025-01-03,Direct,Tablet,South,2025-01,1,1,0,0
184,2025-01-03,Email,Desktop,Northeast,2025-01,1,1,0,0
185,2025-01-03,Email,Desktop,South,2025-01,2,2,0,0
186,2025-01-03,Email,Desktop,West,2025-01,3,3,1,1
187,2025-01-03,Email,Mobile,International,2025-01,2,2,1,1
188,2025-01-03,Email,Mobile,Midwest,2025-01,1,1,1,0
189,2025-01-03,Email,Mobile,Northeast,2025-01,4,4,2,2
190,2025-01-03,Email,Mobile,South,2025-01,6,6,2,1
191,2025-01-03,Email,Mobile,West,2025-01,2,2,1,0
192,2025-01-03,Email,Tablet,South,2025-01,2,2,1,1
193,2025-01-03,Organic Search,Desktop,International,2025-01,3,3,2,0
194,2025-01-03,Organic Search,Desktop,Midwest,2025-01,2,2,0,0
195,2025-01-03,Organic Search,Desktop,Northeast,2025-01,5,5,3,1
196,2025-01-03,Organic Search,Desktop,South,2025-01,9,9,2,0
197,2025-01-03,Organic Search,Desktop,West,2025-01,3,3,2,0
198,2025-01-03,Organic Search,Mobile,International,2025-01,2,2,1,1
199,2025-01-03,Organic Search,Mobile,Midwest,2025-01,3,3,0,0
200,2025-01-03,Organic Search,Mobile,Northeast,2025-01,6,6,1,0
201,2025-01-03,Organic Search,Mobile,South,2025-01,6,6,1,1
202,2025-01-03,Organic Search,Mobile,West,2025-01,4,4,1,0
203,2025-01-03,Organic Search,Tablet,Northeast,2025-01,4,4,1,0
204,2025-01-03,Organic Search,Tablet,South,2025-01,1,1,0,0
205,2025-01-03,Paid Search,Desktop,International,2025-01,2,2,0,0
206,2025-01-03,Paid Search,Desktop,Midwest,2025-01,3,3,0,0
207,2025-01-03,Paid Search,Desktop,Northeast,2025-01,4,4,1,1
208,2025-01-03,Paid Search,Desktop,South,2025-01,2,2,2,2
209,2025-01-03,Paid Search,Desktop,West,2025-01,5,5,3,3
210,2025-01-03,Paid Search,Mobile,International,2025-01,2,2,0,0
211,2025-01-03,Paid Search,Mobile,Midwest,2025-01,4,4,2,1
212,2025-01-03,Paid Search,Mobile,Northeast,2025-01,5,5,1,0
213,2025-01-03,Paid Search,Mobile,South,2025-01,6,6,2,1
214,2025-01-03,Paid Search,Mobile,West,2025-01,5,5,1,1
215,2025-01-03,Paid Search,Tablet,South,2025-01,2,2,0,0
216,2025-01-03,Paid Search,Tablet,West,2025-01,1,1,0,0
217,2025-01-03,Paid Social,Desktop,International,2025-01,1,1,1,1
218,2025-01-03,Paid Social,Desktop,Midwest,2025-01,5,5,1,1
219,2025-01-03,Paid Social,Desktop,Northeast,2025-01,1,1,0,0
220,2025-01-03,Paid Social,Desktop,South,2025-01,2,2,2,1
221,2025-01-03,Paid Social,Desktop,West,2025-01,2,2,0,0
222,2025-01-03,Paid Social,Mobile,International,2025-01,3,3,1,0
223,2025-01-03,Paid Social,Mobile,Midwest,2025-01,5,5,1,0
224,2025-01-03,Paid Social,Mobile,Northeast,2025-01,4,4,1,1
225,2025-01-03,Paid Social,Mobile,South,2025-01,10,10,1,1
226,2025-01-03,Paid Social,Mobile,West,2025-01,8,8,2,1
227,2025-01-03,Paid Social,Tablet,International,2025-01,1,1,0,0
228,2025-01-03,Paid Social,Tablet,Midwest,2025-01,2,2,0,0
229,2025-01-03,Paid Social,Tablet,Northeast,2025-01,1,1,0,0
230,2025-01-03,Paid Social,Tablet,West,2025-01,3,3,2,0
231,2025-01-03,Referral,Desktop,Midwest,2025-01,2,2,1,0
232,2025-01-03,Referral,Desktop,Northeast,2025-01,2,2,1,1
233,2025-01-03,Referral,Desktop,South,2025-01,2,2,1,1
234,2025-01-03,Referral,Desktop,West,2025-01,1,1,0,0
235,2025-01-03,Referral,Mobile,Northeast,2025-01,1,1,0,0
236,2025-01-03,Referral,Mobile,South,2025-01,2,2,2,0
237,2025-01-03,Referral,Mobile,West,2025-01,2,2,0,0
238,2025-01-03,Referral,Tablet,South,2025-01,2,2,0,0
239,2025-01-03,Referral,Tablet,West,2025-01,1,1,1,0
240,2025-01-04,Affiliate,Desktop,Northeast,2025-01,1,1,1,1
241,2025-01-04,Affiliate,Desktop,South,2025-01,2,2,0,0
242,2025-01-04,Affiliate,Desktop,West,2025-01,1,1,0,0
243,2025-01-04,Affiliate,Mobile,International,2025-01,4,4,1,0
244,2025-01-04,Affiliate,Mobile,Northeast,2025-01,1,1,0,0
245,2025-01-04,Affiliate,Mobile,South,2025-01,3,3,2,0
246,2025-01-04,Affiliate,Mobile,West,2025-01,5,5,4,2
247,2025-01-04,Affiliate,Tablet,Midwest,2025-01,2,2,0,0
248,2025-01-04,Affiliate,Tablet,South,2025-01,1,1,0,0
249,2025-01-04,Direct,Desktop,International,2025-01,3,3,0,0
250,2025-01-04,Direct,Desktop,Midwest,2025-01,4,4,3,2
251,2025-01-04,Direct,Desktop,Northeast,2025-01,3,3,2,2
252,2025-01-04,Direct,Desktop,South,2025-01,3,3,0,0
253,2025-01-04,Direct,Desktop,West,2025-01,5,5,1,0
254,2025-01-04,Direct,Mobile,International,2025-01,1,1,0,0
255,2025-01-04,Direct,Mobile,Midwest,2025-01,1,1,1,1
256,2025-01-04,Direct,Mobile,Northeast,2025-01,5,5,2,1
257,2025-01-04,Direct,Mobile,South,2025-01,5,5,2,1
258,2025-01-04,Direct,Mobile,West,2025-01,1,1,0,0
259,2025-01-04,Direct,Tablet,Midwest,2025-01,2,2,0,0
260,2025-01-04,Direct,Tablet,Northeast,2025-01,1,1,0,0
261,2025-01-04,Direct,Tablet,South,2025-01,1,1,1,0
262,2025-01-04,Email,Desktop,International,2025-01,1,1,1,1
263,2025-01-04,Email,Desktop,Midwest,2025-01,2,2,1,1
264,2025-01-04,Email,Desktop,Northeast,2025-01,5,5,2,2
265,2025-01-04,Email,Desktop,West,2025-01,2,2,1,1
266,2025-01-04,Email,Mobile,International,2025-01,6,6,3,2
267,2025-01-04,Email,Mobile,Midwest,2025-01,4,4,0,0
268,2025-01-04,Email,Mobile,Northeast,2025-01,2,2,1,1
269,2025-01-04,Email,Mobile,South,2025-01,3,3,3,3
270,2025-01-04,Email,Mobile,West,2025-01,4,4,1,0
271,2025-01-04,Email,Tablet,International,2025-01,1,1,0,0
272,2025-01-04,Email,Tablet,Midwest,2025-01,1,1,0,0
273,2025-01-04,Email,Tablet,South,2025-01,1,1,0,0
274,2025-01-04,Organic Search,Desktop,International,2025-01,2,2,1,1
275,2025-01-04,Organic Search,Desktop,Midwest,2025-01,4,4,0,0
276,2025-01-04,Organic Search,Desktop,Northeast,2025-01,9,9,2,2
277,2025-01-04,Organic Search,Desktop,South,2025-01,4,4,1,1
278,2025-01-04,Organic Search,Desktop,West,2025-01,7,7,3,1
279,2025-01-04,Organic Search,Mobile,International,2025-01,2,2,0,0
280,2025-01-04,Organic Search,Mobile,Midwest,2025-01,8,8,2,2
281,2025-01-04,Organic Search,Mobile,Northeast,2025-01,6,6,3,2
282,2025-01-04,Organic Search,Mobile,South,2025-01,7,7,1,1
283,2025-01-04,Organic Search,Mobile,West,2025-01,6,6,4,2
284,2025-01-04,Organic Search,Tablet,Northeast,2025-01,2,2,2,2
285,2025-01-04,Organic Search,Tablet,South,2025-01,2,2,1,1
286,2025-01-04,Paid Search,Desktop,International,2025-01,2,2,1,1
287,2025-01-04,Paid Search,Desktop,Midwest,2025-01,6,6,2,1
288,2025-01-04,Paid Search,Desktop,Northeast,2025-01,3,3,2,1
289,2025-01-04,Paid Search,Desktop,South,2025-01,9,9,2,2
290,2025-01-04,Paid Search,Desktop,West,2025-01,5,5,1,1
291,2025-01-04,Paid Search,Mobile,International,2025-01,3,3,1,1
292,2025-01-04,Paid Search,Mobile,Midwest,2025-01,8,8,2,1
293,2025-01-04,Paid Search,Mobile,Northeast,2025-01,6,6,4,1
294,2025-01-04,Paid Search,Mobile,South,2025-01,6,6,0,0
295,2025-01-04,Paid Search,Mobile,West,2025-01,5,5,0,0
296,2025-01-04,Paid Search,Tablet,International,2025-01,1,1,0,0
297,2025-01-04,Paid Search,Tablet,Midwest,2025-01,4,4,0,0
298,2025-01-04,Paid Search,Tablet,South,2025-01,1,1,0,0
299,2025-01-04,Paid Social,Desktop,International,2025-01,3,3,0,0
300,2025-01-04,Paid Social,Desktop,Midwest,2025-01,1,1,1,0
301,2025-01-04,Paid Social,Desktop,Northeast,2025-01,3,3,1,0
302,2025-01-04,Paid Social,Desktop,South,2025-01,1,1,0,0
303,2025-01-04,Paid Social,Desktop,West,2025-01,1,1,0,0
304,2025-01-04,Paid Social,Mobile,International,2025-01,5,5,2,2
305,2025-01-04,Paid Social,Mobile,Midwest,2025-01,3,3,1,0
306,2025-01-04,Paid Social,Mobile,Northeast,2025-01,7,7,1,0
307,2025-01-04,Paid Social,Mobile,South,2025-01,9,9,2,1
308,2025-01-04,Paid Social,Mobile,West,2025-01,8,8,2,1
309,2025-01-04,Paid Social,Tablet,South,2025-01,1,1,0,0
310,2025-01-04,Referral,Desktop,International,2025-01,2,2,1,1
311,2025-01-04,Referral,Desktop,Northeast,2025-01,1,1,1,0
312,2025-01-04,Referral,Desktop,South,2025-01,1,1,0,0
313,2025-01-04,Referral,Mobile,International,2025-01,2,2,0,0
314,2025-01-04,Referral,Mobile,Northeast,2025-01,1,1,0,0
315,2025-01-04,Referral,Mobile,West,2025-01,3,3,0,0
316,2025-01-05,Affiliate,Desktop,International,2025-01,1,1,0,0
317,2025-01-05,Affiliate,Desktop,South,2025-01,2,2,2,2
318,2025-01-05,Affiliate,Desktop,West,2025-01,3,3,0,0
319,2025-01-05,Affiliate,Mobile,International,2025-01,1,1,1,1
320,2025-01-05,Affiliate,Mobile,Midwest,2025-01,2,2,1,0
321,2025-01-05,Affiliate,Mobile,South,2025-01,3,3,1,0
322,2025-01-05,Affiliate,Mobile,West,2025-01,7,7,0,0
323,2025-01-05,Affiliate,Tablet,International,2025-01,1,1,0,0
324,2025-01-05,Affiliate,Tablet,Midwest,2025-01,2,2,0,0
325,2025-01-05,Affiliate,Tablet,South,2025-01,1,1,1,0
326,2025-01-05,Affiliate,Tablet,West,2025-01,2,2,1,1
327,2025-01-05,Direct,Desktop,International,2025-01,6,5,2,1
328,2025-01-05,Direct,Desktop,Midwest,2025-01,3,3,1,0
329,2025-01-05,Direct,Desktop,Northeast,2025-01,1,1,1,0
330,2025-01-05,Direct,Desktop,South,2025-01,3,3,1,1
331,2025-01-05,Direct,Desktop,West,2025-01,7,7,3,3
332,2025-01-05,Direct,Mobile,International,2025-01,1,1,0,0
333,2025-01-05,Direct,Mobile,Midwest,2025-01,3,3,0,0
334,2025-01-05,Direct,Mobile,Northeast,2025-01,1,1,0,0
335,2025-01-05,Direct,Mobile,South,2025-01,4,4,1,1
336,2025-01-05,Direct,Mobile,West,2025-01,4,4,0,0
337,2025-01-05,Direct,Tablet,International,2025-01,1,1,1,0
338,2025-01-05,Direct,Tablet,Northeast,2025-01,1,1,0,0
339,2025-01-05,Direct,Tablet,West,2025-01,1,1,0,0
340,2025-01-05,Email,Desktop,International,2025-01,2,2,1,0
341,2025-01-05,Email,Desktop,Midwest,2025-01,1,1,0,0
342,2025-01-05,Email,Desktop,Northeast,2025-01,2,2,1,1
343,2025-01-05,Email,Desktop,South,2025-01,1,1,0,0
344,2025-01-05,Email,Desktop,West,2025-01,2,2,1,1
345,2025-01-05,Email,Mobile,International,2025-01,1,1,1,0
346,2025-01-05,Email,Mobile,Midwest,2025-01,4,4,3,3
347,2025-01-05,Email,Mobile,Northeast,2025-01,4,4,2,1
348,2025-01-05,Email,Mobile,South,2025-01,1,1,1,1
349,2025-01-05,Email,Mobile,West,2025-01,3,3,1,1
350,2025-01-05,Email,Tablet,International,2025-01,1,1,0,0
351,2025-01-05,Organic Search,Desktop,International,2025-01,5,5,1,1
352,2025-01-05,Organic Search,Desktop,Midwest,2025-01,7,7,0,0
353,2025-01-05,Organic Search,Desktop,Northeast,2025-01,4,4,1,1
354,2025-01-05,Organic Search,Desktop,South,2025-01,7,7,2,0
355,2025-01-05,Organic Search,Desktop,West,2025-01,9,9,1,1
356,2025-01-05,Organic Search,Mobile,International,2025-01,5,5,1,1
357,2025-01-05,Organic Search,Mobile,Midwest,2025-01,4,4,1,0
358,2025-01-05,Organic Search,Mobile,Northeast,2025-01,3,3,0,0
359,2025-01-05,Organic Search,Mobile,South,2025-01,2,2,0,0
360,2025-01-05,Organic Search,Mobile,West,2025-01,3,3,1,1
361,2025-01-05,Organic Search,Tablet,Midwest,2025-01,1,1,0,0
362,2025-01-05,Organic Search,Tablet,Northeast,2025-01,2,2,0,0
363,2025-01-05,Organic Search,Tablet,South,2025-01,2,2,1,1
364,2025-01-05,Organic Search,Tablet,West,2025-01,1,1,0,0
365,2025-01-05,Paid Search,Desktop,International,2025-01,3,3,2,1
366,2025-01-05,Paid Search,Desktop,Midwest,2025-01,4,4,1,0
367,2025-01-05,Paid Search,Desktop,Northeast,2025-01,8,8,1,0
368,2025-01-05,Paid Search,Desktop,South,2025-01,6,6,3,1
369,2025-01-05,Paid Search,Desktop,West,2025-01,6,6,4,3
370,2025-01-05,Paid Search,Mobile,International,2025-01,4,4,3,2
371,2025-01-05,Paid Search,Mobile,Midwest,2025-01,5,5,2,1
372,2025-01-05,Paid Search,Mobile,Northeast,2025-01,6,6,3,3
373,2025-01-05,Paid Search,Mobile,South,2025-01,3,3,2,1
374,2025-01-05,Paid Search,Mobile,West,2025-01,8,8,3,3
375,2025-01-05,Paid Search,Tablet,Northeast,2025-01,2,2,1,0
376,2025-01-05,Paid Search,Tablet,South,2025-01,1,1,1,0
377,2025-01-05,Paid Social,Desktop,International,2025-01,1,1,1,0
378,2025-01-05,Paid Social,Desktop,Midwest,2025-01,3,3,1,1
379,2025-01-05,Paid Social,Desktop,Northeast,2025-01,2,2,0,0
380,2025-01-05,Paid Social,Desktop,South,2025-01,1,1,1,1
381,2025-01-05,Paid Social,Desktop,West,2025-01,1,1,0,0
382,2025-01-05,Paid Social,Mobile,International,2025-01,5,5,1,0
383,2025-01-05,Paid Social,Mobile,Midwest,2025-01,8,8,1,0
384,2025-01-05,Paid Social,Mobile,Northeast,2025-01,6,6,1,0
385,2025-01-05,Paid Social,Mobile,South,2025-01,2,2,0,0
386,2025-01-05,Paid Social,Mobile,West,2025-01,10,10,1,0
387,2025-01-05,Paid Social,Tablet,Northeast,2025-01,1,1,0,0
388,2025-01-05,Paid Social,Tablet,West,2025-01,1,1,0,0
389,2025-01-05,Referral,Desktop,International,2025-01,1,1,0,0
390,2025-01-05,Referral,Desktop,Northeast,2025-01,1,1,1,1
391,2025-01-05,Referral,Desktop,West,2025-01,3,3,0,0
392,2025-01-05,Referral,Mobile,Northeast,2025-01,2,2,0,0
393,2025-01-05,Referral,Mobile,South,2025-01,4,4,1,0
394,2025-01-05,Referral,Mobile,West,2025-01,2,2,0,0
