CheckType,Subject,Expected,Actual,Delta,Status
Metric,2025-06-01 Actual COGS,219158565.42,219158565.42,0.0,Pass
Metric,2025-06-01 Actual GrossMargin,93477664.42,93477664.42,0.0,Pass
Metric,2025-06-01 Actual AllocatedOpex,52792835.46,52792835.46,0.0,Pass
Metric,2025-06-01 Actual EBITDA,40684829.16,40684829.16,0.0,Pass
Metric,2025-06-01 Actual Orders,16588.0,16588.0,0.0,Pass
Metric,2025-06-01 Actual CashImpact,32319748.2,32319748.2,0.0,Pass
Metric,2025-07-01 Actual Revenue,324414996.61,324414996.61,0.0,Pass
Metric,2025-07-01 Actual COGS,227352038.81,227352038.81,0.0,Pass
Metric,2025-07-01 Actual GrossMargin,97062957.92,97062957.92,0.0,Pass
Metric,2025-07-01 Actual AllocatedOpex,54803621.6,54803621.6,0.0,Pass
Metric,2025-07-01 Actual EBITDA,42259336.29,42259336.29,0.0,Pass
Metric,2025-07-01 Actual Orders,17248.0,17248.0,0.0,Pass
Metric,2025-07-01 Actual CashImpact,33549126.22,33549126.22,0.0,Pass
Metric,2025-08-01 Actual Revenue,324134280.71,324134280.71,0.0,Pass
Metric,2025-08-01 Actual COGS,227205684.39,227205684.39,0.0,Pass
Metric,2025-08-01 Actual GrossMargin,96928596.28,96928596.28,0.0,Pass
Metric,2025-08-01 Actual AllocatedOpex,54741780.92,54741780.92,0.0,Pass
Metric,2025-08-01 Actual EBITDA,42186815.26,42186815.26,0.0,Pass
Metric,2025-08-01 Actual Orders,17300.0,17300.0,0.0,Pass
Metric,2025-08-01 Actual CashImpact,33568255.15,33568255.15,0.0,Pass
Metric,2025-09-01 Actual Revenue,339143164.15,339143164.15,0.0,Pass
Metric,2025-09-01 Actual COGS,237715609.91,237715609.91,0.0,Pass
Metric,2025-09-01 Actual GrossMargin,101427554.16,101427554.16,0.0,Pass
Metric,2025-09-01 Actual AllocatedOpex,57269152.61,57269152.61,0.0,Pass
Metric,2025-09-01 Actual EBITDA,44158401.65,44158401.65,0.0,Pass
Metric,2025-09-01 Actual Orders,18043.0,18043.0,0.0,Pass
Metric,2025-09-01 Actual CashImpact,34897571.47,34897571.47,0.0,Pass
Metric,2025-10-01 Actual Revenue,360051413.65,360051413.65,0.0,Pass
Metric,2025-10-01 Actual COGS,252393430.01,252393430.01,0.0,Pass
Metric,2025-10-01 Actual GrossMargin,107657983.56,107657983.56,0.0,Pass
Metric,2025-10-01 Actual AllocatedOpex,60792409.36,60792409.36,0.0,Pass
Metric,2025-10-01 Actual EBITDA,46865574.21,46865574.21,0.0,Pass
Metric,2025-10-01 Actual Orders,18730.0,18730.0,0.0,Pass
Metric,2025-10-01 Actual CashImpact,37000815.74,37000815.74,0.0,Pass
Metric,2025-11-01 Actual Revenue,376524946.28,376524946.28,0.0,Pass
Metric,2025-11-01 Actual COGS,263899570.05,263899570.05,0.0,Pass
Metric,2025-11-01 Actual GrossMargin,112625376.48,112625376.48,0.0,Pass
Metric,2025-11-01 Actual AllocatedOpex,63581339.19,63581339.19,0.0,Pass
Metric,2025-11-01 Actual EBITDA,49044037.32,49044037.32,0.0,Pass
Metric,2025-11-01 Actual Orders,19841.0,19841.0,0.0,Pass
Metric,2025-11-01 Actual CashImpact,38949857.66,38949857.66,0.0,Pass
Metric,2025-12-01 Actual Revenue,391174201.91,391174201.91,0.0,Pass
Metric,2025-12-01 Actual COGS,274201952.79,274201952.79,0.0,Pass
Metric,2025-12-01 Actual GrossMargin,116972249.17,116972249.17,0.0,Pass
Metric,2025-12-01 Actual AllocatedOpex,66052462.77,66052462.77,0.0,Pass
Metric,2025-12-01 Actual EBITDA,50919786.44,50919786.44,0.0,Pass
Metric,2025-12-01 Actual Orders,20631.0,20631.0,0.0,Pass
Metric,2025-12-01 Actual CashImpact,40383294.1,40383294.1,0.0,Pass
Metric,2026-01-01 Actual Revenue,298452934.84,298452934.84,0.0,Pass
Metric,2026-01-01 Actual COGS,209251333.96,209251333.96,0.0,Pass
Metric,2026-01-01 Actual GrossMargin,89201600.94,89201600.94,0.0,Pass
Metric,2026-01-01 Actual AllocatedOpex,50395726.98,50395726.98,0.0,Pass
Metric,2026-01-01 Actual EBITDA,38805873.81,38805873.81,0.0,Pass
Metric,2026-01-01 Actual Orders,15796.0,15796.0,0.0,Pass
Metric,2026-01-01 Actual CashImpact,30878690.95,30878690.95,0.0,Pass
Metric,2026-01-01 Budget Revenue,314463476.19,314463476.19,0.0,Pass
Metric,2026-01-01 Budget COGS,216639660.19,216639660.19,0.0,Pass
Metric,2026-01-01 Budget GrossMargin,97823816.06,97823816.06,0.0,Pass
Metric,2026-01-01 Budget AllocatedOpex,51204104.91,51204104.91,0.0,Pass
Metric,2026-01-01 Budget EBITDA,46619711.26,46619711.26,0.0,Pass
Metric,2026-01-01 Budget Orders,16608.0,16608.0,0.0,Pass
Metric,2026-01-01 Budget CashImpact,38205858.44,38205858.44,0.0,Pass
Metric,2026-01-01 Forecast Revenue,304286222.02,304286222.02,0.0,Pass
Metric,2026-01-01 Forecast COGS,213290634.23,213290634.23,0.0,Pass
Metric,2026-01-01 Forecast GrossMargin,90995587.83,90995587.83,0.0,Pass
Metric,2026-01-01 Forecast AllocatedOpex,51378115.93,51378115.93,0.0,Pass
Metric,2026-01-01 Forecast EBITDA,39617471.87,39617471.87,0.0,Pass
Metric,2026-01-01 Forecast Orders,16022.0,16022.0,0.0,Pass
Metric,2026-01-01 Forecast CashImpact,31298258.52,31298258.52,0.0,Pass
Metric,2026-02-01 Actual Revenue,276035161.85,276035161.85,0.0,Pass
Metric,2026-02-01 Actual COGS,193522016.36,193522016.36,0.0,Pass
Metric,2026-02-01 Actual GrossMargin,82513145.38,82513145.38,0.0,Pass
Metric,2026-02-01 Actual AllocatedOpex,46602588.2,46602588.2,0.0,Pass
Metric,2026-02-01 Actual EBITDA,35910557.23,35910557.23,0.0,Pass
Metric,2026-02-01 Actual Orders,14723.0,14723.0,0.0,Pass
Metric,2026-02-01 Actual CashImpact,28471449.38,28471449.38,0.0,Pass
Metric,2026-02-01 Budget Revenue,289460478.28,289460478.28,0.0,Pass
Metric,2026-02-01 Budget COGS,199416720.99,199416720.99,0.0,Pass
Metric,2026-02-01 Budget GrossMargin,90043757.36,90043757.36,0.0,Pass
Metric,2026-02-01 Budget AllocatedOpex,47138685.59,47138685.59,0.0,Pass
Metric,2026-02-01 Budget EBITDA,42905071.75,42905071.75,0.0,Pass
Metric,2026-02-01 Budget Orders,15209.0,15209.0,0.0,Pass
Metric,2026-02-01 Budget CashImpact,34954714.48,34954714.48,0.0,Pass
Metric,2026-02-01 Forecast Revenue,282605432.67,282605432.67,0.0,Pass
Metric,2026-02-01 Forecast COGS,198164188.22,198164188.22,0.0,Pass
Metric,2026-02-01 Forecast GrossMargin,84441244.52,84441244.52,0.0,Pass
Metric,2026-02-01 Forecast AllocatedOpex,47693532.35,47693532.35,0.0,Pass
Metric,2026-02-01 Forecast EBITDA,36747712.23,36747712.23,0.0,Pass
Metric,2026-02-01 Forecast Orders,14859.0,14859.0,0.0,Pass
Metric,2026-02-01 Forecast CashImpact,29088643.38,29088643.38,0.0,Pass
Metric,2026-03-01 Actual Revenue,328209889.13,328209889.13,0.0,Pass
Metric,2026-03-01 Actual COGS,232984971.47,232984971.47,0.0,Pass
Metric,2026-03-01 Actual GrossMargin,95224917.74,95224917.74,0.0,Pass
Metric,2026-03-01 Actual AllocatedOpex,55460973.06,55460973.06,0.0,Pass
Metric,2026-03-01 Actual EBITDA,39763944.63,39763944.63,0.0,Pass
Metric,2026-03-01 Actual Orders,17458.0,17458.0,0.0,Pass
Metric,2026-03-01 Actual CashImpact,30962960.37,30962960.37,0.0,Pass
Metric,2026-03-01 Budget Revenue,347056927.77,347056927.77,0.0,Pass
Metric,2026-03-01 Budget COGS,242229188.19,242229188.19,0.0,Pass
Metric,2026-03-01 Budget GrossMargin,104827739.56,104827739.56,0.0,Pass
Metric,2026-03-01 Budget AllocatedOpex,56511692.48,56511692.48,0.0,Pass
Metric,2026-03-01 Budget EBITDA,48316046.93,48316046.93,0.0,Pass
Metric,2026-03-01 Budget Orders,18246.0,18246.0,0.0,Pass
Metric,2026-03-01 Budget CashImpact,39111691.22,39111691.22,0.0,Pass
Metric,2026-03-01 Forecast Revenue,335925574.81,335925574.81,0.0,Pass
Metric,2026-03-01 Forecast COGS,238488797.87,238488797.87,0.0,Pass
Metric,2026-03-01 Forecast GrossMargin,97436777.03,97436777.03,0.0,Pass
Metric,2026-03-01 Forecast AllocatedOpex,56735645.21,56735645.21,0.0,Pass
Metric,2026-03-01 Forecast EBITDA,40701131.73,40701131.73,0.0,Pass
Metric,2026-03-01 Forecast Orders,18003.0,18003.0,0.0,Pass
Metric,2026-03-01 Forecast CashImpact,31588174.52,31588174.52,0.0,Pass
Metric,2026-04-01 Actual Revenue,324999250.24,324999250.24,0.0,Pass
Metric,2026-04-01 Actual COGS,230804192.82,230804192.82,0.0,Pass
Metric,2026-04-01 Actual GrossMargin,94195057.66,94195057.66,0.0,Pass
Metric,2026-04-01 Actual AllocatedOpex,57434326.54,57434326.54,0.0,Pass
Metric,2026-04-01 Actual EBITDA,36760731.06,36760731.06,0.0,Pass
Metric,2026-04-01 Actual Orders,17155.0,17155.0,0.0,Pass
Metric,2026-04-01 Actual CashImpact,27968194.88,27968194.88,0.0,Pass
Metric,2026-04-01 Budget Revenue,341676261.45,341676261.45,0.0,Pass
Metric,2026-04-01 Budget COGS,238449836.94,238449836.94,0.0,Pass
Metric,2026-04-01 Budget GrossMargin,103226424.45,103226424.45,0.0,Pass
Metric,2026-04-01 Budget AllocatedOpex,58351997.86,58351997.86,0.0,Pass
Metric,2026-04-01 Budget EBITDA,44874426.5,44874426.5,0.0,Pass
Metric,2026-04-01 Budget Orders,18106.0,18106.0,0.0,Pass
Metric,2026-04-01 Budget CashImpact,35701830.49,35701830.49,0.0,Pass
Metric,2026-04-01 Forecast Revenue,333460891.25,333460891.25,0.0,Pass
Metric,2026-04-01 Forecast COGS,236763287.45,236763287.45,0.0,Pass
Metric,2026-04-01 Forecast GrossMargin,96697603.95,96697603.95,0.0,Pass
Metric,2026-04-01 Forecast AllocatedOpex,58950564.89,58950564.89,0.0,Pass
Metric,2026-04-01 Forecast EBITDA,37747038.95,37747038.95,0.0,Pass
Metric,2026-04-01 Forecast Orders,17604.0,17604.0,0.0,Pass
Metric,2026-04-01 Forecast CashImpact,28738911.61,28738911.61,0.0,Pass
Metric,2026-05-01 Actual Revenue,333134817.64,333134817.64,0.0,Pass
Metric,2026-05-01 Actual COGS,236791700.69,236791700.69,0.0,Pass
Metric,2026-05-01 Actual GrossMargin,96343116.92,96343116.92,0.0,Pass
Metric,2026-05-01 Actual AllocatedOpex,58752392.9,58752392.9,0.0,Pass
Metric,2026-05-01 Actual EBITDA,37590723.9,37590723.9,0.0,Pass
Metric,2026-05-01 Actual Orders,17570.0,17570.0,0.0,Pass
Metric,2026-05-01 Actual CashImpact,28390210.49,28390210.49,0.0,Pass
Metric,2026-05-01 Budget Revenue,355558271.53,355558271.53,0.0,Pass
Metric,2026-05-01 Budget COGS,248135433.75,248135433.75,0.0,Pass
Metric,2026-05-01 Budget GrossMargin,107422837.63,107422837.63,0.0,Pass
Metric,2026-05-01 Budget AllocatedOpex,60788339.36,60788339.36,0.0,Pass
Metric,2026-05-01 Budget EBITDA,46634498.34,46634498.34,0.0,Pass
Metric,2026-05-01 Budget Orders,18841.0,18841.0,0.0,Pass
Metric,2026-05-01 Budget CashImpact,37116677.79,37116677.79,0.0,Pass
Metric,2026-05-01 Forecast Revenue,343835455.35,343835455.35,0.0,Pass
Metric,2026-05-01 Forecast COGS,244089702.22,244089702.22,0.0,Pass
Metric,2026-05-01 Forecast GrossMargin,99745753.08,99745753.08,0.0,Pass
Metric,2026-05-01 Forecast AllocatedOpex,60826140.03,60826140.03,0.0,Pass
Metric,2026-05-01 Forecast EBITDA,38919612.9,38919612.9,0.0,Pass
Metric,2026-05-01 Forecast Orders,18322.0,18322.0,0.0,Pass
Metric,2026-05-01 Forecast CashImpact,29625388.03,29625388.03,0.0,Pass
Metric,2026-06-01 Budget Revenue,361262170.37,361262170.37,0.0,Pass
Metric,2026-06-01 Budget COGS,248899642.49,248899642.49,0.0,Pass
Metric,2026-06-01 Budget GrossMargin,112362527.81,112362527.81,0.0,Pass
Metric,2026-06-01 Budget AllocatedOpex,58853427.1,58853427.1,0.0,Pass
Metric,2026-06-01 Budget EBITDA,53509100.79,53509100.79,0.0,Pass
Metric,2026-06-01 Budget Orders,19064.0,19064.0,0.0,Pass
Metric,2026-06-01 Budget CashImpact,43752315.47,43752315.47,0.0,Pass
Metric,2026-06-01 Forecast Revenue,349995775.95,349995775.95,0.0,Pass
Metric,2026-06-01 Forecast COGS,245347163.36,245347163.36,0.0,Pass
Metric,2026-06-01 Forecast GrossMargin,104648612.62,104648612.62,0.0,Pass
Metric,2026-06-01 Forecast AllocatedOpex,60516093.67,60516093.67,0.0,Pass
Metric,2026-06-01 Forecast EBITDA,44132518.88,44132518.88,0.0,Pass
Metric,2026-06-01 Forecast Orders,18551.0,18551.0,0.0,Pass
Metric,2026-06-01 Forecast CashImpact,34675592.92,34675592.92,0.0,Pass
Metric,2026-07-01 Budget Revenue,374211357.49,374211357.49,0.0,Pass
Metric,2026-07-01 Budget COGS,257838902.78,257838902.78,0.0,Pass
Metric,2026-07-01 Budget GrossMargin,116372454.67,116372454.67,0.0,Pass
Metric,2026-07-01 Budget AllocatedOpex,60923049.02,60923049.02,0.0,Pass
Metric,2026-07-01 Budget EBITDA,55449405.65,55449405.65,0.0,Pass
Metric,2026-07-01 Budget Orders,19795.0,19795.0,0.0,Pass
Metric,2026-07-01 Budget CashImpact,45336727.13,45336727.13,0.0,Pass
Metric,2026-07-01 Forecast Revenue,353653138.04,353653138.04,0.0,Pass
Metric,2026-07-01 Forecast COGS,249263691.27,249263691.27,0.0,Pass
Metric,2026-07-01 Forecast GrossMargin,104389446.89,104389446.89,0.0,Pass
Metric,2026-07-01 Forecast AllocatedOpex,61134649.35,61134649.35,0.0,Pass
Metric,2026-07-01 Forecast EBITDA,43254797.63,43254797.63,0.0,Pass
Metric,2026-07-01 Forecast Orders,18679.0,18679.0,0.0,Pass
Metric,2026-07-01 Forecast CashImpact,33724475.38,33724475.38,0.0,Pass
Metric,2026-08-01 Budget Revenue,372719315.57,372719315.57,0.0,Pass
Metric,2026-08-01 Budget COGS,256787681.19,256787681.19,0.0,Pass
Metric,2026-08-01 Budget GrossMargin,115931634.38,115931634.38,0.0,Pass
Metric,2026-08-01 Budget AllocatedOpex,60701781.87,60701781.87,0.0,Pass
Metric,2026-08-01 Budget EBITDA,55229852.47,55229852.47,0.0,Pass
Metric,2026-08-01 Budget Orders,19812.0,19812.0,0.0,Pass
Metric,2026-08-01 Budget CashImpact,45314860.03,45314860.03,0.0,Pass
Metric,2026-08-01 Forecast Revenue,352880656.99,352880656.99,0.0,Pass
Metric,2026-08-01 Forecast COGS,248777563.99,248777563.99,0.0,Pass
Metric,2026-08-01 Forecast GrossMargin,104103093.01,104103093.01,0.0,Pass
Metric,2026-08-01 Forecast AllocatedOpex,60983101.32,60983101.32,0.0,Pass
Metric,2026-08-01 Forecast EBITDA,43119991.61,43119991.61,0.0,Pass
Metric,2026-08-01 Forecast Orders,18512.0,18512.0,0.0,Pass
Metric,2026-08-01 Forecast CashImpact,33380222.22,33380222.22,0.0,Pass
Metric,2026-09-01 Budget Revenue,390516510.73,390516510.73,0.0,Pass
Metric,2026-09-01 Budget COGS,269064373.68,269064373.68,0.0,Pass
Metric,2026-09-01 Budget GrossMargin,121452136.97,121452136.97,0.0,Pass
Metric,2026-09-01 Budget AllocatedOpex,63600163.9,63600163.9,0.0,Pass
Metric,2026-09-01 Budget EBITDA,57851972.83,57851972.83,0.0,Pass
Metric,2026-09-01 Budget Orders,20827.0,20827.0,0.0,Pass
Metric,2026-09-01 Budget CashImpact,47459258.74,47459258.74,0.0,Pass
Metric,2026-09-01 Forecast Revenue,368203323.31,368203323.31,0.0,Pass
Metric,2026-09-01 Forecast COGS,259563089.24,259563089.24,0.0,Pass
Metric,2026-09-01 Forecast GrossMargin,108640234.17,108640234.17,0.0,Pass
Metric,2026-09-01 Forecast AllocatedOpex,63668437.52,63668437.52,0.0,Pass
Metric,2026-09-01 Forecast EBITDA,44971796.46,44971796.46,0.0,Pass
Metric,2026-09-01 Forecast Orders,19546.0,19546.0,0.0,Pass
Metric,2026-09-01 Forecast CashImpact,35174255.0,35174255.0,0.0,Pass
Metric,2026-10-01 Budget Revenue,413994635.03,413994635.03,0.0,Pass
Metric,2026-10-01 Budget COGS,285178418.86,285178418.86,0.0,Pass
Metric,2026-10-01 Budget GrossMargin,128816216.3,128816216.3,0.0,Pass
Metric,2026-10-01 Budget AllocatedOpex,67420217.58,67420217.58,0.0,Pass
Metric,2026-10-01 Budget EBITDA,61395998.73,61395998.73,0.0,Pass
Metric,2026-10-01 Budget Orders,21863.0,21863.0,0.0,Pass
Metric,2026-10-01 Budget CashImpact,50239068.84,50239068.84,0.0,Pass
Metric,2026-10-01 Forecast Revenue,391753435.21,391753435.21,0.0,Pass
Metric,2026-10-01 Forecast COGS,276100781.33,276100781.33,0.0,Pass
Metric,2026-10-01 Forecast GrossMargin,115652653.9,115652653.9,0.0,Pass
Metric,2026-10-01 Forecast AllocatedOpex,67733446.21,67733446.21,0.0,Pass
Metric,2026-10-01 Forecast EBITDA,47919207.77,47919207.77,0.0,Pass
Metric,2026-10-01 Forecast Orders,20783.0,20783.0,0.0,Pass
Metric,2026-10-01 Forecast CashImpact,37337701.12,37337701.12,0.0,Pass
Metric,2026-11-01 Budget Revenue,432702846.93,432702846.93,0.0,Pass
Metric,2026-11-01 Budget COGS,298138176.81,298138176.81,0.0,Pass
Metric,2026-11-01 Budget GrossMargin,134564670.2,134564670.2,0.0,Pass
Metric,2026-11-01 Budget AllocatedOpex,70482487.97,70482487.97,0.0,Pass
Metric,2026-11-01 Budget EBITDA,64082182.18,64082182.18,0.0,Pass
Metric,2026-11-01 Budget Orders,23009.0,23009.0,0.0,Pass
Metric,2026-11-01 Budget CashImpact,52456643.15,52456643.15,0.0,Pass
Metric,2026-11-01 Forecast Revenue,408666747.17,408666747.17,0.0,Pass
Metric,2026-11-01 Forecast COGS,288119907.2,288119907.2,0.0,Pass
Metric,2026-11-01 Forecast GrossMargin,120546839.91,120546839.91,0.0,Pass
Metric,2026-11-01 Forecast AllocatedOpex,70656415.81,70656415.81,0.0,Pass
Metric,2026-11-01 Forecast EBITDA,49890424.17,49890424.17,0.0,Pass
Metric,2026-11-01 Forecast Orders,21546.0,21546.0,0.0,Pass
Metric,2026-11-01 Forecast CashImpact,38958465.51,38958465.51,0.0,Pass
Metric,2026-12-01 Budget Revenue,448881776.2,448881776.2,0.0,Pass
Metric,2026-12-01 Budget COGS,309204015.35,309204015.35,0.0,Pass
Metric,2026-12-01 Budget GrossMargin,139677760.97,139677760.97,0.0,Pass
Metric,2026-12-01 Budget AllocatedOpex,73100893.43,73100893.43,0.0,Pass
Metric,2026-12-01 Budget EBITDA,66576867.47,66576867.47,0.0,Pass
Metric,2026-12-01 Budget Orders,23862.0,23862.0,0.0,Pass
Metric,2026-12-01 Budget CashImpact,54335438.27,54335438.27,0.0,Pass
Metric,2026-12-01 Forecast Revenue,425020644.51,425020644.51,0.0,Pass
Metric,2026-12-01 Forecast COGS,299590876.16,299590876.16,0.0,Pass
Metric,2026-12-01 Forecast GrossMargin,125429768.49,125429768.49,0.0,Pass
Metric,2026-12-01 Forecast AllocatedOpex,73474537.0,73474537.0,0.0,Pass
Metric,2026-12-01 Forecast EBITDA,51955231.32,51955231.32,0.0,Pass
Metric,2026-12-01 Forecast Orders,22403.0,22403.0,0.0,Pass
Metric,2026-12-01 Forecast CashImpact,40414612.35,40414612.35,0.0,Pass
Formula,Raw financial formula integrity,Revenue - COGS = GrossMargin; GrossMargin - AllocatedOpex = EBITDA,0 failing rows,,Pass
Relationship,fact_financials.csv.DateKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_financials.csv.ScenarioKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_financials.csv.BusinessUnitKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_financials.csv.ProductKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_financials.csv.RegionKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_financials.csv.CustomerKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_opex_department.csv.DateKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_opex_department.csv.ScenarioKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_opex_department.csv.BusinessUnitKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_opex_department.csv.RegionKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_opex_department.csv.DepartmentKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_cash.csv.DateKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_cash.csv.ScenarioKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_cash.csv.BusinessUnitKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_cash.csv.RegionKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_bridge.csv.DateKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_bridge.csv.BusinessUnitKey,All fact keys exist in dimension,Pass,,Pass
Relationship,fact_bridge.csv.RegionKey,All fact keys exist in dimension,Pass,,Pass
