MonthStart,SegmentType,SegmentName,ActiveCustomers,RepeatPurchaseRate,RetentionM3,NetRevenue,ChurnSignalCustomers,LTVToDate
2024-03-01,Channel,Partner,24,0.5833,,2088.88,0,104.56
2024-03-01,Channel,Referral,22,0.7273,,2437.38,0,154.38
2024-03-01,Plan,Free,30,0.7667,,1650.85,0,66.44
2024-03-01,Plan,Growth,48,0.7083,,6764.97,0,207.01
2024-03-01,Plan,Pro,16,0.625,,3682.27,0,363.22
2024-03-01,Plan,Starter,48,0.6875,,3925.56,0,97.01
2024-03-01,Region,APAC,30,0.7333,,2562.22,0,118.19
2024-03-01,Region,Europe,33,0.6667,,4518.16,0,219.58
2024-03-01,Region,LATAM,14,0.6429,,1066.11,0,85.68
2024-03-01,Region,North America,65,0.7231,,7877.16,0,156.12
2024-03-01,Segment,Consumer,64,0.6875,,4175.57,0,76.52
2024-03-01,Segment,Enterprise,10,0.8,,2786.32,0,488.88
2024-03-01,Segment,Mid-Market,19,0.7368,,4120.44,0,249.1
2024-03-01,Segment,SMB,49,0.6939,,4941.32,0,147.21
2024-04-01,Channel,Lifecycle Email,12,0.5833,0.4043,1012.02,0,142.69
2024-04-01,Channel,Organic,68,0.6912,0.4043,8777.36,4,197.59
2024-04-01,Channel,Paid Search,41,0.6341,0.4043,4829.83,4,178.7
2024-04-01,Channel,Paid Social,24,0.75,0.4043,3015.91,3,186.97
2024-04-01,Channel,Partner,28,0.7143,0.4043,3227.44,0,155.23
2024-04-01,Channel,Referral,35,0.7429,0.4043,4057.96,1,180.93
2024-04-01,Plan,Free,50,0.66,0.4043,1967.79,1,69.92
2024-04-01,Plan,Growth,56,0.7143,0.4043,7193.35,2,220.24
2024-04-01,Plan,Pro,28,0.6429,0.4043,9498.29,1,462.0
2024-04-01,Plan,Starter,74,0.7162,0.4043,6261.09,8,118.46
2024-04-01,Region,APAC,49,0.5714,0.4043,5505.01,2,146.71
2024-04-01,Region,Europe,51,0.7255,0.4043,7365.37,2,232.71
2024-04-01,Region,LATAM,17,0.7059,0.4043,1321.86,1,109.25
2024-04-01,Region,North America,91,0.7363,0.4043,10728.28,7,184.8
2024-04-01,Segment,Consumer,88,0.6932,0.4043,6172.94,8,96.15
2024-04-01,Segment,Enterprise,12,0.8333,0.4043,5324.04,1,657.31
2024-04-01,Segment,Mid-Market,44,0.7045,0.4043,8629.28,1,300.08
2024-04-01,Segment,SMB,64,0.6562,0.4043,4794.26,2,143.92
2024-05-01,Channel,Lifecycle Email,17,0.7647,0.4058,1838.39,3,167.58
2024-05-01,Channel,Organic,74,0.7703,0.4058,7323.52,10,205.28
2024-05-01,Channel,Paid Search,59,0.7966,0.4058,6030.07,6,200.04
2024-05-01,Channel,Paid Social,24,0.625,0.4058,1844.65,7,169.52
2024-05-01,Channel,Partner,32,0.75,0.4058,3175.16,2,183.45
2024-05-01,Channel,Referral,48,0.6875,0.4058,6152.22,5,206.78
2024-05-01,Plan,Free,60,0.6833,0.4058,2760.08,4,76.61
2024-05-01,Plan,Growth,78,0.7564,0.4058,10043.37,7,255.25
2024-05-01,Plan,Pro,27,0.7778,0.4058,5401.83,4,450.81
2024-05-01,Plan,Starter,89,0.764,0.4058,8158.73,18,138.11
2024-05-01,Region,APAC,61,0.7213,0.4058,6363.9,7,169.81
2024-05-01,Region,Europe,56,0.75,0.4058,5488.3,8,236.47
2024-05-01,Region,LATAM,18,0.7778,0.4058,2206.69,2,156.26
2024-05-01,Region,North America,119,0.7479,0.4058,12305.12,16,193.79
2024-05-01,Segment,Consumer,106,0.783,0.4058,6197.2,14,106.32
2024-05-01,Segment,Enterprise,15,0.7333,0.4058,2550.94,2,581.37
2024-05-01,Segment,Mid-Market,45,0.7778,0.4058,8327.78,3,327.84
2024-05-01,Segment,SMB,88,0.6818,0.4058,9288.09,14,168.76
2024-06-01,Channel,Lifecycle Email,19,0.8421,0.4167,1551.9,5,173.45
2024-06-01,Channel,Organic,73,0.863,0.4167,8649.35,14,230.96
2024-06-01,Channel,Paid Search,58,0.8448,0.4167,8270.72,10,243.28
2024-06-01,Channel,Paid Social,37,0.7297,0.4167,3157.61,10,168.66
2024-06-01,Channel,Partner,34,0.8529,0.4167,6475.65,7,246.39
2024-06-01,Channel,Referral,37,0.7838,0.4167,3793.74,10,221.53
2024-06-01,Plan,Free,52,0.7692,0.4167,2602.87,9,87.82
2024-06-01,Plan,Growth,85,0.8706,0.4167,12347.49,11,289.12
2024-06-01,Plan,Pro,31,0.7742,0.4167,8638.37,7,471.17
2024-06-01,Plan,Starter,90,0.8333,0.4167,8310.24,29,158.99
2024-06-01,Region,APAC,65,0.8308,0.4167,7664.79,10,204.23
2024-06-01,Region,Europe,61,0.8197,0.4167,6830.45,13,240.03
2024-06-01,Region,LATAM,18,1.0,0.4167,2605.47,4,199.02
2024-06-01,Region,North America,114,0.7982,0.4167,14798.26,29,223.52
2024-06-01,Segment,Consumer,103,0.8641,0.4167,6435.68,24,117.11
2024-06-01,Segment,Enterprise,18,0.7222,0.4167,7898.24,4,655.43
2024-06-01,Segment,Mid-Market,52,0.8462,0.4167,9751.67,3,378.47
2024-06-01,Segment,SMB,85,0.7882,0.4167,7813.38,25,184.21
2024-07-01,Channel,Lifecycle Email,26,0.8462,0.3796,2346.02,4,195.23
2024-07-01,Channel,Organic,95,0.7789,0.3796,12226.04,29,250.33
2024-07-01,Channel,Paid Search,56,0.7857,0.3796,4630.98,16,243.35
2024-07-01,Channel,Paid Social,33,0.8485,0.3796,3279.1,19,173.19
2024-07-01,Channel,Partner,42,0.7619,0.3796,6458.39,9,277.45
2024-07-01,Channel,Referral,41,0.7805,0.3796,6199.44,21,246.81
2024-07-01,Plan,Free,63,0.8413,0.3796,3207.12,18,99.96
2024-07-01,Plan,Growth,88,0.7614,0.3796,12146.49,20,297.04
2024-07-01,Plan,Pro,44,0.8182,0.3796,12252.0,16,519.93
2024-07-01,Plan,Starter,98,0.7755,0.3796,7534.36,44,163.33
2024-07-01,Region,APAC,75,0.8,0.3796,7836.91,22,221.08
2024-07-01,Region,Europe,74,0.7568,0.3796,10394.03,22,267.54
2024-07-01,Region,LATAM,29,0.7586,0.3796,2551.61,7,206.27
2024-07-01,Region,North America,115,0.8174,0.3796,14357.42,47,234.61
2024-07-01,Segment,Consumer,128,0.75,0.3796,7542.98,48,120.65
2024-07-01,Segment,Enterprise,18,0.7778,0.3796,6155.91,7,661.14
2024-07-01,Segment,Mid-Market,55,0.8545,0.3796,11159.99,10,411.41
2024-07-01,Segment,SMB,92,0.8152,0.3796,10281.09,33,209.08
2024-08-01,Channel,Lifecycle Email,17,0.8235,0.3571,2123.58,8,210.07
2024-08-01,Channel,Organic,90,0.8333,0.3571,11134.19,37,270.49
2024-08-01,Channel,Paid Search,66,0.7727,0.3571,5188.65,26,237.46
2024-08-01,Channel,Paid Social,47,0.766,0.3571,5213.41,23,196.01
2024-08-01,Channel,Partner,46,0.8696,0.3571,6404.73,11,297.71
2024-08-01,Channel,Referral,43,0.8605,0.3571,4643.85,33,263.44
2024-08-01,Plan,Free,68,0.8382,0.3571,3387.0,29,106.21
2024-08-01,Plan,Growth,89,0.7978,0.3571,11053.24,30,311.48
2024-08-01,Plan,Pro,49,0.7959,0.3571,11390.4,17,539.28
2024-08-01,Plan,Starter,103,0.835,0.3571,8877.77,62,176.39
2024-08-01,Region,APAC,81,0.7531,0.3571,8579.42,30,230.62
2024-08-01,Region,Europe,70,0.8714,0.3571,8625.02,28,286.69
2024-08-01,Region,LATAM,22,0.7727,0.3571,2818.56,13,211.81
2024-08-01,Region,North America,136,0.8382,0.3571,14685.41,67,251.59
2024-08-01,Segment,Consumer,139,0.7986,0.3571,8240.98,65,125.85
2024-08-01,Segment,Enterprise,18,0.7778,0.3571,7184.69,13,738.72
2024-08-01,Segment,Mid-Market,51,0.7843,0.3571,8585.52,19,430.88
2024-08-01,Segment,SMB,101,0.8713,0.3571,10697.22,41,229.78
2024-09-01,Channel,Lifecycle Email,24,0.75,0.3011,3043.12,13,221.89
2024-09-01,Channel,Organic,90,0.8222,0.3011,9763.53,49,279.43
2024-09-01,Channel,Paid Search,59,0.8814,0.3011,7896.2,40,255.75
2024-09-01,Channel,Paid Social,49,0.8367,0.3011,5248.67,27,220.35
2024-09-01,Channel,Partner,38,0.8421,0.3011,4162.73,17,311.71
2024-09-01,Channel,Referral,49,0.8571,0.3011,4845.1,37,270.26
2024-09-01,Plan,Free,77,0.7792,0.3011,3446.93,33,107.03
2024-09-01,Plan,Growth,89,0.8315,0.3011,11718.93,52,325.45
2024-09-01,Plan,Pro,43,0.8605,0.3011,10375.58,16,587.72
2024-09-01,Plan,Starter,100,0.88,0.3011,9417.91,82,191.58
2024-09-01,Region,APAC,92,0.8478,0.3011,10499.75,38,248.77
2024-09-01,Region,Europe,74,0.8243,0.3011,10097.36,42,300.11
2024-09-01,Region,LATAM,22,0.8636,0.3011,2155.62,12,218.4
2024-09-01,Region,North America,121,0.8347,0.3011,12206.62,91,263.2
2024-09-01,Segment,Consumer,128,0.8594,0.3011,7949.08,90,134.77
2024-09-01,Segment,Enterprise,20,0.8,0.3011,5590.69,16,746.08
2024-09-01,Segment,Mid-Market,62,0.8226,0.3011,11128.48,25,439.17
2024-09-01,Segment,SMB,99,0.8283,0.3011,10291.1,52,244.5
2024-10-01,Channel,Lifecycle Email,30,0.9,0.3717,3927.34,20,238.98
2024-10-01,Channel,Organic,114,0.7895,0.3717,12406.56,75,283.74
2024-10-01,Channel,Paid Search,82,0.8415,0.3717,10343.53,49,275.8
2024-10-01,Channel,Paid Social,48,0.8333,0.3717,5381.79,28,243.11
2024-10-01,Channel,Partner,40,0.9,0.3717,5007.29,28,333.76
2024-10-01,Channel,Referral,57,0.807,0.3717,7394.44,44,285.33
2024-10-01,Plan,Free,91,0.8352,0.3717,4433.65,47,112.61
2024-10-01,Plan,Growth,99,0.8889,0.3717,13391.72,73,340.31
2024-10-01,Plan,Pro,54,0.7778,0.3717,13714.0,33,602.34
2024-10-01,Plan,Starter,127,0.8031,0.3717,12921.58,91,209.78
2024-10-01,Region,APAC,87,0.8161,0.3717,9785.5,52,263.94
2024-10-01,Region,Europe,92,0.8043,0.3717,9820.85,56,306.41
2024-10-01,Region,LATAM,29,0.931,0.3717,4029.49,25,235.58
2024-10-01,Region,North America,163,0.8344,0.3717,20825.11,111,281.98
2024-10-01,Segment,Consumer,152,0.8355,0.3717,9207.4,112,142.71
2024-10-01,Segment,Enterprise,25,0.76,0.3717,8569.85,21,774.19
2024-10-01,Segment,Mid-Market,74,0.8514,0.3717,12685.7,35,449.09
2024-10-01,Segment,SMB,120,0.825,0.3717,13998.0,76,261.06
2024-11-01,Channel,Lifecycle Email,23,0.8261,0.3922,2969.63,21,251.88
2024-11-01,Channel,Organic,103,0.8641,0.3922,14392.79,88,303.37
2024-11-01,Channel,Paid Search,94,0.8511,0.3922,9342.89,57,289.44
2024-11-01,Channel,Paid Social,49,0.898,0.3922,4655.11,39,258.99
2024-11-01,Channel,Partner,42,0.9286,0.3922,6407.37,31,367.4
2024-11-01,Channel,Referral,71,0.9155,0.3922,8187.4,39,305.31
2024-11-01,Plan,Free,89,0.8764,0.3922,4402.35,58,116.73
2024-11-01,Plan,Growth,111,0.8829,0.3922,14384.54,81,361.75
2024-11-01,Plan,Pro,66,0.8333,0.3922,17299.56,38,640.61
2024-11-01,Plan,Starter,116,0.9052,0.3922,9868.74,98,225.3
2024-11-01,Region,APAC,95,0.9263,0.3922,11298.33,64,290.97
2024-11-01,Region,Europe,85,0.8706,0.3922,9259.27,61,316.6
2024-11-01,Region,LATAM,39,0.8205,0.3922,5211.5,25,263.75
2024-11-01,Region,North America,163,0.8712,0.3922,20186.09,125,299.19
2024-11-01,Segment,Consumer,155,0.8903,0.3922,9881.83,125,153.96
2024-11-01,Segment,Enterprise,28,0.8929,0.3922,7813.64,22,806.99
2024-11-01,Segment,Mid-Market,91,0.8462,0.3922,16749.57,43,469.96
2024-11-01,Segment,SMB,108,0.8889,0.3922,11510.15,85,276.44
2024-12-01,Channel,Lifecycle Email,27,0.963,0.3158,2215.15,29,272.25
2024-12-01,Channel,Organic,106,0.9057,0.3158,11435.06,100,322.34
2024-12-01,Channel,Paid Search,93,0.8495,0.3158,12839.26,63,312.31
2024-12-01,Channel,Paid Social,39,0.8205,0.3158,4678.3,48,271.11
2024-12-01,Channel,Partner,46,0.8913,0.3158,7012.05,33,398.97
2024-12-01,Channel,Referral,64,0.9219,0.3158,8108.68,48,330.14
2024-12-01,Plan,Free,88,0.8523,0.3158,3975.08,74,122.82
2024-12-01,Plan,Growth,115,0.8696,0.3158,16151.14,90,386.77
2024-12-01,Plan,Pro,50,0.9,0.3158,15920.98,44,686.35
2024-12-01,Plan,Starter,122,0.9262,0.3158,10241.3,113,241.36
2024-12-01,Region,APAC,100,0.82,0.3158,10333.16,84,295.61
2024-12-01,Region,Europe,84,0.9286,0.3158,10676.14,75,339.23
2024-12-01,Region,LATAM,42,0.881,0.3158,4797.63,23,293.26
2024-12-01,Region,North America,149,0.9128,0.3158,20481.57,139,328.52
2024-12-01,Segment,Consumer,160,0.875,0.3158,9273.86,143,163.72
2024-12-01,Segment,Enterprise,25,0.92,0.3158,8527.93,24,853.65
2024-12-01,Segment,Mid-Market,85,0.8941,0.3158,17873.72,47,513.15
2024-12-01,Segment,SMB,105,0.8952,0.3158,10612.99,107,290.38
2025-01-01,Channel,Lifecycle Email,29,0.8966,0.3304,3716.21,30,302.1
2025-01-01,Channel,Organic,106,0.9245,0.3304,12992.92,121,342.94
2025-01-01,Channel,Paid Search,81,0.8519,0.3304,9678.8,83,324.04
2025-01-01,Channel,Paid Social,63,0.8889,0.3304,6038.01,48,281.29
2025-01-01,Channel,Partner,52,0.9423,0.3304,8923.57,34,428.31
2025-01-01,Channel,Referral,67,0.8806,0.3304,8500.89,53,344.88
2025-01-01,Plan,Free,101,0.901,0.3304,4796.02,90,129.13
2025-01-01,Plan,Growth,113,0.9027,0.3304,16743.38,94,408.91
2025-01-01,Plan,Pro,56,0.9107,0.3304,16639.45,55,750.43
2025-01-01,Plan,Starter,128,0.8828,0.3304,11671.55,130,251.16
2025-01-01,Region,APAC,99,0.8788,0.3304,13585.79,91,316.76
2025-01-01,Region,Europe,89,0.8876,0.3304,10925.38,93,346.54
2025-01-01,Region,LATAM,31,0.9032,0.3304,5945.29,26,335.92
2025-01-01,Region,North America,179,0.9106,0.3304,19393.94,159,345.39
2025-01-01,Segment,Consumer,162,0.9136,0.3304,10383.53,166,172.81
2025-01-01,Segment,Enterprise,25,1.0,0.3304,7866.83,27,918.35
2025-01-01,Segment,Mid-Market,86,0.8721,0.3304,17705.88,54,544.42
2025-01-01,Segment,SMB,125,0.872,0.3304,13894.16,122,304.2
2025-02-01,Channel,Lifecycle Email,34,0.8824,0.383,4712.81,28,332.96
2025-02-01,Channel,Organic,129,0.8837,0.383,16009.37,121,361.86
2025-02-01,Channel,Paid Search,91,0.8901,0.383,9035.36,95,341.32
2025-02-01,Channel,Paid Social,68,0.9412,0.383,7136.63,54,312.79
2025-02-01,Channel,Partner,67,0.9104,0.383,8474.25,35,450.1
2025-02-01,Channel,Referral,86,0.8953,0.383,9740.08,55,366.52
2025-02-01,Plan,Free,123,0.9106,0.383,5732.52,93,140.09
2025-02-01,Plan,Growth,134,0.8955,0.383,19374.87,100,437.82
2025-02-01,Plan,Pro,65,0.8923,0.383,16366.93,55,802.96
2025-02-01,Plan,Starter,153,0.8954,0.383,13634.18,140,265.86
2025-02-01,Region,APAC,132,0.8712,0.383,15620.95,103,335.91
2025-02-01,Region,Europe,99,0.8788,0.383,11539.24,104,366.26
2025-02-01,Region,LATAM,37,1.0,0.383,4407.45,30,364.03
2025-02-01,Region,North America,207,0.9082,0.383,23540.86,151,370.62
2025-02-01,Segment,Consumer,198,0.8889,0.383,11230.02,170,181.62
2025-02-01,Segment,Enterprise,33,0.9091,0.383,10771.35,27,978.14
2025-02-01,Segment,Mid-Market,98,0.898,0.383,19464.72,67,591.42
2025-02-01,Segment,SMB,146,0.911,0.383,13642.41,124,322.52
2025-03-01,Channel,Lifecycle Email,30,0.8333,0.3067,2933.53,33,335.6
2025-03-01,Channel,Organic,133,0.9248,0.3067,14627.55,125,384.46
2025-03-01,Channel,Paid Search,113,0.8319,0.3067,11492.5,103,345.38
2025-03-01,Channel,Paid Social,67,0.8955,0.3067,7068.6,54,330.71
2025-03-01,Channel,Partner,59,0.9322,0.3067,8118.91,42,472.3
2025-03-01,Channel,Referral,87,0.977,0.3067,15500.31,67,418.18
2025-03-01,Plan,Free,108,0.9167,0.3067,4840.41,99,147.14
2025-03-01,Plan,Growth,155,0.8839,0.3067,18947.74,116,452.76
2025-03-01,Plan,Pro,70,0.8857,0.3067,22667.51,61,860.96
2025-03-01,Plan,Starter,156,0.9231,0.3067,13285.74,148,280.39
2025-03-01,Region,APAC,130,0.9154,0.3067,17118.56,113,364.1
2025-03-01,Region,Europe,115,0.887,0.3067,16948.25,107,392.32
2025-03-01,Region,LATAM,36,0.9722,0.3067,5213.29,41,387.0
2025-03-01,Region,North America,208,0.8942,0.3067,20461.3,163,383.07
2025-03-01,Segment,Consumer,215,0.8977,0.3067,12530.94,182,191.53
2025-03-01,Segment,Enterprise,34,0.9412,0.3067,12410.24,27,1070.5
2025-03-01,Segment,Mid-Market,89,0.9775,0.3067,17658.86,75,631.42
2025-03-01,Segment,SMB,151,0.8609,0.3067,17141.36,140,336.88
2025-04-01,Channel,Lifecycle Email,42,0.881,0.3864,4541.14,34,362.36
2025-04-01,Channel,Organic,150,0.9333,0.3864,17753.02,124,402.1
2025-04-01,Channel,Paid Search,107,0.9533,0.3864,11678.46,103,368.85
2025-04-01,Channel,Paid Social,81,0.9506,0.3864,9455.23,57,358.56
2025-04-01,Channel,Partner,70,0.9714,0.3864,9851.1,41,504.86
2025-04-01,Channel,Referral,85,0.9059,0.3864,11912.97,67,438.28
2025-04-01,Plan,Free,134,0.9627,0.3864,6051.58,101,154.72
2025-04-01,Plan,Growth,149,0.9396,0.3864,22395.28,106,486.57
2025-04-01,Plan,Pro,80,0.9125,0.3864,21193.3,64,900.01
2025-04-01,Plan,Starter,172,0.9244,0.3864,15551.76,155,298.11
2025-04-01,Region,APAC,164,0.8963,0.3864,19855.63,112,387.18
2025-04-01,Region,Europe,124,0.9435,0.3864,18124.26,105,424.39
2025-04-01,Region,LATAM,37,0.9189,0.3864,3884.23,34,403.11
2025-04-01,Region,North America,210,0.9667,0.3864,23327.8,175,403.4
2025-04-01,Segment,Consumer,218,0.9128,0.3864,13612.42,183,200.4
2025-04-01,Segment,Enterprise,35,0.9714,0.3864,12174.12,28,1129.19
2025-04-01,Segment,Mid-Market,115,0.9478,0.3864,23144.36,72,687.83
2025-04-01,Segment,SMB,167,0.9521,0.3864,16261.02,143,356.46
2025-05-01,Channel,Lifecycle Email,43,0.9767,0.3718,3991.75,36,368.66
2025-05-01,Channel,Organic,158,0.8671,0.3718,15786.43,140,405.88
2025-05-01,Channel,Paid Search,131,0.9084,0.3718,14297.45,105,383.52
2025-05-01,Channel,Paid Social,77,0.9091,0.3718,6194.41,63,364.12
2025-05-01,Channel,Partner,70,0.9429,0.3718,10721.42,44,538.99
2025-05-01,Channel,Referral,81,0.9506,0.3718,12625.77,75,469.5
2025-05-01,Plan,Free,145,0.9172,0.3718,6073.28,117,157.64
2025-05-01,Plan,Growth,158,0.9494,0.3718,22737.15,117,518.17
2025-05-01,Plan,Pro,82,0.9146,0.3718,20832.5,65,916.17
2025-05-01,Plan,Starter,175,0.8743,0.3718,13974.3,164,306.14
2025-05-01,Region,APAC,138,0.9203,0.3718,17054.71,118,405.08
2025-05-01,Region,Europe,128,0.9062,0.3718,13635.54,115,436.1
2025-05-01,Region,LATAM,49,0.9388,0.3718,5946.81,34,437.79
2025-05-01,Region,North America,245,0.9061,0.3718,26980.17,196,412.59
2025-05-01,Segment,Consumer,242,0.9215,0.3718,14262.58,197,207.27
2025-05-01,Segment,Enterprise,39,0.9231,0.3718,11335.72,28,1184.43
2025-05-01,Segment,Mid-Market,98,0.9082,0.3718,19842.49,86,723.04
2025-05-01,Segment,SMB,181,0.9006,0.3718,18176.44,152,367.41
2025-06-01,Channel,Lifecycle Email,29,0.8621,0.3563,2912.98,40,368.37
2025-06-01,Channel,Organic,135,0.9037,0.3563,15241.75,145,421.83
2025-06-01,Channel,Paid Search,117,0.906,0.3563,12808.65,111,397.56
2025-06-01,Channel,Paid Social,71,0.9577,0.3563,6147.76,69,382.39
2025-06-01,Channel,Partner,64,0.9219,0.3563,8194.34,57,545.11
2025-06-01,Channel,Referral,95,0.8947,0.3563,13776.75,81,491.2
2025-06-01,Plan,Free,122,0.9344,0.3563,6137.0,120,167.94
2025-06-01,Plan,Growth,148,0.8986,0.3563,17968.78,133,524.62
2025-06-01,Plan,Pro,80,0.9875,0.3563,19111.97,67,969.52
2025-06-01,Plan,Starter,161,0.8634,0.3563,15864.48,183,316.08
2025-06-01,Region,APAC,153,0.915,0.3563,18470.5,116,428.09
2025-06-01,Region,Europe,121,0.8512,0.3563,12959.99,122,442.48
2025-06-01,Region,LATAM,41,0.9024,0.3563,4528.09,43,438.9
2025-06-01,Region,North America,196,0.9439,0.3563,23123.65,222,429.58
2025-06-01,Segment,Consumer,214,0.9206,0.3563,13012.2,215,216.28
2025-06-01,Segment,Enterprise,29,0.931,0.3563,10047.89,32,1222.63
2025-06-01,Segment,Mid-Market,111,0.9279,0.3563,21077.26,86,759.08
2025-06-01,Segment,SMB,157,0.879,0.3563,14944.88,170,373.54
2025-07-01,Channel,Lifecycle Email,43,0.9535,0.3537,4397.58,51,385.19
2025-07-01,Channel,Organic,146,0.9041,0.3537,17633.33,172,432.61
2025-07-01,Channel,Paid Search,128,0.9219,0.3537,13535.22,115,408.85
2025-07-01,Channel,Paid Social,68,0.9265,0.3537,7460.53,82,398.41
2025-07-01,Channel,Partner,68,0.8676,0.3537,11139.11,76,551.37
2025-07-01,Channel,Referral,89,0.9326,0.3537,13571.13,92,524.36
2025-07-01,Plan,Free,145,0.8897,0.3537,6536.25,139,170.65
2025-07-01,Plan,Growth,144,0.9167,0.3537,20946.16,164,545.43
2025-07-01,Plan,Pro,87,0.931,0.3537,24016.81,72,1014.99
2025-07-01,Plan,Starter,166,0.9277,0.3537,16237.68,213,328.31
2025-07-01,Region,APAC,134,0.903,0.3537,17140.46,157,439.27
2025-07-01,Region,Europe,138,0.9348,0.3537,18538.09,136,463.8
2025-07-01,Region,LATAM,53,0.8868,0.3537,7251.18,45,465.05
2025-07-01,Region,North America,217,0.9171,0.3537,24807.17,250,441.99
2025-07-01,Segment,Consumer,238,0.916,0.3537,14123.4,250,223.3
2025-07-01,Segment,Enterprise,46,0.8913,0.3537,17478.93,33,1277.98
2025-07-01,Segment,Mid-Market,107,0.9346,0.3537,20653.47,104,778.37
2025-07-01,Segment,SMB,151,0.9073,0.3537,15481.1,201,384.1
2025-08-01,Channel,Lifecycle Email,41,0.9024,0.4175,4946.78,60,398.71
2025-08-01,Channel,Organic,146,0.9041,0.4175,17347.34,205,437.54
2025-08-01,Channel,Paid Search,112,0.875,0.4175,13198.1,148,414.04
2025-08-01,Channel,Paid Social,63,0.8889,0.4175,6048.07,91,400.36
2025-08-01,Channel,Partner,70,0.8714,0.4175,9669.07,82,552.66
2025-08-01,Channel,Referral,91,0.7802,0.4175,10810.86,109,511.62
2025-08-01,Plan,Free,127,0.8346,0.4175,6646.94,165,172.84
2025-08-01,Plan,Growth,156,0.8782,0.4175,23131.57,183,552.25
2025-08-01,Plan,Pro,83,0.9398,0.4175,18737.77,91,1009.23
2025-08-01,Plan,Starter,157,0.8535,0.4175,13503.94,256,329.45
2025-08-01,Region,APAC,146,0.8699,0.4175,19561.93,175,443.25
2025-08-01,Region,Europe,132,0.8864,0.4175,18155.11,159,475.52
2025-08-01,Region,LATAM,42,0.8571,0.4175,4027.44,57,460.98
2025-08-01,Region,North America,203,0.8621,0.4175,20275.74,304,439.62
2025-08-01,Segment,Consumer,222,0.8739,0.4175,13919.07,308,225.9
2025-08-01,Segment,Enterprise,45,0.7778,0.4175,15025.77,42,1227.98
2025-08-01,Segment,Mid-Market,95,0.8842,0.4175,16675.34,116,786.18
2025-08-01,Segment,SMB,161,0.882,0.4175,16400.04,229,385.87
2025-09-01,Channel,Lifecycle Email,36,0.9167,0.3133,3388.92,61,392.02
2025-09-01,Channel,Organic,137,0.9124,0.3133,16608.87,235,446.08
2025-09-01,Channel,Paid Search,113,0.8761,0.3133,14634.5,177,419.0
2025-09-01,Channel,Paid Social,70,0.8286,0.3133,6682.21,100,392.28
2025-09-01,Channel,Partner,71,0.8873,0.3133,12397.9,96,567.17
2025-09-01,Channel,Referral,81,0.8642,0.3133,12084.79,131,515.75
2025-09-01,Plan,Free,131,0.8779,0.3133,5733.05,188,173.25
