CohortMonth,CohortMonthLabel,ActivityMonth,MonthsSinceCohort,CohortSize,RetainedCustomers,RepeatCustomers,NetRevenue,CumulativeRevenue,RetentionRate,RepeatPurchaseRate,CumulativeLTV,IsCompleteCohort
2024-01-01,Jan 2024,2025-08-01,19,47,5,46,555.23,29744.25,0.1064,0.9787,632.86,1
2024-01-01,Jan 2024,2025-09-01,20,47,6,46,393.93,30138.18,0.1277,0.9787,641.24,1
2024-01-01,Jan 2024,2025-10-01,21,47,3,46,168.96,30307.14,0.0638,0.9787,644.83,1
2024-01-01,Jan 2024,2025-11-01,22,47,5,46,465.47,30772.61,0.1064,0.9787,654.74,1
2024-01-01,Jan 2024,2025-12-01,23,47,5,46,385.79,31158.4,0.1064,0.9787,662.94,1
2024-01-01,Jan 2024,2026-01-01,24,47,5,46,1173.41,32331.81,0.1064,0.9787,687.91,1
2024-01-01,Jan 2024,2026-02-01,25,47,1,46,127.31,32459.12,0.0213,0.9787,690.62,1
2024-01-01,Jan 2024,2026-03-01,26,47,9,46,932.93,33392.05,0.1915,0.9787,710.47,1
2024-01-01,Jan 2024,2026-04-01,27,47,6,46,226.27,33618.32,0.1277,0.9787,715.28,1
2024-01-01,Jan 2024,2026-05-01,28,47,6,46,495.9,34114.22,0.1277,0.9787,725.83,1
2024-02-01,Feb 2024,2024-02-01,0,69,69,33,8603.74,8603.74,1.0,0.4783,124.69,1
2024-02-01,Feb 2024,2024-03-01,1,69,28,53,2849.62,11453.36,0.4058,0.7681,165.99,1
2024-02-01,Feb 2024,2024-04-01,2,69,32,60,4034.38,15487.74,0.4638,0.8696,224.46,1
2024-02-01,Feb 2024,2024-05-01,3,69,28,62,3221.52,18709.26,0.4058,0.8986,271.15,1
2024-02-01,Feb 2024,2024-06-01,4,69,20,64,1949.51,20658.77,0.2899,0.9275,299.4,1
2024-02-01,Feb 2024,2024-07-01,5,69,24,64,2480.78,23139.55,0.3478,0.9275,335.36,1
2024-02-01,Feb 2024,2024-08-01,6,69,21,65,2840.03,25979.58,0.3043,0.942,376.52,1
2024-02-01,Feb 2024,2024-09-01,7,69,21,67,2056.22,28035.8,0.3043,0.971,406.32,1
2024-02-01,Feb 2024,2024-10-01,8,69,21,68,2842.94,30878.74,0.3043,0.9855,447.52,1
2024-02-01,Feb 2024,2024-11-01,9,69,21,68,1991.36,32870.1,0.3043,0.9855,476.38,1
2024-02-01,Feb 2024,2024-12-01,10,69,14,68,1178.82,34048.92,0.2029,0.9855,493.46,1
2024-02-01,Feb 2024,2025-01-01,11,69,16,68,1963.0,36011.92,0.2319,0.9855,521.91,1
2024-02-01,Feb 2024,2025-02-01,12,69,16,68,1539.09,37551.01,0.2319,0.9855,544.22,1
2024-02-01,Feb 2024,2025-03-01,13,69,20,68,2753.34,40304.35,0.2899,0.9855,584.12,1
2024-02-01,Feb 2024,2025-04-01,14,69,15,68,1619.61,41923.96,0.2174,0.9855,607.59,1
2024-02-01,Feb 2024,2025-05-01,15,69,12,68,1482.45,43406.41,0.1739,0.9855,629.08,1
2024-02-01,Feb 2024,2025-06-01,16,69,13,68,1062.09,44468.5,0.1884,0.9855,644.47,1
2024-02-01,Feb 2024,2025-07-01,17,69,12,68,1070.5,45539.0,0.1739,0.9855,659.99,1
2024-02-01,Feb 2024,2025-08-01,18,69,10,68,1048.79,46587.79,0.1449,0.9855,675.19,1
2024-02-01,Feb 2024,2025-09-01,19,69,12,68,1833.11,48420.9,0.1739,0.9855,701.75,1
2024-02-01,Feb 2024,2025-10-01,20,69,7,68,1155.95,49576.85,0.1014,0.9855,718.51,1
2024-02-01,Feb 2024,2025-11-01,21,69,6,68,432.82,50009.67,0.087,0.9855,724.78,1
2024-02-01,Feb 2024,2025-12-01,22,69,9,68,1995.73,52005.4,0.1304,0.9855,753.7,1
2024-02-01,Feb 2024,2026-01-01,23,69,10,69,721.34,52726.74,0.1449,1.0,764.16,1
2024-02-01,Feb 2024,2026-02-01,24,69,11,69,1505.16,54231.9,0.1594,1.0,785.97,1
2024-02-01,Feb 2024,2026-03-01,25,69,14,69,1236.59,55468.49,0.2029,1.0,803.89,1
2024-02-01,Feb 2024,2026-04-01,26,69,12,69,1297.87,56766.36,0.1739,1.0,822.7,1
2024-02-01,Feb 2024,2026-05-01,27,69,10,69,633.97,57400.33,0.1449,1.0,831.89,1
2024-03-01,Mar 2024,2024-03-01,0,96,96,54,11327.78,11327.78,1.0,0.5625,118.0,1
2024-03-01,Mar 2024,2024-04-01,1,96,49,77,6984.59,18312.37,0.5104,0.8021,190.75,1
2024-03-01,Mar 2024,2024-05-01,2,96,46,85,4572.6,22884.97,0.4792,0.8854,238.39,1
2024-03-01,Mar 2024,2024-06-01,3,96,40,86,6252.41,29137.38,0.4167,0.8958,303.51,1
2024-03-01,Mar 2024,2024-07-01,4,96,28,88,2864.34,32001.72,0.2917,0.9167,333.35,1
2024-03-01,Mar 2024,2024-08-01,5,96,29,89,2601.93,34603.65,0.3021,0.9271,360.45,1
2024-03-01,Mar 2024,2024-09-01,6,96,31,90,3335.89,37939.54,0.3229,0.9375,395.2,1
2024-03-01,Mar 2024,2024-10-01,7,96,19,91,2544.0,40483.54,0.1979,0.9479,421.7,1
2024-03-01,Mar 2024,2024-11-01,8,96,26,93,2777.28,43260.82,0.2708,0.9688,450.63,1
2024-03-01,Mar 2024,2024-12-01,9,96,25,93,1825.7,45086.52,0.2604,0.9688,469.65,1
2024-03-01,Mar 2024,2025-01-01,10,96,14,93,1589.41,46675.93,0.1458,0.9688,486.21,1
2024-03-01,Mar 2024,2025-02-01,11,96,29,94,4114.54,50790.47,0.3021,0.9792,529.07,1
2024-03-01,Mar 2024,2025-03-01,12,96,19,94,1991.1,52781.57,0.1979,0.9792,549.81,1
2024-03-01,Mar 2024,2025-04-01,13,96,21,94,2898.53,55680.1,0.2188,0.9792,580.0,1
2024-03-01,Mar 2024,2025-05-01,14,96,17,94,2167.11,57847.21,0.1771,0.9792,602.58,1
2024-03-01,Mar 2024,2025-06-01,15,96,22,94,1821.47,59668.68,0.2292,0.9792,621.55,1
2024-03-01,Mar 2024,2025-07-01,16,96,15,94,1428.04,61096.72,0.1562,0.9792,636.42,1
2024-03-01,Mar 2024,2025-08-01,17,96,13,94,1119.5,62216.22,0.1354,0.9792,648.09,1
2024-03-01,Mar 2024,2025-09-01,18,96,9,94,1116.66,63332.88,0.0938,0.9792,659.72,1
2024-03-01,Mar 2024,2025-10-01,19,96,14,94,1263.85,64596.73,0.1458,0.9792,672.88,1
2024-03-01,Mar 2024,2025-11-01,20,96,13,94,936.66,65533.39,0.1354,0.9792,682.64,1
2024-03-01,Mar 2024,2025-12-01,21,96,12,94,1236.35,66769.74,0.125,0.9792,695.52,1
2024-03-01,Mar 2024,2026-01-01,22,96,10,95,525.23,67294.97,0.1042,0.9896,700.99,1
2024-03-01,Mar 2024,2026-02-01,23,96,12,95,856.52,68151.49,0.125,0.9896,709.91,1
2024-03-01,Mar 2024,2026-03-01,24,96,11,95,964.57,69116.06,0.1146,0.9896,719.96,1
2024-03-01,Mar 2024,2026-04-01,25,96,16,95,2469.7,71585.76,0.1667,0.9896,745.68,1
2024-03-01,Mar 2024,2026-05-01,26,96,11,95,883.0,72468.76,0.1146,0.9896,754.88,1
2024-04-01,Apr 2024,2024-04-01,0,108,108,44,11544.65,11544.65,1.0,0.4074,106.89,1
2024-04-01,Apr 2024,2024-05-01,1,108,54,71,6430.87,17975.52,0.5,0.6574,166.44,1
2024-04-01,Apr 2024,2024-06-01,2,108,50,87,4887.2,22862.72,0.463,0.8056,211.69,1
2024-04-01,Apr 2024,2024-07-01,3,108,41,93,4914.37,27777.09,0.3796,0.8611,257.2,1
2024-04-01,Apr 2024,2024-08-01,4,108,39,97,4759.28,32536.37,0.3611,0.8981,301.26,1
2024-04-01,Apr 2024,2024-09-01,5,108,30,98,4035.46,36571.83,0.2778,0.9074,338.63,1
2024-04-01,Apr 2024,2024-10-01,6,108,37,100,4331.65,40903.48,0.3426,0.9259,378.74,1
2024-04-01,Apr 2024,2024-11-01,7,108,27,103,2294.92,43198.4,0.25,0.9537,399.99,1
2024-04-01,Apr 2024,2024-12-01,8,108,37,104,4801.99,48000.39,0.3426,0.963,444.45,1
2024-04-01,Apr 2024,2025-01-01,9,108,22,104,2855.59,50855.98,0.2037,0.963,470.89,1
2024-04-01,Apr 2024,2025-02-01,10,108,39,105,4561.69,55417.67,0.3611,0.9722,513.13,1
2024-04-01,Apr 2024,2025-03-01,11,108,26,106,3095.67,58513.34,0.2407,0.9815,541.79,1
2024-04-01,Apr 2024,2025-04-01,12,108,36,106,3597.79,62111.13,0.3333,0.9815,575.1,1
2024-04-01,Apr 2024,2025-05-01,13,108,29,106,2723.73,64834.86,0.2685,0.9815,600.32,1
2024-04-01,Apr 2024,2025-06-01,14,108,25,106,2774.41,67609.27,0.2315,0.9815,626.01,1
2024-04-01,Apr 2024,2025-07-01,15,108,21,106,2382.04,69991.31,0.1944,0.9815,648.07,1
2024-04-01,Apr 2024,2025-08-01,16,108,14,107,1759.79,71751.1,0.1296,0.9907,664.36,1
2024-04-01,Apr 2024,2025-09-01,17,108,16,107,1245.97,72997.07,0.1481,0.9907,675.9,1
2024-04-01,Apr 2024,2025-10-01,18,108,15,107,1553.85,74550.92,0.1389,0.9907,690.29,1
2024-04-01,Apr 2024,2025-11-01,19,108,16,107,1552.05,76102.97,0.1481,0.9907,704.66,1
2024-04-01,Apr 2024,2025-12-01,20,108,13,107,808.03,76911.0,0.1204,0.9907,712.14,1
2024-04-01,Apr 2024,2026-01-01,21,108,19,107,2340.6,79251.6,0.1759,0.9907,733.81,1
2024-04-01,Apr 2024,2026-02-01,22,108,16,107,1844.52,81096.12,0.1481,0.9907,750.89,1
2024-04-01,Apr 2024,2026-03-01,23,108,19,107,2310.44,83406.56,0.1759,0.9907,772.28,1
2024-04-01,Apr 2024,2026-04-01,24,108,16,108,2560.14,85966.7,0.1481,1.0,795.99,1
2024-04-01,Apr 2024,2026-05-01,25,108,18,108,1442.72,87409.42,0.1667,1.0,809.35,1
2024-05-01,May 2024,2024-05-01,0,112,112,47,10761.4,10761.4,1.0,0.4196,96.08,1
2024-05-01,May 2024,2024-06-01,1,112,43,74,4854.36,15615.76,0.3839,0.6607,139.43,1
2024-05-01,May 2024,2024-07-01,2,112,36,85,3405.8,19021.56,0.3214,0.7589,169.84,1
2024-05-01,May 2024,2024-08-01,3,112,40,94,4567.8,23589.36,0.3571,0.8393,210.62,1
2024-05-01,May 2024,2024-09-01,4,112,33,96,3690.12,27279.48,0.2946,0.8571,243.57,1
2024-05-01,May 2024,2024-10-01,5,112,34,97,3623.93,30903.41,0.3036,0.8661,275.92,1
2024-05-01,May 2024,2024-11-01,6,112,35,103,3798.15,34701.56,0.3125,0.9196,309.84,1
2024-05-01,May 2024,2024-12-01,7,112,34,106,4996.66,39698.22,0.3036,0.9464,354.45,1
2024-05-01,May 2024,2025-01-01,8,112,25,106,2388.26,42086.48,0.2232,0.9464,375.77,1
2024-05-01,May 2024,2025-02-01,9,112,31,107,3918.3,46004.78,0.2768,0.9554,410.76,1
2024-05-01,May 2024,2025-03-01,10,112,31,108,3245.13,49249.91,0.2768,0.9643,439.73,1
2024-05-01,May 2024,2025-04-01,11,112,33,110,4400.08,53649.99,0.2946,0.9821,479.02,1
2024-05-01,May 2024,2025-05-01,12,112,24,110,2773.95,56423.94,0.2143,0.9821,503.79,1
2024-05-01,May 2024,2025-06-01,13,112,18,111,1308.86,57732.8,0.1607,0.9911,515.47,1
2024-05-01,May 2024,2025-07-01,14,112,12,112,1208.43,58941.23,0.1071,1.0,526.26,1
2024-05-01,May 2024,2025-08-01,15,112,22,112,1625.67,60566.9,0.1964,1.0,540.78,1
2024-05-01,May 2024,2025-09-01,16,112,12,112,1428.9,61995.8,0.1071,1.0,553.53,1
2024-05-01,May 2024,2025-10-01,17,112,16,112,1085.57,63081.37,0.1429,1.0,563.23,1
2024-05-01,May 2024,2025-11-01,18,112,19,112,1294.98,64376.35,0.1696,1.0,574.79,1
2024-05-01,May 2024,2025-12-01,19,112,12,112,1511.77,65888.12,0.1071,1.0,588.29,1
2024-05-01,May 2024,2026-01-01,20,112,19,112,2366.22,68254.34,0.1696,1.0,609.41,1
2024-05-01,May 2024,2026-02-01,21,112,12,112,1173.3,69427.64,0.1071,1.0,619.89,1
2024-05-01,May 2024,2026-03-01,22,112,20,112,3230.39,72658.03,0.1786,1.0,648.73,1
2024-05-01,May 2024,2026-04-01,23,112,18,112,1992.66,74650.69,0.1607,1.0,666.52,1
2024-05-01,May 2024,2026-05-01,24,112,19,112,2420.69,77071.38,0.1696,1.0,688.14,1
2024-06-01,Jun 2024,2024-06-01,0,93,93,48,12431.87,12431.87,1.0,0.5161,133.68,1
2024-06-01,Jun 2024,2024-07-01,1,93,37,64,4449.7,16881.57,0.3978,0.6882,181.52,1
2024-06-01,Jun 2024,2024-08-01,2,93,24,71,3165.19,20046.76,0.2581,0.7634,215.56,1
2024-06-01,Jun 2024,2024-09-01,3,93,28,73,4862.3,24909.06,0.3011,0.7849,267.84,1
2024-06-01,Jun 2024,2024-10-01,4,93,32,79,5172.47,30081.53,0.3441,0.8495,323.46,1
2024-06-01,Jun 2024,2024-11-01,5,93,22,82,1938.97,32020.5,0.2366,0.8817,344.31,1
2024-06-01,Jun 2024,2024-12-01,6,93,22,82,4356.82,36377.32,0.2366,0.8817,391.15,1
2024-06-01,Jun 2024,2025-01-01,7,93,28,86,4072.1,40449.42,0.3011,0.9247,434.94,1
2024-06-01,Jun 2024,2025-02-01,8,93,20,87,3360.15,43809.57,0.2151,0.9355,471.07,1
2024-06-01,Jun 2024,2025-03-01,9,93,28,88,4029.04,47838.61,0.3011,0.9462,514.39,1
2024-06-01,Jun 2024,2025-04-01,10,93,34,89,4240.99,52079.6,0.3656,0.957,560.0,1
2024-06-01,Jun 2024,2025-05-01,11,93,28,90,4659.26,56738.86,0.3011,0.9677,610.1,1
2024-06-01,Jun 2024,2025-06-01,12,93,20,90,3153.13,59891.99,0.2151,0.9677,644.0,1
2024-06-01,Jun 2024,2025-07-01,13,93,16,90,2605.1,62497.09,0.172,0.9677,672.01,1
2024-06-01,Jun 2024,2025-08-01,14,93,18,90,4778.21,67275.3,0.1935,0.9677,723.39,1
2024-06-01,Jun 2024,2025-09-01,15,93,8,90,723.76,67999.06,0.086,0.9677,731.17,1
2024-06-01,Jun 2024,2025-10-01,16,93,13,92,1492.29,69491.35,0.1398,0.9892,747.22,1
2024-06-01,Jun 2024,2025-11-01,17,93,16,92,1975.28,71466.63,0.172,0.9892,768.46,1
2024-06-01,Jun 2024,2025-12-01,18,93,14,92,2510.88,73977.51,0.1505,0.9892,795.46,1
2024-06-01,Jun 2024,2026-01-01,19,93,11,92,2703.6,76681.11,0.1183,0.9892,824.53,1
2024-06-01,Jun 2024,2026-02-01,20,93,15,93,1522.82,78203.93,0.1613,1.0,840.9,1
2024-06-01,Jun 2024,2026-03-01,21,93,17,93,2193.28,80397.21,0.1828,1.0,864.49,1
2024-06-01,Jun 2024,2026-04-01,22,93,11,93,1397.28,81794.49,0.1183,1.0,879.51,1
2024-06-01,Jun 2024,2026-05-01,23,93,8,93,576.33,82370.82,0.086,1.0,885.71,1
2024-07-01,Jul 2024,2024-07-01,0,113,113,52,14725.57,14725.57,1.0,0.4602,130.31,1
2024-07-01,Jul 2024,2024-08-01,1,113,44,78,6603.99,21329.56,0.3894,0.6903,188.76,1
2024-07-01,Jul 2024,2024-09-01,2,113,29,87,2611.53,23941.09,0.2566,0.7699,211.87,1
2024-07-01,Jul 2024,2024-10-01,3,113,42,99,4873.27,28814.36,0.3717,0.8761,254.99,1
2024-07-01,Jul 2024,2024-11-01,4,113,27,100,3443.05,32257.41,0.2389,0.885,285.46,1
2024-07-01,Jul 2024,2024-12-01,5,113,30,101,4280.16,36537.57,0.2655,0.8938,323.34,1
2024-07-01,Jul 2024,2025-01-01,6,113,24,103,4378.97,40916.54,0.2124,0.9115,362.09,1
2024-07-01,Jul 2024,2025-02-01,7,113,36,107,4597.87,45514.41,0.3186,0.9469,402.78,1
2024-07-01,Jul 2024,2025-03-01,8,113,31,108,5228.03,50742.44,0.2743,0.9558,449.05,1
2024-07-01,Jul 2024,2025-04-01,9,113,30,108,4153.36,54895.8,0.2655,0.9558,485.8,1
2024-07-01,Jul 2024,2025-05-01,10,113,37,108,4431.34,59327.14,0.3274,0.9558,525.02,1
2024-07-01,Jul 2024,2025-06-01,11,113,28,108,5607.34,64934.48,0.2478,0.9558,574.64,1
2024-07-01,Jul 2024,2025-07-01,12,113,29,108,5977.88,70912.36,0.2566,0.9558,627.54,1
2024-07-01,Jul 2024,2025-08-01,13,113,17,108,1432.25,72344.61,0.1504,0.9558,640.22,1
2024-07-01,Jul 2024,2025-09-01,14,113,13,109,1469.68,73814.29,0.115,0.9646,653.22,1
2024-07-01,Jul 2024,2025-10-01,15,113,19,110,2863.52,76677.81,0.1681,0.9735,678.56,1
2024-07-01,Jul 2024,2025-11-01,16,113,19,111,2311.17,78988.98,0.1681,0.9823,699.02,1
2024-07-01,Jul 2024,2025-12-01,17,113,13,111,1788.62,80777.6,0.115,0.9823,714.85,1
2024-07-01,Jul 2024,2026-01-01,18,113,22,111,5586.07,86363.67,0.1947,0.9823,764.28,1
2024-07-01,Jul 2024,2026-02-01,19,113,16,111,2368.05,88731.72,0.1416,0.9823,785.24,1
2024-07-01,Jul 2024,2026-03-01,20,113,16,111,3051.9,91783.62,0.1416,0.9823,812.24,1
2024-07-01,Jul 2024,2026-04-01,21,113,9,112,1651.1,93434.72,0.0796,0.9912,826.86,1
2024-07-01,Jul 2024,2026-05-01,22,113,15,112,3942.37,97377.09,0.1327,0.9912,861.74,1
2024-08-01,Aug 2024,2024-08-01,0,102,102,46,9626.27,9626.27,1.0,0.451,94.38,1
2024-08-01,Aug 2024,2024-09-01,1,102,34,63,3230.09,12856.36,0.3333,0.6176,126.04,1
2024-08-01,Aug 2024,2024-10-01,2,102,35,74,4487.55,17343.91,0.3431,0.7255,170.04,1
2024-08-01,Aug 2024,2024-11-01,3,102,40,85,5159.69,22503.6,0.3922,0.8333,220.62,1
2024-08-01,Aug 2024,2024-12-01,4,102,29,89,3253.0,25756.6,0.2843,0.8725,252.52,1
2024-08-01,Aug 2024,2025-01-01,5,102,33,93,4157.55,29914.15,0.3235,0.9118,293.28,1
2024-08-01,Aug 2024,2025-02-01,6,102,39,97,4813.08,34727.23,0.3824,0.951,340.46,1
2024-08-01,Aug 2024,2025-03-01,7,102,33,97,4672.28,39399.51,0.3235,0.951,386.27,1
2024-08-01,Aug 2024,2025-04-01,8,102,32,99,3920.62,43320.13,0.3137,0.9706,424.71,1
2024-08-01,Aug 2024,2025-05-01,9,102,29,100,3464.88,46785.01,0.2843,0.9804,458.68,1
2024-08-01,Aug 2024,2025-06-01,10,102,26,101,1934.16,48719.17,0.2549,0.9902,477.64,1
2024-08-01,Aug 2024,2025-07-01,11,102,33,102,4495.08,53214.25,0.3235,1.0,521.71,1
2024-08-01,Aug 2024,2025-08-01,12,102,22,102,2277.4,55491.65,0.2157,1.0,544.04,1
2024-08-01,Aug 2024,2025-09-01,13,102,18,102,3155.28,58646.93,0.1765,1.0,574.97,1
2024-08-01,Aug 2024,2025-10-01,14,102,19,102,1655.67,60302.6,0.1863,1.0,591.2,1
2024-08-01,Aug 2024,2025-11-01,15,102,19,102,2320.15,62622.75,0.1863,1.0,613.95,1
2024-08-01,Aug 2024,2025-12-01,16,102,15,102,2714.76,65337.51,0.1471,1.0,640.56,1
2024-08-01,Aug 2024,2026-01-01,17,102,11,102,1122.08,66459.59,0.1078,1.0,651.56,1
2024-08-01,Aug 2024,2026-02-01,18,102,20,102,2065.41,68525.0,0.1961,1.0,671.81,1
2024-08-01,Aug 2024,2026-03-01,19,102,21,102,2123.46,70648.46,0.2059,1.0,692.63,1
2024-08-01,Aug 2024,2026-04-01,20,102,21,102,2857.99,73506.45,0.2059,1.0,720.65,1
2024-08-01,Aug 2024,2026-05-01,21,102,17,102,1586.95,75093.4,0.1667,1.0,736.21,1
2024-09-01,Sep 2024,2024-09-01,0,95,95,45,10232.99,10232.99,1.0,0.4737,107.72,1
2024-09-01,Sep 2024,2024-10-01,1,95,27,56,3335.9,13568.89,0.2842,0.5895,142.83,1
2024-09-01,Sep 2024,2024-11-01,2,95,32,64,4538.62,18107.51,0.3368,0.6737,190.61,1
2024-09-01,Sep 2024,2024-12-01,3,95,30,70,2364.76,20472.27,0.3158,0.7368,215.5,1
2024-09-01,Sep 2024,2025-01-01,4,95,34,75,3236.97,23709.24,0.3579,0.7895,249.57,1
2024-09-01,Sep 2024,2025-02-01,5,95,31,81,4142.07,27851.31,0.3263,0.8526,293.17,1
2024-09-01,Sep 2024,2025-03-01,6,95,33,84,3847.08,31698.39,0.3474,0.8842,333.67,1
2024-09-01,Sep 2024,2025-04-01,7,95,33,86,4549.63,36248.02,0.3474,0.9053,381.56,1
2024-09-01,Sep 2024,2025-05-01,8,95,27,88,2770.45,39018.47,0.2842,0.9263,410.72,1
2024-09-01,Sep 2024,2025-06-01,9,95,31,90,2927.62,41946.09,0.3263,0.9474,441.54,1
2024-09-01,Sep 2024,2025-07-01,10,95,31,91,3051.2,44997.29,0.3263,0.9579,473.66,1
2024-09-01,Sep 2024,2025-08-01,11,95,21,92,3088.68,48085.97,0.2211,0.9684,506.17,1
2024-09-01,Sep 2024,2025-09-01,12,95,10,92,1815.59,49901.56,0.1053,0.9684,525.28,1
2024-09-01,Sep 2024,2025-10-01,13,95,16,92,2375.8,52277.36,0.1684,0.9684,550.29,1
2024-09-01,Sep 2024,2025-11-01,14,95,12,92,1953.65,54231.01,0.1263,0.9684,570.85,1
2024-09-01,Sep 2024,2025-12-01,15,95,14,92,1352.19,55583.2,0.1474,0.9684,585.09,1
2024-09-01,Sep 2024,2026-01-01,16,95,11,92,804.43,56387.63,0.1158,0.9684,593.55,1
2024-09-01,Sep 2024,2026-02-01,17,95,14,92,1915.75,58303.38,0.1474,0.9684,613.72,1
2024-09-01,Sep 2024,2026-03-01,18,95,17,92,3396.21,61699.59,0.1789,0.9684,649.47,1
2024-09-01,Sep 2024,2026-04-01,19,95,14,93,1486.43,63186.02,0.1474,0.9789,665.12,1
2024-09-01,Sep 2024,2026-05-01,20,95,16,93,1596.33,64782.35,0.1684,0.9789,681.92,1
2024-10-01,Oct 2024,2024-10-01,0,115,115,52,12412.51,12412.51,1.0,0.4522,107.93,1
2024-10-01,Oct 2024,2024-11-01,1,115,43,75,6358.61,18771.12,0.3739,0.6522,163.23,1
2024-10-01,Oct 2024,2024-12-01,2,115,41,82,5929.42,24700.54,0.3565,0.713,214.79,1
2024-10-01,Oct 2024,2025-01-01,3,115,38,91,5671.44,30371.98,0.3304,0.7913,264.1,1
2024-10-01,Oct 2024,2025-02-01,4,115,37,99,5033.74,35405.72,0.3217,0.8609,307.88,1
2024-10-01,Oct 2024,2025-03-01,5,115,49,102,5961.7,41367.42,0.4261,0.887,359.72,1
2024-10-01,Oct 2024,2025-04-01,6,115,44,106,5108.35,46475.77,0.3826,0.9217,404.14,1
2024-10-01,Oct 2024,2025-05-01,7,115,41,106,4375.76,50851.53,0.3565,0.9217,442.19,1
2024-10-01,Oct 2024,2025-06-01,8,115,31,111,4124.65,54976.18,0.2696,0.9652,478.05,1
2024-10-01,Oct 2024,2025-07-01,9,115,25,112,4628.8,59604.98,0.2174,0.9739,518.3,1
2024-10-01,Oct 2024,2025-08-01,10,115,23,112,2897.14,62502.12,0.2,0.9739,543.5,1
2024-10-01,Oct 2024,2025-09-01,11,115,24,112,2492.72,64994.84,0.2087,0.9739,565.17,1
2024-10-01,Oct 2024,2025-10-01,12,115,21,114,2566.51,67561.35,0.1826,0.9913,587.49,1
2024-10-01,Oct 2024,2025-11-01,13,115,12,114,999.97,68561.32,0.1043,0.9913,596.19,1
2024-10-01,Oct 2024,2025-12-01,14,115,27,114,3644.29,72205.61,0.2348,0.9913,627.87,1
2024-10-01,Oct 2024,2026-01-01,15,115,23,114,3071.88,75277.49,0.2,0.9913,654.59,1
2024-10-01,Oct 2024,2026-02-01,16,115,18,114,2062.39,77339.88,0.1565,0.9913,672.52,1
2024-10-01,Oct 2024,2026-03-01,17,115,19,114,3449.57,80789.45,0.1652,0.9913,702.52,1
2024-10-01,Oct 2024,2026-04-01,18,115,24,114,3027.04,83816.49,0.2087,0.9913,728.84,1
2024-10-01,Oct 2024,2026-05-01,19,115,16,114,2409.88,86226.37,0.1391,0.9913,749.79,1
2024-11-01,Nov 2024,2024-11-01,0,94,94,48,11259.93,11259.93,1.0,0.5106,119.79,1
2024-11-01,Nov 2024,2024-12-01,1,94,30,63,4547.19,15807.12,0.3191,0.6702,168.16,1
2024-11-01,Nov 2024,2025-01-01,2,94,35,73,4858.35,20665.47,0.3723,0.7766,219.85,1
2024-11-01,Nov 2024,2025-02-01,3,94,36,82,4619.29,25284.76,0.383,0.8723,268.99,1
2024-11-01,Nov 2024,2025-03-01,4,94,34,85,3600.68,28885.44,0.3617,0.9043,307.29,1
2024-11-01,Nov 2024,2025-04-01,5,94,36,86,4179.18,33064.62,0.383,0.9149,351.75,1
2024-11-01,Nov 2024,2025-05-01,6,94,41,92,4121.14,37185.76,0.4362,0.9787,395.59,1
2024-11-01,Nov 2024,2025-06-01,7,94,28,92,4258.99,41444.75,0.2979,0.9787,440.9,1
