UserID,LastOrderDate,DaysSinceLastPurchase,LifetimeOrders,LifetimeNetRevenue,AcquisitionChannel,Region,PlanTier,CustomerSegment,RiskScore,RiskBand,ChurnSignal,RecommendedAction
U000064,,9999,0,0.0,Paid Search,North America,Starter,Consumer,100.0,High,0,Winback offer
U000065,,9999,0,0.0,Paid Social,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000066,2026-02-28,92,5,398.62,Organic,Europe,Pro,Consumer,34.1,Low,1,Monitor
U000067,,9999,0,0.0,Referral,North America,Starter,SMB,100.0,High,0,Winback offer
U000068,2026-02-21,99,5,142.19,Paid Social,Europe,Growth,Consumer,38.0,Medium,1,Lifecycle email
U000069,2026-03-06,86,8,742.57,Referral,Europe,Growth,SMB,30.8,Low,0,Monitor
U000070,,9999,0,0.0,Paid Search,North America,Starter,Consumer,100.0,High,0,Winback offer
U000071,,9999,0,0.0,Referral,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000072,2026-05-14,17,4,122.43,Organic,APAC,Starter,SMB,0.0,Low,0,Cross-sell
U000073,,9999,0,0.0,Lifecycle Email,Europe,Growth,Consumer,100.0,High,0,Winback offer
U000074,,9999,0,0.0,Referral,North America,Starter,Consumer,100.0,High,0,Winback offer
U000075,2026-05-22,9,6,681.0,Paid Social,APAC,Starter,Mid-Market,0.0,Low,0,Cross-sell
U000076,,9999,0,0.0,Partner,APAC,Free,SMB,100.0,High,0,Winback offer
U000077,,9999,0,0.0,Paid Social,North America,Pro,Consumer,100.0,High,0,Winback offer
U000078,2026-03-31,61,10,275.96,Organic,Europe,Free,SMB,17.1,Low,0,Monitor
U000079,2026-03-23,69,8,637.75,Partner,Europe,Growth,SMB,14.0,Low,0,Monitor
U000081,2026-04-13,48,29,1212.97,Organic,LATAM,Starter,SMB,9.9,Low,0,Monitor
U000082,2025-01-27,489,6,184.01,Partner,North America,Starter,Consumer,100.0,High,1,Winback offer
U000083,2026-03-10,82,10,394.54,Referral,North America,Starter,SMB,25.6,Low,0,Monitor
U000084,,9999,0,0.0,Organic,North America,Free,Consumer,100.0,High,0,Winback offer
U000085,,9999,0,0.0,Paid Search,Europe,Pro,Enterprise,100.0,High,0,Winback offer
U000086,,9999,0,0.0,Referral,Europe,Free,Mid-Market,100.0,High,0,Winback offer
U000087,,9999,0,0.0,Organic,North America,Starter,Consumer,100.0,High,0,Winback offer
U000088,2026-05-26,5,15,526.06,Paid Social,Europe,Growth,Consumer,0.0,Low,0,Cross-sell
U000089,2026-05-11,20,1,46.59,Paid Search,North America,Growth,Consumer,0.0,Low,0,Monitor
U000090,2026-03-29,63,6,245.03,Paid Search,Europe,Growth,Consumer,10.7,Low,0,Monitor
U000091,2025-05-07,389,5,283.94,Referral,Europe,Growth,Mid-Market,100.0,High,1,Winback offer
U000092,,9999,0,0.0,Paid Social,North America,Starter,Mid-Market,100.0,High,0,Winback offer
U000093,2026-03-31,61,11,501.27,Referral,North America,Starter,SMB,9.6,Low,0,Monitor
U000094,2024-10-20,588,2,74.14,Paid Search,North America,Starter,SMB,100.0,High,1,Winback offer
U000095,,9999,0,0.0,Organic,APAC,Starter,SMB,100.0,High,0,Winback offer
U000096,,9999,0,0.0,Paid Search,Europe,Starter,Mid-Market,100.0,High,0,Winback offer
U000097,2026-05-18,13,8,206.92,Paid Social,LATAM,Growth,Consumer,0.0,Low,0,Cross-sell
U000098,,9999,0,0.0,Paid Social,North America,Free,SMB,100.0,High,0,Winback offer
U000099,2026-05-29,2,6,160.84,Lifecycle Email,North America,Starter,Consumer,0.0,Low,0,Cross-sell
U000100,2026-01-30,121,4,1581.37,Organic,Europe,Pro,Enterprise,45.6,Medium,1,Lifecycle email
U000101,,9999,0,0.0,Lifecycle Email,Europe,Starter,Mid-Market,100.0,High,0,Winback offer
U000102,2026-05-03,28,4,100.12,Partner,Europe,Free,Mid-Market,0.0,Low,0,Cross-sell
U000103,,9999,0,0.0,Paid Social,APAC,Pro,Enterprise,100.0,High,0,Winback offer
U000104,2026-05-28,3,10,830.07,Referral,Europe,Pro,Consumer,0.0,Low,0,Cross-sell
U000105,2026-04-21,40,2,82.21,Partner,Europe,Free,SMB,5.5,Low,0,Monitor
U000106,2026-04-28,33,8,960.53,Partner,North America,Growth,SMB,0.0,Low,0,Monitor
U000107,2026-04-21,40,3,227.19,Paid Search,Europe,Starter,SMB,5.5,Low,0,Monitor
U000108,,9999,0,0.0,Referral,APAC,Growth,Consumer,100.0,High,0,Winback offer
U000109,2025-08-26,278,7,1574.13,Referral,Europe,Pro,Mid-Market,100.0,High,1,Winback offer
U000110,,9999,0,0.0,Organic,APAC,Starter,Mid-Market,100.0,High,0,Winback offer
U000111,,9999,0,0.0,Paid Search,North America,Free,Consumer,100.0,High,0,Winback offer
U000112,2026-01-22,129,1,51.58,Organic,North America,Free,Enterprise,54.5,Medium,1,Lifecycle email
U000113,,9999,0,0.0,Referral,Europe,Free,Consumer,100.0,High,0,Winback offer
U000114,,9999,0,0.0,Organic,North America,Free,Consumer,100.0,High,0,Winback offer
U000115,,9999,0,0.0,Lifecycle Email,APAC,Free,Consumer,100.0,High,0,Winback offer
U000116,,9999,0,0.0,Organic,LATAM,Free,Consumer,100.0,High,0,Winback offer
U000117,,9999,0,0.0,Paid Social,APAC,Starter,SMB,100.0,High,0,Winback offer
U000118,,9999,0,0.0,Paid Social,North America,Starter,Consumer,100.0,High,0,Winback offer
U000119,,9999,0,0.0,Paid Search,North America,Free,Mid-Market,100.0,High,0,Winback offer
U000120,2026-01-26,125,15,778.01,Organic,APAC,Growth,Consumer,47.8,Medium,1,Lifecycle email
U000121,2026-03-29,63,5,141.74,Paid Social,North America,Free,SMB,18.2,Low,0,Monitor
U000122,,9999,0,0.0,Referral,North America,Starter,Consumer,100.0,High,0,Winback offer
U000123,2025-10-24,219,8,306.91,Organic,North America,Starter,Consumer,100.0,High,1,Winback offer
U000124,2025-10-31,212,8,280.72,Paid Search,North America,Growth,Consumer,100.0,High,1,Winback offer
U000125,,9999,0,0.0,Paid Social,Europe,Starter,SMB,100.0,High,0,Winback offer
U000126,2024-11-24,553,4,209.96,Paid Social,APAC,Starter,Mid-Market,100.0,High,1,Winback offer
U000127,2026-01-27,124,3,124.38,Paid Search,North America,Starter,SMB,51.7,Medium,1,Lifecycle email
U000128,2025-12-20,162,9,398.03,Paid Social,Europe,Starter,SMB,65.1,High,1,Winback offer
U000129,,9999,0,0.0,Paid Social,APAC,Pro,SMB,100.0,High,0,Winback offer
U000130,2026-01-26,125,5,202.84,Organic,Europe,Free,Mid-Market,52.3,Medium,1,Lifecycle email
U000131,,9999,0,0.0,Paid Search,North America,Starter,Consumer,100.0,High,0,Winback offer
U000132,2026-03-14,78,21,669.52,Organic,North America,Starter,Consumer,26.4,Low,0,Monitor
U000133,,9999,0,0.0,Partner,North America,Free,Mid-Market,100.0,High,0,Winback offer
U000134,2026-05-31,0,13,342.21,Lifecycle Email,Europe,Starter,Consumer,0.0,Low,0,Cross-sell
U000135,,9999,0,0.0,Paid Social,Europe,Free,Consumer,100.0,High,0,Winback offer
U000136,,9999,0,0.0,Lifecycle Email,North America,Starter,SMB,100.0,High,0,Winback offer
U000137,,9999,0,0.0,Organic,APAC,Starter,Mid-Market,100.0,High,0,Winback offer
U000138,,9999,0,0.0,Referral,APAC,Free,SMB,100.0,High,0,Winback offer
U000139,,9999,0,0.0,Paid Search,Europe,Starter,Mid-Market,100.0,High,0,Winback offer
U000140,2026-05-06,25,2,55.97,Paid Social,APAC,Starter,Consumer,0.0,Low,0,Cross-sell
U000141,,9999,0,0.0,Paid Social,APAC,Starter,Mid-Market,100.0,High,0,Winback offer
U000142,,9999,0,0.0,Paid Social,APAC,Growth,Consumer,100.0,High,0,Winback offer
U000143,2024-10-28,580,4,162.52,Organic,APAC,Free,Mid-Market,100.0,High,1,Winback offer
U000144,2025-08-24,280,2,77.41,Lifecycle Email,Europe,Starter,Consumer,100.0,High,1,Winback offer
U000145,,9999,0,0.0,Paid Social,APAC,Starter,SMB,100.0,High,0,Winback offer
U000146,,9999,0,0.0,Organic,North America,Free,Mid-Market,100.0,High,0,Winback offer
U000148,2026-05-29,2,1,77.58,Referral,North America,Starter,SMB,0.0,Low,0,Monitor
U000149,,9999,0,0.0,Referral,North America,Starter,Consumer,100.0,High,0,Winback offer
U000150,,9999,0,0.0,Organic,APAC,Starter,Consumer,100.0,High,0,Winback offer
U000151,,9999,0,0.0,Partner,North America,Growth,Mid-Market,100.0,High,0,Winback offer
U000152,,9999,0,0.0,Referral,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000153,,9999,0,0.0,Paid Search,APAC,Free,Mid-Market,100.0,High,0,Winback offer
U000154,2026-04-10,51,8,169.67,Partner,North America,Free,SMB,11.6,Low,0,Monitor
U000155,,9999,0,0.0,Partner,APAC,Starter,Consumer,100.0,High,0,Winback offer
U000156,,9999,0,0.0,Organic,Europe,Free,Consumer,100.0,High,0,Winback offer
U000157,2026-04-18,43,7,278.39,Lifecycle Email,LATAM,Starter,Consumer,0.0,Low,0,Monitor
U000158,,9999,0,0.0,Paid Social,APAC,Growth,Consumer,100.0,High,0,Winback offer
U000159,,9999,0,0.0,Paid Search,Europe,Growth,Consumer,100.0,High,0,Winback offer
U000160,,9999,0,0.0,Paid Social,Europe,Growth,Mid-Market,100.0,High,0,Winback offer
U000161,2026-03-30,62,8,514.62,Organic,APAC,Pro,Consumer,17.6,Low,0,Monitor
U000162,,9999,0,0.0,Paid Search,APAC,Pro,Consumer,100.0,High,0,Winback offer
U000163,2026-05-31,0,7,101.75,Partner,LATAM,Free,SMB,0.0,Low,0,Cross-sell
U000164,2025-11-28,184,17,387.28,Organic,North America,Free,SMB,84.7,High,1,Winback offer
U000165,,9999,0,0.0,Paid Social,APAC,Free,SMB,100.0,High,0,Winback offer
U000166,,9999,0,0.0,Referral,North America,Free,SMB,100.0,High,0,Winback offer
U000167,,9999,0,0.0,Organic,APAC,Free,Consumer,100.0,High,0,Winback offer
U000168,2026-05-16,15,12,542.76,Partner,Europe,Growth,Consumer,0.0,Low,0,Cross-sell
U000169,2025-06-24,341,15,758.93,Partner,APAC,Growth,Consumer,100.0,High,1,Winback offer
U000170,2025-11-09,203,1,109.85,Partner,APAC,Pro,Consumer,95.2,High,1,Winback offer
U000171,,9999,0,0.0,Paid Social,Europe,Starter,SMB,100.0,High,0,Winback offer
U000172,2026-03-02,90,3,112.54,Organic,North America,Free,Mid-Market,27.0,Low,0,Monitor
U000173,,9999,0,0.0,Paid Search,North America,Growth,Consumer,100.0,High,0,Winback offer
U000174,2026-02-21,99,8,290.15,Partner,APAC,Starter,Consumer,35.0,Low,1,Monitor
U000175,,9999,0,0.0,Paid Search,APAC,Free,SMB,100.0,High,0,Winback offer
U000176,2026-03-20,72,6,328.68,Partner,North America,Starter,SMB,18.6,Low,0,Monitor
U000177,2026-04-13,48,1,14.52,Paid Social,North America,Free,Mid-Market,8.4,Low,0,Monitor
U000178,,9999,0,0.0,Partner,APAC,Starter,Consumer,100.0,High,0,Winback offer
U000179,,9999,0,0.0,Paid Search,LATAM,Free,Consumer,100.0,High,0,Winback offer
U000180,2026-01-16,135,19,3576.35,Paid Social,North America,Pro,Mid-Market,57.8,Medium,1,Lifecycle email
U000181,2025-11-22,190,1,38.02,Partner,APAC,Pro,Consumer,86.5,High,1,Winback offer
U000182,,9999,0,0.0,Partner,North America,Growth,Consumer,100.0,High,0,Winback offer
U000183,2026-03-27,65,9,590.15,Paid Search,North America,Starter,Mid-Market,19.2,Low,0,Monitor
U000184,,9999,0,0.0,Organic,Europe,Growth,SMB,100.0,High,0,Winback offer
U000185,,9999,0,0.0,Paid Social,North America,Growth,SMB,100.0,High,0,Winback offer
U000186,2026-05-17,14,2,57.46,Referral,North America,Starter,Consumer,0.0,Low,0,Cross-sell
U000187,,9999,0,0.0,Referral,North America,Starter,Consumer,100.0,High,0,Winback offer
U000188,,9999,0,0.0,Paid Search,North America,Starter,SMB,100.0,High,0,Winback offer
U000189,2026-05-28,3,3,389.35,Paid Search,Europe,Pro,Consumer,0.0,Low,0,Cross-sell
U000190,,9999,0,0.0,Paid Social,North America,Starter,SMB,100.0,High,0,Winback offer
U000191,2026-04-30,31,5,238.06,Organic,North America,Pro,Consumer,0.0,Low,0,Monitor
U000192,,9999,0,0.0,Paid Social,North America,Growth,SMB,100.0,High,0,Winback offer
U000193,,9999,0,0.0,Organic,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000194,2026-03-18,74,9,621.48,Paid Search,Europe,Growth,SMB,24.2,Low,0,Monitor
U000195,,9999,0,0.0,Paid Search,Europe,Pro,Consumer,100.0,High,0,Winback offer
U000196,,9999,0,0.0,Paid Search,APAC,Starter,Consumer,100.0,High,0,Winback offer
U000197,2026-04-30,31,21,1481.49,Paid Search,North America,Growth,SMB,0.6,Low,0,Monitor
U000198,2026-03-04,88,14,260.97,Paid Social,Europe,Starter,Consumer,31.9,Low,0,Monitor
U000199,2026-01-17,134,12,445.88,Paid Search,Europe,Growth,Consumer,57.2,Medium,1,Lifecycle email
U000200,,9999,0,0.0,Organic,Europe,Free,SMB,100.0,High,0,Winback offer
U000201,,9999,0,0.0,Organic,North America,Starter,Consumer,100.0,High,0,Winback offer
U000202,,9999,0,0.0,Paid Search,North America,Free,Consumer,100.0,High,0,Winback offer
U000203,2026-05-20,11,5,115.83,Organic,Europe,Starter,Consumer,0.0,Low,0,Cross-sell
U000204,,9999,0,0.0,Paid Search,APAC,Free,Consumer,100.0,High,0,Winback offer
U000205,2025-11-05,207,2,57.94,Paid Search,North America,Free,Mid-Market,97.4,High,1,Winback offer
U000206,,9999,0,0.0,Partner,Europe,Starter,Mid-Market,100.0,High,0,Winback offer
U000207,2025-09-19,254,8,545.71,Partner,North America,Starter,SMB,100.0,High,1,Winback offer
U000208,,9999,0,0.0,Referral,North America,Free,SMB,100.0,High,0,Winback offer
U000209,,9999,0,0.0,Partner,North America,Free,Enterprise,100.0,High,0,Winback offer
U000210,,9999,0,0.0,Organic,North America,Pro,Mid-Market,100.0,High,0,Winback offer
U000211,,9999,0,0.0,Lifecycle Email,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000212,2026-02-14,106,3,31.07,Organic,Europe,Free,Consumer,38.8,Medium,1,Lifecycle email
U000213,2026-03-13,79,15,3348.79,Partner,North America,Growth,Mid-Market,27.0,Low,0,Monitor
U000214,,9999,0,0.0,Paid Search,Europe,Growth,SMB,100.0,High,0,Winback offer
U000215,,9999,0,0.0,Partner,LATAM,Growth,SMB,100.0,High,0,Winback offer
U000216,,9999,0,0.0,Paid Search,North America,Starter,Consumer,100.0,High,0,Winback offer
U000217,,9999,0,0.0,Lifecycle Email,APAC,Free,Consumer,100.0,High,0,Winback offer
U000218,2025-07-28,307,8,613.0,Paid Search,Europe,Growth,SMB,100.0,High,1,Winback offer
U000219,2025-09-13,260,10,1369.14,Partner,North America,Growth,Mid-Market,100.0,High,1,Winback offer
U000220,,9999,0,0.0,Organic,North America,Free,Consumer,100.0,High,0,Winback offer
U000221,2026-04-20,41,17,3113.08,Organic,Europe,Pro,Mid-Market,0.1,Low,0,Monitor
U000222,,9999,0,0.0,Paid Search,APAC,Growth,Consumer,100.0,High,0,Winback offer
U000223,,9999,0,0.0,Paid Search,Europe,Starter,Mid-Market,100.0,High,0,Winback offer
U000224,,9999,0,0.0,Paid Search,APAC,Free,Consumer,100.0,High,0,Winback offer
U000225,2026-05-06,25,19,259.76,Lifecycle Email,Europe,Free,Consumer,0.0,Low,0,Cross-sell
U000226,2026-02-27,93,13,244.26,Paid Social,North America,Free,SMB,34.7,Low,1,Monitor
U000227,,9999,0,0.0,Paid Social,LATAM,Starter,Consumer,100.0,High,0,Winback offer
U000228,2025-12-18,164,5,302.14,Referral,North America,Starter,SMB,73.7,High,1,Winback offer
U000229,2025-06-08,357,12,180.09,Organic,North America,Free,Consumer,100.0,High,1,Winback offer
U000230,2026-02-15,105,18,193.41,Paid Search,Europe,Free,Consumer,41.2,Medium,1,Lifecycle email
U000231,,9999,0,0.0,Partner,North America,Free,Consumer,100.0,High,0,Winback offer
U000232,,9999,0,0.0,Paid Social,LATAM,Starter,SMB,100.0,High,0,Winback offer
U000233,2026-04-26,35,3,82.59,Paid Search,North America,Growth,Consumer,0.0,Low,0,Monitor
U000234,2025-12-23,159,16,917.46,Paid Social,North America,Growth,SMB,71.0,High,1,Winback offer
U000235,2026-05-12,19,11,204.04,Organic,LATAM,Free,SMB,0.0,Low,0,Cross-sell
U000236,2026-05-02,29,1,34.77,Paid Social,Europe,Starter,SMB,0.0,Low,0,Monitor
U000237,,9999,0,0.0,Paid Social,North America,Starter,SMB,100.0,High,0,Winback offer
U000238,2025-12-26,156,3,133.72,Organic,Europe,Free,Mid-Market,69.3,High,1,Winback offer
U000239,,9999,0,0.0,Paid Social,APAC,Free,Mid-Market,100.0,High,0,Winback offer
U000240,,9999,0,0.0,Paid Social,North America,Growth,SMB,100.0,High,0,Winback offer
U000241,,9999,0,0.0,Organic,Europe,Free,Enterprise,100.0,High,0,Winback offer
U000242,2025-04-28,398,7,181.89,Organic,LATAM,Starter,Consumer,100.0,High,1,Winback offer
U000243,,9999,0,0.0,Lifecycle Email,North America,Growth,Enterprise,100.0,High,0,Winback offer
U000244,2026-04-27,34,3,232.8,Organic,Europe,Starter,SMB,2.2,Low,0,Monitor
U000245,,9999,0,0.0,Paid Search,North America,Free,Consumer,100.0,High,0,Winback offer
U000246,,9999,0,0.0,Referral,North America,Free,Consumer,100.0,High,0,Winback offer
U000247,2026-01-25,126,3,363.16,Paid Search,Europe,Starter,Enterprise,52.8,Medium,1,Lifecycle email
U000248,,9999,0,0.0,Paid Search,North America,Starter,Mid-Market,100.0,High,0,Winback offer
U000249,,9999,0,0.0,Organic,North America,Free,Enterprise,100.0,High,0,Winback offer
U000250,,9999,0,0.0,Paid Search,North America,Pro,Consumer,100.0,High,0,Winback offer
U000251,,9999,0,0.0,Partner,LATAM,Starter,SMB,100.0,High,0,Winback offer
U000252,,9999,0,0.0,Referral,Europe,Free,SMB,100.0,High,0,Winback offer
U000253,,9999,0,0.0,Organic,North America,Starter,Consumer,100.0,High,0,Winback offer
U000254,2025-02-05,480,1,40.36,Organic,North America,Growth,Consumer,100.0,High,1,Winback offer
U000255,2026-05-19,12,8,753.62,Paid Social,North America,Pro,SMB,0.0,Low,0,Cross-sell
U000256,2025-04-17,409,5,627.18,Organic,LATAM,Starter,Enterprise,100.0,High,1,Winback offer
U000257,,9999,0,0.0,Organic,LATAM,Pro,SMB,100.0,High,0,Winback offer
U000258,2026-01-10,141,5,335.09,Paid Social,Europe,Starter,Mid-Market,61.1,Medium,1,Lifecycle email
U000259,,9999,0,0.0,Paid Social,Europe,Growth,SMB,100.0,High,0,Winback offer
U000260,2026-05-24,7,6,331.57,Lifecycle Email,North America,Pro,Consumer,0.0,Low,0,Cross-sell
U000261,,9999,0,0.0,Referral,North America,Starter,Consumer,100.0,High,0,Winback offer
U000262,2026-05-30,1,7,245.28,Organic,Europe,Growth,Consumer,0.0,Low,0,Cross-sell
U000263,,9999,0,0.0,Organic,North America,Starter,Mid-Market,100.0,High,0,Winback offer
U000264,,9999,0,0.0,Paid Social,Europe,Starter,Consumer,100.0,High,0,Winback offer
U000265,2025-11-17,195,7,470.55,Organic,North America,Free,Enterprise,89.3,High,1,Winback offer
U000266,2026-03-16,76,2,27.95,Organic,North America,Free,Consumer,25.3,Low,0,Monitor
U000267,2025-04-15,411,4,74.56,Partner,North America,Free,Consumer,100.0,High,1,Winback offer
U000268,2026-05-31,0,7,139.75,Organic,North America,Starter,Consumer,0.0,Low,0,Cross-sell
U000269,2025-12-15,167,6,818.38,Organic,Europe,Growth,SMB,72.4,High,1,Winback offer
U000270,2026-04-27,34,1,148.38,Lifecycle Email,North America,Growth,Enterprise,2.2,Low,0,Monitor
U000271,2026-02-25,95,1,12.6,Partner,LATAM,Starter,Consumer,38.8,Medium,1,Lifecycle email
U000272,,9999,0,0.0,Organic,Europe,Starter,SMB,100.0,High,0,Winback offer
U000273,2026-04-18,43,5,310.95,Referral,North America,Growth,Consumer,7.2,Low,0,Monitor
U000274,2025-09-21,252,5,306.3,Paid Search,Europe,Starter,SMB,100.0,High,1,Winback offer
U000275,2026-05-26,5,32,1065.27,Paid Social,North America,Growth,Consumer,0.0,Low,0,Cross-sell
U000276,,9999,0,0.0,Paid Search,North America,Free,SMB,100.0,High,0,Winback offer
U000277,2026-04-12,49,5,116.62,Organic,APAC,Starter,Consumer,10.5,Low,0,Monitor
U000278,2026-05-17,14,12,1831.05,Paid Search,APAC,Starter,Enterprise,0.0,Low,0,Cross-sell
U000279,2026-04-03,58,4,235.8,Referral,LATAM,Growth,SMB,10.9,Low,0,Monitor
U000280,,9999,0,0.0,Organic,Europe,Free,SMB,100.0,High,0,Winback offer
U000281,,9999,0,0.0,Paid Social,North America,Starter,Consumer,100.0,High,0,Winback offer
U000282,,9999,0,0.0,Paid Search,LATAM,Growth,Consumer,100.0,High,0,Winback offer
U000283,2026-04-10,51,7,212.26,Paid Social,Europe,Growth,Consumer,5.6,Low,0,Monitor
U000284,,9999,0,0.0,Partner,North America,Free,Mid-Market,100.0,High,0,Winback offer
U000285,,9999,0,0.0,Paid Search,North America,Starter,Consumer,100.0,High,0,Winback offer
U000286,2026-04-23,38,6,131.75,Paid Search,APAC,Free,SMB,4.4,Low,0,Monitor
