date_id,currency,to_currency,rate_type,rate_to_usd
2025-04,AUD,USD,Average,0.67371874
2025-04,AUD,USD,Budget,0.6681832
2025-04,AUD,USD,Closing,0.67500222
2025-05,SGD,USD,Average,0.74702543
2025-05,SGD,USD,Budget,0.744597
2025-05,SGD,USD,Closing,0.74621437
2025-05,VND,USD,Average,3.949e-05
2025-05,VND,USD,Budget,3.919e-05
2025-05,VND,USD,Closing,3.965e-05
2025-05,THB,USD,Average,0.02762028
2025-05,THB,USD,Budget,0.02755775
2025-05,THB,USD,Closing,0.02761827
2025-05,MYR,USD,Average,0.21344801
2025-05,MYR,USD,Budget,0.211509
2025-05,MYR,USD,Closing,0.21353949
2025-05,IDR,USD,Average,6.127e-05
2025-05,IDR,USD,Budget,6.074e-05
2025-05,IDR,USD,Closing,6.137e-05
2025-05,PHP,USD,Average,0.01737907
2025-05,PHP,USD,Budget,0.01716388
2025-05,PHP,USD,Closing,0.01738741
2025-05,AUD,USD,Average,0.66793702
2025-05,AUD,USD,Budget,0.6681832
2025-05,AUD,USD,Closing,0.66984723
2025-06,SGD,USD,Average,0.75317438
2025-06,SGD,USD,Budget,0.744597
2025-06,SGD,USD,Closing,0.75442388
2025-06,VND,USD,Average,3.94e-05
2025-06,VND,USD,Budget,3.919e-05
2025-06,VND,USD,Closing,3.939e-05
2025-06,THB,USD,Average,0.02773753
2025-06,THB,USD,Budget,0.02755775
2025-06,THB,USD,Closing,0.0278125
2025-06,MYR,USD,Average,0.2139443
2025-06,MYR,USD,Budget,0.211509
2025-06,MYR,USD,Closing,0.21316033
2025-06,IDR,USD,Average,6.126e-05
2025-06,IDR,USD,Budget,6.074e-05
2025-06,IDR,USD,Closing,6.125e-05
2025-06,PHP,USD,Average,0.01729891
2025-06,PHP,USD,Budget,0.01716388
2025-06,PHP,USD,Closing,0.01725998
2025-06,AUD,USD,Average,0.67283211
2025-06,AUD,USD,Budget,0.6681832
2025-06,AUD,USD,Closing,0.67191976
2025-07,SGD,USD,Average,0.74669198
2025-07,SGD,USD,Budget,0.744597
2025-07,SGD,USD,Closing,0.74375063
2025-07,VND,USD,Average,3.932e-05
2025-07,VND,USD,Budget,3.919e-05
2025-07,VND,USD,Closing,3.92e-05
2025-07,THB,USD,Average,0.02780113
2025-07,THB,USD,Budget,0.02755775
2025-07,THB,USD,Closing,0.02786898
2025-07,MYR,USD,Average,0.21386449
2025-07,MYR,USD,Budget,0.211509
2025-07,MYR,USD,Closing,0.21346794
2025-07,IDR,USD,Average,6.093e-05
2025-07,IDR,USD,Budget,6.074e-05
2025-07,IDR,USD,Closing,6.11e-05
2025-07,PHP,USD,Average,0.01729777
2025-07,PHP,USD,Budget,0.01716388
2025-07,PHP,USD,Closing,0.01734995
2025-07,AUD,USD,Average,0.67185991
2025-07,AUD,USD,Budget,0.6681832
2025-07,AUD,USD,Closing,0.67357305
2025-08,SGD,USD,Average,0.75355985
2025-08,SGD,USD,Budget,0.744597
2025-08,SGD,USD,Closing,0.7551385
2025-08,VND,USD,Average,3.927e-05
2025-08,VND,USD,Budget,3.919e-05
2025-08,VND,USD,Closing,3.929e-05
2025-08,THB,USD,Average,0.02790666
2025-08,THB,USD,Budget,0.02755775
2025-08,THB,USD,Closing,0.02785692
2025-08,MYR,USD,Average,0.21262049
2025-08,MYR,USD,Budget,0.211509
2025-08,MYR,USD,Closing,0.2125247
2025-08,IDR,USD,Average,6.15e-05
2025-08,IDR,USD,Budget,6.074e-05
2025-08,IDR,USD,Closing,6.159e-05
2025-08,PHP,USD,Average,0.01730353
2025-08,PHP,USD,Budget,0.01716388
2025-08,PHP,USD,Closing,0.01733575
2025-08,AUD,USD,Average,0.67824375
2025-08,AUD,USD,Budget,0.6681832
2025-08,AUD,USD,Closing,0.67903497
2025-09,SGD,USD,Average,0.75540792
2025-09,SGD,USD,Budget,0.744597
2025-09,SGD,USD,Closing,0.7532488
2025-09,VND,USD,Average,3.932e-05
2025-09,VND,USD,Budget,3.919e-05
2025-09,VND,USD,Closing,3.945e-05
2025-09,THB,USD,Average,0.02791096
2025-09,THB,USD,Budget,0.02755775
2025-09,THB,USD,Closing,0.02782029
2025-09,MYR,USD,Average,0.21374658
2025-09,MYR,USD,Budget,0.211509
2025-09,MYR,USD,Closing,0.21342435
2025-09,IDR,USD,Average,6.091e-05
2025-09,IDR,USD,Budget,6.074e-05
2025-09,IDR,USD,Closing,6.093e-05
2025-09,PHP,USD,Average,0.01733851
2025-09,PHP,USD,Budget,0.01716388
2025-09,PHP,USD,Closing,0.01728721
2025-09,AUD,USD,Average,0.67160043
2025-09,AUD,USD,Budget,0.6681832
2025-09,AUD,USD,Closing,0.67020458
2025-10,SGD,USD,Average,0.75468618
2025-10,SGD,USD,Budget,0.744597
2025-10,SGD,USD,Closing,0.75516553
2025-10,VND,USD,Average,3.956e-05
2025-10,VND,USD,Budget,3.919e-05
2025-10,VND,USD,Closing,3.972e-05
2025-10,THB,USD,Average,0.02788984
2025-10,THB,USD,Budget,0.02755775
2025-10,THB,USD,Closing,0.02795774
2025-10,MYR,USD,Average,0.21196109
2025-10,MYR,USD,Budget,0.211509
2025-10,MYR,USD,Closing,0.21237827
2025-10,IDR,USD,Average,6.071e-05
2025-10,IDR,USD,Budget,6.074e-05
2025-10,IDR,USD,Closing,6.096e-05
2025-10,PHP,USD,Average,0.01731655
2025-10,PHP,USD,Budget,0.01716388
2025-10,PHP,USD,Closing,0.0173664
2025-10,AUD,USD,Average,0.67270545
2025-10,AUD,USD,Budget,0.6681832
2025-10,AUD,USD,Closing,0.67258544
2025-11,SGD,USD,Average,0.74790137
2025-11,SGD,USD,Budget,0.744597
2025-11,SGD,USD,Closing,0.74659374
2025-11,VND,USD,Average,3.909e-05
2025-11,VND,USD,Budget,3.919e-05
2025-11,VND,USD,Closing,3.906e-05
2025-11,THB,USD,Average,0.02771482
2025-11,THB,USD,Budget,0.02755775
2025-11,THB,USD,Closing,0.02775654
2025-11,MYR,USD,Average,0.21246819
2025-11,MYR,USD,Budget,0.211509
2025-11,MYR,USD,Closing,0.21309848
2025-11,IDR,USD,Average,6.096e-05
2025-11,IDR,USD,Budget,6.074e-05
2025-11,IDR,USD,Closing,6.111e-05
2025-11,PHP,USD,Average,0.01723184
2025-11,PHP,USD,Budget,0.01716388
2025-11,PHP,USD,Closing,0.01728197
2025-11,AUD,USD,Average,0.6763821
2025-11,AUD,USD,Budget,0.6681832
2025-11,AUD,USD,Closing,0.67397178
2025-12,SGD,USD,Average,0.75458482
2025-12,SGD,USD,Budget,0.744597
2025-12,SGD,USD,Closing,0.75733233
2025-12,VND,USD,Average,3.899e-05
2025-12,VND,USD,Budget,3.919e-05
2025-12,VND,USD,Closing,3.91e-05
2025-12,THB,USD,Average,0.02784881
2025-12,THB,USD,Budget,0.02755775
2025-12,THB,USD,Closing,0.0279453
2025-12,MYR,USD,Average,0.21028135
2025-12,MYR,USD,Budget,0.211509
2025-12,MYR,USD,Closing,0.21083606
2025-12,IDR,USD,Average,6.084e-05
2025-12,IDR,USD,Budget,6.074e-05
2025-12,IDR,USD,Closing,6.079e-05
2025-12,PHP,USD,Average,0.01721659
2025-12,PHP,USD,Budget,0.01716388
2025-12,PHP,USD,Closing,0.01726861
2025-12,AUD,USD,Average,0.67213922
2025-12,AUD,USD,Budget,0.6681832
2025-12,AUD,USD,Closing,0.6738638
2026-01,SGD,USD,Average,0.74733546
2026-01,SGD,USD,Budget,0.744597
2026-01,SGD,USD,Closing,0.74969596
2026-01,VND,USD,Average,3.896e-05
2026-01,VND,USD,Budget,3.919e-05
2026-01,VND,USD,Closing,3.893e-05
2026-01,THB,USD,Average,0.02780799
2026-01,THB,USD,Budget,0.02755775
2026-01,THB,USD,Closing,0.02776781
2026-01,MYR,USD,Average,0.21109803
2026-01,MYR,USD,Budget,0.211509
2026-01,MYR,USD,Closing,0.21073884
2026-01,IDR,USD,Average,6.067e-05
2026-01,IDR,USD,Budget,6.074e-05
2026-01,IDR,USD,Closing,6.066e-05
2026-01,PHP,USD,Average,0.0171355
2026-01,PHP,USD,Budget,0.01716388
2026-01,PHP,USD,Closing,0.01712912
2026-01,AUD,USD,Average,0.67502767
2026-01,AUD,USD,Budget,0.6681832
2026-01,AUD,USD,Closing,0.6747111
2026-02,SGD,USD,Average,0.746232
2026-02,SGD,USD,Budget,0.744597
2026-02,SGD,USD,Closing,0.74450725
2026-02,VND,USD,Average,3.918e-05
2026-02,VND,USD,Budget,3.919e-05
2026-02,VND,USD,Closing,3.913e-05
2026-02,THB,USD,Average,0.02768844
2026-02,THB,USD,Budget,0.02755775
2026-02,THB,USD,Closing,0.02773584
2026-02,MYR,USD,Average,0.21111151
2026-02,MYR,USD,Budget,0.211509
2026-02,MYR,USD,Closing,0.21102172
2026-02,IDR,USD,Average,6.056e-05
2026-02,IDR,USD,Budget,6.074e-05
2026-02,IDR,USD,Closing,6.069e-05
2026-02,PHP,USD,Average,0.01715802
2026-02,PHP,USD,Budget,0.01716388
2026-02,PHP,USD,Closing,0.01716036
2026-02,AUD,USD,Average,0.6774876
2026-02,AUD,USD,Budget,0.6681832
2026-02,AUD,USD,Closing,0.67614013
2026-03,SGD,USD,Average,0.74502316
2026-03,SGD,USD,Budget,0.744597
2026-03,SGD,USD,Closing,0.74599299
2026-03,VND,USD,Average,3.905e-05
2026-03,VND,USD,Budget,3.919e-05
2026-03,VND,USD,Closing,3.906e-05
2026-03,THB,USD,Average,0.0278324
2026-03,THB,USD,Budget,0.02755775
2026-03,THB,USD,Closing,0.02778777
2026-03,MYR,USD,Average,0.2082618
2026-03,MYR,USD,Budget,0.211509
2026-03,MYR,USD,Closing,0.20889155
2026-03,IDR,USD,Average,6.021e-05
2026-03,IDR,USD,Budget,6.074e-05
2026-03,IDR,USD,Closing,6.039e-05
2026-03,PHP,USD,Average,0.01707928
2026-03,PHP,USD,Budget,0.01716388
2026-03,PHP,USD,Closing,0.0170928
2026-03,AUD,USD,Average,0.67280329
2026-03,AUD,USD,Budget,0.6681832
2026-03,AUD,USD,Closing,0.67476656
2026-04,SGD,USD,Average,0.75291202
2026-04,SGD,USD,Budget,0.744597
2026-04,SGD,USD,Closing,0.75588102
2026-04,VND,USD,Average,3.862e-05
2026-04,VND,USD,Budget,3.919e-05
2026-04,VND,USD,Closing,3.865e-05
2026-04,THB,USD,Average,0.02760804
2026-04,THB,USD,Budget,0.02755775
2026-04,THB,USD,Closing,0.02766051
2026-04,MYR,USD,Average,0.2086567
2026-04,MYR,USD,Budget,0.211509
2026-04,MYR,USD,Closing,0.20822615
2026-04,IDR,USD,Average,6.008e-05
2026-04,IDR,USD,Budget,6.074e-05
2026-04,IDR,USD,Closing,5.994e-05
2026-04,PHP,USD,Average,0.01713743
2026-04,PHP,USD,Budget,0.01716388
2026-04,PHP,USD,Closing,0.01707963
2026-04,AUD,USD,Average,0.67336483
2026-04,AUD,USD,Budget,0.6681832
2026-04,AUD,USD,Closing,0.67534463
2026-05,SGD,USD,Average,0.74887316
2026-05,SGD,USD,Budget,0.744597
2026-05,SGD,USD,Closing,0.75125335
2026-05,VND,USD,Average,3.864e-05
2026-05,VND,USD,Budget,3.919e-05
2026-05,VND,USD,Closing,3.86e-05
2026-05,THB,USD,Average,0.0276093
2026-05,THB,USD,Budget,0.02755775
2026-05,THB,USD,Closing,0.02763595
2026-05,MYR,USD,Average,0.20954919
2026-05,MYR,USD,Budget,0.211509
2026-05,MYR,USD,Closing,0.20966333
2026-05,IDR,USD,Average,6.029e-05
2026-05,IDR,USD,Budget,6.074e-05
2026-05,IDR,USD,Closing,6.008e-05
2026-05,PHP,USD,Average,0.01711601
2026-05,PHP,USD,Budget,0.01716388
2026-05,PHP,USD,Closing,0.01717055
2026-05,AUD,USD,Average,0.67430202
2026-05,AUD,USD,Budget,0.6681832
2026-05,AUD,USD,Closing,0.67442746
