CashImpactKey,MonthStart,PlanPeriod,ScenarioKey,RevenueUSD,DirectCostUSD,PayrollCostUSD,NonPayrollOpexUSD,GrossProfitUSD,EBITDAUSD,TaxPaidUSD,CapexUSD,DSODays,DPODays,WorkingCapitalUSD,OperatingCashFlowUSD,EndingCashUSD,DateKey,YearMonth
CASH_202411_ACTUAL,2024-11-01,Actual,ACTUAL,9991436.64,7864449.74,756887.35,234689.44,2126986.9,1135410.11,193019.72,8500,43,31,6194461.12,725584.25,10038263.0,20241101,2024-11
CASH_202412_ACTUAL,2024-12-01,Actual,ACTUAL,10015087.29,7830964.64,767055.48,242955.78,2184122.65,1174111.39,199598.94,8500,43,31,6262961.65,755308.8,10785071.79,20241201,2024-12
CASH_202501_ACTUAL,2025-01-01,Actual,ACTUAL,10447858.78,8184525.91,770687.69,235750.91,2263332.87,1256894.27,213672.03,8500,43,31,6517920.81,815095.02,11591666.81,20250101,2025-01
CASH_202502_ACTUAL,2025-02-01,Actual,ACTUAL,10845791.58,8519128.88,784287.16,240621.68,2326662.7,1301753.86,221298.16,8500,43,31,6742534.76,844466.99,12427633.8,20250201,2025-02
CASH_202503_ACTUAL,2025-03-01,Actual,ACTUAL,11247098.19,8815219.45,807731.34,242904.13,2431878.74,1381243.27,234811.36,32000,43,31,7011780.64,901019.59,13296653.39,20250301,2025-03
CASH_202504_ACTUAL,2025-04-01,Actual,ACTUAL,11569571.07,9046432.03,810102.62,243348.22,2523139.04,1469688.2,249846.99,8500,43,31,7235072.1,966613.68,14254767.07,20250401,2025-04
CASH_202505_ACTUAL,2025-05-01,Actual,ACTUAL,11544086.0,9060581.27,808607.21,244142.12,2483504.73,1430755.4,243228.42,8500,43,31,7183922.62,936089.69,15182356.76,20250501,2025-05
CASH_202506_ACTUAL,2025-06-01,Actual,ACTUAL,11304895.56,8857500.08,812235.34,243970.52,2447395.48,1391189.62,236502.24,8500,43,31,7050933.55,907904.71,16081761.47,20250601,2025-06
CASH_202507_ACTUAL,2025-07-01,Actual,ACTUAL,10892286.02,8508860.31,810888.42,244424.64,2383425.71,1328112.65,225779.15,8500,43,31,6819787.64,863640.93,16936902.4,20250701,2025-07
CASH_202508_ACTUAL,2025-08-01,Actual,ACTUAL,11181074.15,8773593.48,827558.5,250335.08,2407480.67,1329587.09,226029.81,8500,43,31,6960159.69,859951.7,17788354.1,20250801,2025-08
CASH_202509_ACTUAL,2025-09-01,Actual,ACTUAL,11043892.37,8676492.59,825602.2,246372.08,2367399.78,1295425.5,220222.33,32000,43,31,6863870.05,834967.71,18591321.81,20250901,2025-09
CASH_202510_ACTUAL,2025-10-01,Actual,ACTUAL,10983682.81,8590849.66,817057.89,245329.12,2392833.15,1330446.14,226175.84,8500,43,31,6866067.38,863957.94,19446779.75,20251001,2025-10
CASH_202511_ACTUAL,2025-11-01,Actual,ACTUAL,11281992.12,8842568.43,835335.48,248040.75,2439423.69,1356047.46,230528.07,8500,43,31,7033534.66,879345.68,20317625.43,20251101,2025-11
CASH_202512_ACTUAL,2025-12-01,Actual,ACTUAL,11112544.86,8658871.31,860984.6,253627.21,2453673.55,1339061.74,227640.5,8500,43,31,6980480.61,867104.42,21176229.85,20251201,2025-12
CASH_202601_ACTUAL,2026-01-01,Actual,ACTUAL,11687619.23,9134031.01,856858.09,253196.63,2553588.22,1443533.5,245400.7,8500,43,31,7313755.52,942151.36,22109881.21,20260101,2026-01
CASH_202602_ACTUAL,2026-02-01,Actual,ACTUAL,12143250.3,9538088.5,889658.49,255591.72,2605161.8,1459911.59,248184.97,8500,43,31,7549300.65,947501.1,23048882.31,20260201,2026-02
CASH_202603_ACTUAL,2026-03-01,Actual,ACTUAL,12582686.22,9880059.58,892208.22,256072.69,2702626.64,1554345.73,264238.77,32000,43,31,7825788.68,1016204.35,24033086.66,20260301,2026-03
CASH_202604_ACTUAL,2026-04-01,Actual,ACTUAL,12928036.0,10085805.56,903024.78,258975.07,2842230.44,1680230.59,285639.2,8500,43,31,8108185.85,1110804.88,25135391.55,20260401,2026-04
CASH_202605_ACTUAL,2026-05-01,Actual,ACTUAL,12976443.41,10128394.73,901066.78,258301.09,2848048.68,1688680.81,287075.74,8500,43,31,8133561.0,1116930.44,26243821.98,20260501,2026-05
CASH_202606_BASE,2026-06-01,Forecast,BASE,12806491.7,10226763.78,838826.18,265998.64,2579727.92,1474903.1,250733.53,8500,43,31,7788315.53,951578.53,2793078.53,20260601,2026-06
CASH_202607_BASE,2026-07-01,Forecast,BASE,12303598.3,9800704.72,830256.27,265371.71,2502893.58,1407265.6,239235.15,8500,43,31,7507762.69,905258.75,3689837.28,20260701,2026-07
CASH_202608_BASE,2026-08-01,Forecast,BASE,12739833.27,10188635.03,837734.67,266720.31,2551198.24,1446743.26,245946.35,8500,43,31,7732171.49,930170.9,4611508.19,20260801,2026-08
CASH_202609_BASE,2026-09-01,Forecast,BASE,12594345.88,10093033.95,836587.08,267006.89,2501311.93,1397717.96,237612.05,32000,43,31,7622427.35,893320.95,5472829.14,20260901,2026-09
CASH_202610_BASE,2026-10-01,Forecast,BASE,12662664.01,10158276.91,840588.04,267921.79,2504387.1,1395877.27,237299.14,8500,43,31,7652932.27,890725.5,6355054.64,20261001,2026-10
CASH_202611_BASE,2026-11-01,Forecast,BASE,13030031.11,10441762.16,851732.83,269663.06,2588268.95,1466873.06,249368.42,8500,43,31,7886557.03,941475.14,7288029.79,20261101,2026-11
CASH_202612_BASE,2026-12-01,Forecast,BASE,13124062.14,10508393.12,866966.14,271868.57,2615669.02,1476834.31,251061.83,8500,43,31,7952482.84,947435.58,8226965.36,20261201,2026-12
CASH_202701_BASE,2027-01-01,Forecast,BASE,13830492.69,11076540.03,891631.72,275182.18,2753952.66,1587138.76,269813.59,8500,43,31,8377948.16,1024096.99,9242562.35,20270101,2027-01
CASH_202702_BASE,2027-02-01,Forecast,BASE,14460913.49,11558161.58,901896.78,276860.93,2902751.91,1723994.2,293079.01,8500,43,31,8783875.7,1123479.54,10357541.88,20270201,2027-02
CASH_202703_BASE,2027-03-01,Forecast,BASE,15221613.64,12211070.07,921566.96,279560.56,3010543.57,1809416.05,307600.73,32000,43,31,9199540.48,1179831.4,11505373.29,20270301,2027-03
CASH_202704_BASE,2027-04-01,Forecast,BASE,15722369.52,12651055.54,938482.6,281994.84,3071313.98,1850836.54,314642.21,8500,43,31,9462638.92,1205001.97,12701875.26,20270401,2027-04
CASH_202705_BASE,2027-05-01,Forecast,BASE,15771534.35,12647760.46,941544.09,282769.17,3123773.89,1899460.63,322908.31,8500,43,31,9536513.43,1242774.35,13936149.61,20270501,2027-05
CASH_202706_BASE,2027-06-01,Forecast,BASE,15620159.17,12580245.25,938848.85,282903.09,3039913.92,1818161.98,309087.54,8500,43,31,9389308.05,1180448.66,15108098.27,20270601,2027-06
CASH_202707_BASE,2027-07-01,Forecast,BASE,14990836.73,12048868.32,926919.79,281941.34,2941968.41,1733107.28,294628.24,8500,43,31,9036368.72,1122206.14,16221804.41,20270701,2027-07
CASH_202708_BASE,2027-08-01,Forecast,BASE,15628344.9,12604605.78,937794.17,283662.97,3023739.12,1802281.98,306387.94,8500,43,31,9375868.38,1167738.65,17381043.06,20270801,2027-08
CASH_202709_BASE,2027-09-01,Forecast,BASE,15365407.46,12411516.61,934037.95,283644.87,2953890.85,1736208.03,295155.37,32000,43,31,9198516.86,1119104.57,18468147.63,20270901,2027-09
CASH_202710_BASE,2027-10-01,Forecast,BASE,15449057.43,12497653.41,937222.39,284498.57,2951404.02,1729683.06,294046.12,8500,43,31,9229407.13,1112607.69,19572255.32,20271001,2027-10
CASH_202711_BASE,2027-11-01,Forecast,BASE,16007160.38,12951263.55,952549.41,286718.33,3055896.83,1816629.09,308826.95,8500,43,31,9560624.21,1173180.3,20736935.62,20271101,2027-11
CASH_202712_BASE,2027-12-01,Forecast,BASE,15976392.62,12917017.94,969941.37,289164.72,3059374.68,1800268.59,306045.66,8500,43,31,9551910.88,1159906.05,21888341.67,20271201,2027-12
CASH_202606_DOWNSIDE,2026-06-01,Forecast,DOWNSIDE,10564153.37,8680062.64,747578.28,263522.3,1884090.73,872990.15,148408.33,8500,49,29,8864056.62,414339.84,2255839.84,20260601,2026-06
CASH_202607_DOWNSIDE,2026-07-01,Forecast,DOWNSIDE,10221612.09,8451087.22,741732.59,263268.0,1770524.87,765524.28,130139.13,8500,49,29,8525915.43,336978.11,2584317.96,20260701,2026-07
CASH_202608_DOWNSIDE,2026-08-01,Forecast,DOWNSIDE,10579485.61,8730528.22,749880.9,264720.26,1848957.39,834356.23,141840.56,8500,49,29,8840315.88,383104.61,2958922.57,20260801,2026-08
CASH_202609_DOWNSIDE,2026-09-01,Forecast,DOWNSIDE,10402552.51,8561182.17,747591.84,264864.48,1841370.34,828914.02,140915.38,32000,49,29,8715026.34,382972.71,3309895.28,20260901,2026-09
CASH_202610_DOWNSIDE,2026-10-01,Forecast,DOWNSIDE,10570677.91,8775374.76,752187.93,265870.48,1795303.15,777244.74,132131.61,8500,49,29,8782578.32,337722.89,3639118.18,20261001,2026-10
CASH_202611_DOWNSIDE,2026-11-01,Forecast,DOWNSIDE,10773535.1,8916518.77,762441.2,267533.32,1857016.33,827041.81,140597.11,8500,49,29,8977472.52,372233.16,4002851.34,20261101,2026-11
CASH_202612_DOWNSIDE,2026-12-01,Forecast,DOWNSIDE,10807573.97,8959356.24,773712.14,269344.49,1848217.73,805161.1,136877.39,8500,49,29,8991659.79,353575.62,4347926.96,20261201,2026-12
CASH_202701_DOWNSIDE,2027-01-01,Forecast,DOWNSIDE,11537422.17,9515006.98,793650.12,272218.13,2022415.19,956546.94,162612.98,8500,49,29,9646616.13,456302.4,4795729.36,20270101,2027-01
CASH_202702_DOWNSIDE,2027-02-01,Forecast,DOWNSIDE,12014857.57,9931840.3,803779.77,273869.88,2083017.27,1005367.62,170912.5,8500,49,29,10023488.41,483633.03,5270862.39,20270201,2027-02
CASH_202703_DOWNSIDE,2027-03-01,Forecast,DOWNSIDE,12615495.29,10494027.97,821339.12,276465.22,2121467.32,1023662.98,174022.71,32000,49,29,10461081.94,483502.41,5722364.79,20270301,2027-03
CASH_202704_DOWNSIDE,2027-04-01,Forecast,DOWNSIDE,13075017.29,10857649.54,832173.94,278229.52,2217367.75,1106964.29,188183.93,8500,49,29,10860133.69,538675.68,6252540.48,20270401,2027-04
CASH_202705_DOWNSIDE,2027-05-01,Forecast,DOWNSIDE,13141186.83,10895948.3,837886.65,279341.51,2245238.53,1128010.37,191761.76,8500,49,29,10931188.47,553657.01,6797697.49,20270501,2027-05
CASH_202706_DOWNSIDE,2027-06-01,Forecast,DOWNSIDE,12902985.12,10678736.24,835410.14,279512.72,2224248.88,1109326.02,188585.42,8500,49,29,10752097.33,544417.19,7333614.68,20270601,2027-06
CASH_202707_DOWNSIDE,2027-07-01,Forecast,DOWNSIDE,12514075.88,10343092.88,826298.44,278831.33,2170983.0,1065853.23,181195.05,8500,49,29,10441334.15,519211.49,7844326.16,20270701,2027-07
CASH_202708_DOWNSIDE,2027-08-01,Forecast,DOWNSIDE,12998399.65,10824779.24,836800.64,280551.29,2173620.41,1056268.48,179565.64,8500,49,29,10766766.16,499866.02,8335692.18,20270801,2027-08
CASH_202709_DOWNSIDE,2027-09-01,Forecast,DOWNSIDE,12807887.5,10678698.58,833269.47,280581.77,2129188.92,1015337.68,172607.41,32000,49,29,10596807.62,471842.01,8775534.19,20270901,2027-09
CASH_202710_DOWNSIDE,2027-10-01,Forecast,DOWNSIDE,12829085.04,10647212.91,835810.32,281318.92,2181872.13,1064742.89,181006.29,8500,49,29,10661866.42,510571.27,9277605.47,20271001,2027-10
CASH_202711_DOWNSIDE,2027-11-01,Forecast,DOWNSIDE,13251894.43,11056651.89,847967.48,283208.72,2195242.54,1064066.34,180891.28,8500,49,29,10956664.08,499691.82,9768797.29,20271101,2027-11
CASH_202712_DOWNSIDE,2027-12-01,Forecast,DOWNSIDE,13317575.06,11119092.59,864293.67,285710.56,2198482.47,1048478.24,178241.3,8500,49,29,11003583.09,485111.53,10245408.82,20271201,2027-12
CASH_202606_UPSIDE,2026-06-01,Forecast,UPSIDE,14911450.84,11637573.05,910383.74,269891.98,3273877.79,2093602.07,355912.35,8500,40,33,7080604.1,1489868.57,3331368.57,20260601,2026-06
CASH_202607_UPSIDE,2026-07-01,Forecast,UPSIDE,14463879.56,11368627.98,902748.35,269439.55,3095251.58,1923063.68,326920.83,8500,40,33,6779681.97,1358853.99,4681722.56,20260701,2026-07
CASH_202608_UPSIDE,2026-08-01,Forecast,UPSIDE,15021852.83,11793923.22,912736.48,271025.49,3227929.61,2044167.64,347508.5,8500,40,33,7055821.56,1449705.39,6122927.95,20260801,2026-08
CASH_202609_UPSIDE,2026-09-01,Forecast,UPSIDE,14908125.67,11766408.58,910721.89,271202.24,3141717.09,1959792.96,333164.8,32000,40,33,6934451.46,1383922.36,7474850.3,20260901,2026-09
CASH_202610_UPSIDE,2026-10-01,Forecast,UPSIDE,14981339.19,11797496.35,912800.17,271883.98,3183842.84,1999158.69,339856.98,8500,40,33,6997872.94,1414376.16,8880726.46,20261001,2026-10
CASH_202611_UPSIDE,2026-11-01,Forecast,UPSIDE,15424629.93,12115759.79,926751.25,273896.32,3308870.14,2108222.57,358397.84,8500,40,33,7238837.47,1496465.42,10368691.88,20261101,2026-11
CASH_202612_UPSIDE,2026-12-01,Forecast,UPSIDE,15406173.77,12159969.16,941674.31,276079.89,3246204.61,2028450.41,344836.57,8500,40,33,7165598.95,1432817.88,11793009.76,20261201,2026-12
CASH_202701_UPSIDE,2027-01-01,Forecast,UPSIDE,16304615.68,12871375.54,972078.21,279982.98,3433240.14,2181178.95,370800.42,8500,40,33,7580974.48,1545044.42,13329554.18,20270101,2027-01
CASH_202702_UPSIDE,2027-02-01,Forecast,UPSIDE,17120264.77,13476584.71,984348.28,281817.45,3643680.06,2377514.33,404177.44,8500,40,33,8002776.51,1693239.72,15014293.9,20270201,2027-02
CASH_202703_UPSIDE,2027-03-01,Forecast,UPSIDE,17925767.81,14103195.54,1006954.23,284871.01,3822572.27,2530747.03,430227.0,32000,40,33,8387508.65,1806957.23,16789251.13,20270301,2027-03
CASH_202704_UPSIDE,2027-04-01,Forecast,UPSIDE,18513808.29,14565372.7,1024268.44,287281.67,3948435.59,2636885.48,448270.53,8500,40,33,8663167.75,1885404.08,18666155.21,20270401,2027-04
CASH_202705_UPSIDE,2027-05-01,Forecast,UPSIDE,18664690.09,14757327.04,1029055.26,288300.0,3907363.05,2590007.79,440301.32,8500,40,33,8653193.71,1846844.69,20504499.89,20270501,2027-05
CASH_202706_UPSIDE,2027-06-01,Forecast,UPSIDE,18384002.86,14528426.15,1024585.13,288158.99,3855576.71,2542832.59,432281.54,8500,40,33,8530735.05,1811975.32,22307975.22,20270601,2027-06
CASH_202707_UPSIDE,2027-07-01,Forecast,UPSIDE,17888975.41,14266722.67,1016402.35,287679.25,3622252.74,2318171.14,394089.09,8500,40,33,8158572.28,1638532.02,23938007.23,20270701,2027-07
CASH_202708_UPSIDE,2027-08-01,Forecast,UPSIDE,18518764.26,14700301.98,1027236.42,289370.87,3818462.28,2501854.99,425315.35,8500,40,33,8521353.5,1778292.27,25707799.5,20270801,2027-08
CASH_202709_UPSIDE,2027-09-01,Forecast,UPSIDE,18261540.32,14533156.86,1021226.53,289127.74,3728383.46,2418029.19,411064.96,32000,40,33,8362247.88,1714285.55,27390085.05,20270901,2027-09
CASH_202710_UPSIDE,2027-10-01,Forecast,UPSIDE,18342602.35,14567948.39,1026797.16,290131.42,3774653.96,2457725.38,417813.31,8500,40,33,8432059.9,1744789.97,29126375.02,20271001,2027-10
CASH_202711_UPSIDE,2027-11-01,Forecast,UPSIDE,18882598.77,15011942.36,1038891.58,292015.91,3870656.41,2539748.92,431757.32,8500,40,33,8663661.76,1804763.44,30922638.46,20271101,2027-11
CASH_202712_UPSIDE,2027-12-01,Forecast,UPSIDE,18842993.64,15013154.7,1059031.5,294761.87,3829838.94,2476045.57,420927.75,8500,40,33,8609521.35,1753784.58,32667923.04,20271201,2027-12
