RevenueDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,ServiceKey,SegmentKey,VolumeJobs,TEU,CBM,ChargeableKg,AvgRateUSD,SurchargeUSD,DiscountUSD,RevenueUSD,DataSource,DateKey,YearMonth
202401_ACTUAL_VN_NORTH_TRK_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,MM,185,0.0,0.0,0.0,303.59,3257.51,1235.61,58185.9,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_TRK_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,SME,148,0.0,0.0,0.0,325.67,2795.56,481.99,50512.83,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,SKA,280,0.0,0.0,0.0,309.47,5025.84,4159.31,87518.88,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,ENT,117,0.0,0.0,140262.66,1376.18,9338.73,5635.44,164715.96,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_AIR_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,MM,90,0.0,0.0,88541.5,1408.43,7352.03,2788.7,131322.43,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_AIR_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,SME,66,0.0,0.0,83153.77,1465.27,5609.04,967.08,101349.51,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,SKA,133,0.0,0.0,162906.05,1405.7,10843.55,8973.97,188827.28,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,ENT,178,240.03,0.0,0.0,1031.67,10650.96,6427.31,187860.96,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_FCL_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,MM,151,242.68,0.0,0.0,985.66,8632.41,3274.36,154192.62,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_FCL_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,SME,119,145.51,0.0,0.0,994.61,6864.81,1183.59,124040.05,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,SKA,215,342.32,0.0,0.0,1009.0,12582.19,10412.85,219103.69,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,ENT,145,0.0,1180.43,0.0,548.9,3979.55,2785.69,80784.96,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_LCL_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,MM,132,0.0,691.22,0.0,520.97,3438.37,1512.88,70692.94,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_LCL_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,SME,99,0.0,622.47,0.0,510.12,2525.12,505.02,52522.44,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,SKA,186,0.0,1329.6,0.0,548.8,5103.84,4899.68,102280.89,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,ENT,94,0.0,0.0,0.0,1242.51,5839.82,4087.87,118548.31,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CLS_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,MM,70,0.0,0.0,0.0,1301.83,4556.41,2004.82,93679.69,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CLS_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,SME,58,0.0,0.0,0.0,1258.91,3650.85,730.17,75937.72,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,SKA,103,0.0,0.0,0.0,1369.61,7053.5,6771.36,141352.18,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,ENT,226,0.0,0.0,0.0,200.73,2268.22,1587.75,46044.78,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CUS_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,MM,187,0.0,0.0,0.0,210.26,1965.93,865.01,40419.42,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CUS_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,SME,131,0.0,0.0,0.0,210.21,1376.89,275.38,28639.29,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,SKA,271,0.0,0.0,0.0,215.33,2917.73,2801.02,58471.24,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,ENT,256,0.0,0.0,0.0,316.04,4692.52,2831.69,82766.34,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_TRK_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,MM,228,0.0,0.0,0.0,311.48,4119.01,1562.38,73574.05,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_TRK_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,SME,165,0.0,0.0,0.0,302.52,2895.12,499.16,52311.9,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_SOUTH_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,SKA,300,0.0,0.0,0.0,317.53,5524.99,4572.41,96211.1,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,ENT,71,0.0,0.0,84834.16,1427.62,5878.95,3547.64,103692.47,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_AIR_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,MM,62,0.0,0.0,70370.45,1467.42,5276.86,2001.57,94255.59,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_AIR_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,SME,44,0.0,0.0,30442.63,1493.88,3812.38,657.31,68885.79,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,SKA,84,0.0,0.0,62913.1,1492.96,7273.71,6019.62,126662.89,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,ENT,110,161.64,0.0,0.0,1026.14,6546.79,3950.65,115471.82,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_FCL_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,MM,101,161.27,0.0,0.0,971.67,5692.03,2159.05,101671.46,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_FCL_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,SME,75,118.06,0.0,0.0,964.3,4194.72,723.23,75794.31,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,SKA,120,150.34,0.0,0.0,948.26,6599.9,5461.99,114929.3,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,ENT,96,0.0,505.72,0.0,513.73,2465.9,1726.13,50057.82,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_LCL_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,MM,78,0.0,370.0,0.0,522.88,2039.22,897.26,41926.32,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_LCL_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,SME,67,0.0,408.97,0.0,550.8,1845.18,369.04,38379.7,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,SKA,104,0.0,850.53,0.0,575.85,2994.44,2874.66,60008.49,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,ENT,56,0.0,0.0,0.0,1395.55,3907.55,2735.29,79323.27,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CLS_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,MM,45,0.0,0.0,0.0,1278.11,2875.74,1265.32,59125.18,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CLS_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,SME,36,0.0,0.0,0.0,1334.4,2401.93,480.39,49960.07,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,SKA,59,0.0,0.0,0.0,1321.53,3898.52,3742.58,78126.42,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,ENT,144,0.0,0.0,0.0,210.86,1518.21,1062.75,30819.71,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CUS_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,MM,121,0.0,0.0,0.0,206.65,1250.25,550.11,25705.07,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CUS_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,SME,96,0.0,0.0,0.0,222.2,1066.57,213.31,22184.59,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,SKA,161,0.0,0.0,0.0,212.32,1709.21,1640.84,34252.48,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,ENT,171,0.0,0.0,0.0,311.59,3090.39,1864.89,54508.16,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_TRK_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,MM,142,0.0,0.0,0.0,280.85,2313.08,877.37,41316.37,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_TRK_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,SME,102,0.0,0.0,0.0,324.2,1917.94,330.68,34655.17,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_CENTRAL_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,SKA,191,0.0,0.0,0.0,317.43,3516.46,2910.17,61234.88,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_AIR_ENT,2024-01-01,Actual,ACTUAL,TH,AIR,ENT,60,0.0,0.0,66157.47,1409.85,4906.28,2960.69,86536.62,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_AIR_MM,2024-01-01,Actual,ACTUAL,TH,AIR,MM,48,0.0,0.0,45177.39,1429.25,3979.04,1509.29,71073.8,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_AIR_SME,2024-01-01,Actual,ACTUAL,TH,AIR,SME,38,0.0,0.0,32113.87,1485.38,3273.78,564.45,59153.84,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_AIR_SKA,2024-01-01,Actual,ACTUAL,TH,AIR,SKA,65,0.0,0.0,60230.8,1420.83,5356.53,4432.99,93277.48,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_FCL_ENT,2024-01-01,Actual,ACTUAL,TH,FCL,ENT,97,120.75,0.0,0.0,1031.91,5805.54,3503.34,102397.63,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_FCL_MM,2024-01-01,Actual,ACTUAL,TH,FCL,MM,77,100.01,0.0,0.0,972.72,4344.18,1647.79,77596.09,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_FCL_SME,2024-01-01,Actual,ACTUAL,TH,FCL,SME,60,73.16,0.0,0.0,1001.83,3486.38,601.1,62995.35,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_FCL_SKA,2024-01-01,Actual,ACTUAL,TH,FCL,SKA,100,115.85,0.0,0.0,962.22,5580.86,4618.64,97183.95,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_LCL_ENT,2024-01-01,Actual,ACTUAL,TH,LCL,ENT,80,0.0,569.66,0.0,547.39,2189.57,1532.7,44448.31,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_LCL_MM,2024-01-01,Actual,ACTUAL,TH,LCL,MM,66,0.0,420.39,0.0,537.47,1773.66,780.41,36466.48,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_LCL_SME,2024-01-01,Actual,ACTUAL,TH,LCL,SME,54,0.0,267.48,0.0,549.36,1483.28,296.66,30852.17,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_LCL_SKA,2024-01-01,Actual,ACTUAL,TH,LCL,SKA,94,0.0,622.96,0.0,529.48,2488.55,2389.01,49870.54,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CLS_ENT,2024-01-01,Actual,ACTUAL,TH,CLS,ENT,47,0.0,0.0,0.0,1247.3,2931.16,2051.81,59502.48,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CLS_MM,2024-01-01,Actual,ACTUAL,TH,CLS,MM,40,0.0,0.0,0.0,1326.0,2652.0,1166.88,54525.11,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CLS_SME,2024-01-01,Actual,ACTUAL,TH,CLS,SME,30,0.0,0.0,0.0,1257.21,1885.82,377.16,39225.11,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CLS_SKA,2024-01-01,Actual,ACTUAL,TH,CLS,SKA,50,0.0,0.0,0.0,1308.48,3271.21,3140.36,65555.01,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CUS_ENT,2024-01-01,Actual,ACTUAL,TH,CUS,ENT,119,0.0,0.0,0.0,215.51,1282.27,897.59,26030.11,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CUS_MM,2024-01-01,Actual,ACTUAL,TH,CUS,MM,99,0.0,0.0,0.0,204.87,1014.13,446.22,20850.41,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CUS_SME,2024-01-01,Actual,ACTUAL,TH,CUS,SME,77,0.0,0.0,0.0,209.64,807.12,161.42,16788.16,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_CUS_SKA,2024-01-01,Actual,ACTUAL,TH,CUS,SKA,136,0.0,0.0,0.0,198.16,1347.52,1293.62,27004.28,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_TRK_ENT,2024-01-01,Actual,ACTUAL,TH,TRK,ENT,139,0.0,0.0,0.0,319.21,2573.44,1552.94,45390.12,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_TRK_MM,2024-01-01,Actual,ACTUAL,TH,TRK,MM,109,0.0,0.0,0.0,318.87,2015.89,764.65,36007.98,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_TRK_SME,2024-01-01,Actual,ACTUAL,TH,TRK,SME,88,0.0,0.0,0.0,302.31,1542.97,266.03,27879.88,Synthetic planning model,20240101,2024-01
202401_ACTUAL_TH_TRK_SKA,2024-01-01,Actual,ACTUAL,TH,TRK,SKA,164,0.0,0.0,0.0,308.11,2930.79,2425.48,51036.09,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_AIR_ENT,2024-01-01,Actual,ACTUAL,CN,AIR,ENT,78,0.0,0.0,106442.59,1545.16,6990.28,4218.27,123294.13,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_AIR_MM,2024-01-01,Actual,ACTUAL,CN,AIR,MM,61,0.0,0.0,43888.91,1447.68,5121.89,1942.79,91487.6,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_AIR_SME,2024-01-01,Actual,ACTUAL,CN,AIR,SME,48,0.0,0.0,32060.46,1499.73,4175.24,719.87,75442.28,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_AIR_SKA,2024-01-01,Actual,ACTUAL,CN,AIR,SKA,82,0.0,0.0,97757.95,1408.85,6700.5,5545.24,116681.08,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_FCL_ENT,2024-01-01,Actual,ACTUAL,CN,FCL,ENT,126,161.25,0.0,0.0,984.16,7192.26,4340.16,126856.54,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_FCL_MM,2024-01-01,Actual,ACTUAL,CN,FCL,MM,104,137.25,0.0,0.0,881.08,5314.7,2015.92,94931.62,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_FCL_SME,2024-01-01,Actual,ACTUAL,CN,FCL,SME,79,122.57,0.0,0.0,966.45,4428.28,763.5,80014.42,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_FCL_SKA,2024-01-01,Actual,ACTUAL,CN,FCL,SKA,138,162.04,0.0,0.0,919.78,7361.89,6092.6,128198.4,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_LCL_ENT,2024-01-01,Actual,ACTUAL,CN,LCL,ENT,109,0.0,638.66,0.0,565.36,3081.24,2156.86,62549.08,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_LCL_MM,2024-01-01,Actual,ACTUAL,CN,LCL,MM,95,0.0,725.35,0.0,518.18,2461.38,1083.01,50605.95,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_LCL_SME,2024-01-01,Actual,ACTUAL,CN,LCL,SME,67,0.0,341.58,0.0,548.92,1838.89,367.78,38248.88,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_LCL_SKA,2024-01-01,Actual,ACTUAL,CN,LCL,SKA,133,0.0,605.15,0.0,522.76,3476.34,3337.29,69665.92,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CLS_ENT,2024-01-01,Actual,ACTUAL,CN,CLS,ENT,65,0.0,0.0,0.0,1309.19,4254.88,2978.41,86373.99,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CLS_MM,2024-01-01,Actual,ACTUAL,CN,CLS,MM,50,0.0,0.0,0.0,1272.21,3180.52,1399.43,65391.51,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CLS_SME,2024-01-01,Actual,ACTUAL,CN,CLS,SME,41,0.0,0.0,0.0,1259.02,2580.99,516.2,53684.63,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CLS_SKA,2024-01-01,Actual,ACTUAL,CN,CLS,SKA,73,0.0,0.0,0.0,1282.75,4682.04,4494.75,93828.01,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CUS_ENT,2024-01-01,Actual,ACTUAL,CN,CUS,ENT,153,0.0,0.0,0.0,217.88,1666.77,1166.74,33835.44,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CUS_MM,2024-01-01,Actual,ACTUAL,CN,CUS,MM,127,0.0,0.0,0.0,194.28,1233.65,542.81,25363.85,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CUS_SME,2024-01-01,Actual,ACTUAL,CN,CUS,SME,98,0.0,0.0,0.0,203.5,997.13,199.43,20740.29,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_CUS_SKA,2024-01-01,Actual,ACTUAL,CN,CUS,SKA,171,0.0,0.0,0.0,202.86,1734.43,1665.05,34757.89,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_TRK_ENT,2024-01-01,Actual,ACTUAL,CN,TRK,ENT,190,0.0,0.0,0.0,311.9,3437.12,2074.13,60623.72,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_TRK_MM,2024-01-01,Actual,ACTUAL,CN,TRK,MM,156,0.0,0.0,0.0,320.34,2898.46,1099.42,51772.49,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_TRK_SME,2024-01-01,Actual,ACTUAL,CN,TRK,SME,116,0.0,0.0,0.0,312.81,2104.61,362.86,38028.05,Synthetic planning model,20240101,2024-01
202401_ACTUAL_CN_TRK_SKA,2024-01-01,Actual,ACTUAL,CN,TRK,SKA,197,0.0,0.0,0.0,322.02,3679.42,3045.04,64072.62,Synthetic planning model,20240101,2024-01
202402_ACTUAL_VN_NORTH_AIR_ENT,2024-02-01,Actual,ACTUAL,VN_NORTH,AIR,ENT,101,0.0,0.0,95648.76,1409.11,8462.95,4981.21,145801.99,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_AIR_MM,2024-02-01,Actual,ACTUAL,VN_NORTH,AIR,MM,88,0.0,0.0,129818.14,1408.1,7368.38,2726.09,128555.4,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_AIR_SME,2024-02-01,Actual,ACTUAL,VN_NORTH,AIR,SME,66,0.0,0.0,91182.95,1406.94,5521.73,928.58,97451.44,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_AIR_SKA,2024-02-01,Actual,ACTUAL,VN_NORTH,AIR,SKA,113,0.0,0.0,82414.85,1593.31,10706.16,8642.11,182108.09,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_FCL_ENT,2024-02-01,Actual,ACTUAL,VN_NORTH,FCL,ENT,168,228.31,0.0,0.0,1000.04,9990.38,5880.24,172117.05,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_FCL_MM,2024-02-01,Actual,ACTUAL,VN_NORTH,FCL,MM,140,222.14,0.0,0.0,989.0,8233.39,3046.12,143647.2,Synthetic planning model,20240201,2024-02
202402_ACTUAL_VN_NORTH_FCL_SME,2024-02-01,Actual,ACTUAL,VN_NORTH,FCL,SME,101,135.54,0.0,0.0,989.17,5940.83,999.06,104847.84,Synthetic planning model,20240201,2024-02
