ForecastAccuracyKey,MonthStart,ForecastHorizonMonths,RegionKey,ServiceKey,ScenarioKey,ActualRevenueUSD,ForecastRevenueUSD,ForecastErrorUSD,AbsoluteErrorUSD,AbsolutePctError,ForecastBiasPct,DateKey,YearMonth
FA_202501_2M_TH_CUS,2025-01-01,2,TH,CUS,BASE,102614.95,108357.05,5742.1,5742.1,0.05596,0.056,20250101,2025-01
FA_202501_3M_TH_CUS,2025-01-01,3,TH,CUS,BASE,102614.95,108835.52,6220.57,6220.57,0.06062,0.0606,20250101,2025-01
FA_202501_1M_TH_FCL,2025-01-01,1,TH,FCL,BASE,392693.07,393533.53,840.46,840.46,0.00214,0.0021,20250101,2025-01
FA_202501_2M_TH_FCL,2025-01-01,2,TH,FCL,BASE,392693.07,373859.23,-18833.84,18833.84,0.04796,-0.048,20250101,2025-01
FA_202501_3M_TH_FCL,2025-01-01,3,TH,FCL,BASE,392693.07,376086.2,-16606.87,16606.87,0.04229,-0.0423,20250101,2025-01
FA_202501_1M_TH_LCL,2025-01-01,1,TH,LCL,BASE,178910.55,195600.84,16690.29,16690.29,0.09329,0.0933,20250101,2025-01
FA_202501_2M_TH_LCL,2025-01-01,2,TH,LCL,BASE,178910.55,169849.28,-9061.27,9061.27,0.05065,-0.0506,20250101,2025-01
FA_202501_3M_TH_LCL,2025-01-01,3,TH,LCL,BASE,178910.55,169483.55,-9427.0,9427.0,0.05269,-0.0527,20250101,2025-01
FA_202501_1M_TH_TRK,2025-01-01,1,TH,TRK,BASE,182976.11,209886.84,26910.73,26910.73,0.14707,0.1471,20250101,2025-01
FA_202501_2M_TH_TRK,2025-01-01,2,TH,TRK,BASE,182976.11,155276.02,-27700.09,27700.09,0.15139,-0.1514,20250101,2025-01
FA_202501_3M_TH_TRK,2025-01-01,3,TH,TRK,BASE,182976.11,167224.7,-15751.41,15751.41,0.08608,-0.0861,20250101,2025-01
FA_202501_1M_VN_CENTRAL_AIR,2025-01-01,1,VN_CENTRAL,AIR,BASE,427723.73,443413.26,15689.53,15689.53,0.03668,0.0367,20250101,2025-01
FA_202501_2M_VN_CENTRAL_AIR,2025-01-01,2,VN_CENTRAL,AIR,BASE,427723.73,434081.37,6357.64,6357.64,0.01486,0.0149,20250101,2025-01
FA_202501_3M_VN_CENTRAL_AIR,2025-01-01,3,VN_CENTRAL,AIR,BASE,427723.73,385736.74,-41986.99,41986.99,0.09816,-0.0982,20250101,2025-01
FA_202501_1M_VN_CENTRAL_CLS,2025-01-01,1,VN_CENTRAL,CLS,BASE,292939.02,276054.79,-16884.23,16884.23,0.05764,-0.0576,20250101,2025-01
FA_202501_2M_VN_CENTRAL_CLS,2025-01-01,2,VN_CENTRAL,CLS,BASE,292939.02,311026.66,18087.64,18087.64,0.06175,0.0618,20250101,2025-01
FA_202501_3M_VN_CENTRAL_CLS,2025-01-01,3,VN_CENTRAL,CLS,BASE,292939.02,315902.81,22963.79,22963.79,0.07839,0.0784,20250101,2025-01
FA_202501_1M_VN_CENTRAL_CUS,2025-01-01,1,VN_CENTRAL,CUS,BASE,126235.2,119724.94,-6510.26,6510.26,0.05157,-0.0516,20250101,2025-01
FA_202501_2M_VN_CENTRAL_CUS,2025-01-01,2,VN_CENTRAL,CUS,BASE,126235.2,140546.3,14311.1,14311.1,0.11337,0.1134,20250101,2025-01
FA_202501_3M_VN_CENTRAL_CUS,2025-01-01,3,VN_CENTRAL,CUS,BASE,126235.2,144967.72,18732.52,18732.52,0.14839,0.1484,20250101,2025-01
FA_202501_1M_VN_CENTRAL_FCL,2025-01-01,1,VN_CENTRAL,FCL,BASE,456146.46,428224.33,-27922.13,27922.13,0.06121,-0.0612,20250101,2025-01
FA_202501_2M_VN_CENTRAL_FCL,2025-01-01,2,VN_CENTRAL,FCL,BASE,456146.46,513298.56,57152.1,57152.1,0.12529,0.1253,20250101,2025-01
FA_202501_3M_VN_CENTRAL_FCL,2025-01-01,3,VN_CENTRAL,FCL,BASE,456146.46,395922.45,-60224.01,60224.01,0.13203,-0.132,20250101,2025-01
FA_202501_1M_VN_CENTRAL_LCL,2025-01-01,1,VN_CENTRAL,LCL,BASE,229725.67,229540.28,-185.39,185.39,0.00081,-0.0008,20250101,2025-01
FA_202501_2M_VN_CENTRAL_LCL,2025-01-01,2,VN_CENTRAL,LCL,BASE,229725.67,256623.16,26897.49,26897.49,0.11709,0.1171,20250101,2025-01
FA_202501_3M_VN_CENTRAL_LCL,2025-01-01,3,VN_CENTRAL,LCL,BASE,229725.67,210521.9,-19203.77,19203.77,0.08359,-0.0836,20250101,2025-01
FA_202501_1M_VN_CENTRAL_TRK,2025-01-01,1,VN_CENTRAL,TRK,BASE,219646.85,237904.12,18257.27,18257.27,0.08312,0.0831,20250101,2025-01
FA_202501_2M_VN_CENTRAL_TRK,2025-01-01,2,VN_CENTRAL,TRK,BASE,219646.85,225678.94,6032.09,6032.09,0.02746,0.0275,20250101,2025-01
FA_202501_3M_VN_CENTRAL_TRK,2025-01-01,3,VN_CENTRAL,TRK,BASE,219646.85,228464.04,8817.19,8817.19,0.04014,0.0401,20250101,2025-01
FA_202501_1M_VN_NORTH_AIR,2025-01-01,1,VN_NORTH,AIR,BASE,612269.03,722646.43,110377.4,110377.4,0.18028,0.1803,20250101,2025-01
FA_202501_2M_VN_NORTH_AIR,2025-01-01,2,VN_NORTH,AIR,BASE,612269.03,591099.24,-21169.79,21169.79,0.03458,-0.0346,20250101,2025-01
FA_202501_3M_VN_NORTH_AIR,2025-01-01,3,VN_NORTH,AIR,BASE,612269.03,694255.23,81986.2,81986.2,0.13391,0.1339,20250101,2025-01
FA_202501_1M_VN_NORTH_CLS,2025-01-01,1,VN_NORTH,CLS,BASE,436779.84,396219.34,-40560.5,40560.5,0.09286,-0.0929,20250101,2025-01
FA_202501_2M_VN_NORTH_CLS,2025-01-01,2,VN_NORTH,CLS,BASE,436779.84,443689.69,6909.85,6909.85,0.01582,0.0158,20250101,2025-01
FA_202501_3M_VN_NORTH_CLS,2025-01-01,3,VN_NORTH,CLS,BASE,436779.84,444084.63,7304.79,7304.79,0.01672,0.0167,20250101,2025-01
FA_202501_1M_VN_NORTH_CUS,2025-01-01,1,VN_NORTH,CUS,BASE,172388.38,177373.87,4985.49,4985.49,0.02892,0.0289,20250101,2025-01
FA_202501_2M_VN_NORTH_CUS,2025-01-01,2,VN_NORTH,CUS,BASE,172388.38,173556.41,1168.03,1168.03,0.00678,0.0068,20250101,2025-01
FA_202501_3M_VN_NORTH_CUS,2025-01-01,3,VN_NORTH,CUS,BASE,172388.38,205990.3,33601.92,33601.92,0.19492,0.1949,20250101,2025-01
FA_202501_1M_VN_NORTH_FCL,2025-01-01,1,VN_NORTH,FCL,BASE,649159.48,641284.68,-7874.8,7874.8,0.01213,-0.0121,20250101,2025-01
FA_202501_2M_VN_NORTH_FCL,2025-01-01,2,VN_NORTH,FCL,BASE,649159.48,575393.87,-73765.61,73765.61,0.11363,-0.1136,20250101,2025-01
FA_202501_3M_VN_NORTH_FCL,2025-01-01,3,VN_NORTH,FCL,BASE,649159.48,694666.74,45507.26,45507.26,0.0701,0.0701,20250101,2025-01
FA_202501_1M_VN_NORTH_LCL,2025-01-01,1,VN_NORTH,LCL,BASE,298440.74,318292.38,19851.64,19851.64,0.06652,0.0665,20250101,2025-01
FA_202501_2M_VN_NORTH_LCL,2025-01-01,2,VN_NORTH,LCL,BASE,298440.74,313556.67,15115.93,15115.93,0.05065,0.0506,20250101,2025-01
FA_202501_3M_VN_NORTH_LCL,2025-01-01,3,VN_NORTH,LCL,BASE,298440.74,310476.64,12035.9,12035.9,0.04033,0.0403,20250101,2025-01
FA_202501_1M_VN_NORTH_TRK,2025-01-01,1,VN_NORTH,TRK,BASE,306204.07,330631.57,24427.5,24427.5,0.07978,0.0798,20250101,2025-01
FA_202501_2M_VN_NORTH_TRK,2025-01-01,2,VN_NORTH,TRK,BASE,306204.07,332555.99,26351.92,26351.92,0.08606,0.0861,20250101,2025-01
FA_202501_3M_VN_NORTH_TRK,2025-01-01,3,VN_NORTH,TRK,BASE,306204.07,288238.2,-17965.87,17965.87,0.05867,-0.0587,20250101,2025-01
FA_202501_1M_VN_SOUTH_AIR,2025-01-01,1,VN_SOUTH,AIR,BASE,665293.94,650700.41,-14593.53,14593.53,0.02194,-0.0219,20250101,2025-01
FA_202501_2M_VN_SOUTH_AIR,2025-01-01,2,VN_SOUTH,AIR,BASE,665293.94,692784.59,27490.65,27490.65,0.04132,0.0413,20250101,2025-01
FA_202501_3M_VN_SOUTH_AIR,2025-01-01,3,VN_SOUTH,AIR,BASE,665293.94,696222.42,30928.48,30928.48,0.04649,0.0465,20250101,2025-01
FA_202501_1M_VN_SOUTH_CLS,2025-01-01,1,VN_SOUTH,CLS,BASE,507523.07,445030.07,-62493.0,62493.0,0.12313,-0.1231,20250101,2025-01
FA_202501_2M_VN_SOUTH_CLS,2025-01-01,2,VN_SOUTH,CLS,BASE,507523.07,461033.96,-46489.11,46489.11,0.0916,-0.0916,20250101,2025-01
FA_202501_3M_VN_SOUTH_CLS,2025-01-01,3,VN_SOUTH,CLS,BASE,507523.07,534105.12,26582.05,26582.05,0.05238,0.0524,20250101,2025-01
FA_202501_1M_VN_SOUTH_CUS,2025-01-01,1,VN_SOUTH,CUS,BASE,204061.63,204998.67,937.04,937.04,0.00459,0.0046,20250101,2025-01
FA_202501_2M_VN_SOUTH_CUS,2025-01-01,2,VN_SOUTH,CUS,BASE,204061.63,215492.54,11430.91,11430.91,0.05602,0.056,20250101,2025-01
FA_202501_3M_VN_SOUTH_CUS,2025-01-01,3,VN_SOUTH,CUS,BASE,204061.63,247007.98,42946.35,42946.35,0.21046,0.2105,20250101,2025-01
FA_202501_1M_VN_SOUTH_FCL,2025-01-01,1,VN_SOUTH,FCL,BASE,734758.88,744750.64,9991.76,9991.76,0.0136,0.0136,20250101,2025-01
FA_202501_2M_VN_SOUTH_FCL,2025-01-01,2,VN_SOUTH,FCL,BASE,734758.88,801160.69,66401.81,66401.81,0.09037,0.0904,20250101,2025-01
FA_202501_3M_VN_SOUTH_FCL,2025-01-01,3,VN_SOUTH,FCL,BASE,734758.88,822782.87,88023.99,88023.99,0.1198,0.1198,20250101,2025-01
FA_202501_1M_VN_SOUTH_LCL,2025-01-01,1,VN_SOUTH,LCL,BASE,355009.91,391149.02,36139.11,36139.11,0.1018,0.1018,20250101,2025-01
FA_202501_2M_VN_SOUTH_LCL,2025-01-01,2,VN_SOUTH,LCL,BASE,355009.91,377695.79,22685.88,22685.88,0.0639,0.0639,20250101,2025-01
FA_202501_3M_VN_SOUTH_LCL,2025-01-01,3,VN_SOUTH,LCL,BASE,355009.91,400923.89,45913.98,45913.98,0.12933,0.1293,20250101,2025-01
FA_202501_1M_VN_SOUTH_TRK,2025-01-01,1,VN_SOUTH,TRK,BASE,346117.14,369230.31,23113.17,23113.17,0.06678,0.0668,20250101,2025-01
FA_202501_2M_VN_SOUTH_TRK,2025-01-01,2,VN_SOUTH,TRK,BASE,346117.14,366300.36,20183.22,20183.22,0.05831,0.0583,20250101,2025-01
FA_202501_3M_VN_SOUTH_TRK,2025-01-01,3,VN_SOUTH,TRK,BASE,346117.14,437003.55,90886.41,90886.41,0.26259,0.2626,20250101,2025-01
FA_202502_1M_CN_AIR,2025-02-01,1,CN,AIR,BASE,494204.42,508145.94,13941.52,13941.52,0.02821,0.0282,20250201,2025-02
FA_202502_2M_CN_AIR,2025-02-01,2,CN,AIR,BASE,494204.42,523127.85,28923.43,28923.43,0.05853,0.0585,20250201,2025-02
FA_202502_3M_CN_AIR,2025-02-01,3,CN,AIR,BASE,494204.42,444080.35,-50124.07,50124.07,0.10142,-0.1014,20250201,2025-02
FA_202502_1M_CN_CLS,2025-02-01,1,CN,CLS,BASE,350987.55,341842.38,-9145.17,9145.17,0.02606,-0.0261,20250201,2025-02
FA_202502_2M_CN_CLS,2025-02-01,2,CN,CLS,BASE,350987.55,341960.69,-9026.86,9026.86,0.02572,-0.0257,20250201,2025-02
FA_202502_3M_CN_CLS,2025-02-01,3,CN,CLS,BASE,350987.55,336409.95,-14577.6,14577.6,0.04153,-0.0415,20250201,2025-02
FA_202502_1M_CN_CUS,2025-02-01,1,CN,CUS,BASE,135308.68,147119.53,11810.85,11810.85,0.08729,0.0873,20250201,2025-02
FA_202502_2M_CN_CUS,2025-02-01,2,CN,CUS,BASE,135308.68,143487.43,8178.75,8178.75,0.06045,0.0604,20250201,2025-02
FA_202502_3M_CN_CUS,2025-02-01,3,CN,CUS,BASE,135308.68,128859.97,-6448.71,6448.71,0.04766,-0.0477,20250201,2025-02
FA_202502_1M_CN_FCL,2025-02-01,1,CN,FCL,BASE,534327.33,578947.18,44619.85,44619.85,0.08351,0.0835,20250201,2025-02
FA_202502_2M_CN_FCL,2025-02-01,2,CN,FCL,BASE,534327.33,626129.3,91801.97,91801.97,0.17181,0.1718,20250201,2025-02
FA_202502_3M_CN_FCL,2025-02-01,3,CN,FCL,BASE,534327.33,643122.36,108795.03,108795.03,0.20361,0.2036,20250201,2025-02
FA_202502_1M_CN_LCL,2025-02-01,1,CN,LCL,BASE,256680.43,225059.13,-31621.3,31621.3,0.12319,-0.1232,20250201,2025-02
FA_202502_2M_CN_LCL,2025-02-01,2,CN,LCL,BASE,256680.43,222791.69,-33888.74,33888.74,0.13203,-0.132,20250201,2025-02
FA_202502_3M_CN_LCL,2025-02-01,3,CN,LCL,BASE,256680.43,232148.06,-24532.37,24532.37,0.09558,-0.0956,20250201,2025-02
FA_202502_1M_CN_TRK,2025-02-01,1,CN,TRK,BASE,237888.58,241431.04,3542.46,3542.46,0.01489,0.0149,20250201,2025-02
FA_202502_2M_CN_TRK,2025-02-01,2,CN,TRK,BASE,237888.58,245165.16,7276.58,7276.58,0.03059,0.0306,20250201,2025-02
FA_202502_3M_CN_TRK,2025-02-01,3,CN,TRK,BASE,237888.58,236047.14,-1841.44,1841.44,0.00774,-0.0077,20250201,2025-02
FA_202502_1M_TH_AIR,2025-02-01,1,TH,AIR,BASE,366534.85,366572.38,37.53,37.53,0.0001,0.0001,20250201,2025-02
FA_202502_2M_TH_AIR,2025-02-01,2,TH,AIR,BASE,366534.85,352751.1,-13783.75,13783.75,0.03761,-0.0376,20250201,2025-02
FA_202502_3M_TH_AIR,2025-02-01,3,TH,AIR,BASE,366534.85,409420.73,42885.88,42885.88,0.117,0.117,20250201,2025-02
FA_202502_1M_TH_CLS,2025-02-01,1,TH,CLS,BASE,289823.02,263910.7,-25912.32,25912.32,0.08941,-0.0894,20250201,2025-02
FA_202502_2M_TH_CLS,2025-02-01,2,TH,CLS,BASE,289823.02,324652.69,34829.67,34829.67,0.12018,0.1202,20250201,2025-02
FA_202502_3M_TH_CLS,2025-02-01,3,TH,CLS,BASE,289823.02,307859.02,18036.0,18036.0,0.06223,0.0622,20250201,2025-02
FA_202502_1M_TH_CUS,2025-02-01,1,TH,CUS,BASE,99147.67,94797.97,-4349.7,4349.7,0.04387,-0.0439,20250201,2025-02
FA_202502_2M_TH_CUS,2025-02-01,2,TH,CUS,BASE,99147.67,117110.64,17962.97,17962.97,0.18117,0.1812,20250201,2025-02
FA_202502_3M_TH_CUS,2025-02-01,3,TH,CUS,BASE,99147.67,98976.17,-171.5,171.5,0.00173,-0.0017,20250201,2025-02
FA_202502_1M_TH_FCL,2025-02-01,1,TH,FCL,BASE,398309.31,384379.75,-13929.56,13929.56,0.03497,-0.035,20250201,2025-02
FA_202502_2M_TH_FCL,2025-02-01,2,TH,FCL,BASE,398309.31,451930.52,53621.21,53621.21,0.13462,0.1346,20250201,2025-02
FA_202502_3M_TH_FCL,2025-02-01,3,TH,FCL,BASE,398309.31,408112.63,9803.32,9803.32,0.02461,0.0246,20250201,2025-02
FA_202502_1M_TH_LCL,2025-02-01,1,TH,LCL,BASE,189372.14,213220.18,23848.04,23848.04,0.12593,0.1259,20250201,2025-02
FA_202502_2M_TH_LCL,2025-02-01,2,TH,LCL,BASE,189372.14,194480.22,5108.08,5108.08,0.02697,0.027,20250201,2025-02
FA_202502_3M_TH_LCL,2025-02-01,3,TH,LCL,BASE,189372.14,209408.65,20036.51,20036.51,0.1058,0.1058,20250201,2025-02
FA_202502_1M_TH_TRK,2025-02-01,1,TH,TRK,BASE,171022.06,181141.82,10119.76,10119.76,0.05917,0.0592,20250201,2025-02
FA_202502_2M_TH_TRK,2025-02-01,2,TH,TRK,BASE,171022.06,154437.23,-16584.83,16584.83,0.09697,-0.097,20250201,2025-02
FA_202502_3M_TH_TRK,2025-02-01,3,TH,TRK,BASE,171022.06,192383.46,21361.4,21361.4,0.1249,0.1249,20250201,2025-02
FA_202502_1M_VN_CENTRAL_AIR,2025-02-01,1,VN_CENTRAL,AIR,BASE,435174.52,374210.72,-60963.8,60963.8,0.14009,-0.1401,20250201,2025-02
FA_202502_2M_VN_CENTRAL_AIR,2025-02-01,2,VN_CENTRAL,AIR,BASE,435174.52,498381.17,63206.65,63206.65,0.14524,0.1452,20250201,2025-02
FA_202502_3M_VN_CENTRAL_AIR,2025-02-01,3,VN_CENTRAL,AIR,BASE,435174.52,477552.44,42377.92,42377.92,0.09738,0.0974,20250201,2025-02
FA_202502_1M_VN_CENTRAL_CLS,2025-02-01,1,VN_CENTRAL,CLS,BASE,321078.11,304759.27,-16318.84,16318.84,0.05083,-0.0508,20250201,2025-02
FA_202502_2M_VN_CENTRAL_CLS,2025-02-01,2,VN_CENTRAL,CLS,BASE,321078.11,328449.0,7370.89,7370.89,0.02296,0.023,20250201,2025-02
FA_202502_3M_VN_CENTRAL_CLS,2025-02-01,3,VN_CENTRAL,CLS,BASE,321078.11,306609.0,-14469.11,14469.11,0.04506,-0.0451,20250201,2025-02
FA_202502_1M_VN_CENTRAL_CUS,2025-02-01,1,VN_CENTRAL,CUS,BASE,119625.21,120301.58,676.37,676.37,0.00565,0.0056,20250201,2025-02
FA_202502_2M_VN_CENTRAL_CUS,2025-02-01,2,VN_CENTRAL,CUS,BASE,119625.21,125542.31,5917.1,5917.1,0.04946,0.0495,20250201,2025-02
FA_202502_3M_VN_CENTRAL_CUS,2025-02-01,3,VN_CENTRAL,CUS,BASE,119625.21,151796.72,32171.51,32171.51,0.26894,0.2689,20250201,2025-02
FA_202502_1M_VN_CENTRAL_FCL,2025-02-01,1,VN_CENTRAL,FCL,BASE,483925.83,518053.96,34128.13,34128.13,0.07052,0.0705,20250201,2025-02
FA_202502_2M_VN_CENTRAL_FCL,2025-02-01,2,VN_CENTRAL,FCL,BASE,483925.83,496502.62,12576.79,12576.79,0.02599,0.026,20250201,2025-02
FA_202502_3M_VN_CENTRAL_FCL,2025-02-01,3,VN_CENTRAL,FCL,BASE,483925.83,518256.85,34331.02,34331.02,0.07094,0.0709,20250201,2025-02
FA_202502_1M_VN_CENTRAL_LCL,2025-02-01,1,VN_CENTRAL,LCL,BASE,220578.56,218809.03,-1769.53,1769.53,0.00802,-0.008,20250201,2025-02
FA_202502_2M_VN_CENTRAL_LCL,2025-02-01,2,VN_CENTRAL,LCL,BASE,220578.56,194421.82,-26156.74,26156.74,0.11858,-0.1186,20250201,2025-02
FA_202502_3M_VN_CENTRAL_LCL,2025-02-01,3,VN_CENTRAL,LCL,BASE,220578.56,252648.39,32069.83,32069.83,0.14539,0.1454,20250201,2025-02
FA_202502_1M_VN_CENTRAL_TRK,2025-02-01,1,VN_CENTRAL,TRK,BASE,227421.36,221567.18,-5854.18,5854.18,0.02574,-0.0257,20250201,2025-02
FA_202502_2M_VN_CENTRAL_TRK,2025-02-01,2,VN_CENTRAL,TRK,BASE,227421.36,224269.32,-3152.04,3152.04,0.01386,-0.0139,20250201,2025-02
FA_202502_3M_VN_CENTRAL_TRK,2025-02-01,3,VN_CENTRAL,TRK,BASE,227421.36,230718.18,3296.82,3296.82,0.0145,0.0145,20250201,2025-02
FA_202502_1M_VN_NORTH_AIR,2025-02-01,1,VN_NORTH,AIR,BASE,639818.21,686996.45,47178.24,47178.24,0.07374,0.0737,20250201,2025-02
FA_202502_2M_VN_NORTH_AIR,2025-02-01,2,VN_NORTH,AIR,BASE,639818.21,689658.62,49840.41,49840.41,0.0779,0.0779,20250201,2025-02
FA_202502_3M_VN_NORTH_AIR,2025-02-01,3,VN_NORTH,AIR,BASE,639818.21,597267.68,-42550.53,42550.53,0.0665,-0.0665,20250201,2025-02
FA_202502_1M_VN_NORTH_CLS,2025-02-01,1,VN_NORTH,CLS,BASE,454136.84,475480.54,21343.7,21343.7,0.047,0.047,20250201,2025-02
FA_202502_2M_VN_NORTH_CLS,2025-02-01,2,VN_NORTH,CLS,BASE,454136.84,456833.3,2696.46,2696.46,0.00594,0.0059,20250201,2025-02
FA_202502_3M_VN_NORTH_CLS,2025-02-01,3,VN_NORTH,CLS,BASE,454136.84,570584.57,116447.73,116447.73,0.25642,0.2564,20250201,2025-02
FA_202502_1M_VN_NORTH_CUS,2025-02-01,1,VN_NORTH,CUS,BASE,168953.68,174936.28,5982.6,5982.6,0.03541,0.0354,20250201,2025-02
FA_202502_2M_VN_NORTH_CUS,2025-02-01,2,VN_NORTH,CUS,BASE,168953.68,165182.93,-3770.75,3770.75,0.02232,-0.0223,20250201,2025-02
FA_202502_3M_VN_NORTH_CUS,2025-02-01,3,VN_NORTH,CUS,BASE,168953.68,160477.99,-8475.69,8475.69,0.05017,-0.0502,20250201,2025-02
FA_202502_1M_VN_NORTH_FCL,2025-02-01,1,VN_NORTH,FCL,BASE,695875.85,718488.05,22612.2,22612.2,0.03249,0.0325,20250201,2025-02
FA_202502_2M_VN_NORTH_FCL,2025-02-01,2,VN_NORTH,FCL,BASE,695875.85,700208.34,4332.49,4332.49,0.00623,0.0062,20250201,2025-02
FA_202502_3M_VN_NORTH_FCL,2025-02-01,3,VN_NORTH,FCL,BASE,695875.85,714612.74,18736.89,18736.89,0.02693,0.0269,20250201,2025-02
FA_202502_1M_VN_NORTH_LCL,2025-02-01,1,VN_NORTH,LCL,BASE,325906.01,304240.94,-21665.07,21665.07,0.06648,-0.0665,20250201,2025-02
FA_202502_2M_VN_NORTH_LCL,2025-02-01,2,VN_NORTH,LCL,BASE,325906.01,308750.16,-17155.85,17155.85,0.05264,-0.0526,20250201,2025-02
FA_202502_3M_VN_NORTH_LCL,2025-02-01,3,VN_NORTH,LCL,BASE,325906.01,346161.32,20255.31,20255.31,0.06215,0.0622,20250201,2025-02
FA_202502_1M_VN_NORTH_TRK,2025-02-01,1,VN_NORTH,TRK,BASE,305043.65,318047.89,13004.24,13004.24,0.04263,0.0426,20250201,2025-02
FA_202502_2M_VN_NORTH_TRK,2025-02-01,2,VN_NORTH,TRK,BASE,305043.65,305741.24,697.59,697.59,0.00229,0.0023,20250201,2025-02
FA_202502_3M_VN_NORTH_TRK,2025-02-01,3,VN_NORTH,TRK,BASE,305043.65,291022.28,-14021.37,14021.37,0.04597,-0.046,20250201,2025-02
FA_202502_1M_VN_SOUTH_AIR,2025-02-01,1,VN_SOUTH,AIR,BASE,725066.35,679325.0,-45741.35,45741.35,0.06309,-0.0631,20250201,2025-02
FA_202502_2M_VN_SOUTH_AIR,2025-02-01,2,VN_SOUTH,AIR,BASE,725066.35,716175.84,-8890.51,8890.51,0.01226,-0.0123,20250201,2025-02
FA_202502_3M_VN_SOUTH_AIR,2025-02-01,3,VN_SOUTH,AIR,BASE,725066.35,816373.71,91307.36,91307.36,0.12593,0.1259,20250201,2025-02
FA_202502_1M_VN_SOUTH_CLS,2025-02-01,1,VN_SOUTH,CLS,BASE,515130.8,519326.07,4195.27,4195.27,0.00814,0.0081,20250201,2025-02
