OpexDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,DepartmentKey,RentUSD,SoftwareUSD,MarketingUSD,TravelUSD,GAUSD,NonPayrollOpexUSD,DateKey,YearMonth
OPEX_202402_ACTUAL_CN_IT,2024-02-01,Actual,ACTUAL,CN,IT,4461.96,185.52,474.62,148.09,240.61,5510.81,20240201,2024-02
OPEX_202402_ACTUAL_CN_MGT,2024-02-01,Actual,ACTUAL,CN,MGT,4595.33,61.58,407.93,117.06,192.44,5374.34,20240201,2024-02
OPEX_202402_ACTUAL_TH_SALES,2024-02-01,Actual,ACTUAL,TH,SALES,3296.69,456.61,5117.53,1169.83,525.72,10566.38,20240201,2024-02
OPEX_202402_ACTUAL_TH_OPS,2024-02-01,Actual,ACTUAL,TH,OPS,3409.47,551.12,501.17,3463.51,1733.78,9659.06,20240201,2024-02
OPEX_202402_ACTUAL_TH_CS,2024-02-01,Actual,ACTUAL,TH,CS,3177.91,209.46,439.25,408.78,617.19,4852.58,20240201,2024-02
OPEX_202402_ACTUAL_TH_FIN,2024-02-01,Actual,ACTUAL,TH,FIN,3130.94,187.93,463.8,167.7,253.39,4203.76,20240201,2024-02
OPEX_202402_ACTUAL_TH_IT,2024-02-01,Actual,ACTUAL,TH,IT,3081.21,124.51,494.79,119.89,171.76,3992.16,20240201,2024-02
OPEX_202402_ACTUAL_TH_MGT,2024-02-01,Actual,ACTUAL,TH,MGT,3278.91,48.36,400.51,98.55,140.47,3966.79,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_SALES,2024-02-01,Actual,ACTUAL,VN_CENTRAL,SALES,3167.93,566.43,5267.13,1566.06,693.87,11261.43,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_OPS,2024-02-01,Actual,ACTUAL,VN_CENTRAL,OPS,3055.64,661.51,488.24,4553.99,1926.04,10685.42,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_CS,2024-02-01,Actual,ACTUAL,VN_CENTRAL,CS,3317.62,233.9,489.1,464.25,751.45,5256.34,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_FIN,2024-02-01,Actual,ACTUAL,VN_CENTRAL,FIN,3191.94,243.1,484.07,199.64,325.38,4444.12,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_IT,2024-02-01,Actual,ACTUAL,VN_CENTRAL,IT,3245.59,172.15,438.75,142.67,215.99,4215.16,20240201,2024-02
OPEX_202402_ACTUAL_VN_CENTRAL_MGT,2024-02-01,Actual,ACTUAL,VN_CENTRAL,MGT,3289.01,54.77,508.78,104.89,155.53,4112.97,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_SALES,2024-02-01,Actual,ACTUAL,VN_NORTH,SALES,3362.67,764.16,5307.28,1884.98,952.77,12271.88,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_OPS,2024-02-01,Actual,ACTUAL,VN_NORTH,OPS,3156.39,999.26,477.01,5830.87,2901.63,13365.15,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_CS,2024-02-01,Actual,ACTUAL,VN_NORTH,CS,3292.71,316.84,434.68,578.18,993.42,5615.83,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_FIN,2024-02-01,Actual,ACTUAL,VN_NORTH,FIN,3238.7,353.51,516.42,305.62,475.98,4890.22,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_IT,2024-02-01,Actual,ACTUAL,VN_NORTH,IT,3219.27,229.04,500.69,208.53,324.84,4482.38,20240201,2024-02
OPEX_202402_ACTUAL_VN_NORTH_MGT,2024-02-01,Actual,ACTUAL,VN_NORTH,MGT,3253.3,76.99,478.84,163.48,256.23,4228.85,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_SALES,2024-02-01,Actual,ACTUAL,VN_SOUTH,SALES,4602.47,946.84,4999.72,2197.68,1184.29,13931.0,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_OPS,2024-02-01,Actual,ACTUAL,VN_SOUTH,OPS,4465.32,1199.03,463.73,6687.88,3325.19,16141.15,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_CS,2024-02-01,Actual,ACTUAL,VN_SOUTH,CS,4629.89,367.95,448.68,752.61,1145.0,7344.13,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_FIN,2024-02-01,Actual,ACTUAL,VN_SOUTH,FIN,4511.14,395.43,459.99,325.45,534.09,6226.09,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_IT,2024-02-01,Actual,ACTUAL,VN_SOUTH,IT,4526.52,258.11,511.51,195.18,342.47,5833.79,20240201,2024-02
OPEX_202402_ACTUAL_VN_SOUTH_MGT,2024-02-01,Actual,ACTUAL,VN_SOUTH,MGT,4633.11,101.2,478.45,187.82,295.06,5695.63,20240201,2024-02
OPEX_202403_ACTUAL_CN_SALES,2024-03-01,Actual,ACTUAL,CN,SALES,4541.26,565.71,5187.2,1721.74,823.35,12839.26,20240301,2024-03
OPEX_202403_ACTUAL_CN_OPS,2024-03-01,Actual,ACTUAL,CN,OPS,4585.54,847.77,435.68,5210.22,2467.36,13546.57,20240301,2024-03
OPEX_202403_ACTUAL_CN_CS,2024-03-01,Actual,ACTUAL,CN,CS,4620.05,257.83,426.94,509.79,798.03,6612.64,20240301,2024-03
OPEX_202403_ACTUAL_CN_FIN,2024-03-01,Actual,ACTUAL,CN,FIN,4440.7,264.62,455.15,265.84,348.22,5774.53,20240301,2024-03
OPEX_202403_ACTUAL_CN_IT,2024-03-01,Actual,ACTUAL,CN,IT,4496.36,186.59,548.81,150.1,232.93,5614.79,20240301,2024-03
OPEX_202403_ACTUAL_CN_MGT,2024-03-01,Actual,ACTUAL,CN,MGT,4443.34,62.91,420.99,125.79,178.84,5231.87,20240301,2024-03
OPEX_202403_ACTUAL_TH_SALES,2024-03-01,Actual,ACTUAL,TH,SALES,3197.15,459.43,4946.34,1114.3,571.16,10288.37,20240301,2024-03
OPEX_202403_ACTUAL_TH_OPS,2024-03-01,Actual,ACTUAL,TH,OPS,3232.06,639.96,404.67,4469.61,1970.97,10717.27,20240301,2024-03
OPEX_202403_ACTUAL_TH_CS,2024-03-01,Actual,ACTUAL,TH,CS,3185.22,208.14,437.07,419.58,662.34,4912.35,20240301,2024-03
OPEX_202403_ACTUAL_TH_FIN,2024-03-01,Actual,ACTUAL,TH,FIN,3378.09,183.65,491.34,193.81,256.55,4503.44,20240301,2024-03
OPEX_202403_ACTUAL_TH_IT,2024-03-01,Actual,ACTUAL,TH,IT,3149.72,127.17,441.7,106.04,183.46,4008.08,20240301,2024-03
OPEX_202403_ACTUAL_TH_MGT,2024-03-01,Actual,ACTUAL,TH,MGT,3317.14,46.6,475.5,81.93,143.79,4064.96,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_SALES,2024-03-01,Actual,ACTUAL,VN_CENTRAL,SALES,3231.19,504.74,6097.39,1461.61,718.73,12013.66,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_OPS,2024-03-01,Actual,ACTUAL,VN_CENTRAL,OPS,3279.06,686.56,475.74,4127.7,2166.96,10736.02,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_CS,2024-03-01,Actual,ACTUAL,VN_CENTRAL,CS,3339.72,226.35,408.58,431.69,695.7,5102.04,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_FIN,2024-03-01,Actual,ACTUAL,VN_CENTRAL,FIN,3161.09,258.0,463.85,220.04,353.33,4456.31,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_IT,2024-03-01,Actual,ACTUAL,VN_CENTRAL,IT,3367.6,158.28,441.46,139.45,220.14,4326.93,20240301,2024-03
OPEX_202403_ACTUAL_VN_CENTRAL_MGT,2024-03-01,Actual,ACTUAL,VN_CENTRAL,MGT,3239.88,57.16,498.34,105.11,161.32,4061.82,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_SALES,2024-03-01,Actual,ACTUAL,VN_NORTH,SALES,3138.7,783.44,5958.72,2076.22,942.65,12899.72,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_OPS,2024-03-01,Actual,ACTUAL,VN_NORTH,OPS,3094.92,1104.68,490.08,6539.75,3058.6,14288.02,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_CS,2024-03-01,Actual,ACTUAL,VN_NORTH,CS,3317.08,374.0,377.0,688.64,1027.2,5783.92,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_FIN,2024-03-01,Actual,ACTUAL,VN_NORTH,FIN,3240.28,338.62,353.81,313.29,486.48,4732.48,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_IT,2024-03-01,Actual,ACTUAL,VN_NORTH,IT,3225.79,224.76,411.86,191.03,293.14,4346.59,20240301,2024-03
OPEX_202403_ACTUAL_VN_NORTH_MGT,2024-03-01,Actual,ACTUAL,VN_NORTH,MGT,3285.9,85.66,425.07,150.57,254.46,4201.66,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_SALES,2024-03-01,Actual,ACTUAL,VN_SOUTH,SALES,4523.02,821.15,5212.19,2410.65,1115.57,14082.57,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_OPS,2024-03-01,Actual,ACTUAL,VN_SOUTH,OPS,4552.59,1212.03,491.5,7304.12,3599.0,17159.23,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_CS,2024-03-01,Actual,ACTUAL,VN_SOUTH,CS,4672.7,437.68,401.18,816.78,1178.34,7506.69,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_FIN,2024-03-01,Actual,ACTUAL,VN_SOUTH,FIN,4510.8,396.84,483.5,300.8,483.47,6175.4,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_IT,2024-03-01,Actual,ACTUAL,VN_SOUTH,IT,4561.31,260.51,444.57,228.94,341.97,5837.31,20240301,2024-03
OPEX_202403_ACTUAL_VN_SOUTH_MGT,2024-03-01,Actual,ACTUAL,VN_SOUTH,MGT,4595.54,86.83,424.47,168.28,282.75,5557.87,20240301,2024-03
OPEX_202404_ACTUAL_CN_SALES,2024-04-01,Actual,ACTUAL,CN,SALES,4385.11,636.42,5472.56,1720.73,820.38,13035.2,20240401,2024-04
OPEX_202404_ACTUAL_CN_OPS,2024-04-01,Actual,ACTUAL,CN,OPS,4731.1,819.43,448.31,4870.01,2112.78,12981.62,20240401,2024-04
OPEX_202404_ACTUAL_CN_CS,2024-04-01,Actual,ACTUAL,CN,CS,4701.34,255.99,419.91,543.66,747.85,6668.75,20240401,2024-04
OPEX_202404_ACTUAL_CN_FIN,2024-04-01,Actual,ACTUAL,CN,FIN,4773.93,271.82,466.28,221.45,359.81,6093.3,20240401,2024-04
OPEX_202404_ACTUAL_CN_IT,2024-04-01,Actual,ACTUAL,CN,IT,4617.7,175.26,444.23,164.48,251.17,5652.83,20240401,2024-04
OPEX_202404_ACTUAL_CN_MGT,2024-04-01,Actual,ACTUAL,CN,MGT,4755.01,65.77,410.13,126.1,204.15,5561.16,20240401,2024-04
OPEX_202404_ACTUAL_TH_SALES,2024-04-01,Actual,ACTUAL,TH,SALES,3156.27,444.86,5070.48,1191.22,579.77,10442.6,20240401,2024-04
OPEX_202404_ACTUAL_TH_OPS,2024-04-01,Actual,ACTUAL,TH,OPS,3333.6,660.01,428.78,3526.25,2059.5,10008.14,20240401,2024-04
OPEX_202404_ACTUAL_TH_CS,2024-04-01,Actual,ACTUAL,TH,CS,3294.24,227.88,466.01,424.46,641.5,5054.09,20240401,2024-04
OPEX_202404_ACTUAL_TH_FIN,2024-04-01,Actual,ACTUAL,TH,FIN,3240.76,205.92,505.04,185.19,275.93,4412.84,20240401,2024-04
OPEX_202404_ACTUAL_TH_IT,2024-04-01,Actual,ACTUAL,TH,IT,3194.69,139.49,474.71,122.4,187.99,4119.28,20240401,2024-04
OPEX_202404_ACTUAL_TH_MGT,2024-04-01,Actual,ACTUAL,TH,MGT,3124.03,51.45,464.63,93.36,173.58,3907.05,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_SALES,2024-04-01,Actual,ACTUAL,VN_CENTRAL,SALES,3294.9,518.01,5181.45,1332.22,723.13,11049.72,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_OPS,2024-04-01,Actual,ACTUAL,VN_CENTRAL,OPS,3312.68,677.8,411.68,4756.92,2200.8,11359.88,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_CS,2024-04-01,Actual,ACTUAL,VN_CENTRAL,CS,3271.03,247.4,482.09,452.74,788.56,5241.83,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_FIN,2024-04-01,Actual,ACTUAL,VN_CENTRAL,FIN,3340.58,251.83,455.27,213.89,349.53,4611.09,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_IT,2024-04-01,Actual,ACTUAL,VN_CENTRAL,IT,3097.51,158.13,467.23,126.27,222.08,4071.22,20240401,2024-04
OPEX_202404_ACTUAL_VN_CENTRAL_MGT,2024-04-01,Actual,ACTUAL,VN_CENTRAL,MGT,3297.74,59.93,454.47,123.57,186.72,4122.42,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_SALES,2024-04-01,Actual,ACTUAL,VN_NORTH,SALES,3364.81,794.9,5462.36,2445.97,1086.45,13154.48,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_OPS,2024-04-01,Actual,ACTUAL,VN_NORTH,OPS,3320.52,1098.82,434.02,6832.87,3071.17,14757.42,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_CS,2024-04-01,Actual,ACTUAL,VN_NORTH,CS,3350.03,362.09,431.96,715.54,1133.69,5993.31,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_FIN,2024-04-01,Actual,ACTUAL,VN_NORTH,FIN,3094.78,326.53,405.64,249.46,449.29,4525.68,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_IT,2024-04-01,Actual,ACTUAL,VN_NORTH,IT,3258.48,251.48,519.98,179.62,329.63,4539.2,20240401,2024-04
OPEX_202404_ACTUAL_VN_NORTH_MGT,2024-04-01,Actual,ACTUAL,VN_NORTH,MGT,3249.78,86.54,461.5,177.43,281.77,4257.02,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_SALES,2024-04-01,Actual,ACTUAL,VN_SOUTH,SALES,4543.41,771.15,5224.43,2427.89,1110.6,14077.49,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_OPS,2024-04-01,Actual,ACTUAL,VN_SOUTH,OPS,4440.66,1044.82,448.35,7392.83,3396.06,16722.71,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_CS,2024-04-01,Actual,ACTUAL,VN_SOUTH,CS,4475.98,388.1,448.02,827.7,1114.38,7254.18,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_FIN,2024-04-01,Actual,ACTUAL,VN_SOUTH,FIN,4585.23,434.44,462.64,305.88,540.54,6328.73,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_IT,2024-04-01,Actual,ACTUAL,VN_SOUTH,IT,4565.1,270.65,479.99,192.24,354.8,5862.77,20240401,2024-04
OPEX_202404_ACTUAL_VN_SOUTH_MGT,2024-04-01,Actual,ACTUAL,VN_SOUTH,MGT,4587.84,93.72,457.54,168.18,285.27,5592.55,20240401,2024-04
OPEX_202405_ACTUAL_CN_SALES,2024-05-01,Actual,ACTUAL,CN,SALES,4699.88,600.52,4245.6,1731.78,817.24,12095.02,20240501,2024-05
OPEX_202405_ACTUAL_CN_OPS,2024-05-01,Actual,ACTUAL,CN,OPS,4690.39,783.84,369.71,5403.31,2472.19,13719.44,20240501,2024-05
OPEX_202405_ACTUAL_CN_CS,2024-05-01,Actual,ACTUAL,CN,CS,4704.29,266.89,413.46,534.06,814.36,6733.07,20240501,2024-05
OPEX_202405_ACTUAL_CN_FIN,2024-05-01,Actual,ACTUAL,CN,FIN,4810.23,283.41,413.39,235.33,360.96,6103.32,20240501,2024-05
OPEX_202405_ACTUAL_CN_IT,2024-05-01,Actual,ACTUAL,CN,IT,4546.51,201.81,509.83,146.11,248.95,5653.21,20240501,2024-05
OPEX_202405_ACTUAL_CN_MGT,2024-05-01,Actual,ACTUAL,CN,MGT,4607.02,66.27,451.72,123.11,195.79,5443.91,20240501,2024-05
OPEX_202405_ACTUAL_TH_SALES,2024-05-01,Actual,ACTUAL,TH,SALES,3207.39,433.49,5822.08,1169.4,565.51,11197.87,20240501,2024-05
OPEX_202405_ACTUAL_TH_OPS,2024-05-01,Actual,ACTUAL,TH,OPS,3124.44,637.2,473.72,4173.4,2111.51,10520.27,20240501,2024-05
OPEX_202405_ACTUAL_TH_CS,2024-05-01,Actual,ACTUAL,TH,CS,3177.06,229.25,468.12,485.4,714.89,5074.72,20240501,2024-05
OPEX_202405_ACTUAL_TH_FIN,2024-05-01,Actual,ACTUAL,TH,FIN,3275.65,203.06,487.48,187.1,288.35,4441.65,20240501,2024-05
OPEX_202405_ACTUAL_TH_IT,2024-05-01,Actual,ACTUAL,TH,IT,3139.46,140.35,477.43,121.41,188.75,4067.39,20240501,2024-05
OPEX_202405_ACTUAL_TH_MGT,2024-05-01,Actual,ACTUAL,TH,MGT,3313.17,47.97,461.49,87.57,150.93,4061.13,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_SALES,2024-05-01,Actual,ACTUAL,VN_CENTRAL,SALES,3412.11,575.63,5201.19,1482.75,798.54,11470.21,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_OPS,2024-05-01,Actual,ACTUAL,VN_CENTRAL,OPS,3056.5,673.4,501.99,4239.06,2143.69,10614.65,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_CS,2024-05-01,Actual,ACTUAL,VN_CENTRAL,CS,3178.39,242.37,455.39,456.02,743.84,5076.0,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_FIN,2024-05-01,Actual,ACTUAL,VN_CENTRAL,FIN,3356.96,236.15,409.74,185.05,281.46,4469.36,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_IT,2024-05-01,Actual,ACTUAL,VN_CENTRAL,IT,3306.48,171.59,448.89,150.59,229.42,4306.98,20240501,2024-05
OPEX_202405_ACTUAL_VN_CENTRAL_MGT,2024-05-01,Actual,ACTUAL,VN_CENTRAL,MGT,3189.45,62.21,496.61,114.28,192.42,4054.96,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_SALES,2024-05-01,Actual,ACTUAL,VN_NORTH,SALES,3303.63,743.21,5568.19,2343.51,1084.53,13043.07,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_OPS,2024-05-01,Actual,ACTUAL,VN_NORTH,OPS,3289.61,1076.33,423.3,7131.54,3154.67,15075.46,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_CS,2024-05-01,Actual,ACTUAL,VN_NORTH,CS,3113.54,358.63,490.95,663.55,1108.79,5735.47,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_FIN,2024-05-01,Actual,ACTUAL,VN_NORTH,FIN,3447.28,334.49,488.96,285.52,427.87,4984.12,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_IT,2024-05-01,Actual,ACTUAL,VN_NORTH,IT,3242.3,246.43,422.68,192.42,311.35,4415.17,20240501,2024-05
OPEX_202405_ACTUAL_VN_NORTH_MGT,2024-05-01,Actual,ACTUAL,VN_NORTH,MGT,3339.44,90.99,477.26,172.65,261.24,4341.58,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_SALES,2024-05-01,Actual,ACTUAL,VN_SOUTH,SALES,4626.24,863.6,4961.59,2476.06,1156.38,14083.88,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_OPS,2024-05-01,Actual,ACTUAL,VN_SOUTH,OPS,4404.56,1179.77,458.37,7663.02,3527.88,17233.61,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_CS,2024-05-01,Actual,ACTUAL,VN_SOUTH,CS,4658.25,398.28,472.16,742.86,1231.97,7503.51,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_FIN,2024-05-01,Actual,ACTUAL,VN_SOUTH,FIN,4681.86,368.62,517.03,312.07,469.35,6348.94,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_IT,2024-05-01,Actual,ACTUAL,VN_SOUTH,IT,4528.39,276.06,417.23,221.88,356.2,5799.77,20240501,2024-05
OPEX_202405_ACTUAL_VN_SOUTH_MGT,2024-05-01,Actual,ACTUAL,VN_SOUTH,MGT,4329.94,91.54,449.12,175.22,281.44,5327.26,20240501,2024-05
OPEX_202406_ACTUAL_CN_SALES,2024-06-01,Actual,ACTUAL,CN,SALES,4594.4,647.72,4848.79,1721.92,761.05,12573.88,20240601,2024-06
OPEX_202406_ACTUAL_CN_OPS,2024-06-01,Actual,ACTUAL,CN,OPS,4252.79,788.09,451.92,4791.7,2256.98,12541.48,20240601,2024-06
OPEX_202406_ACTUAL_CN_CS,2024-06-01,Actual,ACTUAL,CN,CS,4702.76,289.5,379.72,589.24,876.73,6837.96,20240601,2024-06
OPEX_202406_ACTUAL_CN_FIN,2024-06-01,Actual,ACTUAL,CN,FIN,4608.4,269.18,462.75,242.31,369.23,5951.86,20240601,2024-06
