HeadcountPlanKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,DepartmentKey,FTE,NewHires,Attrition,AvgSalaryUSD,PayrollCostUSD,JobsPerFTE,DateKey,YearMonth
HC_202402_ACTUAL_CN_CS,2024-02-01,Actual,ACTUAL,CN,CS,14.5,0.3,0.1,1278.22,18534.24,182.34,20240201,2024-02
HC_202402_ACTUAL_CN_FIN,2024-02-01,Actual,ACTUAL,CN,FIN,6.2,0.1,0.1,1679.02,10409.94,426.45,20240201,2024-02
HC_202402_ACTUAL_CN_IT,2024-02-01,Actual,ACTUAL,CN,IT,4.3,0.1,0.0,1841.51,7918.48,614.88,20240201,2024-02
HC_202402_ACTUAL_CN_MGT,2024-02-01,Actual,ACTUAL,CN,MGT,3.4,0.1,0.0,3358.04,11417.35,777.65,20240201,2024-02
HC_202402_ACTUAL_TH_SALES,2024-02-01,Actual,ACTUAL,TH,SALES,10.6,0.2,0.1,2003.99,21242.34,186.51,20240201,2024-02
HC_202402_ACTUAL_TH_OPS,2024-02-01,Actual,ACTUAL,TH,OPS,31.2,0.6,0.3,1429.88,44612.16,63.37,20240201,2024-02
HC_202402_ACTUAL_TH_CS,2024-02-01,Actual,ACTUAL,TH,CS,11.0,0.2,0.1,1278.22,14060.46,179.73,20240201,2024-02
HC_202402_ACTUAL_TH_FIN,2024-02-01,Actual,ACTUAL,TH,FIN,4.8,0.1,0.0,1679.02,8059.31,411.88,20240201,2024-02
HC_202402_ACTUAL_TH_IT,2024-02-01,Actual,ACTUAL,TH,IT,3.1,0.1,0.0,1841.51,5708.67,637.74,20240201,2024-02
HC_202402_ACTUAL_TH_MGT,2024-02-01,Actual,ACTUAL,TH,MGT,2.6,0.0,0.0,3358.04,8730.91,760.38,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_SALES,2024-02-01,Actual,ACTUAL,VN_CENTRAL,SALES,12.9,0.2,0.2,1855.55,23936.59,183.8,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_OPS,2024-02-01,Actual,ACTUAL,VN_CENTRAL,OPS,38.6,0.7,0.4,1323.96,51104.86,61.42,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_CS,2024-02-01,Actual,ACTUAL,VN_CENTRAL,CS,13.4,0.2,0.1,1183.54,15859.44,176.94,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_FIN,2024-02-01,Actual,ACTUAL,VN_CENTRAL,FIN,5.6,0.1,0.1,1554.65,8706.04,423.39,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_IT,2024-02-01,Actual,ACTUAL,VN_CENTRAL,IT,3.9,0.1,0.0,1705.1,6649.89,607.95,20240201,2024-02
HC_202402_ACTUAL_VN_CENTRAL_MGT,2024-02-01,Actual,ACTUAL,VN_CENTRAL,MGT,3.0,0.1,0.0,3109.3,9327.9,790.33,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_SALES,2024-02-01,Actual,ACTUAL,VN_NORTH,SALES,17.4,0.3,0.2,1855.55,32286.57,195.23,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_OPS,2024-02-01,Actual,ACTUAL,VN_NORTH,OPS,53.8,1.0,0.5,1323.96,71229.05,63.14,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_CS,2024-02-01,Actual,ACTUAL,VN_NORTH,CS,18.1,0.3,0.2,1183.54,21422.07,187.68,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_FIN,2024-02-01,Actual,ACTUAL,VN_NORTH,FIN,8.8,0.2,0.1,1554.65,13680.92,386.02,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_IT,2024-02-01,Actual,ACTUAL,VN_NORTH,IT,5.7,0.1,0.1,1705.1,9719.07,595.96,20240201,2024-02
HC_202402_ACTUAL_VN_NORTH_MGT,2024-02-01,Actual,ACTUAL,VN_NORTH,MGT,4.5,0.1,0.0,3109.3,13991.85,754.89,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_SALES,2024-02-01,Actual,ACTUAL,VN_SOUTH,SALES,20.8,0.4,0.3,1855.55,38595.44,181.44,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_OPS,2024-02-01,Actual,ACTUAL,VN_SOUTH,OPS,64.1,1.2,0.6,1323.96,84865.84,58.88,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_CS,2024-02-01,Actual,ACTUAL,VN_SOUTH,CS,21.0,0.4,0.2,1183.54,24854.34,179.71,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_FIN,2024-02-01,Actual,ACTUAL,VN_SOUTH,FIN,9.4,0.2,0.1,1554.65,14613.71,401.49,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_IT,2024-02-01,Actual,ACTUAL,VN_SOUTH,IT,6.1,0.1,0.1,1705.1,10401.11,618.69,20240201,2024-02
HC_202402_ACTUAL_VN_SOUTH_MGT,2024-02-01,Actual,ACTUAL,VN_SOUTH,MGT,5.5,0.1,0.1,3109.3,17101.15,686.18,20240201,2024-02
HC_202403_ACTUAL_CN_SALES,2024-03-01,Actual,ACTUAL,CN,SALES,14.1,0.3,0.2,2009.99,28340.83,193.4,20240301,2024-03
HC_202403_ACTUAL_CN_OPS,2024-03-01,Actual,ACTUAL,CN,OPS,43.5,0.8,0.4,1434.15,62385.68,62.69,20240301,2024-03
HC_202403_ACTUAL_CN_CS,2024-03-01,Actual,ACTUAL,CN,CS,14.7,0.3,0.1,1282.05,18846.08,185.51,20240301,2024-03
HC_202403_ACTUAL_CN_FIN,2024-03-01,Actual,ACTUAL,CN,FIN,6.6,0.1,0.1,1684.04,11114.69,413.18,20240301,2024-03
HC_202403_ACTUAL_CN_IT,2024-03-01,Actual,ACTUAL,CN,IT,4.4,0.1,0.0,1847.02,8126.87,619.77,20240301,2024-03
HC_202403_ACTUAL_CN_MGT,2024-03-01,Actual,ACTUAL,CN,MGT,3.4,0.1,0.0,3368.09,11451.5,802.06,20240301,2024-03
HC_202403_ACTUAL_TH_SALES,2024-03-01,Actual,ACTUAL,TH,SALES,10.4,0.2,0.1,2009.99,20903.88,197.6,20240301,2024-03
HC_202403_ACTUAL_TH_OPS,2024-03-01,Actual,ACTUAL,TH,OPS,36.3,0.7,0.4,1434.15,52059.78,56.61,20240301,2024-03
HC_202403_ACTUAL_TH_CS,2024-03-01,Actual,ACTUAL,TH,CS,11.4,0.2,0.1,1282.05,14615.33,180.26,20240301,2024-03
HC_202403_ACTUAL_TH_FIN,2024-03-01,Actual,ACTUAL,TH,FIN,4.9,0.1,0.0,1684.04,8251.82,419.39,20240301,2024-03
HC_202403_ACTUAL_TH_IT,2024-03-01,Actual,ACTUAL,TH,IT,3.1,0.1,0.0,1847.02,5725.75,662.9,20240301,2024-03
HC_202403_ACTUAL_TH_MGT,2024-03-01,Actual,ACTUAL,TH,MGT,2.6,0.0,0.0,3368.09,8757.03,790.38,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_SALES,2024-03-01,Actual,ACTUAL,VN_CENTRAL,SALES,12.3,0.2,0.2,1861.1,22891.53,201.3,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_OPS,2024-03-01,Actual,ACTUAL,VN_CENTRAL,OPS,37.5,0.7,0.4,1327.92,49797.0,66.03,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_CS,2024-03-01,Actual,ACTUAL,VN_CENTRAL,CS,12.9,0.2,0.1,1187.08,15313.33,191.94,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_FIN,2024-03-01,Actual,ACTUAL,VN_CENTRAL,FIN,6.1,0.1,0.1,1559.3,9511.73,405.9,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_IT,2024-03-01,Actual,ACTUAL,VN_CENTRAL,IT,3.8,0.1,0.0,1710.2,6498.76,651.58,20240301,2024-03
HC_202403_ACTUAL_VN_CENTRAL_MGT,2024-03-01,Actual,ACTUAL,VN_CENTRAL,MGT,3.1,0.1,0.0,3118.6,9667.66,798.71,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_SALES,2024-03-01,Actual,ACTUAL,VN_NORTH,SALES,17.0,0.3,0.2,1861.1,31638.7,206.88,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_OPS,2024-03-01,Actual,ACTUAL,VN_NORTH,OPS,57.3,1.0,0.6,1327.92,76089.82,61.38,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_CS,2024-03-01,Actual,ACTUAL,VN_NORTH,CS,19.6,0.4,0.2,1187.08,23266.77,179.44,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_FIN,2024-03-01,Actual,ACTUAL,VN_NORTH,FIN,8.4,0.2,0.1,1559.3,13098.12,418.69,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_IT,2024-03-01,Actual,ACTUAL,VN_NORTH,IT,5.6,0.1,0.1,1710.2,9577.12,628.04,20240301,2024-03
HC_202403_ACTUAL_VN_NORTH_MGT,2024-03-01,Actual,ACTUAL,VN_NORTH,MGT,4.6,0.1,0.0,3118.6,14345.56,764.57,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_SALES,2024-03-01,Actual,ACTUAL,VN_SOUTH,SALES,18.8,0.3,0.2,1861.1,34988.68,208.56,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_OPS,2024-03-01,Actual,ACTUAL,VN_SOUTH,OPS,65.3,1.2,0.7,1327.92,86713.18,60.05,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_CS,2024-03-01,Actual,ACTUAL,VN_SOUTH,CS,22.5,0.4,0.2,1187.08,26709.3,174.27,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_FIN,2024-03-01,Actual,ACTUAL,VN_SOUTH,FIN,9.1,0.2,0.1,1559.3,14189.63,430.88,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_IT,2024-03-01,Actual,ACTUAL,VN_SOUTH,IT,6.2,0.1,0.1,1710.2,10603.24,632.42,20240301,2024-03
HC_202403_ACTUAL_VN_SOUTH_MGT,2024-03-01,Actual,ACTUAL,VN_SOUTH,MGT,5.0,0.1,0.1,3118.6,15593.0,784.2,20240301,2024-03
HC_202404_ACTUAL_CN_SALES,2024-04-01,Actual,ACTUAL,CN,SALES,14.2,0.3,0.2,2015.98,28626.94,194.01,20240401,2024-04
HC_202404_ACTUAL_CN_OPS,2024-04-01,Actual,ACTUAL,CN,OPS,43.2,0.8,0.4,1438.43,62140.19,63.77,20240401,2024-04
HC_202404_ACTUAL_CN_CS,2024-04-01,Actual,ACTUAL,CN,CS,14.6,0.3,0.1,1285.87,18773.7,188.7,20240401,2024-04
HC_202404_ACTUAL_CN_FIN,2024-04-01,Actual,ACTUAL,CN,FIN,6.6,0.1,0.1,1689.07,11147.84,417.42,20240401,2024-04
HC_202404_ACTUAL_CN_IT,2024-04-01,Actual,ACTUAL,CN,IT,4.4,0.1,0.0,1852.52,8151.11,626.14,20240401,2024-04
HC_202404_ACTUAL_CN_MGT,2024-04-01,Actual,ACTUAL,CN,MGT,3.7,0.1,0.0,3378.13,12499.09,744.59,20240401,2024-04
HC_202404_ACTUAL_TH_SALES,2024-04-01,Actual,ACTUAL,TH,SALES,10.6,0.2,0.1,2015.98,21369.41,198.3,20240401,2024-04
HC_202404_ACTUAL_TH_OPS,2024-04-01,Actual,ACTUAL,TH,OPS,35.8,0.6,0.4,1438.43,51495.81,58.72,20240401,2024-04
HC_202404_ACTUAL_TH_CS,2024-04-01,Actual,ACTUAL,TH,CS,12.2,0.2,0.1,1285.87,15687.61,172.3,20240401,2024-04
HC_202404_ACTUAL_TH_FIN,2024-04-01,Actual,ACTUAL,TH,FIN,4.9,0.1,0.0,1689.07,8276.42,428.98,20240401,2024-04
HC_202404_ACTUAL_TH_IT,2024-04-01,Actual,ACTUAL,TH,IT,3.3,0.1,0.0,1852.52,6113.33,636.97,20240401,2024-04
HC_202404_ACTUAL_TH_MGT,2024-04-01,Actual,ACTUAL,TH,MGT,2.9,0.1,0.0,3378.13,9796.58,724.83,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_SALES,2024-04-01,Actual,ACTUAL,VN_CENTRAL,SALES,12.8,0.2,0.2,1866.65,23893.12,198.75,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_OPS,2024-04-01,Actual,ACTUAL,VN_CENTRAL,OPS,38.9,0.7,0.4,1331.88,51810.13,65.4,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_CS,2024-04-01,Actual,ACTUAL,VN_CENTRAL,CS,13.3,0.2,0.1,1190.62,15835.25,191.28,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_FIN,2024-04-01,Actual,ACTUAL,VN_CENTRAL,FIN,6.1,0.1,0.1,1563.95,9540.09,417.05,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_IT,2024-04-01,Actual,ACTUAL,VN_CENTRAL,IT,3.8,0.1,0.0,1715.3,6518.14,669.47,20240401,2024-04
HC_202404_ACTUAL_VN_CENTRAL_MGT,2024-04-01,Actual,ACTUAL,VN_CENTRAL,MGT,3.4,0.1,0.0,3127.9,10634.86,748.24,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_SALES,2024-04-01,Actual,ACTUAL,VN_NORTH,SALES,18.4,0.3,0.2,1866.65,34346.36,193.7,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_OPS,2024-04-01,Actual,ACTUAL,VN_NORTH,OPS,57.6,1.0,0.6,1331.88,76716.29,61.88,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_CS,2024-04-01,Actual,ACTUAL,VN_NORTH,CS,20.4,0.4,0.2,1190.62,24288.65,174.71,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_FIN,2024-04-01,Actual,ACTUAL,VN_NORTH,FIN,8.1,0.1,0.1,1563.95,12667.99,440.0,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_IT,2024-04-01,Actual,ACTUAL,VN_NORTH,IT,5.9,0.1,0.1,1715.3,10120.27,604.07,20240401,2024-04
HC_202404_ACTUAL_VN_NORTH_MGT,2024-04-01,Actual,ACTUAL,VN_NORTH,MGT,4.9,0.1,0.0,3127.9,15326.71,727.35,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_SALES,2024-04-01,Actual,ACTUAL,VN_SOUTH,SALES,20.2,0.4,0.3,1866.65,37706.33,196.14,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_OPS,2024-04-01,Actual,ACTUAL,VN_SOUTH,OPS,62.2,1.1,0.6,1331.88,82842.94,63.7,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_CS,2024-04-01,Actual,ACTUAL,VN_SOUTH,CS,21.2,0.4,0.2,1190.62,25241.14,186.89,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_FIN,2024-04-01,Actual,ACTUAL,VN_SOUTH,FIN,9.4,0.2,0.1,1563.95,14701.13,421.49,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_IT,2024-04-01,Actual,ACTUAL,VN_SOUTH,IT,6.3,0.1,0.1,1715.3,10806.39,628.89,20240401,2024-04
HC_202404_ACTUAL_VN_SOUTH_MGT,2024-04-01,Actual,ACTUAL,VN_SOUTH,MGT,5.1,0.1,0.1,3127.9,15952.29,776.86,20240401,2024-04
HC_202405_ACTUAL_CN_SALES,2024-05-01,Actual,ACTUAL,CN,SALES,14.3,0.3,0.2,2021.98,28914.26,193.85,20240501,2024-05
HC_202405_ACTUAL_CN_OPS,2024-05-01,Actual,ACTUAL,CN,OPS,43.1,0.8,0.4,1442.71,62180.68,64.32,20240501,2024-05
HC_202405_ACTUAL_CN_CS,2024-05-01,Actual,ACTUAL,CN,CS,15.3,0.3,0.2,1289.69,19732.3,181.18,20240501,2024-05
HC_202405_ACTUAL_CN_FIN,2024-05-01,Actual,ACTUAL,CN,FIN,6.5,0.1,0.1,1694.09,11011.57,426.46,20240501,2024-05
HC_202405_ACTUAL_CN_IT,2024-05-01,Actual,ACTUAL,CN,IT,4.6,0.1,0.0,1858.03,8546.95,602.61,20240501,2024-05
HC_202405_ACTUAL_CN_MGT,2024-05-01,Actual,ACTUAL,CN,MGT,3.6,0.1,0.0,3388.18,12197.43,770.0,20240501,2024-05
HC_202405_ACTUAL_TH_SALES,2024-05-01,Actual,ACTUAL,TH,SALES,10.5,0.2,0.1,2021.98,21230.75,198.86,20240501,2024-05
HC_202405_ACTUAL_TH_OPS,2024-05-01,Actual,ACTUAL,TH,OPS,34.1,0.6,0.3,1442.71,49196.32,61.23,20240501,2024-05
HC_202405_ACTUAL_TH_CS,2024-05-01,Actual,ACTUAL,TH,CS,11.9,0.2,0.1,1289.69,15347.34,175.46,20240501,2024-05
HC_202405_ACTUAL_TH_FIN,2024-05-01,Actual,ACTUAL,TH,FIN,4.9,0.1,0.0,1694.09,8301.03,426.12,20240501,2024-05
HC_202405_ACTUAL_TH_IT,2024-05-01,Actual,ACTUAL,TH,IT,3.3,0.1,0.0,1858.03,6131.51,632.73,20240501,2024-05
HC_202405_ACTUAL_TH_MGT,2024-05-01,Actual,ACTUAL,TH,MGT,2.7,0.0,0.0,3388.18,9148.08,773.33,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_SALES,2024-05-01,Actual,ACTUAL,VN_CENTRAL,SALES,13.3,0.2,0.2,1872.2,24900.26,192.03,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_OPS,2024-05-01,Actual,ACTUAL,VN_CENTRAL,OPS,38.5,0.7,0.4,1335.84,51429.84,66.34,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_CS,2024-05-01,Actual,ACTUAL,VN_CENTRAL,CS,13.8,0.2,0.1,1194.16,16479.41,185.07,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_FIN,2024-05-01,Actual,ACTUAL,VN_CENTRAL,FIN,5.4,0.1,0.1,1568.6,8470.44,472.96,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_IT,2024-05-01,Actual,ACTUAL,VN_CENTRAL,IT,4.1,0.1,0.0,1720.4,7053.64,622.93,20240501,2024-05
HC_202405_ACTUAL_VN_CENTRAL_MGT,2024-05-01,Actual,ACTUAL,VN_CENTRAL,MGT,3.5,0.1,0.0,3137.2,10980.2,729.71,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_SALES,2024-05-01,Actual,ACTUAL,VN_NORTH,SALES,18.4,0.3,0.2,1872.2,34448.48,192.34,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_OPS,2024-05-01,Actual,ACTUAL,VN_NORTH,OPS,59.2,1.1,0.6,1335.84,79081.73,59.78,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_CS,2024-05-01,Actual,ACTUAL,VN_NORTH,CS,19.8,0.4,0.2,1194.16,23644.37,178.74,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_FIN,2024-05-01,Actual,ACTUAL,VN_NORTH,FIN,8.1,0.1,0.1,1568.6,12705.66,436.91,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_IT,2024-05-01,Actual,ACTUAL,VN_NORTH,IT,5.5,0.1,0.1,1720.4,9462.2,643.45,20240501,2024-05
HC_202405_ACTUAL_VN_NORTH_MGT,2024-05-01,Actual,ACTUAL,VN_NORTH,MGT,4.8,0.1,0.0,3137.2,15058.56,737.29,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_SALES,2024-05-01,Actual,ACTUAL,VN_SOUTH,SALES,21.3,0.4,0.3,1872.2,39877.86,188.83,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_OPS,2024-05-01,Actual,ACTUAL,VN_SOUTH,OPS,63.3,1.1,0.6,1335.84,84558.67,63.54,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_CS,2024-05-01,Actual,ACTUAL,VN_SOUTH,CS,22.2,0.4,0.2,1194.16,26510.35,181.17,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_FIN,2024-05-01,Actual,ACTUAL,VN_SOUTH,FIN,8.7,0.2,0.1,1568.6,13646.82,462.3,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_IT,2024-05-01,Actual,ACTUAL,VN_SOUTH,IT,6.1,0.1,0.1,1720.4,10494.44,659.34,20240501,2024-05
HC_202405_ACTUAL_VN_SOUTH_MGT,2024-05-01,Actual,ACTUAL,VN_SOUTH,MGT,5.1,0.1,0.1,3137.2,15999.72,788.63,20240501,2024-05
HC_202406_ACTUAL_CN_SALES,2024-06-01,Actual,ACTUAL,CN,SALES,14.0,0.3,0.2,2027.97,28391.58,193.21,20240601,2024-06
HC_202406_ACTUAL_CN_OPS,2024-06-01,Actual,ACTUAL,CN,OPS,42.5,0.8,0.4,1446.98,61496.82,63.65,20240601,2024-06
HC_202406_ACTUAL_CN_CS,2024-06-01,Actual,ACTUAL,CN,CS,15.5,0.3,0.2,1293.52,20049.5,174.52,20240601,2024-06
HC_202406_ACTUAL_CN_FIN,2024-06-01,Actual,ACTUAL,CN,FIN,6.4,0.1,0.1,1699.11,10874.3,422.66,20240601,2024-06
HC_202406_ACTUAL_CN_IT,2024-06-01,Actual,ACTUAL,CN,IT,4.4,0.1,0.0,1863.54,8199.58,614.77,20240601,2024-06
HC_202406_ACTUAL_CN_MGT,2024-06-01,Actual,ACTUAL,CN,MGT,3.7,0.1,0.0,3398.22,12573.41,731.08,20240601,2024-06
HC_202406_ACTUAL_TH_SALES,2024-06-01,Actual,ACTUAL,TH,SALES,10.5,0.2,0.1,2027.97,21293.68,192.0,20240601,2024-06
HC_202406_ACTUAL_TH_OPS,2024-06-01,Actual,ACTUAL,TH,OPS,32.9,0.6,0.3,1446.98,47605.77,61.28,20240601,2024-06
HC_202406_ACTUAL_TH_CS,2024-06-01,Actual,ACTUAL,TH,CS,11.1,0.2,0.1,1293.52,14358.03,181.62,20240601,2024-06
HC_202406_ACTUAL_TH_FIN,2024-06-01,Actual,ACTUAL,TH,FIN,5.0,0.1,0.1,1699.11,8495.55,403.2,20240601,2024-06
