CostDriverKey,RevenueDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,ServiceKey,SegmentKey,CarrierCostUSD,HandlingCostUSD,FuelCostUSD,CustomsCostUSD,DirectCostUSD,VariableCostPerJobUSD,CostInflationPct,DateKey,YearMonth
COST_202401_ACTUAL_VN_CENTRAL_AIR_SKA,202401_ACTUAL_VN_CENTRAL_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,SKA,88970.55,3816.12,5826.49,313.48,98926.64,1177.7,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_FCL_ENT,202401_ACTUAL_VN_CENTRAL_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,ENT,85811.73,2948.17,4156.99,612.93,93529.81,850.27,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_FCL_MM,202401_ACTUAL_VN_CENTRAL_FCL_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,MM,75556.13,6806.33,3660.17,312.15,86334.78,854.8,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_FCL_SME,202401_ACTUAL_VN_CENTRAL_FCL_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,SME,56325.78,4225.82,2728.6,277.52,63557.72,847.44,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_FCL_SKA,202401_ACTUAL_VN_CENTRAL_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FCL,SKA,85408.56,3589.11,4137.45,945.01,94080.13,784.0,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_LCL_ENT,202401_ACTUAL_VN_CENTRAL_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,ENT,34142.44,4703.47,1802.08,493.81,41141.8,428.56,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_LCL_MM,202401_ACTUAL_VN_CENTRAL_LCL_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,MM,28596.27,5467.86,1509.35,327.39,35900.86,460.27,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_LCL_SME,202401_ACTUAL_VN_CENTRAL_LCL_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,SME,26177.26,2729.76,1381.67,537.62,30826.3,460.09,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_LCL_SKA,202401_ACTUAL_VN_CENTRAL_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,LCL,SKA,40929.39,3166.56,2160.31,772.81,47029.06,452.2,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CLS_ENT,202401_ACTUAL_VN_CENTRAL_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,ENT,46835.63,2256.15,2855.64,233.37,52180.78,931.8,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CLS_MM,202401_ACTUAL_VN_CENTRAL_CLS_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,MM,34909.87,2285.99,2128.51,188.78,39513.15,878.07,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CLS_SME,202401_ACTUAL_VN_CENTRAL_CLS_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,SME,29498.42,956.89,1798.56,112.12,32365.99,899.06,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CLS_SKA,202401_ACTUAL_VN_CENTRAL_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CLS,SKA,46128.96,4147.01,2812.55,370.83,53459.35,906.09,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CUS_ENT,202401_ACTUAL_VN_CENTRAL_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,ENT,13177.28,4907.38,1109.51,4032.0,23226.17,161.29,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CUS_MM,202401_ACTUAL_VN_CENTRAL_CUS_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,MM,10990.46,4502.36,925.38,3388.0,19806.2,163.69,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CUS_SME,202401_ACTUAL_VN_CENTRAL_CUS_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,SME,9485.24,5884.24,798.65,2688.0,18856.13,196.42,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_CUS_SKA,202401_ACTUAL_VN_CENTRAL_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CUS,SKA,14644.99,8421.97,1233.09,4508.0,28808.05,178.93,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_TRK_ENT,202401_ACTUAL_VN_CENTRAL_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,ENT,33848.47,8541.8,2507.38,1271.78,46169.42,270.0,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_TRK_MM,202401_ACTUAL_VN_CENTRAL_TRK_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,MM,25656.64,8804.2,1900.55,839.55,37200.95,261.98,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_TRK_SME,202401_ACTUAL_VN_CENTRAL_TRK_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,SME,21520.17,2026.2,1594.14,617.33,25757.84,252.53,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_TRK_SKA,202401_ACTUAL_VN_CENTRAL_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_CENTRAL,TRK,SKA,38025.64,13478.72,2816.8,779.96,55101.12,288.49,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_AIR_ENT,202401_ACTUAL_TH_AIR_ENT,2024-01-01,Actual,ACTUAL,TH,AIR,ENT,60785.05,1877.55,3980.68,267.95,66911.24,1115.19,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_AIR_MM,202401_ACTUAL_TH_AIR_MM,2024-01-01,Actual,ACTUAL,TH,AIR,MM,49923.66,1112.98,3269.39,341.43,54647.47,1138.49,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_AIR_SME,202401_ACTUAL_TH_AIR_SME,2024-01-01,Actual,ACTUAL,TH,AIR,SME,41550.84,2555.29,2721.08,254.87,47082.08,1239.0,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_AIR_SKA,202401_ACTUAL_TH_AIR_SKA,2024-01-01,Actual,ACTUAL,TH,AIR,SKA,65519.97,2026.0,4290.76,606.41,72443.14,1114.51,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_FCL_ENT,202401_ACTUAL_TH_FCL_ENT,2024-01-01,Actual,ACTUAL,TH,FCL,ENT,76095.78,6512.24,3686.31,381.15,86675.48,893.56,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_FCL_MM,202401_ACTUAL_TH_FCL_MM,2024-01-01,Actual,ACTUAL,TH,FCL,MM,57664.76,4862.76,2793.46,742.56,66063.54,857.97,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_FCL_SME,202401_ACTUAL_TH_FCL_SME,2024-01-01,Actual,ACTUAL,TH,FCL,SME,46814.37,3314.48,2267.83,531.73,52928.41,882.14,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_FCL_SKA,202401_ACTUAL_TH_FCL_SKA,2024-01-01,Actual,ACTUAL,TH,FCL,SKA,72221.28,3158.94,3498.62,487.54,79366.38,793.66,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_LCL_ENT,202401_ACTUAL_TH_LCL_ENT,2024-01-01,Actual,ACTUAL,TH,LCL,ENT,30316.42,4135.02,1600.14,519.29,36570.87,457.14,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_LCL_MM,202401_ACTUAL_TH_LCL_MM,2024-01-01,Actual,ACTUAL,TH,LCL,MM,24872.33,3159.85,1312.79,351.43,29696.4,449.95,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_LCL_SME,202401_ACTUAL_TH_LCL_SME,2024-01-01,Actual,ACTUAL,TH,LCL,SME,21043.03,3187.47,1110.68,350.62,25691.8,475.77,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_LCL_SKA,202401_ACTUAL_TH_LCL_SKA,2024-01-01,Actual,ACTUAL,TH,LCL,SKA,34014.7,6810.87,1795.34,939.15,43560.07,463.4,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CLS_ENT,202401_ACTUAL_TH_CLS_ENT,2024-01-01,Actual,ACTUAL,TH,CLS,ENT,35132.65,1791.96,2142.09,169.64,39236.34,834.82,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CLS_MM,202401_ACTUAL_TH_CLS_MM,2024-01-01,Actual,ACTUAL,TH,CLS,MM,32193.81,863.97,1962.9,175.12,35195.8,879.89,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CLS_SME,202401_ACTUAL_TH_CLS_SME,2024-01-01,Actual,ACTUAL,TH,CLS,SME,23160.07,1780.95,1412.1,174.51,26527.64,884.25,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CLS_SKA,202401_ACTUAL_TH_CLS_SKA,2024-01-01,Actual,ACTUAL,TH,CLS,SKA,38706.3,2279.86,2359.98,208.12,43554.26,871.09,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CUS_ENT,202401_ACTUAL_TH_CUS_ENT,2024-01-01,Actual,ACTUAL,TH,CUS,ENT,11129.43,3244.25,937.08,3332.0,18642.77,156.66,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CUS_MM,202401_ACTUAL_TH_CUS_MM,2024-01-01,Actual,ACTUAL,TH,CUS,MM,8914.8,2400.07,750.61,2772.0,14837.49,149.87,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CUS_SME,202401_ACTUAL_TH_CUS_SME,2024-01-01,Actual,ACTUAL,TH,CUS,SME,7177.94,1595.04,604.37,2156.0,11533.36,149.78,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_CUS_SKA,202401_ACTUAL_TH_CUS_SKA,2024-01-01,Actual,ACTUAL,TH,CUS,SKA,11545.95,3961.6,972.15,3808.0,20287.71,149.17,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_TRK_ENT,202401_ACTUAL_TH_TRK_ENT,2024-01-01,Actual,ACTUAL,TH,TRK,ENT,28186.36,7783.31,2087.95,573.31,38630.92,277.92,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_TRK_MM,202401_ACTUAL_TH_TRK_MM,2024-01-01,Actual,ACTUAL,TH,TRK,MM,22360.23,3046.5,1656.37,808.09,27871.19,255.7,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_TRK_SME,202401_ACTUAL_TH_TRK_SME,2024-01-01,Actual,ACTUAL,TH,TRK,SME,17312.85,2666.65,1282.47,804.31,22066.28,250.75,0.018,20240101,2024-01
COST_202401_ACTUAL_TH_TRK_SKA,202401_ACTUAL_TH_TRK_SKA,2024-01-01,Actual,ACTUAL,TH,TRK,SKA,31692.39,11144.17,2347.66,824.06,46008.27,280.54,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_AIR_ENT,202401_ACTUAL_CN_AIR_ENT,2024-01-01,Actual,ACTUAL,CN,AIR,ENT,86604.26,2463.41,5671.53,512.83,95252.04,1221.18,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_AIR_MM,202401_ACTUAL_CN_AIR_MM,2024-01-01,Actual,ACTUAL,CN,AIR,MM,64262.72,1150.17,4208.43,366.59,69987.92,1147.34,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_AIR_SME,202401_ACTUAL_CN_AIR_SME,2024-01-01,Actual,ACTUAL,CN,AIR,SME,52992.17,1994.17,3470.34,432.69,58889.38,1226.86,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_AIR_SKA,202401_ACTUAL_CN_AIR_SKA,2024-01-01,Actual,ACTUAL,CN,AIR,SKA,81959.12,3265.92,5367.33,539.41,91131.78,1111.36,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_FCL_ENT,202401_ACTUAL_CN_FCL_ENT,2024-01-01,Actual,ACTUAL,CN,FCL,ENT,94272.17,7882.35,4566.84,463.35,107184.7,850.67,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_FCL_MM,202401_ACTUAL_CN_FCL_MM,2024-01-01,Actual,ACTUAL,CN,FCL,MM,70547.48,6944.69,3417.54,990.48,81900.19,787.5,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_FCL_SME,202401_ACTUAL_CN_FCL_SME,2024-01-01,Actual,ACTUAL,CN,FCL,SME,59461.92,4212.43,2880.52,538.35,67093.22,849.28,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_FCL_SKA,202401_ACTUAL_CN_FCL_SKA,2024-01-01,Actual,ACTUAL,CN,FCL,SKA,95269.36,7624.3,4615.14,1170.85,108679.66,787.53,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_LCL_ENT,202401_ACTUAL_CN_LCL_ENT,2024-01-01,Actual,ACTUAL,CN,LCL,ENT,42662.23,7834.64,2251.77,404.08,53152.71,487.64,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_LCL_MM,202401_ACTUAL_CN_LCL_MM,2024-01-01,Actual,ACTUAL,CN,LCL,MM,34516.29,5988.59,1821.81,635.95,42962.65,452.24,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_LCL_SME,202401_ACTUAL_CN_LCL_SME,2024-01-01,Actual,ACTUAL,CN,LCL,SME,26088.03,4844.72,1376.96,403.8,32713.51,488.26,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_LCL_SKA,202401_ACTUAL_CN_LCL_SKA,2024-01-01,Actual,ACTUAL,CN,LCL,SKA,47516.33,7732.48,2507.97,960.24,58717.03,441.48,0.018,20240101,2024-01
COST_202401_ACTUAL_CN_CLS_ENT,202401_ACTUAL_CN_CLS_ENT,2024-01-01,Actual,ACTUAL,CN,CLS,ENT,50998.66,2572.36,3109.46,264.19,56944.68,876.07,0.018,20240101,2024-01
