snapshot_month,prior_dpd_bucket,dpd_bucket,loan_count,balance,roll_rate
2024-03-01,90+ DPD,Charge-off,17,0.0,0.1771
2024-03-01,90+ DPD,Current,3,331.75,0.0312
2024-03-01,Charge-off,1-7 DPD,5,33.55,0.098
2024-03-01,Charge-off,15-29 DPD,4,1194.53,0.0784
2024-03-01,Charge-off,30-59 DPD,1,6.47,0.0196
2024-03-01,Charge-off,60-89 DPD,1,118.41,0.0196
2024-03-01,Charge-off,8-14 DPD,2,757.41,0.0392
2024-03-01,Charge-off,Charge-off,38,0.0,0.7451
2024-03-01,Current,1-7 DPD,336,134185.14,0.2368
2024-03-01,Current,15-29 DPD,203,77457.02,0.1431
2024-03-01,Current,30-59 DPD,200,84335.87,0.1409
2024-03-01,Current,60-89 DPD,152,63005.6,0.1071
2024-03-01,Current,8-14 DPD,265,107131.41,0.1868
2024-03-01,Current,90+ DPD,51,20149.05,0.0359
2024-03-01,Current,Charge-off,10,0.0,0.007
2024-03-01,Current,Current,202,97403.85,0.1424
2024-04-01,1-7 DPD,1-7 DPD,298,58748.33,0.3243
2024-04-01,1-7 DPD,15-29 DPD,177,45761.89,0.1926
2024-04-01,1-7 DPD,30-59 DPD,140,38604.3,0.1523
2024-04-01,1-7 DPD,60-89 DPD,55,9235.93,0.0598
2024-04-01,1-7 DPD,8-14 DPD,191,36405.46,0.2078
2024-04-01,1-7 DPD,90+ DPD,12,1635.42,0.0131
2024-04-01,1-7 DPD,Charge-off,1,0.0,0.0011
2024-04-01,1-7 DPD,Current,45,11758.43,0.049
2024-04-01,15-29 DPD,1-7 DPD,158,36070.95,0.2801
2024-04-01,15-29 DPD,15-29 DPD,106,19382.06,0.1879
2024-04-01,15-29 DPD,30-59 DPD,106,20758.84,0.1879
2024-04-01,15-29 DPD,60-89 DPD,36,7553.92,0.0638
2024-04-01,15-29 DPD,8-14 DPD,126,22132.59,0.2234
2024-04-01,15-29 DPD,90+ DPD,5,2156.8,0.0089
2024-04-01,15-29 DPD,Current,27,6538.69,0.0479
2024-04-01,30-59 DPD,1-7 DPD,159,34251.85,0.2994
2024-04-01,30-59 DPD,15-29 DPD,98,24257.57,0.1846
2024-04-01,30-59 DPD,30-59 DPD,88,16646.97,0.1657
2024-04-01,30-59 DPD,60-89 DPD,27,9528.2,0.0508
2024-04-01,30-59 DPD,8-14 DPD,123,28169.69,0.2316
2024-04-01,30-59 DPD,90+ DPD,6,1485.28,0.0113
2024-04-01,30-59 DPD,Charge-off,2,0.0,0.0038
2024-04-01,30-59 DPD,Current,28,6013.0599999999995,0.0527
2024-04-01,60-89 DPD,1-7 DPD,51,10590.22,0.1882
2024-04-01,60-89 DPD,15-29 DPD,28,7036.8,0.1033
2024-04-01,60-89 DPD,30-59 DPD,22,3839.75,0.0812
2024-04-01,60-89 DPD,60-89 DPD,16,3164.69,0.059
2024-04-01,60-89 DPD,8-14 DPD,45,9848.89,0.1661
2024-04-01,60-89 DPD,90+ DPD,50,11029.93,0.1845
2024-04-01,60-89 DPD,Charge-off,50,0.0,0.1845
2024-04-01,60-89 DPD,Current,9,2656.62,0.0332
2024-04-01,8-14 DPD,1-7 DPD,202,42015.35,0.3151
2024-04-01,8-14 DPD,15-29 DPD,116,21915.57,0.181
2024-04-01,8-14 DPD,30-59 DPD,117,23375.41,0.1825
2024-04-01,8-14 DPD,60-89 DPD,34,15460.83,0.053
2024-04-01,8-14 DPD,8-14 DPD,126,25421.15,0.1966
2024-04-01,8-14 DPD,90+ DPD,6,2623.4,0.0094
2024-04-01,8-14 DPD,Current,40,8994.1,0.0624
2024-04-01,90+ DPD,1-7 DPD,22,3001.54,0.1528
2024-04-01,90+ DPD,15-29 DPD,17,3452.79,0.1181
2024-04-01,90+ DPD,30-59 DPD,17,2437.56,0.1181
2024-04-01,90+ DPD,60-89 DPD,13,4468.11,0.0903
2024-04-01,90+ DPD,8-14 DPD,14,3541.12,0.0972
2024-04-01,90+ DPD,90+ DPD,30,4165.89,0.2083
2024-04-01,90+ DPD,Charge-off,22,0.0,0.1528
2024-04-01,90+ DPD,Current,9,513.09,0.0625
2024-04-01,Charge-off,1-7 DPD,6,326.27,0.0625
2024-04-01,Charge-off,15-29 DPD,10,3387.94,0.1042
2024-04-01,Charge-off,30-59 DPD,1,6.38,0.0104
2024-04-01,Charge-off,60-89 DPD,1,127.61,0.0104
2024-04-01,Charge-off,8-14 DPD,7,1695.99,0.0729
2024-04-01,Charge-off,Charge-off,68,0.0,0.7083
2024-04-01,Charge-off,Current,3,43.269999999999996,0.0312
2024-04-01,Current,1-7 DPD,342,148067.83,0.246
2024-04-01,Current,15-29 DPD,213,85949.58,0.1532
2024-04-01,Current,30-59 DPD,199,81212.4,0.1432
2024-04-01,Current,60-89 DPD,138,59846.02,0.0993
2024-04-01,Current,8-14 DPD,262,105594.56999999999,0.1885
2024-04-01,Current,90+ DPD,39,17603.33,0.0281
2024-04-01,Current,Charge-off,8,0.0,0.0058
2024-04-01,Current,Current,189,75533.28,0.136
2024-05-01,1-7 DPD,1-7 DPD,355,70363.36,0.2868
2024-05-01,1-7 DPD,15-29 DPD,250,46711.49,0.2019
2024-05-01,1-7 DPD,30-59 DPD,210,36566.62,0.1696
2024-05-01,1-7 DPD,60-89 DPD,80,23360.760000000002,0.0646
2024-05-01,1-7 DPD,8-14 DPD,248,35135.49,0.2003
2024-05-01,1-7 DPD,90+ DPD,15,6053.76,0.0121
2024-05-01,1-7 DPD,Current,80,20506.39,0.0646
2024-05-01,15-29 DPD,1-7 DPD,239,46106.42,0.3124
2024-05-01,15-29 DPD,15-29 DPD,143,28899.05,0.1869
2024-05-01,15-29 DPD,30-59 DPD,134,28175.5,0.1752
2024-05-01,15-29 DPD,60-89 DPD,41,11174.22,0.0536
2024-05-01,15-29 DPD,8-14 DPD,153,28206.579999999998,0.2
2024-05-01,15-29 DPD,90+ DPD,11,724.32,0.0144
2024-05-01,15-29 DPD,Charge-off,2,0.0,0.0026
2024-05-01,15-29 DPD,Current,42,8598.04,0.0549
2024-05-01,30-59 DPD,1-7 DPD,216,44614.090000000004,0.313
2024-05-01,30-59 DPD,15-29 DPD,125,22835.15,0.1812
2024-05-01,30-59 DPD,30-59 DPD,110,19716.07,0.1594
2024-05-01,30-59 DPD,60-89 DPD,34,6178.71,0.0493
2024-05-01,30-59 DPD,8-14 DPD,145,27736.05,0.2101
2024-05-01,30-59 DPD,90+ DPD,6,1263.81,0.0087
2024-05-01,30-59 DPD,Charge-off,5,0.0,0.0072
2024-05-01,30-59 DPD,Current,49,9195.26,0.071
2024-05-01,60-89 DPD,1-7 DPD,63,13276.02,0.1969
2024-05-01,60-89 DPD,15-29 DPD,40,9464.4,0.125
2024-05-01,60-89 DPD,30-59 DPD,34,5647.05,0.1062
2024-05-01,60-89 DPD,60-89 DPD,18,7076.95,0.0562
2024-05-01,60-89 DPD,8-14 DPD,37,7556.7300000000005,0.1156
2024-05-01,60-89 DPD,90+ DPD,56,16430.09,0.175
2024-05-01,60-89 DPD,Charge-off,50,0.0,0.1562
2024-05-01,60-89 DPD,Current,22,6440.67,0.0688
2024-05-01,8-14 DPD,1-7 DPD,260,46142.0,0.2908
2024-05-01,8-14 DPD,15-29 DPD,177,35731.59,0.198
2024-05-01,8-14 DPD,30-59 DPD,166,34952.1,0.1857
2024-05-01,8-14 DPD,60-89 DPD,48,10941.01,0.0537
2024-05-01,8-14 DPD,8-14 DPD,186,27791.85,0.2081
2024-05-01,8-14 DPD,90+ DPD,8,566.22,0.0089
2024-05-01,8-14 DPD,Charge-off,1,0.0,0.0011
2024-05-01,8-14 DPD,Current,48,9693.4,0.0537
2024-05-01,90+ DPD,1-7 DPD,35,6534.45,0.2365
2024-05-01,90+ DPD,15-29 DPD,18,1847.11,0.1216
2024-05-01,90+ DPD,30-59 DPD,7,2170.0,0.0473
2024-05-01,90+ DPD,60-89 DPD,11,4418.84,0.0743
2024-05-01,90+ DPD,8-14 DPD,18,4203.91,0.1216
2024-05-01,90+ DPD,90+ DPD,25,2183.44,0.1689
2024-05-01,90+ DPD,Charge-off,22,0.0,0.1486
2024-05-01,90+ DPD,Current,12,1883.57,0.0811
2024-05-01,Charge-off,1-7 DPD,13,2201.84,0.0861
2024-05-01,Charge-off,15-29 DPD,7,4229.23,0.0464
2024-05-01,Charge-off,30-59 DPD,7,1375.29,0.0464
2024-05-01,Charge-off,60-89 DPD,2,7.13,0.0132
2024-05-01,Charge-off,8-14 DPD,17,2213.49,0.1126
2024-05-01,Charge-off,Charge-off,101,0.0,0.6689
2024-05-01,Charge-off,Current,4,1443.24,0.0265
2024-05-01,Current,1-7 DPD,386,142719.81,0.2622
2024-05-01,Current,15-29 DPD,222,88198.49,0.1508
2024-05-01,Current,30-59 DPD,176,71000.4,0.1196
2024-05-01,Current,60-89 DPD,159,54507.5,0.108
2024-05-01,Current,8-14 DPD,270,105378.06,0.1834
2024-05-01,Current,90+ DPD,39,15608.15,0.0265
2024-05-01,Current,Charge-off,9,0.0,0.0061
2024-05-01,Current,Current,211,87911.27,0.1433
2024-06-01,1-7 DPD,1-7 DPD,455,72113.19,0.2904
2024-06-01,1-7 DPD,15-29 DPD,303,52674.33,0.1934
2024-06-01,1-7 DPD,30-59 DPD,235,36638.96,0.15
2024-06-01,1-7 DPD,60-89 DPD,110,16414.63,0.0702
2024-06-01,1-7 DPD,8-14 DPD,364,57927.76,0.2323
2024-06-01,1-7 DPD,90+ DPD,18,4247.53,0.0115
2024-06-01,1-7 DPD,Charge-off,8,0.0,0.0051
2024-06-01,1-7 DPD,Current,74,20311.84,0.0472
2024-06-01,15-29 DPD,1-7 DPD,278,53079.31,0.2831
2024-06-01,15-29 DPD,15-29 DPD,197,26601.97,0.2006
2024-06-01,15-29 DPD,30-59 DPD,143,27518.21,0.1456
2024-06-01,15-29 DPD,60-89 DPD,75,15671.18,0.0764
2024-06-01,15-29 DPD,8-14 DPD,202,32472.79,0.2057
2024-06-01,15-29 DPD,90+ DPD,11,1198.79,0.0112
2024-06-01,15-29 DPD,Charge-off,4,0.0,0.0041
2024-06-01,15-29 DPD,Current,72,15343.71,0.0733
2024-06-01,30-59 DPD,1-7 DPD,234,37735.36,0.2773
2024-06-01,30-59 DPD,15-29 DPD,162,21818.46,0.1919
2024-06-01,30-59 DPD,30-59 DPD,137,28340.03,0.1623
2024-06-01,30-59 DPD,60-89 DPD,59,12271.179999999998,0.0699
2024-06-01,30-59 DPD,8-14 DPD,194,35152.979999999996,0.2299
2024-06-01,30-59 DPD,90+ DPD,5,39.47,0.0059
2024-06-01,30-59 DPD,Charge-off,3,0.0,0.0036
2024-06-01,30-59 DPD,Current,50,8092.01,0.0592
2024-06-01,60-89 DPD,1-7 DPD,70,16722.87,0.1781
2024-06-01,60-89 DPD,15-29 DPD,49,12511.439999999999,0.1247
2024-06-01,60-89 DPD,30-59 DPD,37,6147.55,0.0941
2024-06-01,60-89 DPD,60-89 DPD,21,2843.2599999999998,0.0534
2024-06-01,60-89 DPD,8-14 DPD,46,10616.63,0.117
2024-06-01,60-89 DPD,90+ DPD,102,20508.14,0.2595
2024-06-01,60-89 DPD,Charge-off,52,0.0,0.1323
2024-06-01,60-89 DPD,Current,16,5412.12,0.0407
2024-06-01,8-14 DPD,1-7 DPD,315,43728.36,0.2933
2024-06-01,8-14 DPD,15-29 DPD,215,28475.25,0.2002
2024-06-01,8-14 DPD,30-59 DPD,180,34681.17,0.1676
2024-06-01,8-14 DPD,60-89 DPD,78,13466.15,0.0726
2024-06-01,8-14 DPD,8-14 DPD,222,34270.7,0.2067
2024-06-01,8-14 DPD,90+ DPD,15,2693.44,0.014
2024-06-01,8-14 DPD,Charge-off,3,0.0,0.0028
2024-06-01,8-14 DPD,Current,46,9490.83,0.0428
2024-06-01,90+ DPD,1-7 DPD,26,1852.23,0.1625
2024-06-01,90+ DPD,15-29 DPD,22,3946.13,0.1375
2024-06-01,90+ DPD,30-59 DPD,13,3063.78,0.0812
2024-06-01,90+ DPD,60-89 DPD,5,200.66,0.0312
2024-06-01,90+ DPD,8-14 DPD,24,4090.54,0.15
2024-06-01,90+ DPD,90+ DPD,33,10190.53,0.2062
2024-06-01,90+ DPD,Charge-off,29,0.0,0.1812
2024-06-01,90+ DPD,Current,8,2269.41,0.05
2024-06-01,Charge-off,1-7 DPD,9,1399.94,0.0474
2024-06-01,Charge-off,15-29 DPD,6,226.59,0.0316
2024-06-01,Charge-off,30-59 DPD,11,3675.67,0.0579
2024-06-01,Charge-off,60-89 DPD,5,2476.16,0.0263
2024-06-01,Charge-off,8-14 DPD,12,1883.0600000000002,0.0632
2024-06-01,Charge-off,90+ DPD,1,17.68,0.0053
2024-06-01,Charge-off,Charge-off,141,0.0,0.7421
2024-06-01,Charge-off,Current,5,634.34,0.0263
2024-06-01,Current,1-7 DPD,399,148607.34,0.2525
2024-06-01,Current,15-29 DPD,258,107224.81,0.1633
2024-06-01,Current,30-59 DPD,196,68275.48,0.1241
2024-06-01,Current,60-89 DPD,167,63069.6,0.1057
2024-06-01,Current,8-14 DPD,263,81057.17,0.1665
2024-06-01,Current,90+ DPD,50,17403.14,0.0316
2024-06-01,Current,Charge-off,6,0.0,0.0038
2024-06-01,Current,Current,241,86686.74,0.1525
2024-07-01,1-7 DPD,1-7 DPD,458,71339.55,0.2829
2024-07-01,1-7 DPD,15-29 DPD,241,42386.13,0.1489
2024-07-01,1-7 DPD,30-59 DPD,300,51195.83,0.1853
2024-07-01,1-7 DPD,60-89 DPD,157,27968.52,0.097
2024-07-01,1-7 DPD,8-14 DPD,316,46499.36,0.1952
2024-07-01,1-7 DPD,90+ DPD,26,7747.79,0.0161
2024-07-01,1-7 DPD,Charge-off,5,0.0,0.0031
2024-07-01,1-7 DPD,Current,116,19971.66,0.0716
2024-07-01,15-29 DPD,1-7 DPD,282,44265.44,0.2597
2024-07-01,15-29 DPD,15-29 DPD,211,27263.82,0.1943
2024-07-01,15-29 DPD,30-59 DPD,167,30204.69,0.1538
2024-07-01,15-29 DPD,60-89 DPD,107,23275.19,0.0985
2024-07-01,15-29 DPD,8-14 DPD,212,31608.79,0.1952
2024-07-01,15-29 DPD,90+ DPD,16,3837.88,0.0147
2024-07-01,15-29 DPD,Charge-off,6,0.0,0.0055
2024-07-01,15-29 DPD,Current,85,18428.36,0.0783
2024-07-01,30-59 DPD,1-7 DPD,250,42718.62,0.2864
2024-07-01,30-59 DPD,15-29 DPD,147,25744.55,0.1684
2024-07-01,30-59 DPD,30-59 DPD,134,22911.01,0.1535
2024-07-01,30-59 DPD,60-89 DPD,81,12841.2,0.0928
2024-07-01,30-59 DPD,8-14 DPD,188,34450.090000000004,0.2153
2024-07-01,30-59 DPD,90+ DPD,14,2516.53,0.016
2024-07-01,30-59 DPD,Charge-off,1,0.0,0.0011
2024-07-01,30-59 DPD,Current,58,8332.58,0.0664
2024-07-01,60-89 DPD,1-7 DPD,81,19000.91,0.1663
2024-07-01,60-89 DPD,15-29 DPD,62,14199.78,0.1273
2024-07-01,60-89 DPD,30-59 DPD,39,6240.72,0.0801
2024-07-01,60-89 DPD,60-89 DPD,20,1617.06,0.0411
2024-07-01,60-89 DPD,8-14 DPD,69,7775.33,0.1417
2024-07-01,60-89 DPD,90+ DPD,103,18692.72,0.2115
2024-07-01,60-89 DPD,Charge-off,74,0.0,0.152
2024-07-01,60-89 DPD,Current,39,9185.06,0.0801
2024-07-01,8-14 DPD,1-7 DPD,357,55788.85,0.2987
2024-07-01,8-14 DPD,15-29 DPD,210,34253.97,0.1757
2024-07-01,8-14 DPD,30-59 DPD,198,26511.37,0.1657
2024-07-01,8-14 DPD,60-89 DPD,98,15208.51,0.082
2024-07-01,8-14 DPD,8-14 DPD,236,32181.6,0.1975
2024-07-01,8-14 DPD,90+ DPD,21,3200.67,0.0176
2024-07-01,8-14 DPD,Charge-off,3,0.0,0.0025
2024-07-01,8-14 DPD,Current,72,12088.94,0.0603
2024-07-01,90+ DPD,1-7 DPD,36,6826.51,0.1636
2024-07-01,90+ DPD,15-29 DPD,28,2775.11,0.1273
2024-07-01,90+ DPD,30-59 DPD,13,3602.58,0.0591
2024-07-01,90+ DPD,60-89 DPD,17,797.6,0.0773
2024-07-01,90+ DPD,8-14 DPD,20,5556.04,0.0909
2024-07-01,90+ DPD,90+ DPD,62,13255.05,0.2818
2024-07-01,90+ DPD,Charge-off,26,0.0,0.1182
2024-07-01,90+ DPD,Current,18,2033.3,0.0818
2024-07-01,Charge-off,1-7 DPD,13,289.92,0.0607
2024-07-01,Charge-off,15-29 DPD,8,1982.64,0.0374
2024-07-01,Charge-off,30-59 DPD,12,1688.7699999999998,0.0561
2024-07-01,Charge-off,60-89 DPD,3,246.1,0.014
2024-07-01,Charge-off,8-14 DPD,4,1606.18,0.0187
2024-07-01,Charge-off,90+ DPD,2,751.44,0.0093
2024-07-01,Charge-off,Charge-off,168,0.0,0.785
2024-07-01,Charge-off,Current,4,39.76,0.0187
2024-07-01,Current,1-7 DPD,391,151015.54,0.2348
2024-07-01,Current,15-29 DPD,271,100473.11,0.1628
2024-07-01,Current,30-59 DPD,227,73025.2,0.1363
2024-07-01,Current,60-89 DPD,172,65368.39,0.1033
2024-07-01,Current,8-14 DPD,262,100242.59,0.1574
2024-07-01,Current,90+ DPD,48,20862.41,0.0288
2024-07-01,Current,Charge-off,18,0.0,0.0108
2024-07-01,Current,Current,276,98838.76,0.1658
2024-08-01,1-7 DPD,1-7 DPD,410,73886.18000000001,0.2471
2024-08-01,1-7 DPD,15-29 DPD,298,43425.08,0.1796
2024-08-01,1-7 DPD,30-59 DPD,272,45685.03,0.164
2024-08-01,1-7 DPD,60-89 DPD,179,26627.78,0.1079
2024-08-01,1-7 DPD,8-14 DPD,314,47699.76,0.1893
2024-08-01,1-7 DPD,90+ DPD,42,12589.65,0.0253
2024-08-01,1-7 DPD,Charge-off,6,0.0,0.0036
2024-08-01,1-7 DPD,Current,138,30722.56,0.0832
2024-08-01,15-29 DPD,1-7 DPD,296,51183.23,0.2865
2024-08-01,15-29 DPD,15-29 DPD,155,22619.61,0.15
2024-08-01,15-29 DPD,30-59 DPD,169,32422.39,0.1636
2024-08-01,15-29 DPD,60-89 DPD,103,16518.15,0.0997
2024-08-01,15-29 DPD,8-14 DPD,212,31812.2,0.2052
2024-08-01,15-29 DPD,90+ DPD,25,3531.55,0.0242
2024-08-01,15-29 DPD,Charge-off,5,0.0,0.0048
2024-08-01,15-29 DPD,Current,68,18411.64,0.0658
2024-08-01,30-59 DPD,1-7 DPD,264,38206.96,0.2791
2024-08-01,30-59 DPD,15-29 DPD,157,28166.16,0.166
2024-08-01,30-59 DPD,30-59 DPD,168,28398.54,0.1776
2024-08-01,30-59 DPD,60-89 DPD,99,15779.039999999999,0.1047
2024-08-01,30-59 DPD,8-14 DPD,168,25670.47,0.1776
2024-08-01,30-59 DPD,90+ DPD,13,2866.76,0.0137
2024-08-01,30-59 DPD,Charge-off,2,0.0,0.0021
2024-08-01,30-59 DPD,Current,75,13899.74,0.0793
2024-08-01,60-89 DPD,1-7 DPD,115,17495.44,0.1898
2024-08-01,60-89 DPD,15-29 DPD,77,17035.0,0.1271
2024-08-01,60-89 DPD,30-59 DPD,60,11556.81,0.099
2024-08-01,60-89 DPD,60-89 DPD,28,3864.12,0.0462
2024-08-01,60-89 DPD,8-14 DPD,65,10635.89,0.1073
2024-08-01,60-89 DPD,90+ DPD,122,24243.03,0.2013
2024-08-01,60-89 DPD,Charge-off,104,0.0,0.1716
2024-08-01,60-89 DPD,Current,35,3769.41,0.0578
2024-08-01,8-14 DPD,1-7 DPD,317,47911.56,0.2778
2024-08-01,8-14 DPD,15-29 DPD,179,29777.97,0.1569
2024-08-01,8-14 DPD,30-59 DPD,170,24563.06,0.149
2024-08-01,8-14 DPD,60-89 DPD,129,24999.87,0.1131
2024-08-01,8-14 DPD,8-14 DPD,207,36826.29,0.1814
2024-08-01,8-14 DPD,90+ DPD,28,2930.78,0.0245
2024-08-01,8-14 DPD,Charge-off,1,0.0,0.0009
2024-08-01,8-14 DPD,Current,110,18452.18,0.0964
2024-08-01,90+ DPD,1-7 DPD,52,8351.550000000001,0.1955
2024-08-01,90+ DPD,15-29 DPD,21,4233.75,0.0789
2024-08-01,90+ DPD,30-59 DPD,32,5491.12,0.1203
2024-08-01,90+ DPD,60-89 DPD,14,4072.92,0.0526
2024-08-01,90+ DPD,8-14 DPD,26,4558.04,0.0977
