origination_month,mob,loan_count,originated_amount,outstanding_balance,dpd30_balance,dpd60_balance,npl_balance,chargeoff_amount,dpd30_rate,dpd60_rate,npl_rate,cumulative_loss_rate
2024-02-01,1,1088,451312.5,324046.02999999997,92806.94,36320.59,14726.21,4683.36,0.2864,0.1121,0.0454,0.016
2024-02-01,2,1088,451312.5,213246.07,53679.8,24186.66,7403.35,2438.82,0.2517,0.1134,0.0347,0.0214
2024-02-01,3,1088,451312.5,149284.29,34929.14,12772.1,4207.28,2461.36,0.234,0.0856,0.0282,0.0269
2024-02-01,4,1088,451312.5,114659.6,28005.59,9844.53,4136.599999999999,3508.65,0.2442,0.0859,0.0361,0.0347
2024-02-01,5,1088,451312.5,82233.69,21791.23,9297.33,1302.52,2984.43,0.265,0.1131,0.0158,0.0413
2024-02-01,6,513,350389.88,51376.18,13370.0,6305.46,2953.0899999999997,2985.28,0.2602,0.1227,0.0575,0.0479
2024-02-01,7,258,244202.23,38870.83,12903.7,5277.71,1947.9900000000002,3198.91,0.332,0.1358,0.0501,0.055
2024-02-01,8,258,244202.23,31968.9,7781.05,2518.21,1540.5700000000002,2808.86,0.2434,0.0788,0.0482,0.0612
2024-02-01,9,258,244202.23,25117.18,2263.95,1367.15,677.64,2329.74,0.0901,0.0544,0.027,0.0664
2024-02-01,10,71,91954.19,13019.13,2137.34,568.39,568.39,1354.17,0.1642,0.0437,0.0437,0.0694
2024-02-01,11,71,91954.19,6509.61,979.39,360.77,0.0,677.09,0.1505,0.0554,0.0,0.0709
2024-02-01,12,71,91954.19,3035.5,653.11,193.26,28.78,383.73,0.2152,0.0637,0.0095,0.0717
2024-02-01,13,71,91954.19,3018.96,961.05,248.94,102.32,392.31,0.3183,0.0825,0.0339,0.0726
2024-02-01,14,71,91954.19,3083.76,577.04,196.74,107.9,353.57,0.1871,0.0638,0.035,0.0734
2024-02-01,15,71,91954.19,3083.76,568.58,157.31,0.0,353.57,0.1844,0.051,0.0,0.0741
2024-03-01,0,1184,519508.87,517834.78,153649.58,74351.61,15997.82,860.99,0.2967,0.1436,0.0309,0.0017
2024-03-01,1,1184,519508.87,368433.57,115721.24,50647.04,14912.12,9612.17,0.3141,0.1375,0.0405,0.0202
2024-03-01,2,1184,519508.87,243849.23,67899.03,28396.78,8512.16,6585.08,0.2784,0.1165,0.0349,0.0328
2024-03-01,3,1184,519508.87,167242.17,51960.99,18912.47,6665.11,6626.64,0.3107,0.1131,0.0399,0.0456
2024-03-01,4,1184,519508.87,128765.94,41501.46,23715.7,6964.84,6915.72,0.3223,0.1842,0.0541,0.0589
2024-03-01,5,1184,519508.87,92302.63,26815.71,14445.369999999999,6125.66,5924.33,0.2905,0.1565,0.0664,0.0703
2024-03-01,6,601,414774.1,55674.12,11957.130000000001,4257.83,2077.52,6656.040000000001,0.2148,0.0765,0.0373,0.0831
2024-03-01,7,284,282640.27,46024.61,10709.87,3146.3999999999996,1351.57,3918.77,0.2327,0.0684,0.0294,0.0907
2024-03-01,8,284,282640.27,37571.19,7377.66,2913.59,924.4399999999999,3546.83,0.1964,0.0775,0.0246,0.0975
2024-03-01,9,284,282640.27,29792.05,5807.83,2187.76,1608.06,2735.07,0.1949,0.0734,0.054,0.1028
2024-03-01,10,78,109328.78,15640.68,4548.26,1523.57,810.03,1585.58,0.2908,0.0974,0.0518,0.1058
2024-03-01,11,78,109328.78,7644.5,1689.83,260.44,0.0,911.15,0.2211,0.0341,0.0,0.1076
2024-03-01,12,78,109328.78,3753.79,820.1999999999999,194.07999999999998,64.55,380.55,0.2185,0.0517,0.0172,0.1083
2024-03-01,13,78,109328.78,3711.56,1079.28,211.98000000000002,0.0,406.95,0.2908,0.0571,0.0,0.1091
2024-03-01,14,78,109328.78,3711.56,842.1899999999999,245.79999999999998,153.89,406.95,0.2269,0.0662,0.0415,0.1099
2024-03-01,15,78,109328.78,3711.56,719.9300000000001,92.47,41.98,406.95,0.194,0.0249,0.0113,0.1106
2024-04-01,0,1090,482039.83,480479.84,133729.85,62122.13,15391.76,903.05,0.2783,0.1293,0.032,0.0019
2024-04-01,1,1090,482039.83,347929.17,105353.69,51657.53,16251.62,7119.95,0.3028,0.1485,0.0467,0.0166
2024-04-01,2,1090,482039.83,235657.74,54718.9,30640.35,13181.34,4054.69,0.2322,0.13,0.0559,0.0251
2024-04-01,3,1090,482039.83,168803.36000000002,52084.67,30129.59,16016.51,2920.27,0.3086,0.1785,0.0949,0.0311
2024-04-01,4,1090,482039.83,129112.29000000001,34149.36,15809.710000000001,7583.38,4666.33,0.2645,0.1224,0.0587,0.0408
2024-04-01,5,1090,482039.83,92582.06,30336.56,14629.79,2358.18,4314.0,0.3277,0.158,0.0255,0.0497
2024-04-01,6,530,385627.12,63822.99,14094.6,6951.58,2453.69,1340.74,0.2208,0.1089,0.0384,0.0525
2024-04-01,7,273,275603.24,49351.49,12022.12,6692.91,3197.3500000000004,1898.4599999999998,0.2436,0.1356,0.0648,0.0565
2024-04-01,8,273,275603.24,39671.55,6176.55,2101.59,1551.75,2173.04,0.1557,0.053,0.0391,0.061
2024-04-01,9,273,275603.24,31428.29,4055.2,1034.6,95.67,1618.1699999999998,0.129,0.0329,0.003,0.0643
2024-04-01,10,77,110013.42,16847.21,3453.05,1291.67,375.78,900.26,0.205,0.0767,0.0223,0.0662
2024-04-01,11,77,110013.42,8289.33,1599.29,426.66999999999996,100.22,534.0799999999999,0.1929,0.0515,0.0121,0.0673
2024-04-01,12,77,110013.42,3968.53,1051.87,352.46,76.97,259.15,0.2651,0.0888,0.0194,0.0678
2024-04-01,13,77,110013.42,3968.53,780.89,321.49,73.68,259.15,0.1968,0.081,0.0186,0.0684
2024-04-01,14,77,110013.42,3968.53,369.6,64.47,0.0,259.15,0.0931,0.0162,0.0,0.0689
2024-04-01,15,77,110013.42,3968.53,304.53999999999996,124.09,45.09,259.15,0.0767,0.0313,0.0114,0.0695
2024-05-01,0,1122,483665.2,482608.97,123526.45999999999,56612.77,11089.35,532.36,0.256,0.1173,0.023,0.0011
2024-05-01,1,1122,483665.2,351690.82,107250.23,48047.94,12052.710000000001,4065.43,0.305,0.1366,0.0343,0.0095
2024-05-01,2,1122,483665.2,228663.17,61008.8,30039.38,10288.89,5724.17,0.2668,0.1314,0.045,0.0213
2024-05-01,3,1122,483665.2,160301.96,46089.75,19809.23,8084.22,5073.06,0.2875,0.1236,0.0504,0.0318
2024-05-01,4,1122,483665.2,122778.62,39644.2,26193.93,6203.62,6965.96,0.3229,0.2133,0.0505,0.0462
2024-05-01,5,1122,483665.2,92059.92,30193.31,18108.920000000002,8225.59,4642.65,0.328,0.1967,0.0894,0.0558
2024-05-01,6,539,382298.95,61402.25,15335.75,7794.360000000001,3486.82,3613.0,0.2498,0.1269,0.0568,0.0633
2024-05-01,7,260,263388.37,47358.36,11181.9,3233.74,1095.73,3575.82,0.2361,0.0683,0.0231,0.0707
2024-05-01,8,260,263388.37,38484.19,2141.23,1522.2099999999998,16.94,3275.24,0.0556,0.0396,0.0004,0.0775
2024-05-01,9,260,263388.37,30544.1,4323.42,1833.0700000000002,845.17,2342.89,0.1415,0.06,0.0277,0.0823
2024-05-01,10,77,113378.19,16053.91,2695.9,1665.98,346.09,1748.48,0.1679,0.1038,0.0216,0.0859
2024-05-01,11,77,113378.19,8321.68,2168.08,812.6700000000001,392.98,697.27,0.2605,0.0977,0.0472,0.0874
2024-05-01,12,77,113378.19,3994.4,752.0600000000001,298.7,153.95,334.7,0.1883,0.0748,0.0385,0.0881
2024-05-01,13,77,113378.19,3994.4,668.67,272.26,231.93,334.7,0.1674,0.0682,0.0581,0.0888
2024-05-01,14,77,113378.19,3923.51,484.59000000000003,376.65,125.75,375.53,0.1235,0.096,0.0321,0.0895
2024-05-01,15,77,113378.19,3994.4,581.75,195.0,135.62,334.7,0.1456,0.0488,0.034,0.0902
2024-06-01,0,1112,466694.73,464607.86,122149.41,66969.73,16277.970000000001,1151.1100000000001,0.2629,0.1441,0.035,0.0025
2024-06-01,1,1112,466694.73,336505.49,109597.26,50959.83,19116.42,4745.14,0.3257,0.1514,0.0568,0.0126
2024-06-01,2,1112,466694.73,219822.05,68994.15,34841.44,11639.83,4321.9,0.3139,0.1585,0.053,0.0219
2024-06-01,3,1112,466694.73,153738.04,48022.98,33018.58,12152.48,4107.85,0.3124,0.2148,0.079,0.0307
2024-06-01,4,1112,466694.73,114619.97,35743.3,21820.26,8650.27,5369.3,0.3118,0.1904,0.0755,0.0422
2024-06-01,5,1112,466694.73,80989.57,22544.19,10456.98,4878.24,3547.19,0.2784,0.1291,0.0602,0.0498
2024-06-01,6,524,364571.6,49131.409999999996,10675.55,3480.08,1227.63,2453.08,0.2173,0.0708,0.025,0.0551
2024-06-01,7,273,263709.66,39487.5,4268.53,1867.1100000000001,663.03,1644.87,0.1081,0.0473,0.0168,0.0586
2024-06-01,8,273,263709.66,32634.41,4228.11,1941.3899999999999,85.57000000000001,1553.97,0.1296,0.0595,0.0026,0.0619
2024-06-01,9,273,263709.66,25712.78,5596.86,1588.35,135.87,1537.06,0.2177,0.0618,0.0053,0.0652
2024-06-01,10,62,84481.01,12808.13,2849.27,837.66,671.62,733.49,0.2225,0.0654,0.0524,0.0668
2024-06-01,11,62,84481.01,6404.12,1468.56,192.31,0.0,366.76,0.2293,0.03,0.0,0.0676
2024-06-01,12,62,84481.01,3073.96,531.15,132.39,0.0,176.05,0.1728,0.0431,0.0,0.0679
2024-06-01,13,62,84481.01,3073.96,347.26,206.69,33.96,176.05,0.113,0.0672,0.011,0.0683
2024-06-01,14,62,84481.01,3073.96,351.52,106.03,106.03,176.05,0.1144,0.0345,0.0345,0.0687
2024-06-01,15,62,84481.01,3035.1,229.48000000000002,67.17,67.17,200.34,0.0756,0.0221,0.0221,0.0691
2024-07-01,0,1186,509858.15,501215.57,127111.47,65732.8,13888.67,5001.22,0.2536,0.1311,0.0277,0.0098
2024-07-01,1,1186,509858.15,361962.84,117555.33,62100.37,21008.18,9435.45,0.3248,0.1716,0.058,0.0283
2024-07-01,2,1186,509858.15,232482.23,66699.7,38874.9,20913.98,11226.31,0.2869,0.1672,0.09,0.0503
2024-07-01,3,1186,509858.15,163286.34,57318.45,34868.57,14549.03,7624.34,0.351,0.2135,0.0891,0.0653
2024-07-01,4,1186,509858.15,126848.78,36816.87,20518.81,8122.33,6473.99,0.2902,0.1618,0.064,0.078
2024-07-01,5,1186,509858.15,91420.7,27084.99,15264.1,3058.69,4883.75,0.2963,0.167,0.0335,0.0876
2024-07-01,6,605,408771.14,59411.33,11362.47,6732.599999999999,3196.79,3043.5,0.1913,0.1133,0.0538,0.0935
2024-07-01,7,300,281777.08,45050.82,9403.06,2767.11,1256.28,3359.29,0.2087,0.0614,0.0279,0.1001
2024-07-01,8,300,281777.08,38186.09,7195.39,2688.9900000000002,1388.98,2287.14,0.1884,0.0704,0.0364,0.1046
2024-07-01,9,300,281777.08,30562.68,4260.87,1011.08,451.45000000000005,1615.55,0.1394,0.0331,0.0148,0.1078
2024-07-01,10,77,104647.83,15627.1,4141.15,2438.56,0.0,1109.96,0.265,0.156,0.0,0.11
2024-07-01,11,77,104647.83,7626.9,1371.32,554.95,441.74,662.89,0.1798,0.0728,0.0579,0.1113
2024-07-01,12,77,104647.83,3606.07,613.51,288.84,108.26,367.07,0.1701,0.0801,0.03,0.112
2024-07-01,13,77,104647.83,3425.4900000000002,681.25,267.51,105.44000000000001,479.93,0.1989,0.0781,0.0308,0.1129
2024-07-01,14,77,104647.83,3485.77,428.25,176.38,144.60999999999999,442.26,0.1229,0.0506,0.0415,0.1138
2024-07-01,15,77,104647.83,3539.69,355.09000000000003,147.37,147.37,408.56,0.1003,0.0416,0.0416,0.1146
2024-08-01,0,1189,506460.19,501611.28,138985.32,77899.91,22403.93,2808.51,0.2771,0.1553,0.0447,0.0055
2024-08-01,1,1189,506460.19,358103.09,101514.23,49081.81,22804.53,9634.13,0.2835,0.1371,0.0637,0.0246
2024-08-01,2,1189,506460.19,236618.09,63414.94,37428.909999999996,12996.460000000001,6271.35,0.268,0.1582,0.0549,0.037
2024-08-01,3,1189,506460.19,163332.91,50537.53,33825.22,12338.16,6549.86,0.3094,0.2071,0.0755,0.0499
2024-08-01,4,1189,506460.19,127624.43,43006.49,27191.73,12773.3,5507.21,0.337,0.2131,0.1001,0.0608
2024-08-01,5,1189,506460.19,92256.85,17928.49,10069.74,6697.99,4388.38,0.1943,0.1091,0.0726,0.0694
2024-08-01,6,582,398278.06,61666.13,15475.57,8363.56,3057.75,1918.29,0.251,0.1356,0.0496,0.0732
2024-08-01,7,283,277317.55,47234.68,8678.88,2591.43,1057.32,2511.0299999999997,0.1837,0.0549,0.0224,0.0782
2024-08-01,8,283,277317.55,38894.05,10253.65,5553.5199999999995,2376.71,2172.32,0.2636,0.1428,0.0611,0.0825
2024-08-01,9,283,277317.55,30359.18,8717.72,4716.95,3007.78,1964.1299999999999,0.2872,0.1554,0.0991,0.0863
2024-08-01,10,76,106711.49,16424.77,4221.61,2612.65,2388.75,851.98,0.257,0.1591,0.1454,0.088
2024-08-01,11,76,106711.49,7723.25,2025.63,791.61,498.48,750.65,0.2623,0.1025,0.0645,0.0895
2024-08-01,12,76,106711.49,3684.02,751.55,225.31,114.24000000000001,375.18,0.204,0.0612,0.031,0.0902
2024-08-01,13,76,106711.49,3812.16,531.28,399.33,104.19,289.58,0.1394,0.1048,0.0273,0.0908
2024-08-01,14,76,106711.49,3723.11,269.58000000000004,126.45,126.45,347.52,0.0724,0.034,0.034,0.0915
2024-08-01,15,76,106711.49,3659.22,255.5,208.44,152.55,392.19,0.0698,0.057,0.0417,0.0923
2024-09-01,0,1142,482190.31,476613.02,114307.6,54968.98,15585.29,3125.63,0.2398,0.1153,0.0327,0.0065
2024-09-01,1,1142,482190.31,339229.74,98920.9,55390.57,25982.64,7691.37,0.2916,0.1633,0.0766,0.0224
2024-09-01,2,1142,482190.31,217426.83,60784.46,31926.920000000002,13024.82,5813.36,0.2796,0.1468,0.0599,0.0345
2024-09-01,3,1142,482190.31,144612.7,41736.58,22420.38,11236.48,6139.94,0.2886,0.155,0.0777,0.0472
2024-09-01,4,1142,482190.31,113314.86,26504.7,9199.39,2836.55,3076.7400000000002,0.2339,0.0812,0.025,0.0536
2024-09-01,5,1142,482190.31,78552.55,12797.81,4518.69,428.54999999999995,2123.23,0.1629,0.0575,0.0055,0.058
2024-09-01,6,548,378383.09,47579.979999999996,4728.61,2330.45,897.64,640.97,0.0994,0.049,0.0189,0.0593
2024-09-01,7,254,256018.77,36497.54,6104.52,2598.4,1280.78,733.25,0.1673,0.0712,0.0351,0.0609
2024-09-01,8,254,256018.77,29943.93,9660.35,2804.34,828.19,1032.34,0.3226,0.0937,0.0277,0.063
2024-09-01,9,254,256018.77,24373.88,7035.26,2933.61,632.35,716.75,0.2886,0.1204,0.0259,0.0645
2024-09-01,10,54,72915.91,11029.23,2804.95,312.26,121.69,670.87,0.2543,0.0283,0.011,0.0659
2024-09-01,11,54,72915.91,5657.3,532.0600000000001,309.76,309.76,250.15999999999997,0.094,0.0548,0.0548,0.0664
2024-09-01,12,54,72915.91,2641.74,177.14,131.39,131.39,166.16000000000003,0.0671,0.0497,0.0497,0.0667
2024-09-01,13,54,72915.91,2641.74,84.13,0.0,0.0,166.16000000000003,0.0318,0.0,0.0,0.0671
2024-09-01,14,54,72915.91,2641.74,177.13,0.0,0.0,166.16000000000003,0.0671,0.0,0.0,0.0674
2024-09-01,15,54,72915.91,2641.74,350.71,0.0,0.0,166.16000000000003,0.1328,0.0,0.0,0.0678
2024-10-01,0,1175,528149.17,524091.5,143484.97,70461.03,17432.03,2246.72,0.2738,0.1344,0.0333,0.0043
2024-10-01,1,1175,528149.17,383016.96,120556.7,60096.56,23962.46,5707.43,0.3148,0.1569,0.0626,0.0151
2024-10-01,2,1175,528149.17,252684.31,64702.69,32482.21,14044.51,5204.16,0.2561,0.1285,0.0556,0.0249
2024-10-01,3,1175,528149.17,173744.12,32171.78,11395.21,4203.4,3962.9900000000002,0.1852,0.0656,0.0242,0.0324
2024-10-01,4,1175,528149.17,134464.37,24209.58,10290.91,2617.25,3605.25,0.18,0.0765,0.0195,0.0392
2024-10-01,5,1175,528149.17,96332.22,26532.84,7899.76,3031.59,2526.42,0.2754,0.082,0.0315,0.044
2024-10-01,6,618,431285.8,61886.01,13888.23,4235.93,339.4,1444.0,0.2244,0.0684,0.0055,0.0468
2024-10-01,7,294,291006.32,47110.12,6787.55,2090.92,1920.09,1843.3400000000001,0.1441,0.0444,0.0408,0.0503
2024-10-01,8,294,291006.32,39022.99,9429.15,3735.32,342.69,1602.48,0.2416,0.0957,0.0088,0.0533
2024-10-01,9,294,291006.32,30980.62,11690.81,4903.91,527.67,1287.24,0.3774,0.1583,0.017,0.0557
2024-10-01,10,70,102431.97,16094.52,3891.54,2104.9500000000003,835.45,572.29,0.2418,0.1308,0.0519,0.0568
2024-10-01,11,70,102431.97,7937.59,2200.41,856.1899999999999,360.65999999999997,354.71999999999997,0.2772,0.1079,0.0454,0.0575
2024-10-01,12,70,102431.97,3824.62,586.74,298.41999999999996,163.15,163.99,0.1534,0.078,0.0427,0.0578
2024-10-01,13,70,102431.97,3734.0299999999997,419.71,218.34,48.18,227.33,0.1124,0.0585,0.0129,0.0582
2024-10-01,14,70,102431.97,3778.79,209.11,60.71,0.0,196.04000000000002,0.0553,0.0161,0.0,0.0586
2024-10-01,15,70,102431.97,3766.2599999999998,783.09,397.29,97.6,200.3,0.2079,0.1055,0.0259,0.059
2024-11-01,0,1128,480380.55,473214.21,116767.12,59321.48,16062.74,3915.79,0.2468,0.1254,0.0339,0.0082
2024-11-01,1,1128,480380.55,338423.72,81973.17,48218.83,26379.47,10642.15,0.2422,0.1425,0.0779,0.0303
2024-11-01,2,1128,480380.55,224934.79,58564.71,24230.28,12051.6,8036.4400000000005,0.2604,0.1077,0.0536,0.047
2024-11-01,3,1128,480380.55,159069.71,37837.67,14058.539999999999,5719.87,8281.64,0.2379,0.0884,0.036,0.0643
2024-11-01,4,1128,480380.55,125678.21,24141.99,7938.17,3400.92,7011.07,0.1921,0.0632,0.0271,0.0789
2024-11-01,5,1128,480380.55,93045.79000000001,22405.8,6504.2,1417.6100000000001,5337.71,0.2408,0.0699,0.0152,0.09
2024-11-01,6,527,374621.41,60770.53,12020.12,2678.8599999999997,2282.71,4622.44,0.1978,0.0441,0.0376,0.0996
2024-11-01,7,276,271514.18,48493.51,14952.47,5214.71,2528.13,3799.14,0.3083,0.1075,0.0521,0.1075
2024-11-01,8,276,271514.18,40610.96,10520.85,2161.92,304.68,2621.68,0.2591,0.0532,0.0075,0.113
2024-11-01,9,276,271514.18,31876.99,6128.97,2525.23,755.83,2042.6399999999999,0.1923,0.0792,0.0237,0.1172
2024-11-01,10,76,117392.13,17402.83,5216.77,1283.76,700.4300000000001,1200.97,0.2998,0.0738,0.0402,0.1197
2024-11-01,11,76,117392.13,8315.16,813.3,371.31,190.85,841.9300000000001,0.0978,0.0447,0.023,0.1215
2024-11-01,12,76,117392.13,4046.63,300.36,200.76,42.35,369.54,0.0742,0.0496,0.0105,0.1222
2024-11-01,13,76,117392.13,4037.17,563.53,165.70999999999998,165.70999999999998,378.78,0.1396,0.041,0.041,0.123
2024-11-01,14,76,117392.13,4082.01,886.97,323.46,142.60000000000002,347.43,0.2173,0.0792,0.0349,0.1238
2024-11-01,15,76,117392.13,4048.59,938.59,424.11,85.15,368.32,0.2318,0.1048,0.021,0.1245
2024-12-01,0,1172,495164.84,490748.84,119990.99,54368.76,10091.72,2582.83,0.2445,0.1108,0.0206,0.0052
2024-12-01,1,1172,495164.84,349697.04,108268.15,52216.27,14964.460000000001,8582.0,0.3096,0.1493,0.0428,0.0225
2024-12-01,2,1172,495164.84,226387.26,59321.06,21723.6,11000.45,7091.62,0.262,0.096,0.0486,0.0369
2024-12-01,3,1172,495164.84,159995.11,41530.61,5838.18,2418.5899999999997,4335.06,0.2596,0.0365,0.0151,0.0456
2024-12-01,4,1172,495164.84,124692.17,23574.35,6560.91,3831.06,3650.6,0.1891,0.0526,0.0307,0.053
2024-12-01,5,1172,495164.84,89441.8,17189.72,7673.79,1627.05,2880.12,0.1922,0.0858,0.0182,0.0588
2024-12-01,6,566,386052.09,55025.52,10809.1,4876.1900000000005,1842.16,3165.25,0.1964,0.0886,0.0335,0.0652
2024-12-01,7,277,267662.15,44150.97,10166.289999999999,2927.72,1421.99,1949.4099999999999,0.2303,0.0663,0.0322,0.0691
2024-12-01,8,277,267662.15,36305.71,8822.87,2777.69,1415.24,1794.68,0.243,0.0765,0.039,0.0728
2024-12-01,9,277,267662.15,28766.88,5169.61,1669.75,1038.06,1448.1200000000001,0.1797,0.058,0.0361,0.0757
2024-12-01,10,67,97034.6,15027.98,1735.08,292.91999999999996,163.29,722.41,0.1155,0.0195,0.0109,0.0772
2024-12-01,11,67,97034.6,7514.07,1448.91,995.48,75.35,361.20000000000005,0.1928,0.1325,0.01,0.0779
2024-12-01,12,67,97034.6,3570.23,335.67,122.47,122.47,198.91,0.094,0.0343,0.0343,0.0783
2024-12-01,13,67,97034.6,3606.7400000000002,873.1,406.03000000000003,45.83,173.38,0.2421,0.1126,0.0127,0.0786
2024-12-01,14,67,97034.6,3440.19,1047.24,338.02,158.18,273.77,0.3044,0.0983,0.046,0.0792
2024-12-01,15,67,97034.6,3531.21,717.97,199.72,58.24,216.88,0.2033,0.0566,0.0165,0.0796
2025-01-01,0,1144,501774.68,494020.63,125911.44,65695.1,21790.47,4624.68,0.2549,0.133,0.0441,0.0092
2025-01-01,1,1144,501774.68,357651.52999999997,96320.44,52340.49,13704.03,8920.97,0.2693,0.1463,0.0383,0.027
2025-01-01,2,1144,501774.68,233477.17,52479.28,16600.07,5204.51,8462.41,0.2248,0.0711,0.0223,0.0439
2025-01-01,3,1144,501774.68,163516.09,35325.33,10483.039999999999,4811.14,6557.41,0.216,0.0641,0.0294,0.0569
2025-01-01,4,1144,501774.68,126585.82,32513.88,10741.42,1526.22,5437.66,0.2569,0.0849,0.0121,0.0678
2025-01-01,5,1144,501774.68,91470.64,17584.4,4917.2,1805.08,3194.58,0.1922,0.0538,0.0197,0.0741
2025-01-01,6,564,399299.12,58441.48,14187.64,4366.22,534.37,1659.24,0.2428,0.0747,0.0091,0.0774
2025-01-01,7,281,281781.83,44160.36,9794.84,2170.27,1008.0699999999999,2520.32,0.2218,0.0491,0.0228,0.0825
2025-01-01,8,281,281781.83,37124.33,9872.05,4836.56,2206.97,1826.08,0.2659,0.1303,0.0594,0.0861
2025-01-01,9,281,281781.83,29499.8,4906.5599999999995,865.57,95.85,1475.42,0.1663,0.0293,0.0032,0.089
2025-01-01,10,58,97932.86,14992.87,2600.66,131.91,0.0,878.51,0.1735,0.0088,0.0,0.0908
2025-01-01,11,58,97932.86,7496.43,564.62,0.0,0.0,439.26,0.0753,0.0,0.0,0.0917
2025-01-01,12,58,97932.86,3598.29,912.15,112.97,39.19,210.83999999999997,0.2535,0.0314,0.0109,0.0921
2025-01-01,13,58,97932.86,3524.5099999999998,966.25,315.38,209.8,256.95,0.2742,0.0895,0.0595,0.0926
2025-01-01,14,58,97932.86,3524.5099999999998,923.48,236.77,86.11,256.95,0.262,0.0672,0.0244,0.0931
2025-01-01,15,58,97932.86,3524.5099999999998,424.61,31.66,31.66,256.95,0.1205,0.009,0.009,0.0936
2025-02-01,0,1048,456428.61,454237.34,122751.04,62071.58,20938.7,1165.6399999999999,0.2702,0.1367,0.0461,0.0026
2025-02-01,1,1048,456428.61,330117.98,100348.13,44696.46,13030.07,4694.93,0.304,0.1354,0.0395,0.0128
2025-02-01,2,1048,456428.61,216156.15,49823.5,22131.69,12847.92,4845.78,0.2305,0.1024,0.0594,0.0235
2025-02-01,3,1048,456428.61,146885.95,33455.89,12546.66,3622.72,5218.0,0.2278,0.0854,0.0247,0.0349
2025-02-01,4,1048,456428.61,111836.63,33266.04,14530.7,5406.06,4715.349999999999,0.2975,0.1299,0.0483,0.0452
2025-02-01,5,1048,456428.61,75204.74,16031.66,6146.93,3318.46,5136.92,0.2132,0.0817,0.0441,0.0565
2025-02-01,6,533,367247.34,44957.13,9571.07,5657.1900000000005,1963.31,3833.73,0.2129,0.1258,0.0437,0.0649
2025-02-01,7,274,255502.2,35385.13,9456.46,4094.02,2259.0699999999997,2924.32,0.2672,0.1157,0.0638,0.0713
2025-02-01,8,274,255502.2,29471.18,7054.18,1578.8,1201.68,2485.04,0.2394,0.0536,0.0408,0.0767
2025-02-01,9,274,255502.2,23785.6,3478.29,1379.26,605.94,1913.16,0.1462,0.058,0.0255,0.0809
2025-02-01,10,58,79622.44,11537.28,1780.19,631.08,0.0,1052.31,0.1543,0.0547,0.0,0.0832
2025-02-01,11,58,79622.44,5768.67,1083.29,389.33000000000004,148.96,526.15,0.1878,0.0675,0.0258,0.0844
2025-02-01,12,58,79622.44,2697.44,627.99,120.21,0.0,297.26,0.2328,0.0446,0.0,0.085
2025-02-01,13,58,79622.44,2688.98,720.52,188.81,0.0,302.55,0.268,0.0702,0.0,0.0857
2025-02-01,14,58,79622.44,2688.98,784.86,216.04000000000002,125.22,302.55,0.2919,0.0803,0.0466,0.0864
2025-02-01,15,58,79622.44,2688.98,372.32,180.19,32.53,302.55,0.1385,0.067,0.0121,0.087
2025-03-01,0,1203,508102.11,505459.5,142410.16,81259.39,19278.73,1450.33,0.2817,0.1608,0.0381,0.0029
