MonthStart,NewUsers,KycSubmitted,KycApproved,ActivatedUsers,FundedAccounts,ActiveUsers,ChurnedUsers,DormantCustomers,ChurnRiskUsers,DepositVolume,TotalRevenue,GrossProfit,MarketingSpend,MonthLabel,MonthIndex,KycCompletionRate,ActivationRate,FundedRate,CAC,ChurnRate,ARPU,LTV,LTVCACRatio,PaybackMonths,MarketingROI
2025-04-01,7924,6132,5025,3082,1564,11124,558,1429,662,6986244.6,109218.64,75295.08,502815.35,Apr 2025,16,0.6341494194851085,0.3889449772841999,0.19737506309944472,321.4931905370844,0.04776579352850539,9.81828838547285,139.77442033151223,0.4347663479217274,47.49699783218939,-0.8502530203184926
2025-05-01,7527,5772,4707,2866,1458,11815,597,1522,702,7713742.17,115607.81,79580.66,489099.17000000004,May 2025,17,0.625348744519729,0.380762588016474,0.1937026703866082,335.4589643347051,0.048098614244279726,9.784833685992382,138.33427451116495,0.41237316398896867,49.80415673374085,-0.8372913615862402
2025-06-01,7703,5973,4887,2968,1485,12637,645,1546,719,7757089.62,120360.86,83351.52,464088.05,Jun 2025,18,0.6344281448786188,0.3853044268466831,0.1927820329741659,312.51720538720537,0.048561963559704865,9.524480493788083,133.36871619314024,0.42675639578914665,47.38101866022496,-0.8203971854047954
2025-07-01,7823,6004,4901,3042,1541,13125,698,1767,829,8129873.92,131102.55000000002,91355.44,494520.68,Jul 2025,19,0.6264860028122203,0.3888533810558609,0.196983254505944,320.90894224529524,0.05049555089343847,9.988765714285716,134.5140426341384,0.41916576612975476,46.10486104570784,-0.8152646720456665
2025-08-01,7566,5752,4675,2845,1428,13702,739,1835,863,8097644.36,133640.28,92834.59999999999,477091.39999999997,Aug 2025,20,0.6178958498546128,0.3760243193232884,0.1887390959555908,334.09761904761905,0.051173741430648845,9.75334111808495,129.6030302823546,0.38791964651469796,49.311415961187706,-0.805415482232545
2025-09-01,7493,5787,4725,2887,1454,14261,763,1910,894,8632266.38,140170.48,96152.1,449591.61,Sep 2025,21,0.6305885493126918,0.38529294007740555,0.1940477779260643,309.21018569463547,0.05078541001064963,9.82893766215553,131.60625480554756,0.4256206971639577,45.86115600378147,-0.7861345766661438
2025-10-01,7625,5936,4801,2953,1474,14807,835,1989,945,8906204.74,145308.16,101457.67,474326.91,Oct 2025,22,0.6296393442622951,0.3872786885245902,0.19331147540983606,321.79573270013566,0.05338192047052807,9.813477409333423,125.00795362038266,0.3884698922868282,46.96371811111874,-0.7861018047658312
2025-11-01,7887,6072,5000,3102,1569,15390,811,2062,962,9022976.58,150128.83,104505.94,491373.41,Nov 2025,23,0.6339546088500063,0.39330543933054396,0.19893495625713198,313.1761695347355,0.050058638355657055,9.754959714100064,132.51204634171629,0.42312301902976973,46.11968706409969,-0.7873186910948233
2025-12-01,8278,6334,5186,3159,1615,16139,829,2072,957,9530878.42,156835.65,106736.24,505478.22,Dec 2025,24,0.6264798260449383,0.3816139164049287,0.19509543367963275,312.9896099071207,0.048856671381423855,9.71780469669744,135.25496123476753,0.4321388217164917,47.32543805450727,-0.7888410701454159
2026-01-01,9086,7004,5729,3468,1770,16981,867,2107,973,10420477.27,166726.53,113874.09,584681.74,Jan 2026,25,0.6305304864626898,0.38168611049966983,0.19480519480519481,330.32866666666666,0.04857687135813536,9.818416465461398,137.44242907886672,0.41607781263973476,49.258888379847136,-0.8052374784271525
2026-02-01,9778,7602,6237,3779,1976,17572,954,2409,1136,11231191.28,171477.05,118578.19,633206.6900000001,Feb 2026,26,0.6378605031703825,0.38647985273061974,0.2020863162200859,320.44872975708506,0.0514951959408399,9.758539153198269,128.862634716418,0.4021318318662141,47.4870216798848,-0.8127338326131709
2026-03-01,10243,7835,6416,3954,1989,18536,972,2414,1125,11538811.5,185035.83,129993.27,605454.48,Mar 2026,27,0.6263789905301181,0.3860197207849263,0.19418139217026262,304.4014479638009,0.04982571252819356,9.982511329305135,136.23704227182873,0.44755714265863117,43.40521043479415,-0.7852963776896984
2026-04-01,9937,7740,6318,3866,1956,19254,1046,2547,1196,11633853.97,193133.94,130619.12,607330.83,Apr 2026,28,0.6358055751232766,0.3890510214350408,0.19684009258327462,310.4963343558282,0.051527093596059115,10.030847616079775,132.3765014267354,0.42633837111594425,45.76892281686721,-0.7849292123042725
2026-05-01,10443,8080,6593,4037,2024,19928,1054,2706,1263,12449790.18,200852.42,141885.53,661230.23,May 2026,29,0.6313319927223978,0.38657473905965717,0.19381403811165374,326.69477766798417,0.05023353350490897,10.078905058209555,136.43586189119543,0.41762486338197147,45.88468978737711,-0.7854218945797441
