UserID,ChannelKey,SegmentKey,RiskBand,RiskScore,DormantDays,Balance,EstimatedLTV,RecommendedAction
NB0000074,paid_search,freelancer,High,83.4,171,1398.84,58.02,Fee waiver
NB0000206,partner,freelancer,High,83.2,205,2332.79,138.56,Fee waiver
NB0000188,partner,mass,High,82.9,215,872.3,122.31,Fee waiver
NB0000018,organic,affluent,High,82.9,194,637.71,79.27,Fee waiver
NB0000008,organic,mass,High,82.8,190,2423.87,126.59,Fee waiver
NB0000189,partner,mass,High,82.8,195,1594.64,98.22,Fee waiver
NB0000120,paid_social,freelancer,High,82.3,187,1146.84,61.5,Fee waiver
NB0000024,organic,affluent,High,81.7,208,538.99,87.59,Fee waiver
NB0000107,paid_social,mass,High,81.6,179,425.81,59.69,Fee waiver
NB0000061,paid_search,mass,High,81.4,193,1232.27,124.96,Fee waiver
NB0000106,paid_social,mass,High,81.4,166,1017.43,80.88,Fee waiver
NB0000068,paid_search,affluent,High,81.4,175,1128.29,65.86,Fee waiver
NB0000009,organic,mass,High,81.3,202,2322.27,47.75,Fee waiver
NB0000197,partner,affluent,High,81.1,194,373.53,66.37,Fee waiver
NB0000054,paid_search,mass,High,81.0,239,2084.72,169.0,Fee waiver
NB0000153,referral,mass,High,81.0,218,1235.74,104.15,Fee waiver
NB0000119,paid_social,affluent,High,80.9,189,292.81,99.52,Fee waiver
NB0000230,lifecycle,affluent,High,80.4,186,1757.4,35.65,Fee waiver
NB0000135,referral,mass,High,79.5,162,1099.51,108.89,Fee waiver
NB0000213,partner,smb,High,79.2,174,822.5,129.61,Fee waiver
NB0000176,partner,mass,High,79.2,178,574.76,122.03,Fee waiver
NB0000034,organic,smb,High,78.9,168,398.99,82.03,Fee waiver
NB0000228,lifecycle,mass,High,78.6,195,1190.99,53.33,Fee waiver
NB0000014,organic,mass,High,78.3,209,786.56,85.81,Fee waiver
NB0000165,referral,freelancer,High,78.3,177,2053.49,70.65,Fee waiver
NB0000226,lifecycle,mass,High,78.3,193,512.98,56.49,Fee waiver
NB0000097,paid_social,mass,High,78.3,180,275.46,48.78,Fee waiver
NB0000032,organic,freelancer,High,78.1,140,3761.82,69.02,Fee waiver
NB0000177,partner,mass,High,77.9,180,387.99,117.76,Fee waiver
NB0000157,referral,affluent,High,77.7,185,445.15,54.35,Fee waiver
NB0000243,lifecycle,smb,High,77.3,170,1161.74,212.73,Fee waiver
NB0000042,paid_search,mass,High,77.0,160,3506.55,168.7,Fee waiver
NB0000174,partner,mass,High,76.6,173,941.21,277.79,Fee waiver
NB0000234,lifecycle,affluent,High,76.6,195,1894.81,132.74,Fee waiver
NB0000053,paid_search,mass,High,76.6,176,636.87,39.89,Fee waiver
NB0000173,partner,mass,High,76.5,185,1863.86,97.49,Fee waiver
NB0000161,referral,affluent,High,75.9,187,412.43,76.2,Fee waiver
NB0000240,lifecycle,freelancer,High,75.9,171,1227.55,53.72,Fee waiver
NB0000227,lifecycle,mass,High,75.8,187,891.49,46.58,Fee waiver
NB0000019,organic,affluent,High,75.7,189,1125.9,67.19,Fee waiver
NB0000038,paid_search,mass,High,75.4,200,5266.1,136.8,Fee waiver
NB0000142,referral,mass,High,75.2,199,1656.53,80.58,Fee waiver
NB0000017,organic,affluent,High,75.0,208,772.65,147.12,Fee waiver
NB0000159,referral,affluent,High,75.0,168,2136.77,121.63,Fee waiver
NB0000118,paid_social,affluent,High,74.9,165,2280.91,64.71,Fee waiver
NB0000169,referral,freelancer,High,74.7,186,822.72,86.17,Fee waiver
NB0000052,paid_search,mass,High,74.2,190,2191.64,43.42,Fee waiver
NB0000051,paid_search,mass,High,74.2,168,466.11,42.66,Fee waiver
NB0000146,referral,mass,High,74.0,185,1680.95,35.0,Fee waiver
NB0000027,organic,freelancer,High,73.8,195,1351.23,35.0,Fee waiver
NB0000104,paid_social,mass,High,73.7,162,332.84,88.96,Fee waiver
NB0000126,paid_social,freelancer,High,73.3,140,2238.67,320.7,Fee waiver
NB0000149,referral,mass,High,73.3,167,1170.71,191.71,Fee waiver
NB0000218,lifecycle,mass,High,73.3,196,1506.49,68.69,Fee waiver
NB0000156,referral,affluent,High,73.2,178,1870.06,49.58,Fee waiver
NB0000205,partner,freelancer,High,73.0,168,1500.1,77.26,Fee waiver
NB0000192,partner,mass,High,72.9,162,1611.64,70.33,Fee waiver
NB0000109,paid_social,affluent,High,72.8,169,1866.17,110.01,Fee waiver
NB0000015,organic,mass,High,72.7,168,303.4,53.1,Fee waiver
NB0000134,referral,mass,High,72.6,178,835.51,46.83,Fee waiver
NB0000220,lifecycle,mass,High,72.5,162,1627.59,104.04,Fee waiver
NB0000082,paid_search,smb,High,72.5,169,1689.8,35.0,Fee waiver
NB0000011,organic,mass,High,72.4,170,2670.88,216.42,Fee waiver
NB0000193,partner,mass,High,72.4,176,1597.0,66.94,Fee waiver
NB0000172,referral,smb,High,72.3,195,799.88,156.73,Fee waiver
NB0000006,organic,mass,High,72.3,168,1800.55,114.46,Fee waiver
NB0000207,partner,freelancer,High,72.3,160,1495.54,95.62,Fee waiver
NB0000110,paid_social,affluent,High,72.3,185,465.64,63.5,Fee waiver
NB0000108,paid_social,affluent,High,72.3,167,1925.97,54.33,Fee waiver
NB0000036,paid_search,mass,High,71.6,191,1018.41,38.04,Fee waiver
NB0000239,lifecycle,freelancer,High,71.5,183,303.33,35.0,Fee waiver
NB0000122,paid_social,freelancer,High,71.4,146,266.29,59.59,Fee waiver
NB0000078,paid_search,freelancer,High,71.3,178,1640.06,84.84,Fee waiver
NB0000043,paid_search,mass,High,71.3,225,2449.58,75.36,Fee waiver
NB0000185,partner,mass,High,71.2,126,903.25,46.2,Fee waiver
NB0000026,organic,freelancer,High,71.1,178,1450.23,182.55,Fee waiver
NB0000242,lifecycle,smb,High,70.9,171,982.85,73.97,Fee waiver
NB0000168,referral,freelancer,High,70.8,167,516.27,35.0,Fee waiver
NB0000229,lifecycle,affluent,High,70.7,165,1292.4,82.67,Fee waiver
NB0000129,paid_social,smb,High,70.6,180,1199.81,195.02,Fee waiver
NB0000048,paid_search,mass,High,70.6,166,684.67,193.09,Fee waiver
NB0000021,organic,affluent,High,70.2,201,1541.35,35.0,Fee waiver
NB0000182,partner,mass,High,70.1,157,1969.33,268.21,Fee waiver
NB0000198,partner,affluent,High,69.7,129,1033.89,139.94,Fee waiver
NB0000225,lifecycle,mass,High,69.2,181,1015.76,190.65,Fee waiver
NB0000005,organic,mass,High,69.2,212,1227.5,88.46,Fee waiver
NB0000049,paid_search,mass,High,69.2,148,559.83,88.36,Fee waiver
NB0000219,lifecycle,mass,High,68.9,163,1450.25,127.44,Fee waiver
NB0000139,referral,mass,High,68.9,191,2370.08,116.32,Fee waiver
NB0000047,paid_search,mass,High,68.9,195,200.04,94.33,Fee waiver
NB0000212,partner,smb,High,68.7,171,1912.14,138.04,Fee waiver
NB0000128,paid_social,smb,High,68.7,152,1457.08,96.26,Fee waiver
NB0000081,paid_search,smb,High,68.4,153,1222.27,111.62,Fee waiver
NB0000123,paid_social,freelancer,High,68.3,146,4241.39,60.85,Fee waiver
NB0000116,paid_social,affluent,High,68.3,163,2450.34,48.68,Fee waiver
NB0000029,organic,freelancer,High,68.2,175,4258.9,81.38,Fee waiver
NB0000155,referral,affluent,High,68.2,126,681.91,57.83,Fee waiver
NB0000091,paid_social,mass,High,68.1,150,1236.42,44.82,Fee waiver
NB0000041,paid_search,mass,High,67.2,178,546.67,150.91,Fee waiver
NB0000079,paid_search,freelancer,High,67.1,147,758.46,110.98,Fee waiver
NB0000039,paid_search,mass,Medium,66.9,199,2962.6,231.2,Cashback nudge
NB0000127,paid_social,freelancer,Medium,66.7,144,955.3,120.47,Cashback nudge
NB0000214,lifecycle,mass,Medium,66.6,144,504.6,35.0,Cashback nudge
NB0000181,partner,mass,Medium,66.3,212,1813.75,39.66,Cashback nudge
NB0000211,partner,smb,Medium,66.2,127,1844.73,98.97,Cashback nudge
NB0000101,paid_social,mass,Medium,66.0,154,1729.46,203.53,Cashback nudge
NB0000060,paid_search,mass,Medium,65.4,167,1318.71,134.61,Cashback nudge
NB0000151,referral,mass,Medium,65.2,129,2581.07,117.45,Cashback nudge
NB0000111,paid_social,affluent,Medium,65.1,157,1111.85,75.85,Cashback nudge
NB0000121,paid_social,freelancer,Medium,65.0,155,680.27,111.31,Cashback nudge
NB0000103,paid_social,mass,Medium,64.9,144,1551.65,53.16,Cashback nudge
NB0000084,paid_search,smb,Medium,64.9,196,1087.16,35.0,Cashback nudge
NB0000152,referral,mass,Medium,64.8,168,1242.96,35.83,Cashback nudge
NB0000057,paid_search,mass,Medium,64.7,135,1075.16,159.8,Cashback nudge
NB0000221,lifecycle,mass,Medium,64.5,164,1339.46,161.84,Cashback nudge
NB0000012,organic,mass,Medium,64.3,111,701.29,173.8,Cashback nudge
NB0000113,paid_social,affluent,Medium,64.2,147,3081.96,73.66,Cashback nudge
NB0000187,partner,mass,Medium,64.1,196,1057.41,65.6,Cashback nudge
NB0000175,partner,mass,Medium,64.0,149,5685.73,58.54,Cashback nudge
NB0000023,organic,affluent,Medium,63.9,132,1157.35,164.06,Cashback nudge
NB0000138,referral,mass,Medium,63.8,170,1824.43,35.0,Cashback nudge
NB0000204,partner,freelancer,Medium,63.7,147,1152.25,35.0,Cashback nudge
NB0000154,referral,mass,Medium,63.5,153,1783.14,44.58,Cashback nudge
NB0000200,partner,affluent,Medium,63.4,144,1327.2,62.79,Cashback nudge
NB0000224,lifecycle,mass,Medium,63.4,162,1773.75,60.2,Cashback nudge
NB0000170,referral,smb,Medium,63.1,149,995.53,326.31,Cashback nudge
NB0000195,partner,affluent,Medium,63.1,147,247.5,71.66,Cashback nudge
NB0000045,paid_search,mass,Medium,63.0,160,598.14,227.68,Cashback nudge
NB0000136,referral,mass,Medium,62.7,149,891.18,57.92,Cashback nudge
NB0000115,paid_social,affluent,Medium,62.3,166,722.24,43.56,Cashback nudge
NB0000063,paid_search,affluent,Medium,62.1,137,1685.76,110.01,Cashback nudge
NB0000241,lifecycle,freelancer,Medium,62.0,181,1316.91,53.32,Cashback nudge
NB0000099,paid_social,mass,Medium,61.9,163,708.56,97.13,Cashback nudge
NB0000094,paid_social,mass,Medium,61.7,151,2416.82,193.42,Cashback nudge
NB0000050,paid_search,mass,Medium,61.1,164,1777.61,188.82,Cashback nudge
NB0000196,partner,affluent,Medium,61.0,157,1990.21,83.5,Cashback nudge
NB0000001,organic,mass,Medium,61.0,154,309.05,54.74,Cashback nudge
NB0000202,partner,affluent,Medium,60.9,110,1066.13,211.68,Cashback nudge
NB0000071,paid_search,affluent,Medium,60.7,139,358.44,52.41,Cashback nudge
NB0000022,organic,affluent,Medium,60.7,104,643.62,50.51,Cashback nudge
NB0000150,referral,mass,Medium,60.3,158,723.05,67.21,Cashback nudge
NB0000056,paid_search,mass,Medium,60.3,132,871.28,41.94,Cashback nudge
NB0000105,paid_social,mass,Medium,59.8,133,1715.61,252.16,Cashback nudge
NB0000222,lifecycle,mass,Medium,59.8,149,454.99,36.88,Cashback nudge
NB0000013,organic,mass,Medium,59.7,151,839.73,35.0,Cashback nudge
NB0000236,lifecycle,affluent,Medium,59.6,132,842.45,48.41,Cashback nudge
NB0000076,paid_search,freelancer,Medium,59.6,169,2310.84,44.47,Cashback nudge
NB0000131,paid_social,smb,Medium,59.6,165,744.42,41.16,Cashback nudge
NB0000007,organic,mass,Medium,59.5,125,406.0,161.96,Cashback nudge
NB0000098,paid_social,mass,Medium,59.5,118,2208.51,151.77,Cashback nudge
NB0000145,referral,mass,Medium,59.3,132,1879.37,157.09,Cashback nudge
NB0000028,organic,freelancer,Medium,59.2,145,2108.86,103.24,Cashback nudge
NB0000065,paid_search,affluent,Medium,59.0,123,2228.62,174.43,Cashback nudge
NB0000069,paid_search,affluent,Medium,58.2,132,3219.29,140.9,Cashback nudge
NB0000114,paid_social,affluent,Medium,58.0,146,1470.49,106.86,Cashback nudge
NB0000190,partner,mass,Medium,57.8,132,955.94,82.69,Cashback nudge
NB0000086,paid_social,mass,Medium,57.6,151,684.84,183.6,Cashback nudge
NB0000077,paid_search,freelancer,Medium,56.8,150,385.02,89.62,Cashback nudge
NB0000088,paid_social,mass,Medium,56.6,115,4242.26,90.42,Cashback nudge
NB0000132,paid_social,smb,Medium,55.0,119,926.67,148.98,Cashback nudge
NB0000162,referral,affluent,Medium,54.6,131,929.82,45.27,Cashback nudge
NB0000087,paid_social,mass,Medium,52.8,117,1124.24,113.87,Cashback nudge
NB0000064,paid_search,affluent,Medium,52.7,99,1798.45,65.17,Cashback nudge
NB0000180,partner,mass,Medium,52.4,125,1364.8,58.99,Cashback nudge
NB0000112,paid_social,affluent,Medium,52.3,118,1673.15,166.74,Cashback nudge
NB0000186,partner,mass,Medium,52.3,125,602.06,83.62,Cashback nudge
NB0000085,paid_social,mass,Medium,51.6,116,1547.74,38.48,Cashback nudge
NB0000002,organic,mass,Medium,51.6,127,1592.19,37.63,Cashback nudge
NB0000130,paid_social,smb,Medium,50.9,89,1788.27,141.48,Cashback nudge
NB0000031,organic,freelancer,Medium,50.9,92,1525.2,44.03,Cashback nudge
NB0000237,lifecycle,freelancer,Medium,49.6,112,707.68,164.74,Cashback nudge
NB0000209,partner,freelancer,Medium,49.2,128,371.57,110.05,Cashback nudge
NB0000191,partner,mass,Medium,49.1,121,1248.72,323.93,Cashback nudge
NB0000058,paid_search,mass,Medium,48.4,107,2640.45,45.37,Cashback nudge
NB0000217,lifecycle,mass,Medium,48.1,115,1233.42,299.74,Cashback nudge
NB0000238,lifecycle,freelancer,Medium,48.0,123,717.52,35.0,Cashback nudge
NB0000183,partner,mass,Medium,47.9,131,785.73,65.24,Cashback nudge
NB0000201,partner,affluent,Medium,47.8,125,2974.06,83.18,Cashback nudge
NB0000066,paid_search,affluent,Medium,46.1,140,383.29,75.63,Cashback nudge
NB0000096,paid_social,mass,Medium,44.3,94,2857.06,122.71,Cashback nudge
NB0000244,lifecycle,smb,Medium,43.1,134,835.34,196.29,Cashback nudge
NB0000095,paid_social,mass,Medium,42.3,101,526.0,58.65,Cashback nudge
NB0000073,paid_search,freelancer,Low,42.0,101,1491.93,38.35,Monitor
NB0000080,paid_search,freelancer,Low,39.3,107,743.03,226.05,Monitor
NB0000092,paid_social,mass,Low,37.6,86,1711.8,56.14,Monitor
NB0000179,partner,mass,Low,37.2,94,317.48,70.83,Monitor
NB0000059,paid_search,mass,Low,35.3,81,1416.83,197.74,Monitor
NB0000178,partner,mass,Low,33.2,78,1504.35,35.0,Monitor
NB0000035,organic,smb,Low,28.9,91,957.16,93.96,Monitor
