MonthStart,CampaignKey,ChannelKey,Spend,NewUsers,FundedAccounts,Revenue,GrossProfit
2024-05-01,appstore,organic,12221.11,431,82,3264.45,2242.41
2024-05-01,brand_search,paid_search,75326.74,733,129,4463.25,3018.85
2024-05-01,competitor,paid_search,39543.99,385,68,2343.05,1584.79
2024-05-01,creator_cashback,paid_social,100101.29,805,127,4336.08,3080.23
2024-05-01,salary_lookalike,paid_social,44725.51,359,56,1937.37,1376.25
2024-05-01,member_ref,referral,10178.04,496,98,4227.38,2874.49
2024-05-01,payroll_ref,referral,8854.07,431,85,3677.48,2500.57
2024-05-01,payroll_partner,partner,20451.71,487,104,3906.13,2678.67
2024-05-01,wallet_bundle,partner,17404.22,415,88,3324.08,2279.53
2024-05-01,winback,lifecycle,7446.65,419,81,2963.18,2003.82
2024-05-01,kyc_reminder,lifecycle,8238.94,464,89,3278.45,2217.01
2024-06-01,seo_guides,organic,16256.92,609,130,6143.15,4113.0
2024-06-01,appstore,organic,6664.46,249,53,2518.36,1686.11
2024-06-01,brand_search,paid_search,63539.88,704,133,5378.66,3865.51
2024-06-01,competitor,paid_search,36129.8,400,76,3058.39,2197.99
2024-06-01,creator_cashback,paid_social,64956.29,585,96,3989.16,2634.71
2024-06-01,salary_lookalike,paid_social,68881.68,621,101,4230.23,2793.93
2024-06-01,member_ref,referral,7720.54,328,73,3203.05,2254.08
2024-06-01,payroll_ref,referral,13471.63,573,128,5589.03,3933.17
2024-06-01,payroll_partner,partner,15649.2,403,86,3436.35,2333.28
2024-06-01,wallet_bundle,partner,22553.51,581,124,4952.44,3362.7
2024-06-01,winback,lifecycle,5829.92,337,62,2945.05,2022.9
2024-06-01,kyc_reminder,lifecycle,6200.82,359,66,3132.42,2151.6
2024-07-01,seo_guides,organic,23518.26,697,152,7274.36,4871.87
2024-07-01,appstore,organic,4653.23,138,30,1439.28,963.93
2024-07-01,brand_search,paid_search,48777.59,503,91,4206.68,2870.37
2024-07-01,competitor,paid_search,50100.22,517,93,4320.74,2948.2
2024-07-01,creator_cashback,paid_social,91521.31,684,108,4798.37,3220.62
2024-07-01,salary_lookalike,paid_social,72999.85,546,86,3827.31,2568.86
2024-07-01,member_ref,referral,4492.9,207,47,2631.4,1841.86
2024-07-01,payroll_ref,referral,10795.47,498,113,6322.68,4425.58
2024-07-01,payroll_partner,partner,23829.27,623,125,7101.13,4789.17
2024-07-01,wallet_bundle,partner,16101.18,421,84,4798.15,3235.99
2024-07-01,winback,lifecycle,9957.79,511,97,4978.36,3404.88
2024-07-01,kyc_reminder,lifecycle,5039.81,258,49,2519.63,1723.27
2024-08-01,seo_guides,organic,27171.65,795,174,9842.06,6662.1
2024-08-01,appstore,organic,3935.68,115,25,1425.58,964.97
2024-08-01,brand_search,paid_search,29496.02,306,54,3114.29,2034.67
2024-08-01,competitor,paid_search,62621.66,651,115,6611.8,4319.71
2024-08-01,creator_cashback,paid_social,102035.67,895,139,7624.25,5132.44
2024-08-01,salary_lookalike,paid_social,30061.96,263,40,2246.27,1512.13
2024-08-01,member_ref,referral,15030.2,759,170,10071.94,7054.38
2024-08-01,payroll_ref,referral,2388.52,120,27,1600.58,1121.04
2024-08-01,payroll_partner,partner,26813.44,563,122,6797.07,4843.25
2024-08-01,wallet_bundle,partner,16760.05,352,76,4248.58,3027.33
2024-08-01,winback,lifecycle,4064.02,248,46,3109.13,2105.65
2024-08-01,kyc_reminder,lifecycle,5086.07,310,58,3891.04,2635.19
2024-09-01,seo_guides,organic,16979.08,583,127,8917.77,6187.85
2024-09-01,appstore,organic,8128.59,279,61,4269.31,2962.38
2024-09-01,brand_search,paid_search,43140.13,469,84,5490.24,3620.88
2024-09-01,competitor,paid_search,50230.56,546,98,6392.61,4216.0
2024-09-01,creator_cashback,paid_social,71225.49,609,91,5324.77,3545.97
2024-09-01,salary_lookalike,paid_social,72207.22,618,92,5398.16,3594.84
2024-09-01,member_ref,referral,15354.8,782,165,10955.41,7354.07
2024-09-01,payroll_ref,referral,530.39,27,5,378.42,254.03
2024-09-01,payroll_partner,partner,29765.65,817,158,10937.82,7270.31
2024-09-01,wallet_bundle,partner,8598.16,236,45,3159.52,2100.12
2024-09-01,winback,lifecycle,4868.86,255,51,3292.16,2299.69
2024-09-01,kyc_reminder,lifecycle,8480.28,444,89,5734.08,4005.46
2024-10-01,seo_guides,organic,17362.31,523,105,7395.84,5189.71
2024-10-01,appstore,organic,12073.73,363,73,5143.06,3608.92
2024-10-01,brand_search,paid_search,98969.5,998,183,11788.61,7870.78
2024-10-01,competitor,paid_search,4367.76,44,8,520.26,347.36
2024-10-01,creator_cashback,paid_social,45028.25,400,59,3751.28,2459.69
2024-10-01,salary_lookalike,paid_social,86241.61,766,113,7184.75,4711.0
2024-10-01,member_ref,referral,13310.06,665,144,10815.08,7517.98
2024-10-01,payroll_ref,referral,1618.3,80,17,1314.95,914.07
2024-10-01,payroll_partner,partner,7457.39,210,42,3042.48,2100.6
2024-10-01,wallet_bundle,partner,23742.8,669,134,9686.65,6687.87
2024-10-01,winback,lifecycle,1169.37,71,14,956.96,652.56
2024-10-01,kyc_reminder,lifecycle,10770.91,656,129,8814.42,6010.63
2024-11-01,seo_guides,organic,12976.87,502,103,7842.9,5356.16
2024-11-01,appstore,organic,9223.87,357,73,5574.68,3807.12
2024-11-01,brand_search,paid_search,57682.49,552,100,7088.46,4771.27
2024-11-01,competitor,paid_search,46610.66,446,80,5727.87,3855.45
2024-11-01,creator_cashback,paid_social,36137.18,273,45,3519.54,2418.36
2024-11-01,salary_lookalike,paid_social,97601.09,738,121,9505.75,6531.61
2024-11-01,member_ref,referral,13000.28,449,99,7449.4,4976.93
2024-11-01,payroll_ref,referral,9067.27,313,69,5195.72,3471.25
2024-11-01,payroll_partner,partner,5914.93,144,30,2154.06,1451.39
2024-11-01,wallet_bundle,partner,33094.67,808,170,12052.21,8120.67
2024-11-01,winback,lifecycle,5307.83,326,65,4572.92,3124.41
2024-11-01,kyc_reminder,lifecycle,6650.86,409,81,5729.99,3914.97
2024-12-01,seo_guides,organic,21341.42,674,132,10657.01,7506.54
2024-12-01,appstore,organic,9082.23,287,56,4535.28,3194.55
2024-12-01,brand_search,paid_search,62127.66,643,111,8093.3,5715.16
2024-12-01,competitor,paid_search,33435.49,346,59,4355.6,3075.75
2024-12-01,creator_cashback,paid_social,80838.69,666,114,7417.6,4981.41
2024-12-01,salary_lookalike,paid_social,80739.25,665,114,7408.47,4975.28
2024-12-01,member_ref,referral,16277.83,651,140,10714.43,7579.09
2024-12-01,payroll_ref,referral,4656.59,186,40,3065.07,2168.15
2024-12-01,payroll_partner,partner,8836.8,205,43,3189.52,2144.85
2024-12-01,wallet_bundle,partner,34766.08,807,170,12548.35,8438.34
2024-12-01,winback,lifecycle,16769.26,743,140,10536.1,7069.7
2024-12-01,kyc_reminder,lifecycle,2612.61,115,21,1641.5,1101.44
2025-01-01,seo_guides,organic,11181.67,332,71,4880.46,3309.84
2025-01-01,appstore,organic,21509.35,640,136,9388.18,6366.88
2025-01-01,brand_search,paid_search,66777.31,695,127,8417.5,5843.09
2025-01-01,competitor,paid_search,51060.81,532,97,6436.38,4467.88
2025-01-01,creator_cashback,paid_social,82836.69,653,114,7498.72,5364.95
2025-01-01,salary_lookalike,paid_social,86894.9,685,119,7866.09,5627.78
2025-01-01,member_ref,referral,6125.27,240,52,3883.06,2648.05
2025-01-01,payroll_ref,referral,17986.46,706,155,11402.35,7775.82
2025-01-01,payroll_partner,partner,10386.44,297,59,4557.1,3246.02
2025-01-01,wallet_bundle,partner,27657.24,793,157,12134.73,8643.56
2025-01-01,winback,lifecycle,12160.99,585,107,8142.77,5667.58
2025-01-01,kyc_reminder,lifecycle,5274.88,253,46,3531.96,2458.33
2025-02-01,seo_guides,organic,20157.56,693,143,10929.1,7905.35
2025-02-01,appstore,organic,12052.48,414,85,6534.65,4726.72
2025-02-01,brand_search,paid_search,80348.12,836,152,8951.25,6315.58
2025-02-01,competitor,paid_search,58042.05,604,109,6466.23,4562.26
2025-02-01,creator_cashback,paid_social,52760.81,433,68,4680.66,3127.7
2025-02-01,salary_lookalike,paid_social,142325.69,1170,184,12626.37,8437.17
2025-02-01,member_ref,referral,5340.72,268,59,4366.39,3043.14
2025-02-01,payroll_ref,referral,16761.54,842,187,13703.69,9550.72
2025-02-01,payroll_partner,partner,10152.76,289,57,4656.46,3121.98
2025-02-01,wallet_bundle,partner,30155.07,861,171,13830.32,9272.7
2025-02-01,winback,lifecycle,766.4,47,8,673.0,465.99
2025-02-01,kyc_reminder,lifecycle,14456.2,900,169,12694.53,8789.68
2025-03-01,seo_guides,organic,13686.45,537,111,7849.75,5388.21
2025-03-01,appstore,organic,17633.66,692,143,10113.64,6942.18
2025-03-01,brand_search,paid_search,133032.87,1244,226,15861.05,10926.54
2025-03-01,competitor,paid_search,21497.02,201,36,2563.02,1765.64
2025-03-01,creator_cashback,paid_social,136147.92,1227,195,13312.43,8873.78
2025-03-01,salary_lookalike,paid_social,35559.01,320,51,3476.93,2317.65
2025-03-01,member_ref,referral,14625.34,698,161,11838.62,8605.71
2025-03-01,payroll_ref,referral,6158.05,294,68,4984.69,3623.46
2025-03-01,payroll_partner,partner,10603.35,277,55,3981.51,2756.88
2025-03-01,wallet_bundle,partner,39225.46,1027,206,14729.0,10198.67
2025-03-01,winback,lifecycle,9224.43,457,87,6349.37,4208.94
2025-03-01,kyc_reminder,lifecycle,10574.62,524,100,7278.73,4825.01
2025-04-01,seo_guides,organic,19360.05,619,129,10397.75,7221.91
2025-04-01,appstore,organic,15564.07,497,104,8359.04,5805.89
2025-04-01,brand_search,paid_search,104102.79,1147,216,13066.66,9028.87
2025-04-01,competitor,paid_search,36656.65,404,76,4601.03,3179.24
2025-04-01,creator_cashback,paid_social,109015.16,855,141,9042.43,6259.77
2025-04-01,salary_lookalike,paid_social,120392.26,944,156,9986.12,6913.06
2025-04-01,member_ref,referral,14119.45,626,139,10439.65,7396.35
2025-04-01,payroll_ref,referral,11528.9,511,113,8524.25,6039.31
2025-04-01,payroll_partner,partner,17719.42,408,87,6730.08,4510.15
2025-04-01,wallet_bundle,partner,34669.71,800,171,13168.03,8824.54
2025-04-01,winback,lifecycle,21957.1,1135,228,14914.08,10139.35
2025-04-01,kyc_reminder,lifecycle,223.26,11,2,151.65,103.1
2025-05-01,seo_guides,organic,28401.84,911,185,15839.96,10747.38
2025-05-01,appstore,organic,10731.18,344,70,5984.88,4060.72
2025-05-01,brand_search,paid_search,45343.6,413,74,5493.65,3848.28
2025-05-01,competitor,paid_search,120567.69,1100,199,14607.5,10232.51
2025-05-01,creator_cashback,paid_social,136902.97,1108,180,12781.84,9152.9
2025-05-01,salary_lookalike,paid_social,60776.1,492,80,5674.31,4063.3
2025-05-01,member_ref,referral,7108.74,304,71,5836.69,3923.15
2025-05-01,payroll_ref,referral,18361.79,786,184,15076.12,10133.46
2025-05-01,payroll_partner,partner,42828.12,967,203,15761.0,10696.34
2025-05-01,wallet_bundle,partner,13891.6,313,65,5112.19,3469.43
2025-05-01,winback,lifecycle,6502.79,366,66,6122.24,4223.14
2025-05-01,kyc_reminder,lifecycle,7880.75,444,80,7419.56,5118.04
2025-06-01,seo_guides,organic,6608.54,235,49,4125.3,2858.99
2025-06-01,appstore,organic,24958.66,890,188,15580.12,10797.6
2025-06-01,brand_search,paid_search,31785.54,322,60,3964.06,2795.52
2025-06-01,competitor,paid_search,125562.0,1274,238,15659.18,11043.12
2025-06-01,creator_cashback,paid_social,143536.28,1215,188,13906.04,9187.45
2025-06-01,salary_lookalike,paid_social,75725.11,641,99,7336.38,4847.0
2025-06-01,member_ref,referral,13041.83,529,120,10597.0,7440.62
2025-06-01,payroll_ref,referral,16878.91,685,155,13714.78,9629.75
2025-06-01,payroll_partner,partner,9485.56,292,58,5535.99,3817.86
2025-06-01,wallet_bundle,partner,28879.54,890,177,16854.75,11623.78
2025-06-01,winback,lifecycle,4215.57,240,46,3893.33,2750.58
2025-06-01,kyc_reminder,lifecycle,12603.1,718,140,11639.71,8223.27
2025-07-01,seo_guides,organic,9134.52,310,68,5934.38,4172.17
2025-07-01,appstore,organic,28546.3,970,213,18545.52,13038.46
2025-07-01,brand_search,paid_search,64780.31,651,122,8334.36,5748.67
2025-07-01,competitor,paid_search,93478.01,939,176,12026.49,8295.33
2025-07-01,creator_cashback,paid_social,93324.27,718,120,9611.93,6609.09
2025-07-01,salary_lookalike,paid_social,131764.34,1014,170,13571.06,9331.36
2025-07-01,member_ref,referral,318.75,15,3,327.81,225.66
2025-07-01,payroll_ref,referral,22020.58,1063,238,22646.5,15589.76
2025-07-01,payroll_partner,partner,6731.39,189,38,3614.52,2566.31
2025-07-01,wallet_bundle,partner,40770.71,1146,234,21892.44,15543.65
2025-07-01,winback,lifecycle,12400.7,765,147,13653.44,9561.85
2025-07-01,kyc_reminder,lifecycle,2707.48,167,32,2980.99,2087.67
2025-08-01,seo_guides,organic,24132.05,797,172,17037.09,11929.6
2025-08-01,appstore,organic,9595.58,317,68,6774.43,4743.54
2025-08-01,brand_search,paid_search,59329.63,582,101,9077.54,6376.88
2025-08-01,competitor,paid_search,82620.95,810,140,12641.16,8880.28
2025-08-01,creator_cashback,paid_social,83358.57,685,112,8738.48,6017.73
2025-08-01,salary_lookalike,paid_social,108319.43,890,146,11355.13,7819.67
2025-08-01,member_ref,referral,5084.97,215,44,4359.75,3026.63
2025-08-01,payroll_ref,referral,24289.92,1031,213,20825.69,14457.61
2025-08-01,payroll_partner,partner,24749.75,624,124,13544.54,9561.41
2025-08-01,wallet_bundle,partner,22518.36,568,113,12323.39,8699.37
2025-08-01,winback,lifecycle,2397.16,130,24,2208.81,1472.25
2025-08-01,kyc_reminder,lifecycle,13839.08,753,139,12751.74,8499.48
2025-09-01,seo_guides,organic,39527.41,1177,247,23508.73,15983.19
2025-09-01,appstore,organic,4460.38,132,27,2652.79,1803.59
2025-09-01,brand_search,paid_search,41579.8,430,78,7271.22,4994.87
2025-09-01,competitor,paid_search,83241.94,862,156,14556.83,9999.63
2025-09-01,creator_cashback,paid_social,78009.52,659,108,8948.52,6321.08
2025-09-01,salary_lookalike,paid_social,84775.64,716,118,9724.67,6869.34
2025-09-01,member_ref,referral,9275.59,411,86,10051.82,6877.34
2025-09-01,payroll_ref,referral,15270.19,677,143,16548.09,11322.02
2025-09-01,payroll_partner,partner,11876.21,345,72,7370.17,4960.74
2025-09-01,wallet_bundle,partner,30136.58,877,182,18702.24,12588.15
2025-09-01,winback,lifecycle,6073.26,446,90,8350.29,5766.46
2025-09-01,kyc_reminder,lifecycle,5550.13,407,82,7631.02,5269.75
2025-10-01,seo_guides,organic,28842.89,942,202,18668.42,13075.97
2025-10-01,appstore,organic,9605.36,313,67,6217.02,4354.61
2025-10-01,brand_search,paid_search,95243.37,969,166,16481.17,11435.48
2025-10-01,competitor,paid_search,33857.68,344,59,5858.83,4065.15
2025-10-01,creator_cashback,paid_social,188560.32,1539,253,22419.85,15369.32
2025-10-01,salary_lookalike,paid_social,43188.35,352,58,5135.1,3520.23
2025-10-01,member_ref,referral,13793.41,603,127,14097.82,10046.2
2025-10-01,payroll_ref,referral,9957.02,435,91,10176.76,7252.03
2025-10-01,payroll_partner,partner,28965.07,729,153,15622.44,10786.23
2025-10-01,wallet_bundle,partner,17126.8,431,90,9237.42,6377.81
2025-10-01,winback,lifecycle,4568.76,271,56,5734.76,4063.19
2025-10-01,kyc_reminder,lifecycle,11709.95,696,144,14698.47,10414.15
2025-11-01,seo_guides,organic,18021.13,537,112,12002.74,8411.4
2025-11-01,appstore,organic,24784.04,739,155,16507.09,11568.0
2025-11-01,brand_search,paid_search,102710.33,976,184,15456.38,10824.27
2025-11-01,competitor,paid_search,67984.45,646,122,10230.65,7164.64
2025-11-01,creator_cashback,paid_social,110295.18,950,153,13688.21,9195.6
2025-11-01,salary_lookalike,paid_social,102837.47,886,143,12762.67,8573.83
2025-11-01,member_ref,referral,15382.55,663,154,15146.85,10598.23
2025-11-01,payroll_ref,referral,10474.27,451,105,10313.79,7216.54
2025-11-01,payroll_partner,partner,17513.06,471,101,10287.49,7362.49
2025-11-01,wallet_bundle,partner,28367.74,763,164,16663.72,11925.8
2025-11-01,winback,lifecycle,15794.27,883,179,17580.15,11991.69
2025-11-01,kyc_reminder,lifecycle,1595.1,89,18,1775.46,1211.07
2025-12-01,seo_guides,organic,11944.58,386,77,8655.89,5835.4
2025-12-01,appstore,organic,29679.38,961,193,21507.79,14499.55
2025-12-01,brand_search,paid_search,47503.52,509,94,8123.83,5647.7
2025-12-01,competitor,paid_search,104714.2,1122,208,17907.73,12449.49
2025-12-01,creator_cashback,paid_social,188064.82,1638,277,21053.11,14002.41
2025-12-01,salary_lookalike,paid_social,11477.38,100,16,1284.85,854.55
2025-12-01,member_ref,referral,15226.11,590,124,13580.85,9397.33
2025-12-01,payroll_ref,referral,14115.28,547,115,12590.05,8711.74
2025-12-01,payroll_partner,partner,25694.54,622,131,14174.43,9739.94
2025-12-01,wallet_bundle,partner,30414.0,737,155,16777.93,11528.93
2025-12-01,winback,lifecycle,5216.52,277,58,5698.56,3780.21
2025-12-01,kyc_reminder,lifecycle,10421.23,555,115,11384.21,7551.87
2026-01-01,seo_guides,organic,21834.59,727,149,16155.48,10892.27
2026-01-01,appstore,organic,21583.19,719,147,15969.47,10766.86
2026-01-01,brand_search,paid_search,71892.51,730,135,11837.1,8142.74
2026-01-01,competitor,paid_search,96804.18,983,182,15938.81,10964.3
2026-01-01,creator_cashback,paid_social,79768.05,654,107,8241.72,5696.65
2026-01-01,salary_lookalike,paid_social,172030.12,1412,231,17774.34,12285.57
2026-01-01,member_ref,referral,28323.66,1183,257,26856.39,18423.0
2026-01-01,payroll_ref,referral,4282.7,178,39,4060.84,2785.67
2026-01-01,payroll_partner,partner,45675.45,1065,224,21834.77,14735.04
2026-01-01,wallet_bundle,partner,14080.4,328,69,6731.02,4542.38
2026-01-01,winback,lifecycle,11603.0,638,131,12851.66,8817.34
2026-01-01,kyc_reminder,lifecycle,6028.51,331,68,6677.27,4581.18
2026-02-01,seo_guides,organic,13873.09,436,98,8181.91,5719.72
2026-02-01,appstore,organic,30047.5,945,213,17721.06,12388.25
2026-02-01,brand_search,paid_search,24564.65,226,43,3415.59,2417.24
2026-02-01,competitor,paid_search,192496.05,1775,338,26765.61,18942.24
2026-02-01,creator_cashback,paid_social,83283.45,657,110,9044.01,5956.46
2026-02-01,salary_lookalike,paid_social,174495.35,1378,232,18949.0,12479.97
2026-02-01,member_ref,referral,6221.15,228,50,5159.52,3542.1
2026-02-01,payroll_ref,referral,32160.95,1182,263,26672.74,18311.28
2026-02-01,payroll_partner,partner,42748.6,1105,236,21195.96,14632.71
2026-02-01,wallet_bundle,partner,32844.27,849,181,16285.11,11242.49
2026-02-01,winback,lifecycle,1348.77,106,22,1951.77,1387.75
2026-02-01,kyc_reminder,lifecycle,15273.94,1203,249,22102.53,15715.4
2026-03-01,seo_guides,organic,23118.28,841,185,18460.3,13102.75
2026-03-01,appstore,organic,19684.34,716,157,15718.25,11156.49
2026-03-01,brand_search,paid_search,193236.31,1907,343,29137.9,21361.75
2026-03-01,competitor,paid_search,6274.01,61,11,946.05,693.57
2026-03-01,creator_cashback,paid_social,122839.18,1076,173,14994.31,9959.48
2026-03-01,salary_lookalike,paid_social,143856.04,1260,202,17559.72,11663.48
2026-03-01,member_ref,referral,15183.08,788,180,17617.7,12783.45
2026-03-01,payroll_ref,referral,12407.95,644,147,14397.57,10446.91
2026-03-01,payroll_partner,partner,38931.73,1049,212,20249.21,13913.4
2026-03-01,wallet_bundle,partner,25454.26,686,139,13239.29,9096.83
2026-03-01,winback,lifecycle,3035.25,155,28,2772.75,1911.57
2026-03-01,kyc_reminder,lifecycle,22259.65,1143,212,20334.52,14018.88
2026-04-01,seo_guides,organic,22987.76,763,169,16991.76,11468.35
2026-04-01,appstore,organic,25851.85,858,190,19108.8,12897.22
2026-04-01,brand_search,paid_search,87253.61,968,170,15489.49,10533.25
2026-04-01,competitor,paid_search,80778.77,896,157,14340.06,9751.61
2026-04-01,creator_cashback,paid_social,98446.87,814,136,12341.43,8313.55
2026-04-01,salary_lookalike,paid_social,182324.46,1507,253,22856.43,15396.77
2026-04-01,member_ref,referral,29507.21,1175,269,26788.49,18428.04
2026-04-01,payroll_ref,referral,10640.63,423,97,9660.23,6645.36
2026-04-01,payroll_partner,partner,34841.5,827,171,18839.52,12640.54
2026-04-01,wallet_bundle,partner,35873.74,852,176,19397.67,13015.04
2026-04-01,winback,lifecycle,14646.85,802,157,16298.78,10924.04
2026-04-01,kyc_reminder,lifecycle,7148.43,391,76,7954.66,5331.5
2026-05-01,seo_guides,organic,14189.94,441,88,10063.03,6911.65
2026-05-01,appstore,organic,34626.99,1078,215,24556.29,16866.15
2026-05-01,brand_search,paid_search,82015.98,820,155,12837.61,8956.63
2026-05-01,competitor,paid_search,136394.7,1364,258,21349.27,14895.11
2026-05-01,creator_cashback,paid_social,47438.05,407,68,5742.14,4099.05
2026-05-01,salary_lookalike,paid_social,256996.09,2209,369,31108.09,22206.64
2026-05-01,member_ref,referral,27213.19,1129,253,26739.9,18428.06
2026-05-01,payroll_ref,referral,7641.81,317,71,7508.9,5174.83
2026-05-01,payroll_partner,partner,27538.32,617,122,13278.36,9586.91
2026-05-01,wallet_bundle,partner,56588.65,1268,252,27285.79,19700.19
2026-05-01,winback,lifecycle,16301.91,864,170,18637.68,13699.4
2026-05-01,kyc_reminder,lifecycle,8550.54,453,89,9775.68,7185.5
