CohortMonth,CohortLabel,ActivityMonth,MonthsSinceCohort,ChannelKey,SegmentKey,CohortSize,RetainedUsers,RetentionRate,Revenue,CumulativeRevenue,CumulativeLTV
2024-01-01,Jan 2024,2025-02-01,13,organic,affluent,32,14,0.4375,198.25,3743.52,116.98
2024-01-01,Jan 2024,2025-03-01,14,organic,affluent,32,13,0.4062,184.55,3928.07,122.75
2024-01-01,Jan 2024,2025-04-01,15,organic,affluent,32,12,0.375,158.0,4086.07,127.69
2024-01-01,Jan 2024,2025-05-01,16,organic,affluent,32,11,0.3438,156.67,4242.73,132.59
2024-01-01,Jan 2024,2025-06-01,17,organic,affluent,32,10,0.3125,137.06,4379.8,136.87
2024-01-01,Jan 2024,2025-07-01,18,organic,affluent,32,9,0.2812,126.06,4505.86,140.81
2024-01-01,Jan 2024,2025-08-01,19,organic,affluent,32,7,0.2188,97.52,4603.38,143.86
2024-01-01,Jan 2024,2025-09-01,20,organic,affluent,32,6,0.1875,86.12,4689.5,146.55
2024-01-01,Jan 2024,2025-10-01,21,organic,affluent,32,5,0.1562,65.14,4754.64,148.58
2024-01-01,Jan 2024,2025-11-01,22,organic,affluent,32,5,0.1562,71.8,4826.44,150.83
2024-01-01,Jan 2024,2025-12-01,23,organic,affluent,32,3,0.0938,42.41,4868.85,152.15
2024-01-01,Jan 2024,2026-01-01,24,organic,affluent,32,3,0.0938,45.74,4914.6,153.58
2024-01-01,Jan 2024,2026-02-01,25,organic,affluent,32,3,0.0938,45.04,4959.63,154.99
2024-01-01,Jan 2024,2026-03-01,26,organic,affluent,32,3,0.0938,44.3,5003.93,156.37
2024-01-01,Jan 2024,2026-04-01,27,organic,affluent,32,3,0.0938,45.2,5049.13,157.79
2024-01-01,Jan 2024,2026-05-01,28,organic,affluent,32,3,0.0938,43.88,5093.01,159.16
2024-01-01,Jan 2024,2024-01-01,0,organic,freelancer,28,25,0.8929,320.08,320.08,11.43
2024-01-01,Jan 2024,2024-02-01,1,organic,freelancer,28,23,0.8214,299.92,620.01,22.14
2024-01-01,Jan 2024,2024-03-01,2,organic,freelancer,28,22,0.7857,272.4,892.41,31.87
2024-01-01,Jan 2024,2024-04-01,3,organic,freelancer,28,23,0.8214,288.15,1180.56,42.16
2024-01-01,Jan 2024,2024-05-01,4,organic,freelancer,28,21,0.75,260.64,1441.2,51.47
2024-01-01,Jan 2024,2024-06-01,5,organic,freelancer,28,20,0.7143,243.42,1684.62,60.16
2024-01-01,Jan 2024,2024-07-01,6,organic,freelancer,28,19,0.6786,254.45,1939.07,69.25
2024-01-01,Jan 2024,2024-08-01,7,organic,freelancer,28,18,0.6429,224.35,2163.42,77.26
2024-01-01,Jan 2024,2024-09-01,8,organic,freelancer,28,17,0.6071,247.22,2410.64,86.09
2024-01-01,Jan 2024,2024-10-01,9,organic,freelancer,28,16,0.5714,178.08,2588.72,92.45
2024-01-01,Jan 2024,2024-11-01,10,organic,freelancer,28,15,0.5357,180.16,2768.87,98.89
2024-01-01,Jan 2024,2024-12-01,11,organic,freelancer,28,14,0.5,173.28,2942.16,105.08
2024-01-01,Jan 2024,2025-01-01,12,organic,freelancer,28,14,0.5,166.72,3108.88,111.03
2024-01-01,Jan 2024,2025-02-01,13,organic,freelancer,28,12,0.4286,157.82,3266.7,116.67
2024-01-01,Jan 2024,2025-03-01,14,organic,freelancer,28,11,0.3929,143.54,3410.24,121.79
2024-01-01,Jan 2024,2025-04-01,15,organic,freelancer,28,10,0.3571,125.62,3535.86,126.28
2024-01-01,Jan 2024,2025-05-01,16,organic,freelancer,28,9,0.3214,114.17,3650.04,130.36
2024-01-01,Jan 2024,2025-06-01,17,organic,freelancer,28,8,0.2857,106.04,3756.08,134.15
2024-01-01,Jan 2024,2025-07-01,18,organic,freelancer,28,7,0.25,104.06,3860.13,137.86
2024-01-01,Jan 2024,2025-08-01,19,organic,freelancer,28,7,0.25,99.15,3959.28,141.4
2024-01-01,Jan 2024,2025-09-01,20,organic,freelancer,28,5,0.1786,74.8,4034.08,144.07
2024-01-01,Jan 2024,2025-10-01,21,organic,freelancer,28,4,0.1429,65.45,4099.53,146.41
2024-01-01,Jan 2024,2025-11-01,22,organic,freelancer,28,4,0.1429,46.49,4146.02,148.07
2024-01-01,Jan 2024,2025-12-01,23,organic,freelancer,28,3,0.1071,45.07,4191.09,149.68
2024-01-01,Jan 2024,2026-01-01,24,organic,freelancer,28,3,0.1071,43.86,4234.95,151.25
2024-01-01,Jan 2024,2026-02-01,25,organic,freelancer,28,3,0.1071,48.22,4283.17,152.97
2024-01-01,Jan 2024,2026-03-01,26,organic,freelancer,28,3,0.1071,49.08,4332.25,154.72
2024-01-01,Jan 2024,2026-04-01,27,organic,freelancer,28,3,0.1071,39.6,4371.85,156.14
2024-01-01,Jan 2024,2026-05-01,28,organic,freelancer,28,3,0.1071,49.12,4420.97,157.89
2024-01-01,Jan 2024,2024-01-01,0,organic,smb,14,12,0.8571,134.94,134.94,9.64
2024-01-01,Jan 2024,2024-02-01,1,organic,smb,14,12,0.8571,155.11,290.05,20.72
2024-01-01,Jan 2024,2024-03-01,2,organic,smb,14,11,0.7857,132.77,422.82,30.2
2024-01-01,Jan 2024,2024-04-01,3,organic,smb,14,10,0.7143,128.58,551.39,39.39
2024-01-01,Jan 2024,2024-05-01,4,organic,smb,14,10,0.7143,138.37,689.77,49.27
2024-01-01,Jan 2024,2024-06-01,5,organic,smb,14,10,0.7143,123.27,813.04,58.07
2024-01-01,Jan 2024,2024-07-01,6,organic,smb,14,9,0.6429,112.18,925.22,66.09
2024-01-01,Jan 2024,2024-08-01,7,organic,smb,14,8,0.5714,89.52,1014.74,72.48
2024-01-01,Jan 2024,2024-09-01,8,organic,smb,14,8,0.5714,104.26,1119.0,79.93
2024-01-01,Jan 2024,2024-10-01,9,organic,smb,14,8,0.5714,113.25,1232.24,88.02
2024-01-01,Jan 2024,2024-11-01,10,organic,smb,14,7,0.5,88.35,1320.6,94.33
2024-01-01,Jan 2024,2024-12-01,11,organic,smb,14,7,0.5,93.38,1413.98,101.0
2024-01-01,Jan 2024,2025-01-01,12,organic,smb,14,6,0.4286,86.83,1500.81,107.2
2024-01-01,Jan 2024,2025-02-01,13,organic,smb,14,6,0.4286,99.1,1599.9,114.28
2024-01-01,Jan 2024,2025-03-01,14,organic,smb,14,5,0.3571,63.52,1663.42,118.82
2024-01-01,Jan 2024,2025-04-01,15,organic,smb,14,5,0.3571,61.15,1724.58,123.18
2024-01-01,Jan 2024,2025-05-01,16,organic,smb,14,4,0.2857,60.24,1784.82,127.49
2024-01-01,Jan 2024,2025-06-01,17,organic,smb,14,4,0.2857,53.3,1838.12,131.29
2024-01-01,Jan 2024,2025-07-01,18,organic,smb,14,3,0.2143,43.25,1881.37,134.38
2024-01-01,Jan 2024,2025-08-01,19,organic,smb,14,3,0.2143,41.69,1923.06,137.36
2024-01-01,Jan 2024,2025-09-01,20,organic,smb,14,3,0.2143,45.45,1968.51,140.61
2024-01-01,Jan 2024,2025-10-01,21,organic,smb,14,2,0.1429,33.66,2002.17,143.01
2024-01-01,Jan 2024,2025-11-01,22,organic,smb,14,1,0.0714,15.75,2017.92,144.14
2024-01-01,Jan 2024,2025-12-01,23,organic,smb,14,1,0.0714,16.88,2034.8,145.34
2024-01-01,Jan 2024,2026-01-01,24,organic,smb,14,1,0.0714,16.49,2051.29,146.52
2024-01-01,Jan 2024,2026-02-01,25,organic,smb,14,1,0.0714,13.81,2065.1,147.51
2024-01-01,Jan 2024,2026-03-01,26,organic,smb,14,1,0.0714,13.92,2079.02,148.5
2024-01-01,Jan 2024,2026-04-01,27,organic,smb,14,1,0.0714,14.3,2093.32,149.52
2024-01-01,Jan 2024,2026-05-01,28,organic,smb,14,1,0.0714,14.54,2107.87,150.56
2024-01-01,Jan 2024,2024-01-01,0,paid_search,mass,74,64,0.8649,877.37,877.37,11.86
2024-01-01,Jan 2024,2024-02-01,1,paid_search,mass,74,62,0.8378,741.82,1619.19,21.88
2024-01-01,Jan 2024,2024-03-01,2,paid_search,mass,74,59,0.7973,702.63,2321.82,31.38
2024-01-01,Jan 2024,2024-04-01,3,paid_search,mass,74,56,0.7568,671.2,2993.02,40.45
2024-01-01,Jan 2024,2024-05-01,4,paid_search,mass,74,54,0.7297,678.49,3671.51,49.61
2024-01-01,Jan 2024,2024-06-01,5,paid_search,mass,74,51,0.6892,656.6,4328.11,58.49
2024-01-01,Jan 2024,2024-07-01,6,paid_search,mass,74,48,0.6486,686.35,5014.45,67.76
2024-01-01,Jan 2024,2024-08-01,7,paid_search,mass,74,46,0.6216,560.12,5574.58,75.33
2024-01-01,Jan 2024,2024-09-01,8,paid_search,mass,74,45,0.6081,704.85,6279.42,84.86
2024-01-01,Jan 2024,2024-10-01,9,paid_search,mass,74,42,0.5676,498.25,6777.67,91.59
2024-01-01,Jan 2024,2024-11-01,10,paid_search,mass,74,39,0.527,442.59,7220.27,97.57
2024-01-01,Jan 2024,2024-12-01,11,paid_search,mass,74,36,0.4865,428.11,7648.38,103.36
2024-01-01,Jan 2024,2025-01-01,12,paid_search,mass,74,34,0.4595,458.97,8107.35,109.56
2024-01-01,Jan 2024,2025-02-01,13,paid_search,mass,74,33,0.4459,480.42,8587.77,116.05
2024-01-01,Jan 2024,2025-03-01,14,paid_search,mass,74,31,0.4189,464.47,9052.24,122.33
2024-01-01,Jan 2024,2025-04-01,15,paid_search,mass,74,28,0.3784,384.49,9436.73,127.52
2024-01-01,Jan 2024,2025-05-01,16,paid_search,mass,74,26,0.3514,333.47,9770.2,132.03
2024-01-01,Jan 2024,2025-06-01,17,paid_search,mass,74,22,0.2973,288.66,10058.85,135.93
2024-01-01,Jan 2024,2025-07-01,18,paid_search,mass,74,19,0.2568,298.86,10357.71,139.97
2024-01-01,Jan 2024,2025-08-01,19,paid_search,mass,74,17,0.2297,237.58,10595.29,143.18
2024-01-01,Jan 2024,2025-09-01,20,paid_search,mass,74,15,0.2027,234.45,10829.75,146.35
2024-01-01,Jan 2024,2025-10-01,21,paid_search,mass,74,14,0.1892,202.97,11032.72,149.09
2024-01-01,Jan 2024,2025-11-01,22,paid_search,mass,74,11,0.1486,165.25,11197.97,151.32
2024-01-01,Jan 2024,2025-12-01,23,paid_search,mass,74,8,0.1081,136.64,11334.61,153.17
2024-01-01,Jan 2024,2026-01-01,24,paid_search,mass,74,8,0.1081,103.76,11438.37,154.57
2024-01-01,Jan 2024,2026-02-01,25,paid_search,mass,74,8,0.1081,132.22,11570.58,156.36
2024-01-01,Jan 2024,2026-03-01,26,paid_search,mass,74,8,0.1081,107.23,11677.82,157.81
2024-01-01,Jan 2024,2026-04-01,27,paid_search,mass,74,8,0.1081,101.29,11779.1,159.18
2024-01-01,Jan 2024,2026-05-01,28,paid_search,mass,74,8,0.1081,125.11,11904.21,160.87
2024-01-01,Jan 2024,2024-01-01,0,paid_search,affluent,40,34,0.85,381.03,381.03,9.53
2024-01-01,Jan 2024,2024-02-01,1,paid_search,affluent,40,33,0.825,370.67,751.69,18.79
2024-01-01,Jan 2024,2024-03-01,2,paid_search,affluent,40,31,0.775,347.75,1099.45,27.49
2024-01-01,Jan 2024,2024-04-01,3,paid_search,affluent,40,30,0.75,357.6,1457.04,36.43
2024-01-01,Jan 2024,2024-05-01,4,paid_search,affluent,40,28,0.7,367.15,1824.19,45.6
2024-01-01,Jan 2024,2024-06-01,5,paid_search,affluent,40,27,0.675,402.35,2226.54,55.66
2024-01-01,Jan 2024,2024-07-01,6,paid_search,affluent,40,26,0.65,363.34,2589.89,64.75
2024-01-01,Jan 2024,2024-08-01,7,paid_search,affluent,40,26,0.65,296.89,2886.78,72.17
2024-01-01,Jan 2024,2024-09-01,8,paid_search,affluent,40,24,0.6,297.27,3184.05,79.6
2024-01-01,Jan 2024,2024-10-01,9,paid_search,affluent,40,23,0.575,305.27,3489.32,87.23
2024-01-01,Jan 2024,2024-11-01,10,paid_search,affluent,40,22,0.55,305.21,3794.54,94.86
2024-01-01,Jan 2024,2024-12-01,11,paid_search,affluent,40,20,0.5,276.12,4070.65,101.77
2024-01-01,Jan 2024,2025-01-01,12,paid_search,affluent,40,19,0.475,288.08,4358.74,108.97
2024-01-01,Jan 2024,2025-02-01,13,paid_search,affluent,40,17,0.425,253.51,4612.25,115.31
2024-01-01,Jan 2024,2025-03-01,14,paid_search,affluent,40,16,0.4,199.1,4811.35,120.28
2024-01-01,Jan 2024,2025-04-01,15,paid_search,affluent,40,14,0.35,185.69,4997.04,124.93
2024-01-01,Jan 2024,2025-05-01,16,paid_search,affluent,40,13,0.325,165.26,5162.3,129.06
2024-01-01,Jan 2024,2025-06-01,17,paid_search,affluent,40,11,0.275,150.45,5312.74,132.82
2024-01-01,Jan 2024,2025-07-01,18,paid_search,affluent,40,10,0.25,166.72,5479.47,136.99
2024-01-01,Jan 2024,2025-08-01,19,paid_search,affluent,40,9,0.225,136.34,5615.81,140.4
2024-01-01,Jan 2024,2025-09-01,20,paid_search,affluent,40,8,0.2,101.74,5717.55,142.94
2024-01-01,Jan 2024,2025-10-01,21,paid_search,affluent,40,7,0.175,100.86,5818.4,145.46
2024-01-01,Jan 2024,2025-11-01,22,paid_search,affluent,40,5,0.125,63.3,5881.71,147.04
2024-01-01,Jan 2024,2025-12-01,23,paid_search,affluent,40,4,0.1,57.8,5939.5,148.49
2024-01-01,Jan 2024,2026-01-01,24,paid_search,affluent,40,4,0.1,68.14,6007.65,150.19
2024-01-01,Jan 2024,2026-02-01,25,paid_search,affluent,40,4,0.1,65.25,6072.89,151.82
2024-01-01,Jan 2024,2026-03-01,26,paid_search,affluent,40,4,0.1,58.64,6131.53,153.29
2024-01-01,Jan 2024,2026-04-01,27,paid_search,affluent,40,4,0.1,59.89,6191.42,154.79
2024-01-01,Jan 2024,2026-05-01,28,paid_search,affluent,40,4,0.1,67.01,6258.43,156.46
2024-01-01,Jan 2024,2024-01-01,0,paid_search,freelancer,24,20,0.8333,233.26,233.26,9.72
2024-01-01,Jan 2024,2024-02-01,1,paid_search,freelancer,24,20,0.8333,239.21,472.48,19.69
2024-01-01,Jan 2024,2024-03-01,2,paid_search,freelancer,24,19,0.7917,239.36,711.84,29.66
2024-01-01,Jan 2024,2024-04-01,3,paid_search,freelancer,24,18,0.75,220.78,932.62,38.86
2024-01-01,Jan 2024,2024-05-01,4,paid_search,freelancer,24,17,0.7083,215.2,1147.82,47.83
2024-01-01,Jan 2024,2024-06-01,5,paid_search,freelancer,24,16,0.6667,172.91,1320.74,55.03
2024-01-01,Jan 2024,2024-07-01,6,paid_search,freelancer,24,16,0.6667,218.93,1539.67,64.15
2024-01-01,Jan 2024,2024-08-01,7,paid_search,freelancer,24,15,0.625,165.36,1705.02,71.04
2024-01-01,Jan 2024,2024-09-01,8,paid_search,freelancer,24,14,0.5833,172.55,1877.57,78.23
2024-01-01,Jan 2024,2024-10-01,9,paid_search,freelancer,24,13,0.5417,175.08,2052.66,85.53
2024-01-01,Jan 2024,2024-11-01,10,paid_search,freelancer,24,12,0.5,171.83,2224.49,92.69
2024-01-01,Jan 2024,2024-12-01,11,paid_search,freelancer,24,11,0.4583,161.97,2386.45,99.44
2024-01-01,Jan 2024,2025-01-01,12,paid_search,freelancer,24,11,0.4583,150.95,2537.4,105.73
2024-01-01,Jan 2024,2025-02-01,13,paid_search,freelancer,24,10,0.4167,140.42,2677.82,111.58
2024-01-01,Jan 2024,2025-03-01,14,paid_search,freelancer,24,10,0.4167,146.75,2824.57,117.69
2024-01-01,Jan 2024,2025-04-01,15,paid_search,freelancer,24,9,0.375,139.1,2963.67,123.49
2024-01-01,Jan 2024,2025-05-01,16,paid_search,freelancer,24,7,0.2917,99.83,3063.5,127.65
2024-01-01,Jan 2024,2025-06-01,17,paid_search,freelancer,24,7,0.2917,98.73,3162.23,131.76
2024-01-01,Jan 2024,2025-07-01,18,paid_search,freelancer,24,6,0.25,85.23,3247.46,135.31
2024-01-01,Jan 2024,2025-08-01,19,paid_search,freelancer,24,5,0.2083,72.51,3319.98,138.33
2024-01-01,Jan 2024,2025-09-01,20,paid_search,freelancer,24,5,0.2083,72.84,3392.81,141.37
2024-01-01,Jan 2024,2025-10-01,21,paid_search,freelancer,24,3,0.125,40.96,3433.77,143.07
2024-01-01,Jan 2024,2025-11-01,22,paid_search,freelancer,24,2,0.0833,33.36,3467.13,144.46
2024-01-01,Jan 2024,2025-12-01,23,paid_search,freelancer,24,2,0.0833,28.28,3495.41,145.64
2024-01-01,Jan 2024,2026-01-01,24,paid_search,freelancer,24,2,0.0833,27.61,3523.02,146.79
2024-01-01,Jan 2024,2026-02-01,25,paid_search,freelancer,24,2,0.0833,29.79,3552.81,148.03
2024-01-01,Jan 2024,2026-03-01,26,paid_search,freelancer,24,2,0.0833,29.83,3582.64,149.28
2024-01-01,Jan 2024,2026-04-01,27,paid_search,freelancer,24,2,0.0833,29.24,3611.89,150.5
2024-01-01,Jan 2024,2026-05-01,28,paid_search,freelancer,24,2,0.0833,33.54,3645.43,151.89
2024-01-01,Jan 2024,2024-01-01,0,paid_search,smb,17,14,0.8235,161.76,161.76,9.52
2024-01-01,Jan 2024,2024-02-01,1,paid_search,smb,17,13,0.7647,143.66,305.42,17.97
2024-01-01,Jan 2024,2024-03-01,2,paid_search,smb,17,13,0.7647,160.55,465.97,27.41
2024-01-01,Jan 2024,2024-04-01,3,paid_search,smb,17,13,0.7647,163.48,629.44,37.03
2024-01-01,Jan 2024,2024-05-01,4,paid_search,smb,17,12,0.7059,157.66,787.11,46.3
2024-01-01,Jan 2024,2024-06-01,5,paid_search,smb,17,11,0.6471,171.94,959.05,56.41
2024-01-01,Jan 2024,2024-07-01,6,paid_search,smb,17,11,0.6471,130.68,1089.73,64.1
2024-01-01,Jan 2024,2024-08-01,7,paid_search,smb,17,10,0.5882,122.44,1212.17,71.3
2024-01-01,Jan 2024,2024-09-01,8,paid_search,smb,17,10,0.5882,106.94,1319.11,77.59
2024-01-01,Jan 2024,2024-10-01,9,paid_search,smb,17,9,0.5294,111.22,1430.33,84.14
2024-01-01,Jan 2024,2024-11-01,10,paid_search,smb,17,9,0.5294,120.72,1551.05,91.24
2024-01-01,Jan 2024,2024-12-01,11,paid_search,smb,17,8,0.4706,98.3,1649.35,97.02
2024-01-01,Jan 2024,2025-01-01,12,paid_search,smb,17,8,0.4706,90.43,1739.78,102.34
2024-01-01,Jan 2024,2025-02-01,13,paid_search,smb,17,7,0.4118,90.59,1830.37,107.67
2024-01-01,Jan 2024,2025-03-01,14,paid_search,smb,17,7,0.4118,89.17,1919.54,112.91
2024-01-01,Jan 2024,2025-04-01,15,paid_search,smb,17,6,0.3529,74.72,1994.27,117.31
2024-01-01,Jan 2024,2025-05-01,16,paid_search,smb,17,5,0.2941,70.62,2064.88,121.46
2024-01-01,Jan 2024,2025-06-01,17,paid_search,smb,17,5,0.2941,65.68,2130.56,125.33
2024-01-01,Jan 2024,2025-07-01,18,paid_search,smb,17,4,0.2353,68.48,2199.05,129.36
2024-01-01,Jan 2024,2025-08-01,19,paid_search,smb,17,4,0.2353,61.13,2260.18,132.95
2024-01-01,Jan 2024,2025-09-01,20,paid_search,smb,17,3,0.1765,44.89,2305.07,135.59
2024-01-01,Jan 2024,2025-10-01,21,paid_search,smb,17,2,0.1176,24.44,2329.51,137.03
2024-01-01,Jan 2024,2025-11-01,22,paid_search,smb,17,2,0.1176,31.09,2360.6,138.86
2024-01-01,Jan 2024,2025-12-01,23,paid_search,smb,17,2,0.1176,27.62,2388.22,140.48
2024-01-01,Jan 2024,2026-01-01,24,paid_search,smb,17,2,0.1176,30.13,2418.34,142.26
2024-01-01,Jan 2024,2026-02-01,25,paid_search,smb,17,2,0.1176,26.47,2444.81,143.81
2024-01-01,Jan 2024,2026-03-01,26,paid_search,smb,17,2,0.1176,32.91,2477.72,145.75
2024-01-01,Jan 2024,2026-04-01,27,paid_search,smb,17,2,0.1176,32.57,2510.29,147.66
2024-01-01,Jan 2024,2026-05-01,28,paid_search,smb,17,2,0.1176,28.63,2538.92,149.35
2024-01-01,Jan 2024,2024-01-01,0,paid_social,mass,81,67,0.8272,760.29,760.29,9.39
2024-01-01,Jan 2024,2024-02-01,1,paid_social,mass,81,66,0.8148,796.02,1556.31,19.21
2024-01-01,Jan 2024,2024-03-01,2,paid_social,mass,81,62,0.7654,696.35,2252.66,27.81
2024-01-01,Jan 2024,2024-04-01,3,paid_social,mass,81,61,0.7531,673.96,2926.62,36.13
2024-01-01,Jan 2024,2024-05-01,4,paid_social,mass,81,59,0.7284,699.77,3626.39,44.77
2024-01-01,Jan 2024,2024-06-01,5,paid_social,mass,81,56,0.6914,784.33,4410.72,54.45
2024-01-01,Jan 2024,2024-07-01,6,paid_social,mass,81,53,0.6543,705.46,5116.18,63.16
2024-01-01,Jan 2024,2024-08-01,7,paid_social,mass,81,50,0.6173,679.31,5795.48,71.55
2024-01-01,Jan 2024,2024-09-01,8,paid_social,mass,81,47,0.5802,552.5,6347.98,78.37
2024-01-01,Jan 2024,2024-10-01,9,paid_social,mass,81,47,0.5802,519.65,6867.63,84.79
2024-01-01,Jan 2024,2024-11-01,10,paid_social,mass,81,43,0.5309,567.93,7435.56,91.8
2024-01-01,Jan 2024,2024-12-01,11,paid_social,mass,81,39,0.4815,557.4,7992.97,98.68
2024-01-01,Jan 2024,2025-01-01,12,paid_social,mass,81,37,0.4568,571.9,8564.87,105.74
2024-01-01,Jan 2024,2025-02-01,13,paid_social,mass,81,32,0.3951,445.69,9010.56,111.24
2024-01-01,Jan 2024,2025-03-01,14,paid_social,mass,81,32,0.3951,432.59,9443.15,116.58
2024-01-01,Jan 2024,2025-04-01,15,paid_social,mass,81,29,0.358,417.37,9860.53,121.73
2024-01-01,Jan 2024,2025-05-01,16,paid_social,mass,81,27,0.3333,380.95,10241.48,126.44
2024-01-01,Jan 2024,2025-06-01,17,paid_social,mass,81,25,0.3086,352.58,10594.06,130.79
2024-01-01,Jan 2024,2025-07-01,18,paid_social,mass,81,20,0.2469,264.54,10858.6,134.06
2024-01-01,Jan 2024,2025-08-01,19,paid_social,mass,81,18,0.2222,249.58,11108.18,137.14
2024-01-01,Jan 2024,2025-09-01,20,paid_social,mass,81,16,0.1975,211.04,11319.22,139.74
2024-01-01,Jan 2024,2025-10-01,21,paid_social,mass,81,12,0.1481,172.28,11491.5,141.87
2024-01-01,Jan 2024,2025-11-01,22,paid_social,mass,81,11,0.1358,171.62,11663.13,143.99
2024-01-01,Jan 2024,2025-12-01,23,paid_social,mass,81,9,0.1111,140.55,11803.68,145.72
2024-01-01,Jan 2024,2026-01-01,24,paid_social,mass,81,9,0.1111,139.0,11942.68,147.44
2024-01-01,Jan 2024,2026-02-01,25,paid_social,mass,81,9,0.1111,130.67,12073.34,149.05
2024-01-01,Jan 2024,2026-03-01,26,paid_social,mass,81,9,0.1111,142.7,12216.04,150.82
2024-01-01,Jan 2024,2026-04-01,27,paid_social,mass,81,9,0.1111,130.0,12346.04,152.42
2024-01-01,Jan 2024,2026-05-01,28,paid_social,mass,81,9,0.1111,141.59,12487.64,154.17
2024-01-01,Jan 2024,2024-01-01,0,paid_social,affluent,39,33,0.8462,464.37,464.37,11.91
2024-01-01,Jan 2024,2024-02-01,1,paid_social,affluent,39,31,0.7949,406.07,870.44,22.32
