MonthStart,ChannelKey,NewUsers,FundedAccounts,ActiveUsers,DepositVolume,TotalRevenue,GrossProfit,MarketingSpend,ChurnedUsers,ChannelName,ChannelType,CAC,MarketingROI
2024-10-01,lifecycle,672,133,895,592777.07,9019.42,6150.42,11021.41,45,Lifecycle Email,Owned,82.86774436090225,-0.4419570635699062
2024-10-01,organic,840,169,1232,815148.04,11873.380000000001,8331.64,27873.690000000002,55,Organic Search,Organic,164.93307692307692,-0.7010930379149657
2024-10-01,paid_search,1005,185,1144,794066.54,11868.24,7923.94,99638.0,79,Paid Search,Paid,538.5837837837838,-0.9204727112145968
2024-10-01,paid_social,1214,180,1179,761894.5700000001,11381.32,7462.66,136614.80000000002,79,Paid Social,Paid,758.9711111111112,-0.9453744396653949
2024-10-01,partner,915,184,1356,830002.48,13239.03,9140.509999999998,32450.0,56,Partner Marketplace,Partner,176.3586956521739,-0.718320184899846
2024-10-01,referral,762,165,1218,787003.27,12375.52,8602.7,15230.48,53,Referral,Owned,92.3059393939394,-0.43516553647685424
2024-11-01,lifecycle,727,145,976,628645.54,10182.59,6957.17,11819.04,41,Lifecycle Email,Owned,81.51062068965518,-0.41135912899863275
2024-11-01,organic,878,180,1346,802847.02,13692.94,9351.33,22656.34,51,Organic Search,Organic,125.86855555555556,-0.58725328098007
2024-11-01,paid_search,1049,190,1276,831548.93,13457.3,9058.17,109509.11,77,Paid Search,Paid,576.3637368421053,-0.9172838679813945
2024-11-01,paid_social,984,162,1272,774529.96,12662.31,8700.560000000001,130011.39,78,Paid Social,Paid,802.5394444444445,-0.9330784787394397
2024-11-01,partner,931,196,1455,912993.39,13872.41,9347.1,38092.84,61,Partner Marketplace,Partner,194.3512244897959,-0.7546231785290884
2024-11-01,referral,769,170,1312,847242.45,12739.08,8510.960000000001,22231.530000000002,59,Referral,Owned,130.77370588235294,-0.6171671495394154
2024-12-01,lifecycle,757,143,1022,625112.1,10728.82,7199.01,17075.99,49,Lifecycle Email,Owned,119.41251748251749,-0.5784133160068611
2024-12-01,organic,922,181,1429,862078.34,14568.73,10261.869999999999,29174.93,63,Organic Search,Organic,161.18745856353593,-0.6482641089455914
2024-12-01,paid_search,1062,184,1344,855584.96,13366.44,9438.83,102606.54000000001,81,Paid Search,Paid,557.6442391304348,-0.9080094699616613
2024-12-01,paid_social,1230,212,1333,1017997.43,13686.91,9191.67,149163.16,87,Paid Social,Paid,703.5998113207547,-0.9383784172982121
2024-12-01,partner,1004,212,1574,1151432.88,15597.99,10489.119999999999,43215.33,73,Partner Marketplace,Partner,203.8458962264151,-0.7572824273238223
2024-12-01,referral,815,176,1382,932033.44,13412.87,9487.89,20377.41,60,Referral,Owned,115.78073863636364,-0.5343917602874948
2025-01-01,lifecycle,813,150,1175,746219.03,11312.779999999999,7873.98,16895.3,53,Lifecycle Email,Owned,112.63533333333334,-0.533954413357561
2025-01-01,organic,1021,218,1534,1107134.32,14969.25,10151.86,34296.2,69,Organic Search,Organic,157.32201834862383,-0.7039946116479376
2025-01-01,paid_search,1242,227,1483,971500.5499999999,15023.79,10428.91,119186.08,91,Paid Search,Paid,525.0488105726872,-0.9124989260490822
2025-01-01,paid_social,1338,234,1460,1071464.62,15354.52,10985.36,169617.88999999998,100,Paid Social,Paid,724.8627777777778,-0.9352346618626136
2025-01-01,partner,1111,221,1661,1198091.0999999999,16998.62,12108.1,38742.92,79,Partner Marketplace,Partner,175.30733031674208,-0.6874758020304097
2025-01-01,referral,942,207,1528,1045949.15,15196.560000000001,10363.279999999999,23971.579999999998,62,Referral,Owned,115.8047342995169,-0.5676847333383949
2025-02-01,lifecycle,838,158,1242,743850.46,11817.94,8182.73,13457.96,56,Lifecycle Email,Owned,85.17696202531646,-0.39197842763687807
2025-02-01,organic,1059,219,1700,1068614.98,16689.29,12071.88,30781.62,76,Organic Search,Organic,140.55534246575343,-0.6078218105479828
2025-02-01,paid_search,1351,246,1537,1030368.15,14463.29,10204.61,129825.2,100,Paid Search,Paid,527.7447154471545,-0.9213973096132337
2025-02-01,paid_social,1468,232,1529,997415.61,15840.03,10584.59,178550.34999999998,99,Paid Social,Paid,769.6135775862068,-0.9407192985059957
2025-02-01,partner,1173,234,1878,1226438.31,18834.84,12628.04,41066.71,75,Partner Marketplace,Partner,175.49876068376068,-0.692499350447114
2025-02-01,referral,1022,227,1645,1095106.6099999999,16619.69,11583.01,20328.23,73,Referral,Owned,89.55167400881056,-0.4302007602235905
2025-03-01,lifecycle,953,183,1357,849359.31,13228.4,8769.0,19218.37,59,Lifecycle Email,Owned,105.01841530054644,-0.5437178074935595
2025-03-01,organic,1296,269,1835,1222653.25,18934.29,12996.83,33012.93,80,Organic Search,Organic,122.7246468401487,-0.6063109212057215
2025-03-01,paid_search,1340,244,1713,1211103.0,17081.94,11767.6,143272.95,106,Paid Search,Paid,587.1842213114754,-0.9178658637237525
2025-03-01,paid_social,1535,245,1670,1121079.58,16643.67,11094.310000000001,170216.9,113,Paid Social,Paid,694.7628571428571,-0.9348225117482459
2025-03-01,partner,1321,266,1949,1175776.3,18941.79,13115.7,50444.75,87,Partner Marketplace,Partner,189.6419172932331,-0.7399987114615496
2025-03-01,referral,1041,241,1766,1161187.6400000001,17646.44,12827.52,21800.27,73,Referral,Owned,90.45755186721992,-0.41158893903607613
2025-04-01,lifecycle,1049,211,1445,845051.34,13783.0,9370.38,20291.88,61,Lifecycle Email,Owned,96.17004739336494,-0.5382202141940521
2025-04-01,organic,1120,235,1923,1165772.02,18799.670000000002,13057.59,35003.96,96,Organic Search,Organic,148.95302127659573,-0.6269682058829915
2025-04-01,paid_search,1588,300,1834,1199242.63,18084.34,12496.01,144078.91,109,Paid Search,Paid,480.26303333333334,-0.9132696797886658
2025-04-01,paid_social,1742,288,1779,1219061.09,18413.57,12747.1,221993.33,116,Paid Social,Paid,770.810173611111,-0.9425789054112571
2025-04-01,partner,1289,277,2232,1337137.35,21213.3,14216.06,55851.84,92,Partner Marketplace,Partner,201.63119133574006,-0.7454683677386457
2025-04-01,referral,1136,253,1911,1219980.17,18924.760000000002,13407.94,25595.43,84,Referral,Owned,101.16770750988142,-0.47615882991612174
2025-05-01,lifecycle,902,163,1554,976924.3300000001,15064.74,10391.720000000001,16001.15,74,Lifecycle Email,Owned,98.16656441717791,-0.3505641781996918
2025-05-01,organic,1193,243,2073,1377079.5499999998,20737.010000000002,14070.01,37182.479999999996,88,Organic Search,Organic,153.01432098765432,-0.621595708516484
2025-05-01,paid_search,1447,262,1942,1286071.6600000001,19213.0,13458.64,158580.62,136,Paid Search,Paid,605.2695419847328,-0.9151306130597798
2025-05-01,paid_social,1559,254,1901,1278959.42,17976.71,12872.88,192543.88,120,Paid Social,Paid,758.0467716535434,-0.9331431359958052
2025-05-01,partner,1347,283,2234,1439572.74,21933.25,14885.199999999999,59600.28,90,Partner Marketplace,Partner,210.6016961130742,-0.750249495472169
2025-05-01,referral,1079,253,2111,1355134.47,20683.1,13902.21,25190.760000000002,89,Referral,Owned,99.56822134387353,-0.44812264496982235
2025-06-01,lifecycle,933,182,1623,1062179.32,15115.36,10678.76,16366.42,77,Lifecycle Email,Owned,89.92538461538462,-0.34752010519099474
2025-06-01,organic,1150,243,2218,1251659.02,20120.67,13944.37,32232.41,100,Organic Search,Organic,132.64366255144031,-0.5673804720155893
2025-06-01,paid_search,1512,283,2074,1174934.3599999999,18579.57,13102.62,148978.89,133,Paid Search,Paid,526.4271731448764,-0.9120504925227998
2025-06-01,paid_social,1659,257,1969,1285496.14,18983.75,12542.2,195947.75,135,Paid Social,Paid,762.442607003891,-0.9359921203484092
2025-06-01,partner,1317,263,2493,1487733.6800000002,24917.16,17183.98,42693.96,100,Partner Marketplace,Partner,162.33444866920152,-0.5975079378909803
2025-06-01,referral,1132,257,2260,1495087.1,22644.35,15899.59,27868.62,100,Referral,Owned,108.43821011673151,-0.4294805411965142
2025-07-01,lifecycle,935,180,1699,1112698.26,16669.48,11674.06,15140.01,83,Lifecycle Email,Owned,84.11116666666666,-0.22892653307362418
2025-07-01,organic,1215,267,2334,1525969.2200000002,23217.65,16323.21,35737.9,99,Organic Search,Organic,133.8498127340824,-0.5432521216971339
2025-07-01,paid_search,1584,297,2141,1265591.72,20267.02,13979.28,157529.04,151,Paid Search,Paid,530.4008080808081,-0.9112590288114496
2025-07-01,paid_social,1662,279,2105,1538129.33,22229.61,15284.91,215832.0,149,Paid Social,Paid,773.5913978494624,-0.9291814466807516
2025-07-01,partner,1348,276,2533,1448942.31,25742.190000000002,18276.98,47940.18,110,Partner Marketplace,Partner,173.6963043478261,-0.6187544560742159
2025-07-01,referral,1079,242,2313,1238543.08,22976.6,15817.0,22341.55,106,Referral,Owned,92.32045454545454,-0.2920365865394299
2025-08-01,lifecycle,965,179,1757,1001515.99,16337.65,10889.619999999999,17730.77,82,Lifecycle Email,Owned,99.0545810055866,-0.3858349073390496
2025-08-01,organic,1084,235,2398,1371599.44,23161.879999999997,16218.259999999998,32807.45,117,Organic Search,Organic,139.60617021276593,-0.5056531367113263
2025-08-01,paid_search,1423,247,2236,1311998.58,22190.84,15588.829999999998,145036.4,147,Paid Search,Paid,587.191902834008,-0.8925178093223494
2025-08-01,paid_social,1687,277,2199,1492187.79,21517.370000000003,14817.869999999999,205259.61,157,Paid Social,Paid,741.0094223826715,-0.9278091291316397
2025-08-01,partner,1216,243,2663,1397309.0,26379.72,18622.07,48203.310000000005,119,Partner Marketplace,Partner,198.36753086419756,-0.6136765296822978
2025-08-01,referral,1191,247,2449,1523033.56,24052.82,16697.95,28053.86,117,Referral,Owned,113.57838056680163,-0.40478957262922105
2025-09-01,lifecycle,892,181,1822,1128412.23,16693.15,11527.79,12141.12,90,Lifecycle Email,Owned,67.07801104972376,-0.05051675627948656
2025-09-01,organic,1254,264,2507,1518809.4,25030.239999999998,17017.64,42085.67,120,Organic Search,Organic,159.41541666666666,-0.5956428874721491
2025-09-01,paid_search,1433,260,2337,1385721.6400000001,24183.93,16612.84,138293.66,159,Paid Search,Paid,531.8986923076923,-0.8798727288004382
2025-09-01,paid_social,1606,265,2280,1397637.79,21801.370000000003,15400.119999999999,190055.34,158,Paid Social,Paid,717.189962264151,-0.9189703377974016
2025-09-01,partner,1267,264,2797,1742722.6,27018.53,18185.71,43537.37,129,Partner Marketplace,Partner,164.91428030303032,-0.5822965420281474
2025-09-01,referral,1041,220,2518,1458962.72,25443.260000000002,17408.0,23478.45,107,Referral,Owned,106.72022727272727,-0.25855412090661867
2025-10-01,lifecycle,946,196,1940,1149599.96,19955.699999999997,14139.0,15898.259999999998,96,Lifecycle Email,Owned,81.11357142857142,-0.11065739269580435
2025-10-01,organic,1217,261,2629,1695178.81,24096.8,16878.19,37229.799999999996,119,Organic Search,Organic,142.64291187739462,-0.5466483838215623
2025-10-01,paid_search,1378,236,2392,1423673.19,23421.14,16250.79,135348.88999999998,182,Paid Search,Paid,573.5122457627118,-0.8799340726030335
2025-10-01,paid_social,1719,283,2392,1545538.2399999998,25040.43,17165.79,210600.46,164,Paid Social,Paid,744.1712367491166,-0.9184912036754336
2025-10-01,partner,1258,265,2856,1442280.3699999999,26945.79,18604.23,49959.32,143,Partner Marketplace,Partner,188.52573584905662,-0.6276124254693619
2025-10-01,referral,1107,233,2598,1649934.17,25848.3,18419.67,25290.18,131,Referral,Owned,108.54154506437769,-0.2716671055722024
2025-11-01,lifecycle,1007,204,2088,1257884.6800000002,20031.28,13663.65,17996.399999999998,95,Lifecycle Email,Owned,88.21764705882352,-0.2407564846302593
2025-11-01,organic,1211,254,2690,1609194.69,27028.03,18940.97,40580.36,133,Organic Search,Organic,159.7651968503937,-0.5332478568450354
2025-11-01,paid_search,1538,291,2500,1454000.33,24333.14,17040.760000000002,161697.93,172,Paid Search,Paid,555.6629896907216,-0.894613616884273
2025-11-01,paid_social,1694,274,2489,1472136.7799999998,24396.629999999997,16389.41,196580.18,157,Paid Social,Paid,717.4459124087591,-0.9166273527677103
2025-11-01,partner,1290,278,2938,1690614.3900000001,28149.559999999998,20145.92,47920.82,137,Partner Marketplace,Partner,172.37705035971223,-0.5795998482496753
2025-11-01,referral,1147,268,2685,1539145.71,26190.190000000002,18325.23,26597.72,117,Referral,Owned,99.24522388059702,-0.3110225237351172
2025-12-01,lifecycle,996,208,2099,1254516.4100000001,20424.15,13548.630000000001,18696.48,98,Lifecycle Email,Owned,89.88692307692307,-0.27533792457189793
2025-12-01,organic,1288,259,2835,1703321.8599999999,28817.47,19427.39,39766.27,133,Organic Search,Organic,153.53772200772198,-0.5114605921048164
2025-12-01,paid_search,1629,302,2615,1557460.72,25986.11,18065.6,151951.94,167,Paid Search,Paid,503.152119205298,-0.8811097772098204
2025-12-01,paid_social,1817,308,2555,1465541.29,23342.68,15525.2,208517.27,175,Paid Social,Paid,677.0041233766234,-0.925544776219255
2025-12-01,partner,1348,285,3151,1907926.4,30686.28,21086.03,55626.22,132,Partner Marketplace,Partner,195.17971929824563,-0.6209336172761695
2025-12-01,referral,1200,253,2884,1642111.7399999998,27578.96,19083.39,30920.039999999997,124,Referral,Owned,122.21359683794465,-0.38281483465092536
2026-01-01,lifecycle,1076,222,2257,1226542.26,21643.98,14849.62,19541.06,112,Lifecycle Email,Owned,88.0227927927928,-0.24008114196466313
2026-01-01,organic,1314,270,2888,1877657.51,29171.96,19668.17,39426.73,131,Organic Search,Organic,146.02492592592594,-0.5011463035356978
2026-01-01,paid_search,1739,323,2730,1691153.63,28184.47,19388.08,171178.04,188,Paid Search,Paid,529.9629721362229,-0.8867373408411501
2026-01-01,paid_social,2115,347,2768,1792741.94,26613.04,18394.85,257575.99,170,Paid Social,Paid,742.2939193083573,-0.9285847644417479
2026-01-01,partner,1530,322,3336,1940369.85,31341.05,21150.29,65561.33,129,Partner Marketplace,Partner,203.6066149068323,-0.677396874041451
2026-01-01,referral,1312,286,3002,1892012.08,29772.03,20423.08,31398.59,137,Referral,Owned,109.78527972027972,-0.34955423157536686
2026-02-01,lifecycle,1223,254,2342,1363505.65,22459.19,15969.0,15520.41,109,Lifecycle Email,Owned,61.103976377952755,0.02890323129350321
2026-02-01,organic,1491,337,3077,2039714.71,27939.83,19531.88,47374.26,157,Organic Search,Organic,140.57643916913946,-0.5877111325855011
2026-02-01,paid_search,1904,363,2852,1790298.86,28707.2,20316.32,206459.77,178,Paid Search,Paid,568.759696969697,-0.9015967130061222
2026-02-01,paid_social,2043,344,2780,1882018.9100000001,28091.579999999998,18501.35,258686.45,183,Paid Social,Paid,751.9954941860466,-0.9284796323889404
2026-02-01,partner,1779,380,3425,2233761.29,34103.68,23543.61,68781.27,175,Partner Marketplace,Partner,181.00334210526316,-0.6577031799500067
2026-02-01,referral,1338,298,3096,1921891.8599999999,30175.57,20716.03,36384.53,152,Referral,Owned,122.09573825503355,-0.4306363171380804
2026-03-01,lifecycle,1286,239,2389,1411007.14,22859.36,15759.54,25023.52,123,Lifecycle Email,Owned,104.70092050209205,-0.3702109055800303
2026-03-01,organic,1534,338,3315,1927098.3900000001,33633.63,23872.46,42120.2,145,Organic Search,Organic,124.61597633136094,-0.4332301366090379
2026-03-01,paid_search,2009,362,2999,2093608.0300000003,30689.43,22499.22,203525.73,204,Paid Search,Paid,562.2257734806631,-0.8894526996660324
2026-03-01,paid_social,2086,336,2972,1837090.03,29066.66,19306.59,238125.35,199,Paid Social,Paid,708.7063988095239,-0.9189225758618308
2026-03-01,partner,1827,370,3610,2148871.47,35235.600000000006,24210.67,67745.02,156,Partner Marketplace,Partner,183.09464864864867,-0.6426206679103498
2026-03-01,referral,1501,344,3251,2121136.44,33551.149999999994,24344.79,28914.66,145,Referral,Owned,84.05424418604652,-0.15804681777340626
2026-04-01,lifecycle,1201,235,2482,1433079.4,24381.09,16341.1,21909.99,121,Lifecycle Email,Owned,93.23400000000001,-0.25417127073084017
2026-04-01,organic,1617,359,3439,2235294.84,35977.14,24282.269999999997,48672.64,149,Organic Search,Organic,135.5783844011142,-0.5011104801383283
2026-04-01,paid_search,1941,342,3083,2062794.9200000002,31055.75,21118.7,174939.63999999998,222,Paid Search,Paid,511.5194152046783,-0.8792800762594457
2026-04-01,paid_social,2127,357,3080,1852696.54,32241.56,21718.870000000003,257189.08000000002,210,Paid Social,Paid,720.4175910364146,-0.9155529076117851
2026-04-01,partner,1650,342,3749,2155893.1799999997,37558.53,25200.22,69460.12,186,Partner Marketplace,Partner,203.09976608187134,-0.6371987264058858
2026-04-01,referral,1401,321,3421,1894095.09,31919.87,21957.96,35159.36,158,Referral,Owned,109.53071651090343,-0.37547327368871336
2026-05-01,lifecycle,1240,244,2595,1506011.07,26719.2,19639.63,23370.620000000003,123,Lifecycle Email,Owned,95.78122950819673,-0.1596444595821592
2026-05-01,organic,1541,308,3616,2205792.38,35084.05,24097.0,49472.26,161,Organic Search,Organic,160.6242207792208,-0.512918957007422
2026-05-01,paid_search,2099,398,3197,2145619.88,32838.09,22910.71,209793.63,227,Paid Search,Paid,527.1196733668341,-0.8907940627177289
2026-05-01,paid_social,2256,377,3217,1869242.62,31758.86,22671.2,262372.37,217,Paid Social,Paid,695.9479310344827,-0.9135915111793211
2026-05-01,partner,1780,354,3866,2369597.1,38298.05,27650.989999999998,79427.25,163,Partner Marketplace,Partner,224.37076271186442,-0.651870233452625
2026-05-01,referral,1527,343,3437,2353527.13,36154.17,24916.0,36794.1,163,Referral,Owned,107.27142857142857,-0.32282621398539435
