customer_id,signup_date,customer_segment,region,country,marketing_opt_in
C000295,2024-09-05,VIP,Southeast Asia,Vietnam,Y
C000296,2022-07-31,Loyal,Oceania,Australia,N
C000297,2023-03-28,New,Southeast Asia,Vietnam,N
C000298,2024-11-13,New,Europe,United Kingdom,Y
C000299,2023-05-12,Loyal,North America,United States,N
C000300,2023-11-06,Active,Europe,United Kingdom,Y
C000301,2022-08-18,New,East Asia,Japan,Y
C000302,2024-02-27,New,North America,United States,N
C000303,2025-09-02,New,Europe,United Kingdom,Y
C000304,2023-01-29,Loyal,East Asia,Japan,N
C000305,2024-08-16,New,Oceania,Australia,Y
C000306,2024-08-19,Active,Southeast Asia,Vietnam,Y
C000307,2025-02-22,VIP,East Asia,Japan,Y
C000308,2025-11-09,At Risk,Southeast Asia,Vietnam,Y
C000309,2025-03-03,Loyal,East Asia,Japan,Y
C000310,2025-08-15,Loyal,Southeast Asia,Vietnam,Y
C000311,2022-12-16,Loyal,East Asia,Japan,N
C000312,2023-08-29,At Risk,Oceania,Australia,Y
C000313,2024-09-22,Active,Europe,United Kingdom,Y
C000314,2023-04-27,Active,Oceania,Australia,N
C000315,2024-11-25,New,North America,United States,N
C000316,2026-05-30,New,North America,United States,N
C000317,2022-12-15,Active,East Asia,Japan,Y
C000318,2023-01-02,Loyal,North America,United States,Y
C000319,2022-09-26,Active,East Asia,Japan,N
C000320,2022-09-24,Active,Europe,United Kingdom,Y
C000321,2023-08-12,New,East Asia,Japan,N
C000322,2024-09-12,Active,North America,United States,Y
C000323,2022-09-18,New,North America,United States,N
C000324,2025-01-26,New,North America,United States,Y
C000325,2023-05-22,New,Southeast Asia,Vietnam,Y
C000326,2024-05-18,Active,Southeast Asia,Vietnam,Y
C000327,2024-07-26,New,North America,United States,Y
C000328,2025-02-08,New,North America,United States,N
C000329,2025-03-28,New,North America,United States,Y
C000330,2023-01-06,Loyal,North America,United States,N
C000331,2025-12-06,New,Southeast Asia,Vietnam,Y
C000332,2025-04-08,Active,North America,United States,N
C000333,2024-04-06,New,North America,United States,Y
C000334,2026-05-06,Active,East Asia,Japan,Y
C000335,2026-04-18,New,North America,United States,N
C000336,2026-02-07,VIP,North America,United States,Y
C000337,2023-01-06,New,North America,United States,N
C000338,2025-09-08,Active,North America,United States,N
C000339,2024-04-24,Loyal,North America,United States,Y
C000340,2023-09-26,New,Middle East,United Arab Emirates,Y
C000341,2024-04-26,Loyal,North America,United States,Y
C000342,2024-03-22,Active,Europe,United Kingdom,Y
C000343,2025-03-30,Loyal,Southeast Asia,Vietnam,N
C000344,2023-03-19,New,North America,United States,Y
C000345,2025-06-28,Active,North America,United States,Y
C000346,2024-08-26,New,Oceania,Australia,Y
C000347,2023-10-16,Active,Europe,United Kingdom,Y
C000348,2026-05-13,Active,North America,United States,Y
C000349,2022-10-02,Loyal,Southeast Asia,Vietnam,Y
C000350,2025-01-19,Active,North America,United States,N
C000351,2025-06-10,Active,North America,United States,N
C000352,2024-01-27,Loyal,Europe,United Kingdom,Y
C000353,2024-07-31,VIP,Middle East,United Arab Emirates,N
C000354,2025-03-30,Active,North America,United States,N
C000355,2024-04-13,Active,Southeast Asia,Vietnam,N
C000356,2024-04-08,Active,North America,United States,Y
C000357,2024-01-10,New,North America,United States,N
C000358,2025-12-18,Loyal,Southeast Asia,Vietnam,N
C000359,2023-02-16,Active,North America,United States,Y
C000360,2025-08-16,Active,North America,United States,Y
C000361,2024-01-18,Loyal,Southeast Asia,Vietnam,N
C000362,2024-11-11,New,Oceania,Australia,N
C000363,2025-01-21,Active,North America,United States,Y
C000364,2023-01-19,Loyal,Europe,United Kingdom,N
C000365,2026-05-14,Active,North America,United States,Y
C000366,2025-09-17,Active,North America,United States,N
C000367,2022-11-25,VIP,Oceania,Australia,N
C000368,2024-10-30,Active,Europe,United Kingdom,Y
C000369,2022-07-27,New,North America,United States,Y
C000370,2026-02-02,Active,Oceania,Australia,N
C000371,2026-04-19,New,North America,United States,Y
C000372,2023-08-22,New,Southeast Asia,Vietnam,N
C000373,2023-05-16,Active,North America,United States,Y
C000374,2024-05-28,Active,Southeast Asia,Vietnam,Y
C000375,2024-10-23,Active,Middle East,United Arab Emirates,Y
C000376,2023-03-10,Active,North America,United States,Y
C000377,2026-03-18,Active,Oceania,Australia,Y
C000378,2024-09-28,Loyal,North America,United States,Y
C000379,2025-06-16,Active,Oceania,Australia,N
C000380,2024-09-23,Loyal,Southeast Asia,Vietnam,N
C000381,2023-11-05,Active,Europe,United Kingdom,N
C000382,2024-03-12,Loyal,Europe,United Kingdom,Y
C000383,2023-04-10,Loyal,Southeast Asia,Vietnam,N
C000384,2025-05-10,New,East Asia,Japan,N
C000385,2023-07-06,Active,Southeast Asia,Vietnam,N
C000386,2026-01-21,Active,East Asia,Japan,N
C000387,2024-10-02,VIP,Oceania,Australia,Y
C000388,2025-01-02,Loyal,East Asia,Japan,N
C000389,2023-11-30,Loyal,Southeast Asia,Vietnam,N
C000390,2024-08-27,Active,North America,United States,N
C000391,2023-06-01,New,Middle East,United Arab Emirates,Y
C000392,2023-04-18,New,North America,United States,Y
C000393,2025-04-10,New,Middle East,United Arab Emirates,N
C000394,2025-03-13,New,East Asia,Japan,N
C000395,2022-11-13,Active,Southeast Asia,Vietnam,Y
C000396,2024-05-17,New,Southeast Asia,Vietnam,N
C000397,2025-03-18,Loyal,North America,United States,N
C000398,2026-01-23,New,North America,United States,Y
C000399,2025-01-07,Loyal,North America,United States,Y
C000400,2026-03-24,Active,North America,United States,Y
C000401,2023-11-14,Active,North America,United States,N
C000402,2023-12-12,Active,North America,United States,N
C000403,2025-10-20,VIP,North America,United States,Y
C000404,2024-10-17,New,North America,United States,N
C000405,2023-11-04,Active,North America,United States,N
C000406,2024-09-28,New,Europe,United Kingdom,Y
C000407,2024-04-27,Loyal,North America,United States,Y
C000408,2026-01-28,New,Southeast Asia,Vietnam,Y
C000409,2026-02-24,Loyal,Middle East,United Arab Emirates,Y
C000410,2025-03-07,Active,Europe,United Kingdom,N
C000411,2026-03-16,VIP,East Asia,Japan,N
C000412,2023-10-15,Loyal,North America,United States,N
C000413,2024-06-24,Active,Southeast Asia,Vietnam,Y
C000414,2022-11-03,Active,North America,United States,Y
C000415,2025-07-22,New,North America,United States,N
C000416,2024-03-01,Loyal,Europe,United Kingdom,Y
C000417,2024-09-22,Active,Oceania,Australia,N
C000418,2022-08-24,Loyal,Southeast Asia,Vietnam,Y
C000419,2023-12-17,Active,Europe,United Kingdom,Y
C000420,2023-01-01,New,Southeast Asia,Vietnam,N
C000421,2025-09-25,New,North America,United States,N
C000422,2023-12-13,Active,Oceania,Australia,Y
C000423,2023-06-25,Active,East Asia,Japan,Y
C000424,2025-11-01,New,East Asia,Japan,Y
C000425,2025-10-03,Loyal,North America,United States,Y
C000426,2023-02-18,Active,Europe,United Kingdom,Y
C000427,2024-11-08,Active,Southeast Asia,Vietnam,Y
C000428,2025-05-14,Active,North America,United States,N
C000429,2025-08-06,New,North America,United States,N
C000430,2022-07-21,Loyal,North America,United States,N
C000431,2023-01-30,Active,East Asia,Japan,Y
C000432,2023-11-12,Loyal,East Asia,Japan,Y
C000433,2026-02-09,VIP,North America,United States,N
C000434,2022-12-25,Loyal,North America,United States,Y
C000435,2022-10-19,VIP,Southeast Asia,Vietnam,Y
C000436,2022-09-24,At Risk,Southeast Asia,Vietnam,Y
C000437,2022-07-19,New,Southeast Asia,Vietnam,Y
C000438,2023-01-22,Active,Europe,United Kingdom,N
C000439,2025-02-17,Active,North America,United States,N
C000440,2023-08-25,New,Southeast Asia,Vietnam,Y
C000441,2023-11-26,Loyal,North America,United States,N
C000442,2024-10-15,VIP,North America,United States,Y
C000443,2023-12-16,Loyal,North America,United States,Y
C000444,2022-11-28,Loyal,North America,United States,Y
C000445,2025-05-28,Loyal,North America,United States,N
C000446,2024-07-07,New,Southeast Asia,Vietnam,Y
C000447,2026-02-05,New,North America,United States,Y
C000448,2024-08-02,Active,Europe,United Kingdom,N
C000449,2023-01-07,Active,Southeast Asia,Vietnam,Y
C000450,2026-04-03,Active,North America,United States,N
C000451,2023-10-27,New,East Asia,Japan,N
C000452,2025-04-15,Loyal,North America,United States,N
C000453,2022-12-21,New,North America,United States,Y
C000454,2025-08-10,New,Southeast Asia,Vietnam,N
C000455,2025-11-10,New,North America,United States,Y
C000456,2025-03-23,Loyal,North America,United States,N
C000457,2022-12-15,Loyal,East Asia,Japan,Y
C000458,2023-11-09,Active,Europe,United Kingdom,Y
C000459,2023-05-03,Loyal,Southeast Asia,Vietnam,Y
C000460,2022-12-06,At Risk,East Asia,Japan,N
C000461,2022-12-29,New,Europe,United Kingdom,N
C000462,2026-03-31,New,East Asia,Japan,N
C000463,2024-03-02,Loyal,Southeast Asia,Vietnam,Y
C000464,2025-10-13,At Risk,Europe,United Kingdom,Y
C000465,2025-07-21,Active,North America,United States,Y
C000466,2023-12-02,Active,Europe,United Kingdom,Y
C000467,2023-03-24,Active,North America,United States,Y
C000468,2024-05-28,New,North America,United States,Y
C000469,2023-04-23,Active,Oceania,Australia,N
C000470,2022-10-19,New,Europe,United Kingdom,Y
C000471,2024-05-13,Active,Europe,United Kingdom,Y
C000472,2025-07-02,At Risk,Middle East,United Arab Emirates,Y
C000473,2025-07-03,Active,Europe,United Kingdom,Y
C000474,2022-08-05,Active,Southeast Asia,Vietnam,N
C000475,2024-09-07,Active,Europe,United Kingdom,Y
C000476,2024-03-23,Active,Oceania,Australia,N
C000477,2023-09-05,New,North America,United States,Y
C000478,2024-08-31,Loyal,North America,United States,N
C000479,2025-02-05,Active,North America,United States,N
C000480,2022-12-20,Loyal,North America,United States,Y
C000481,2024-10-19,Active,East Asia,Japan,N
C000482,2023-07-07,Loyal,Europe,United Kingdom,N
C000483,2022-12-11,Loyal,North America,United States,Y
C000484,2026-01-11,Active,North America,United States,Y
C000485,2023-11-11,Active,North America,United States,N
C000486,2023-07-10,Loyal,Oceania,Australia,N
C000487,2026-04-13,New,North America,United States,Y
C000488,2024-04-10,Loyal,Southeast Asia,Vietnam,N
C000489,2023-12-19,Active,Oceania,Australia,N
C000490,2024-08-18,VIP,North America,United States,N
C000491,2025-03-23,New,Southeast Asia,Vietnam,Y
C000492,2023-01-14,Active,North America,United States,N
C000493,2024-06-13,Active,Oceania,Australia,Y
C000494,2022-07-30,New,Europe,United Kingdom,Y
C000495,2024-06-25,VIP,North America,United States,N
C000496,2026-05-08,Active,Europe,United Kingdom,Y
C000497,2023-09-29,Active,Europe,United Kingdom,Y
C000498,2025-10-11,Loyal,Southeast Asia,Vietnam,N
C000499,2025-11-02,Active,East Asia,Japan,Y
C000500,2024-02-22,VIP,Southeast Asia,Vietnam,Y
C000501,2024-03-06,Active,North America,United States,Y
C000502,2023-08-29,New,North America,United States,Y
C000503,2024-02-29,New,Europe,United Kingdom,Y
C000504,2024-11-13,Active,North America,United States,Y
C000505,2023-04-13,Loyal,North America,United States,Y
C000506,2024-03-07,Active,North America,United States,N
C000507,2024-05-14,Loyal,Oceania,Australia,N
C000508,2025-11-09,Active,North America,United States,N
C000509,2025-06-25,Loyal,North America,United States,Y
C000510,2023-11-11,Active,Oceania,Australia,N
C000511,2026-05-03,New,East Asia,Japan,Y
C000512,2023-05-26,Loyal,East Asia,Japan,Y
C000513,2023-08-18,Loyal,North America,United States,N
C000514,2025-01-19,Active,Oceania,Australia,N
C000515,2025-10-14,Active,North America,United States,Y
C000516,2022-09-18,Active,North America,United States,N
C000517,2025-10-02,Active,East Asia,Japan,Y
C000518,2025-09-04,Active,Southeast Asia,Vietnam,N
C000519,2023-09-04,New,Europe,United Kingdom,Y
C000520,2023-06-21,Loyal,East Asia,Japan,Y
C000521,2024-01-13,Active,Middle East,United Arab Emirates,Y
C000522,2025-10-02,New,Southeast Asia,Vietnam,Y
C000523,2025-09-07,Active,North America,United States,N
C000524,2024-07-26,Active,Southeast Asia,Vietnam,Y
C000525,2023-10-13,New,Europe,United Kingdom,N
C000526,2022-10-04,Loyal,North America,United States,Y
C000527,2025-02-19,Active,North America,United States,N
C000528,2025-04-18,New,Southeast Asia,Vietnam,Y
C000529,2025-08-16,New,Southeast Asia,Vietnam,N
C000530,2025-03-23,New,East Asia,Japan,Y
