session_key,session_date,channel,device,region,sessions,visitors,add_to_cart,checkout_starts,session_month
79,2025-01-01,Social,Desktop,North America,102,81,10,4,2025-01
80,2025-01-01,Social,Desktop,Europe,57,42,4,1,2025-01
81,2025-01-01,Social,Desktop,Southeast Asia,38,26,4,2,2025-01
82,2025-01-01,Social,Desktop,East Asia,24,18,1,0,2025-01
83,2025-01-01,Social,Desktop,Oceania,15,12,1,0,2025-01
84,2025-01-01,Social,Desktop,Middle East,10,7,1,0,2025-01
85,2025-01-01,Social,Tablet,North America,31,23,4,1,2025-01
86,2025-01-01,Social,Tablet,Europe,19,13,2,0,2025-01
87,2025-01-01,Social,Tablet,Southeast Asia,14,11,1,0,2025-01
88,2025-01-01,Social,Tablet,East Asia,8,6,1,0,2025-01
89,2025-01-01,Social,Tablet,Oceania,6,4,0,0,2025-01
90,2025-01-01,Social,Tablet,Middle East,4,3,0,0,2025-01
91,2025-01-01,Affiliate,Mobile,North America,129,101,9,4,2025-01
92,2025-01-01,Affiliate,Mobile,Europe,59,39,6,3,2025-01
93,2025-01-01,Affiliate,Mobile,Southeast Asia,52,35,5,2,2025-01
94,2025-01-01,Affiliate,Mobile,East Asia,30,21,3,1,2025-01
95,2025-01-01,Affiliate,Mobile,Oceania,17,13,1,0,2025-01
96,2025-01-01,Affiliate,Mobile,Middle East,9,7,0,0,2025-01
97,2025-01-01,Affiliate,Desktop,North America,56,44,7,2,2025-01
98,2025-01-01,Affiliate,Desktop,Europe,28,22,3,1,2025-01
99,2025-01-01,Affiliate,Desktop,Southeast Asia,20,13,1,0,2025-01
100,2025-01-01,Affiliate,Desktop,East Asia,13,9,1,0,2025-01
101,2025-01-01,Affiliate,Desktop,Oceania,8,6,0,0,2025-01
102,2025-01-01,Affiliate,Desktop,Middle East,5,3,0,0,2025-01
103,2025-01-01,Affiliate,Tablet,North America,17,13,2,0,2025-01
104,2025-01-01,Affiliate,Tablet,Europe,10,7,1,0,2025-01
105,2025-01-01,Affiliate,Tablet,Southeast Asia,10,8,0,0,2025-01
106,2025-01-01,Affiliate,Tablet,East Asia,6,4,0,0,2025-01
107,2025-01-01,Affiliate,Tablet,Oceania,3,2,0,0,2025-01
108,2025-01-01,Affiliate,Tablet,Middle East,2,1,0,0,2025-01
109,2025-01-01,Display,Mobile,North America,66,48,5,2,2025-01
110,2025-01-01,Display,Mobile,Europe,36,29,3,1,2025-01
111,2025-01-01,Display,Mobile,Southeast Asia,25,16,3,1,2025-01
112,2025-01-01,Display,Mobile,East Asia,17,12,2,0,2025-01
113,2025-01-01,Display,Mobile,Oceania,8,5,1,0,2025-01
114,2025-01-01,Display,Mobile,Middle East,6,4,0,0,2025-01
115,2025-01-01,Display,Desktop,North America,30,20,3,1,2025-01
116,2025-01-01,Display,Desktop,Europe,16,12,2,0,2025-01
117,2025-01-01,Display,Desktop,Southeast Asia,13,10,1,0,2025-01
118,2025-01-01,Display,Desktop,East Asia,7,4,0,0,2025-01
119,2025-01-01,Display,Desktop,Oceania,3,2,0,0,2025-01
120,2025-01-01,Display,Desktop,Middle East,3,2,0,0,2025-01
121,2025-01-01,Display,Tablet,North America,13,9,1,0,2025-01
122,2025-01-01,Display,Tablet,Europe,5,3,0,0,2025-01
123,2025-01-01,Display,Tablet,Southeast Asia,5,3,0,0,2025-01
124,2025-01-01,Display,Tablet,East Asia,3,2,0,0,2025-01
125,2025-01-01,Display,Tablet,Oceania,1,0,0,0,2025-01
126,2025-01-01,Display,Tablet,Middle East,1,0,0,0,2025-01
127,2025-01-02,Organic Search,Mobile,North America,444,315,45,20,2025-01
128,2025-01-02,Organic Search,Mobile,Europe,287,214,26,14,2025-01
129,2025-01-02,Organic Search,Mobile,Southeast Asia,233,167,30,12,2025-01
130,2025-01-02,Organic Search,Mobile,East Asia,126,101,14,4,2025-01
131,2025-01-02,Organic Search,Mobile,Oceania,90,71,10,5,2025-01
132,2025-01-02,Organic Search,Mobile,Middle East,58,47,5,2,2025-01
133,2025-01-02,Organic Search,Desktop,North America,257,186,28,11,2025-01
134,2025-01-02,Organic Search,Desktop,Europe,143,108,18,10,2025-01
135,2025-01-02,Organic Search,Desktop,Southeast Asia,122,83,11,5,2025-01
136,2025-01-02,Organic Search,Desktop,East Asia,64,49,8,4,2025-01
137,2025-01-02,Organic Search,Desktop,Oceania,34,24,3,1,2025-01
138,2025-01-02,Organic Search,Desktop,Middle East,21,14,2,0,2025-01
139,2025-01-02,Organic Search,Tablet,North America,112,77,10,4,2025-01
140,2025-01-02,Organic Search,Tablet,Europe,49,35,5,2,2025-01
141,2025-01-02,Organic Search,Tablet,Southeast Asia,39,29,5,1,2025-01
142,2025-01-02,Organic Search,Tablet,East Asia,24,18,2,1,2025-01
143,2025-01-02,Organic Search,Tablet,Oceania,11,8,1,0,2025-01
144,2025-01-02,Organic Search,Tablet,Middle East,8,5,1,0,2025-01
145,2025-01-02,Paid Search,Mobile,North America,256,182,26,13,2025-01
146,2025-01-02,Paid Search,Mobile,Europe,140,104,10,5,2025-01
147,2025-01-02,Paid Search,Mobile,Southeast Asia,162,131,19,7,2025-01
148,2025-01-02,Paid Search,Mobile,East Asia,97,70,13,4,2025-01
149,2025-01-02,Paid Search,Mobile,Oceania,40,32,5,2,2025-01
150,2025-01-02,Paid Search,Mobile,Middle East,34,23,3,1,2025-01
151,2025-01-02,Paid Search,Desktop,North America,139,113,13,7,2025-01
152,2025-01-02,Paid Search,Desktop,Europe,68,46,5,2,2025-01
153,2025-01-02,Paid Search,Desktop,Southeast Asia,63,51,8,3,2025-01
154,2025-01-02,Paid Search,Desktop,East Asia,37,25,4,1,2025-01
155,2025-01-02,Paid Search,Desktop,Oceania,19,14,1,0,2025-01
156,2025-01-02,Paid Search,Desktop,Middle East,14,10,1,0,2025-01
157,2025-01-02,Paid Search,Tablet,North America,62,45,8,4,2025-01
158,2025-01-02,Paid Search,Tablet,Europe,31,21,3,1,2025-01
159,2025-01-02,Paid Search,Tablet,Southeast Asia,28,20,2,0,2025-01
160,2025-01-02,Paid Search,Tablet,East Asia,14,11,1,0,2025-01
161,2025-01-02,Paid Search,Tablet,Oceania,9,6,0,0,2025-01
162,2025-01-02,Paid Search,Tablet,Middle East,5,4,0,0,2025-01
163,2025-01-02,Direct,Mobile,North America,258,209,30,13,2025-01
164,2025-01-02,Direct,Mobile,Europe,122,89,10,5,2025-01
165,2025-01-02,Direct,Mobile,Southeast Asia,106,75,13,5,2025-01
166,2025-01-02,Direct,Mobile,East Asia,77,61,7,3,2025-01
167,2025-01-02,Direct,Mobile,Oceania,40,31,4,1,2025-01
168,2025-01-02,Direct,Mobile,Middle East,28,20,2,0,2025-01
169,2025-01-02,Direct,Desktop,North America,145,115,17,7,2025-01
170,2025-01-02,Direct,Desktop,Europe,77,62,6,3,2025-01
171,2025-01-02,Direct,Desktop,Southeast Asia,59,42,4,1,2025-01
172,2025-01-02,Direct,Desktop,East Asia,34,25,2,0,2025-01
173,2025-01-02,Direct,Desktop,Oceania,18,13,1,0,2025-01
174,2025-01-02,Direct,Desktop,Middle East,12,8,1,0,2025-01
175,2025-01-02,Direct,Tablet,North America,53,40,4,1,2025-01
176,2025-01-02,Direct,Tablet,Europe,21,16,2,0,2025-01
177,2025-01-02,Direct,Tablet,Southeast Asia,22,16,2,0,2025-01
178,2025-01-02,Direct,Tablet,East Asia,15,12,1,0,2025-01
179,2025-01-02,Direct,Tablet,Oceania,6,4,0,0,2025-01
180,2025-01-02,Direct,Tablet,Middle East,5,4,0,0,2025-01
181,2025-01-02,Email,Mobile,North America,199,150,22,10,2025-01
182,2025-01-02,Email,Mobile,Europe,101,71,11,6,2025-01
183,2025-01-02,Email,Mobile,Southeast Asia,71,47,6,2,2025-01
184,2025-01-02,Email,Mobile,East Asia,50,38,6,3,2025-01
185,2025-01-02,Email,Mobile,Oceania,26,17,3,1,2025-01
186,2025-01-02,Email,Mobile,Middle East,21,16,2,0,2025-01
187,2025-01-02,Email,Desktop,North America,74,56,8,4,2025-01
188,2025-01-02,Email,Desktop,Europe,45,34,3,1,2025-01
189,2025-01-02,Email,Desktop,Southeast Asia,39,26,3,1,2025-01
190,2025-01-02,Email,Desktop,East Asia,25,17,2,0,2025-01
191,2025-01-02,Email,Desktop,Oceania,12,8,1,0,2025-01
192,2025-01-02,Email,Desktop,Middle East,8,5,1,0,2025-01
193,2025-01-02,Email,Tablet,North America,32,25,4,1,2025-01
194,2025-01-02,Email,Tablet,Europe,17,11,2,0,2025-01
195,2025-01-02,Email,Tablet,Southeast Asia,17,13,2,0,2025-01
196,2025-01-02,Email,Tablet,East Asia,10,7,0,0,2025-01
197,2025-01-02,Email,Tablet,Oceania,4,3,0,0,2025-01
198,2025-01-02,Email,Tablet,Middle East,3,2,0,0,2025-01
199,2025-01-02,Social,Mobile,North America,184,127,19,10,2025-01
200,2025-01-02,Social,Mobile,Europe,130,105,14,5,2025-01
201,2025-01-02,Social,Mobile,Southeast Asia,109,74,9,4,2025-01
202,2025-01-02,Social,Mobile,East Asia,55,38,7,3,2025-01
203,2025-01-02,Social,Mobile,Oceania,29,23,3,1,2025-01
204,2025-01-02,Social,Mobile,Middle East,24,17,2,0,2025-01
205,2025-01-02,Social,Desktop,North America,118,94,16,5,2025-01
206,2025-01-02,Social,Desktop,Europe,54,41,7,2,2025-01
207,2025-01-02,Social,Desktop,Southeast Asia,44,29,5,2,2025-01
208,2025-01-02,Social,Desktop,East Asia,25,18,2,0,2025-01
209,2025-01-02,Social,Desktop,Oceania,16,12,2,0,2025-01
210,2025-01-02,Social,Desktop,Middle East,9,6,1,0,2025-01
211,2025-01-02,Social,Tablet,North America,46,34,3,1,2025-01
212,2025-01-02,Social,Tablet,Europe,19,14,2,0,2025-01
213,2025-01-02,Social,Tablet,Southeast Asia,17,12,2,0,2025-01
214,2025-01-02,Social,Tablet,East Asia,9,6,1,0,2025-01
215,2025-01-02,Social,Tablet,Oceania,5,4,0,0,2025-01
216,2025-01-02,Social,Tablet,Middle East,4,3,0,0,2025-01
217,2025-01-02,Affiliate,Mobile,North America,129,88,14,7,2025-01
218,2025-01-02,Affiliate,Mobile,Europe,71,53,9,4,2025-01
219,2025-01-02,Affiliate,Mobile,Southeast Asia,60,42,5,2,2025-01
220,2025-01-02,Affiliate,Mobile,East Asia,37,27,5,2,2025-01
221,2025-01-02,Affiliate,Mobile,Oceania,21,15,2,0,2025-01
222,2025-01-02,Affiliate,Mobile,Middle East,12,8,1,0,2025-01
223,2025-01-02,Affiliate,Desktop,North America,53,36,5,2,2025-01
224,2025-01-02,Affiliate,Desktop,Europe,27,19,3,1,2025-01
225,2025-01-02,Affiliate,Desktop,Southeast Asia,24,19,2,0,2025-01
226,2025-01-02,Affiliate,Desktop,East Asia,17,13,1,0,2025-01
227,2025-01-02,Affiliate,Desktop,Oceania,9,6,0,0,2025-01
228,2025-01-02,Affiliate,Desktop,Middle East,4,3,0,0,2025-01
229,2025-01-02,Affiliate,Tablet,North America,19,15,2,0,2025-01
230,2025-01-02,Affiliate,Tablet,Europe,10,7,0,0,2025-01
231,2025-01-02,Affiliate,Tablet,Southeast Asia,9,6,0,0,2025-01
232,2025-01-02,Affiliate,Tablet,East Asia,5,3,0,0,2025-01
233,2025-01-02,Affiliate,Tablet,Oceania,2,1,0,0,2025-01
234,2025-01-02,Affiliate,Tablet,Middle East,2,1,0,0,2025-01
235,2025-01-02,Display,Mobile,North America,60,44,7,2,2025-01
236,2025-01-02,Display,Mobile,Europe,41,30,5,1,2025-01
237,2025-01-02,Display,Mobile,Southeast Asia,35,24,4,1,2025-01
238,2025-01-02,Display,Mobile,East Asia,19,12,2,1,2025-01
239,2025-01-02,Display,Mobile,Oceania,9,6,0,0,2025-01
240,2025-01-02,Display,Mobile,Middle East,5,3,0,0,2025-01
241,2025-01-02,Display,Desktop,North America,26,19,3,1,2025-01
242,2025-01-02,Display,Desktop,Europe,19,13,1,0,2025-01
243,2025-01-02,Display,Desktop,Southeast Asia,12,8,1,0,2025-01
244,2025-01-02,Display,Desktop,East Asia,9,6,0,0,2025-01
245,2025-01-02,Display,Desktop,Oceania,4,2,0,0,2025-01
246,2025-01-02,Display,Desktop,Middle East,3,2,0,0,2025-01
247,2025-01-02,Display,Tablet,North America,10,6,1,0,2025-01
248,2025-01-02,Display,Tablet,Europe,6,4,0,0,2025-01
249,2025-01-02,Display,Tablet,Southeast Asia,6,4,0,0,2025-01
250,2025-01-02,Display,Tablet,East Asia,3,2,0,0,2025-01
251,2025-01-02,Display,Tablet,Oceania,2,1,0,0,2025-01
252,2025-01-02,Display,Tablet,Middle East,1,0,0,0,2025-01
253,2025-01-03,Organic Search,Mobile,North America,417,293,36,13,2025-01
254,2025-01-03,Organic Search,Mobile,Europe,241,169,20,10,2025-01
255,2025-01-03,Organic Search,Mobile,Southeast Asia,175,119,20,7,2025-01
256,2025-01-03,Organic Search,Mobile,East Asia,129,89,12,6,2025-01
257,2025-01-03,Organic Search,Mobile,Oceania,81,64,9,4,2025-01
258,2025-01-03,Organic Search,Mobile,Middle East,49,39,5,2,2025-01
259,2025-01-03,Organic Search,Desktop,North America,182,132,18,9,2025-01
260,2025-01-03,Organic Search,Desktop,Europe,115,89,14,7,2025-01
261,2025-01-03,Organic Search,Desktop,Southeast Asia,102,71,11,5,2025-01
262,2025-01-03,Organic Search,Desktop,East Asia,61,46,7,3,2025-01
263,2025-01-03,Organic Search,Desktop,Oceania,28,22,3,1,2025-01
264,2025-01-03,Organic Search,Desktop,Middle East,20,13,2,0,2025-01
265,2025-01-03,Organic Search,Tablet,North America,96,66,13,7,2025-01
266,2025-01-03,Organic Search,Tablet,Europe,41,29,5,2,2025-01
267,2025-01-03,Organic Search,Tablet,Southeast Asia,35,24,2,0,2025-01
268,2025-01-03,Organic Search,Tablet,East Asia,21,16,2,1,2025-01
269,2025-01-03,Organic Search,Tablet,Oceania,10,7,1,0,2025-01
270,2025-01-03,Organic Search,Tablet,Middle East,9,6,1,0,2025-01
271,2025-01-03,Paid Search,Mobile,North America,254,203,23,7,2025-01
272,2025-01-03,Paid Search,Mobile,Europe,154,124,18,8,2025-01
273,2025-01-03,Paid Search,Mobile,Southeast Asia,138,112,15,5,2025-01
274,2025-01-03,Paid Search,Mobile,East Asia,83,57,9,3,2025-01
275,2025-01-03,Paid Search,Mobile,Oceania,43,30,5,2,2025-01
276,2025-01-03,Paid Search,Mobile,Middle East,22,16,2,0,2025-01
277,2025-01-03,Paid Search,Desktop,North America,144,97,19,10,2025-01
278,2025-01-03,Paid Search,Desktop,Europe,71,53,7,2,2025-01
279,2025-01-03,Paid Search,Desktop,Southeast Asia,50,40,7,3,2025-01
280,2025-01-03,Paid Search,Desktop,East Asia,38,27,3,1,2025-01
281,2025-01-03,Paid Search,Desktop,Oceania,16,13,1,0,2025-01
282,2025-01-03,Paid Search,Desktop,Middle East,11,8,1,0,2025-01
283,2025-01-03,Paid Search,Tablet,North America,45,35,6,3,2025-01
284,2025-01-03,Paid Search,Tablet,Europe,28,18,3,1,2025-01
285,2025-01-03,Paid Search,Tablet,Southeast Asia,24,16,2,0,2025-01
286,2025-01-03,Paid Search,Tablet,East Asia,15,10,1,0,2025-01
287,2025-01-03,Paid Search,Tablet,Oceania,6,4,0,0,2025-01
288,2025-01-03,Paid Search,Tablet,Middle East,5,3,0,0,2025-01
289,2025-01-03,Direct,Mobile,North America,229,168,18,7,2025-01
290,2025-01-03,Direct,Mobile,Europe,125,89,17,7,2025-01
291,2025-01-03,Direct,Mobile,Southeast Asia,116,82,9,4,2025-01
292,2025-01-03,Direct,Mobile,East Asia,75,56,7,3,2025-01
293,2025-01-03,Direct,Mobile,Oceania,39,29,3,1,2025-01
294,2025-01-03,Direct,Mobile,Middle East,27,19,3,1,2025-01
295,2025-01-03,Direct,Desktop,North America,118,82,9,3,2025-01
296,2025-01-03,Direct,Desktop,Europe,62,48,8,3,2025-01
297,2025-01-03,Direct,Desktop,Southeast Asia,43,31,5,2,2025-01
298,2025-01-03,Direct,Desktop,East Asia,29,21,3,1,2025-01
299,2025-01-03,Direct,Desktop,Oceania,18,12,2,0,2025-01
300,2025-01-03,Direct,Desktop,Middle East,12,8,1,0,2025-01
301,2025-01-03,Direct,Tablet,North America,43,31,3,1,2025-01
302,2025-01-03,Direct,Tablet,Europe,21,16,2,0,2025-01
303,2025-01-03,Direct,Tablet,Southeast Asia,19,15,2,0,2025-01
304,2025-01-03,Direct,Tablet,East Asia,10,7,1,0,2025-01
305,2025-01-03,Direct,Tablet,Oceania,5,3,0,0,2025-01
306,2025-01-03,Direct,Tablet,Middle East,4,2,0,0,2025-01
307,2025-01-03,Email,Mobile,North America,193,154,24,10,2025-01
308,2025-01-03,Email,Mobile,Europe,100,73,9,4,2025-01
309,2025-01-03,Email,Mobile,Southeast Asia,75,50,7,3,2025-01
310,2025-01-03,Email,Mobile,East Asia,52,36,7,3,2025-01
311,2025-01-03,Email,Mobile,Oceania,28,18,2,1,2025-01
312,2025-01-03,Email,Mobile,Middle East,16,12,1,0,2025-01
313,2025-01-03,Email,Desktop,North America,85,59,10,5,2025-01
314,2025-01-03,Email,Desktop,Europe,33,24,4,1,2025-01
315,2025-01-03,Email,Desktop,Southeast Asia,30,20,3,1,2025-01
316,2025-01-03,Email,Desktop,East Asia,17,13,2,0,2025-01
317,2025-01-03,Email,Desktop,Oceania,13,10,1,0,2025-01
318,2025-01-03,Email,Desktop,Middle East,8,5,0,0,2025-01
319,2025-01-03,Email,Tablet,North America,28,20,4,1,2025-01
320,2025-01-03,Email,Tablet,Europe,15,11,1,0,2025-01
321,2025-01-03,Email,Tablet,Southeast Asia,13,8,1,0,2025-01
322,2025-01-03,Email,Tablet,East Asia,9,6,1,0,2025-01
323,2025-01-03,Email,Tablet,Oceania,5,3,0,0,2025-01
324,2025-01-03,Email,Tablet,Middle East,2,1,0,0,2025-01
325,2025-01-03,Social,Mobile,North America,167,131,15,7,2025-01
326,2025-01-03,Social,Mobile,Europe,106,74,11,3,2025-01
327,2025-01-03,Social,Mobile,Southeast Asia,73,54,5,2,2025-01
328,2025-01-03,Social,Mobile,East Asia,49,33,3,1,2025-01
329,2025-01-03,Social,Mobile,Oceania,26,19,2,0,2025-01
330,2025-01-03,Social,Mobile,Middle East,22,16,2,0,2025-01
331,2025-01-03,Social,Desktop,North America,85,57,8,4,2025-01
332,2025-01-03,Social,Desktop,Europe,40,29,4,2,2025-01
333,2025-01-03,Social,Desktop,Southeast Asia,39,29,3,1,2025-01
334,2025-01-03,Social,Desktop,East Asia,24,16,2,0,2025-01
335,2025-01-03,Social,Desktop,Oceania,11,7,0,0,2025-01
336,2025-01-03,Social,Desktop,Middle East,8,6,1,0,2025-01
337,2025-01-03,Social,Tablet,North America,33,23,3,1,2025-01
338,2025-01-03,Social,Tablet,Europe,20,15,1,0,2025-01
339,2025-01-03,Social,Tablet,Southeast Asia,16,11,1,0,2025-01
340,2025-01-03,Social,Tablet,East Asia,8,6,0,0,2025-01
341,2025-01-03,Social,Tablet,Oceania,4,3,0,0,2025-01
342,2025-01-03,Social,Tablet,Middle East,3,2,0,0,2025-01
343,2025-01-03,Affiliate,Mobile,North America,117,87,11,4,2025-01
344,2025-01-03,Affiliate,Mobile,Europe,55,39,4,1,2025-01
345,2025-01-03,Affiliate,Mobile,Southeast Asia,44,35,4,1,2025-01
346,2025-01-03,Affiliate,Mobile,East Asia,24,17,2,0,2025-01
347,2025-01-03,Affiliate,Mobile,Oceania,17,13,1,0,2025-01
348,2025-01-03,Affiliate,Mobile,Middle East,11,7,1,0,2025-01
349,2025-01-03,Affiliate,Desktop,North America,46,31,4,1,2025-01
350,2025-01-03,Affiliate,Desktop,Europe,25,17,3,1,2025-01
351,2025-01-03,Affiliate,Desktop,Southeast Asia,22,15,2,0,2025-01
352,2025-01-03,Affiliate,Desktop,East Asia,12,9,1,0,2025-01
353,2025-01-03,Affiliate,Desktop,Oceania,6,4,0,0,2025-01
354,2025-01-03,Affiliate,Desktop,Middle East,5,3,0,0,2025-01
355,2025-01-03,Affiliate,Tablet,North America,18,12,1,0,2025-01
356,2025-01-03,Affiliate,Tablet,Europe,10,7,0,0,2025-01
357,2025-01-03,Affiliate,Tablet,Southeast Asia,8,6,0,0,2025-01
358,2025-01-03,Affiliate,Tablet,East Asia,5,3,0,0,2025-01
359,2025-01-03,Affiliate,Tablet,Oceania,2,1,0,0,2025-01
360,2025-01-03,Affiliate,Tablet,Middle East,1,0,0,0,2025-01
361,2025-01-03,Display,Mobile,North America,56,45,4,2,2025-01
362,2025-01-03,Display,Mobile,Europe,27,20,3,1,2025-01
363,2025-01-03,Display,Mobile,Southeast Asia,24,19,3,1,2025-01
364,2025-01-03,Display,Mobile,East Asia,15,11,1,0,2025-01
365,2025-01-03,Display,Mobile,Oceania,8,5,0,0,2025-01
366,2025-01-03,Display,Mobile,Middle East,5,4,0,0,2025-01
367,2025-01-03,Display,Desktop,North America,30,22,3,1,2025-01
368,2025-01-03,Display,Desktop,Europe,16,11,1,0,2025-01
369,2025-01-03,Display,Desktop,Southeast Asia,12,8,1,0,2025-01
370,2025-01-03,Display,Desktop,East Asia,8,6,0,0,2025-01
371,2025-01-03,Display,Desktop,Oceania,3,2,0,0,2025-01
372,2025-01-03,Display,Desktop,Middle East,2,1,0,0,2025-01
373,2025-01-03,Display,Tablet,North America,12,8,1,0,2025-01
374,2025-01-03,Display,Tablet,Europe,5,3,0,0,2025-01
375,2025-01-03,Display,Tablet,Southeast Asia,5,3,0,0,2025-01
376,2025-01-03,Display,Tablet,East Asia,3,2,0,0,2025-01
377,2025-01-03,Display,Tablet,Oceania,1,0,0,0,2025-01
378,2025-01-03,Display,Tablet,Middle East,1,0,0,0,2025-01
379,2025-01-04,Organic Search,Mobile,North America,522,360,49,26,2025-01
380,2025-01-04,Organic Search,Mobile,Europe,330,260,26,12,2025-01
381,2025-01-04,Organic Search,Mobile,Southeast Asia,269,191,24,12,2025-01
