MonthStart,ScenarioID,BusinessUnitID,RegionID,Revenue,PlanRevenue,ForecastRevenue,COGS,GrossProfit,OperatingExpense,EBITDA,PlanEBITDA,ForecastEBITDA,NetIncome,IsSynthetic
2024-04-01,Base,enterprise,emea,1864516.14,2068375.91,1855285.28,329796.75,1534719.39,839470.51,695248.88,827350.36,785007.18,541340.94,TRUE
2024-04-01,Base,enterprise,apac,1283749.01,1287564.0,1299058.25,215748.47,1068000.54,595961.28,472039.26,515025.6,561113.59,367268.31,TRUE
2024-04-01,Base,enterprise,latam,392206.21,374031.31,388564.02,81559.91,310646.31,182075.87,128570.44,149612.52,152335.9,99377.35,TRUE
2024-04-01,Base,smb,americas,3272707.69,3353905.9,3282599.52,820668.44,2452039.25,1451280.04,1000759.22,1173867.07,1146410.79,770135.81,TRUE
2024-04-01,Base,smb,emea,1513511.82,1412170.91,1524606.75,393021.26,1120490.56,686300.92,434189.64,494259.82,518861.71,332687.16,TRUE
2024-04-01,Base,smb,apac,828634.97,879076.39,806556.47,223937.75,604697.22,387344.86,217352.36,307676.74,265962.83,165445.92,TRUE
2024-04-01,Base,smb,latam,392206.21,255367.57,394593.62,116302.98,275903.24,183336.53,92566.71,89378.65,119745.25,69854.29,TRUE
2024-04-01,Base,data,americas,2155912.48,2135773.9,2166005.13,194857.7,1961054.78,949108.23,1011946.55,939740.51,1103833.18,796537.78,TRUE
2024-04-01,Base,data,emea,881233.44,899273.22,880346.7,110247.45,770985.99,396762.18,374223.81,395680.22,418071.5,293269.09,TRUE
2024-04-01,Base,data,apac,609660.36,559797.58,600003.94,62289.03,547371.33,283025.7,264345.63,246310.93,298699.93,207358.43,TRUE
2024-04-01,Base,data,latam,392206.21,162618.57,393129.87,63501.83,328704.39,182075.87,146628.52,71552.17,172226.55,114184.98,TRUE
2024-04-01,Base,services,americas,1321014.28,1359539.12,1317016.65,757315.77,563698.51,589341.33,-25642.82,81572.35,35185.99,-50494.96,TRUE
2024-04-01,Base,services,emea,558449.99,572437.52,560547.33,336641.02,221808.97,254724.63,-32915.65,34346.25,-1576.93,-43421.73,TRUE
2024-04-01,Base,services,apac,392206.21,356342.36,390830.07,229158.34,163047.88,184387.08,-21339.21,21380.54,6143.76,-28717.75,TRUE
2024-04-01,Base,services,latam,392206.21,103515.79,399369.53,251011.98,141194.24,184387.08,-43192.85,6210.95,-15974.78,-50571.39,TRUE
2024-05-01,Base,enterprise,americas,4816406.47,5051259.01,4784796.42,825163.02,3991243.45,2103165.5,1888077.96,2020503.61,2051130.37,1474046.8,TRUE
2024-05-01,Base,enterprise,emea,2054361.05,2126845.9,2041694.78,360363.28,1693997.77,917615.17,776382.6,850738.36,866875.43,604994.67,TRUE
2024-05-01,Base,enterprise,apac,1280733.94,1323961.57,1256414.6,214077.22,1066656.72,589991.79,476664.93,529584.63,543836.57,371140.76,TRUE
2024-05-01,Base,enterprise,latam,411989.52,384604.63,397466.12,84420.83,327568.69,189789.95,137778.74,153841.85,157034.83,106633.54,TRUE
2024-05-01,Base,smb,americas,3456225.31,3448715.96,3385708.02,830516.03,2625709.27,1524031.74,1101677.54,1207050.59,1217853.78,850146.51,TRUE
2024-05-01,Base,smb,emea,1428094.15,1452090.93,1422248.48,373730.02,1054364.13,644002.85,410361.28,508231.83,481148.87,314502.27,TRUE
2024-05-01,Base,smb,apac,904570.8,903926.6,891616.12,215807.33,688763.46,420582.6,268180.87,316374.31,322252.99,205977.08,TRUE
2024-05-01,Base,smb,latam,411989.52,262586.44,399481.49,118053.2,293936.32,191555.62,102380.69,91905.26,125219.79,77607.15,TRUE
2024-05-01,Base,data,americas,2214727.52,2196149.13,2149341.91,212677.92,2002049.59,967098.3,1034951.29,966305.62,1083206.13,814551.21,TRUE
2024-05-01,Base,data,emea,917084.96,924694.37,882232.59,97327.81,819757.15,409631.53,410125.61,406865.52,435710.54,322179.05,TRUE
2024-05-01,Base,data,apac,657215.0,575622.25,645048.59,68605.85,588609.16,302757.23,285851.93,253273.79,319693.34,224276.86,TRUE
2024-05-01,Base,data,latam,411989.52,167215.57,394512.26,61507.71,350481.81,189789.95,160691.85,73574.85,177808.9,125422.3,TRUE
2024-05-01,Base,services,americas,1369214.32,1397971.32,1347839.83,798279.27,570935.05,608648.75,-37713.69,83878.28,22886.38,-63429.75,TRUE
2024-05-01,Base,services,emea,591192.4,588619.5,576455.37,366186.91,225005.48,268711.18,-43705.7,35317.17,-11185.52,-54809.25,TRUE
2024-05-01,Base,services,apac,411989.52,366415.64,403646.55,236630.22,175359.3,193027.01,-17667.71,21984.94,10349.58,-25405.54,TRUE
2024-05-01,Base,services,latam,411989.52,106442.03,399869.61,262810.01,149179.51,193027.01,-43847.51,6386.52,-15156.9,-51585.34,TRUE
2024-06-01,Base,enterprise,americas,5118128.22,5190125.24,5181544.87,841052.91,4277075.31,2218443.41,2058631.9,2076050.1,2257452.86,1609342.66,TRUE
2024-06-01,Base,enterprise,emea,2084575.27,2185315.89,2116627.68,381697.67,1702877.59,924401.13,778476.46,874126.36,882409.95,606282.32,TRUE
2024-06-01,Base,enterprise,apac,1324457.04,1360359.14,1340792.19,211450.57,1113006.46,605870.47,507135.99,544143.66,590416.82,395476.53,TRUE
2024-06-01,Base,enterprise,latam,411056.28,395177.96,421805.54,91745.71,319310.56,188036.95,131273.61,158071.18,158938.43,101320.82,TRUE
2024-06-01,Base,smb,americas,3435380.84,3543526.02,3535395.0,913490.16,2521890.68,1507463.43,1014427.25,1240234.11,1181152.42,778981.64,TRUE
2024-06-01,Base,smb,emea,1562477.57,1492010.96,1575331.57,420881.21,1141596.36,701248.27,440348.1,522203.83,520855.28,337048.83,TRUE
2024-06-01,Base,smb,apac,1036916.25,928776.82,1074506.2,246508.33,790407.92,479890.37,310517.55,325071.89,389259.05,238672.83,TRUE
2024-06-01,Base,smb,latam,411056.28,269805.31,417232.06,126696.9,284359.38,190239.04,94120.34,94431.86,121738.82,70855.14,TRUE
2024-06-01,Base,data,americas,2272160.08,2256524.36,2319409.23,218662.44,2053497.64,984863.67,1068633.97,992870.72,1168436.05,841325.73,TRUE
2024-06-01,Base,data,emea,970235.73,950115.52,970115.81,111411.39,858824.34,430249.28,428575.06,418050.83,470671.86,336505.78,TRUE
2024-06-01,Base,data,apac,589491.83,591446.91,600528.52,63548.76,525943.07,269661.97,256281.1,260236.64,295578.57,201081.96,TRUE
2024-06-01,Base,data,latam,411056.28,171812.56,425725.74,64773.96,346282.32,188036.95,158245.37,75597.53,188349.88,123437.66,TRUE
2024-06-01,Base,services,americas,1353734.05,1436403.52,1363537.65,773150.88,580583.16,600069.17,-19486.01,86184.21,39372.63,-44882.81,TRUE
2024-06-01,Base,services,emea,549395.77,604801.48,565680.84,333050.27,216345.5,249024.41,-32678.91,36288.09,-3513.97,-42985.87,TRUE
2024-06-01,Base,services,apac,411056.28,376488.92,417677.45,234616.85,176439.43,192074.11,-15634.68,22589.34,12210.48,-23346.33,TRUE
2024-06-01,Base,services,latam,411056.28,109368.27,414873.34,263076.02,147980.26,192074.11,-44093.85,6562.1,-16594.93,-51805.49,TRUE
2024-07-01,Base,enterprise,americas,5147984.73,5328991.47,5157234.34,733301.4,4414683.32,2213056.29,2201627.03,2131596.59,2359721.64,1726270.56,TRUE
2024-07-01,Base,enterprise,emea,2165410.47,2243785.88,2134659.01,366882.95,1798527.52,952537.84,845989.68,897514.35,919122.64,660454.8,TRUE
2024-07-01,Base,enterprise,apac,1319257.56,1396756.71,1321361.22,196958.66,1122298.9,598795.03,523503.87,558702.68,595544.01,409011.8,TRUE
2024-07-01,Base,enterprise,latam,431530.36,405751.28,434225.23,94827.03,336703.33,195866.4,140836.93,162300.51,165115.92,108858.77,TRUE
2024-07-01,Base,smb,americas,3834486.27,3638336.08,3843344.8,945753.84,2888732.42,1673049.48,1215682.95,1273417.63,1358068.13,937969.33,TRUE
2024-07-01,Base,smb,emea,1511809.01,1531930.98,1531814.59,412636.23,1099172.77,674745.25,424427.53,536175.84,500992.15,324811.96,TRUE
2024-07-01,Base,smb,apac,1023818.66,953627.04,1039790.07,242523.4,781295.25,471280.58,310014.67,333769.46,377567.31,238488.05,TRUE
2024-07-01,Base,smb,latam,431530.36,277024.19,435122.34,115374.99,316155.37,198640.53,117514.85,96958.47,144738.06,89734.66,TRUE
2024-07-01,Base,data,americas,2377605.13,2316899.6,2389131.98,234062.48,2143542.64,1022103.65,1121438.99,1019435.82,1198281.95,883064.32,TRUE
2024-07-01,Base,data,emea,1000252.99,975536.67,1018525.48,141258.61,858994.38,439999.18,418995.21,429236.14,467276.19,328214.02,TRUE
2024-07-01,Base,data,apac,683211.74,607271.58,687032.99,83198.5,600013.24,310101.53,289911.7,267199.49,328555.96,227234.72,TRUE
2024-07-01,Base,data,latam,431530.36,176409.55,440518.54,68718.78,362811.58,195866.4,166945.18,77620.2,194161.03,130267.53,TRUE
2024-07-01,Base,services,americas,1460883.39,1474835.72,1464464.67,879803.23,581080.17,645233.63,-64153.47,88490.14,-3281.21,-91515.04,TRUE
2024-07-01,Base,services,emea,622135.62,620983.46,625176.7,374469.21,247666.41,281002.24,-33335.83,37259.01,-1193.65,-44988.1,TRUE
2024-07-01,Base,services,apac,431530.36,386562.2,437724.39,258671.2,172859.16,200952.3,-28093.14,23193.73,250.56,-36175.47,TRUE
2024-07-01,Base,services,latam,431530.36,112294.51,428894.12,272083.54,159446.82,200952.3,-41505.48,6737.67,-13084.9,-49587.82,TRUE
2024-08-01,Base,enterprise,americas,5232934.09,5467857.7,5199745.4,772267.23,4460666.86,2240110.97,2220555.88,2187143.08,2352477.94,1740400.58,TRUE
2024-08-01,Base,enterprise,emea,2195013.76,2302255.87,2198284.79,410633.09,1784380.66,961590.18,822790.48,920902.35,907725.85,640940.33,TRUE
2024-08-01,Base,enterprise,apac,1250758.92,1433154.28,1249043.35,219325.79,1031433.13,565442.27,465990.86,573261.71,530401.05,362882.35,TRUE
2024-08-01,Base,enterprise,latam,421770.03,416324.6,421949.51,100112.27,321657.76,190673.52,130984.24,166529.84,153014.83,100922.45,TRUE
2024-08-01,Base,smb,americas,3747890.51,3733146.14,3689054.24,950809.57,2797080.94,1632503.68,1164577.26,1306601.15,1277549.26,897330.34,TRUE
2024-08-01,Base,smb,emea,1427590.21,1571851.01,1409434.82,385371.45,1042218.75,636104.7,406114.05,550147.85,465190.4,311064.63,TRUE
2024-08-01,Base,smb,apac,962355.7,978477.25,981742.94,245254.97,717100.72,442278.8,274821.93,342467.04,338849.98,210557.97,TRUE
2024-08-01,Base,smb,latam,421770.03,284243.06,417232.66,125182.06,296587.97,193836.79,102751.18,99485.07,126504.23,77771.34,TRUE
2024-08-01,Base,data,americas,2301084.19,2377274.83,2289429.42,265446.5,2035637.7,985046.6,1050591.09,1046000.93,1109555.61,826106.02,TRUE
2024-08-01,Base,data,emea,988294.31,1000957.82,1001561.41,134683.54,853610.77,432951.32,420659.45,440421.44,464445.28,329745.94,TRUE
2024-08-01,Base,data,apac,664114.51,623096.25,662374.24,67858.68,596255.83,300232.45,296023.38,274162.35,329743.68,232528.55,TRUE
2024-08-01,Base,data,latam,421770.03,181006.54,419701.96,63122.48,358647.55,190673.52,167974.03,79642.88,189008.2,131254.08,TRUE
2024-08-01,Base,services,americas,1251728.39,1513267.92,1248801.74,731650.12,520078.27,553050.33,-32972.06,90796.08,19341.59,-56441.64,TRUE
2024-08-01,Base,services,emea,543934.01,637165.44,545109.25,326761.28,217172.73,245765.34,-28592.61,38229.93,-401.74,-38791.23,TRUE
2024-08-01,Base,services,apac,421770.03,396635.49,413412.93,252318.31,169451.72,196472.85,-27021.14,23798.13,728.97,-34929.21,TRUE
2024-08-01,Base,services,latam,421770.03,115220.75,429499.37,264565.58,157204.45,196472.85,-39268.4,6913.25,-11714.38,-47176.48,TRUE
2024-09-01,Base,enterprise,americas,5231686.31,5606723.92,5269774.08,932395.85,4299290.46,2227720.91,2071569.54,2242689.57,2222680.56,1618221.56,TRUE
2024-09-01,Base,enterprise,emea,1948172.15,2360725.86,1929961.82,330347.29,1617824.87,849039.08,768785.79,944290.34,830717.69,600440.67,TRUE
2024-09-01,Base,enterprise,apac,1426009.28,1469551.85,1400230.55,226813.96,1199195.33,641437.75,557757.58,587820.74,617424.61,435428.61,TRUE
2024-09-01,Base,enterprise,latam,427639.03,426897.93,423566.28,88361.48,339277.55,192357.67,146919.88,170759.17,166619.83,113897.04,TRUE
2024-09-01,Base,smb,americas,3412119.4,3827956.2,3390925.49,894464.21,2517655.18,1482172.1,1035483.08,1339784.67,1145646.92,796616.34,TRUE
2024-09-01,Base,smb,emea,1358402.9,1611771.03,1364567.95,358826.05,999576.85,603653.32,395923.53,564119.86,458286.21,303764.51,TRUE
2024-09-01,Base,smb,apac,972737.13,1003327.47,957196.36,236919.97,735817.16,445887.72,289929.45,351164.61,341182.96,222781.05,TRUE
2024-09-01,Base,smb,latam,427639.03,291461.93,434749.19,123546.37,304092.66,196023.15,108069.52,102011.68,135248.99,82039.74,TRUE
2024-09-01,Base,data,americas,2392791.1,2437650.07,2402681.68,215351.2,2177439.9,1018881.96,1158557.95,1072566.03,1225367.66,913215.42,TRUE
2024-09-01,Base,data,emea,970581.78,1026378.98,970592.69,109233.94,861347.84,422992.32,438355.52,451606.75,473120.44,344523.58,TRUE
2024-09-01,Base,data,apac,637433.85,638920.91,628687.19,77450.56,559983.29,286726.14,273257.15,281125.2,300824.5,214266.87,TRUE
2024-09-01,Base,data,latam,427639.03,185603.53,428926.13,72348.28,355290.75,192357.67,162933.08,81665.55,184789.64,127027.86,TRUE
2024-09-01,Base,services,americas,1436992.9,1551700.12,1435427.57,858390.27,578602.63,634471.81,-55869.19,93102.01,3801.32,-82822.28,TRUE
2024-09-01,Base,services,emea,544031.31,653347.42,547844.36,321858.13,222173.18,245645.07,-23471.89,39200.85,4592.62,-33676.07,TRUE
2024-09-01,Base,services,apac,427639.03,406708.77,431072.48,249125.34,178513.69,199077.71,-20564.02,24402.53,7517.96,-28585.07,TRUE
2024-09-01,Base,services,latam,427639.03,118146.99,427815.63,273688.98,153950.05,199077.71,-45127.66,7088.82,-17112.63,-53148.71,TRUE
2024-10-01,Base,enterprise,americas,5445127.03,5745590.15,5277603.5,803711.43,4641415.6,2302772.08,2338643.52,2298236.06,2387577.47,1833992.83,TRUE
2024-10-01,Base,enterprise,emea,2084153.08,2419195.85,2021840.3,364976.94,1719176.14,902240.53,816935.61,967678.34,859039.46,637852.52,TRUE
2024-10-01,Base,enterprise,apac,1309074.48,1505949.42,1254666.21,211285.36,1097789.12,585032.08,512757.04,602379.77,550295.89,400339.51,TRUE
2024-10-01,Base,enterprise,latam,417358.03,437471.25,404262.72,91587.48,325770.55,186519.44,139251.11,174988.5,153843.86,107770.87,TRUE
2024-10-01,Base,smb,americas,3756424.33,3922766.27,3621396.5,916086.63,2840337.7,1624833.73,1215503.97,1372968.19,1289680.78,938974.77,TRUE
2024-10-01,Base,smb,emea,1448168.5,1651691.06,1397538.88,365761.7,1082406.8,640884.03,441522.76,578091.87,485549.07,339789.45,TRUE
2024-10-01,Base,smb,apac,1036293.16,1028177.68,996697.51,240071.52,796221.64,473117.54,323104.1,359862.19,367119.86,249016.91,TRUE
2024-10-01,Base,smb,latam,417358.03,298680.8,408021.01,121699.89,295658.14,190543.96,105114.18,104538.28,125835.35,79778.58,TRUE
2024-10-01,Base,data,americas,2333300.01,2498025.3,2250778.87,267476.34,2065823.67,986764.51,1079059.16,1099131.13,1092450.74,848964.29,TRUE
2024-10-01,Base,data,emea,896603.46,1051800.13,868932.09,124309.54,772293.92,388144.23,384149.69,462792.06,400886.2,301221.42,TRUE
2024-10-01,Base,data,apac,600916.03,654745.58,585340.89,61704.16,539211.87,268552.45,270659.42,288088.05,291099.68,212704.28,TRUE
2024-10-01,Base,data,latam,417358.03,190200.52,402888.32,69322.33,348035.71,186519.44,161516.27,83688.23,174814.06,126028.3,TRUE
2024-10-01,Base,services,americas,1334638.81,1590132.32,1286009.51,768803.59,565835.22,588020.09,-22184.87,95407.94,30814.48,-47202.18,TRUE
2024-10-01,Base,services,emea,498558.69,669529.4,477730.85,308034.77,190523.92,224642.41,-34118.49,40171.76,-8527.76,-43463.79,TRUE
2024-10-01,Base,services,apac,417358.03,416782.05,399799.6,245740.0,171618.03,193897.73,-22279.71,25006.92,4478.14,-30102.93,TRUE
2024-10-01,Base,services,latam,417358.03,121073.23,398592.37,264208.41,153149.62,193897.73,-40748.12,7264.39,-13173.39,-48571.34,TRUE
2024-11-01,Base,enterprise,americas,5352621.64,5884456.38,5329890.01,844164.71,4508456.93,2247009.8,2261447.13,2353782.55,2357354.31,1772191.99,TRUE
2024-11-01,Base,enterprise,emea,2237875.94,2477665.84,2202569.46,379974.67,1857901.28,961830.4,896070.88,991066.34,947561.79,700413.38,TRUE
2024-11-01,Base,enterprise,apac,1456971.5,1542346.99,1443992.75,217760.73,1239210.77,646598.3,592612.47,616938.79,650574.74,463569.03,TRUE
2024-11-01,Base,enterprise,latam,440898.55,448044.57,441215.3,84920.84,355977.71,195669.07,160308.64,179217.83,179747.33,124682.67,TRUE
2024-11-01,Base,smb,americas,3604857.49,4017576.33,3575300.58,885440.04,2719417.45,1551928.66,1167488.79,1406151.71,1267000.2,901984.75,TRUE
2024-11-01,Base,smb,emea,1486076.1,1691611.08,1463852.92,365906.94,1120169.16,654631.99,465537.18,592063.88,517876.69,358920.36,TRUE
2024-11-01,Base,smb,apac,1004114.03,1053027.9,983148.77,230803.0,773311.04,456380.28,316930.76,368559.77,363905.29,244464.09,TRUE
2024-11-01,Base,smb,latam,440898.55,305899.67,440636.63,128103.63,312794.92,200392.98,112401.94,107064.88,136354.45,85399.17,TRUE
2024-11-01,Base,data,americas,2431225.81,2558400.53,2440785.96,256318.65,2174907.16,1020619.16,1154288.0,1125696.23,1207145.02,909182.35,TRUE
2024-11-01,Base,data,emea,1005864.47,1077221.28,994801.55,140485.55,865378.92,432316.65,433062.27,473977.36,457940.5,339665.05,TRUE
2024-11-01,Base,data,apac,644724.21,670570.25,641316.89,59582.22,585141.99,286126.1,299015.89,295050.91,325522.81,235292.67,TRUE
2024-11-01,Base,data,latam,440898.55,194797.51,434819.47,67173.89,373724.66,195669.07,178055.59,85710.91,194643.98,139235.16,TRUE
2024-11-01,Base,services,americas,1372630.64,1628564.52,1337613.88,803514.86,569115.78,603187.41,-34071.63,97713.87,19551.69,-59776.58,TRUE
2024-11-01,Base,services,emea,589301.25,685711.38,578229.05,357201.99,232099.26,264854.95,-32755.69,41142.68,-3553.2,-43791.41,TRUE
2024-11-01,Base,services,apac,440898.55,426855.33,435663.86,256026.3,184872.25,204329.57,-19457.32,25611.32,8411.76,-27713.93,TRUE
2024-11-01,Base,services,latam,440898.55,123999.47,440820.7,282175.07,158723.48,204329.57,-45606.1,7439.97,-17632.83,-53862.71,TRUE
2024-12-01,Base,enterprise,americas,5482592.66,6023322.6,5490366.5,975375.02,4507217.64,2287728.63,2219489.01,2409329.04,2317461.88,1735793.77,TRUE
2024-12-01,Base,enterprise,emea,2143443.2,2536135.83,2163740.79,350070.09,1793373.11,915831.79,877541.33,1014454.33,944859.36,686670.53,TRUE
2024-12-01,Base,enterprise,apac,1374545.34,1578744.56,1364689.57,205394.48,1169150.86,606547.42,562603.44,631497.82,614891.98,440228.17,TRUE
2024-12-01,Base,enterprise,latam,458564.88,458617.9,461759.24,94752.26,363812.61,202351.52,161461.09,183447.16,181643.24,125356.66,TRUE
2024-12-01,Base,smb,americas,3746007.54,4112386.39,3793485.86,938906.87,2807100.67,1607250.85,1199849.82,1439335.24,1325284.59,926355.54,TRUE
2024-12-01,Base,smb,emea,1454135.57,1731531.11,1470439.1,398769.1,1055366.47,638448.44,416918.04,606035.89,479023.43,319544.01,TRUE
2024-12-01,Base,smb,apac,1080128.51,1077878.12,1102516.71,274846.02,805282.49,489359.81,315922.68,377257.34,380967.18,242470.83,TRUE
2024-12-01,Base,smb,latam,426629.98,313118.54,431820.94,123454.19,303175.79,193287.71,109888.08,109591.49,134136.27,83557.17,TRUE
2024-12-01,Base,data,americas,2443847.37,2618775.77,2440153.66,224830.42,2219016.95,1019747.4,1199269.56,1152261.34,1239601.6,945874.87,TRUE
