MonthStart,ScenarioID,Statement,LineItem,LineSort,ValueActual,ValuePlan,ValueForecast
2024-10-01,Base,Income Statement,EBITDA,30,7668885.67,5305457.14,5056771.69
2024-10-01,Base,Income Statement,Net Income,40,5907093.5,2652728.57,2638315.67
2024-10-01,Base,Balance Sheet,Cash,110,171496687.14,64000000.0,174926620.89
2024-10-01,Base,Balance Sheet,Working Capital,120,2511305.25,2893885.71,2461079.15
2024-10-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-10-01,Base,Cash Flow,Operating Cash Flow,210,8006998.68,4340828.57,8247208.64
2024-10-01,Base,Cash Flow,Capex,220,-821881.72,-844050.0,-838319.35
2024-10-01,Base,Cash Flow,Free Cash Flow,230,7185116.96,3135042.86,7472521.64
2024-10-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-11-01,Base,Income Statement,Revenue,10,23390755.83,24698571.43,23176087.97
2024-11-01,Base,Income Statement,Gross Profit,20,18031202.75,18770914.29,17845587.74
2024-11-01,Base,Income Statement,EBITDA,30,7905328.81,5433685.71,5330500.23
2024-11-01,Base,Income Statement,Net Income,40,6089856.03,2716842.86,2781130.56
2024-11-01,Base,Balance Sheet,Cash,110,178906365.83,64000000.0,182484493.15
2024-11-01,Base,Balance Sheet,Working Capital,120,2572983.14,2963828.57,2521523.48
2024-11-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-11-01,Base,Cash Flow,Operating Cash Flow,210,8251745.9,4445742.86,8499298.28
2024-11-01,Base,Cash Flow,Capex,220,-842067.21,-864450.0,-858908.55
2024-11-01,Base,Cash Flow,Free Cash Flow,230,7409678.69,3210814.29,7706065.84
2024-11-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-12-01,Base,Income Statement,Revenue,10,23414182.57,25281428.57,23562278.39
2024-12-01,Base,Income Statement,Gross Profit,20,17875596.26,19213885.71,18142954.36
2024-12-01,Base,Income Statement,EBITDA,30,7788693.38,5561914.29,5419324.03
2024-12-01,Base,Income Statement,Net Income,40,5990635.0,2780957.14,2827473.41
2024-12-01,Base,Balance Sheet,Cash,110,186198912.69,64000000.0,189922890.94
2024-12-01,Base,Balance Sheet,Working Capital,120,2575560.08,3033771.43,2524048.88
2024-12-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2024-12-01,Base,Cash Flow,Operating Cash Flow,210,8135457.43,4550657.14,8379521.15
2024-12-01,Base,Cash Flow,Capex,220,-842910.57,-884850.0,-859768.78
2024-12-01,Base,Cash Flow,Free Cash Flow,230,7292546.85,3286585.71,7584248.73
2024-12-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-01-01,Base,Income Statement,Revenue,10,24053447.52,25864285.71,24670243.33
2025-01-01,Base,Income Statement,Gross Profit,20,18407858.47,19656857.14,18996087.36
2025-01-01,Base,Income Statement,EBITDA,30,8104254.78,5690142.86,5674155.97
2025-01-01,Base,Income Statement,Net Income,40,6240149.18,2845071.43,2960429.2
2025-01-01,Base,Balance Sheet,Cash,110,193793474.91,64000000.0,197669344.41
2025-01-01,Base,Balance Sheet,Working Capital,120,2645879.23,3103714.29,2592961.64
2025-01-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-01-01,Base,Cash Flow,Operating Cash Flow,210,8460486.34,4655571.43,8714300.93
2025-01-01,Base,Cash Flow,Capex,220,-865924.11,-905250.0,-883242.59
2025-01-01,Base,Cash Flow,Free Cash Flow,230,7594562.23,3362357.14,7898344.72
2025-01-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-02-01,Base,Income Statement,Revenue,10,25774303.25,26447142.86,25397414.64
2025-02-01,Base,Income Statement,Gross Profit,20,19730782.71,20099828.57,19556009.27
2025-02-01,Base,Income Statement,EBITDA,30,8780637.92,5818371.43,5841405.37
2025-02-01,Base,Income Statement,Net Income,40,6768562.75,2909185.71,3047689.76
2025-02-01,Base,Balance Sheet,Cash,110,202027955.35,64000000.0,206068514.46
2025-02-01,Base,Balance Sheet,Working Capital,120,2835173.36,3173657.14,2778469.89
2025-02-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-02-01,Base,Cash Flow,Operating Cash Flow,210,9162355.35,4760485.71,9437226.01
2025-02-01,Base,Cash Flow,Capex,220,-927874.92,-925650.0,-946432.42
2025-02-01,Base,Cash Flow,Free Cash Flow,230,8234480.44,3438128.57,8563859.65
2025-02-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-03-01,Base,Income Statement,Revenue,10,26579986.42,27030000.0,26908147.71
2025-03-01,Base,Income Statement,Gross Profit,20,20380904.94,20542800.0,20719273.74
2025-03-01,Base,Income Statement,EBITDA,30,9160732.58,5946600.0,6188873.97
2025-03-01,Base,Income Statement,Net Income,40,7069494.41,2973300.0,3228977.73
2025-03-01,Base,Balance Sheet,Cash,110,210625458.02,64000000.0,214837967.18
2025-03-01,Base,Balance Sheet,Working Capital,120,2923798.51,3243600.0,2865322.54
2025-03-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-03-01,Base,Cash Flow,Operating Cash Flow,210,9554382.18,4865400.0,9841013.64
2025-03-01,Base,Cash Flow,Capex,220,-956879.51,-946050.0,-976017.1
2025-03-01,Base,Cash Flow,Free Cash Flow,230,8597502.67,3513900.0,8941402.77
2025-03-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-04-01,Base,Income Statement,Revenue,10,28580995.33,27612857.14,28683753.61
2025-04-01,Base,Income Statement,Gross Profit,20,22167853.03,20985771.43,22086490.28
2025-04-01,Base,Income Statement,EBITDA,30,10204437.38,6074828.57,6597263.33
2025-04-01,Base,Income Statement,Net Income,40,7895792.02,3037414.29,3442050.43
2025-04-01,Base,Balance Sheet,Cash,110,220224264.11,64000000.0,224628749.39
2025-04-01,Base,Balance Sheet,Working Capital,120,3143909.49,3313542.86,3081031.3
2025-04-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-04-01,Base,Cash Flow,Operating Cash Flow,210,10627721.92,4970314.29,10946553.58
2025-04-01,Base,Cash Flow,Capex,220,-1028915.83,-966450.0,-1049494.15
2025-04-01,Base,Cash Flow,Free Cash Flow,230,9598806.09,3589671.43,9982758.33
2025-04-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-05-01,Base,Income Statement,Revenue,10,28835549.87,28195714.29,28662433.91
2025-05-01,Base,Income Statement,Gross Profit,20,22186196.48,21428742.86,22070074.11
2025-05-01,Base,Income Statement,EBITDA,30,10170873.75,6203057.14,6592359.8
2025-05-01,Base,Income Statement,Net Income,40,7866192.03,3101528.57,3439492.07
2025-05-01,Base,Balance Sheet,Cash,110,229784112.55,64000000.0,234379794.8
2025-05-01,Base,Balance Sheet,Working Capital,120,3171910.49,3383485.71,3108472.28
2025-05-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-05-01,Base,Cash Flow,Operating Cash Flow,210,10597928.24,5075228.57,10915866.09
2025-05-01,Base,Cash Flow,Capex,220,-1038079.8,-986850.0,-1058841.39
2025-05-01,Base,Cash Flow,Free Cash Flow,230,9559848.45,3665442.86,9942242.38
2025-05-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-06-01,Base,Income Statement,Revenue,10,29696386.88,28778571.43,29885837.06
2025-06-01,Base,Income Statement,Gross Profit,20,22926396.98,21871714.29,23012094.53
2025-06-01,Base,Income Statement,EBITDA,30,10626288.04,6331285.71,6873742.52
2025-06-01,Base,Income Statement,Net Income,40,8225634.7,3165642.86,3586300.45
2025-06-01,Base,Balance Sheet,Cash,110,239781134.15,64000000.0,244576756.83
2025-06-01,Base,Balance Sheet,Working Capital,120,3266602.56,3453428.57,3201270.51
2025-06-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-06-01,Base,Cash Flow,Operating Cash Flow,210,11066091.53,5180142.86,11398074.27
2025-06-01,Base,Cash Flow,Capex,220,-1069069.93,-1007250.0,-1090451.33
2025-06-01,Base,Cash Flow,Free Cash Flow,230,9997021.6,3741214.29,10396902.46
2025-06-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-07-01,Base,Income Statement,Revenue,10,29940341.53,29361428.57,29622136.18
2025-07-01,Base,Income Statement,Gross Profit,20,23256172.14,22314685.71,22809044.86
2025-07-01,Base,Income Statement,EBITDA,30,10928612.0,6459514.29,6813091.32
2025-07-01,Base,Income Statement,Net Income,40,8478889.1,3229757.14,3554656.34
2025-07-01,Base,Balance Sheet,Cash,110,250075310.31,64000000.0,255076816.51
2025-07-01,Base,Balance Sheet,Working Capital,120,3293437.57,3523371.43,3227568.82
2025-07-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-07-01,Base,Cash Flow,Operating Cash Flow,210,11372028.46,5285057.14,11713189.31
2025-07-01,Base,Cash Flow,Capex,220,-1077852.29,-1027650.0,-1099409.34
2025-07-01,Base,Cash Flow,Free Cash Flow,230,10294176.16,3816985.71,10705943.21
2025-07-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-08-01,Base,Income Statement,Revenue,10,29071478.49,29944285.71,29723269.89
2025-08-01,Base,Income Statement,Gross Profit,20,22550970.18,22757657.14,22886917.82
2025-08-01,Base,Income Statement,EBITDA,30,10617228.76,6587742.86,6836352.08
2025-08-01,Base,Income Statement,Net Income,40,8230110.78,3293871.43,3566792.39
2025-08-01,Base,Balance Sheet,Cash,110,260076514.44,64000000.0,265278044.73
2025-08-01,Base,Balance Sheet,Working Capital,120,3197862.63,3593314.29,3133905.38
2025-08-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-08-01,Base,Cash Flow,Operating Cash Flow,210,11047777.36,5389971.43,11379210.68
2025-08-01,Base,Cash Flow,Capex,220,-1046573.23,-1048050.0,-1067504.69
2025-08-01,Base,Cash Flow,Free Cash Flow,230,10001204.14,3892757.14,10401252.3
2025-08-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-09-01,Base,Income Statement,Revenue,10,29961066.23,30527142.86,29577917.76
2025-09-01,Base,Income Statement,Gross Profit,20,23105432.17,23200628.57,22774996.68
2025-09-01,Base,Income Statement,EBITDA,30,10888295.03,6715971.43,6802921.09
2025-09-01,Base,Income Statement,Net Income,40,8436048.94,3357985.71,3549350.13
2025-09-01,Base,Balance Sheet,Cash,110,270329934.48,64000000.0,275736533.17
2025-09-01,Base,Balance Sheet,Working Capital,120,3295717.29,3663257.14,3229802.94
2025-09-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-09-01,Base,Cash Flow,Operating Cash Flow,210,11332018.42,5494885.71,11671978.98
2025-09-01,Base,Cash Flow,Capex,220,-1078598.38,-1068450.0,-1100170.35
2025-09-01,Base,Cash Flow,Free Cash Flow,230,10253420.04,3968528.57,10663556.84
2025-09-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-10-01,Base,Income Statement,Revenue,10,28426513.04,31110000.0,27593433.27
2025-10-01,Base,Income Statement,Gross Profit,20,21967132.27,23643600.0,21246943.62
2025-10-01,Base,Income Statement,EBITDA,30,10399197.54,6844200.0,6346489.65
2025-10-01,Base,Income Statement,Net Income,40,8068700.9,3422100.0,3311211.99
2025-10-01,Base,Balance Sheet,Cash,110,280126774.21,64000000.0,285729309.7
2025-10-01,Base,Balance Sheet,Working Capital,120,3126916.43,3733200.0,3064378.11
2025-10-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-10-01,Base,Cash Flow,Operating Cash Flow,210,10820194.2,5599800.0,11144800.02
2025-10-01,Base,Cash Flow,Capex,220,-1023354.47,-1088850.0,-1043821.56
2025-10-01,Base,Cash Flow,Free Cash Flow,230,9796839.73,4044300.0,10188713.32
2025-10-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-11-01,Base,Income Statement,Revenue,10,28647760.57,31692857.14,28752756.83
2025-11-01,Base,Income Statement,Gross Profit,20,22170216.29,24086571.43,22139622.76
2025-11-01,Base,Income Statement,EBITDA,30,10578113.57,6972428.57,6613134.07
2025-11-01,Base,Income Statement,Net Income,40,8206042.08,3486214.29,3450330.82
2025-11-01,Base,Balance Sheet,Cash,110,290097841.74,64000000.0,295899798.57
2025-11-01,Base,Balance Sheet,Working Capital,120,3151253.66,3803142.86,3088228.59
2025-11-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-11-01,Base,Cash Flow,Operating Cash Flow,210,11002386.91,5704714.29,11332458.51
2025-11-01,Base,Cash Flow,Capex,220,-1031319.38,-1109250.0,-1051945.77
2025-11-01,Base,Cash Flow,Free Cash Flow,230,9971067.53,4120071.43,10369910.23
2025-11-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2025-12-01,Base,Income Statement,Revenue,10,30020704.54,32275714.29,29466894.49
2025-12-01,Base,Income Statement,Gross Profit,20,23276503.32,24529542.86,22689508.76
2025-12-01,Base,Income Statement,EBITDA,30,11211358.29,7100657.14,6777385.73
2025-12-01,Base,Income Statement,Net Income,40,8712047.47,3550328.57,3536027.34
2025-12-01,Base,Balance Sheet,Cash,110,300673061.3,64000000.0,306686522.52
2025-12-01,Base,Balance Sheet,Working Capital,120,3302277.5,3873085.71,3236231.95
2025-12-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2025-12-01,Base,Cash Flow,Operating Cash Flow,210,11655964.92,5809628.57,12005643.87
2025-12-01,Base,Cash Flow,Capex,220,-1080745.36,-1129650.0,-1102360.27
2025-12-01,Base,Cash Flow,Free Cash Flow,230,10575219.56,4195842.86,10998228.34
2025-12-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2026-01-01,Base,Income Statement,Revenue,10,31754710.52,32858571.43,32880136.4
2026-01-01,Base,Income Statement,Gross Profit,20,24762613.22,24972514.29,25317705.03
2026-01-01,Base,Income Statement,EBITDA,30,12088278.57,7228885.71,7562431.37
2026-01-01,Base,Income Statement,Net Income,40,9400464.89,3614442.86,3945616.37
2026-01-01,Base,Balance Sheet,Cash,110,312088457.55,64000000.0,318330226.7
2026-01-01,Base,Balance Sheet,Working Capital,120,3493018.16,3943028.57,3423157.79
2026-01-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2026-01-01,Base,Cash Flow,Operating Cash Flow,210,12558565.83,5914542.86,12935322.81
2026-01-01,Base,Cash Flow,Capex,220,-1143169.58,-1150050.0,-1166032.97
2026-01-01,Base,Cash Flow,Free Cash Flow,230,11415396.25,4271614.29,11872012.1
2026-01-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2026-02-01,Base,Income Statement,Revenue,10,31912220.48,33441428.57,32945689.89
2026-02-01,Base,Income Statement,Gross Profit,20,24710886.15,25415485.71,25368181.21
2026-02-01,Base,Income Statement,EBITDA,30,12055511.19,7357114.29,7577508.67
2026-02-01,Base,Income Statement,Net Income,40,9373531.08,3678557.14,3953482.79
2026-02-01,Base,Balance Sheet,Cash,110,323467748.79,64000000.0,329937103.77
2026-02-01,Base,Balance Sheet,Working Capital,120,3510344.25,4012971.43,3440137.37
2026-02-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2026-02-01,Base,Cash Flow,Operating Cash Flow,210,12528131.18,6019457.14,12903975.11
2026-02-01,Base,Cash Flow,Capex,220,-1148839.94,-1170450.0,-1171816.74
2026-02-01,Base,Cash Flow,Free Cash Flow,230,11379291.24,4347385.71,11834462.89
2026-02-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2026-03-01,Base,Income Statement,Revenue,10,34297865.08,34024285.71,35502622.05
2026-03-01,Base,Income Statement,Gross Profit,20,26757641.42,25858457.14,27337018.98
2026-03-01,Base,Income Statement,EBITDA,30,13272004.42,7485342.86,8165603.07
2026-03-01,Base,Income Statement,Net Income,40,10337058.85,3742671.43,4260314.65
2026-03-01,Base,Balance Sheet,Cash,110,336012981.45,64000000.0,342733241.08
2026-03-01,Base,Balance Sheet,Working Capital,120,3772765.16,4082914.29,3697309.86
2026-03-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2026-03-01,Base,Cash Flow,Operating Cash Flow,210,13779955.81,6124371.43,14193354.48
2026-03-01,Base,Cash Flow,Capex,220,-1234723.14,-1190850.0,-1259417.61
2026-03-01,Base,Cash Flow,Free Cash Flow,230,12545232.66,4423157.14,13047041.97
2026-03-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2026-04-01,Base,Income Statement,Revenue,10,36013999.05,34607142.86,35816830.49
2026-04-01,Base,Income Statement,Gross Profit,20,28074306.56,26301428.57,27578959.48
2026-04-01,Base,Income Statement,EBITDA,30,14006354.3,7613571.43,8237871.01
2026-04-01,Base,Income Statement,Net Income,40,10910391.23,3806785.71,4298019.66
2026-04-01,Base,Balance Sheet,Cash,110,363256199.12,64000000.0,370521323.1
2026-04-01,Base,Balance Sheet,Working Capital,120,3961539.9,4152857.14,3882309.1
2026-04-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2026-04-01,Base,Cash Flow,Operating Cash Flow,210,14539721.63,6229285.71,14975913.28
2026-04-01,Base,Cash Flow,Capex,220,-1296503.97,-1211250.0,-1322434.05
2026-04-01,Base,Cash Flow,Free Cash Flow,230,13243217.66,4498928.57,13772946.37
2026-04-01,Base,Cash Flow,Financing Inflow,240,14000000.0,0.0,14000000.0
2026-05-01,Base,Income Statement,Revenue,10,36695726.19,35190000.0,37657138.26
2026-05-01,Base,Income Statement,Gross Profit,20,28530928.86,26744400.0,28995996.46
2026-05-01,Base,Income Statement,EBITDA,30,14261904.94,7741800.0,8661141.8
2026-05-01,Base,Income Statement,Net Income,40,11112219.24,3870900.0,4518856.59
2026-05-01,Base,Balance Sheet,Cash,110,376740521.62,64000000.0,384275332.05
2026-05-01,Base,Balance Sheet,Working Capital,120,4036529.88,4222800.0,3955799.28
2026-05-01,Base,Balance Sheet,Debt,130,34000000.0,34000000.0,34000000.0
2026-05-01,Base,Cash Flow,Operating Cash Flow,210,14805368.64,6334200.0,15249529.7
2026-05-01,Base,Cash Flow,Capex,220,-1321046.14,-1231650.0,-1347467.07
2026-05-01,Base,Cash Flow,Free Cash Flow,230,13484322.5,4574700.0,14023695.4
2026-05-01,Base,Cash Flow,Financing Inflow,240,0.0,0.0,0.0
2024-01-01,Upside,Income Statement,Revenue,10,20126397.82,18870000.0,19833791.02
2024-01-01,Upside,Income Statement,Gross Profit,20,16103515.12,14341200.0,15272019.08
2024-01-01,Upside,Income Statement,EBITDA,30,7587909.11,4151400.0,4561771.93
2024-01-01,Upside,Income Statement,Net Income,40,5904003.6,2075700.0,2380054.92
2024-01-01,Upside,Balance Sheet,Cash,110,119272427.82,64000000.0,121657876.38
2024-01-01,Upside,Balance Sheet,Working Capital,120,2153524.57,2264400.0,2110454.08
