MonthStart,ScenarioID,RevenueLTM,EBITDALTM,NetDebt,LeverageRatio,LeverageLimit,LeverageHeadroom,InterestCoverage,InterestCoverageLimit,Liquidity,LiquidityMinimum,LiquidityHeadroom,CovenantStatus,RiskScore
2026-01-01,Base,347289796.68,125654053.43,-278088457.55,0.27,3.5,3.23,45.07,2.0,312088457.55,25000000,287088457.55,Clear,0.0
2026-02-01,Base,353427713.91,128928926.7,-289467748.79,0.26,3.5,3.24,46.24,2.0,323467748.79,25000000,298467748.79,Clear,0.0
2026-03-01,Base,361145592.57,133040198.55,-302012981.45,0.26,3.5,3.24,47.72,2.0,336012981.45,25000000,311012981.45,Clear,0.0
2026-04-01,Base,368578596.29,136842115.47,-329256199.12,0.25,3.5,3.25,49.08,2.0,363256199.12,25000000,338256199.12,Clear,0.0
2026-05-01,Base,376438772.61,140933146.66,-342740521.62,0.24,3.5,3.26,50.55,2.0,376740521.62,25000000,351740521.62,Clear,0.0
2024-01-01,Upside,20126397.82,7587909.11,-88272427.82,4.09,3.5,-0.59,2.99,2.0,119272427.82,25000000,94272427.82,Breach,71.7
2024-02-01,Upside,41197169.71,15748670.41,-96102904.77,1.97,3.5,1.53,6.2,2.0,127102904.77,25000000,102102904.77,Clear,34.7
2024-03-01,Upside,63742442.32,24566599.4,-104567436.62,1.26,3.5,2.24,9.66,2.0,135567436.62,25000000,110567436.62,Clear,20.0
2024-04-01,Upside,88222895.33,34318687.32,-113935793.43,0.9,3.5,2.6,13.5,2.0,144935793.43,25000000,119935793.43,Clear,10.5
2024-05-01,Upside,113573094.83,44585910.66,-123805652.4,0.7,3.5,2.8,17.54,2.0,154805652.4,25000000,129805652.4,Clear,3.2
2024-06-01,Upside,139196910.9,55022509.94,-133840598.36,0.56,3.5,2.94,21.65,2.0,164840598.36,25000000,139840598.36,Clear,0.0
2024-07-01,Upside,165312020.52,65685562.99,-144094297.06,0.47,3.5,3.03,25.84,2.0,175094297.06,25000000,150094297.06,Clear,0.0
2024-08-01,Upside,191274271.97,76563520.18,-154565295.97,0.4,3.5,3.1,30.12,2.0,185565295.97,25000000,160565295.97,Clear,0.0
2024-09-01,Upside,217025211.58,87409640.69,-165007770.49,0.35,3.5,3.15,34.39,2.0,196007770.49,25000000,171007770.49,Clear,0.0
2024-10-01,Upside,243323665.66,98607092.65,-175792994.19,0.31,3.5,3.19,38.79,2.0,206792994.19,25000000,181792994.19,Clear,0.0
2024-11-01,Upside,269445264.83,109813249.71,-186589695.18,0.28,3.5,3.22,43.2,2.0,217589695.18,25000000,192589695.18,Clear,0.0
2024-12-01,Upside,296760665.58,121468559.69,-197816836.26,0.26,3.5,3.24,47.78,2.0,228816836.26,25000000,203816836.26,Clear,0.0
2025-01-01,Upside,304839065.48,126182763.96,-209676839.44,0.25,3.5,3.25,49.64,2.0,240676839.44,25000000,215676839.44,Clear,0.0
2025-02-01,Upside,313305799.22,131264744.48,-222456580.85,0.24,3.5,3.26,51.64,2.0,253456580.85,25000000,228456580.85,Clear,0.0
2025-03-01,Upside,321998146.91,136443755.29,-235963870.96,0.23,3.5,3.27,53.68,2.0,266963870.96,25000000,241963870.96,Clear,0.0
2025-04-01,Upside,329898252.82,141427958.06,-250192596.38,0.22,3.5,3.28,55.64,2.0,281192596.38,25000000,256192596.38,Clear,0.0
2025-05-01,Upside,338320129.84,146659291.6,-265161775.97,0.21,3.5,3.29,57.69,2.0,296161775.97,25000000,271161775.97,Clear,0.0
2025-06-01,Upside,347632760.84,152339432.0,-280730886.83,0.2,3.5,3.3,59.93,2.0,311730886.83,25000000,286730886.83,Clear,0.0
2025-07-01,Upside,357320054.3,158234337.32,-296727642.54,0.2,3.5,3.3,62.25,2.0,327727642.54,25000000,302727642.54,Clear,0.0
2025-08-01,Upside,366910118.85,163968472.4,-312782452.26,0.19,3.5,3.31,64.5,2.0,343782452.26,25000000,318782452.26,Clear,0.0
2025-09-01,Upside,377031947.56,170193379.57,-329291174.28,0.18,3.5,3.32,66.95,2.0,360291174.28,25000000,335291174.28,Clear,0.0
2025-10-01,Upside,386444773.71,176040022.94,-345775495.3,0.18,3.5,3.32,69.25,2.0,376775495.3,25000000,351775495.3,Clear,0.0
2025-11-01,Upside,395938657.26,181971781.71,-362355138.44,0.17,3.5,3.33,71.59,2.0,393355138.44,25000000,368355138.44,Clear,0.0
2025-12-01,Upside,406832488.19,188851302.48,-380291039.49,0.16,3.5,3.34,74.29,2.0,411291039.49,25000000,386291039.49,Clear,0.0
2026-01-01,Upside,415999432.79,195022152.49,-398178200.82,0.16,3.5,3.34,76.72,2.0,429178200.82,25000000,404178200.82,Clear,0.0
2026-02-01,Upside,428017864.3,202161873.06,-417909273.89,0.15,3.5,3.35,79.53,2.0,448909273.89,25000000,423909273.89,Clear,0.0
2026-03-01,Upside,440875659.88,210328759.62,-439381904.61,0.15,3.5,3.35,82.74,2.0,470381904.61,25000000,445381904.61,Clear,0.0
2026-04-01,Upside,452208644.68,217653810.38,-460758036.25,0.14,3.5,3.36,85.62,2.0,491758036.25,25000000,466758036.25,Clear,0.0
2026-05-01,Upside,464092579.66,225347673.92,-483234798.71,0.14,3.5,3.36,88.65,2.0,514234798.71,25000000,489234798.71,Clear,0.0
2024-01-01,Downside,15840556.81,3313603.24,-32423623.35,11.47,3.5,-7.97,1.06,2.0,70423623.35,25000000,45423623.35,Breach,100.0
2024-02-01,Downside,32640601.23,6683827.84,-30607674.24,5.69,3.5,-2.19,2.15,2.0,68607674.24,25000000,43607674.24,Breach,100.0
2024-03-01,Downside,49998111.62,10140824.94,-28706407.89,3.75,3.5,-0.25,3.25,2.0,66706407.89,25000000,41706407.89,Breach,87.3
2024-04-01,Downside,67796868.74,13858049.37,-26929155.99,2.74,3.5,0.76,4.45,2.0,64929155.99,25000000,39929155.99,Clear,71.9
2024-05-01,Downside,86579030.62,17742482.64,-25015535.89,2.14,3.5,1.36,5.69,2.0,63015535.89,25000000,38015535.89,Clear,63.1
2024-06-01,Downside,105727367.57,21786661.12,-23148622.75,1.74,3.5,1.76,6.99,2.0,61148622.75,25000000,36148622.75,Clear,57.4
2024-07-01,Downside,123995704.31,25670246.58,-21392772.66,1.48,3.5,2.02,8.24,2.0,59392772.66,25000000,34392772.66,Clear,53.9
2024-08-01,Downside,143552403.98,29799206.2,-19484579.09,1.28,3.5,2.22,9.56,2.0,57484579.09,25000000,32484579.09,Clear,51.4
2024-09-01,Downside,162792792.19,33677723.88,-17423588.93,1.13,3.5,2.37,10.81,2.0,55423588.93,25000000,30423588.93,Clear,49.9
2024-10-01,Downside,181323567.6,37602192.83,-15627607.52,1.01,3.5,2.49,12.07,2.0,53627607.52,25000000,28627607.52,Clear,48.7
2024-11-01,Downside,200133298.4,41413869.74,-13632720.53,0.92,3.5,2.58,13.29,2.0,51632720.53,25000000,26632720.53,Clear,48.0
2024-12-01,Downside,220200601.73,45590953.54,-11615027.79,0.83,3.5,2.67,14.63,2.0,49615027.79,25000000,24615027.79,Clear,47.5
2025-01-01,Downside,224932227.23,46515745.62,-9502790.43,0.82,3.5,2.68,14.93,2.0,47502790.43,25000000,22502790.43,Clear,48.1
2025-02-01,Downside,229822262.92,47736192.95,-7397734.62,0.8,3.5,2.7,15.32,2.0,45397734.62,25000000,20397734.62,Clear,48.6
2025-03-01,Downside,234837812.21,49079066.69,-5291041.95,0.77,3.5,2.73,15.75,2.0,43291041.95,25000000,18291041.95,Clear,49.1
2025-04-01,Downside,240675997.2,50457242.08,-3089717.74,0.75,3.5,2.75,16.19,2.0,41089717.74,25000000,16089717.74,Clear,49.6
2025-05-01,Downside,246782617.3,51967571.77,-801313.69,0.73,3.5,2.77,16.68,2.0,38801313.69,25000000,13801313.69,Clear,50.2
2025-06-01,Downside,252328705.57,53368734.39,1376514.27,0.71,3.5,2.79,17.13,2.0,36623485.73,25000000,11623485.73,Clear,50.7
2025-07-01,Downside,257858697.49,54724334.81,3483872.44,0.69,3.5,2.81,17.56,2.0,34516127.56,25000000,9516127.56,Watch,51.3
2025-08-01,Downside,261542227.88,55807296.66,5446209.99,0.68,3.5,2.82,17.91,2.0,32553790.01,25000000,7553790.01,Watch,51.9
2025-09-01,Downside,265128349.51,56898262.28,7523270.28,0.67,3.5,2.83,18.26,2.0,30476729.72,25000000,5476729.72,Watch,52.5
2025-10-01,Downside,268588976.38,57655227.38,9630582.11,0.66,3.5,2.84,18.5,2.0,28369417.89,25000000,3369417.89,Watch,53.2
2025-11-01,Downside,272750376.09,58882729.8,11682590.76,0.65,3.5,2.85,18.9,2.0,26317409.24,25000000,1317409.24,Watch,53.8
2025-12-01,Downside,275011923.52,59525453.47,13755699.54,0.64,3.5,2.86,19.1,2.0,24244300.46,25000000,-755699.54,Breach,54.5
2026-01-01,Downside,278231212.39,60496927.61,15890257.22,0.63,3.5,2.87,19.41,2.0,22109742.78,25000000,-2890257.22,Breach,55.2
2026-02-01,Downside,280966780.1,61278034.52,18058675.88,0.62,3.5,2.88,19.67,2.0,19941324.12,25000000,-5058675.88,Breach,55.9
2026-03-01,Downside,284281815.3,62106817.59,-13640063.16,0.61,3.5,2.89,19.93,2.0,51640063.16,25000000,26640063.16,Clear,43.1
2026-04-01,Downside,287013122.55,62894873.37,-11383640.18,0.6,3.5,2.9,20.18,2.0,49383640.18,25000000,24383640.18,Clear,43.9
2026-05-01,Downside,289687490.39,63477909.54,-8852694.95,0.6,3.5,2.9,20.37,2.0,46852694.95,25000000,21852694.95,Clear,44.8
