MonthStart,ScenarioID,CostCategoryID,OperatingExpense,PlanOperatingExpense,ForecastOperatingExpense
2025-09-01,Base,support,1882704.68,2105465.59,1899130.78
2025-10-01,Base,sm,9227413.99,9636430.4,9357714.85
2025-10-01,Base,rd,6312613.08,6802186.16,6426801.88
2025-10-01,Base,ga,3329774.55,3684517.5,3329156.71
2025-10-01,Base,support,1827868.9,1983970.96,1790577.49
2025-11-01,Base,sm,8904861.05,9707730.13,9053279.99
2025-11-01,Base,rd,6502154.4,6852515.39,6418512.85
2025-11-01,Base,ga,3386078.95,3711779.17,3311792.03
2025-11-01,Base,support,1831326.55,1998650.32,1814141.6
2025-12-01,Base,sm,9392992.55,10188959.21,9363377.86
2025-12-01,Base,rd,6641461.44,7192206.5,6649176.16
2025-12-01,Base,ga,3494737.34,3895778.52,3527132.47
2025-12-01,Base,support,1876538.48,2097726.9,1959838.65
2026-01-01,Base,sm,9539734.13,10689156.01,9557065.82
2026-01-01,Base,rd,6855379.98,7545286.6,6907871.19
2026-01-01,Base,ga,3650212.6,4087030.24,3605936.89
2026-01-01,Base,support,1992037.33,2200708.59,1997444.92
2026-02-01,Base,sm,9939201.59,10819831.86,9946905.4
2026-02-01,Base,rd,6938342.93,7637528.37,7203337.21
2026-02-01,Base,ga,3637379.85,4136994.54,3653249.1
2026-02-01,Base,support,1959878.69,2227612.44,1989145.83
2026-03-01,Base,sm,10468994.35,11616939.59,10602671.21
2026-03-01,Base,rd,7427393.8,8200192.65,7292040.42
2026-03-01,Base,ga,3844927.5,4441771.02,3898415.65
2026-03-01,Base,support,2198380.54,2391722.86,2182510.72
2026-04-01,Base,sm,10564447.64,12028403.09,10343195.35
2026-04-01,Base,rd,7625757.31,8490637.48,7496459.3
2026-04-01,Base,ga,4132884.39,4599095.3,4002085.28
2026-04-01,Base,support,2195890.36,2476435.93,2168296.91
2026-05-01,Base,sm,10918959.35,12176376.24,11129928.26
2026-05-01,Base,rd,7449727.22,8595089.11,7411988.22
2026-05-01,Base,ga,4075289.64,4655673.27,4085648.13
2026-05-01,Base,support,2174497.35,2506900.99,2128130.1
2024-01-01,Upside,sm,6285183.38,6643622.98,6446816.63
2024-01-01,Upside,rd,4496910.65,4689616.22,4442700.35
2024-01-01,Upside,ga,2314725.28,2540208.79,2337395.29
2024-01-01,Upside,support,1300717.9,1367804.73,1330580.58
2024-02-01,Upside,sm,6320905.74,6959313.89,6278754.83
2024-02-01,Upside,rd,4611540.88,4912456.86,4727823.62
2024-02-01,Upside,ga,2383499.48,2660914.13,2452044.02
2024-02-01,Upside,support,1348081.74,1432799.92,1334191.0
2024-03-01,Upside,sm,6925377.55,7441705.58,6936771.63
2024-03-01,Upside,rd,4936967.99,5252968.64,4940635.65
2024-03-01,Upside,ga,2574406.94,2845358.01,2643001.77
2024-03-01,Upside,support,1426032.09,1532115.85,1435246.21
2024-04-01,Upside,sm,7426216.33,7906005.22,7369516.15
2024-04-01,Upside,rd,5262232.84,5580709.57,5426931.57
2024-04-01,Upside,ga,2829426.75,3022884.35,2832761.58
2024-04-01,Upside,support,1523383.07,1627706.96,1522234.75
2024-05-01,Upside,sm,7684026.85,8156663.95,7541472.96
2024-05-01,Upside,rd,5356289.8,5757645.14,5372599.95
2024-05-01,Upside,ga,2930318.79,3118724.45,2895475.57
2024-05-01,Upside,support,1535737.32,1679313.17,1540035.92
2024-06-01,Upside,sm,7723378.23,8324925.07,7727143.64
2024-06-01,Upside,rd,5329657.59,5876417.69,5273820.73
2024-06-01,Upside,ga,2908967.63,3183059.58,2939311.41
2024-06-01,Upside,support,1563499.78,1713955.16,1560709.56
2024-07-01,Upside,sm,7650237.72,8427761.91,7571908.54
2024-07-01,Upside,rd,5734306.93,5949008.41,5698232.64
2024-07-01,Upside,ga,2951231.83,3222379.55,2924713.04
2024-07-01,Upside,support,1559219.11,1735127.45,1536763.36
2024-08-01,Upside,sm,7779393.76,8344788.04,7827322.87
2024-08-01,Upside,rd,5290306.38,5890438.62,5288686.5
2024-08-01,Upside,ga,2925100.72,3190654.25,2973627.84
2024-08-01,Upside,support,1569420.86,1718044.6,1562104.85
2024-09-01,Upside,sm,7554965.36,8289891.39,7722460.76
2024-09-01,Upside,rd,5359672.26,5851688.04,5346940.68
2024-09-01,Upside,ga,2851885.94,3169664.35,2913263.11
2024-09-01,Upside,support,1576863.19,1706742.34,1595155.04
2024-10-01,Upside,sm,7597574.92,8487732.68,7763163.02
2024-10-01,Upside,rd,5246104.6,5991340.72,5229104.79
2024-10-01,Upside,ga,3020806.47,3245309.55,3072944.37
2024-10-01,Upside,support,1581156.1,1747474.38,1571685.69
2024-11-01,Upside,sm,7365621.04,8328469.34,7310015.89
2024-11-01,Upside,rd,5377327.23,5878919.53,5512920.31
2024-11-01,Upside,ga,2935565.75,3184414.75,2982074.15
2024-11-01,Upside,support,1501597.77,1714684.86,1422694.68
2024-12-01,Upside,sm,7947153.41,8836783.34,7793279.92
2024-12-01,Upside,rd,5799762.84,6237729.42,5970596.79
2024-12-01,Upside,ga,2952099.45,3378770.1,3061838.64
2024-12-01,Upside,support,1600860.32,1819337.75,1644197.84
2025-01-01,Upside,sm,8407785.68,8973157.04,8554764.79
2025-01-01,Upside,rd,5689915.51,6333993.21,5477934.93
2025-01-01,Upside,ga,3044813.16,3430912.99,3052531.1
2025-01-01,Upside,support,1664689.48,1847414.69,1663332.89
2025-02-01,Upside,sm,8152337.38,9374795.35,8255556.1
2025-02-01,Upside,rd,5880240.24,6617502.6,5988311.52
2025-02-01,Upside,ga,3038601.27,3584480.57,3078058.22
2025-02-01,Upside,support,1656614.31,1930104.92,1679846.64
2025-03-01,Upside,sm,8771195.33,9989870.12,8824508.76
2025-03-01,Upside,rd,6160409.87,7051673.03,6362814.72
2025-03-01,Upside,ga,3422396.4,3819656.22,3414954.21
2025-03-01,Upside,support,1798415.96,2056737.97,1727519.72
2025-04-01,Upside,sm,9264981.26,10641181.72,9366000.22
2025-04-01,Upside,rd,6582297.04,7511422.39,6559305.74
2025-04-01,Upside,ga,3462689.82,4068687.13,3453275.41
2025-04-01,Upside,support,1897645.43,2190831.53,1846088.52
2025-05-01,Upside,sm,9383207.03,10878191.29,9065824.7
2025-05-01,Upside,rd,6718739.43,7678723.27,6698562.71
2025-05-01,Upside,ga,3599007.37,4159308.44,3633740.17
2025-05-01,Upside,support,1999380.07,2239627.62,2075204.74
2025-06-01,Upside,sm,9964993.38,11305987.85,9790090.52
2025-06-01,Upside,rd,6712494.41,7980697.31,6791835.18
2025-06-01,Upside,ga,3779665.55,4322877.71,3707677.32
2025-06-01,Upside,support,1967491.88,2327703.38,2003302.76
2025-07-01,Upside,sm,10076656.4,11108608.73,10134486.01
2025-07-01,Upside,rd,6750875.76,7841370.87,6920312.04
2025-07-01,Upside,ga,3565079.66,4247409.22,3464831.18
2025-07-01,Upside,support,1947879.76,2287066.5,1962325.68
2025-08-01,Upside,sm,9700069.88,11186807.63,9848098.35
2025-08-01,Upside,rd,6905975.04,7896570.09,7188757.46
2025-08-01,Upside,ga,3598930.87,4277308.8,3558290.15
2025-08-01,Upside,support,2008134.59,2303166.28,1957647.87
2025-09-01,Upside,sm,9373405.37,10950618.69,9182484.24
2025-09-01,Upside,rd,6675535.66,7729848.49,6617232.99
2025-09-01,Upside,ga,3531375.51,4187001.26,3559538.34
2025-09-01,Upside,support,1922316.36,2254539.14,1858337.1
2025-10-01,Upside,sm,9136927.16,10769994.23,9396789.41
2025-10-01,Upside,rd,6635256.21,7602348.87,6521481.37
2025-10-01,Upside,ga,3486391.98,4117938.97,3456416.03
2025-10-01,Upside,support,1893129.46,2217351.75,1913620.67
2025-11-01,Upside,sm,8870315.68,10800456.45,8765262.54
2025-11-01,Upside,rd,6332737.55,7623851.61,6347580.03
2025-11-01,Upside,ga,3615240.41,4129586.29,3481709.59
2025-11-01,Upside,support,1873133.35,2223623.39,1831177.94
2025-12-01,Upside,sm,10211852.14,11544634.28,10162328.25
2025-12-01,Upside,rd,6788249.38,8149153.61,6764164.59
2025-12-01,Upside,ga,3709266.42,4414124.87,3691627.05
2025-12-01,Upside,support,1978358.82,2376836.47,1994157.65
2026-01-01,Upside,sm,9660657.8,11394961.2,9600346.13
2026-01-01,Upside,rd,6603147.84,8043502.02,6565262.27
2026-01-01,Upside,ga,3637027.83,4356896.93,3630749.9
2026-01-01,Upside,support,1988740.17,2346021.42,2018033.68
2026-02-01,Upside,sm,10428224.52,12658001.78,10704121.39
2026-02-01,Upside,rd,7535807.67,8935060.08,7504689.99
2026-02-01,Upside,ga,4039072.4,4839824.21,3960559.04
2026-02-01,Upside,support,2210936.89,2606059.19,2240018.9
2026-03-01,Upside,sm,10833668.24,13143925.87,11004711.83
2026-03-01,Upside,rd,7873246.59,9278065.32,7790402.15
2026-03-01,Upside,ga,4086925.8,5025618.71,4042692.92
2026-03-01,Upside,support,2244904.52,2706102.38,2211451.43
2026-04-01,Upside,sm,11403976.49,13297947.18,11554539.38
2026-04-01,Upside,rd,7743427.45,9386786.24,7709883.09
2026-04-01,Upside,ga,4238290.5,5084509.21,4283199.26
2026-04-01,Upside,support,2246427.42,2737812.65,2291385.59
2026-05-01,Upside,sm,10980090.24,13738500.88,10598502.13
2026-05-01,Upside,rd,7896370.61,9697765.33,7978062.15
2026-05-01,Upside,ga,4226946.32,5252956.22,4107163.16
2026-05-01,Upside,support,2382564.04,2828514.89,2318375.58
2024-01-01,Downside,sm,5750919.5,5348712.15,5669408.92
2024-01-01,Downside,rd,4331145.8,3775561.52,4221624.7
2024-01-01,Downside,ga,2355776.19,2045095.82,2347135.04
2024-01-01,Downside,support,1223568.72,1101205.44,1185089.71
2024-02-01,Downside,sm,6395280.17,5718158.19,6453248.04
2024-02-01,Downside,rd,4532457.46,4036346.96,4470788.36
2024-02-01,Downside,ga,2507513.99,2186354.6,2492481.72
2024-02-01,Downside,support,1316216.05,1177267.86,1294329.21
2024-03-01,Downside,sm,6599569.85,5843157.11,6509992.06
2024-03-01,Downside,rd,4608399.15,4124581.49,4659036.66
2024-03-01,Downside,ga,2452450.95,2234148.31,2411934.25
2024-03-01,Downside,support,1338994.6,1203002.93,1298630.26
2024-04-01,Downside,sm,6834966.56,6093801.9,6796513.33
2024-04-01,Downside,rd,4801364.92,4301507.22,4913859.14
2024-04-01,Downside,ga,2446430.36,2329983.08,2436659.34
2024-04-01,Downside,support,1362698.5,1254606.27,1343965.02
2024-05-01,Downside,sm,7237533.15,6443423.19,7333004.46
2024-05-01,Downside,rd,5065377.08,4548298.72,5026050.25
2024-05-01,Downside,ga,2632111.86,2463661.81,2636873.26
2024-05-01,Downside,support,1425196.03,1326587.13,1420839.83
2024-06-01,Downside,sm,7069435.97,6719107.78,7111901.33
2024-06-01,Downside,rd,5390705.61,4742899.61,5292965.07
2024-06-01,Downside,ga,2863833.45,2569070.62,2887388.73
2024-06-01,Downside,support,1461488.07,1383345.72,1471593.62
2024-07-01,Downside,sm,7133719.13,6393144.38,7102022.45
2024-07-01,Downside,rd,4690924.0,4512807.79,4661534.5
2024-07-01,Downside,ga,2806847.31,2444437.56,2806244.48
2024-07-01,Downside,support,1441430.15,1316235.61,1459280.41
2024-08-01,Downside,sm,7336201.97,6948812.77,7203404.91
2024-08-01,Downside,rd,5338963.62,4905044.31,5383853.33
2024-08-01,Downside,ga,2910138.33,2656899.0,2935409.02
2024-08-01,Downside,support,1564194.83,1430637.92,1567061.02
2024-09-01,Downside,sm,7262317.06,6732505.35,7334493.75
2024-09-01,Downside,rd,5144381.15,4752356.72,4992538.57
2024-09-01,Downside,ga,2807119.6,2574193.22,2733185.62
2024-09-01,Downside,support,1503748.15,1386104.04,1556516.02
2024-10-01,Downside,sm,6882404.25,6387300.7,6771321.71
2024-10-01,Downside,rd,4812638.28,4508682.85,4761134.28
2024-10-01,Downside,ga,2541182.45,2442203.21,2496155.75
2024-10-01,Downside,support,1418128.1,1315032.5,1447041.59
2024-11-01,Downside,sm,7351357.76,6678102.71,7325578.43
2024-11-01,Downside,rd,4952425.95,4713954.85,5103061.54
2024-11-01,Downside,ga,2701509.32,2553392.21,2701366.75
2024-11-01,Downside,support,1518869.12,1374903.5,1518659.92
2024-12-01,Downside,sm,7523741.04,7135199.23,7637733.47
2024-12-01,Downside,rd,5320809.15,5036611.22,5196879.78
2024-12-01,Downside,ga,2946768.63,2728164.41,3015880.98
2024-12-01,Downside,support,1543240.96,1469011.61,1522281.3
2025-01-01,Downside,sm,7508255.81,7299815.1,7482833.75
2025-01-01,Downside,rd,5510228.1,5152810.66,5463122.97
2025-01-01,Downside,ga,2775194.96,2791105.77,2822290.76
2025-01-01,Downside,support,1572944.99,1502903.11,1556998.53
2025-02-01,Downside,sm,7826567.09,7619307.46,8086602.55
2025-02-01,Downside,rd,5760871.38,5378334.68,5769606.11
2025-02-01,Downside,ga,2991003.6,2913264.62,2987793.19
2025-02-01,Downside,support,1642663.65,1568680.95,1672324.96
2025-03-01,Downside,sm,8272651.81,7826446.68,8255404.99
2025-03-01,Downside,rd,5857957.16,5524550.6,5792828.23
2025-03-01,Downside,ga,3145759.53,2992464.91,3142297.55
2025-03-01,Downside,support,1716774.37,1611327.26,1690364.22
2025-04-01,Downside,sm,8785932.37,8373522.1,8557412.65
2025-04-01,Downside,rd,6119830.31,5910721.49,6173870.47
2025-04-01,Downside,ga,3403837.21,3201640.8,3407317.79
2025-04-01,Downside,support,1791615.28,1723960.43,1762303.35
2025-05-01,Downside,sm,9059870.52,8718155.54,8961703.19
2025-05-01,Downside,rd,6587106.07,6153992.15,6651044.65
2025-05-01,Downside,ga,3348768.75,3333412.41,3248375.98
2025-05-01,Downside,support,1878999.03,1794914.38,1859639.56
2025-06-01,Downside,sm,8938789.08,8667839.37,8606864.44
2025-06-01,Downside,rd,6486430.92,6118474.85,6473412.89
2025-06-01,Downside,ga,3489690.63,3314173.88,3571897.68
2025-06-01,Downside,support,1851947.48,1784555.17,1851259.69
2025-07-01,Downside,sm,9845458.02,9048403.62,9407051.62
2025-07-01,Downside,rd,6432278.76,6387108.44,6462769.94
2025-07-01,Downside,ga,3527613.72,3459683.74,3543295.92
2025-07-01,Downside,support,1891486.98,1862906.63,1895855.57
2025-08-01,Downside,sm,8788593.78,8832127.0,8917191.41
2025-08-01,Downside,rd,6317319.73,6234442.59,6351988.42
2025-08-01,Downside,ga,3469879.84,3376989.73,3499615.09
2025-08-01,Downside,support,1866284.8,1818379.09,1864765.68
2025-09-01,Downside,sm,8847134.9,8644732.25,9040233.34
2025-09-01,Downside,rd,6195368.06,6102163.94,6031941.41
2025-09-01,Downside,ga,3439865.04,3305338.8,3475923.14
2025-09-01,Downside,support,1851516.37,1779797.82,1880630.47
2025-10-01,Downside,sm,8635635.97,8462815.62,8710162.0
2025-10-01,Downside,rd,6039270.49,5973752.2,6029326.79
2025-10-01,Downside,ga,3289687.41,3235782.44,3229058.73
2025-10-01,Downside,support,1727043.95,1742344.39,1764514.03
2025-11-01,Downside,sm,9053814.71,8748772.08,8721139.49
2025-11-01,Downside,rd,6368014.68,6175603.82,6141644.87
2025-11-01,Downside,ga,3366376.22,3345118.74,3309809.43
2025-11-01,Downside,support,1816617.55,1801217.78,1857553.8
2025-12-01,Downside,sm,8407449.71,8472903.4,7889889.79
2025-12-01,Downside,rd,5986351.88,5980872.99,5988546.75
2025-12-01,Downside,ga,3292273.9,3239639.54,3310603.7
2025-12-01,Downside,support,1761582.07,1744421.29,1707184.56
2026-01-01,Downside,sm,9079049.65,9107959.86,8887286.12
2026-01-01,Downside,rd,6341260.15,6429148.14,6178795.93
2026-01-01,Downside,ga,3516589.77,3482455.24,3478339.25
2026-01-01,Downside,support,1828685.13,1875168.21,1808829.36
2026-02-01,Downside,sm,9483649.96,9573435.52,9765948.07
2026-02-01,Downside,rd,6683107.57,6757719.19,6700479.11
2026-02-01,Downside,ga,3426386.66,3660431.23,3391365.93
2026-02-01,Downside,support,2061869.13,1971001.43,2037537.98
2026-03-01,Downside,sm,9861161.77,10075155.36,10097045.04
2026-03-01,Downside,rd,7117677.78,7111874.37,7051588.1
2026-03-01,Downside,ga,3835772.54,3852265.29,3854807.04
2026-03-01,Downside,support,2070189.66,2074296.69,2084256.88
2026-04-01,Downside,sm,10312783.63,10363675.38,10571404.08
2026-04-01,Downside,rd,7094528.04,7315535.56,7273042.59
2026-04-01,Downside,ga,4071425.92,3962581.76,4028193.66
2026-04-01,Downside,support,2125977.27,2133697.87,2062728.1
2026-05-01,Downside,sm,10426169.41,10980915.81,10203295.91
2026-05-01,Downside,rd,7716497.18,7751234.69,7748971.21
2026-05-01,Downside,ga,4133543.74,4198585.46,4134452.1
2026-05-01,Downside,support,2222368.54,2260776.78,2252020.22
