week_id,entity_id,scenario_id,opening_cash_usd,customer_receipts_usd,other_receipts_usd,supplier_payments_usd,payroll_tax_usd,capex_usd,debt_service_usd,net_cash_flow_usd,closing_cash_usd,minimum_cash_buffer_usd,is_synthetic
W09,SG01,BASE,11508668.41,1005944.57,144248.57,707779.16,273150.58,57972.61,177042.48,-65751.68,11442916.73,1656000.0,TRUE
W10,SG01,BASE,11442916.73,886715.89,157444.56,736113.42,284372.11,51610.76,47360.47,-75296.3,11367620.43,1656000.0,TRUE
W11,SG01,BASE,11367620.43,916521.36,171815.67,740323.04,270665.5,64917.08,53481.95,-41050.54,11326569.89,1656000.0,TRUE
W12,SG01,BASE,11326569.89,891822.0,112903.28,690327.22,289610.37,174688.34,47361.66,-197262.31,11129307.58,1656000.0,TRUE
W13,SG01,BASE,11129307.58,948246.94,155191.79,642107.07,280542.46,68180.62,169175.22,-56566.64,11072740.94,1656000.0,TRUE
W01,VN01,BASE,8715754.01,824477.58,142087.37,651950.79,247807.67,53942.64,46035.37,-33171.52,8682582.49,1404000.0,TRUE
W02,VN01,BASE,8682582.49,787960.23,82920.56,597146.64,240870.24,44438.23,44913.72,-56488.04,8626094.45,1404000.0,TRUE
W03,VN01,BASE,8626094.45,909538.79,137371.22,619204.64,232127.49,146278.99,44597.32,4701.56,8630796.01,1404000.0,TRUE
W04,VN01,BASE,8630796.01,891325.46,123838.56,584538.53,233939.28,53566.44,152974.74,-9854.95,8620941.06,1404000.0,TRUE
W05,VN01,BASE,8620941.06,816532.42,90669.52,586814.3,232123.99,54065.87,42636.35,-8438.58,8612502.48,1404000.0,TRUE
W06,VN01,BASE,8612502.48,898874.86,97696.81,625188.13,261450.11,56837.85,40118.63,12976.95,8625479.42,1404000.0,TRUE
W07,VN01,BASE,8625479.42,879125.35,76440.93,621975.93,230652.31,50999.4,44755.23,7183.41,8632662.83,1404000.0,TRUE
W08,VN01,BASE,8632662.83,773281.54,149930.19,527320.29,241776.36,161650.32,42762.0,-50297.25,8582365.58,1404000.0,TRUE
W09,VN01,BASE,8582365.58,754429.21,77285.04,562466.37,245281.6,42674.0,147373.15,-166080.88,8416284.7,1404000.0,TRUE
W10,VN01,BASE,8416284.7,751820.2,107820.38,563741.19,258975.16,50086.92,43671.95,-56834.66,8359450.05,1404000.0,TRUE
W11,VN01,BASE,8359450.05,749527.44,89952.12,576565.53,239666.74,57607.73,46068.59,-80429.03,8279021.02,1404000.0,TRUE
W12,VN01,BASE,8279021.02,807658.23,92069.88,523531.17,233644.44,170783.5,41770.41,-70001.42,8209019.59,1404000.0,TRUE
W13,VN01,BASE,8209019.59,848065.58,95253.2,508887.27,238564.87,43602.13,141618.68,10645.83,8219665.42,1404000.0,TRUE
W01,BR01,BASE,8395194.32,637921.53,88396.59,525207.55,197850.14,43533.03,36703.95,-76976.55,8318217.77,1170000.0,TRUE
W02,BR01,BASE,8318217.77,673537.54,77318.83,530658.71,213876.88,35514.69,36321.51,-65515.42,8252702.34,1170000.0,TRUE
W03,BR01,BASE,8252702.34,668360.63,78633.96,513964.24,190903.83,142704.27,36434.71,-137012.47,8115689.87,1170000.0,TRUE
W04,BR01,BASE,8115689.87,746399.99,119707.79,533473.07,193304.94,47578.5,112179.09,-20427.82,8095262.05,1170000.0,TRUE
W05,BR01,BASE,8095262.05,688277.09,79824.77,482350.63,199187.1,40460.17,35156.47,10947.48,8106209.53,1170000.0,TRUE
W06,BR01,BASE,8106209.53,653867.68,80066.66,478388.62,214752.79,35331.85,37583.75,-32122.67,8074086.86,1170000.0,TRUE
W07,BR01,BASE,8074086.86,634635.54,89413.41,462519.51,196780.06,46738.31,32926.08,-14915.02,8059171.84,1170000.0,TRUE
W08,BR01,BASE,8059171.84,681799.59,110850.65,448430.87,199027.79,112823.83,36126.28,-3758.52,8055413.32,1170000.0,TRUE
W09,BR01,BASE,8055413.32,620942.51,118332.95,468213.27,203381.69,38885.59,123040.51,-94245.61,7961167.71,1170000.0,TRUE
W10,BR01,BASE,7961167.71,678543.19,121617.99,501723.42,201414.92,45635.34,32919.95,18467.55,7979635.26,1170000.0,TRUE
W11,BR01,BASE,7979635.26,641558.76,115614.94,535365.4,205229.71,44816.04,35270.56,-63508.01,7916127.26,1170000.0,TRUE
W12,BR01,BASE,7916127.26,632191.15,72315.43,438357.61,194046.59,124376.89,34132.92,-86407.44,7829719.82,1170000.0,TRUE
W13,BR01,BASE,7829719.82,667795.97,82810.32,516779.75,198310.53,36645.69,126584.87,-127714.55,7702005.27,1170000.0,TRUE
W01,US01,DOWN,13632549.02,1072370.55,177769.38,1064210.98,410980.96,72476.04,77539.62,-375067.65,13257481.37,2430000.0,TRUE
W02,US01,DOWN,13257481.37,1105130.77,117332.25,1046683.45,439442.37,89398.75,71786.71,-424848.25,12832633.12,2430000.0,TRUE
W03,US01,DOWN,12832633.12,1100313.75,128613.35,1005577.95,420010.07,257952.7,77108.53,-531722.14,12300910.98,2430000.0,TRUE
W04,US01,DOWN,12300910.98,1154860.43,179807.25,1179936.01,422028.96,88692.49,260746.3,-616736.08,11684174.9,2430000.0,TRUE
W05,US01,DOWN,11684174.9,1125693.13,215568.01,1066617.19,427812.32,81947.49,75584.11,-310699.97,11373474.93,2430000.0,TRUE
W06,US01,DOWN,11373474.93,1029914.44,197825.28,1110883.59,449858.17,100068.48,75796.5,-508867.02,10864607.91,2430000.0,TRUE
W07,US01,DOWN,10864607.91,1133156.6,159045.7,1156893.07,408824.48,83809.09,68752.29,-426076.63,10438531.28,2430000.0,TRUE
W08,US01,DOWN,10438531.28,978631.24,168339.24,1098824.49,417533.85,294142.94,68374.97,-731905.78,9706625.49,2430000.0,TRUE
W09,US01,DOWN,9706625.49,1093253.46,137704.78,1139519.6,407378.4,100774.73,244362.63,-661077.13,9045548.36,2430000.0,TRUE
W10,US01,DOWN,9045548.36,1061945.26,138876.58,1145208.78,453466.92,83715.92,74077.72,-555647.49,8489900.88,2430000.0,TRUE
W11,US01,DOWN,8489900.88,966427.73,194808.34,1030513.22,421468.52,78033.24,79302.14,-448081.05,8041819.83,2430000.0,TRUE
W12,US01,DOWN,8041819.83,977785.36,163234.84,1105830.04,401860.84,233393.51,77570.46,-677634.65,7364185.17,2430000.0,TRUE
W13,US01,DOWN,7364185.17,995790.9,138751.89,1195780.34,409473.11,79439.95,268756.49,-818907.09,6545278.09,2430000.0,TRUE
W01,DE01,DOWN,12481270.86,917990.58,169152.24,895235.79,339192.41,63905.98,64216.73,-275408.1,12205862.76,1980000.0,TRUE
W02,DE01,DOWN,12205862.76,878604.93,164087.0,793149.79,338732.86,66390.11,60511.03,-216091.87,11989770.89,1980000.0,TRUE
W03,DE01,DOWN,11989770.89,933621.48,154314.76,841733.28,333061.54,195513.19,64188.2,-346559.98,11643210.91,1980000.0,TRUE
W04,DE01,DOWN,11643210.91,857137.3,117626.89,929745.62,350026.62,74068.73,217642.11,-596718.88,11046492.03,1980000.0,TRUE
W05,DE01,DOWN,11046492.03,976788.81,172947.31,862126.85,328191.56,69802.8,59440.25,-169825.34,10876666.69,1980000.0,TRUE
W06,DE01,DOWN,10876666.69,838771.26,148500.68,954690.67,342419.73,68685.7,60102.21,-438626.36,10438040.33,1980000.0,TRUE
W07,DE01,DOWN,10438040.33,831807.12,89556.92,871342.36,342928.88,70903.55,59128.84,-422939.58,10015100.75,1980000.0,TRUE
W08,DE01,DOWN,10015100.75,860863.52,155900.65,863744.88,339698.04,264713.41,61754.98,-513147.15,9501953.6,1980000.0,TRUE
W09,DE01,DOWN,9501953.6,789263.92,95976.0,823380.18,349175.89,76252.99,193959.49,-557528.62,8944424.98,1980000.0,TRUE
W10,DE01,DOWN,8944424.98,823204.85,135849.3,903772.6,358454.34,81917.65,58552.66,-443643.1,8500781.88,1980000.0,TRUE
W11,DE01,DOWN,8500781.88,850032.77,112758.55,816022.11,337008.58,78699.19,57038.56,-325977.12,8174804.77,1980000.0,TRUE
W12,DE01,DOWN,8174804.77,908949.7,109075.02,881645.03,341242.83,219602.02,59228.87,-483694.03,7691110.73,1980000.0,TRUE
W13,DE01,DOWN,7691110.73,831765.53,129911.4,957511.13,327868.42,75367.01,199076.91,-598146.53,7092964.2,1980000.0,TRUE
W01,GB01,DOWN,9353381.28,644131.25,77346.53,680057.18,261918.72,53855.24,44943.95,-319297.32,9034083.96,1476000.0,TRUE
W02,GB01,DOWN,9034083.96,693965.29,102799.43,673962.55,261959.81,54351.69,46583.77,-240093.09,8793990.87,1476000.0,TRUE
W03,GB01,DOWN,8793990.87,680732.65,136385.77,698622.36,244343.27,142824.99,42125.39,-310797.59,8483193.29,1476000.0,TRUE
W04,GB01,DOWN,8483193.29,624603.77,120736.33,705985.52,251928.01,55305.73,141881.93,-409761.09,8073432.2,1476000.0,TRUE
W05,GB01,DOWN,8073432.2,634007.58,76275.7,593245.75,253115.02,59817.77,45532.55,-241427.81,7832004.39,1476000.0,TRUE
W06,GB01,DOWN,7832004.39,665154.98,93524.75,692101.9,255882.27,49721.83,47390.35,-286416.62,7545587.78,1476000.0,TRUE
W07,GB01,DOWN,7545587.78,691894.95,108277.84,715402.01,246244.08,49944.81,43014.76,-254432.88,7291154.9,1476000.0,TRUE
W08,GB01,DOWN,7291154.9,672460.27,84564.06,661404.21,257193.92,196477.37,44676.11,-402727.28,6888427.61,1476000.0,TRUE
W09,GB01,DOWN,6888427.61,604763.83,132749.76,672527.56,252184.6,53587.02,140437.92,-381223.5,6507204.11,1476000.0,TRUE
W10,GB01,DOWN,6507204.11,584166.45,70593.22,728253.86,270025.62,49405.6,47941.8,-440867.22,6066336.9,1476000.0,TRUE
W11,GB01,DOWN,6066336.9,610353.68,114364.68,599970.25,255285.69,54680.25,48271.52,-233489.35,5832847.54,1476000.0,TRUE
W12,GB01,DOWN,5832847.54,635131.19,131146.96,703434.59,251739.41,176232.69,41985.6,-407114.15,5425733.4,1476000.0,TRUE
W13,GB01,DOWN,5425733.4,661031.38,94519.18,740951.41,260558.27,44004.71,149677.97,-439641.8,4986091.59,1476000.0,TRUE
W01,SG01,DOWN,11484766.19,705531.08,97655.83,698562.96,277815.31,53640.74,52458.04,-279290.13,11205476.06,1656000.0,TRUE
W02,SG01,DOWN,11205476.06,734822.77,127752.57,726549.88,297953.03,58741.88,47012.61,-267682.07,10937793.98,1656000.0,TRUE
W03,SG01,DOWN,10937793.98,705985.0,103155.05,698320.47,282426.85,199876.52,47269.12,-418752.91,10519041.07,1656000.0,TRUE
W04,SG01,DOWN,10519041.07,766758.8,128803.47,837694.36,289915.4,50646.61,157466.97,-440161.07,10078880.0,1656000.0,TRUE
W05,SG01,DOWN,10078880.0,795365.8,138653.05,706669.33,271894.25,61944.29,48799.63,-155288.65,9923591.35,1656000.0,TRUE
W06,SG01,DOWN,9923591.35,777755.93,150873.52,658621.21,284694.4,54078.71,52601.82,-121366.7,9802224.66,1656000.0,TRUE
W07,SG01,DOWN,9802224.66,693995.01,108826.66,699809.36,291566.11,53269.68,54614.32,-296437.8,9505786.86,1656000.0,TRUE
W08,SG01,DOWN,9505786.86,720690.08,91657.53,741763.43,278834.49,164225.55,52968.52,-425444.37,9080342.48,1656000.0,TRUE
W09,SG01,DOWN,9080342.48,658801.83,105921.79,807319.36,294366.31,61975.64,163944.58,-562882.26,8517460.23,1656000.0,TRUE
W10,SG01,DOWN,8517460.23,738036.32,101591.44,694352.94,285405.47,60144.17,53056.3,-253331.12,8264129.1,1656000.0,TRUE
W11,SG01,DOWN,8264129.1,722866.04,108149.77,831978.36,292522.07,51861.37,52455.07,-397801.06,7866328.04,1656000.0,TRUE
W12,SG01,DOWN,7866328.04,741196.45,110004.57,743241.13,286518.4,171424.36,49208.03,-399190.9,7467137.14,1656000.0,TRUE
W13,SG01,DOWN,7467137.14,757710.33,126778.86,835052.99,278785.89,51065.73,178777.07,-459192.5,7007944.65,1656000.0,TRUE
W01,VN01,DOWN,8715754.01,636187.54,123756.0,648373.23,249026.11,47910.37,43822.76,-229188.92,8486565.09,1404000.0,TRUE
W02,VN01,DOWN,8486565.09,594984.19,103467.36,626105.26,247003.47,55569.86,41218.91,-271445.95,8215119.14,1404000.0,TRUE
W03,VN01,DOWN,8215119.14,672647.78,92792.16,545504.06,249456.52,146894.51,39632.33,-216047.47,7999071.67,1404000.0,TRUE
W04,VN01,DOWN,7999071.67,661752.3,117389.39,667137.48,230465.43,46191.41,152112.51,-316765.14,7682306.53,1404000.0,TRUE
W05,VN01,DOWN,7682306.53,662904.43,111781.14,622412.36,234651.36,54937.54,39696.67,-177012.35,7505294.18,1404000.0,TRUE
W06,VN01,DOWN,7505294.18,613881.07,67377.9,557098.88,261704.11,51741.71,46036.81,-235322.53,7269971.64,1404000.0,TRUE
W07,VN01,DOWN,7269971.64,670923.92,83683.19,686155.71,229535.17,53653.82,43673.17,-258410.77,7011560.87,1404000.0,TRUE
W08,VN01,DOWN,7011560.87,653720.12,100251.09,680298.5,241587.33,149274.03,44179.74,-361368.38,6650192.49,1404000.0,TRUE
W09,VN01,DOWN,6650192.49,587282.91,66289.83,627507.43,237106.34,50142.58,140018.85,-401202.44,6248990.05,1404000.0,TRUE
W10,VN01,DOWN,6248990.05,620753.3,76791.52,590897.02,243530.27,56221.03,40087.31,-233190.8,6015799.25,1404000.0,TRUE
W11,VN01,DOWN,6015799.25,640400.0,120193.21,599756.92,231344.36,44593.89,42879.49,-157981.45,5857817.79,1404000.0,TRUE
W12,VN01,DOWN,5857817.79,626616.76,123651.25,594323.0,247900.11,162239.48,44368.82,-298563.4,5559254.39,1404000.0,TRUE
W13,VN01,DOWN,5559254.39,590825.53,119225.59,592459.36,231136.97,52764.87,147674.31,-313984.38,5245270.02,1404000.0,TRUE
W01,BR01,DOWN,8395194.32,535803.44,80009.65,499596.3,190463.59,44579.62,33924.07,-152750.49,8242443.83,1170000.0,TRUE
W02,BR01,DOWN,8242443.83,547696.4,73438.05,586817.62,211250.52,45018.9,33007.01,-254959.61,7987484.22,1170000.0,TRUE
W03,BR01,DOWN,7987484.22,537613.56,84349.6,580255.02,204610.6,124097.57,36139.88,-323139.92,7664344.31,1170000.0,TRUE
W04,BR01,DOWN,7664344.31,538611.74,59401.35,566649.6,191963.02,43758.29,114726.7,-319084.52,7345259.79,1170000.0,TRUE
W05,BR01,DOWN,7345259.79,552783.62,82601.47,537454.11,196882.45,48570.01,35352.77,-182874.26,7162385.53,1170000.0,TRUE
W06,BR01,DOWN,7162385.53,501885.67,83764.62,543145.96,206082.61,46852.54,34860.28,-245291.12,6917094.41,1170000.0,TRUE
W07,BR01,DOWN,6917094.41,520036.8,105965.3,491571.0,202049.69,36907.77,36049.36,-140575.72,6776518.68,1170000.0,TRUE
W08,BR01,DOWN,6776518.68,522750.24,74581.24,586185.5,192574.68,114885.23,37553.56,-333867.48,6442651.2,1170000.0,TRUE
W09,BR01,DOWN,6442651.2,476716.46,60305.7,548338.18,196367.68,45187.01,128979.15,-381849.87,6060801.34,1170000.0,TRUE
W10,BR01,DOWN,6060801.34,491787.96,101631.72,464189.88,211715.47,41727.42,34837.51,-159050.59,5901750.75,1170000.0,TRUE
W11,BR01,DOWN,5901750.75,483713.1,97175.94,569395.32,201826.73,47327.66,34206.06,-271866.73,5629884.01,1170000.0,TRUE
W12,BR01,DOWN,5629884.01,500271.13,77165.61,523877.0,203065.28,131536.43,33727.09,-314769.07,5315114.95,1170000.0,TRUE
W13,BR01,DOWN,5315114.95,532604.79,93377.85,585916.81,198757.13,43672.84,128371.61,-330735.76,4984379.19,1170000.0,TRUE
W01,US01,UP,13632549.02,1760309.14,145050.08,950133.29,428754.86,99001.95,68582.37,358886.75,13991435.77,2430000.0,TRUE
W02,US01,UP,13991435.77,1673575.01,151135.34,1003094.31,435507.24,82114.29,79189.28,224805.23,14216241.0,2430000.0,TRUE
W03,US01,UP,14216241.0,1730677.82,249563.91,1040709.93,412593.77,341211.51,69856.21,115870.32,14332111.31,2430000.0,TRUE
W04,US01,UP,14332111.31,1715926.18,207106.71,1017649.16,430732.57,101874.84,269262.26,103514.07,14435625.38,2430000.0,TRUE
W05,US01,UP,14435625.38,1737492.78,295882.74,1053560.42,398757.08,92960.84,69701.63,418395.55,14854020.93,2430000.0,TRUE
W06,US01,UP,14854020.93,1842306.56,252383.4,1019919.33,429276.17,101097.68,77047.77,467349.02,15321369.95,2430000.0,TRUE
W07,US01,UP,15321369.95,1608553.95,293896.91,1096716.77,412400.46,91211.16,72754.81,229367.66,15550737.61,2430000.0,TRUE
W08,US01,UP,15550737.61,1765996.41,179545.95,1105885.22,410520.02,287116.32,72262.57,69758.23,15620495.84,2430000.0,TRUE
W09,US01,UP,15620495.84,1539280.43,207014.65,935818.24,396087.04,91162.52,240862.41,82364.88,15702860.72,2430000.0,TRUE
W10,US01,UP,15702860.72,1559376.48,211252.79,887549.87,443313.06,102002.68,70790.64,266973.03,15969833.74,2430000.0,TRUE
W11,US01,UP,15969833.74,1661033.8,146059.0,965735.47,397670.84,106748.54,70896.53,266041.43,16235875.17,2430000.0,TRUE
W12,US01,UP,16235875.17,1682272.88,183568.95,947094.2,431070.02,328327.72,71218.41,88131.48,16324006.65,2430000.0,TRUE
W13,US01,UP,16324006.65,1810042.02,175611.0,995183.05,405739.51,93587.3,262978.77,228164.39,16552171.04,2430000.0,TRUE
W01,DE01,UP,12481270.86,1341798.38,226554.08,720292.34,326146.41,84819.98,64746.09,372347.63,12853618.49,1980000.0,TRUE
W02,DE01,UP,12853618.49,1407186.9,172549.55,750514.7,359004.84,65865.7,60988.08,343363.12,13196981.62,1980000.0,TRUE
W03,DE01,UP,13196981.62,1425516.84,189638.75,871574.12,338230.41,215590.86,63958.15,125802.06,13322783.68,1980000.0,TRUE
W04,DE01,UP,13322783.68,1450534.25,236240.91,748441.06,336756.46,83851.47,206962.89,310763.28,13633546.96,1980000.0,TRUE
W05,DE01,UP,13633546.96,1464920.23,182161.45,728319.0,329873.2,78227.3,63162.48,447499.7,14081046.66,1980000.0,TRUE
W06,DE01,UP,14081046.66,1385168.25,164951.08,720604.08,343275.52,65354.59,64989.17,355895.98,14436942.63,1980000.0,TRUE
W07,DE01,UP,14436942.63,1321422.77,175306.92,755263.93,337003.88,85413.01,65001.24,254047.63,14690990.26,1980000.0,TRUE
W08,DE01,UP,14690990.26,1442271.97,160373.31,838075.04,343147.97,265096.6,56001.11,100324.56,14791314.82,1980000.0,TRUE
W09,DE01,UP,14791314.82,1275315.98,222284.21,851980.08,329891.68,69622.72,218210.88,27894.84,14819209.66,1980000.0,TRUE
W10,DE01,UP,14819209.66,1283898.43,203402.03,874013.56,365196.63,75682.45,64460.19,107947.63,14927157.29,1980000.0,TRUE
W11,DE01,UP,14927157.29,1246248.56,227645.77,750364.74,339864.29,83754.58,58121.12,241789.59,15168946.88,1980000.0,TRUE
W12,DE01,UP,15168946.88,1307636.52,189672.22,844442.51,339910.93,232579.84,59903.44,20472.01,15189418.89,1980000.0,TRUE
W13,DE01,UP,15189418.89,1315285.94,219862.11,734749.51,350770.89,79938.71,198343.22,171345.72,15360764.61,1980000.0,TRUE
W01,GB01,UP,9353381.28,1067752.59,124175.14,676564.05,243871.97,64566.2,41953.62,164971.88,9518353.16,1476000.0,TRUE
W02,GB01,UP,9518353.16,982131.86,175997.46,582772.49,261531.36,60136.88,45603.46,208085.13,9726438.3,1476000.0,TRUE
W03,GB01,UP,9726438.3,1102876.47,120448.44,568011.09,259367.7,162455.94,46073.15,187417.03,9913855.32,1476000.0,TRUE
W04,GB01,UP,9913855.32,996789.56,165579.26,687930.67,241564.73,57818.38,150682.17,24372.88,9938228.21,1476000.0,TRUE
W05,GB01,UP,9938228.21,1127942.72,107065.44,567373.54,257757.08,60603.61,43987.64,305286.29,10243514.49,1476000.0,TRUE
W06,GB01,UP,10243514.49,1134987.56,125393.66,601547.95,254204.0,50398.69,42119.68,312110.9,10555625.39,1476000.0,TRUE
W07,GB01,UP,10555625.39,1005153.4,93542.97,691338.89,248701.44,61425.7,42232.11,54998.23,10610623.62,1476000.0,TRUE
W08,GB01,UP,10610623.62,950106.78,126722.84,669747.62,249775.86,188770.82,48565.93,-80030.61,10530593.01,1476000.0,TRUE
W09,GB01,UP,10530593.01,948729.1,169400.84,624180.29,246368.5,62441.94,163127.67,22011.54,10552604.55,1476000.0,TRUE
W10,GB01,UP,10552604.55,1073585.18,89485.43,691133.81,268320.45,47679.94,42733.31,113203.1,10665807.65,1476000.0,TRUE
W11,GB01,UP,10665807.65,1062936.13,127490.07,550430.86,260670.22,48283.81,43376.46,287664.84,10953472.49,1476000.0,TRUE
W12,GB01,UP,10953472.49,958047.73,126170.64,612833.44,247895.03,174193.38,43784.99,5511.54,10958984.03,1476000.0,TRUE
W13,GB01,UP,10958984.03,983950.92,166263.28,663202.11,243760.47,49803.26,153656.27,39792.1,10998776.14,1476000.0,TRUE
W01,SG01,UP,11484766.19,1115929.24,172790.53,688397.12,282541.36,67696.52,47551.67,202533.1,11687299.29,1656000.0,TRUE
